Seattle,2116,UCF,2547
13:30,2547,Jack Shaughnessy Offensive Rebound.,28,42
13:26,2547,Zack Moore missed Three Point Jumper.,28,42
13:26,2116,UCF Defensive Rebound.,28,42
13:25,2547,Foul on Emmanuel Chibuogwu.,28,42
13:05,2116,Djordjije Mumin made Three Point Jumper. Assisted by Chad Brown.,28,45
12:46,2116,Foul on Chad Brown.,28,45
12:43,2547,Scott Ulaneo missed Jumper.,28,45
12:43,2116,Nick Banyard Defensive Rebound.,28,45
12:25,2116,Djordjije Mumin missed Three Point Jumper.,28,45
12:25,2547,Brendan Westendorf Defensive Rebound.,28,45
12:18,2116,Foul on Djordjije Mumin.,28,45
12:18,2547,Jack Shaughnessy made Free Throw.,29,45
12:18,2547,Jack Shaughnessy made Free Throw.,30,45
12:05,2116,Nathan Laing Turnover.,30,45
12:01,2116,Foul on Djordjije Mumin.,30,45
11:45,2547,Aaron Menzies missed Layup.,30,45
11:45,2116,Nick Banyard Defensive Rebound.,30,45
11:31,2547,Foul on William Powell.,30,45
11:31,2116,Official TV Timeout,30,45
11:11,2116,Djordjije Mumin Turnover.,30,45
10:51,2547,Morgan Means made Three Point Jumper. Assisted by Jack Shaughnessy.,33,45
10:29,2116,Nick Banyard Turnover.,33,45
10:27,2547,Morgan Means Steal.,33,45
10:21,2547,Zack Moore missed Three Point Jumper.,33,45
10:21,2116,Tacko Fall Defensive Rebound.,33,45
10:04,2116,Nick Banyard missed Layup.,33,45
10:04,2547,Jack Shaughnessy Defensive Rebound.,33,45
9:43,2547,Morgan Means made Jumper.,35,45
9:32,2116,UCF  Timeout,35,45
9:27,2116,Tanksley Efianayi Turnover.,35,45
9:14,2547,Morgan Means Turnover.,35,45
9:13,2116,Tanksley Efianayi Steal.,35,45
9:11,2116,Tanksley Efianayi made Layup.,35,47
9:11,2547,Foul on Morgan Means.,35,47
9:11,2116,Tanksley Efianayi made Free Throw.,35,48
8:47,2547,Jack Shaughnessy made Layup.,37,48
8:34,2116,Tacko Fall Turnover.,37,48
8:34,2547,Morgan Means Steal.,37,48
8:14,2547,Zack Moore missed Three Point Jumper.,37,48
8:14,2116,Tacko Fall Defensive Rebound.,37,48
8:07,2116,Matt Williams missed Three Point Jumper.,37,48
8:07,2547,Jack Shaughnessy Defensive Rebound.,37,48
7:45,2547,Aaron Menzies missed Layup.,37,48
7:45,2116,Tacko Fall Defensive Rebound.,37,48
7:43,2116,Official TV Timeout,37,48
7:42,2547,Foul on Jack Shaughnessy.,37,48
7:42,2116,B.J. Taylor made Free Throw.,37,49
7:42,2116,B.J. Taylor made Free Throw.,37,50
7:27,2547,Zack Moore missed Three Point Jumper.,37,50
7:27,2116,Tanksley Efianayi Block.,37,50
7:25,2547,Zack Moore Offensive Rebound.,37,50
7:18,2547,Brendan Westendorf Turnover.,37,50
7:14,2116,Matt Williams made Three Point Jumper. Assisted by B.J. Taylor.,37,53
6:51,2547,Zack Moore missed Three Point Jumper.,37,53
6:51,2116,Tanksley Efianayi Defensive Rebound.,37,53
6:30,2116,B.J. Taylor missed Layup.,37,53
6:30,2116,B.J. Taylor Offensive Rebound.,37,53
6:27,2547,Foul on Aaron Menzies.,37,53
6:27,2116,Tacko Fall missed Free Throw.,37,53
6:27,2547,William Powell Defensive Rebound.,37,53
6:26,2116,Foul on Matt Williams.,37,53
6:04,2547,William Powell Turnover.,37,53
5:45,2116,Matt Williams made Three Point Jumper. Assisted by Tanksley Efianayi.,37,56
5:22,2547,Morgan Means missed Layup.,37,56
5:22,2116,Djordjije Mumin Defensive Rebound.,37,56
5:03,2547,Foul on William Powell.,37,56
5:03,2116,Tacko Fall missed Free Throw.,37,56
5:03,2547,Seattle Deadball Team Rebound.,37,56
5:02,2116,Foul on Tanksley Efianayi.,37,56
5:02,2547,William Powell missed Free Throw.,37,56
5:02,2116,Tacko Fall Defensive Rebound.,37,56
4:59,2116,Tacko Fall Turnover.,37,56
4:59,2547,Brendan Westendorf Steal.,37,56
4:59,2547,William Powell made Layup. Assisted by Brendan Westendorf.,39,56
4:29,2116,Djordjije Mumin Turnover.,39,56
4:27,2547,William Powell Steal.,39,56
4:18,2547,Emmanuel Chibuogwu made Three Point Jumper. Assisted by Morgan Means.,42,56
4:07,2547,Foul on Brendan Westendorf.,42,56
4:07,2116,B.J. Taylor made Free Throw.,42,57
4:07,2116,B.J. Taylor made Free Throw.,42,58
3:49,2547,Brendan Westendorf missed Layup.,42,58
3:49,2116,Djordjije Mumin Defensive Rebound.,42,58
3:32,2116,Tanksley Efianayi missed Jumper.,42,58
3:32,2547,Emmanuel Chibuogwu Defensive Rebound.,42,58
3:16,2547,Morgan Means made Layup.,44,58
3:14,2547,Seattle  Timeout,44,58
3:04,2116,Chad Brown made Dunk. Assisted by B.J. Taylor.,44,60
3:02,2116,Technical Foul on Chad Brown.,44,60
3:02,2547,Brendan Westendorf made Free Throw.,45,60
2:48,2547,Brendan Westendorf missed Three Point Jumper.,45,60
2:48,2116,Tacko Fall Defensive Rebound.,45,60
2:45,2547,Foul on Morgan Means.,45,60
2:45,2116,Tacko Fall made Free Throw.,45,61
2:45,2116,Tacko Fall missed Free Throw.,45,61
2:45,2547,Emmanuel Chibuogwu Defensive Rebound.,45,61
2:30,2547,Brendan Westendorf made Three Point Jumper. Assisted by William Powell.,48,61
2:23,2116,B.J. Taylor Turnover.,48,61
2:22,2547,Brendan Westendorf Steal.,48,61
2:14,2547,Brendan Westendorf Turnover.,48,61
2:07,2116,UCF  Timeout,48,61
2:03,2547,Foul on Morgan Means.,48,61
2:03,2116,Matt Williams made Free Throw.,48,62
2:03,2116,Matt Williams made Free Throw.,48,63
1:52,2547,Emmanuel Chibuogwu made Three Point Jumper. Assisted by Brendan Westendorf.,51,63
1:43,2547,Foul on Morgan Means.,51,63
1:43,2116,B.J. Taylor made Free Throw.,51,64
1:43,2116,B.J. Taylor made Free Throw.,51,65
1:30,2547,Brendan Westendorf missed Three Point Jumper.,51,65
1:30,2547,Brendan Westendorf Offensive Rebound.,51,65
1:18,2547,Emmanuel Chibuogwu Turnover.,51,65
1:17,2116,B.J. Taylor Steal.,51,65
1:16,2547,Foul on Emmanuel Chibuogwu.,51,65
1:16,2116,B.J. Taylor made Free Throw.,51,66
1:16,2116,B.J. Taylor made Free Throw.,51,67
1:06,2547,William Powell missed Layup.,51,67
1:06,2116,Nick Banyard Defensive Rebound.,51,67
0:48,2116,UCF  Timeout,51,67
0:39,2116,Tanksley Efianayi missed Jumper.,51,67
0:39,2116,Tanksley Efianayi Offensive Rebound.,51,67
0:36,2116,Brock Stephenson missed Three Point Jumper.,51,67
0:36,2547,Brendan Westendorf Block.,51,67
0:34,2547,William Powell Defensive Rebound.,51,67
0:30,2547,Brendan Westendorf missed Layup.,51,67
0:30,2116,Brock Stephenson Defensive Rebound.,51,67
0:00,2116,End of Game,51,67
