Loyola-Chicago,152,NC State,2350
6:41,2350,Aundre Jackson made Layup. Assisted by Donte Ingram.,71,71
6:18,152,Dennis Smith Jr. missed Jumper.,71,71
6:18,2350,Aundre Jackson Defensive Rebound.,71,71
5:53,2350,Donte Ingram missed Jumper.,71,71
5:53,152,Markell Johnson Defensive Rebound.,71,71
5:28,152,Terry Henderson missed Layup.,71,71
5:28,2350,Aundre Jackson Defensive Rebound.,71,71
5:17,2350,Clayton Custer missed Layup.,71,71
5:17,152,Terry Henderson Defensive Rebound.,71,71
5:12,2350,Foul on Ben Richardson.,71,71
4:52,152,Dennis Smith Jr. missed Layup.,71,71
4:52,2350,Milton Doyle Defensive Rebound.,71,71
4:30,2350,Milton Doyle missed Layup.,71,71
4:30,152,Markell Johnson Defensive Rebound.,71,71
4:19,152,NC State  Timeout,71,71
4:19,152,Official TV Timeout,71,71
3:59,152,Terry Henderson missed Three Point Jumper.,71,71
3:59,2350,Ben Richardson Defensive Rebound.,71,71
3:47,2350,Aundre Jackson Turnover.,71,71
3:28,152,Markell Johnson missed Jumper.,71,71
3:28,152,Abdul-Malik Abu Offensive Rebound.,71,71
3:26,152,Abdul-Malik Abu made Two Point Tip Shot.,71,73
3:01,2350,Ben Richardson Turnover.,71,73
2:59,152,Dennis Smith Jr. Steal.,71,73
2:56,152,Dennis Smith Jr. made Layup.,71,75
2:55,2350,Loyola (CHI)  Timeout,71,75
2:30,2350,Ben Richardson missed Three Point Jumper.,71,75
2:30,2350,Donte Ingram Offensive Rebound.,71,75
2:23,152,Foul on Abdul-Malik Abu.,71,75
2:23,2350,Donte Ingram made Free Throw.,72,75
2:23,2350,Donte Ingram made Free Throw.,73,75
1:52,152,Markell Johnson missed Three Point Jumper.,73,75
1:52,152,Abdul-Malik Abu Offensive Rebound.,73,75
1:35,152,Abdul-Malik Abu made Dunk. Assisted by Dennis Smith Jr..,73,77
1:22,2350,Clayton Custer Turnover.,73,77
1:20,152,Markell Johnson Steal.,73,77
1:19,2350,Foul on Clayton Custer.,73,77
1:17,152,Dennis Smith Jr. missed Layup.,73,77
1:17,2350,Ben Richardson Defensive Rebound.,73,77
1:13,152,Foul on Markell Johnson.,73,77
0:56,152,Foul on Terry Henderson.,73,77
0:56,2350,Milton Doyle made Free Throw.,74,77
0:56,2350,Milton Doyle made Free Throw.,75,77
0:32,2350,Foul on Ben Richardson.,75,77
0:16,2350,Foul on Clayton Custer.,75,77
0:16,152,Dennis Smith Jr. made Free Throw.,75,78
0:16,152,Dennis Smith Jr. made Free Throw.,75,79
0:10,2350,Milton Doyle made Layup.,77,79
0:10,2350,Loyola (CHI)  Timeout,77,79
0:09,2350,Foul on Milton Doyle.,77,79
0:09,152,Terry Henderson missed Free Throw.,77,79
0:09,2350,Milton Doyle Defensive Rebound.,77,79
0:03,2350,Milton Doyle Turnover.,77,79
0:03,152,Markell Johnson Steal.,77,79
0:03,2350,Foul on Milton Doyle.,77,79
0:03,152,Markell Johnson missed Free Throw.,77,79
0:03,2350,Cameron Satterwhite Defensive Rebound.,77,79
0:00,152,End of Game,77,79
