Alabama A&amp;M,93,Murray State,2010
12:10,2010,Eugene Jones Jr. Turnover.,13,18
12:08,93,Bryce Jones Steal.,13,18
12:06,93,Bryce Jones made Layup.,13,20
11:31,93,Foul on Damarcus Croaker.,13,20
11:31,93,Official TV Timeout,13,20
11:31,2010,De'Edrick Petty made Free Throw.,14,20
11:31,2010,De'Edrick Petty made Free Throw.,15,20
11:31,2010,De'Edrick Petty missed Free Throw.,15,20
11:31,93,Damarcus Croaker Defensive Rebound.,15,20
11:31,93,Damarcus Croaker made Three Point Jumper. Assisted by Dondre Griffin.,15,23
11:22,93,Foul on Jalen Dupree.,15,23
11:08,2010,Tracy Burnett Turnover.,15,23
10:52,93,Damarcus Croaker Steal.,15,23
10:50,93,Dondre Griffin missed Three Point Jumper.,15,23
10:50,93,Gilbert Thomas Jr. Offensive Rebound.,15,23
10:46,93,Dondre Griffin missed Jumper.,15,23
10:46,93,Jalen Dupree Offensive Rebound.,15,23
10:41,93,Jalen Dupree missed Jumper.,15,23
10:41,2010,De'Edrick Petty Defensive Rebound.,15,23
9:28,2010,De'Edrick Petty made Three Point Jumper.,18,23
9:22,93,Dondre Griffin made Jumper. Assisted by Jalen Dupree.,18,25
9:15,2010,Tracy Burnett made Jumper.,20,25
9:10,93,Jalen Dupree made Layup. Assisted by Jonathan Stark.,20,27
8:24,2010,Foul on Eugene Jones Jr..,20,27
7:59,93,Jalen Dupree made Free Throw.,20,28
7:34,2010,Quinterian McConico missed Jumper.,20,28
7:34,93,Terrell Miller Jr. Block.,20,28
7:34,93,Jachai Taylor Defensive Rebound.,20,28
7:26,93,Jachai Taylor missed Jumper.,20,28
7:26,93,Terrell Miller Jr. Offensive Rebound.,20,28
7:18,2010,Foul on Christopher Thomas.,20,28
7:13,93,Official TV Timeout,20,28
7:13,93,Terrell Miller Jr. made Layup. Assisted by Dondre Griffin.,20,30
7:13,2010,Tracy Burnett missed Layup.,20,30
7:13,2010,Quinterian McConico Offensive Rebound.,20,30
7:06,2010,Ariston Johnson missed Jumper.,20,30
7:06,93,Terrell Miller Jr. Defensive Rebound.,20,30
7:03,2010,Foul on Quinterian McConico.,20,30
7:00,93,Dondre Griffin missed Three Point Jumper.,20,30
7:00,2010,Tracy Burnett Defensive Rebound.,20,30
6:54,2010,Tracy Burnett Turnover.,20,30
6:17,93,Gee McGhee missed Three Point Jumper.,20,30
6:17,93,Terrell Miller Jr. Offensive Rebound.,20,30
6:10,93,Gee McGhee Turnover.,20,30
6:09,2010,Ariston Johnson Steal.,20,30
6:05,2010,De'Edrick Petty missed Layup.,20,30
6:05,93,Terrell Miller Jr. Defensive Rebound.,20,30
5:57,93,Gee McGhee missed Three Point Jumper.,20,30
5:57,2010,Quinterian McConico Defensive Rebound.,20,30
5:30,2010,De'Edrick Petty missed Three Point Jumper.,20,30
5:30,93,Bryce Jones Defensive Rebound.,20,30
5:21,93,Bryce Jones Turnover.,20,30
5:19,2010,Rakiya Battle Steal.,20,30
5:16,93,Foul on Gee McGhee.,20,30
5:16,2010,Rakiya Battle made Free Throw.,21,30
5:16,2010,Rakiya Battle missed Free Throw.,21,30
5:16,93,Terrell Miller Jr. Defensive Rebound.,21,30
5:10,93,Jachai Taylor made Three Point Jumper. Assisted by Terrell Miller Jr..,21,33
4:36,2010,De'Edrick Petty missed Jumper.,21,33
4:36,93,Terrell Miller Jr. Defensive Rebound.,21,33
4:28,93,Jachai Taylor made Three Point Jumper. Assisted by Terrell Miller Jr..,21,36
4:23,2010,Alabama A&M  Timeout,21,36
4:09,2010,Ariston Johnson missed Jumper.,21,36
4:09,93,Jachai Taylor Defensive Rebound.,21,36
4:03,93,Bryce Jones missed Three Point Jumper.,21,36
4:03,2010,Rakiya Battle Defensive Rebound.,21,36
3:31,2010,Ariston Johnson made Three Point Jumper. Assisted by Tracy Burnett.,24,36
3:18,93,Damarcus Croaker made Dunk.,24,38
2:47,2010,Ariston Johnson Turnover.,24,38
2:46,93,Bryce Jones Steal.,24,38
2:43,93,Jachai Taylor made Layup.,24,40
2:25,2010,De'Edrick Petty Turnover.,24,40
2:24,93,Bryce Jones Steal.,24,40
2:20,93,Damarcus Croaker made Layup. Assisted by Bryce Jones.,24,42
2:00,2010,Rakiya Battle made Layup.,26,42
1:50,2010,Foul on Ariston Johnson.,26,42
1:50,93,Jalen Dupree missed Free Throw.,26,42
1:50,93,Murray St Deadball Team Rebound.,26,42
1:50,93,Jalen Dupree made Free Throw.,26,43
1:33,2010,Marcus Merriweather missed Jumper.,26,43
1:33,2010,Quinterian McConico Offensive Rebound.,26,43
1:31,2010,Quinterian McConico missed Layup.,26,43
1:31,2010,Quinterian McConico Offensive Rebound.,26,43
1:30,93,Foul on Jalen Dupree.,26,43
1:30,2010,Quinterian McConico missed Free Throw.,26,43
1:30,2010,Alabama A&M Deadball Team Rebound.,26,43
1:30,2010,Quinterian McConico made Free Throw.,27,43
1:27,93,Terrell Miller Jr. missed Jumper.,27,43
1:27,2010,Tracy Burnett Defensive Rebound.,27,43
0:56,2010,Quinterian McConico Turnover.,27,43
0:45,93,Terrell Miller Jr. made Jumper. Assisted by Bryce Jones.,27,45
0:21,2010,Matthew Cotton Turnover.,27,45
0:19,93,Gilbert Thomas Jr. Steal.,27,45
0:18,93,Damarcus Croaker made Dunk. Assisted by Gilbert Thomas Jr..,27,47
0:02,2010,Rakiya Battle missed Three Point Jumper.,27,47
0:02,93,Damarcus Croaker Defensive Rebound.,27,47
0:00,93,End of 1st half,27,47
19:48,93,Jonathan Stark missed Jumper.,27,47
19:48,2010,Evan Wiley Defensive Rebound.,27,47
19:40,93,Foul on Jonathan Stark.,27,47
19:37,2010,Rakiya Battle missed Jumper.,27,47
19:37,93,Jonathan Stark Block.,27,47
19:37,2010,Rakiya Battle Offensive Rebound.,27,47
19:18,2010,Evan Wiley Turnover.,27,47
18:56,93,Terrell Miller Jr. made Jumper.,27,49
18:31,2010,Rakiya Battle Turnover.,27,49
18:29,93,Terrell Miller Jr. Steal.,27,49
18:24,93,Brion Sanchious missed Layup.,27,49
18:24,2010,Evan Wiley Defensive Rebound.,27,49
18:05,2010,Marcus Merriweather missed Jumper.,27,49
18:05,93,Brion Sanchious Defensive Rebound.,27,49
17:51,93,Jonathan Stark made Three Point Jumper. Assisted by Brion Sanchious.,27,52
17:35,2010,Marcus Merriweather missed Three Point Jumper.,27,52
17:35,93,Terrell Miller Jr. Defensive Rebound.,27,52
17:27,93,Jonathan Stark made Jumper.,27,54
17:03,2010,Quinterian McConico made Layup.,29,54
16:33,93,Terrell Miller Jr. missed Layup.,29,54
16:33,93,Terrell Miller Jr. Offensive Rebound.,29,54
16:31,93,Terrell Miller Jr. made Layup.,29,56
16:19,2010,Evan Wiley missed Three Point Jumper.,29,56
16:19,93,Terrell Miller Jr. Defensive Rebound.,29,56
16:14,2010,Foul on Evan Wiley.,29,56
16:14,93,Brion Sanchious missed Free Throw.,29,56
16:14,93,Murray St Deadball Team Rebound.,29,56
16:14,93,Brion Sanchious missed Free Throw.,29,56
16:14,2010,Quinterian McConico Defensive Rebound.,29,56
15:44,2010,Quinterian McConico missed Jumper.,29,56
15:44,93,Jonathan Stark Defensive Rebound.,29,56
15:36,93,Terrell Miller Jr. missed Three Point Jumper.,29,56
15:36,2010,Alabama A&M Defensive Rebound.,29,56
15:36,93,Official TV Timeout,29,56
15:10,2010,De'Edrick Petty made Three Point Jumper.,32,56
14:49,93,Bryce Jones Turnover.,32,56
14:48,2010,Quinterian McConico Steal.,32,56
14:33,2010,Rakiya Battle Turnover.,32,56
14:17,93,Terrell Miller Jr. Turnover.,32,56
14:17,93,Foul on Terrell Miller Jr..,32,56
13:51,2010,Eugene Jones Jr. made Jumper. Assisted by Quinterian McConico.,34,56
13:30,93,Terrell Miller Jr. made Layup.,34,58
13:11,2010,Eugene Jones Jr. Turnover.,34,58
13:11,2010,Foul on Eugene Jones Jr..,34,58
13:11,93,Terrell Miller Jr. Steal.,34,58
13:10,93,Terrell Miller Jr. missed Three Point Jumper.,34,58
13:10,93,Damarcus Croaker Offensive Rebound.,34,58
12:59,93,Jalen Dupree made Layup. Assisted by Jonathan Stark.,34,60
12:32,2010,Eugene Jones Jr. missed Layup.,34,60
12:32,93,Jalen Dupree Block.,34,60
12:32,93,Jonathan Stark Defensive Rebound.,34,60
12:23,93,Jonathan Stark missed Layup.,34,60
12:23,93,Jalen Dupree Offensive Rebound.,34,60
12:05,93,Jachai Taylor missed Three Point Jumper.,34,60
12:05,2010,Eugene Jones Jr. Defensive Rebound.,34,60
12:05,93,Foul on Jalen Dupree.,34,60
11:40,2010,Quinterian McConico made Layup. Assisted by De'Edrick Petty.,36,60
11:21,93,Jonathan Stark made Three Point Jumper.,36,63
10:50,93,Foul on Gilbert Thomas Jr..,36,63
10:50,93,Official TV Timeout,36,63
10:50,2010,De'Edrick Petty made Free Throw.,37,63
10:50,2010,De'Edrick Petty made Free Throw.,38,63
10:26,93,Jonathan Stark missed Three Point Jumper.,38,63
10:26,2010,Eugene Jones Jr. Defensive Rebound.,38,63
9:58,2010,Eugene Jones Jr. made Layup.,40,63
9:44,93,Bryce Jones made Layup.,40,65
9:44,2010,Foul on Matthew Cotton.,40,65
9:44,93,Foul on Bryce Jones.,40,65
9:18,2010,Ariston Johnson made Layup.,42,66
9:18,93,Foul on Terrell Miller Jr..,42,66
9:18,2010,Ariston Johnson made Free Throw.,43,66
8:47,2010,Foul on De'Edrick Petty.,43,66
8:47,93,Brion Sanchious made Free Throw.,43,67
8:47,93,Brion Sanchious made Free Throw.,43,68
8:28,2010,Christopher Thomas missed Three Point Jumper.,43,68
8:28,93,Brion Sanchious Defensive Rebound.,43,68
8:18,93,Bryce Jones made Jumper.,43,70
7:49,93,Foul on Dondre Griffin.,43,70
7:49,93,Official TV Timeout,43,70
7:49,2010,Matthew Cotton missed Three Point Jumper.,43,70
7:49,2010,Quinterian McConico Offensive Rebound.,43,70
7:49,2010,Quinterian McConico made Jumper.,45,70
6:57,93,Bryce Jones made Layup.,45,72
6:43,2010,Foul on Ariston Johnson.,45,72
6:40,93,Bryce Jones made Free Throw.,45,73
6:21,93,Foul on Dondre Griffin.,45,73
6:21,2010,Ariston Johnson missed Free Throw.,45,73
6:21,2010,Alabama A&M Deadball Team Rebound.,45,73
6:21,2010,Ariston Johnson missed Free Throw.,45,73
6:21,93,Terrell Miller Jr. Defensive Rebound.,45,73
6:19,93,Jonathan Stark Turnover.,45,73
6:18,2010,Rakiya Battle Steal.,45,73
6:07,2010,Rakiya Battle made Layup.,47,73
6:03,93,Brion Sanchious made Layup.,47,75
5:47,2010,Matthew Cotton missed Three Point Jumper.,47,75
5:47,2010,Rakiya Battle Offensive Rebound.,47,75
5:44,2010,Rakiya Battle made Jumper.,49,75
5:34,2010,Foul on De'Edrick Petty.,49,75
5:23,93,Jonathan Stark made Three Point Jumper.,49,78
4:59,2010,Matthew Cotton missed Jumper.,49,78
4:59,93,Brion Sanchious Defensive Rebound.,49,78
4:39,2010,Foul on Rakiya Battle.,49,78
4:39,93,Jonathan Stark made Free Throw.,49,79
4:39,93,Jonathan Stark missed Free Throw.,49,79
4:39,2010,Quinterian McConico Defensive Rebound.,49,79
4:12,93,Foul on Jerami Grace.,49,79
4:12,2010,Rakiya Battle made Free Throw.,50,79
4:12,2010,Rakiya Battle made Free Throw.,51,79
3:50,93,Jerami Grace missed Three Point Jumper.,51,79
3:50,93,Jachai Taylor Offensive Rebound.,51,79
3:42,93,Jachai Taylor made Two Point Tip Shot.,51,81
3:23,2010,Marcus Merriweather Turnover.,51,81
3:21,93,Official TV Timeout,51,81
3:07,93,Jerami Grace made Three Point Jumper. Assisted by Gee McGhee.,51,84
2:39,2010,Rakiya Battle missed Jumper.,51,84
2:39,93,Bryce Jones Defensive Rebound.,51,84
2:32,93,Gilbert Thomas Jr. missed Layup.,51,84
2:32,2010,Quinterian McConico Block.,51,84
2:32,93,Gilbert Thomas Jr. Offensive Rebound.,51,84
2:17,93,Bryce Jones made Three Point Jumper.,51,87
1:50,2010,Rakiya Battle missed Jumper.,51,87
1:50,93,Gee McGhee Defensive Rebound.,51,87
1:41,93,Murray St  Timeout,51,87
1:30,93,Jachai Taylor missed Jumper.,51,87
1:30,2010,De'Edrick Petty Defensive Rebound.,51,87
0:56,2010,Marcus Merriweather Turnover.,51,87
0:55,93,Gilbert Thomas Jr. Steal.,51,87
0:51,93,Gee McGhee missed Three Point Jumper.,51,87
0:51,93,Jachai Taylor Offensive Rebound.,51,87
0:47,93,Jachai Taylor made Layup.,51,89
0:26,2010,Marcus Merriweather Turnover.,51,89
0:24,93,Gee McGhee Steal.,51,89
0:23,93,Jachai Taylor made Dunk. Assisted by Gee McGhee.,51,91
0:01,2010,De'Edrick Petty made Three Point Jumper.,54,91
0:00,93,End of 2nd half,51,91
0:00,93,End of Game,54,91
