NJIT,2509,Purdue,2885
12:14,2509,Foul on Caleb Swanigan.,13,15
12:14,2885,Rob Ukawuba made Free Throw.,14,15
12:02,2509,Dakota Mathias Turnover.,14,15
12:01,2885,Damon Lynn Steal.,14,15
12:00,2885,Damon Lynn Turnover.,14,15
11:56,2885,Foul on Abdul Lewis.,14,15
11:45,2509,Carsen Edwards missed Jumper.,14,15
11:45,2509,Caleb Swanigan Offensive Rebound.,14,15
11:42,2509,Caleb Swanigan Turnover.,14,15
11:42,2885,Damon Lynn Steal.,14,15
11:22,2885,Tim Coleman missed Jumper.,14,15
11:22,2885,Anthony Tarke Offensive Rebound.,14,15
11:18,2885,Tim Coleman missed Jumper.,14,15
11:18,2509,Caleb Swanigan Defensive Rebound.,14,15
11:11,2509,Basil Smotherman Turnover.,14,15
10:51,2885,Abdul Lewis missed Three Point Jumper.,14,15
10:51,2509,Ryan Cline Defensive Rebound.,14,15
10:41,2885,Foul on Rob Ukawuba.,14,15
10:25,2509,Ryan Cline missed Three Point Jumper.,14,15
10:25,2885,Abdul Lewis Defensive Rebound.,14,15
10:15,2885,Abdul Lewis made Jumper. Assisted by Damon Lynn.,16,15
9:57,2509,Isaac Haas made Jumper. Assisted by Ryan Cline.,16,17
9:33,2885,Tim Coleman missed Jumper.,16,17
9:33,2509,Isaac Haas Defensive Rebound.,16,17
9:24,2509,Carsen Edwards missed Three Point Jumper.,16,17
9:24,2885,Abdul Lewis Defensive Rebound.,16,17
9:11,2885,Tim Coleman Turnover.,16,17
9:10,2509,Spike Albrecht Steal.,16,17
9:08,2509,Spike Albrecht missed Layup.,16,17
9:08,2509,Ryan Cline Offensive Rebound.,16,17
9:05,2885,Foul on Osa Izevbuwa.,16,17
9:03,2509,Vince Edwards made Jumper. Assisted by Carsen Edwards.,16,19
8:43,2885,Foul on Damon Lynn.,16,19
8:43,2885,Damon Lynn Turnover.,16,19
8:31,2509,Ryan Cline made Three Point Jumper. Assisted by P.J. Thompson.,16,22
8:14,2885,Damon Lynn missed Jumper.,16,22
8:14,2509,Carsen Edwards Defensive Rebound.,16,22
8:10,2509,Carsen Edwards made Jumper.,16,24
8:06,2885,NJIT  Timeout,16,24
8:06,2509,Official TV Timeout,16,24
7:51,2885,Chris Jenkins Turnover.,16,24
7:50,2509,Isaac Haas Steal.,16,24
7:46,2509,Vince Edwards Turnover.,16,24
7:43,2885,Chris Jenkins missed Three Point Jumper.,16,24
7:43,2509,Isaac Haas Defensive Rebound.,16,24
7:33,2509,Vince Edwards missed Three Point Jumper.,16,24
7:33,2885,Rob Ukawuba Defensive Rebound.,16,24
7:03,2885,Chris Jenkins made Three Point Jumper. Assisted by Rob Ukawuba.,19,24
6:39,2509,Carsen Edwards made Jumper.,19,26
6:10,2885,Rob Ukawuba missed Layup.,19,26
6:10,2509,Vince Edwards Defensive Rebound.,19,26
6:04,2509,P.J. Thompson missed Three Point Jumper.,19,26
6:04,2509,Purdue Offensive Rebound.,19,26
5:56,2509,Vince Edwards made Jumper. Assisted by Carsen Edwards.,19,28
5:39,2885,Chris Jenkins made Three Point Jumper. Assisted by Abdul Lewis.,22,28
5:21,2509,Dakota Mathias missed Jumper.,22,28
5:21,2885,Anthony Tarke Defensive Rebound.,22,28
5:11,2885,Damon Lynn missed Three Point Jumper.,22,28
5:11,2509,Caleb Swanigan Defensive Rebound.,22,28
4:52,2509,Vince Edwards made Three Point Jumper. Assisted by Dakota Mathias.,22,31
4:27,2885,Abdul Lewis missed Jumper.,22,31
4:27,2885,Anthony Tarke Offensive Rebound.,22,31
4:22,2885,Anthony Tarke made Two Point Tip Shot.,24,31
4:12,2509,P.J. Thompson made Three Point Jumper. Assisted by Carsen Edwards.,24,34
3:53,2509,Foul on P.J. Thompson.,24,34
3:53,2509,Official TV Timeout,24,34
3:48,2885,Damon Lynn missed Jumper.,24,34
3:48,2509,Vince Edwards Defensive Rebound.,24,34
3:40,2509,Vince Edwards Turnover.,24,34
3:18,2885,Tim Coleman Turnover.,24,34
3:02,2509,Caleb Swanigan made Jumper. Assisted by Isaac Haas.,24,36
2:46,2885,Damon Lynn made Layup. Assisted by Abdul Lewis.,26,36
2:25,2509,Caleb Swanigan Turnover.,26,36
2:14,2885,Damon Lynn made Three Point Jumper.,29,36
2:02,2509,P.J. Thompson missed Three Point Jumper.,29,36
2:02,2885,Chris Jenkins Defensive Rebound.,29,36
1:32,2885,Rob Ukawuba missed Three Point Jumper.,29,36
1:32,2885,NJIT Offensive Rebound.,29,36
1:09,2885,Abdul Lewis missed Three Point Jumper.,29,36
1:09,2509,Caleb Swanigan Defensive Rebound.,29,36
1:02,2509,Vince Edwards missed Jumper.,29,36
1:02,2509,Purdue Deadball Team Rebound.,29,36
1:01,2885,Foul on Abdul Lewis.,29,36
1:01,2509,Isaac Haas made Free Throw.,29,37
1:01,2509,Isaac Haas missed Free Throw.,29,37
1:01,2885,Rob Ukawuba Defensive Rebound.,29,37
0:47,2885,Damon Lynn made Layup.,31,37
0:24,2509,Carsen Edwards missed Layup.,31,37
0:24,2885,NJIT Defensive Rebound.,31,37
0:08,2885,Damon Lynn made Three Point Jumper.,34,37
0:03,2509,Purdue  Timeout,34,37
0:02,2509,P.J. Thompson missed Three Point Jumper.,34,37
0:02,2885,NJIT Deadball Team Rebound.,34,37
0:00,2509,End of 1st half,34,37
19:36,2885,Damon Lynn missed Jumper.,34,37
19:36,2509,Vince Edwards Defensive Rebound.,34,37
19:19,2509,Caleb Swanigan made Jumper. Assisted by Vince Edwards.,34,39
19:19,2885,Foul on Osa Izevbuwa.,34,39
19:19,2509,Caleb Swanigan made Free Throw.,34,40
18:59,2885,Rob Ukawuba missed Three Point Jumper.,34,40
18:59,2509,Vince Edwards Defensive Rebound.,34,40
18:44,2509,P.J. Thompson Turnover.,34,40
18:43,2885,Damon Lynn Steal.,34,40
18:40,2885,Damon Lynn missed Three Point Jumper.,34,40
18:40,2509,Dakota Mathias Defensive Rebound.,34,40
18:29,2509,Caleb Swanigan made Jumper. Assisted by Vince Edwards.,34,42
18:16,2885,Damon Lynn Turnover.,34,42
18:15,2509,Dakota Mathias Steal.,34,42
18:13,2509,Dakota Mathias made Layup.,34,44
17:53,2885,Osa Izevbuwa Turnover.,34,44
17:44,2509,P.J. Thompson missed Three Point Jumper.,34,44
17:44,2885,NJIT Deadball Team Rebound.,34,44
17:42,2509,Foul on Isaac Haas.,34,44
17:33,2885,Abdul Lewis missed Jumper.,34,44
17:33,2509,Vince Edwards Defensive Rebound.,34,44
17:18,2509,Foul on Isaac Haas.,34,44
17:18,2509,Isaac Haas Turnover.,34,44
16:57,2885,Rob Ukawuba missed Three Point Jumper.,34,44
16:57,2509,Carsen Edwards Defensive Rebound.,34,44
16:49,2509,Vince Edwards missed Jumper.,34,44
16:48,2885,Abdul Lewis Block.,34,44
16:47,2885,Rob Ukawuba Defensive Rebound.,34,44
16:23,2509,Caleb Swanigan Block.,34,44
16:23,2885,Tim Coleman missed Jumper.,34,44
16:23,2885,NJIT Offensive Rebound.,34,44
16:20,2885,Damon Lynn missed Three Point Jumper.,34,44
16:20,2509,Caleb Swanigan Defensive Rebound.,34,44
15:57,2509,Vince Edwards missed Jumper.,34,44
15:57,2885,Rob Ukawuba Defensive Rebound.,34,44
15:49,2885,Rob Ukawuba made Dunk.,36,44
15:39,2509,Carsen Edwards made Three Point Jumper. Assisted by Vince Edwards.,36,47
15:17,2509,Foul on Dakota Mathias.,36,47
15:17,2509,Official TV Timeout,36,47
15:17,2885,Tim Coleman missed Free Throw.,36,47
15:17,2885,NJIT Deadball Team Rebound.,36,47
15:17,2885,Tim Coleman missed Free Throw.,36,47
15:17,2509,Dakota Mathias Defensive Rebound.,36,47
15:06,2509,Dakota Mathias missed Three Point Jumper.,36,47
15:06,2885,Tim Coleman Defensive Rebound.,36,47
14:49,2885,Tim Coleman made Jumper. Assisted by Rob Ukawuba.,38,47
14:30,2885,Foul on Tim Coleman.,38,47
14:25,2509,Spike Albrecht missed Three Point Jumper.,38,47
14:25,2885,Damon Lynn Defensive Rebound.,38,47
14:23,2509,Foul on Vince Edwards.,38,47
14:08,2509,Foul on Dakota Mathias.,38,47
14:08,2885,Rob Ukawuba missed Free Throw.,38,47
14:08,2885,NJIT Deadball Team Rebound.,38,47
14:08,2885,Rob Ukawuba missed Free Throw.,38,47
14:08,2509,Purdue Deadball Team Rebound.,38,47
14:07,2885,Foul on Anthony Tarke.,38,47
13:49,2509,Ryan Cline missed Three Point Jumper.,38,47
13:49,2885,Tim Coleman Defensive Rebound.,38,47
13:38,2885,Abdul Lewis made Layup. Assisted by Tim Coleman.,40,47
13:20,2509,Carsen Edwards made Three Point Jumper. Assisted by Basil Smotherman.,40,50
13:06,2885,Anthony Tarke made Layup.,42,50
12:56,2509,Carsen Edwards missed Jumper.,42,50
12:56,2509,Caleb Swanigan Offensive Rebound.,42,50
12:52,2885,Foul on Chris Jenkins.,42,50
12:46,2509,Carsen Edwards made Jumper. Assisted by Ryan Cline.,42,52
12:31,2509,Foul on Basil Smotherman.,42,52
12:26,2509,Foul on Carsen Edwards.,42,52
12:26,2885,Damon Lynn made Free Throw.,43,52
12:26,2885,Damon Lynn made Free Throw.,44,52
12:15,2885,Foul on Abdul Lewis.,44,52
12:03,2509,Ryan Cline missed Three Point Jumper.,44,52
12:03,2509,Isaac Haas Offensive Rebound.,44,52
11:58,2509,Official TV Timeout,44,52
11:38,2885,Foul on Mohamed Bendary.,44,52
11:38,2509,Carsen Edwards made Free Throw.,44,53
11:38,2509,Carsen Edwards made Free Throw.,44,54
11:28,2885,Tim Coleman missed Three Point Jumper.,44,54
11:28,2509,Carsen Edwards Defensive Rebound.,44,54
11:08,2509,Carsen Edwards made Three Point Jumper. Assisted by Vince Edwards.,44,57
10:55,2885,Chris Jenkins made Three Point Jumper. Assisted by Damon Lynn.,47,57
10:38,2509,Isaac Haas missed Layup.,47,57
10:38,2885,Mohamed Bendary Defensive Rebound.,47,57
10:06,2885,NJIT  Turnover.,47,57
9:49,2509,Carsen Edwards missed Three Point Jumper.,47,57
9:49,2509,Purdue Offensive Rebound.,47,57
9:35,2509,Carsen Edwards Turnover.,47,57
9:34,2885,Damon Lynn Steal.,47,57
9:20,2885,Rob Ukawuba Turnover.,47,57
9:19,2509,Carsen Edwards Steal.,47,57
9:12,2509,Carsen Edwards missed Three Point Jumper.,47,57
9:12,2509,Caleb Swanigan Offensive Rebound.,47,57
9:11,2885,Foul on Rob Ukawuba.,47,57
9:11,2885,Technical Foul on Rob Ukawuba.,47,57
9:11,2885,Foul on Rob Ukawuba.,47,57
9:10,2509,Caleb Swanigan made Free Throw.,47,58
9:10,2509,Caleb Swanigan made Free Throw.,47,60
9:10,2509,Caleb Swanigan made Free Throw.,47,59
9:10,2509,Caleb Swanigan made Free Throw.,47,61
8:53,2885,Damon Lynn made Three Point Jumper.,50,61
8:32,2509,Ryan Cline Turnover.,50,61
8:31,2885,Anthony Tarke Steal.,50,61
8:29,2885,Anthony Tarke made Layup.,52,61
8:11,2509,Vince Edwards made Jumper. Assisted by Caleb Swanigan.,52,63
7:53,2885,Chris Jenkins missed Three Point Jumper.,52,63
7:53,2509,P.J. Thompson Defensive Rebound.,52,63
7:45,2885,Foul on Abdul Lewis.,52,63
7:45,2509,Official TV Timeout,52,63
7:45,2509,Caleb Swanigan made Free Throw.,52,64
7:45,2509,Caleb Swanigan made Free Throw.,52,65
7:25,2885,Tim Coleman missed Jumper.,52,65
7:25,2509,Caleb Swanigan Defensive Rebound.,52,65
7:05,2509,P.J. Thompson missed Three Point Jumper.,52,65
7:05,2885,Tim Coleman Defensive Rebound.,52,65
6:56,2885,Tim Coleman missed Jumper.,52,65
6:56,2509,Carsen Edwards Defensive Rebound.,52,65
6:29,2509,Dakota Mathias made Three Point Jumper. Assisted by Caleb Swanigan.,52,68
6:06,2885,Damon Lynn Turnover.,52,68
6:03,2885,Foul on Tim Coleman.,52,68
6:03,2509,Carsen Edwards made Free Throw.,52,69
6:03,2509,Carsen Edwards made Free Throw.,52,70
5:45,2885,Rob Ukawuba missed Jumper.,52,70
5:45,2885,Anthony Tarke Offensive Rebound.,52,70
5:41,2509,Foul on Isaac Haas.,52,70
5:41,2885,Anthony Tarke missed Free Throw.,52,70
5:41,2885,NJIT Deadball Team Rebound.,52,70
5:41,2885,Anthony Tarke made Free Throw.,53,70
5:28,2509,Caleb Swanigan made Dunk. Assisted by P.J. Thompson.,53,72
5:19,2885,Damon Lynn made Three Point Jumper. Assisted by Chris Jenkins.,56,72
4:54,2509,Isaac Haas made Dunk. Assisted by Vince Edwards.,56,74
4:38,2885,Abdul Lewis missed Jumper.,56,74
4:38,2509,Caleb Swanigan Defensive Rebound.,56,74
4:26,2885,Foul on Anthony Tarke.,56,74
4:26,2509,Isaac Haas missed Free Throw.,56,74
4:26,2509,Purdue Deadball Team Rebound.,56,74
4:26,2509,Isaac Haas made Free Throw.,56,75
4:11,2885,Abdul Lewis Turnover.,56,75
3:52,2509,Vince Edwards missed Three Point Jumper.,56,75
3:52,2509,Caleb Swanigan Offensive Rebound.,56,75
3:40,2509,Isaac Haas Turnover.,56,75
3:38,2885,Abdul Lewis Steal.,56,75
3:35,2885,Damon Lynn made Three Point Jumper.,59,75
3:35,2885,NJIT  Timeout,59,75
3:17,2509,Isaac Haas missed Jumper.,59,75
3:17,2885,Abdul Lewis Defensive Rebound.,59,75
3:03,2885,Damon Lynn made Three Point Jumper.,62,75
2:41,2509,Official TV Timeout,62,75
2:37,2509,Carsen Edwards missed Jumper.,62,75
2:37,2885,Rob Ukawuba Defensive Rebound.,62,75
2:22,2885,Tim Coleman Turnover.,62,75
1:52,2509,Vince Edwards missed Jumper.,62,75
1:52,2885,NJIT Deadball Team Rebound.,62,75
1:39,2885,Damon Lynn made Three Point Jumper. Assisted by Abdul Lewis.,65,75
1:38,2885,NJIT  Timeout,65,75
1:15,2509,P.J. Thompson missed Three Point Jumper.,65,75
1:15,2509,Purdue Deadball Team Rebound.,65,75
1:12,2885,Foul on Abdul Lewis.,65,75
1:12,2509,Caleb Swanigan made Free Throw.,65,76
1:12,2509,Caleb Swanigan made Free Throw.,65,77
1:04,2885,Damon Lynn missed Three Point Jumper.,65,77
1:04,2509,Vince Edwards Defensive Rebound.,65,77
0:42,2509,Carsen Edwards missed Three Point Jumper.,65,77
0:42,2509,P.J. Thompson Offensive Rebound.,65,77
0:20,2509,P.J. Thompson Turnover.,65,77
0:19,2885,Damon Lynn Steal.,65,77
0:17,2509,Foul on P.J. Thompson.,65,77
0:17,2885,Damon Lynn made Free Throw.,66,77
0:17,2885,Damon Lynn made Free Throw.,67,77
0:17,2885,Damon Lynn made Free Throw.,68,77
0:17,2885,NJIT  Timeout,68,77
0:14,2885,Foul on Anthony Tarke.,68,77
0:14,2509,P.J. Thompson made Free Throw.,68,78
0:14,2509,P.J. Thompson made Free Throw.,68,79
0:04,2885,Rob Ukawuba Turnover.,68,79
0:04,2509,Carsen Edwards Steal.,68,79
0:00,2509,End of Game,68,79
