Drake,Error,Alaska Anchorage,2181
15:20,1,Corey Hammell Offensive Rebound.,6,12
15:14,1,Sekou Wiggs missed Three Point Jumper.,6,12
15:14,1,Alaska Anchorage Deadball Team Rebound.,6,12
15:11,2181,Foul on Reed Timmer.,6,12
14:15,1,Corey Hammell made Layup. Assisted by Sekou Wiggs.,6,14
13:50,2181,Reed Timmer missed Three Point Jumper.,6,14
13:50,1,Diante Mitchell Defensive Rebound.,6,14
13:34,1,Corey Hammell missed Jumper.,6,14
13:34,2181,Reed Timmer Defensive Rebound.,6,14
13:12,2181,Nick McGlynn missed Layup.,6,14
13:12,1,Tayler Thompson Defensive Rebound.,6,14
13:11,2181,Foul on Nick McGlynn.,6,14
12:42,1,Diante Mitchell made Three Point Jumper. Assisted by Tayler Thompson.,6,17
12:12,2181,T.J. Thomas missed Layup.,6,17
12:12,1,Sekou Wiggs Defensive Rebound.,6,17
12:00,1,Sekou Wiggs Turnover.,6,17
11:59,2181,De'Antae McMurray Steal.,6,17
11:56,2181,Reed Timmer made Layup. Assisted by De'Antae McMurray.,8,17
11:31,1,Tayler Thompson missed Jumper.,8,17
11:31,2181,De'Antae McMurray Defensive Rebound.,8,17
11:17,2181,De'Antae McMurray missed Three Point Jumper.,8,17
11:17,2181,Nick McGlynn Offensive Rebound.,8,17
11:13,2181,Nick McGlynn made Layup.,10,17
10:53,1,Spencer Svejcar made Layup. Assisted by Sekou Wiggs.,10,19
10:30,2181,T.J. Thomas made Layup. Assisted by Reed Timmer.,12,19
10:11,1,Curtis Ryan missed Layup.,12,19
10:11,2181,Nick McGlynn Defensive Rebound.,12,19
9:55,2181,Graham Woodward made Jumper.,14,19
9:53,1,Alaska Anchorage  Timeout,14,19
9:31,1,Travis Parrish missed Jumper.,14,19
9:31,2181,T.J. Thomas Block.,14,19
9:31,1,Alaska Anchorage Offensive Rebound.,14,19
9:26,1,Diante Mitchell missed Layup.,14,19
9:26,1,Connor Devine Offensive Rebound.,14,19
9:24,1,Connor Devine missed Two Point Tip Shot.,14,19
9:24,1,Connor Devine Offensive Rebound.,14,19
9:05,1,Diante Mitchell missed Three Point Jumper.,14,19
9:05,1,Travis Parrish Offensive Rebound.,14,19
8:50,2181,Foul on Nick McGlynn.,14,19
8:45,1,Spencer Svejcar made Three Point Jumper. Assisted by Diante Mitchell.,14,22
8:14,2181,De'Antae McMurray made Three Point Jumper. Assisted by Billy Wampler.,17,22
7:53,1,Travis Parrish missed Three Point Jumper.,17,22
7:53,2181,Nick McGlynn Defensive Rebound.,17,22
7:26,2181,De'Antae McMurray made Three Point Jumper.,20,22
6:54,2181,Foul on C.J. Rivers.,20,22
6:54,1,Official TV Timeout,20,22
6:54,1,Spencer Svejcar made Free Throw.,20,23
6:54,1,Spencer Svejcar made Free Throw.,20,24
6:54,1,Spencer Svejcar made Free Throw.,20,25
6:20,2181,Billy Wampler made Jumper. Assisted by De'Antae McMurray.,22,25
5:59,1,Connor Devine missed Layup.,22,25
5:59,2181,De'Antae McMurray Defensive Rebound.,22,25
5:53,2181,Billy Wampler made Layup. Assisted by T.J. Thomas.,24,25
5:53,1,Foul on Sekou Wiggs.,24,25
5:53,2181,Billy Wampler made Free Throw.,25,25
5:40,1,Ashton Pomrehn missed Layup.,25,25
5:40,2181,Jacob Enevold Defensive Rebound.,25,25
5:22,2181,Jacob Enevold made Layup. Assisted by Billy Wampler.,27,25
5:09,2181,Foul on T.J. Thomas.,27,25
5:09,1,Corey Hammell missed Free Throw.,27,25
5:09,2181,T.J. Thomas Defensive Rebound.,27,25
4:50,2181,Billy Wampler made Three Point Jumper. Assisted by Graham Woodward.,30,25
4:23,2181,Foul on C.J. Rivers.,30,25
4:23,1,Sekou Wiggs made Free Throw.,30,26
4:23,1,Sekou Wiggs missed Free Throw.,30,26
4:23,2181,Drake Deadball Team Rebound.,30,26
4:21,1,Foul on Corey Hammell.,30,26
4:00,2181,Graham Woodward missed Jumper.,30,26
4:00,1,Corey Hammell Block.,30,26
4:00,2181,Drake Offensive Rebound.,30,26
3:59,1,Official TV Timeout,30,26
3:50,2181,Billy Wampler missed Three Point Jumper.,30,26
3:50,2181,Jacob Enevold Offensive Rebound.,30,26
3:34,2181,Casey Schlatter missed Jumper.,30,26
3:34,1,Connor Devine Block.,30,26
3:33,1,Connor Devine Defensive Rebound.,30,26
3:06,1,Sekou Wiggs missed Three Point Jumper.,30,26
3:06,1,Corey Hammell Offensive Rebound.,30,26
3:01,2181,Foul on Billy Wampler.,30,26
3:01,1,Corey Hammell made Free Throw.,30,27
3:01,1,Corey Hammell made Free Throw.,30,28
2:52,2181,Reed Timmer Turnover.,30,28
2:52,1,Sekou Wiggs Steal.,30,28
2:39,1,Foul on Jackson McTier.,30,28
2:39,1,Jackson McTier Turnover.,30,28
2:28,1,Foul on Diante Mitchell.,30,28
2:27,2181,Reed Timmer made Layup. Assisted by Graham Woodward.,32,28
2:25,1,Foul on Spencer Svejcar.,32,28
2:25,2181,Reed Timmer made Free Throw.,33,28
1:58,1,Connor Devine Turnover.,33,28
1:44,2181,Reed Timmer missed Jumper.,33,28
1:44,1,Ashton Pomrehn Defensive Rebound.,33,28
1:32,1,Connor Devine made Jumper. Assisted by Diante Mitchell.,33,30
1:12,2181,Reed Timmer missed Three Point Jumper.,33,30
1:12,1,Connor Devine Defensive Rebound.,33,30
1:01,2181,Foul on Reed Timmer.,33,30
1:01,1,Sekou Wiggs made Free Throw.,33,31
1:01,1,Sekou Wiggs made Free Throw.,33,32
0:47,2181,Billy Wampler missed Jumper.,33,32
0:47,1,Corey Hammell Defensive Rebound.,33,32
0:31,2181,Foul on Reed Timmer.,33,32
0:31,1,Sekou Wiggs missed Free Throw.,33,32
0:31,1,Alaska Anchorage Deadball Team Rebound.,33,32
0:31,1,Sekou Wiggs made Free Throw.,33,33
0:05,2181,Foul on Kory Kuenstling.,33,33
0:05,2181,Kory Kuenstling Turnover.,33,33
0:00,1,Foul on Diante Mitchell.,33,33
0:00,1,Diante Mitchell Turnover.,33,33
0:00,1,End of 1st half,33,33
19:32,2181,De'Antae McMurray missed Three Point Jumper.,33,33
19:32,1,Corey Hammell Defensive Rebound.,33,33
18:52,1,Sekou Wiggs missed Layup.,33,33
18:52,2181,Casey Schlatter Defensive Rebound.,33,33
18:46,2181,Graham Woodward missed Three Point Jumper.,33,33
18:46,1,Diante Mitchell Defensive Rebound.,33,33
18:40,1,Sekou Wiggs made Three Point Jumper. Assisted by Diante Mitchell.,33,36
18:24,2181,Foul on Kory Kuenstling.,33,36
18:24,2181,Kory Kuenstling Turnover.,33,36
18:05,1,Sekou Wiggs made Jumper. Assisted by Diante Mitchell.,33,38
17:50,2181,Foul on De'Antae McMurray.,33,38
17:50,2181,De'Antae McMurray Turnover.,33,38
17:22,1,Spencer Svejcar missed Layup.,33,38
17:22,2181,Reed Timmer Defensive Rebound.,33,38
17:15,2181,Billy Wampler made Layup. Assisted by Casey Schlatter.,35,38
16:45,1,Connor Devine missed Jumper.,35,38
16:45,2181,Drake Defensive Rebound.,35,38
16:31,2181,Graham Woodward missed Three Point Jumper.,35,38
16:31,2181,Casey Schlatter Offensive Rebound.,35,38
16:27,2181,Billy Wampler missed Three Point Jumper.,35,38
16:27,1,Sekou Wiggs Defensive Rebound.,35,38
16:17,1,Sekou Wiggs missed Jumper.,35,38
16:17,1,Connor Devine Offensive Rebound.,35,38
16:10,1,Connor Devine made Dunk.,35,40
16:10,1,Technical Foul on Connor Devine.,35,40
16:10,2181,Billy Wampler made Free Throw.,36,40
15:48,2181,Billy Wampler Turnover.,36,40
15:48,1,Official TV Timeout,36,40
15:28,1,Sekou Wiggs made Three Point Jumper.,36,43
15:28,2181,Foul on Graham Woodward.,36,43
15:28,1,Sekou Wiggs missed Free Throw.,36,43
15:28,2181,T.J. Thomas Defensive Rebound.,36,43
14:55,2181,Graham Woodward missed Three Point Jumper.,36,43
14:55,1,Diante Mitchell Block.,36,43
14:55,1,Alaska Anchorage Deadball Team Rebound.,36,43
14:37,1,Spencer Svejcar missed Three Point Jumper.,36,43
14:37,1,Corey Hammell Offensive Rebound.,36,43
14:31,1,Alaska Anchorage  Timeout,36,43
14:15,1,Sekou Wiggs made Three Point Jumper. Assisted by Spencer Svejcar.,36,46
13:43,2181,Reed Timmer made Jumper.,38,46
13:25,1,Diante Mitchell made Three Point Jumper. Assisted by Sekou Wiggs.,38,49
12:49,1,Foul on Corey Hammell.,38,49
12:49,2181,Reed Timmer made Free Throw.,39,49
12:49,2181,Reed Timmer made Free Throw.,40,49
12:40,1,Sekou Wiggs missed Three Point Jumper.,40,49
12:40,1,Spencer Svejcar Offensive Rebound.,40,49
12:31,1,Diante Mitchell made Three Point Jumper. Assisted by Spencer Svejcar.,40,52
12:12,1,Foul on Augustus Simmers.,40,52
12:06,2181,De'Antae McMurray missed Jumper.,40,52
12:06,1,Diante Mitchell Defensive Rebound.,40,52
11:41,1,Spencer Svejcar made Three Point Jumper.,40,55
11:36,2181,Drake  Timeout,40,55
11:27,2181,De'Antae McMurray missed Layup.,40,55
11:27,2181,Nick McGlynn Offensive Rebound.,40,55
11:24,2181,Nick McGlynn made Two Point Tip Shot.,42,55
10:57,1,Sekou Wiggs missed Three Point Jumper.,42,55
10:57,2181,C.J. Rivers Defensive Rebound.,42,55
10:49,1,Foul on Sekou Wiggs.,42,55
10:49,2181,Nick McGlynn made Free Throw.,43,55
10:49,2181,Nick McGlynn made Free Throw.,44,55
10:28,1,Diante Mitchell missed Three Point Jumper.,44,55
10:28,2181,Billy Wampler Defensive Rebound.,44,55
10:15,1,Foul on Connor Devine.,44,55
10:15,2181,Nick McGlynn made Free Throw.,45,55
10:15,2181,Nick McGlynn made Free Throw.,46,55
9:54,1,Sekou Wiggs made Layup. Assisted by Spencer Svejcar.,46,57
9:54,2181,Foul on Nick McGlynn.,46,57
9:54,1,Sekou Wiggs made Free Throw.,46,58
9:33,2181,Foul on Nick McGlynn.,46,58
9:33,2181,Nick McGlynn Turnover.,46,58
9:07,1,Spencer Svejcar missed Jumper.,46,58
9:07,2181,Billy Wampler Defensive Rebound.,46,58
8:58,2181,Reed Timmer made Three Point Jumper. Assisted by De'Antae McMurray.,49,58
8:18,2181,Foul on C.J. Rivers.,49,58
8:18,1,Sekou Wiggs made Free Throw.,49,59
8:18,1,Sekou Wiggs made Free Throw.,49,60
8:07,2181,Billy Wampler Turnover.,49,60
8:06,1,Sekou Wiggs Steal.,49,60
8:04,1,Sekou Wiggs made Layup.,49,62
7:55,1,Foul on Ashton Pomrehn.,49,62
7:52,2181,Graham Woodward missed Layup.,49,62
7:52,1,Ashton Pomrehn Block.,49,62
7:52,1,Spencer Svejcar Defensive Rebound.,49,62
7:26,1,Sekou Wiggs missed Three Point Jumper.,49,62
7:26,2181,Graham Woodward Defensive Rebound.,49,62
7:17,2181,Ore Arogundade Turnover.,49,62
7:15,1,Connor Devine Steal.,49,62
7:02,1,Corey Hammell made Layup. Assisted by Connor Devine.,49,64
6:45,2181,Ore Arogundade missed Jumper.,49,64
6:45,1,Spencer Svejcar Defensive Rebound.,49,64
6:22,1,Connor Devine missed Three Point Jumper.,49,64
6:22,2181,Drake Defensive Rebound.,49,64
6:20,1,Official TV Timeout,49,64
5:51,2181,De'Antae McMurray made Three Point Jumper. Assisted by Graham Woodward.,52,64
5:28,1,Sekou Wiggs missed Three Point Jumper.,52,64
5:28,2181,Billy Wampler Defensive Rebound.,52,64
5:24,2181,Billy Wampler missed Layup.,52,64
5:23,1,Sekou Wiggs Block.,52,64
5:23,2181,Drake Offensive Rebound.,52,64
5:16,2181,Johannes Dolven missed Layup.,52,64
5:16,1,Connor Devine Block.,52,64
5:15,1,Connor Devine Defensive Rebound.,52,64
4:58,2181,Foul on Johannes Dolven.,52,64
4:58,1,Connor Devine missed Free Throw.,52,64
4:58,2181,Reed Timmer Defensive Rebound.,52,64
4:41,2181,Ore Arogundade missed Three Point Jumper.,52,64
4:41,1,Diante Mitchell Defensive Rebound.,52,64
4:23,1,Sekou Wiggs Turnover.,52,64
4:22,2181,Reed Timmer Steal.,52,64
4:20,2181,Reed Timmer made Layup.,54,64
4:17,1,Alaska Anchorage  Timeout,54,64
4:05,1,Ashton Pomrehn made Three Point Jumper. Assisted by Diante Mitchell.,54,67
3:45,2181,Graham Woodward made Three Point Jumper. Assisted by De'Antae McMurray.,57,67
3:28,2181,Foul on De'Antae McMurray.,57,67
3:28,1,Spencer Svejcar made Free Throw.,57,68
3:28,1,Spencer Svejcar made Free Throw.,57,69
3:16,2181,Reed Timmer made Layup.,59,69
3:02,1,Diante Mitchell Turnover.,59,69
2:55,2181,Ore Arogundade made Three Point Jumper. Assisted by Reed Timmer.,62,69
2:38,1,Alaska Anchorage  Timeout,62,69
2:21,1,Ashton Pomrehn missed Three Point Jumper.,62,69
2:21,1,Sjur Berg Offensive Rebound.,62,69
2:02,2181,Foul on Ore Arogundade.,62,69
2:02,1,Spencer Svejcar made Free Throw.,62,70
2:02,1,Spencer Svejcar made Free Throw.,62,71
1:54,1,Foul on Spencer Svejcar.,62,71
1:54,2181,Reed Timmer made Layup.,64,71
1:29,1,Sjur Berg Turnover.,64,71
1:28,2181,Graham Woodward Steal.,64,71
1:25,2181,Graham Woodward missed Layup.,64,71
1:25,1,Diante Mitchell Block.,64,71
1:23,1,Diante Mitchell Defensive Rebound.,64,71
1:12,2181,Foul on Ore Arogundade.,64,71
1:12,1,Diante Mitchell made Free Throw.,64,72
1:12,1,Diante Mitchell made Free Throw.,64,73
1:01,2181,Reed Timmer made Jumper.,66,73
0:59,2181,Drake  Timeout,66,73
0:49,1,Alaska Anchorage  Turnover.,66,73
0:40,2181,Reed Timmer Turnover.,66,73
0:39,1,Diante Mitchell Steal.,66,73
0:36,1,Diante Mitchell Turnover.,66,73
0:29,2181,De'Antae McMurray missed Three Point Jumper.,66,73
0:29,1,Corey Hammell Defensive Rebound.,66,73
0:10,2181,Foul on Reed Timmer.,66,73
0:10,1,Corey Hammell missed Free Throw.,66,73
0:10,1,Alaska Anchorage Deadball Team Rebound.,66,73
0:10,1,Corey Hammell made Free Throw.,66,74
0:05,2181,Ore Arogundade made Three Point Jumper. Assisted by Reed Timmer.,69,74
0:00,1,End of Game,69,74
