South Alabama,2197,Eastern Illinois,6
2:28,2197,Ray Crossland made Dunk. Assisted by Cornell Johnston.,27,32
2:24,6,South Alabama  Timeout,27,32
2:08,6,Shaq Calhoun Turnover.,27,32
2:07,2197,Ray Crossland Steal.,27,32
2:06,2197,Ray Crossland missed Layup.,27,32
2:06,2197,Montell Goodwin Offensive Rebound.,27,32
2:04,2197,Montell Goodwin missed Jumper.,27,32
2:04,2197,Muusa Dama Offensive Rebound.,27,32
2:04,2197,Joe Kuligoski made Layup.,27,34
2:01,6,Don MuepoKelly made Jumper.,29,34
1:32,2197,Eastern Illinois  Timeout,29,34
1:18,2197,Cornell Johnston missed Three Point Jumper.,29,34
1:18,6,Nick Stover Defensive Rebound.,29,34
1:14,2197,Foul on Muusa Dama.,29,34
1:14,6,Nick Stover made Free Throw.,30,34
1:14,6,Nick Stover made Free Throw.,31,34
1:01,2197,Montell Goodwin Turnover.,31,34
0:59,6,Ken Williams Steal.,31,34
0:42,6,Shaq Calhoun made Layup.,33,34
0:19,6,Foul on Ken Williams.,33,34
0:19,2197,Montell Goodwin made Free Throw.,33,35
0:19,2197,Montell Goodwin made Free Throw.,33,36
0:06,6,Shaq Calhoun missed Three Point Jumper.,33,36
0:06,6,Josh Ajayi Offensive Rebound.,33,36
0:02,6,Josh Ajayi missed Jumper.,33,36
0:02,6,Ken Williams Offensive Rebound.,33,36
0:00,2197,End of 1st half,33,36
19:42,6,Shaq Calhoun Turnover.,33,36
19:40,2197,Montell Goodwin Steal.,33,36
19:38,2197,Demetrius McReynolds missed Layup.,33,36
19:38,6,Ken Williams Defensive Rebound.,33,36
19:22,6,Don MuepoKelly made Jumper. Assisted by Josh Ajayi.,35,36
18:57,2197,Patrick Muldoon missed Jumper.,35,36
18:57,6,Dederick Lee Defensive Rebound.,35,36
18:42,2197,Foul on Muusa Dama.,35,36
18:39,6,Ken Williams missed Three Point Jumper.,35,36
18:39,2197,Patrick Muldoon Defensive Rebound.,35,36
18:29,2197,Foul on Montell Goodwin.,35,36
18:29,2197,Montell Goodwin Turnover.,35,36
18:22,6,Don MuepoKelly Turnover.,35,36
18:08,2197,Demetrius McReynolds made Jumper. Assisted by Patrick Muldoon.,35,38
17:44,6,Shaq Calhoun missed Three Point Jumper.,35,38
17:44,2197,Demetrius McReynolds Defensive Rebound.,35,38
17:34,6,Foul on Shaq Calhoun.,35,38
17:32,2197,Demetrius McReynolds Turnover.,35,38
17:05,6,Ken Williams made Jumper.,37,38
16:47,6,Foul on Josh Ajayi.,37,38
16:27,2197,Casey Teson missed Jumper.,37,38
16:27,2197,Demetrius McReynolds Offensive Rebound.,37,38
16:19,2197,Ray Crossland made Three Point Jumper. Assisted by Cornell Johnston.,37,41
16:04,6,Josh Ajayi made Layup. Assisted by Dederick Lee.,39,41
15:55,2197,Casey Teson made Three Point Jumper. Assisted by Cornell Johnston.,39,44
15:38,6,Don MuepoKelly missed Jumper.,39,44
15:38,2197,Ray Crossland Defensive Rebound.,39,44
15:31,2197,Ray Crossland Turnover.,39,44
15:29,6,Ken Williams Steal.,39,44
15:27,6,Ken Williams made Layup.,41,44
14:58,2197,Ray Crossland made Jumper. Assisted by Patrick Muldoon.,41,46
14:43,6,Nick Stover made Three Point Jumper. Assisted by Dederick Lee.,44,46
14:25,2197,Cornell Johnston made Jumper.,44,48
14:06,6,Nick Stover Turnover.,44,48
14:05,2197,Ray Crossland Steal.,44,48
14:02,2197,Ray Crossland made Layup.,44,50
14:01,2197,Official TV Timeout,44,50
13:39,2197,Foul on Montell Goodwin.,44,50
13:39,6,Ken Williams made Free Throw.,45,50
13:39,6,Ken Williams made Free Throw.,46,50
13:24,2197,Demetrius McReynolds missed Jumper.,46,50
13:24,6,Nick Stover Block.,46,50
13:24,2197,Eastern Illinois Offensive Rebound.,46,50
13:14,6,Foul on Kevin Morris.,46,50
12:56,2197,Demetrius McReynolds missed Jumper.,46,50
12:56,2197,Patrick Muldoon Offensive Rebound.,46,50
12:48,2197,Cornell Johnston missed Three Point Jumper.,46,50
12:48,2197,Ray Crossland Offensive Rebound.,46,50
12:40,6,Foul on Kevin Morris.,46,50
12:24,2197,Montell Goodwin made Three Point Jumper. Assisted by Cornell Johnston.,46,53
11:59,6,Georgi Boyanov missed Jumper.,46,53
11:59,2197,Patrick Muldoon Defensive Rebound.,46,53
11:55,6,Foul on Georgi Boyanov.,46,53
11:55,6,Technical Foul on Georgi Boyanov.,46,53
11:55,2197,Cornell Johnston missed Free Throw.,46,53
11:55,2197,Eastern Illinois Deadball Team Rebound.,46,53
11:55,2197,Cornell Johnston made Free Throw.,46,54
11:36,2197,Montell Goodwin missed Three Point Jumper.,46,54
11:36,6,Josh Ajayi Defensive Rebound.,46,54
11:25,6,Herb McGee Turnover.,46,54
11:24,2197,Muusa Dama Steal.,46,54
10:59,2197,Montell Goodwin missed Jumper.,46,54
10:59,2197,Ray Crossland Offensive Rebound.,46,54
10:42,2197,Eastern Illinois  Timeout,46,54
10:32,2197,Demetrius McReynolds missed Three Point Jumper.,46,54
10:32,6,Don MuepoKelly Defensive Rebound.,46,54
10:21,6,Foul on Ken Williams.,46,54
10:21,6,Ken Williams Turnover.,46,54
10:06,2197,Muusa Dama missed Jumper.,46,54
10:06,6,Don MuepoKelly Block.,46,54
10:03,2197,Cornell Johnston Offensive Rebound.,46,54
9:57,2197,Demetrius McReynolds missed Three Point Jumper.,46,54
9:57,6,Ken Williams Defensive Rebound.,46,54
9:47,6,Shaq Calhoun missed Three Point Jumper.,46,54
9:47,2197,Muusa Dama Defensive Rebound.,46,54
9:17,2197,Montell Goodwin Turnover.,46,54
9:05,6,Don MuepoKelly Turnover.,46,54
9:04,2197,Montell Goodwin Steal.,46,54
8:55,2197,Cornell Johnston Turnover.,46,54
8:43,2197,Foul on Montell Goodwin.,46,54
8:34,6,Nick Stover missed Jumper.,46,54
8:34,2197,Muusa Dama Defensive Rebound.,46,54
8:10,2197,Patrick Muldoon made Layup. Assisted by Muusa Dama.,46,56
7:52,6,Don MuepoKelly missed Jumper.,46,56
7:52,2197,Muusa Dama Defensive Rebound.,46,56
7:44,2197,Casey Teson missed Three Point Jumper.,46,56
7:44,2197,Muusa Dama Offensive Rebound.,46,56
7:38,2197,Muusa Dama missed Jumper.,46,56
7:38,6,Nick Stover Defensive Rebound.,46,56
7:35,6,Ken Williams Turnover.,46,56
7:35,2197,Official TV Timeout,46,56
7:18,2197,Demetrius McReynolds missed Jumper.,46,56
7:18,6,Don MuepoKelly Defensive Rebound.,46,56
7:07,2197,Foul on Patrick Muldoon.,46,56
6:59,6,Ken Williams missed Three Point Jumper.,46,56
6:59,6,Don MuepoKelly Offensive Rebound.,46,56
6:54,6,Ken Williams Turnover.,46,56
6:37,2197,Ray Crossland Turnover.,46,56
6:36,6,Josh Ajayi Steal.,46,56
6:30,6,Nick Stover made Three Point Jumper. Assisted by Georgi Boyanov.,49,56
6:16,2197,Cornell Johnston Turnover.,49,56
6:15,6,Josh Ajayi Steal.,49,56
6:01,6,Ken Williams made Jumper.,51,56
5:46,6,Foul on Josh Ajayi.,51,56
5:46,2197,Muusa Dama made Free Throw.,51,57
5:46,2197,Muusa Dama made Free Throw.,51,58
5:27,6,Ken Williams missed Jumper.,51,58
5:27,6,Ken Williams Offensive Rebound.,51,58
5:23,6,Ken Williams missed Jumper.,51,58
5:23,6,Shaq Calhoun Offensive Rebound.,51,58
5:19,6,Shaq Calhoun made Layup.,53,58
4:52,2197,Muusa Dama made Jumper. Assisted by Montell Goodwin.,53,60
4:34,6,Josh Ajayi missed Jumper.,53,60
4:34,6,Georgi Boyanov Offensive Rebound.,53,60
4:27,6,Josh Ajayi Turnover.,53,60
4:25,2197,Casey Teson Steal.,53,60
4:05,2197,Patrick Muldoon made Jumper. Assisted by Cornell Johnston.,53,62
3:46,6,Ken Williams missed Jumper.,53,62
3:46,2197,Montell Goodwin Defensive Rebound.,53,62
3:27,6,Foul on Nick Stover.,53,62
3:27,2197,Official TV Timeout,53,62
3:27,2197,Montell Goodwin made Free Throw.,53,63
3:27,2197,Montell Goodwin missed Free Throw.,53,63
3:27,2197,Patrick Muldoon Offensive Rebound.,53,63
3:01,2197,Montell Goodwin made Three Point Jumper. Assisted by Patrick Muldoon.,53,66
2:42,6,Ken Williams Turnover.,53,66
2:40,2197,Cornell Johnston Steal.,53,66
2:14,2197,Foul on Ray Crossland.,53,66
2:14,2197,Ray Crossland Turnover.,53,66
2:05,6,Shaq Calhoun missed Three Point Jumper.,53,66
2:05,6,Ken Williams Offensive Rebound.,53,66
1:58,6,Ken Williams made Jumper.,55,66
1:29,2197,Cornell Johnston missed Three Point Jumper.,55,66
1:29,6,Georgi Boyanov Defensive Rebound.,55,66
1:03,6,Ken Williams made Jumper.,57,66
1:01,6,South Alabama  Timeout,57,66
0:52,6,Foul on Ken Williams.,57,66
0:52,2197,Cornell Johnston made Free Throw.,57,67
0:52,2197,Cornell Johnston missed Free Throw.,57,67
0:52,6,Georgi Boyanov Defensive Rebound.,57,67
0:50,6,Shaq Calhoun missed Three Point Jumper.,57,67
0:50,6,Georgi Boyanov Offensive Rebound.,57,67
0:44,6,Georgi Boyanov made Jumper.,59,67
0:37,6,Foul on Shaq Calhoun.,59,67
0:37,2197,Muusa Dama made Free Throw.,59,68
0:37,2197,Muusa Dama made Free Throw.,59,69
0:35,6,Ken Williams missed Jumper.,59,69
0:35,2197,Ray Crossland Defensive Rebound.,59,69
0:31,6,Foul on Nick Stover.,59,69
0:31,2197,Ray Crossland missed Free Throw.,59,69
0:31,2197,Eastern Illinois Deadball Team Rebound.,59,69
0:31,2197,Ray Crossland missed Free Throw.,59,69
0:31,6,Georgi Boyanov Defensive Rebound.,59,69
0:24,2197,Foul on Patrick Muldoon.,59,69
0:24,6,Nick Stover made Free Throw.,60,69
0:24,6,Nick Stover made Free Throw.,61,69
0:24,6,Nick Stover made Free Throw.,62,69
0:22,2197,Eastern Illinois  Timeout,62,69
0:22,2197,Patrick Muldoon Turnover.,62,69
0:19,6,Nick Stover Turnover.,62,69
0:19,2197,Patrick Muldoon Steal.,62,69
0:16,6,Foul on Nick Stover.,62,69
0:16,2197,Ray Crossland made Free Throw.,62,70
0:16,2197,Ray Crossland missed Free Throw.,62,70
0:16,6,Georgi Boyanov Defensive Rebound.,62,70
0:16,6,Herb McGee Turnover.,62,70
0:10,6,Foul on Herb McGee.,62,70
0:10,2197,Cornell Johnston made Free Throw.,62,71
0:10,2197,Cornell Johnston made Free Throw.,62,72
0:07,6,Nick Stover missed Three Point Jumper.,62,72
0:07,6,South Alabama Offensive Rebound.,62,72
0:02,6,Nick Davis missed Three Point Jumper.,62,72
0:02,2197,Montell Goodwin Defensive Rebound.,62,72
0:00,2197,End of Game,62,72
