South Carolina,183,Syracuse,2579
14:39,183,Andrew White III made Free Throw.,42,38
14:19,2579,Chris Silva Turnover.,42,38
14:08,183,Frank Howard missed Dunk.,42,38
14:08,2579,Sedee Keita Block.,42,38
14:08,2579,Hassani Gravett Defensive Rebound.,42,38
13:57,2579,Hassani Gravett made Layup.,44,38
13:40,2579,Foul on Sedee Keita.,44,38
13:40,183,DaJuan Coleman made Free Throw.,44,39
13:40,183,DaJuan Coleman missed Free Throw.,44,39
13:40,2579,Chris Silva Defensive Rebound.,44,39
13:23,2579,Duane Notice made Three Point Jumper. Assisted by Justin McKie.,47,39
13:02,2579,Foul on Duane Notice.,47,39
13:02,183,Frank Howard made Free Throw.,47,40
13:02,183,Frank Howard made Free Throw.,47,41
12:54,2579,Maik Kotsar missed Layup.,47,41
12:54,183,Tyler Lydon Defensive Rebound.,47,41
12:41,183,Taurean Thompson Turnover.,47,41
12:41,2579,Hassani Gravett Steal.,47,41
12:41,2579,Jump Ball won by South Carolina,47,41
12:19,2579,Justin McKie Turnover.,47,41
12:19,183,Frank Howard Steal.,47,41
11:53,183,Frank Howard missed Three Point Jumper.,47,41
11:53,2579,PJ Dozier Defensive Rebound.,47,41
11:46,2579,PJ Dozier Turnover.,47,41
11:46,183,Frank Howard Steal.,47,41
11:39,2579,Foul on Sindarius Thornwell.,47,41
11:39,183,Official TV Timeout,47,41
11:39,183,Andrew White III made Free Throw.,47,42
11:39,183,Andrew White III made Free Throw.,47,43
11:19,2579,Maik Kotsar made Layup. Assisted by Sindarius Thornwell.,49,43
10:49,2579,Foul on Maik Kotsar.,49,43
10:49,183,Frank Howard missed Free Throw.,49,43
10:49,183,Syracuse Deadball Team Rebound.,49,43
10:49,183,Frank Howard missed Free Throw.,49,43
10:49,2579,South Carolina Defensive Rebound.,49,43
10:49,183,Foul on Taurean Thompson.,49,43
10:39,2579,Hassani Gravett missed Three Point Jumper.,49,43
10:39,2579,PJ Dozier Offensive Rebound.,49,43
10:34,2579,PJ Dozier made Jumper.,51,43
10:10,183,Tyler Lydon Turnover.,51,43
10:10,2579,Maik Kotsar Steal.,51,43
9:40,183,Foul on Taurean Thompson.,51,43
9:37,183,Foul on Paschal Chukwu.,51,43
9:24,2579,PJ Dozier missed Jumper.,51,43
9:24,183,Tyler Lydon Defensive Rebound.,51,43
9:14,2579,Foul on PJ Dozier.,51,43
9:14,183,Frank Howard missed Free Throw.,51,43
9:14,183,Syracuse Deadball Team Rebound.,51,43
9:14,183,Frank Howard missed Free Throw.,51,43
9:14,2579,PJ Dozier Defensive Rebound.,51,43
8:50,2579,PJ Dozier missed Jumper.,51,43
8:50,183,Tyler Lydon Defensive Rebound.,51,43
8:22,183,Tyler Lydon missed Three Point Jumper.,51,43
8:22,2579,Hassani Gravett Defensive Rebound.,51,43
7:49,2579,Sedee Keita missed Layup.,51,43
7:49,2579,Chris Silva Offensive Rebound.,51,43
7:27,2579,Hassani Gravett Turnover.,51,43
7:27,183,Official TV Timeout,51,43
7:04,183,Frank Howard missed Jumper.,51,43
7:04,2579,Duane Notice Defensive Rebound.,51,43
6:48,2579,Sedee Keita missed Jumper.,51,43
6:48,2579,Chris Silva Offensive Rebound.,51,43
6:42,2579,Chris Silva missed Layup.,51,43
6:42,183,Paschal Chukwu Block.,51,43
6:42,183,Paschal Chukwu Defensive Rebound.,51,43
6:34,183,Andrew White III made Three Point Jumper. Assisted by Frank Howard.,51,46
6:08,2579,Hassani Gravett missed Jumper.,51,46
6:08,183,Andrew White III Defensive Rebound.,51,46
5:49,183,Tyler Lydon missed Jumper.,51,46
5:49,2579,Sedee Keita Defensive Rebound.,51,46
5:19,2579,Duane Notice missed Three Point Jumper.,51,46
5:19,183,Tyler Lydon Defensive Rebound.,51,46
5:08,183,Tyler Roberson missed Layup.,51,46
5:08,2579,Justin McKie Defensive Rebound.,51,46
4:47,183,Foul on Andrew White III.,51,46
4:37,2579,Maik Kotsar made Layup. Assisted by Sindarius Thornwell.,53,46
4:04,183,Tyler Lydon Turnover.,53,46
4:03,2579,South Carolina  Timeout,53,46
3:41,183,Foul on Paschal Chukwu.,53,46
3:41,2579,Sindarius Thornwell made Free Throw.,54,46
3:41,2579,Sindarius Thornwell made Free Throw.,55,46
3:31,183,Andrew White III missed Three Point Jumper.,55,46
3:31,2579,South Carolina Defensive Rebound.,55,46
2:58,2579,Maik Kotsar made Jumper. Assisted by Hassani Gravett.,57,46
2:45,183,Frank Howard made Jumper.,57,48
2:15,183,Foul on Paschal Chukwu.,57,48
2:15,2579,Sindarius Thornwell made Free Throw.,58,48
2:15,2579,Sindarius Thornwell made Free Throw.,59,48
2:06,183,Andrew White III missed Three Point Jumper.,59,48
2:06,2579,Duane Notice Defensive Rebound.,59,48
2:00,183,Foul on Andrew White III.,59,48
2:00,2579,Duane Notice made Free Throw.,60,48
2:00,2579,Duane Notice missed Free Throw.,60,48
2:00,183,Taurean Thompson Defensive Rebound.,60,48
1:55,183,Frank Howard missed Layup.,60,48
1:55,2579,Maik Kotsar Defensive Rebound.,60,48
1:54,183,Foul on Taurean Thompson.,60,48
1:54,2579,Maik Kotsar made Free Throw.,61,48
1:54,2579,Maik Kotsar made Free Throw.,62,48
1:37,183,Taurean Thompson missed Jumper.,62,48
1:37,2579,PJ Dozier Defensive Rebound.,62,48
1:26,2579,Maik Kotsar made Layup. Assisted by Sindarius Thornwell.,64,48
1:03,183,Taurean Thompson missed Layup.,64,48
1:03,183,Taurean Thompson Offensive Rebound.,64,48
0:55,183,Taurean Thompson made Layup.,64,50
0:34,2579,Duane Notice Turnover.,64,50
0:26,183,Taurean Thompson missed Jumper.,64,50
0:26,2579,Sindarius Thornwell Defensive Rebound.,64,50
0:00,183,End of Game,64,50
