St. Francis (PA),44,American,2598
7:45,44,Andrija Matic missed Layup.,20,12
7:45,2598,Josh Nebo Block.,20,12
7:44,2598,Keith Braxton Defensive Rebound.,20,12
7:40,44,Official TV Timeout,20,12
7:38,2598,Keith Braxton missed Layup.,20,12
7:38,2598,Jamaal King Offensive Rebound.,20,12
7:22,2598,Jamaal King made Three Point Jumper. Assisted by Randall Gaskins Jr..,23,12
7:20,2598,Foul on Ifeanyi Umezurike.,23,12
7:11,2598,Foul on Randall Gaskins Jr..,23,12
6:59,44,Charlie Jones Turnover.,23,12
6:41,2598,Keith Braxton made Layup. Assisted by Jamaal King.,25,12
6:31,2598,Foul on Patrick Wrencher.,25,12
6:20,2598,Foul on Randall Gaskins Jr..,25,12
6:20,44,Delante Jones missed Free Throw.,25,12
6:20,44,American Deadball Team Rebound.,25,12
6:20,44,Delante Jones made Free Throw.,25,13
6:09,2598,Jamaal King made Three Point Jumper.,28,13
5:34,44,Matt Cimino missed Three Point Jumper.,28,13
5:34,2598,Keith Braxton Defensive Rebound.,28,13
5:26,2598,Keith Braxton Turnover.,28,13
5:25,44,Delante Jones Steal.,28,13
5:10,2598,Foul on Isaiah Blackmon.,28,13
5:10,44,Sa'eed Nelson made Free Throw.,28,14
5:10,44,Sa'eed Nelson made Free Throw.,28,15
4:48,2598,Isaiah Blackmon made Three Point Jumper. Assisted by Georgios Angelou.,31,15
4:19,2598,Foul on Isaiah Blackmon.,31,15
4:19,44,Delante Jones missed Free Throw.,31,15
4:19,44,American Deadball Team Rebound.,31,15
4:19,44,Delante Jones made Free Throw.,31,16
3:53,2598,Keith Braxton missed Jumper.,31,16
3:53,44,Charlie Jones Block.,31,16
3:51,44,Sa'eed Nelson Defensive Rebound.,31,16
3:43,44,Charlie Jones made Layup. Assisted by Mark Gasperini.,31,18
3:23,2598,Josh Nebo missed Jumper.,31,18
3:23,44,Mark Gasperini Defensive Rebound.,31,18
3:10,44,Delante Jones made Jumper. Assisted by Mark Gasperini.,31,20
2:49,44,Foul on Sa'eed Nelson.,31,20
2:49,44,Official TV Timeout,31,20
2:49,2598,Josh Nebo made Free Throw.,32,20
2:49,2598,Josh Nebo missed Free Throw.,32,20
2:49,44,James Washington Defensive Rebound.,32,20
2:31,44,Mark Gasperini missed Three Point Jumper.,32,20
2:31,2598,Scott Meredith Defensive Rebound.,32,20
2:11,2598,Jamaal King Turnover.,32,20
2:09,44,James Washington Steal.,32,20
1:49,44,Sa'eed Nelson made Three Point Jumper. Assisted by Charlie Jones.,32,23
1:30,2598,Georgios Angelou made Three Point Jumper. Assisted by Scott Meredith.,35,23
1:05,44,Mark Gasperini missed Jumper.,35,23
1:05,2598,Georgios Angelou Defensive Rebound.,35,23
0:56,2598,Josh Nebo made Jumper.,37,23
0:56,44,Foul on Delante Jones.,37,23
0:56,2598,Josh Nebo missed Free Throw.,37,23
0:56,44,Leon Tolksdorf Defensive Rebound.,37,23
0:43,44,Foul on Charlie Jones.,37,23
0:43,44,Charlie Jones Turnover.,37,23
0:26,2598,Scott Meredith missed Three Point Jumper.,37,23
0:26,44,James Washington Defensive Rebound.,37,23
0:19,44,American  Timeout,37,23
0:08,2598,Foul on Keith Braxton.,37,23
0:08,44,Leon Tolksdorf missed Free Throw.,37,23
0:08,2598,Jamaal King Defensive Rebound.,37,23
0:02,2598,Scott Meredith made Three Point Jumper. Assisted by Georgios Angelou.,40,23
0:00,44,End of 1st half,40,23
19:32,44,Foul on Leon Tolksdorf.,40,23
19:32,2598,Keith Braxton made Free Throw.,41,23
19:32,2598,Keith Braxton made Free Throw.,42,23
19:02,2598,Foul on Randall Gaskins Jr..,42,23
19:02,44,James Washington made Free Throw.,42,24
19:02,44,James Washington made Free Throw.,42,25
18:43,2598,Josh Nebo made Jumper.,44,25
18:29,44,Mark Gasperini missed Jumper.,44,25
18:29,2598,Keith Braxton Defensive Rebound.,44,25
18:25,2598,Keith Braxton Turnover.,44,25
18:24,44,Charlie Jones Steal.,44,25
18:21,44,Charlie Jones made Layup. Assisted by James Washington.,44,27
18:01,2598,Jamaal King Turnover.,44,27
18:00,44,Sa'eed Nelson Steal.,44,27
17:50,44,Mark Gasperini missed Layup.,44,27
17:50,44,Mark Gasperini Offensive Rebound.,44,27
17:48,44,Mark Gasperini made Layup.,44,29
17:31,2598,Jamaal King missed Jumper.,44,29
17:31,44,Charlie Jones Defensive Rebound.,44,29
17:04,44,Mark Gasperini made Dunk. Assisted by Sa'eed Nelson.,44,31
16:49,44,Foul on Charlie Jones.,44,31
16:49,2598,Keith Braxton made Free Throw.,45,31
16:49,2598,Keith Braxton missed Free Throw.,45,31
16:49,44,Mark Gasperini Defensive Rebound.,45,31
16:24,44,Mark Gasperini made Jumper.,45,33
15:58,2598,Deivydas Kuzavas missed Jumper.,45,33
15:58,44,James Washington Defensive Rebound.,45,33
15:47,44,Delante Jones Turnover.,45,33
15:46,2598,Isaiah Blackmon Steal.,45,33
15:40,44,Foul on James Washington.,45,33
15:40,44,Official TV Timeout,45,33
15:40,2598,Georgios Angelou made Free Throw.,46,33
15:40,2598,Georgios Angelou made Free Throw.,47,33
15:29,2598,Foul on Isaiah Blackmon.,47,33
15:25,44,Sa'eed Nelson made Layup.,47,35
15:01,2598,Scott Meredith Turnover.,47,35
14:43,44,Mark Gasperini made Three Point Jumper. Assisted by Sa'eed Nelson.,47,38
14:12,2598,Georgios Angelou missed Three Point Jumper.,47,38
14:12,44,Delante Jones Defensive Rebound.,47,38
13:48,44,James Washington missed Three Point Jumper.,47,38
13:48,2598,Scott Meredith Defensive Rebound.,47,38
13:24,2598,Andre Wolford missed Three Point Jumper.,47,38
13:24,2598,Andre Wolford Offensive Rebound.,47,38
13:20,44,Foul on Delante Jones.,47,38
13:03,2598,Jamaal King missed Three Point Jumper.,47,38
13:03,44,Sa'eed Nelson Defensive Rebound.,47,38
12:42,2598,Foul on Ifeanyi Umezurike.,47,38
12:42,2598,Foul on Ifeanyi Umezurike.,47,38
12:42,44,James Washington made Free Throw.,47,39
12:42,2598,Technical Foul on Ifeanyi Umezurike.,47,38
12:42,44,James Washington made Free Throw.,47,40
12:36,44,Mark Gasperini missed Three Point Jumper.,47,40
12:36,44,Sa'eed Nelson Offensive Rebound.,47,40
12:27,44,Jalen Rhea missed Three Point Jumper.,47,40
12:27,2598,Scott Meredith Defensive Rebound.,47,40
12:18,2598,Scott Meredith missed Three Point Jumper.,47,40
12:18,44,Jalen Rhea Defensive Rebound.,47,40
11:52,44,Jalen Rhea missed Three Point Jumper.,47,40
11:52,2598,Keith Braxton Defensive Rebound.,47,40
11:44,2598,Keith Braxton made Layup.,49,40
11:20,44,Sa'eed Nelson missed Layup.,49,40
11:20,2598,Keith Braxton Defensive Rebound.,49,40
11:10,2598,Scott Meredith missed Layup.,49,40
11:10,44,Jalen Rhea Block.,49,40
11:09,44,Leon Tolksdorf Defensive Rebound.,49,40
11:01,44,American  Timeout,49,40
11:01,44,Official TV Timeout,49,40
10:45,2598,Foul on Jamaal King.,49,40
10:45,44,Official TV Timeout,49,40
10:45,44,Sa'eed Nelson made Free Throw.,49,41
10:45,44,Sa'eed Nelson missed Free Throw.,49,41
10:45,2598,Josh Nebo Defensive Rebound.,49,41
10:19,2598,Jamaal King made Layup.,51,41
10:03,44,Sa'eed Nelson missed Three Point Jumper.,51,41
10:03,2598,St. Francis (PA) Defensive Rebound.,51,41
9:45,2598,Josh Nebo made Layup. Assisted by Jamaal King.,53,41
9:19,44,Mark Gasperini made Layup. Assisted by Sa'eed Nelson.,53,43
8:59,44,Foul on Mark Gasperini.,53,43
8:58,2598,Jamaal King Turnover.,53,43
8:57,44,Sa'eed Nelson Steal.,53,43
8:54,44,James Washington missed Layup.,53,43
8:54,2598,Keith Braxton Defensive Rebound.,53,43
8:46,2598,Jamaal King missed Three Point Jumper.,53,43
8:46,44,Mark Gasperini Defensive Rebound.,53,43
8:36,44,Sa'eed Nelson made Layup.,53,45
8:19,2598,Jamaal King Turnover.,53,45
8:17,44,Sa'eed Nelson Steal.,53,45
8:12,44,Jalen Rhea made Three Point Jumper. Assisted by Leon Tolksdorf.,53,48
7:45,44,Foul on James Washington.,53,48
7:45,44,Official TV Timeout,53,48
7:35,2598,Georgios Angelou missed Three Point Jumper.,53,48
7:35,44,Leon Tolksdorf Block.,53,48
7:34,44,Sa'eed Nelson Defensive Rebound.,53,48
7:11,44,James Washington missed Jumper.,53,48
7:11,2598,Jamaal King Defensive Rebound.,53,48
7:03,2598,Jamaal King missed Jumper.,53,48
7:03,2598,Josh Nebo Offensive Rebound.,53,48
7:00,2598,Josh Nebo made Two Point Tip Shot.,55,48
6:44,44,Leon Tolksdorf Turnover.,55,48
6:30,2598,Georgios Angelou missed Three Point Jumper.,55,48
6:30,44,Sa'eed Nelson Defensive Rebound.,55,48
6:07,44,Mark Gasperini made Three Point Jumper. Assisted by Leon Tolksdorf.,55,51
5:52,2598,Randall Gaskins Jr. made Jumper.,57,51
5:29,44,Sa'eed Nelson missed Three Point Jumper.,57,51
5:29,2598,Josh Nebo Defensive Rebound.,57,51
5:19,2598,Keith Braxton made Layup.,59,51
4:51,44,Jalen Rhea missed Jumper.,59,51
4:51,2598,Keith Braxton Defensive Rebound.,59,51
4:44,2598,Josh Nebo made Dunk. Assisted by Keith Braxton.,61,51
4:34,44,American  Timeout,61,51
4:15,44,Mark Gasperini missed Jumper.,61,51
4:15,2598,Josh Nebo Defensive Rebound.,61,51
3:59,2598,Randall Gaskins Jr. missed Layup.,61,51
3:59,2598,Keith Braxton Offensive Rebound.,61,51
3:58,44,Foul on Mark Gasperini.,61,51
3:58,44,Official TV Timeout,61,51
3:58,2598,Keith Braxton made Free Throw.,62,51
3:58,2598,Keith Braxton made Free Throw.,63,51
3:35,44,Sa'eed Nelson Turnover.,63,51
3:34,2598,Keith Braxton Steal.,63,51
3:31,2598,Jamaal King missed Three Point Jumper.,63,51
3:31,44,Delante Jones Defensive Rebound.,63,51
3:17,2598,Foul on Josh Nebo.,63,51
3:17,44,Sa'eed Nelson made Free Throw.,63,52
3:17,44,Sa'eed Nelson made Free Throw.,63,53
3:01,2598,Randall Gaskins Jr. missed Layup.,63,53
3:01,2598,Keith Braxton Offensive Rebound.,63,53
2:52,2598,Randall Gaskins Jr. missed Three Point Jumper.,63,53
2:52,2598,Jamaal King Offensive Rebound.,63,53
2:34,2598,Isaiah Blackmon missed Layup.,63,53
2:34,44,Charlie Jones Defensive Rebound.,63,53
2:26,2598,Foul on Jamaal King.,63,53
2:26,44,Sa'eed Nelson missed Free Throw.,63,53
2:26,44,American Deadball Team Rebound.,63,53
2:26,44,Sa'eed Nelson made Free Throw.,63,54
2:05,44,Foul on Alex Paquin.,63,54
2:05,2598,Isaiah Blackmon made Free Throw.,64,54
2:05,2598,Isaiah Blackmon missed Free Throw.,64,54
2:05,44,James Washington Defensive Rebound.,64,54
1:56,44,James Washington missed Layup.,64,54
1:56,2598,Josh Nebo Block.,64,54
1:53,2598,Josh Nebo Defensive Rebound.,64,54
1:46,44,Foul on Delante Jones.,64,54
1:46,2598,Jamaal King missed Free Throw.,64,54
1:46,44,Mark Gasperini Defensive Rebound.,64,54
1:31,2598,Foul on Josh Nebo.,64,54
1:31,44,Sa'eed Nelson made Free Throw.,64,55
1:31,44,Sa'eed Nelson missed Free Throw.,64,55
1:31,44,Sa'eed Nelson Offensive Rebound.,64,55
1:28,44,Sa'eed Nelson made Layup.,64,57
1:18,2598,Jamaal King Turnover.,64,57
1:15,44,Alex Paquin Steal.,64,57
1:10,44,Sa'eed Nelson missed Three Point Jumper.,64,57
1:10,2598,Keith Braxton Defensive Rebound.,64,57
1:03,44,Foul on Charlie Jones.,64,57
1:03,2598,Keith Braxton made Free Throw.,65,57
1:03,2598,Keith Braxton made Free Throw.,66,57
0:57,44,Leon Tolksdorf made Three Point Jumper. Assisted by Mark Gasperini.,66,60
0:56,44,American  Timeout,66,60
0:54,44,Foul on Kevin Brown.,66,60
0:54,2598,Jamaal King made Free Throw.,67,60
0:54,2598,Jamaal King made Free Throw.,68,60
0:54,2598,St. Francis (PA)  Timeout,68,60
0:43,44,Leon Tolksdorf missed Three Point Jumper.,68,60
0:43,2598,Keith Braxton Defensive Rebound.,68,60
0:34,44,Foul on Leon Tolksdorf.,68,60
0:34,2598,Keith Braxton made Free Throw.,69,60
0:34,2598,Keith Braxton missed Free Throw.,69,60
0:34,2598,St. Francis (PA) Offensive Rebound.,69,60
0:29,44,Foul on Mark Gasperini.,69,60
0:29,2598,Josh Nebo missed Free Throw.,69,60
0:29,2598,St. Francis (PA) Deadball Team Rebound.,69,60
0:29,2598,Josh Nebo missed Free Throw.,69,60
0:29,44,Mark Gasperini Defensive Rebound.,69,60
0:20,44,Sa'eed Nelson made Layup.,69,62
0:14,44,Foul on Leon Tolksdorf.,69,62
0:14,2598,Jamaal King missed Free Throw.,69,62
0:14,2598,St. Francis (PA) Deadball Team Rebound.,69,62
0:14,2598,Jamaal King missed Free Throw.,69,62
0:14,44,James Washington Defensive Rebound.,69,62
0:05,44,Sa'eed Nelson missed Three Point Jumper.,69,62
0:05,2598,Keith Braxton Defensive Rebound.,69,62
0:00,44,End of Game,69,62
