Appalachian State,150,Duke,2026
1:21,150,Luke Kennard made Free Throw.,34,54
1:21,150,Luke Kennard made Free Throw.,34,55
0:59,2026,Matt O'Boyle missed Three Point Jumper.,34,55
0:59,150,Luke Kennard Defensive Rebound.,34,55
0:36,150,Luke Kennard missed Three Point Jumper.,34,55
0:36,2026,Matt O'Boyle Defensive Rebound.,34,55
0:01,2026,Appalachian St  Turnover.,34,55
0:01,150,Duke  Timeout,34,55
0:01,150,Luke Kennard missed Three Point Jumper.,34,55
0:01,150,Duke Deadball Team Rebound.,34,55
0:00,150,End of 1st half,34,55
20:00,2026,Jump Ball won by Appalachian St,34,55
19:36,2026,Griffin Kinney missed Layup.,34,55
19:36,150,Matt Jones Defensive Rebound.,34,55
19:18,150,Frank Jackson made Three Point Jumper. Assisted by Amile Jefferson.,34,58
19:10,2026,Emarius Logan Turnover.,34,58
18:54,150,Frank Jackson made Layup.,34,60
18:38,2026,Foul on Griffin Kinney.,34,60
18:38,2026,Griffin Kinney Turnover.,34,60
18:26,150,Amile Jefferson made Layup.,34,62
18:26,2026,Foul on Emarius Logan.,34,62
18:26,150,Amile Jefferson made Free Throw.,34,63
18:18,2026,Emarius Logan Turnover.,34,63
17:58,150,Amile Jefferson made Jumper.,34,65
17:52,2026,Patrick Good Turnover.,34,65
17:52,150,Matt Jones Steal.,34,65
17:47,150,Luke Kennard made Dunk. Assisted by Matt Jones.,34,67
17:47,2026,Appalachian St  Timeout,34,67
17:33,2026,Griffin Kinney made Jumper.,36,67
17:13,150,Luke Kennard made Jumper. Assisted by Amile Jefferson.,36,69
17:03,150,Foul on Grayson Allen.,36,69
16:41,2026,Jake Babic Turnover.,36,69
16:41,150,Chase Jeter Steal.,36,69
16:10,150,Amile Jefferson Turnover.,36,69
15:58,2026,Griffin Kinney made Layup. Assisted by Jake Babic.,38,69
15:42,2026,Foul on Jake Babic.,38,69
15:42,150,Official TV Timeout,38,69
15:42,150,Luke Kennard missed Free Throw.,38,69
15:42,150,Duke Deadball Team Rebound.,38,69
15:42,150,Luke Kennard made Free Throw.,38,70
15:42,150,Luke Kennard made Free Throw.,38,71
15:29,2026,Griffin Kinney Turnover.,38,71
15:10,150,Amile Jefferson missed Jumper.,38,71
15:10,2026,Jake Babic Defensive Rebound.,38,71
14:59,150,Foul on Frank Jackson.,38,71
14:59,2026,Jake Babic made Free Throw.,39,71
14:59,2026,Jake Babic missed Free Throw.,39,71
14:59,150,Amile Jefferson Defensive Rebound.,39,71
14:44,150,Amile Jefferson made Layup. Assisted by Luke Kennard.,39,73
14:31,2026,Tyrell Johnson missed Three Point Jumper.,39,73
14:31,150,Matt Jones Defensive Rebound.,39,73
14:17,150,Luke Kennard missed Three Point Jumper.,39,73
14:17,2026,Jake Wilson Defensive Rebound.,39,73
14:13,150,Foul on Chase Jeter.,39,73
13:59,150,Foul on Javin DeLaurier.,39,73
13:59,2026,Isaac Johnson made Free Throw.,40,73
13:59,2026,Isaac Johnson made Free Throw.,41,73
13:48,150,Frank Jackson missed Jumper.,41,73
13:48,150,Chase Jeter Offensive Rebound.,41,73
13:44,2026,Foul on Jake Wilson.,41,73
13:37,150,Chase Jeter missed Jumper.,41,73
13:37,150,Javin DeLaurier Offensive Rebound.,41,73
13:37,150,Javin DeLaurier missed Layup.,41,73
13:37,2026,Isaac Johnson Defensive Rebound.,41,73
13:08,2026,Jake Wilson missed Layup.,41,73
13:08,150,Luke Kennard Defensive Rebound.,41,73
12:59,150,Luke Kennard made Layup.,41,75
12:59,2026,Foul on Jake Babic.,41,75
12:59,150,Luke Kennard made Free Throw.,41,76
12:47,2026,Matt O'Boyle missed Three Point Jumper.,41,76
12:47,2026,Isaac Johnson Offensive Rebound.,41,76
12:41,150,Foul on Frank Jackson.,41,76
12:37,2026,Jake Wilson missed Jumper.,41,76
12:37,2026,Jake Wilson Offensive Rebound.,41,76
12:31,2026,Ronshad Shabazz missed Three Point Jumper.,41,76
12:31,150,Grayson Allen Defensive Rebound.,41,76
11:59,150,Frank Jackson missed Jumper.,41,76
11:59,2026,Patrick Good Defensive Rebound.,41,76
11:51,2026,Matt O'Boyle missed Three Point Jumper.,41,76
11:51,150,Chase Jeter Defensive Rebound.,41,76
11:48,150,Official TV Timeout,41,76
11:37,150,Duke  Timeout,41,76
11:32,150,Matt Jones made Three Point Jumper. Assisted by Jack White.,41,79
11:13,2026,Griffin Kinney Turnover.,41,79
10:55,150,Matt Jones missed Three Point Jumper.,41,79
10:55,2026,Appalachian St Defensive Rebound.,41,79
10:37,2026,Patrick Good missed Three Point Jumper.,41,79
10:37,150,Javin DeLaurier Defensive Rebound.,41,79
10:20,150,Frank Jackson missed Three Point Jumper.,41,79
10:20,150,Javin DeLaurier Offensive Rebound.,41,79
10:13,150,Javin DeLaurier Turnover.,41,79
10:03,2026,Emarius Logan missed Jumper.,41,79
10:03,150,Luke Kennard Defensive Rebound.,41,79
9:45,150,Luke Kennard missed Three Point Jumper.,41,79
9:45,2026,Kelvin Robinson Defensive Rebound.,41,79
9:37,2026,Emarius Logan Turnover.,41,79
9:37,150,Matt Jones Steal.,41,79
9:10,150,Jack White made Layup.,41,81
8:38,2026,Kelvin Robinson made Three Point Jumper. Assisted by Griffin Kinney.,44,81
8:21,150,Antonio Vrankovic Turnover.,44,81
8:21,150,Foul on Antonio Vrankovic.,44,81
8:08,150,Foul on Jack White.,44,81
8:08,2026,Kelvin Robinson made Free Throw.,45,81
8:08,2026,Kelvin Robinson made Free Throw.,46,81
7:55,150,Frank Jackson made Layup.,46,83
7:55,2026,Foul on Bennett Holley.,46,83
7:55,150,Official TV Timeout,46,83
7:55,150,Frank Jackson missed Free Throw.,46,83
7:55,150,Duke Offensive Rebound.,46,83
7:46,150,Jack White Turnover.,46,83
7:35,2026,Jake Babic missed Three Point Jumper.,46,83
7:35,2026,Bennett Holley Offensive Rebound.,46,83
7:30,2026,Kelvin Robinson made Three Point Jumper. Assisted by Bennett Holley.,49,83
7:10,2026,Foul on Tyrell Johnson.,49,83
7:10,150,Antonio Vrankovic missed Free Throw.,49,83
7:10,150,Duke Deadball Team Rebound.,49,83
7:10,150,Antonio Vrankovic made Free Throw.,49,84
7:01,2026,Kelvin Robinson made Three Point Jumper. Assisted by Bennett Holley.,52,84
6:42,2026,Foul on Bennett Holley.,52,84
6:42,150,Antonio Vrankovic made Free Throw.,52,85
6:42,150,Antonio Vrankovic missed Free Throw.,52,85
6:42,2026,Kelvin Robinson Defensive Rebound.,52,85
6:38,2026,Kelvin Robinson Turnover.,52,85
6:31,2026,Foul on Bennett Holley.,52,85
6:31,150,Frank Jackson made Free Throw.,52,86
6:31,150,Frank Jackson made Free Throw.,52,87
6:09,2026,Jake Babic missed Three Point Jumper.,52,87
6:09,2026,Kelvin Robinson Offensive Rebound.,52,87
6:05,150,Foul on Javin DeLaurier.,52,87
6:05,2026,Kelvin Robinson made Free Throw.,53,87
6:05,2026,Kelvin Robinson missed Free Throw.,53,87
6:05,150,Antonio Vrankovic Defensive Rebound.,53,87
5:50,150,Frank Jackson missed Layup.,53,87
5:50,150,Chase Jeter Offensive Rebound.,53,87
5:50,150,Chase Jeter made Two Point Tip Shot.,53,89
5:33,2026,Tyrell Johnson missed Jumper.,53,89
5:33,2026,Kelvin Robinson Offensive Rebound.,53,89
5:25,2026,Emarius Logan missed Jumper.,53,89
5:25,2026,Tyrell Johnson Offensive Rebound.,53,89
5:20,2026,Tyrell Johnson missed Layup.,53,89
5:20,150,Jack White Defensive Rebound.,53,89
5:07,150,Frank Jackson missed Three Point Jumper.,53,89
5:07,2026,Kelvin Robinson Defensive Rebound.,53,89
5:00,2026,Jake Babic missed Three Point Jumper.,53,89
5:00,150,Javin DeLaurier Defensive Rebound.,53,89
4:35,150,Frank Jackson Turnover.,53,89
4:35,2026,Tyrell Johnson Steal.,53,89
4:32,2026,Tyrell Johnson made Dunk.,55,89
4:08,150,Matt Jones made Jumper.,55,91
3:53,2026,Zach Cottrell Turnover.,55,91
3:53,150,Matt Jones Steal.,55,91
3:37,150,Jack White Turnover.,55,91
3:37,150,Official TV Timeout,55,91
3:31,2026,Isaac Johnson missed Jumper.,55,91
3:31,150,Matt Jones Defensive Rebound.,55,91
3:19,150,Jack White missed Jumper.,55,91
3:19,2026,Isaac Johnson Defensive Rebound.,55,91
3:04,2026,Patrick Good missed Three Point Jumper.,55,91
3:04,150,Chase Jeter Defensive Rebound.,55,91
2:39,150,Javin DeLaurier missed Three Point Jumper.,55,91
2:39,2026,Patrick Good Defensive Rebound.,55,91
2:31,2026,Patrick Good made Three Point Jumper. Assisted by Jake Babic.,58,91
2:03,150,Javin DeLaurier Turnover.,58,91
2:03,150,Duke  Timeout,58,91
1:54,2026,Zach Cottrell missed Three Point Jumper.,58,91
1:54,150,Javin DeLaurier Defensive Rebound.,58,91
1:38,150,Matt Jones Turnover.,58,91
1:38,2026,Craig Hinton Steal.,58,91
1:20,2026,Craig Hinton Turnover.,58,91
1:20,150,Matt Jones Steal.,58,91
1:04,150,Antonio Vrankovic made Jumper.,58,93
0:57,2026,Appalachian St  Timeout,58,93
0:37,2026,Kevin Kerley missed Three Point Jumper.,58,93
0:37,150,Javin DeLaurier Block.,58,93
0:37,2026,Appalachian St Offensive Rebound.,58,93
0:33,2026,Patrick Good missed Jumper.,58,93
0:33,150,Jack White Defensive Rebound.,58,93
0:00,150,End of Game,58,93
