UT San Antonio,2641,Texas Tech,2636
12:05,2636,Nick Billingsley missed Three Point Jumper.,4,21
12:05,2641,Giovanni McLean Defensive Rebound.,4,21
12:00,2641,Giovanni McLean Turnover.,4,21
11:59,2636,Giovanni De Nicolao Steal.,4,21
11:57,2641,Foul on Giovanni McLean.,4,21
11:57,2641,Official TV Timeout,4,21
11:57,2636,Giovanni De Nicolao made Free Throw.,5,21
11:57,2636,Giovanni De Nicolao made Free Throw.,6,21
11:28,2641,Devon Thomas missed Layup.,6,21
11:28,2641,Devon Thomas Offensive Rebound.,6,21
11:15,2641,Keenan Evans made Layup.,6,23
10:52,2636,Jeff Beverly made Three Point Jumper. Assisted by Giovanni De Nicolao.,9,23
10:27,2641,Matthew Temple made Three Point Jumper. Assisted by Keenan Evans.,9,26
10:02,2636,Giovanni De Nicolao missed Three Point Jumper.,9,26
10:02,2641,Devon Thomas Defensive Rebound.,9,26
9:47,2641,Justin Gray missed Jumper.,9,26
9:47,2636,Austin Karrer Defensive Rebound.,9,26
9:22,2636,Jeff Beverly missed Three Point Jumper.,9,26
9:22,2641,Justin Gray Defensive Rebound.,9,26
9:05,2636,Foul on Nick Allen.,9,26
8:50,2641,Matthew Temple missed Jumper.,9,26
8:50,2636,Nick Billingsley Defensive Rebound.,9,26
8:43,2636,Jeff Beverly Turnover.,9,26
8:32,2641,Shadell Millinghaus missed Three Point Jumper.,9,26
8:32,2636,Byron Frohnen Defensive Rebound.,9,26
8:25,2641,Foul on Justin Gray.,9,26
8:21,2636,George Willborn III missed Jumper.,9,26
8:21,2636,George Willborn III Offensive Rebound.,9,26
8:18,2636,George Willborn III made Layup.,11,26
8:01,2641,Niem Stevenson made Layup. Assisted by Anthony Livingston.,11,28
7:45,2636,Gino Littles missed Three Point Jumper.,11,28
7:45,2641,Thomas Brandsma Defensive Rebound.,11,28
7:36,2641,Keenan Evans missed Jumper.,11,28
7:36,2636,Nick Billingsley Defensive Rebound.,11,28
7:18,2636,Nick Billingsley missed Three Point Jumper.,11,28
7:18,2636,Jeff Beverly Offensive Rebound.,11,28
7:16,2641,Foul on Keenan Evans.,11,28
7:16,2641,Official TV Timeout,11,28
7:12,2636,Byron Frohnen made Jumper.,13,28
6:56,2641,Thomas Brandsma missed Layup.,13,28
6:56,2636,Gino Littles Block.,13,28
6:53,2641,Thomas Brandsma Offensive Rebound.,13,28
6:53,2636,Foul on Gino Littles.,13,28
6:45,2641,Thomas Brandsma missed Layup.,13,28
6:45,2636,Giovanni De Nicolao Defensive Rebound.,13,28
6:28,2636,George Willborn III missed Jumper.,13,28
6:28,2636,UT San Antonio Deadball Team Rebound.,13,28
6:26,2641,Foul on Giovanni McLean.,13,28
6:20,2636,Jeff Beverly made Layup.,15,28
5:49,2641,Giovanni McLean missed Three Point Jumper.,15,28
5:49,2636,Byron Frohnen Defensive Rebound.,15,28
5:38,2636,George Willborn III Turnover.,15,28
5:37,2641,Anthony Livingston Steal.,15,28
5:34,2641,Devon Thomas missed Layup.,15,28
5:34,2641,Devon Thomas Offensive Rebound.,15,28
5:24,2641,Matthew Temple made Jumper.,15,30
5:04,2636,Lucas O'Brien made Layup. Assisted by Jeff Beverly.,17,30
4:44,2641,Niem Stevenson made Three Point Jumper. Assisted by Devon Thomas.,17,33
4:19,2636,Lucas O'Brien missed Jumper.,17,33
4:19,2641,Niem Stevenson Defensive Rebound.,17,33
4:11,2641,Devon Thomas made Layup. Assisted by Niem Stevenson.,17,35
3:54,2636,Giovanni De Nicolao made Layup.,19,35
3:45,2641,Texas Tech  Timeout,19,35
3:29,2641,Matthew Temple Turnover.,19,35
3:20,2641,Foul on Thomas Brandsma.,19,35
3:20,2636,Lucas O'Brien made Free Throw.,20,35
3:20,2636,Lucas O'Brien made Free Throw.,21,35
2:53,2641,Thomas Brandsma Turnover.,21,35
2:34,2636,Giovanni De Nicolao missed Three Point Jumper.,21,35
2:34,2641,Anthony Livingston Defensive Rebound.,21,35
2:07,2641,Keenan Evans missed Three Point Jumper.,21,35
2:07,2636,Lucas O'Brien Defensive Rebound.,21,35
1:45,2636,Giovanni De Nicolao Turnover.,21,35
1:31,2641,Anthony Livingston made Three Point Jumper. Assisted by Devon Thomas.,21,38
0:59,2636,Lucas O'Brien missed Three Point Jumper.,21,38
0:59,2636,UT San Antonio Deadball Team Rebound.,21,38
0:56,2636,Foul on Nick Allen.,21,38
0:56,2641,Niem Stevenson made Free Throw.,21,39
0:56,2641,Niem Stevenson made Free Throw.,21,40
0:41,2636,Byron Frohnen missed Three Point Jumper.,21,40
0:41,2641,Devon Thomas Defensive Rebound.,21,40
0:36,2641,Shadell Millinghaus made Layup. Assisted by Devon Thomas.,21,42
0:04,2636,Bola Alade missed Jumper.,21,42
0:04,2641,Keenan Evans Defensive Rebound.,21,42
0:00,2641,End of 1st half,21,42
19:46,2636,Byron Frohnen made Layup.,23,42
19:33,2641,Justin Gray missed Layup.,23,42
19:33,2636,Byron Frohnen Defensive Rebound.,23,42
19:26,2636,Foul on Byron Frohnen.,23,42
19:26,2636,Byron Frohnen Turnover.,23,42
19:11,2641,Anthony Livingston made Jumper. Assisted by Keenan Evans.,23,44
18:47,2641,Foul on Justin Gray.,23,44
18:33,2636,Nick Allen made Three Point Jumper. Assisted by Byron Frohnen.,26,44
18:02,2641,Anthony Livingston made Three Point Jumper. Assisted by Keenan Evans.,26,47
17:42,2636,Nick Allen missed Three Point Jumper.,26,47
17:42,2641,Devon Thomas Defensive Rebound.,26,47
17:33,2641,Niem Stevenson Turnover.,26,47
17:32,2636,Austin Karrer Steal.,26,47
17:29,2636,Austin Karrer Turnover.,26,47
17:28,2641,Niem Stevenson Steal.,26,47
17:27,2641,Niem Stevenson made Layup.,26,49
17:11,2636,Jeff Beverly missed Layup.,26,49
17:11,2641,Matthew Temple Block.,26,49
17:11,2636,UT San Antonio Offensive Rebound.,26,49
17:05,2636,Giovanni De Nicolao missed Jumper.,26,49
17:05,2641,Giovanni McLean Defensive Rebound.,26,49
17:00,2636,Foul on Nick Allen.,26,49
16:52,2641,Devon Thomas made Three Point Jumper.,26,52
16:38,2641,Foul on Shadell Millinghaus.,26,52
16:35,2641,Foul on Devon Thomas.,26,52
16:35,2636,Jeff Beverly made Free Throw.,27,52
16:35,2636,Jeff Beverly made Free Throw.,28,52
16:19,2641,Matthew Temple missed Jumper.,28,52
16:19,2636,Gino Littles Defensive Rebound.,28,52
16:03,2636,Jeff Beverly made Three Point Jumper.,31,52
15:50,2636,Foul on Jeff Beverly.,31,52
15:50,2641,Official TV Timeout,31,52
15:39,2641,Niem Stevenson made Layup. Assisted by Justin Gray.,31,54
15:24,2636,George Willborn III missed Jumper.,31,54
15:24,2641,Anthony Livingston Defensive Rebound.,31,54
15:23,2636,Foul on Jeff Beverly.,31,54
15:08,2636,Foul on George Willborn III.,31,54
14:57,2641,Justin Gray made Jumper.,31,56
14:38,2636,Gino Littles missed Layup.,31,56
14:38,2641,Texas Tech Defensive Rebound.,31,56
14:17,2641,Keenan Evans missed Layup.,31,56
14:17,2641,Matthew Temple Offensive Rebound.,31,56
14:14,2641,Niem Stevenson missed Three Point Jumper.,31,56
14:14,2636,George Willborn III Defensive Rebound.,31,56
13:57,2636,Byron Frohnen Turnover.,31,56
13:34,2641,Keenan Evans made Three Point Jumper. Assisted by Devon Thomas.,31,59
13:21,2636,George Willborn III Turnover.,31,59
12:58,2641,Matthew Temple made Jumper. Assisted by Niem Stevenson.,31,61
12:58,2636,Foul on Giovanni De Nicolao.,31,61
12:58,2641,Matthew Temple made Free Throw.,31,62
12:48,2636,George Willborn III made Jumper.,33,62
12:35,2641,Giovanni McLean missed Three Point Jumper.,33,62
12:35,2641,Devon Thomas Offensive Rebound.,33,62
12:30,2641,Giovanni McLean made Three Point Jumper. Assisted by Devon Thomas.,33,65
12:07,2636,Technical Foul on UT San Antonio.,33,65
12:07,2641,Giovanni McLean made Free Throw.,33,66
12:07,2641,Giovanni McLean made Free Throw.,33,67
12:07,2636,Foul on UT San Antonio.,33,67
12:00,2636,Nick Billingsley missed Jumper.,33,67
12:00,2636,UT San Antonio Deadball Team Rebound.,33,67
11:58,2641,Foul on Anthony Livingston.,33,67
11:58,2641,Official TV Timeout,33,67
11:56,2636,Giovanni De Nicolao made Layup. Assisted by Gino Littles.,35,67
11:32,2641,Niem Stevenson missed Three Point Jumper.,35,67
11:32,2636,Nick Billingsley Defensive Rebound.,35,67
11:23,2636,James Ringholt missed Three Point Jumper.,35,67
11:23,2636,Mitar Stanojevic Offensive Rebound.,35,67
11:11,2641,Foul on Giovanni McLean.,35,67
11:04,2636,Giovanni De Nicolao Turnover.,35,67
11:02,2641,Keenan Evans Steal.,35,67
10:42,2641,Niem Stevenson missed Layup.,35,67
10:42,2636,Mitar Stanojevic Defensive Rebound.,35,67
10:34,2636,Nick Billingsley made Three Point Jumper. Assisted by Gino Littles.,38,67
10:20,2636,Foul on James Ringholt.,38,67
10:20,2641,Justin Gray made Free Throw.,38,68
10:20,2641,Justin Gray made Free Throw.,38,69
9:57,2636,Mitar Stanojevic made Layup.,40,69
9:44,2641,Anthony Livingston missed Jumper.,40,69
9:44,2636,Nick Billingsley Defensive Rebound.,40,69
9:32,2636,Bola Alade made Jumper. Assisted by Giovanni De Nicolao.,42,69
9:25,2641,Texas Tech  Timeout,42,69
9:14,2641,Foul on Keenan Evans.,42,69
9:14,2641,Keenan Evans Turnover.,42,69
8:51,2636,James Ringholt missed Three Point Jumper.,42,69
8:51,2641,Justin Gray Defensive Rebound.,42,69
8:34,2641,Justin Gray made Layup. Assisted by Shadell Millinghaus.,42,71
8:19,2636,Mitar Stanojevic made Three Point Jumper. Assisted by Giovanni De Nicolao.,45,71
8:01,2641,Anthony Livingston missed Layup.,45,71
8:01,2636,Nick Billingsley Block.,45,71
8:01,2641,Texas Tech Offensive Rebound.,45,71
7:58,2641,Keenan Evans made Layup. Assisted by Matthew Temple.,45,73
7:34,2636,Bola Alade missed Three Point Jumper.,45,73
7:34,2641,Justin Gray Defensive Rebound.,45,73
7:13,2641,Devon Thomas made Layup.,45,75
6:58,2636,Austin Karrer missed Three Point Jumper.,45,75
6:58,2641,Justin Gray Defensive Rebound.,45,75
6:47,2636,Foul on Gino Littles.,45,75
6:47,2641,Official TV Timeout,45,75
6:47,2641,Shadell Millinghaus made Free Throw.,45,76
6:47,2641,Shadell Millinghaus made Free Throw.,45,77
6:18,2636,Jeff Beverly missed Jumper.,45,77
6:18,2641,Texas Tech Defensive Rebound.,45,77
6:00,2641,Shadell Millinghaus missed Three Point Jumper.,45,77
6:00,2636,Austin Karrer Defensive Rebound.,45,77
5:48,2641,Foul on Giovanni McLean.,45,77
5:48,2636,Jeff Beverly missed Free Throw.,45,77
5:48,2641,Niem Stevenson Defensive Rebound.,45,77
5:24,2641,Keenan Evans made Jumper.,45,79
5:08,2636,Byron Frohnen made Jumper.,47,79
4:47,2641,Matthew Temple Turnover.,47,79
4:33,2636,Mitar Stanojevic missed Three Point Jumper.,47,79
4:33,2636,Byron Frohnen Offensive Rebound.,47,79
4:14,2636,Nick Allen made Jumper.,49,79
3:56,2636,Foul on Jeff Beverly.,49,79
3:56,2641,Official TV Timeout,49,79
3:56,2641,Niem Stevenson made Free Throw.,49,80
3:56,2641,Niem Stevenson made Free Throw.,49,81
3:38,2636,Jeff Beverly missed Jumper.,49,81
3:38,2641,Niem Stevenson Defensive Rebound.,49,81
3:20,2641,Giovanni McLean missed Three Point Jumper.,49,81
3:20,2636,Gino Littles Defensive Rebound.,49,81
3:12,2636,George Willborn III missed Layup.,49,81
3:12,2636,Byron Frohnen Offensive Rebound.,49,81
3:09,2636,Byron Frohnen missed Layup.,49,81
3:09,2641,Thomas Brandsma Defensive Rebound.,49,81
3:08,2636,Foul on George Willborn III.,49,81
3:08,2641,Thomas Brandsma made Free Throw.,49,82
3:08,2641,Thomas Brandsma made Free Throw.,49,83
2:52,2641,Foul on Shadell Millinghaus.,49,83
2:52,2636,Bola Alade made Free Throw.,50,83
2:52,2636,Bola Alade missed Free Throw.,50,83
2:52,2641,Matthew Temple Defensive Rebound.,50,83
2:32,2641,Niem Stevenson missed Three Point Jumper.,50,83
2:32,2636,George Willborn III Defensive Rebound.,50,83
2:26,2636,Foul on George Willborn III.,50,83
2:26,2636,George Willborn III Turnover.,50,83
1:59,2641,Matthew Temple made Layup. Assisted by Giovanni McLean.,50,85
1:42,2641,Foul on Giovanni McLean.,50,85
1:42,2636,Kyle Massie missed Free Throw.,50,85
1:42,2641,Matthew Temple Defensive Rebound.,50,85
1:22,2641,Shadell Millinghaus made Layup. Assisted by Niem Stevenson.,50,87
1:08,2636,George Willborn III missed Jumper.,50,87
1:08,2641,Niem Stevenson Defensive Rebound.,50,87
0:50,2641,Thomas Brandsma missed Jumper.,50,87
0:50,2636,Bola Alade Defensive Rebound.,50,87
0:35,2636,Bola Alade missed Three Point Jumper.,50,87
0:35,2641,Matthew Temple Defensive Rebound.,50,87
0:01,2641,Texas Tech  Turnover.,50,87
0:00,2641,End of Game,50,87
