Loyola (LA),Error,Louisiana,309
13:34,-1,Loyola (LA) Deadball Team Rebound.,10,10
13:34,-1,Eric Brown missed Free Throw.,10,10
13:34,309,Scott Plaisance Defensive Rebound.,10,10
13:13,309,Foul on Scott Plaisance.,10,10
13:13,309,Scott Plaisance Turnover.,10,10
12:53,-1,Johnny Griffin Jr. missed Jumper.,10,10
12:53,309,Johnathan Stove Defensive Rebound.,10,10
12:42,309,Bryce Washington made Layup. Assisted by Johnathan Stove.,10,12
12:42,-1,Foul on Robert White.,10,12
12:42,309,Bryce Washington missed Free Throw.,10,12
12:42,309,UL Lafayette Offensive Rebound.,10,12
12:32,-1,Foul on Robert White.,10,12
12:15,309,Bryce Washington missed Layup.,10,12
12:15,309,Bryce Washington Offensive Rebound.,10,12
12:12,309,Bryce Washington made Layup.,10,14
11:58,-1,Tre'Von Jasmine Turnover.,10,14
11:58,309,Official TV Timeout,10,14
11:50,309,P.J. Hardy made Jumper. Assisted by Larenz Stalcup.,10,16
11:16,-1,Loyola (LA)  Turnover.,10,16
11:04,309,Frank Bartley IV missed Layup.,10,16
11:04,309,Frank Bartley IV Offensive Rebound.,10,16
10:59,309,Frank Bartley IV made Layup.,10,18
10:59,-1,Foul on Nate Pierre.,10,18
10:59,309,Frank Bartley IV made Free Throw.,10,19
10:46,-1,Nate Pierre missed Jumper.,10,19
10:46,309,P.J. Hardy Defensive Rebound.,10,19
10:41,309,Frank Bartley IV Turnover.,10,19
10:22,-1,Foul on Nate Pierre.,10,19
10:22,-1,Nate Pierre Turnover.,10,19
10:11,-1,Foul on Jalen Gray.,10,19
10:11,309,Frank Bartley IV made Free Throw.,10,20
10:11,309,Frank Bartley IV made Free Throw.,10,21
9:49,-1,Jalen Gray made Jumper.,12,21
9:33,-1,Foul on Ethan Turner.,12,21
9:33,309,Frank Bartley IV made Free Throw.,12,22
9:33,309,Frank Bartley IV made Free Throw.,12,23
9:14,-1,Jalen Gray Turnover.,12,23
9:12,309,Jay Wright Steal.,12,23
9:11,-1,Foul on Chase Eckholdt.,12,23
9:11,309,Jerekius Davis missed Free Throw.,12,23
9:11,309,UL Lafayette Deadball Team Rebound.,12,23
9:11,309,Jerekius Davis made Free Throw.,12,24
8:49,-1,Jalen Gray Turnover.,12,24
8:48,309,Jay Wright Steal.,12,24
8:47,-1,Foul on Nate Pierre.,12,24
8:47,309,Jay Wright made Free Throw.,12,25
8:47,309,Jay Wright made Free Throw.,12,26
8:33,-1,Chase Eckholdt missed Three Point Jumper.,12,26
8:33,309,Frank Bartley IV Defensive Rebound.,12,26
8:24,309,Larenz Stalcup missed Layup.,12,26
8:24,-1,Johnny Griffin Jr. Block.,12,26
8:20,-1,Robert White Defensive Rebound.,12,26
8:13,-1,Eric Brown missed Layup.,12,26
8:13,309,Larenz Stalcup Block.,12,26
8:11,309,UL Lafayette Defensive Rebound.,12,26
7:58,309,P.J. Hardy missed Three Point Jumper.,12,26
7:58,-1,Chase Eckholdt Defensive Rebound.,12,26
7:49,-1,Tre'Von Jasmine made Layup.,14,26
7:42,309,Jay Wright Turnover.,14,26
7:41,-1,Johnny Griffin Jr. Steal.,14,26
7:35,-1,Johnny Griffin Jr. made Dunk. Assisted by Chase Eckholdt.,16,26
7:12,309,Jerekius Davis made Jumper.,16,28
6:50,-1,Eric Brown missed Three Point Jumper.,16,28
6:50,309,Jay Wright Defensive Rebound.,16,28
6:38,309,P.J. Hardy made Jumper.,16,30
6:11,-1,Johnny Griffin Jr. Turnover.,16,30
6:10,309,Larenz Stalcup Steal.,16,30
6:09,309,Larenz Stalcup Turnover.,16,30
6:09,309,Official TV Timeout,16,30
5:43,-1,Johnny Griffin Jr. Turnover.,16,30
5:25,309,Justin Miller Turnover.,16,30
5:24,-1,Robert White Steal.,16,30
5:10,-1,Johnny Griffin Jr. missed Layup.,16,30
5:10,-1,Robert White Offensive Rebound.,16,30
5:05,-1,Robert White made Layup.,18,30
4:49,309,P.J. Hardy made Three Point Jumper. Assisted by Bryce Washington.,18,33
4:36,-1,Jalen Gray made Layup.,20,33
4:29,309,Jay Wright made Layup.,20,35
4:08,-1,Johnny Griffin Jr. made Layup. Assisted by Jalen Gray.,22,35
3:48,309,Jay Wright made Layup.,22,37
3:30,-1,Jalen Gray missed Jumper.,22,37
3:30,309,Bryce Washington Defensive Rebound.,22,37
3:23,309,Bryce Washington Turnover.,22,37
3:22,-1,Jalen Gray Steal.,22,37
3:20,-1,Jalen Gray made Layup.,24,37
3:13,-1,Loyola (LA)  Timeout,24,37
2:57,309,Bryce Washington made Free Throw.,24,38
2:57,-1,Foul on Robert White.,24,38
2:57,309,Bryce Washington missed Free Throw.,24,38
2:57,309,UL Lafayette Deadball Team Rebound.,24,38
2:45,-1,Jalen Gray Turnover.,24,38
2:40,309,Johnathan Stove missed Jumper.,24,38
2:30,309,Bryce Washington made Layup.,24,40
2:21,-1,Tre'Von Jasmine missed Layup.,24,40
2:21,309,P.J. Hardy Block.,24,40
2:21,309,Bryce Washington Defensive Rebound.,24,40
2:16,-1,Eric Brown Turnover.,24,40
2:16,309,Frank Bartley IV Steal.,24,40
2:16,309,Jay Wright missed Three Point Jumper.,24,40
2:16,-1,Eric Brown Defensive Rebound.,24,40
1:14,-1,Jalen Gray made Layup.,26,40
0:51,309,Frank Bartley IV missed Three Point Jumper.,26,40
0:51,-1,Tre'Von Jasmine Defensive Rebound.,26,40
0:26,309,Foul on Johnathan Stove.,26,40
0:26,-1,Jalen Gray made Free Throw.,27,40
0:26,-1,Jalen Gray made Free Throw.,28,40
0:02,309,Jay Wright missed Three Point Jumper.,28,40
0:02,309,UL Lafayette Deadball Team Rebound.,28,40
0:02,-1,Foul on Sam Walker.,28,40
0:02,309,Frank Bartley IV made Free Throw.,28,41
0:02,309,Frank Bartley IV made Free Throw.,28,42
0:00,309,End of 1st half,28,42
19:53,-1,Tre'Von Jasmine made Layup.,30,42
19:43,309,Frank Bartley IV made Layup.,30,44
19:26,-1,Johnny Griffin Jr. missed Layup.,30,44
19:26,309,Bryce Washington Defensive Rebound.,30,44
19:17,309,Jay Wright made Three Point Jumper. Assisted by Frank Bartley IV.,30,47
18:43,-1,Johnny Griffin Jr. missed Layup.,30,47
18:43,-1,Robert White Offensive Rebound.,30,47
18:39,-1,Robert White missed Layup.,30,47
18:39,309,Jay Wright Defensive Rebound.,30,47
18:31,-1,Johnny Griffin Jr. Turnover.,30,47
18:29,309,Jay Wright Steal.,30,47
18:23,309,Frank Bartley IV missed Jumper.,30,47
18:23,-1,Johnny Griffin Jr. Defensive Rebound.,30,47
18:12,-1,Jalen Gray made Layup.,32,47
17:59,309,Bryce Washington missed Layup.,32,47
17:59,-1,Robert White Block.,32,47
17:57,309,Jay Wright Offensive Rebound.,32,47
17:52,309,Johnathan Stove missed Layup.,32,47
17:52,309,Johnathan Stove Offensive Rebound.,32,47
17:50,309,Johnathan Stove made Layup.,32,49
17:36,309,Foul on Johnathan Stove.,32,49
17:33,-1,Eric Brown made Layup.,34,49
17:24,-1,Foul on Jalen Gray.,34,49
17:24,309,Jay Wright made Free Throw.,34,50
17:24,309,Jay Wright made Free Throw.,34,51
17:11,-1,Robert White made Jumper. Assisted by Jalen Gray.,36,51
16:58,309,Johnathan Stove made Jumper.,36,53
16:45,-1,Eric Brown missed Three Point Jumper.,36,53
16:45,309,Bryce Washington Defensive Rebound.,36,53
16:38,309,P.J. Hardy made Three Point Jumper. Assisted by Jay Wright.,36,56
16:34,-1,Loyola (LA)  Timeout,36,56
16:10,-1,Johnny Griffin Jr. Turnover.,36,56
16:03,309,P.J. Hardy made Three Point Jumper. Assisted by Frank Bartley IV.,36,59
15:48,309,Official TV Timeout,36,59
15:45,309,Foul on Johnathan Stove.,36,59
15:38,-1,Johnny Griffin Jr. made Jumper. Assisted by Eric Brown.,38,59
15:12,309,Bryce Washington made Layup. Assisted by Jay Wright.,38,61
14:51,-1,Eric Brown missed Three Point Jumper.,38,61
14:51,309,Frank Bartley IV Defensive Rebound.,38,61
14:37,309,Jay Wright Turnover.,38,61
14:35,-1,Jalen Gray Steal.,38,61
14:32,-1,Eric Brown made Layup.,40,61
14:18,309,UL Lafayette  Timeout,40,61
14:07,309,Frank Bartley IV missed Three Point Jumper.,40,61
14:07,309,UL Lafayette Deadball Team Rebound.,40,61
14:05,-1,Foul on Jalen Gray.,40,61
14:02,309,Johnathan Stove missed Jumper.,40,61
14:02,-1,Johnny Griffin Jr. Defensive Rebound.,40,61
13:52,-1,Jalen Gray missed Layup.,40,61
13:52,309,Johnathan Stove Defensive Rebound.,40,61
13:45,309,P.J. Hardy missed Layup.,40,61
13:45,-1,Eric Brown Defensive Rebound.,40,61
13:34,-1,Johnny Griffin Jr. made Dunk. Assisted by Jalen Gray.,42,61
13:18,309,Bryce Washington missed Layup.,42,61
13:18,-1,Jalen Gray Defensive Rebound.,42,61
13:08,-1,Jalen Gray missed Layup.,42,61
13:08,309,Bryce Washington Block.,42,61
13:06,-1,Robert White Offensive Rebound.,42,61
13:01,-1,Ethan Turner missed Three Point Jumper.,42,61
13:01,-1,Jalen Gray Offensive Rebound.,42,61
12:32,-1,Ethan Turner missed Layup.,42,61
12:32,309,Bryce Washington Block.,42,61
12:31,309,UL Lafayette Defensive Rebound.,42,61
12:16,309,Frank Bartley IV missed Three Point Jumper.,42,61
12:16,309,Frank Bartley IV Offensive Rebound.,42,61
12:10,309,Bryce Washington made Dunk. Assisted by Frank Bartley IV.,42,63
11:53,-1,Johnny Griffin Jr. made Jumper.,44,63
11:21,309,Jay Wright made Jumper.,44,65
11:07,-1,Jalen Gray missed Layup.,44,65
11:07,309,Bryce Washington Defensive Rebound.,44,65
10:59,309,Official TV Timeout,44,65
10:48,309,Bryce Washington made Layup.,44,67
10:20,-1,Eric Brown missed Three Point Jumper.,44,67
10:20,309,Roydell Brown Defensive Rebound.,44,67
10:12,309,Bryce Washington made Layup. Assisted by Roydell Brown.,44,69
10:12,-1,Foul on Johnny Griffin Jr..,44,69
10:12,309,Bryce Washington missed Free Throw.,44,69
10:12,-1,Johnny Griffin Jr. Defensive Rebound.,44,69
10:00,-1,Johnny Griffin Jr. missed Layup.,44,69
10:00,309,Bryce Washington Block.,44,69
9:55,309,Johnathan Stove Turnover.,44,69
9:53,309,Bryce Washington Defensive Rebound.,44,69
9:41,-1,Jalen Gray Turnover.,44,69
9:41,309,Scott Plaisance Steal.,44,69
9:26,309,Bryce Washington made Layup. Assisted by P.J. Hardy.,44,71
8:58,-1,Jalen Gray missed Layup.,44,71
8:58,309,Bryce Washington Defensive Rebound.,44,71
8:48,-1,Foul on Tre'Von Jasmine.,44,71
8:48,309,Roydell Brown made Free Throw.,44,72
8:48,309,Roydell Brown missed Free Throw.,44,72
8:48,-1,Johnny Griffin Jr. Defensive Rebound.,44,72
8:29,309,Larenz Stalcup Block.,44,72
8:17,-1,Ethan Turner made Three Point Jumper.,47,72
8:01,309,Roydell Brown made Layup.,47,74
7:40,-1,Johnny Griffin Jr. missed Layup.,47,74
7:40,309,Bryce Washington Defensive Rebound.,47,74
7:35,309,Johnathan Stove made Layup. Assisted by Bryce Washington.,47,76
7:26,309,Foul on Bryce Washington.,47,76
7:26,309,Official TV Timeout,47,76
7:26,-1,Chase Eckholdt made Free Throw.,48,76
7:26,-1,Chase Eckholdt missed Free Throw.,48,76
7:26,309,Scott Plaisance Defensive Rebound.,48,76
7:24,309,Johnathan Stove Turnover.,48,76
7:22,-1,Ethan Turner Steal.,48,76
7:09,-1,Chase Eckholdt made Layup.,50,76
7:04,309,Jay Wright missed Jumper.,50,76
7:04,-1,Chase Eckholdt Defensive Rebound.,50,76
6:59,-1,Chase Eckholdt missed Jumper.,50,76
6:59,-1,Johnny Griffin Jr. Offensive Rebound.,50,76
6:54,-1,Robert White missed Layup.,50,76
6:54,309,Jay Wright Defensive Rebound.,50,76
6:47,309,Johnathan Stove made Layup. Assisted by Jay Wright.,50,78
6:21,309,Foul on Jerekius Davis.,50,78
6:21,-1,Tre'Von Jasmine made Free Throw.,51,78
6:21,-1,Sam Walker Turnover.,51,78
6:07,309,Jerekius Davis missed Layup.,51,78
6:07,309,Jerekius Davis Offensive Rebound.,51,78
6:01,-1,Foul on Sam Walker.,51,78
5:41,-1,Foul on Tre'Von Jasmine.,51,78
5:26,-1,Foul on Johnny Griffin Jr..,51,78
5:26,309,Frank Bartley IV made Free Throw.,51,79
5:26,309,Frank Bartley IV made Free Throw.,51,80
5:09,-1,Sam Walker missed Three Point Jumper.,51,80
5:09,309,Scott Plaisance Defensive Rebound.,51,80
5:00,309,Scott Plaisance made Layup. Assisted by Roydell Brown.,51,82
4:41,-1,Chase Eckholdt made Three Point Jumper. Assisted by Sam Walker.,54,82
4:30,-1,Foul on Eric Brown.,54,82
4:30,309,Frank Bartley IV made Free Throw.,54,83
4:30,309,Frank Bartley IV made Free Throw.,54,84
4:21,309,Foul on Scott Plaisance.,54,84
4:14,-1,Robert White missed Jumper.,54,84
4:14,309,Jerekius Davis Defensive Rebound.,54,84
4:07,309,Jacob Broussard missed Three Point Jumper.,54,84
4:07,309,P.J. Hardy Offensive Rebound.,54,84
3:59,309,Jerekius Davis made Layup. Assisted by P.J. Hardy.,54,86
3:43,-1,Jalen Gray missed Layup.,54,86
3:43,309,Scott Plaisance Block.,54,86
3:40,309,Jacob Broussard Defensive Rebound.,54,86
3:33,309,Jerekius Davis missed Jumper.,54,86
3:33,309,Scott Plaisance Offensive Rebound.,54,86
3:28,309,Roydell Brown made Layup.,54,88
3:05,-1,Johnny Griffin Jr. made Dunk. Assisted by Eric Brown.,56,88
2:47,309,Foul on Jerekius Davis.,56,88
2:47,309,Jerekius Davis Turnover.,56,88
2:47,309,Official TV Timeout,56,88
2:37,-1,Chase Eckholdt missed Jumper.,56,88
2:37,-1,Robert White Offensive Rebound.,56,88
2:34,-1,Robert White made Layup.,58,88
2:27,309,P.J. Hardy Turnover.,58,88
2:25,-1,Jalen Gray Steal.,58,88
2:19,-1,Jalen Gray made Layup.,60,88
2:06,309,Mason Aucoin made Jumper.,60,90
1:54,-1,Chase Eckholdt missed Three Point Jumper.,60,90
1:54,309,Jerekius Davis Defensive Rebound.,60,90
1:43,309,P.J. Hardy made Three Point Jumper.,60,93
1:27,-1,Eric Brown missed Three Point Jumper.,60,93
1:27,309,Jerekius Davis Defensive Rebound.,60,93
1:15,309,Mason Aucoin missed Three Point Jumper.,60,93
1:15,-1,Sam Walker Offensive Rebound.,60,93
1:01,-1,Eric Brown missed Jumper.,60,93
1:01,309,Mason Aucoin Defensive Rebound.,60,93
0:53,309,Larenz Stalcup missed Layup.,60,93
0:53,309,Larenz Stalcup Offensive Rebound.,60,93
0:44,-1,Foul on Robert White.,60,93
0:44,309,Larenz Stalcup made Free Throw.,60,94
0:44,309,Larenz Stalcup missed Free Throw.,60,94
0:44,-1,Jalen Gray Defensive Rebound.,60,94
0:34,-1,Eric Brown Turnover.,60,94
0:00,309,End of Game,60,94
