Toccoa Falls,Error,The Citadel,2643
15:20,2643,Zane Najdawi Steal.,12,24
15:09,2643,Zane Najdawi made Jumper. Assisted by Warren Sledge.,12,26
14:52,-1,Zach Barrett Turnover.,12,26
14:50,2643,Warren Sledge Steal.,12,26
14:47,2643,Leandro Allende made Layup. Assisted by Warren Sledge.,12,28
14:29,-1,Faizon Jackson Turnover.,12,28
14:19,2643,Leandro Allende missed Three Point Jumper.,12,28
14:19,2643,Frankie Johnson Offensive Rebound.,12,28
14:08,2643,Zane Najdawi missed Jumper.,12,28
14:08,2643,Zane Najdawi Offensive Rebound.,12,28
14:05,2643,Zane Najdawi made Jumper.,12,30
13:51,-1,Jovan Morris Turnover.,12,30
13:50,2643,Warren Sledge Steal.,12,30
13:44,2643,Leandro Allende missed Three Point Jumper.,12,30
13:44,2643,Leandro Allende Offensive Rebound.,12,30
13:38,2643,Quayson Williams made Three Point Jumper. Assisted by Warren Sledge.,12,33
13:24,-1,Toccoa Falls  Timeout,12,33
13:11,-1,Connor Iverson made Layup. Assisted by Zach Barrett.,14,33
13:05,2643,Preston Parks made Three Point Jumper. Assisted by Matt Frierson.,14,36
12:52,-1,Zach Barrett made Layup. Assisted by Cameron Williams.,16,36
12:42,2643,Kaelon Harris Turnover.,16,36
12:42,2643,Foul on Kaelon Harris.,16,36
12:42,2643,Foul on Preston Parks.,16,36
12:35,-1,Jovan Morris Turnover.,16,36
12:34,2643,Kaelon Harris Steal.,16,36
12:31,-1,Foul on Cameron Williams.,16,36
12:28,2643,Ezekiel Balogun missed Three Point Jumper.,16,36
12:28,2643,Preston Parks Offensive Rebound.,16,36
12:23,2643,Preston Parks missed Jumper.,16,36
12:23,-1,Toccoa Falls Defensive Rebound.,16,36
12:22,2643,Foul on Brian White.,16,36
12:04,-1,Jovan Morris missed Layup.,16,36
12:04,2643,Ezekiel Balogun Block.,16,36
12:02,2643,Brian White Defensive Rebound.,16,36
11:53,2643,Matt Frierson Turnover.,16,36
11:52,-1,Faizon Jackson Steal.,16,36
11:50,-1,Faizon Jackson made Layup.,18,36
11:43,2643,Ezekiel Balogun Turnover.,18,36
11:42,-1,Zach Barrett Steal.,18,36
11:38,-1,Faizon Jackson made Layup.,20,36
11:29,2643,Preston Parks missed Three Point Jumper.,20,36
11:29,-1,Toccoa Falls Defensive Rebound.,20,36
11:26,2643,Foul on Ezekiel Balogun.,20,36
11:26,2643,Foul on Frankie Johnson.,20,36
11:10,-1,Cameron Williams missed Jumper.,20,36
11:10,2643,Warren Sledge Defensive Rebound.,20,36
11:01,2643,Frankie Johnson missed Three Point Jumper.,20,36
11:01,-1,Cameron Williams Defensive Rebound.,20,36
10:42,-1,Connor Iverson made Three Point Jumper. Assisted by Nathan Cox.,23,36
10:34,2643,Frankie Johnson Turnover.,23,36
10:33,-1,Nathan Cox Steal.,23,36
10:28,-1,Nathan Cox Turnover.,23,36
10:26,2643,Quayson Williams Steal.,23,36
10:23,-1,Foul on Zach Barrett.,23,36
10:23,2643,Quayson Williams made Free Throw.,23,37
10:23,2643,Quayson Williams made Free Throw.,23,38
10:17,-1,Nathan Cox Turnover.,23,38
10:16,2643,Frankie Johnson Steal.,23,38
10:14,2643,Leandro Allende missed Layup.,23,38
10:14,-1,Connor Iverson Defensive Rebound.,23,38
10:03,-1,Jovan Morris missed Three Point Jumper.,23,38
10:03,2643,Quayson Williams Defensive Rebound.,23,38
9:52,2643,Zane Najdawi missed Jumper.,23,38
9:52,-1,Jovan Morris Block.,23,38
9:49,-1,Zach Barrett Defensive Rebound.,23,38
9:36,-1,Zach Barrett made Jumper.,25,38
9:24,-1,Foul on Nathan Cox.,25,38
9:12,2643,Tom Koopman made Jumper. Assisted by Preston Parks.,25,40
9:04,-1,Nathan Cox Turnover.,25,40
9:03,2643,Preston Parks Steal.,25,40
8:59,-1,Foul on Connor Iverson.,25,40
8:59,2643,Preston Parks made Free Throw.,25,41
8:59,2643,Preston Parks made Free Throw.,25,42
8:52,-1,Jovan Morris missed Layup.,25,42
8:52,2643,Warren Sledge Block.,25,42
8:50,2643,Warren Sledge Defensive Rebound.,25,42
8:44,2643,Preston Parks Turnover.,25,42
8:43,-1,Zach Barrett Steal.,25,42
8:40,-1,Jake Porter made Layup. Assisted by Zach Barrett.,27,42
8:34,2643,Quayson Williams missed Three Point Jumper.,27,42
8:34,-1,Jake Porter Defensive Rebound.,27,42
8:15,-1,Connor Iverson made Layup. Assisted by Zach Barrett.,29,42
8:06,2643,Kaelon Harris missed Three Point Jumper.,29,42
8:06,-1,Connor Iverson Defensive Rebound.,29,42
7:47,-1,Jovan Morris made Layup. Assisted by Zach Barrett.,31,42
7:46,2643,The Citadel  Timeout,31,42
7:35,2643,Kaelon Harris missed Layup.,31,42
7:35,-1,Cameron Williams Defensive Rebound.,31,42
7:23,-1,Foul on Nathan Cox.,31,42
7:22,-1,Faizon Jackson Turnover.,31,42
7:17,2643,Matt Frierson missed Three Point Jumper.,31,42
7:17,2643,Preston Parks Offensive Rebound.,31,42
7:07,2643,Tom Koopman made Layup.,31,44
6:40,-1,Cameron Williams missed Three Point Jumper.,31,44
6:40,-1,Connor Iverson Offensive Rebound.,31,44
6:31,2643,Foul on Matt Frierson.,31,44
6:30,2643,Foul on Frankie Johnson.,31,44
6:30,-1,Faizon Jackson made Free Throw.,32,44
6:29,-1,Faizon Jackson missed Free Throw.,32,44
6:29,2643,Ezekiel Balogun Defensive Rebound.,32,44
6:16,2643,Warren Sledge missed Three Point Jumper.,32,44
6:16,2643,Warren Sledge Offensive Rebound.,32,44
6:13,-1,Foul on Jake Porter.,32,44
6:13,2643,Ezekiel Balogun made Free Throw.,32,45
6:13,2643,Ezekiel Balogun made Free Throw.,32,46
6:11,-1,Jaylon Cheffin made Layup.,34,46
6:04,2643,Leandro Allende Turnover.,34,46
6:00,-1,Connor Iverson Turnover.,34,46
5:57,2643,Ezekiel Balogun Steal.,34,46
5:55,2643,Ezekiel Balogun made Dunk.,34,48
5:55,-1,Cameron Williams Turnover.,34,48
5:51,2643,Preston Parks made Jumper.,34,50
5:35,-1,Cameron Williams made Jumper.,36,50
5:35,2643,Foul on Ezekiel Balogun.,36,50
5:35,-1,Cameron Williams missed Free Throw.,36,50
5:35,2643,Preston Parks missed Jumper.,36,50
5:35,-1,Cameron Williams Defensive Rebound.,36,50
5:35,2643,Ezekiel Balogun Defensive Rebound.,36,50
5:26,2643,Foul on Ezekiel Balogun.,36,50
5:20,-1,Cameron Williams made Free Throw.,37,50
5:20,-1,Cameron Williams made Free Throw.,38,50
5:11,2643,Zane Najdawi missed Layup.,38,50
5:11,2643,Zane Najdawi Offensive Rebound.,38,50
5:09,-1,Foul on Zach Barrett.,38,50
5:09,2643,Zane Najdawi made Free Throw.,38,51
5:09,2643,Zane Najdawi made Free Throw.,38,52
5:01,-1,Jaylon Cheffin missed Three Point Jumper.,38,52
5:01,-1,Connor Iverson Offensive Rebound.,38,52
4:39,-1,Connor Iverson missed Three Point Jumper.,38,52
4:39,2643,Brian White Defensive Rebound.,38,52
4:28,2643,Brian White made Three Point Jumper. Assisted by Leandro Allende.,38,55
4:09,-1,Jaylon Cheffin made Three Point Jumper.,41,55
3:58,2643,Brian White made Three Point Jumper. Assisted by Warren Sledge.,41,58
3:37,-1,Connor Iverson made Jumper.,43,58
3:26,2643,Leandro Allende made Layup.,43,60
3:19,-1,Jaylon Cheffin made Layup. Assisted by Zach Barrett.,45,60
3:11,2643,Zane Najdawi made Layup. Assisted by Warren Sledge.,45,62
2:54,2643,Foul on Leandro Allende.,45,62
2:54,-1,Faizon Jackson missed Free Throw.,45,62
2:54,2643,The Citadel Deadball Team Rebound.,45,62
2:54,-1,Faizon Jackson missed Free Throw.,45,62
2:54,2643,Quayson Williams Defensive Rebound.,45,62
2:48,2643,Quayson Williams missed Three Point Jumper.,45,62
2:48,2643,Kaelon Harris Defensive Rebound.,45,62
2:30,2643,Kaelon Harris made Layup.,45,64
2:25,-1,Cameron Williams missed Jumper.,45,64
2:25,2643,Preston Parks Defensive Rebound.,45,64
2:19,2643,Quayson Williams missed Jumper.,45,64
2:19,2643,Quayson Williams Offensive Rebound.,45,64
2:15,-1,Foul on Faizon Jackson.,45,64
2:15,2643,Quayson Williams made Free Throw.,45,65
2:15,2643,Quayson Williams made Free Throw.,45,66
2:09,-1,Cameron Williams Turnover.,45,66
2:01,2643,Kaelon Harris made Layup.,45,68
1:53,2643,Foul on Kaelon Harris.,45,68
1:53,-1,Cameron Williams made Free Throw.,46,68
1:53,-1,Cameron Williams made Free Throw.,47,68
1:42,-1,Foul on Jovan Morris.,47,68
1:42,2643,Frankie Johnson made Free Throw.,47,69
1:42,2643,Frankie Johnson made Free Throw.,47,70
1:30,-1,Cameron Williams missed Jumper.,47,70
1:30,2643,Kaelon Harris Block.,47,70
1:28,2643,Preston Parks Defensive Rebound.,47,70
1:23,2643,Kaelon Harris made Layup.,47,72
1:09,-1,Toccoa Falls  Timeout,47,72
0:59,2643,Foul on Leandro Allende.,47,72
0:59,-1,Cameron Williams made Free Throw.,48,72
0:59,-1,Cameron Williams made Free Throw.,49,72
0:51,2643,Leandro Allende made Layup. Assisted by Preston Parks.,49,74
0:44,-1,Zach Barrett Turnover.,49,74
0:43,2643,Brian White Steal.,49,74
0:41,2643,Leandro Allende missed Three Point Jumper.,49,74
0:41,-1,Cameron Williams Defensive Rebound.,49,74
0:31,-1,Jovan Morris made Layup. Assisted by Faizon Jackson.,51,74
0:02,2643,Preston Parks made Three Point Jumper. Assisted by Warren Sledge.,51,77
0:00,2643,End of 1st half,51,77
19:49,-1,Jovan Morris missed Three Point Jumper.,51,77
19:49,2643,Brian White Defensive Rebound.,51,77
19:39,2643,Brian White made Three Point Jumper. Assisted by Quayson Williams.,51,80
19:13,-1,Jovan Morris Turnover.,51,80
19:13,2643,Brian White Steal.,51,80
19:08,2643,Quayson Williams missed Three Point Jumper.,51,80
19:08,-1,Cameron Williams Defensive Rebound.,51,80
18:44,-1,Cameron Williams Turnover.,51,80
18:33,2643,Brian White made Three Point Jumper. Assisted by Warren Sledge.,51,83
18:24,-1,Jovan Morris missed Layup.,51,83
18:24,2643,Zane Najdawi Defensive Rebound.,51,83
18:15,2643,Brian White missed Three Point Jumper.,51,83
18:15,-1,Faizon Jackson Defensive Rebound.,51,83
17:56,-1,Faizon Jackson Turnover.,51,83
17:39,2643,Quayson Williams missed Jumper.,51,83
17:39,-1,Zach Barrett Defensive Rebound.,51,83
17:32,-1,Cameron Williams made Layup. Assisted by Zach Barrett.,53,83
17:25,2643,Frankie Johnson missed Layup.,53,83
17:25,-1,Faizon Jackson Defensive Rebound.,53,83
17:16,-1,Faizon Jackson missed Jumper.,53,83
17:16,2643,Zane Najdawi Defensive Rebound.,53,83
17:09,2643,Zane Najdawi missed Three Point Jumper.,53,83
17:09,-1,Faizon Jackson Defensive Rebound.,53,83
16:55,-1,Faizon Jackson made Jumper.,55,83
16:39,2643,Warren Sledge made Three Point Jumper. Assisted by Quayson Williams.,55,86
16:21,-1,Cameron Williams made Layup. Assisted by Faizon Jackson.,57,86
16:05,-1,Foul on Zach Barrett.,57,86
16:05,2643,Zane Najdawi made Free Throw.,57,87
16:05,2643,Zane Najdawi made Free Throw.,57,88
15:54,-1,Jovan Morris made Layup. Assisted by Connor Iverson.,59,88
15:44,2643,Preston Parks Turnover.,59,88
15:44,-1,Cameron Williams Steal.,59,88
15:41,-1,Cameron Williams made Layup.,61,88
15:28,2643,Tom Koopman Turnover.,61,88
15:26,-1,Cameron Williams Steal.,61,88
15:24,-1,Connor Iverson made Layup.,63,88
15:24,2643,Foul on Matt Frierson.,63,88
15:24,2643,Official TV Timeout,63,88
15:24,-1,Connor Iverson made Free Throw.,64,88
15:19,2643,Preston Parks missed Jumper.,64,88
15:19,2643,Bobby Duncan Offensive Rebound.,64,88
15:08,2643,Matt Frierson missed Three Point Jumper.,64,88
15:08,2643,The Citadel Offensive Rebound.,64,88
14:47,2643,Kaelon Harris made Layup.,64,90
14:20,-1,Foul on Cameron Williams.,64,90
14:07,2643,Leandro Allende made Three Point Jumper. Assisted by Warren Sledge.,64,93
13:48,-1,Cameron Williams made Layup. Assisted by Zach Barrett.,66,93
13:37,-1,Foul on Connor Iverson.,66,93
13:36,2643,Preston Parks missed Three Point Jumper.,66,93
13:36,-1,Toccoa Falls Defensive Rebound.,66,93
13:28,-1,Faizon Jackson Turnover.,66,93
13:27,2643,Zane Najdawi Steal.,66,93
13:25,2643,Zane Najdawi missed Layup.,66,93
13:25,-1,Zach Barrett Defensive Rebound.,66,93
13:17,2643,Foul on Zane Najdawi.,66,93
13:17,2643,Technical Foul on The Citadel.,66,93
13:17,-1,Connor Iverson made Free Throw.,67,93
13:17,-1,Connor Iverson made Free Throw.,68,93
13:17,-1,Cameron Williams missed Free Throw.,68,93
13:17,-1,Cameron Williams made Free Throw.,69,93
13:17,2643,Preston Parks missed Jumper.,69,93
13:17,2643,The Citadel Offensive Rebound.,69,93
13:13,2643,Zane Najdawi made Layup.,69,95
13:06,-1,Connor Iverson Turnover.,69,95
13:04,2643,Preston Parks Steal.,69,95
13:03,2643,Zane Najdawi made Layup. Assisted by Preston Parks.,69,97
12:53,-1,Faizon Jackson made Jumper.,71,97
12:38,-1,Foul on Jovan Morris.,71,97
12:30,2643,Kaelon Harris made Free Throw.,71,98
12:30,2643,Kaelon Harris missed Free Throw.,71,98
12:30,2643,Ezekiel Balogun Offensive Rebound.,71,98
12:30,2643,Ezekiel Balogun missed Jumper.,71,98
12:30,2643,Ezekiel Balogun Offensive Rebound.,71,98
12:30,2643,Kaelon Harris missed Jumper.,71,98
12:30,2643,Kaelon Harris Offensive Rebound.,71,98
12:23,2643,Kaelon Harris made Free Throw.,71,99
12:23,2643,Kaelon Harris made Free Throw.,71,100
12:18,-1,Jovan Morris Turnover.,71,100
12:06,2643,Ezekiel Balogun missed Dunk.,71,100
12:06,-1,Connor Iverson Defensive Rebound.,71,100
11:50,-1,Cameron Williams missed Jumper.,71,100
11:50,2643,Warren Sledge Defensive Rebound.,71,100
11:29,2643,Frankie Johnson missed Three Point Jumper.,71,100
11:29,-1,Toccoa Falls Defensive Rebound.,71,100
11:25,2643,Official TV Timeout,71,100
11:23,-1,Faizon Jackson Turnover.,71,100
11:21,2643,Preston Parks Steal.,71,100
11:19,2643,Preston Parks made Jumper.,71,102
10:50,-1,Jaylon Cheffin Turnover.,71,102
10:50,-1,Foul on Jaylon Cheffin.,71,102
10:43,-1,Foul on Faizon Jackson.,71,102
10:43,2643,Frankie Johnson made Free Throw.,71,103
10:43,2643,Frankie Johnson made Free Throw.,71,104
10:32,2643,Foul on Ezekiel Balogun.,71,104
10:29,-1,Faizon Jackson made Three Point Jumper. Assisted by Jovan Morris.,74,104
10:15,2643,Warren Sledge made Three Point Jumper. Assisted by Frankie Johnson.,74,107
9:44,-1,Jaylon Cheffin missed Jumper.,74,107
9:44,2643,Zane Najdawi Block.,74,107
9:41,2643,Zane Najdawi Defensive Rebound.,74,107
9:35,-1,Foul on Jake Porter.,74,107
9:35,2643,Leandro Allende made Free Throw.,74,108
9:35,2643,Leandro Allende made Free Throw.,74,109
9:21,-1,Faizon Jackson made Layup. Assisted by Connor Iverson.,76,109
9:13,-1,Foul on Jaylon Cheffin.,76,109
9:13,2643,Zane Najdawi made Free Throw.,76,110
9:13,2643,Zane Najdawi made Free Throw.,76,111
9:02,-1,Jake Porter Turnover.,76,111
8:58,2643,Warren Sledge made Three Point Jumper. Assisted by Frankie Johnson.,76,114
8:49,-1,Jake Porter Turnover.,76,114
8:47,2643,Frankie Johnson Steal.,76,114
8:45,2643,Matt Frierson missed Three Point Jumper.,76,114
8:45,2643,Zane Najdawi Offensive Rebound.,76,114
8:44,-1,Foul on Kevin Cave.,76,114
8:44,2643,Zane Najdawi made Free Throw.,76,115
8:44,2643,Zane Najdawi missed Free Throw.,76,115
8:44,-1,Jovan Morris Defensive Rebound.,76,115
8:35,2643,Foul on Zane Najdawi.,76,115
8:35,-1,Jovan Morris made Free Throw.,77,115
8:35,-1,Jovan Morris missed Free Throw.,77,115
8:35,2643,Zane Najdawi Defensive Rebound.,77,115
8:28,2643,Matt Frierson missed Three Point Jumper.,77,115
8:28,2643,Zane Najdawi Offensive Rebound.,77,115
8:18,2643,Warren Sledge missed Three Point Jumper.,77,115
8:18,2643,Zane Najdawi Offensive Rebound.,77,115
8:12,2643,Zane Najdawi made Layup.,77,117
8:12,-1,Foul on Kevin Cave.,77,117
8:12,2643,Zane Najdawi missed Free Throw.,77,117
8:12,2643,Warren Sledge Offensive Rebound.,77,117
8:06,-1,Foul on Nathan Cox.,77,117
8:06,2643,Frankie Johnson made Free Throw.,77,118
8:06,2643,Frankie Johnson made Free Throw.,77,119
7:39,2643,Foul on Kaelon Harris.,77,119
7:39,2643,Official TV Timeout,77,119
7:39,-1,Cameron Williams made Free Throw.,78,119
7:39,-1,Cameron Williams made Free Throw.,79,119
7:39,-1,Cameron Williams made Free Throw.,80,119
7:25,-1,Foul on Faizon Jackson.,80,119
7:25,2643,Frankie Johnson missed Free Throw.,80,119
7:25,2643,The Citadel Deadball Team Rebound.,80,119
7:25,2643,Frankie Johnson made Free Throw.,80,120
7:06,-1,Jovan Morris made Three Point Jumper. Assisted by Kevin Cave.,83,120
6:50,2643,Warren Sledge missed Three Point Jumper.,83,120
6:50,2643,Kaelon Harris Offensive Rebound.,83,120
6:45,2643,Kaelon Harris made Layup.,83,122
6:25,-1,Faizon Jackson missed Jumper.,83,122
6:25,-1,Dre Durham Offensive Rebound.,83,122
6:19,-1,Connor Iverson missed Three Point Jumper.,83,122
6:19,2643,Tom Koopman Defensive Rebound.,83,122
6:04,-1,Cameron Williams made Three Point Jumper. Assisted by Faizon Jackson.,86,122
5:59,-1,Foul on Faizon Jackson.,86,122
5:59,2643,Frankie Johnson made Free Throw.,86,123
5:59,2643,Frankie Johnson made Free Throw.,86,124
5:46,-1,Jovan Morris missed Three Point Jumper.,86,124
5:46,-1,Cameron Williams Offensive Rebound.,86,124
5:41,-1,Cameron Williams made Jumper.,88,124
5:29,2643,Leandro Allende missed Three Point Jumper.,88,124
5:29,2643,Bobby Duncan Offensive Rebound.,88,124
5:26,2643,Bobby Duncan missed Free Throw.,88,126
5:26,-1,Jovan Morris Defensive Rebound.,88,126
5:24,2643,Bobby Duncan made Layup.,88,126
5:24,-1,Foul on Kevin Cave.,88,126
5:08,-1,Connor Iverson made Jumper.,90,126
5:07,2643,Foul on Leandro Allende.,90,126
5:07,-1,Connor Iverson missed Free Throw.,90,126
5:07,2643,Ezekiel Balogun Defensive Rebound.,90,126
5:04,2643,Preston Parks missed Three Point Jumper.,90,126
5:04,-1,Nathan Cox Defensive Rebound.,90,126
4:57,-1,Nathan Cox Turnover.,90,126
4:55,2643,Preston Parks Steal.,90,126
4:54,2643,Ezekiel Balogun made Dunk. Assisted by Preston Parks.,90,128
4:38,-1,Kevin Cave missed Three Point Jumper.,90,128
4:38,2643,Warren Sledge Block.,90,128
4:35,2643,Frankie Johnson Defensive Rebound.,90,128
4:29,2643,Frankie Johnson Turnover.,90,128
4:28,-1,Kevin Cave Steal.,90,128
4:22,-1,Connor Iverson missed Layup.,90,128
4:22,2643,Ezekiel Balogun Defensive Rebound.,90,128
4:17,2643,Warren Sledge made Three Point Jumper. Assisted by Frankie Johnson.,90,131
4:02,-1,Cameron Williams missed Jumper.,90,131
4:02,2643,Ezekiel Balogun Defensive Rebound.,90,131
3:54,2643,Warren Sledge made Three Point Jumper. Assisted by Leandro Allende.,90,134
3:48,2643,The Citadel  Timeout,90,134
3:29,2643,Foul on Preston Parks.,90,134
3:29,2643,Official TV Timeout,90,134
3:29,-1,Nathan Cox made Free Throw.,91,134
3:29,-1,Nathan Cox made Free Throw.,92,134
3:14,2643,Bobby Duncan missed Layup.,92,134
3:14,-1,Cameron Williams Block.,92,134
3:14,2643,The Citadel Offensive Rebound.,92,134
3:07,2643,Tyler Burgess made Three Point Jumper. Assisted by Aaron Washington.,92,137
2:38,-1,Cameron Williams missed Three Point Jumper.,92,137
2:38,2643,Bobby Duncan Defensive Rebound.,92,137
2:29,2643,Tyler Burgess missed Three Point Jumper.,92,137
2:29,2643,Bobby Duncan Offensive Rebound.,92,137
2:19,2643,Aaron Washington made Three Point Jumper. Assisted by Preston Parks.,92,140
1:48,-1,Connor Iverson made Layup.,94,140
1:41,2643,Bobby Duncan Turnover.,94,140
1:18,-1,Connor Iverson Turnover.,94,140
1:18,2643,Ezekiel Balogun Steal.,94,140
1:18,2643,Ezekiel Balogun made Dunk.,94,142
1:13,-1,Kevin Cave missed Three Point Jumper.,94,142
1:13,2643,Bobby Duncan Defensive Rebound.,94,142
0:49,2643,Preston Parks Turnover.,94,142
0:48,-1,Cameron Williams Steal.,94,142
0:41,-1,Jovan Morris Turnover.,94,142
0:39,-1,Foul on Jovan Morris.,94,142
0:14,2643,Aaron Washington missed Jumper.,94,142
0:14,2643,Ezekiel Balogun Offensive Rebound.,94,142
0:10,-1,Foul on Nathan Cox.,94,142
0:10,2643,Ezekiel Balogun made Free Throw.,94,143
0:10,2643,Ezekiel Balogun made Free Throw.,94,144
0:01,-1,Connor Iverson missed Three Point Jumper.,94,144
0:01,2643,Ezekiel Balogun Defensive Rebound.,94,144
0:00,2643,End of Game,94,144
