UAB,2617,Stephen F. Austin,5
11:22,5,Foul on Chris Cokley.,12,17
11:21,2617,Kevon Harris missed Free Throw.,12,17
11:21,5,William Lee Defensive Rebound.,12,17
11:16,5,William Lee made Layup.,14,17
10:49,2617,Samuli Nieminen Turnover.,14,17
10:45,5,Tyler Madison Steal.,14,17
10:44,5,Tyler Madison made Layup.,16,17
10:28,2617,Jovan Grujic missed Layup.,16,17
10:28,5,William Lee Defensive Rebound.,16,17
10:13,5,Dirk Williams made Jumper.,18,17
9:58,2617,Aaron Augustin missed Layup.,18,17
9:58,5,Tyler Madison Block.,18,17
9:58,2617,Stephen F. Austin Offensive Rebound.,18,17
9:44,2617,Aaron Augustin missed Jumper.,18,17
9:44,5,Tyler Madison Defensive Rebound.,18,17
9:26,5,Foul on Denzell Watts.,18,17
9:26,5,Denzell Watts Turnover.,18,17
9:06,2617,Kevon Harris Turnover.,18,17
8:51,5,Tyler Madison Turnover.,18,17
8:34,5,Foul on Tyler Madison.,18,17
8:34,2617,Samuli Nieminen missed Free Throw.,18,17
8:34,5,Tyler Madison Defensive Rebound.,18,17
8:17,5,Hakeem Baxter Turnover.,18,17
8:16,2617,Dallas Cameron Steal.,18,17
8:12,2617,Leon Gilmore III made Layup.,18,19
7:50,5,Dirk Williams made Layup.,20,19
7:32,2617,Kevon Harris missed Jumper.,20,19
7:32,2617,Samuli Nieminen Offensive Rebound.,20,19
7:29,2617,Samuli Nieminen missed Layup.,20,19
7:29,5,Tyler Madison Block.,20,19
7:29,2617,Stephen F. Austin Offensive Rebound.,20,19
7:29,2617,Official TV Timeout,20,19
7:27,2617,Leon Gilmore III made Dunk. Assisted by Dallas Cameron.,20,21
7:09,5,Tyler Madison made Dunk. Assisted by Deion Lavender.,22,21
7:00,5,Foul on Tyler Madison.,22,21
6:59,2617,Leon Gilmore III missed Free Throw.,22,21
6:59,5,Hakeem Baxter Defensive Rebound.,22,21
6:34,5,Javien Williams Turnover.,22,21
6:33,2617,Ivan Canete Steal.,22,21
6:23,2617,Leon Gilmore III made Layup.,22,23
6:05,5,Javien Williams made Layup. Assisted by Tyler Madison.,24,23
5:42,2617,Ivan Canete missed Jumper.,24,23
5:42,5,William Lee Block.,24,23
5:42,2617,Stephen F. Austin Offensive Rebound.,24,23
5:40,2617,Leon Gilmore III missed Three Point Jumper.,24,23
5:40,5,Deion Lavender Defensive Rebound.,24,23
5:27,5,Tosin Mehinti missed Jumper.,24,23
5:27,2617,Stephen F. Austin Defensive Rebound.,24,23
5:12,2617,Leon Gilmore III Turnover.,24,23
4:58,5,Javien Williams made Layup.,26,23
4:43,2617,Stephen F. Austin  Timeout,26,23
4:28,2617,Josh Huntley missed Jumper.,26,23
4:28,5,William Lee Defensive Rebound.,26,23
4:20,5,Foul on Tosin Mehinti.,26,23
4:20,5,Tosin Mehinti Turnover.,26,23
4:04,2617,Ivan Canete missed Three Point Jumper.,26,23
4:04,5,Deion Lavender Defensive Rebound.,26,23
3:59,2617,Foul on Ivan Canete.,26,23
3:59,2617,Official TV Timeout,26,23
3:50,2617,Foul on Dallas Cameron.,26,23
3:50,5,William Lee made Free Throw.,27,23
3:50,5,William Lee missed Free Throw.,27,23
3:50,2617,Josh Huntley Defensive Rebound.,27,23
3:49,5,Foul on Thomas Smallwood.,27,23
3:49,2617,Samuli Nieminen missed Free Throw.,27,23
3:49,2617,Stephen F. Austin Deadball Team Rebound.,27,23
3:49,2617,Samuli Nieminen made Free Throw.,27,24
3:40,5,Dirk Williams made Layup. Assisted by Deion Lavender.,29,24
3:04,2617,Aaron Augustin missed Jumper.,29,24
3:04,5,William Lee Block.,29,24
3:01,5,Deion Lavender Defensive Rebound.,29,24
2:57,5,Dirk Williams missed Jumper.,29,24
2:57,5,Javien Williams Offensive Rebound.,29,24
2:55,2617,Foul on Kevon Harris.,29,24
2:55,5,Javien Williams missed Free Throw.,29,24
2:55,5,UAB Deadball Team Rebound.,29,24
2:55,5,Javien Williams made Free Throw.,30,24
2:29,2617,Kevon Harris missed Three Point Jumper.,30,24
2:29,5,William Lee Defensive Rebound.,30,24
2:23,2617,Foul on Aaron Augustin.,30,24
2:23,5,Javien Williams made Free Throw.,31,24
2:23,5,Javien Williams made Free Throw.,32,24
2:03,2617,Isaiah Traylor Turnover.,32,24
1:52,5,Deion Lavender made Jumper.,34,24
1:48,2617,Stephen F. Austin  Timeout,34,24
1:29,2617,Kevon Harris missed Layup.,34,24
1:29,5,William Lee Block.,34,24
1:28,2617,Kevon Harris Offensive Rebound.,34,24
1:28,2617,Kevon Harris made Layup.,34,26
1:28,5,Foul on Thomas Smallwood.,34,26
1:28,2617,Kevon Harris made Free Throw.,34,27
1:16,5,Dirk Williams made Dunk. Assisted by Deion Lavender.,36,27
0:54,2617,Leon Gilmore III missed Layup.,36,27
0:54,5,William Lee Defensive Rebound.,36,27
0:41,5,Deion Lavender Turnover.,36,27
0:40,2617,Leon Gilmore III Steal.,36,27
0:38,5,Foul on Deion Lavender.,36,27
0:36,2617,Leon Gilmore III missed Free Throw.,36,27
0:36,2617,Stephen F. Austin Deadball Team Rebound.,36,27
0:36,5,UAB  Timeout,36,27
0:36,2617,Leon Gilmore III made Free Throw.,36,28
0:29,2617,Foul on Leon Gilmore III.,36,28
0:29,5,Javien Williams made Free Throw.,37,28
0:29,5,Javien Williams missed Free Throw.,37,28
0:29,2617,Leon Gilmore III Defensive Rebound.,37,28
0:04,2617,Dallas Cameron made Layup.,37,30
0:03,5,Foul on William Lee.,37,30
0:03,2617,Dallas Cameron missed Free Throw.,37,30
0:03,5,Dirk Williams Defensive Rebound.,37,30
0:00,2617,End of 1st half,37,30
19:43,2617,TJ Holyfield missed Jumper.,37,30
19:43,2617,Samuli Nieminen Offensive Rebound.,37,30
19:39,2617,Samuli Nieminen made Layup.,37,32
19:21,5,Javien Williams made Three Point Jumper. Assisted by Hakeem Baxter.,40,32
18:53,2617,Aaron Augustin Turnover.,40,32
18:52,5,Hakeem Baxter Steal.,40,32
18:49,5,Hakeem Baxter missed Layup.,40,32
18:49,5,Javien Williams Offensive Rebound.,40,32
18:45,5,Javien Williams Offensive Rebound.,40,32
18:43,5,Javien Williams made Layup.,42,32
18:25,2617,Aaron Augustin missed Three Point Jumper.,42,32
18:25,5,Hakeem Baxter Defensive Rebound.,42,32
18:08,5,Deion Lavender Turnover.,42,32
18:05,2617,Dallas Cameron Steal.,42,32
18:03,2617,Aaron Augustin made Layup. Assisted by Dallas Cameron.,42,34
17:46,5,Deion Lavender made Layup.,44,34
17:21,2617,Dallas Cameron missed Layup.,44,34
17:21,5,Chris Cokley Defensive Rebound.,44,34
17:14,5,Javien Williams made Jumper.,46,34
17:04,2617,Stephen F. Austin  Timeout,46,34
16:48,2617,TJ Holyfield missed Three Point Jumper.,46,34
16:48,2617,Samuli Nieminen Offensive Rebound.,46,34
16:45,2617,Samuli Nieminen made Layup.,46,36
16:31,5,Hakeem Baxter made Layup. Assisted by Deion Lavender.,48,36
16:12,5,Foul on William Lee.,48,36
16:12,2617,Ivan Canete made Free Throw.,48,37
16:12,2617,Ivan Canete made Free Throw.,48,38
15:53,5,Javien Williams missed Layup.,48,38
15:53,2617,TJ Holyfield Block.,48,38
15:50,5,William Lee Offensive Rebound.,48,38
15:47,5,William Lee made Dunk.,50,38
15:38,2617,Leon Gilmore III missed Layup.,50,38
15:38,5,Denzell Watts Defensive Rebound.,50,38
15:30,5,William Lee made Layup. Assisted by Denzell Watts.,52,38
15:29,2617,Foul on Dallas Cameron.,52,38
15:29,2617,Official TV Timeout,52,38
15:29,5,William Lee made Free Throw.,53,38
15:10,2617,Kevon Harris missed Layup.,53,38
15:10,2617,Kevon Harris Offensive Rebound.,53,38
15:06,2617,Kevon Harris missed Two Point Tip Shot.,53,38
15:06,2617,TJ Holyfield Offensive Rebound.,53,38
14:57,2617,Leon Gilmore III Turnover.,53,38
14:55,5,Javien Williams Steal.,53,38
14:37,5,Javien Williams Turnover.,53,38
14:35,2617,Leon Gilmore III Steal.,53,38
14:33,2617,Leon Gilmore III made Dunk.,53,40
14:12,5,Chris Cokley Turnover.,53,40
13:59,2617,TJ Holyfield made Dunk. Assisted by Isaiah Traylor.,53,42
13:40,5,Hakeem Baxter missed Three Point Jumper.,53,42
13:40,2617,Kevon Harris Defensive Rebound.,53,42
13:20,2617,Isaiah Traylor missed Three Point Jumper.,53,42
13:20,2617,Stephen F. Austin Offensive Rebound.,53,42
13:14,2617,Foul on Ivan Canete.,53,42
13:14,2617,Ivan Canete Turnover.,53,42
12:56,5,Dirk Williams Turnover.,53,42
12:54,2617,Kevon Harris Steal.,53,42
12:51,2617,Kevon Harris missed Layup.,53,42
12:51,2617,TJ Holyfield Offensive Rebound.,53,42
12:50,5,Foul on Tosin Mehinti.,53,42
12:50,2617,TJ Holyfield made Layup.,53,44
12:50,2617,TJ Holyfield made Free Throw.,53,45
12:43,5,Tyler Madison made Dunk. Assisted by William Lee.,55,45
12:29,2617,Kevon Harris made Jumper.,55,47
12:05,5,William Lee made Jumper.,57,47
11:44,2617,Leon Gilmore III made Jumper. Assisted by Dallas Cameron.,57,49
11:09,2617,Official TV Timeout,57,49
11:06,5,William Lee Turnover.,57,49
11:05,2617,Ivan Canete Steal.,57,49
11:03,5,Foul on Deion Lavender.,57,49
11:03,2617,Ivan Canete missed Free Throw.,57,49
11:03,2617,Stephen F. Austin Deadball Team Rebound.,57,49
11:03,2617,Ivan Canete missed Free Throw.,57,49
11:03,5,Dirk Williams Defensive Rebound.,57,49
10:48,5,Hakeem Baxter made Three Point Jumper. Assisted by William Lee.,60,49
10:26,2617,Ivan Canete missed Three Point Jumper.,60,49
10:26,5,Dirk Williams Defensive Rebound.,60,49
10:09,5,Dirk Williams made Jumper. Assisted by Hakeem Baxter.,62,49
9:41,2617,Dallas Cameron missed Three Point Jumper.,62,49
9:41,5,Dirk Williams Defensive Rebound.,62,49
9:30,5,Dirk Williams missed Three Point Jumper.,62,49
9:30,2617,Ivan Canete Defensive Rebound.,62,49
9:27,5,Foul on Tyler Madison.,62,49
9:19,5,Foul on Dirk Williams.,62,49
9:09,2617,Ivan Canete made Jumper.,62,51
8:39,5,UAB  Timeout,62,51
8:33,5,Javien Williams missed Three Point Jumper.,62,51
8:33,5,Tosin Mehinti Offensive Rebound.,62,51
8:27,5,Tosin Mehinti made Dunk.,64,51
8:00,2617,Ivan Canete missed Three Point Jumper.,64,51
7:53,5,Tosin Mehinti Defensive Rebound.,64,51
7:44,5,Foul on Javien Williams.,64,51
7:44,5,Javien Williams Offensive Rebound.,64,51
7:44,2617,Official TV Timeout,64,51
7:36,5,Foul on Chris Cokley.,64,51
7:36,2617,TJ Holyfield made Free Throw.,64,52
7:36,2617,TJ Holyfield made Free Throw.,64,53
7:11,5,Chris Cokley made Jumper.,66,53
6:58,2617,Kevon Harris made Jumper.,66,55
6:58,5,Foul on Denzell Watts.,66,55
6:58,2617,Kevon Harris missed Free Throw.,66,55
6:58,5,Javien Williams Defensive Rebound.,66,55
6:41,5,Dirk Williams missed Jumper.,66,55
6:41,5,Tosin Mehinti Offensive Rebound.,66,55
6:38,5,Tosin Mehinti Turnover.,66,55
6:17,2617,Dallas Cameron made Jumper.,66,57
5:57,5,Hakeem Baxter missed Three Point Jumper.,66,57
5:57,2617,Leon Gilmore III Defensive Rebound.,66,57
5:44,2617,Kevon Harris made Layup.,66,59
5:28,5,UAB  Timeout,66,59
5:17,5,Javien Williams made Layup. Assisted by Chris Cokley.,68,59
4:56,2617,Isaiah Traylor made Three Point Jumper. Assisted by TJ Holyfield.,68,62
4:41,5,Chris Cokley made Jumper.,70,62
4:24,2617,TJ Holyfield made Three Point Jumper. Assisted by Aaron Augustin.,70,65
4:07,2617,Foul on Dallas Cameron.,70,65
4:07,5,Javien Williams made Free Throw.,71,65
4:07,5,Javien Williams made Free Throw.,72,65
3:40,2617,TJ Holyfield missed Layup.,72,65
3:40,5,William Lee Block.,72,65
3:35,5,William Lee Defensive Rebound.,72,65
3:26,5,William Lee made Layup. Assisted by Deion Lavender.,74,65
3:16,2617,Kevon Harris missed Three Point Jumper.,74,65
3:16,2617,Kevon Harris Offensive Rebound.,74,65
2:48,2617,Leon Gilmore III missed Jumper.,74,65
2:48,5,UAB Defensive Rebound.,74,65
2:44,2617,Official TV Timeout,74,65
2:20,5,Hakeem Baxter made Three Point Jumper. Assisted by Dirk Williams.,77,65
2:04,5,Foul on Deion Lavender.,77,65
2:04,2617,Leon Gilmore III made Free Throw.,77,66
2:04,2617,Leon Gilmore III made Free Throw.,77,67
2:00,5,William Lee Turnover.,77,67
1:58,2617,Aaron Augustin Steal.,77,67
1:57,2617,Aaron Augustin missed Layup.,77,67
1:57,2617,TJ Holyfield Offensive Rebound.,77,67
1:52,2617,TJ Holyfield missed Layup.,77,67
1:52,2617,Leon Gilmore III Offensive Rebound.,77,67
1:49,2617,Leon Gilmore III made Dunk.,77,69
1:32,5,Chris Cokley Turnover.,77,69
1:32,2617,TJ Holyfield Steal.,77,69
1:32,5,Foul on William Lee.,77,69
1:32,2617,TJ Holyfield made Free Throw.,77,70
1:32,2617,TJ Holyfield made Free Throw.,77,71
1:26,2617,Foul on Leon Gilmore III.,77,71
1:26,5,Hakeem Baxter missed Free Throw.,77,71
1:26,5,UAB Deadball Team Rebound.,77,71
1:26,5,Hakeem Baxter made Free Throw.,78,71
1:08,2617,Samuli Nieminen made Layup.,78,73
0:59,2617,Foul on Samuli Nieminen.,78,73
0:56,2617,Foul on Samuli Nieminen.,78,73
0:47,2617,Foul on Leon Gilmore III.,78,73
0:47,5,Deion Lavender made Free Throw.,79,73
0:47,5,Deion Lavender made Free Throw.,80,73
0:32,2617,TJ Holyfield missed Jumper.,80,73
0:32,5,William Lee Block.,80,73
0:29,5,Hakeem Baxter Defensive Rebound.,80,73
0:28,2617,Foul on Dallas Cameron.,80,73
0:28,5,Deion Lavender made Free Throw.,81,73
0:28,5,Deion Lavender made Free Throw.,82,73
0:18,2617,Aaron Augustin Turnover.,82,73
0:17,5,Deion Lavender Steal.,82,73
0:14,2617,Foul on Dallas Cameron.,82,73
0:14,5,Deion Lavender made Free Throw.,83,73
0:14,5,Deion Lavender made Free Throw.,84,73
0:08,2617,Foul on Aaron Augustin.,84,73
0:08,2617,Aaron Augustin Turnover.,84,73
0:00,2617,End of Game,84,73
