UMBC,116,Mt. St. Mary's,2378
14:19,2378,Jairus Lyles made Layup.,10,6
13:54,116,Randy Miller Jr. missed Layup.,10,6
13:54,2378,Max Curran Defensive Rebound.,10,6
13:39,2378,Jairus Lyles Turnover.,10,6
13:36,116,Elijah Long Turnover.,10,6
12:58,2378,K.J. Maura missed Layup.,10,6
12:58,116,Mawdo Sallah Block.,10,6
12:57,116,Will Miller Defensive Rebound.,10,6
12:48,116,Greg Alexander missed Three Point Jumper.,10,6
12:48,2378,Max Curran Defensive Rebound.,10,6
12:40,2378,Max Curran Turnover.,10,6
12:31,116,Will Miller missed Three Point Jumper.,10,6
12:31,2378,Jourdan Grant Defensive Rebound.,10,6
12:08,2378,Jourdan Grant missed Three Point Jumper.,10,6
12:08,116,Miles Wilson Defensive Rebound.,10,6
11:52,116,Miles Wilson made Jumper.,10,8
11:36,2378,Jourdan Grant made Layup.,12,8
11:21,116,Will Miller Turnover.,12,8
11:20,2378,Jairus Lyles Steal.,12,8
11:11,2378,Jairus Lyles missed Jumper.,12,8
11:11,116,Miles Wilson Defensive Rebound.,12,8
11:01,116,Miles Wilson made Layup.,12,10
10:51,116,Foul on Miles Wilson.,12,10
10:51,116,Official TV Timeout,12,10
10:30,2378,Joe Sherburne made Jumper.,14,10
10:04,116,Chris Wray made Layup.,14,12
9:50,2378,Rodney Elliott missed Jumper.,14,12
9:50,116,Elijah Long Defensive Rebound.,14,12
9:37,116,Elijah Long made Layup.,14,14
9:32,2378,Jourdan Grant Turnover.,14,14
9:14,116,Miles Wilson made Three Point Jumper.,14,17
9:00,2378,Joe Sherburne made Three Point Jumper. Assisted by Rodney Elliott.,17,17
8:32,116,Junior Robinson missed Three Point Jumper.,17,17
8:32,2378,Joe Sherburne Defensive Rebound.,17,17
8:30,116,Foul on Miles Wilson.,17,17
8:21,2378,UMBC  Timeout,17,17
8:21,2378,UMBC  Timeout,17,17
8:12,2378,Rodney Elliott Turnover.,17,17
7:53,116,Junior Robinson made Layup. Assisted by Greg Alexander.,17,19
7:22,2378,Joe Sherburne made Three Point Jumper. Assisted by Rodney Elliott.,20,19
6:53,116,Chris Wray missed Layup.,20,19
6:53,2378,UMBC Defensive Rebound.,20,19
6:33,2378,Rodney Elliott made Layup.,22,19
6:18,2378,Foul on Will Darley.,22,19
6:12,116,Will Miller missed Three Point Jumper.,22,19
6:12,2378,UMBC Deadball Team Rebound.,22,19
5:54,2378,Rodney Elliott missed Layup.,22,19
5:54,116,Mawdo Sallah Block.,22,19
5:53,116,Mawdo Sallah Defensive Rebound.,22,19
5:46,116,Elijah Long made Three Point Jumper. Assisted by Mawdo Sallah.,22,22
5:23,2378,Joe Sherburne missed Layup.,22,22
5:23,116,Mawdo Sallah Defensive Rebound.,22,22
5:16,116,Will Miller missed Three Point Jumper.,22,22
5:16,2378,Joe Sherburne Defensive Rebound.,22,22
5:14,116,Foul on Mawdo Sallah.,22,22
4:57,2378,K.J. Maura missed Layup.,22,22
4:57,116,Mawdo Sallah Defensive Rebound.,22,22
4:45,116,Junior Robinson missed Three Point Jumper.,22,22
4:45,2378,Rodney Elliott Defensive Rebound.,22,22
4:34,2378,Rodney Elliott missed Layup.,22,22
4:34,116,Khalid Nwandu Defensive Rebound.,22,22
4:27,116,Khalid Nwandu missed Layup.,22,22
4:27,116,Greg Alexander Offensive Rebound.,22,22
4:24,116,Greg Alexander made Layup.,22,24
4:24,2378,Foul on Joe Sherburne.,22,24
4:24,116,Greg Alexander made Free Throw.,22,25
4:03,2378,Jairus Lyles missed Jumper.,22,25
4:03,116,Will Miller Defensive Rebound.,22,25
3:42,116,Mawdo Sallah Turnover.,22,25
3:40,2378,Joe Sherburne Steal.,22,25
3:26,2378,Rodney Elliott missed Three Point Jumper.,22,25
3:26,116,Mawdo Sallah Defensive Rebound.,22,25
3:14,116,Elijah Long made Layup.,22,27
2:52,2378,Joe Sherburne made Jumper. Assisted by K.J. Maura.,24,27
2:28,116,Khalid Nwandu Turnover.,24,27
2:28,116,Official TV Timeout,24,27
2:13,2378,Jairus Lyles made Layup.,26,27
1:48,116,Mawdo Sallah made Layup.,26,29
1:23,2378,Rodney Elliott made Layup.,28,29
1:04,2378,Foul on Joe Sherburne.,28,29
1:04,116,Chris Wray missed Free Throw.,28,29
1:04,116,Mt. St. Mary's Deadball Team Rebound.,28,29
1:04,116,Chris Wray missed Free Throw.,28,29
1:04,2378,Jairus Lyles Defensive Rebound.,28,29
0:51,2378,Jairus Lyles missed Jumper.,28,29
0:51,2378,Jairus Lyles Offensive Rebound.,28,29
0:45,2378,Rodney Elliott missed Layup.,28,29
0:45,116,Mawdo Sallah Block.,28,29
0:44,2378,UMBC Offensive Rebound.,28,29
0:21,2378,Jairus Lyles missed Layup.,28,29
0:21,116,Chris Wray Block.,28,29
0:20,116,Junior Robinson Defensive Rebound.,28,29
0:16,116,Junior Robinson missed Layup.,28,29
0:16,2378,Max Curran Defensive Rebound.,28,29
0:01,2378,K.J. Maura missed Layup.,28,29
0:01,116,Mawdo Sallah Defensive Rebound.,28,29
0:00,116,End of 1st half,28,29
19:43,116,Junior Robinson missed Jumper.,28,29
19:43,2378,Will Darley Defensive Rebound.,28,29
19:23,2378,Will Darley Turnover.,28,29
18:56,116,Elijah Long missed Jumper.,28,29
18:56,2378,Will Darley Defensive Rebound.,28,29
18:48,2378,Jairus Lyles made Layup.,30,29
18:26,116,Greg Alexander missed Three Point Jumper.,30,29
18:26,2378,K.J. Maura Defensive Rebound.,30,29
18:22,116,Foul on Chris Wray.,30,29
18:11,2378,Jairus Lyles missed Layup.,30,29
18:11,116,Junior Robinson Defensive Rebound.,30,29
18:06,116,Chris Wray missed Dunk.,30,29
18:06,2378,Jairus Lyles Defensive Rebound.,30,29
18:00,2378,Jairus Lyles made Layup.,32,29
17:43,2378,Foul on Jairus Lyles.,32,29
17:32,116,Elijah Long missed Layup.,32,29
17:32,2378,Nolan Gerrity Block.,32,29
17:30,2378,Joe Sherburne Defensive Rebound.,32,29
17:17,116,Foul on Mawdo Sallah.,32,29
17:17,116,Mt. St. Mary's  Timeout,32,29
17:17,116,Official TV Timeout,32,29
17:17,2378,Will Darley made Free Throw.,33,29
17:17,2378,Will Darley made Free Throw.,34,29
17:05,116,Ryan Gomes missed Jumper.,34,29
17:05,2378,Joe Sherburne Defensive Rebound.,34,29
16:47,116,Foul on Junior Robinson.,34,29
16:39,2378,Joe Sherburne missed Layup.,34,29
16:39,116,Ryan Gomes Defensive Rebound.,34,29
16:32,116,Junior Robinson Turnover.,34,29
16:32,2378,Jairus Lyles Steal.,34,29
16:32,116,Foul on Junior Robinson.,34,29
16:14,2378,Nolan Gerrity made Layup. Assisted by K.J. Maura.,36,29
15:47,116,Miles Wilson missed Jumper.,36,29
15:47,2378,K.J. Maura Defensive Rebound.,36,29
15:36,2378,Joe Sherburne made Three Point Jumper. Assisted by K.J. Maura.,39,29
15:33,116,Mt. St. Mary's  Timeout,39,29
15:33,116,Official TV Timeout,39,29
15:20,2378,Foul on K.J. Maura.,39,29
15:05,2378,Foul on Will Darley.,39,29
14:58,116,Greg Alexander made Three Point Jumper. Assisted by Elijah Long.,39,32
14:34,2378,Nolan Gerrity made Layup. Assisted by Joe Sherburne.,41,32
14:19,116,Elijah Long missed Layup.,41,32
14:19,2378,Nolan Gerrity Block.,41,32
14:17,2378,Jairus Lyles Defensive Rebound.,41,32
14:12,2378,Jairus Lyles made Layup.,43,32
13:56,116,Mawdo Sallah made Layup. Assisted by Junior Robinson.,43,34
13:56,2378,Foul on Nolan Gerrity.,43,34
13:56,116,Mawdo Sallah missed Free Throw.,43,34
13:56,116,Will Miller Offensive Rebound.,43,34
13:41,116,Mawdo Sallah Turnover.,43,34
13:40,2378,Max Curran Steal.,43,34
13:34,2378,Joe Sherburne made Three Point Jumper. Assisted by K.J. Maura.,46,34
13:18,2378,Foul on Max Curran.,46,34
13:16,116,Elijah Long Turnover.,46,34
13:03,116,Foul on Greg Alexander.,46,34
12:59,2378,Joe Sherburne made Three Point Jumper. Assisted by Rodney Elliott.,49,34
12:32,116,Miles Wilson missed Layup.,49,34
12:32,2378,Joe Sherburne Defensive Rebound.,49,34
12:20,2378,Joe Sherburne made Three Point Jumper. Assisted by Rodney Elliott.,52,34
11:59,116,Miles Wilson made Three Point Jumper. Assisted by Elijah Long.,52,37
11:30,2378,K.J. Maura Turnover.,52,37
11:28,116,Greg Alexander Steal.,52,37
11:24,116,Greg Alexander missed Three Point Jumper.,52,37
11:24,2378,Rodney Elliott Defensive Rebound.,52,37
11:05,2378,Will Darley missed Jumper.,52,37
11:05,116,Mawdo Sallah Defensive Rebound.,52,37
10:52,2378,Foul on Joe Sherburne.,52,37
10:52,116,Official TV Timeout,52,37
10:35,116,Junior Robinson made Three Point Jumper. Assisted by Will Miller.,52,40
10:27,2378,Rodney Elliott Turnover.,52,40
10:24,116,Miles Wilson Steal.,52,40
10:10,116,Miles Wilson made Layup.,52,42
10:10,116,Foul on Junior Robinson.,52,42
9:46,2378,Foul on Rodney Elliott.,52,42
9:46,2378,Rodney Elliott Turnover.,52,42
9:33,2378,Foul on Max Curran.,52,42
9:33,116,Chris Wray missed Free Throw.,52,42
9:33,2378,Will Darley Defensive Rebound.,52,42
9:25,116,Foul on Chris Wray.,52,42
9:25,2378,Jourdan Grant missed Free Throw.,52,42
9:25,116,Chris Wray Defensive Rebound.,52,42
9:04,116,Elijah Long missed Jumper.,52,42
9:04,116,Mt. St. Mary's Offensive Rebound.,52,42
8:48,116,Will Miller missed Three Point Jumper.,52,42
8:48,2378,Jourdan Grant Defensive Rebound.,52,42
8:34,2378,Will Darley missed Layup.,52,42
8:34,116,Miles Wilson Block.,52,42
8:33,2378,UMBC Offensive Rebound.,52,42
8:16,2378,Jairus Lyles made Layup.,54,42
7:52,116,Miles Wilson missed Layup.,54,42
7:52,2378,Joe Sherburne Defensive Rebound.,54,42
7:45,2378,Will Darley made Layup. Assisted by Jairus Lyles.,56,42
7:35,116,Elijah Long made Layup.,56,44
7:35,2378,Foul on Joe Sherburne.,56,44
7:35,116,Elijah Long made Free Throw.,56,45
7:13,116,Foul on Greg Alexander.,56,45
7:13,2378,Jairus Lyles missed Free Throw.,56,45
7:13,116,Mawdo Sallah Defensive Rebound.,56,45
6:58,116,Junior Robinson missed Layup.,56,45
6:58,116,Mawdo Sallah Offensive Rebound.,56,45
6:55,2378,Foul on Rodney Elliott.,56,45
6:55,116,Mawdo Sallah missed Free Throw.,56,45
6:55,116,Mt. St. Mary's Deadball Team Rebound.,56,45
6:55,116,Mawdo Sallah made Free Throw.,56,46
6:24,2378,Nolan Gerrity Turnover.,56,46
6:15,116,Miles Wilson missed Three Point Jumper.,56,46
6:15,2378,UMBC Defensive Rebound.,56,46
5:59,2378,Will Darley missed Three Point Jumper.,56,46
5:59,2378,K.J. Maura Offensive Rebound.,56,46
5:30,2378,Nolan Gerrity missed Layup.,56,46
5:30,116,Mawdo Sallah Defensive Rebound.,56,46
5:11,2378,Foul on Jourdan Grant.,56,46
5:11,116,Junior Robinson made Free Throw.,56,47
5:11,116,Junior Robinson made Free Throw.,56,48
4:52,116,Foul on Mawdo Sallah.,56,48
4:52,2378,Jairus Lyles made Free Throw.,57,48
4:52,2378,Jairus Lyles made Free Throw.,58,48
4:48,116,Junior Robinson made Layup.,58,50
4:25,2378,Will Darley made Jumper. Assisted by Jairus Lyles.,60,50
4:14,116,Junior Robinson made Layup.,60,52
4:12,2378,UMBC  Timeout,60,52
4:12,116,Official TV Timeout,60,52
3:44,2378,Jairus Lyles missed Jumper.,60,52
3:44,116,Mawdo Sallah Defensive Rebound.,60,52
3:15,116,Chris Wray made Layup.,60,54
2:48,116,Foul on Miles Wilson.,60,54
2:48,2378,Jairus Lyles made Free Throw.,61,54
2:48,2378,Jairus Lyles made Free Throw.,62,54
2:33,116,Elijah Long Turnover.,62,54
2:16,2378,Jairus Lyles made Layup.,64,54
1:59,116,Miles Wilson missed Three Point Jumper.,64,54
1:59,116,Junior Robinson Offensive Rebound.,64,54
1:48,116,Elijah Long missed Three Point Jumper.,64,54
1:48,116,Mawdo Sallah Offensive Rebound.,64,54
1:44,2378,Foul on Will Darley.,64,54
1:44,116,Mawdo Sallah made Free Throw.,64,55
1:44,116,Mawdo Sallah missed Free Throw.,64,55
1:44,2378,Will Darley Defensive Rebound.,64,55
1:40,116,Foul on Khalid Nwandu.,64,55
1:40,2378,Jairus Lyles missed Free Throw.,64,55
1:40,2378,UMBC Deadball Team Rebound.,64,55
1:40,2378,Jairus Lyles made Free Throw.,65,55
1:33,116,Elijah Long made Layup.,65,57
1:23,116,Foul on Elijah Long.,65,57
1:23,2378,Jourdan Grant made Free Throw.,66,57
1:23,2378,Jourdan Grant made Free Throw.,67,57
1:21,116,Greg Alexander made Three Point Jumper. Assisted by Elijah Long.,67,60
1:14,116,Foul on Elijah Long.,67,60
1:14,2378,Jourdan Grant made Free Throw.,68,60
1:14,2378,Jourdan Grant made Free Throw.,69,60
1:08,116,Elijah Long made Layup.,69,62
1:04,116,Foul on Junior Robinson.,69,62
1:04,2378,Jourdan Grant made Free Throw.,70,62
1:04,2378,Jourdan Grant made Free Throw.,71,62
0:56,116,Mawdo Sallah made Layup.,71,64
0:55,116,Foul on Elijah Long.,71,64
0:55,2378,Jourdan Grant missed Free Throw.,71,64
0:55,2378,UMBC Deadball Team Rebound.,71,64
0:55,2378,Jourdan Grant missed Free Throw.,71,64
0:55,116,Mawdo Sallah Defensive Rebound.,71,64
0:50,2378,Foul on Jourdan Grant.,71,64
0:50,116,Elijah Long made Free Throw.,71,65
0:50,116,Elijah Long made Free Throw.,71,66
0:46,2378,UMBC  Timeout,71,66
0:42,116,Foul on Mawdo Sallah.,71,66
0:42,2378,Joe Sherburne made Free Throw.,72,66
0:42,2378,Joe Sherburne made Free Throw.,73,66
0:36,2378,Foul on K.J. Maura.,73,66
0:36,116,Elijah Long made Free Throw.,73,67
0:36,116,Elijah Long missed Free Throw.,73,67
0:36,2378,Joe Sherburne Defensive Rebound.,73,67
0:35,116,Foul on Elijah Long.,73,67
0:35,2378,Joe Sherburne made Free Throw.,74,67
0:35,2378,Joe Sherburne made Free Throw.,75,67
0:29,116,Elijah Long missed Layup.,75,67
0:29,2378,Jairus Lyles Defensive Rebound.,75,67
0:28,116,Foul on Elijah Long.,75,67
0:28,2378,Jairus Lyles missed Free Throw.,75,67
0:28,2378,UMBC Deadball Team Rebound.,75,67
0:28,2378,Jairus Lyles missed Free Throw.,75,67
0:28,116,Miles Wilson Defensive Rebound.,75,67
0:23,2378,Foul on Jairus Lyles.,75,67
0:23,116,Miles Wilson made Free Throw.,75,68
0:23,116,Miles Wilson made Free Throw.,75,69
0:22,116,Foul on Miles Wilson.,75,69
0:22,2378,Jairus Lyles missed Free Throw.,75,69
0:22,2378,UMBC Deadball Team Rebound.,75,69
0:22,2378,Jairus Lyles made Free Throw.,76,69
0:16,2378,Foul on Joe Sherburne.,76,69
0:16,116,Randy Miller Jr. missed Free Throw.,76,69
0:16,116,Mt. St. Mary's Deadball Team Rebound.,76,69
0:16,116,Randy Miller Jr. made Free Throw.,76,70
0:15,116,Foul on Khalid Nwandu.,76,70
0:15,2378,Jairus Lyles made Free Throw.,77,70
0:15,2378,Jairus Lyles made Free Throw.,78,70
0:12,116,Mt. St. Mary's  Timeout,78,70
0:06,116,Miles Wilson missed Three Point Jumper.,78,70
0:06,2378,Jairus Lyles Defensive Rebound.,78,70
0:00,116,End of Game,78,70
