Buffalo,221,Pittsburgh,2084
7:05,221,Cameron Johnson Defensive Rebound.,66,69
6:42,2084,Foul on Davonta Jordan.,66,69
6:42,221,Jamel Artis missed Free Throw.,66,69
6:42,2084,Quate McKinzie Defensive Rebound.,66,69
6:30,2084,Nick Perkins made Layup. Assisted by Blake Hamilton.,68,69
6:04,221,Sheldon Jeter made Jumper.,68,71
5:52,2084,CJ Massinburg missed Three Point Jumper.,68,71
5:52,221,Sheldon Jeter Defensive Rebound.,68,71
5:43,221,Cameron Johnson made Three Point Jumper. Assisted by Jamel Artis.,68,74
5:23,221,Foul on Cameron Johnson.,68,74
5:03,2084,Blake Hamilton missed Layup.,68,74
5:03,2084,Nick Perkins Offensive Rebound.,68,74
4:59,2084,Nick Perkins made Layup.,70,74
4:39,221,Jamel Artis made Layup. Assisted by Cameron Johnson.,70,76
4:16,2084,Blake Hamilton missed Jumper.,70,76
4:16,221,Cameron Johnson Defensive Rebound.,70,76
3:55,2084,Foul on Davonta Jordan.,70,76
3:55,221,Official TV Timeout,70,76
3:55,221,Chris Jones missed Free Throw.,70,76
3:55,221,Pittsburgh Deadball Team Rebound.,70,76
3:55,221,Chris Jones made Free Throw.,70,77
3:31,2084,Nick Perkins made Jumper. Assisted by Blake Hamilton.,72,77
3:04,221,Jamel Artis made Jumper.,72,79
2:37,2084,Nick Perkins made Jumper. Assisted by Willie Conner.,74,79
2:15,221,Jamel Artis missed Three Point Jumper.,74,79
2:15,2084,Buffalo Defensive Rebound.,74,79
1:55,221,Foul on Sheldon Jeter.,74,79
1:55,2084,Nick Perkins missed Free Throw.,74,79
1:55,221,Michael Young Defensive Rebound.,74,79
1:27,221,Cameron Johnson missed Three Point Jumper.,74,79
1:27,2084,Nick Perkins Defensive Rebound.,74,79
1:17,2084,CJ Massinburg missed Three Point Jumper.,74,79
1:17,221,Jamel Artis Defensive Rebound.,74,79
1:03,2084,Foul on CJ Massinburg.,74,79
1:03,221,Chris Jones missed Free Throw.,74,79
1:03,2084,Quate McKinzie Defensive Rebound.,74,79
0:49,2084,Blake Hamilton made Jumper.,76,79
0:48,2084,Buffalo  Timeout,76,79
0:25,221,Jamel Artis made Jumper. Assisted by Michael Young.,76,81
0:25,221,Pittsburgh  Timeout,76,81
0:14,2084,Willie Conner missed Three Point Jumper.,76,81
0:14,221,Michael Young Defensive Rebound.,76,81
0:11,2084,Foul on Blake Hamilton.,76,81
0:11,221,Michael Young missed Free Throw.,76,81
0:11,221,Pittsburgh Deadball Team Rebound.,76,81
0:11,221,Michael Young made Free Throw.,76,82
0:05,2084,Willie Conner made Three Point Jumper. Assisted by CJ Massinburg.,79,82
0:04,2084,Buffalo  Timeout,79,82
0:02,2084,Foul on Quate McKinzie.,79,82
0:02,221,Michael Young made Free Throw.,79,83
0:02,221,Michael Young made Free Throw.,79,84
0:01,2084,Blake Hamilton missed Three Point Jumper.,79,84
0:01,2084,Buffalo Deadball Team Rebound.,79,84
0:00,221,End of Game,79,84
