Davidson,153,North Carolina,2166
8:46,153,North Carolina Deadball Team Rebound.,18,20
8:44,2166,Foul on Andrew McAuliffe.,18,20
8:44,153,Isaiah Hicks made Free Throw.,18,21
8:44,153,Isaiah Hicks made Free Throw.,18,22
8:25,153,Foul on Kenny Williams.,18,22
8:25,2166,Jon Axel Gudmundsson made Free Throw.,19,22
8:25,2166,Jon Axel Gudmundsson made Free Throw.,20,22
8:00,153,Isaiah Hicks missed Jumper.,20,22
8:00,153,Seventh Woods Offensive Rebound.,20,22
7:55,2166,Foul on Jack Gibbs.,20,22
7:55,153,Official TV Timeout,20,22
7:55,153,Kennedy Meeks made Free Throw.,20,23
7:55,153,Kennedy Meeks made Free Throw.,20,24
7:32,2166,Rusty Reigel missed Three Point Jumper.,20,24
7:32,153,Seventh Woods Defensive Rebound.,20,24
7:13,153,Isaiah Hicks made Jumper. Assisted by Nate Britt.,20,26
6:57,2166,Will Magarity made Layup. Assisted by Jack Gibbs.,22,26
6:41,153,Nate Britt missed Layup.,22,26
6:41,2166,Will Magarity Defensive Rebound.,22,26
6:35,2166,Dusan Kovacevic made Layup. Assisted by Jack Gibbs.,24,26
6:22,153,Kennedy Meeks missed Jumper.,24,26
6:22,153,Luke Maye Offensive Rebound.,24,26
6:18,153,Luke Maye missed Layup.,24,26
6:18,153,Luke Maye Offensive Rebound.,24,26
6:13,153,Justin Jackson made Three Point Jumper. Assisted by Luke Maye.,24,29
5:56,2166,Jordan Watkins missed Jumper.,24,29
5:56,153,Justin Jackson Defensive Rebound.,24,29
5:47,153,Kenny Williams Turnover.,24,29
5:47,2166,Jack Gibbs Steal.,24,29
5:22,2166,Jack Gibbs missed Three Point Jumper.,24,29
5:22,153,Kennedy Meeks Defensive Rebound.,24,29
5:15,153,Justin Jackson made Three Point Jumper. Assisted by Kenny Williams.,24,32
4:55,2166,Will Magarity Turnover.,24,32
4:49,153,Justin Jackson missed Three Point Jumper.,24,32
4:49,153,Nate Britt Offensive Rebound.,24,32
4:46,2166,Foul on Nathan Ekwu.,24,32
4:46,153,Luke Maye made Free Throw.,24,33
4:46,153,Luke Maye missed Free Throw.,24,33
4:46,2166,Jon Axel Gudmundsson Defensive Rebound.,24,33
4:23,2166,Andrew McAuliffe missed Jumper.,24,33
4:23,153,Tony Bradley Block.,24,33
4:23,2166,Rusty Reigel Offensive Rebound.,24,33
4:17,2166,Rusty Reigel Turnover.,24,33
4:17,153,Tony Bradley Steal.,24,33
3:55,153,Foul on Luke Maye.,24,33
3:55,153,Luke Maye Turnover.,24,33
3:55,153,Official TV Timeout,24,33
3:38,153,Foul on Nate Britt.,24,33
3:38,2166,Jack Gibbs made Free Throw.,25,33
3:38,2166,Jack Gibbs made Free Throw.,26,33
3:32,153,Nate Britt Turnover.,26,33
3:08,2166,Jack Gibbs missed Three Point Jumper.,26,33
3:08,153,Justin Jackson Defensive Rebound.,26,33
3:01,153,Tony Bradley missed Layup.,26,33
3:01,2166,Will Magarity Block.,26,33
3:01,153,Tony Bradley Offensive Rebound.,26,33
2:55,2166,Foul on Will Magarity.,26,33
2:55,153,Tony Bradley made Free Throw.,26,34
2:55,153,Tony Bradley made Free Throw.,26,35
2:35,2166,Rusty Reigel Turnover.,26,35
2:35,153,Luke Maye Steal.,26,35
2:26,153,Nate Britt missed Layup.,26,35
2:26,2166,Will Magarity Defensive Rebound.,26,35
2:20,153,Foul on Luke Maye.,26,35
2:20,2166,Will Magarity made Free Throw.,27,35
2:20,2166,Will Magarity made Free Throw.,28,35
2:09,153,Brandon Robinson made Three Point Jumper. Assisted by Seventh Woods.,28,38
1:52,2166,Dusan Kovacevic missed Three Point Jumper.,28,38
1:52,153,Luke Maye Defensive Rebound.,28,38
1:43,153,Luke Maye made Dunk. Assisted by Tony Bradley.,28,40
1:41,2166,Davidson  Timeout,28,40
1:32,2166,Foul on Jon Axel Gudmundsson.,28,40
1:32,2166,Jon Axel Gudmundsson Turnover.,28,40
1:18,153,Justin Jackson Turnover.,28,40
1:10,153,Foul on Justin Jackson.,28,40
1:10,2166,Jack Gibbs made Free Throw.,29,40
1:10,2166,Jack Gibbs made Free Throw.,30,40
0:57,153,Tony Bradley missed Layup.,30,40
0:57,2166,Jack Gibbs Defensive Rebound.,30,40
0:49,2166,KiShawn Pritchett missed Three Point Jumper.,30,40
0:49,153,Brandon Robinson Defensive Rebound.,30,40
0:42,2166,Foul on Rusty Reigel.,30,40
0:42,153,Stilman White made Free Throw.,30,41
0:42,153,Stilman White made Free Throw.,30,42
0:32,2166,Jack Gibbs made Jumper.,32,42
0:01,153,Nate Britt missed Jumper.,32,42
0:01,153,Tony Bradley Offensive Rebound.,32,42
0:00,153,End of 1st half,32,42
20:00,153,Jump Ball won by North Carolina,32,42
19:49,153,Kennedy Meeks missed Layup.,32,42
19:49,153,Kenny Williams Offensive Rebound.,32,42
19:49,153,Kenny Williams made Two Point Tip Shot.,32,44
19:29,2166,Peyton Aldridge made Jumper.,34,44
19:21,2166,Foul on Peyton Aldridge.,34,44
19:21,153,Isaiah Hicks made Free Throw.,34,45
19:21,153,Isaiah Hicks missed Free Throw.,34,45
19:21,2166,Peyton Aldridge Defensive Rebound.,34,45
19:03,2166,Peyton Aldridge missed Three Point Jumper.,34,45
19:02,153,Foul on Kenny Williams.,34,45
19:02,2166,Jon Axel Gudmundsson Offensive Rebound.,34,45
18:58,2166,Jon Axel Gudmundsson made Three Point Jumper. Assisted by Nathan Ekwu.,37,45
18:49,153,Kenny Williams Turnover.,37,45
18:49,2166,Jon Axel Gudmundsson Steal.,37,45
18:45,2166,Jon Axel Gudmundsson missed Layup.,37,45
18:45,153,Kenny Williams Block.,37,45
18:45,153,Nate Britt Defensive Rebound.,37,45
18:34,153,Isaiah Hicks missed Layup.,37,45
18:34,2166,Davidson Defensive Rebound.,37,45
18:16,2166,Jon Axel Gudmundsson missed Three Point Jumper.,37,45
18:16,153,Isaiah Hicks Defensive Rebound.,37,45
18:06,153,Justin Jackson missed Three Point Jumper.,37,45
18:06,2166,Jon Axel Gudmundsson Defensive Rebound.,37,45
17:59,2166,Jack Gibbs missed Three Point Jumper.,37,45
17:59,153,Kenny Williams Defensive Rebound.,37,45
17:39,2166,Foul on Jon Axel Gudmundsson.,37,45
17:34,153,Nate Britt missed Layup.,37,45
17:34,2166,Will Magarity Defensive Rebound.,37,45
17:25,2166,Jack Gibbs missed Layup.,37,45
17:25,153,Kennedy Meeks Defensive Rebound.,37,45
17:20,153,Isaiah Hicks made Dunk. Assisted by Justin Jackson.,37,47
16:52,153,Foul on Isaiah Hicks.,37,47
16:52,2166,Jack Gibbs made Free Throw.,38,47
16:52,2166,Jack Gibbs missed Free Throw.,38,47
16:52,153,Justin Jackson Defensive Rebound.,38,47
16:35,2166,Foul on Nathan Ekwu.,38,47
16:35,153,Kennedy Meeks missed Free Throw.,38,47
16:35,153,North Carolina Deadball Team Rebound.,38,47
16:35,153,Kennedy Meeks made Free Throw.,38,48
16:19,2166,Peyton Aldridge missed Jumper.,38,48
16:19,153,Kennedy Meeks Defensive Rebound.,38,48
16:08,153,Justin Jackson made Jumper.,38,50
16:08,153,Foul on Kennedy Meeks.,38,50
15:52,2166,Jack Gibbs missed Layup.,38,50
15:52,2166,Jack Gibbs Offensive Rebound.,38,50
15:52,2166,Jack Gibbs missed Jumper.,38,50
15:52,153,Justin Jackson Defensive Rebound.,38,50
15:43,153,Kenny Williams Turnover.,38,50
15:43,153,Official TV Timeout,38,50
15:20,153,Foul on Luke Maye.,38,50
15:12,2166,Jack Gibbs missed Layup.,38,50
15:12,153,Tony Bradley Defensive Rebound.,38,50
14:56,153,Luke Maye missed Jumper.,38,50
14:56,153,North Carolina Offensive Rebound.,38,50
14:49,153,Justin Jackson missed Jumper.,38,50
14:49,2166,Jon Axel Gudmundsson Defensive Rebound.,38,50
14:25,2166,Dusan Kovacevic Turnover.,38,50
14:25,2166,Foul on Dusan Kovacevic.,38,50
14:14,2166,Foul on Dusan Kovacevic.,38,50
14:13,153,Justin Jackson made Layup. Assisted by Nate Britt.,38,52
13:54,2166,Will Magarity Turnover.,38,52
13:54,153,Luke Maye Steal.,38,52
13:48,153,Stilman White missed Layup.,38,52
13:48,2166,Davidson Defensive Rebound.,38,52
13:36,2166,Peyton Aldridge made Jumper.,40,52
13:19,153,Kennedy Meeks missed Jumper.,40,52
13:19,153,Kennedy Meeks Offensive Rebound.,40,52
13:16,153,Kennedy Meeks made Jumper.,40,54
13:05,2166,Rusty Reigel missed Three Point Jumper.,40,54
13:05,153,Kennedy Meeks Defensive Rebound.,40,54
12:46,2166,Foul on Rusty Reigel.,40,54
12:46,153,Justin Jackson made Free Throw.,40,55
12:46,153,Justin Jackson made Free Throw.,40,56
12:29,2166,Jack Gibbs made Three Point Jumper. Assisted by Peyton Aldridge.,43,56
12:19,2166,Foul on KiShawn Pritchett.,43,56
12:19,153,Stilman White made Free Throw.,43,57
12:19,153,Stilman White made Free Throw.,43,58
11:58,153,Foul on Luke Maye.,43,58
11:58,153,Official TV Timeout,43,58
11:58,2166,Peyton Aldridge made Free Throw.,44,58
11:58,2166,Peyton Aldridge made Free Throw.,45,58
11:49,153,Stilman White missed Three Point Jumper.,45,58
11:49,153,Seventh Woods Offensive Rebound.,45,58
11:39,153,Isaiah Hicks made Layup. Assisted by Kennedy Meeks.,45,60
11:25,2166,Peyton Aldridge Turnover.,45,60
11:15,153,Seventh Woods missed Three Point Jumper.,45,60
11:15,2166,Dusan Kovacevic Defensive Rebound.,45,60
11:06,2166,Dusan Kovacevic missed Three Point Jumper.,45,60
11:06,2166,Jon Axel Gudmundsson Offensive Rebound.,45,60
10:47,2166,Jack Gibbs made Three Point Jumper.,48,60
10:29,153,Kennedy Meeks Turnover.,48,60
10:19,2166,Jack Gibbs missed Three Point Jumper.,48,60
10:19,153,Justin Jackson Defensive Rebound.,48,60
10:10,153,Justin Jackson missed Layup.,48,60
10:10,2166,Peyton Aldridge Defensive Rebound.,48,60
10:02,2166,Dusan Kovacevic missed Three Point Jumper.,48,60
10:02,153,North Carolina Defensive Rebound.,48,60
9:42,153,Foul on Justin Jackson.,48,60
9:42,153,Justin Jackson Turnover.,48,60
9:26,2166,Jon Axel Gudmundsson made Jumper.,50,60
9:08,153,Justin Jackson missed Three Point Jumper.,50,60
9:08,2166,Jack Gibbs Defensive Rebound.,50,60
8:48,2166,Rusty Reigel Turnover.,50,60
8:48,153,Brandon Robinson Steal.,50,60
8:41,153,Justin Jackson made Three Point Jumper. Assisted by Kenny Williams.,50,63
8:25,153,Foul on Brandon Robinson.,50,63
8:25,2166,Jack Gibbs made Free Throw.,51,63
8:25,2166,Jack Gibbs missed Free Throw.,51,63
8:25,2166,Will Magarity Offensive Rebound.,51,63
8:24,2166,Peyton Aldridge missed Three Point Jumper.,51,63
8:24,153,North Carolina Defensive Rebound.,51,63
8:15,153,Kenny Williams made Three Point Jumper. Assisted by Nate Britt.,51,66
8:01,2166,Peyton Aldridge made Layup.,53,66
7:54,153,Nate Britt missed Jumper.,53,66
7:54,2166,Rusty Reigel Defensive Rebound.,53,66
7:41,2166,Jack Gibbs made Three Point Jumper. Assisted by Jon Axel Gudmundsson.,56,66
7:24,153,Kenny Williams missed Three Point Jumper.,56,66
7:24,2166,Jon Axel Gudmundsson Defensive Rebound.,56,66
7:14,153,Foul on Isaiah Hicks.,56,66
7:14,153,Official TV Timeout,56,66
7:14,2166,Peyton Aldridge made Free Throw.,57,66
7:14,2166,Peyton Aldridge made Free Throw.,58,66
6:49,153,Justin Jackson made Three Point Jumper. Assisted by Stilman White.,58,69
6:23,2166,Will Magarity made Layup.,60,69
6:05,153,Kennedy Meeks made Jumper. Assisted by Nate Britt.,60,71
5:47,2166,Jack Gibbs made Jumper.,62,71
5:29,153,Justin Jackson made Three Point Jumper. Assisted by Kennedy Meeks.,62,74
5:21,2166,Jack Gibbs made Jumper.,64,74
5:08,153,Kennedy Meeks missed Jumper.,64,74
5:08,2166,Will Magarity Block.,64,74
5:08,2166,Davidson Defensive Rebound.,64,74
4:57,2166,Peyton Aldridge missed Layup.,64,74
4:57,153,Nate Britt Defensive Rebound.,64,74
4:36,2166,Foul on Jon Axel Gudmundsson.,64,74
4:36,153,Stilman White made Free Throw.,64,75
4:36,153,Stilman White made Free Throw.,64,76
4:23,2166,Jon Axel Gudmundsson made Three Point Jumper. Assisted by Dusan Kovacevic.,67,76
4:19,2166,Davidson  Timeout,67,76
4:11,153,Foul on Nate Britt.,67,76
4:11,153,Nate Britt Turnover.,67,76
4:01,2166,Peyton Aldridge made Jumper.,69,76
3:43,153,Kennedy Meeks Turnover.,69,76
3:43,2166,Jon Axel Gudmundsson Steal.,69,76
3:28,2166,Peyton Aldridge made Layup. Assisted by Jack Gibbs.,71,76
3:06,153,Justin Jackson missed Three Point Jumper.,71,76
3:06,2166,Jack Gibbs Defensive Rebound.,71,76
2:57,2166,Jack Gibbs missed Jumper.,71,76
2:57,153,Kennedy Meeks Block.,71,76
2:57,2166,Davidson Offensive Rebound.,71,76
2:51,153,Official TV Timeout,71,76
2:48,2166,Peyton Aldridge missed Three Point Jumper.,71,76
2:48,153,Justin Jackson Defensive Rebound.,71,76
2:14,153,Justin Jackson missed Three Point Jumper.,71,76
2:14,2166,Rusty Reigel Defensive Rebound.,71,76
2:09,2166,Jump Ball won by Davidson,71,76
1:57,2166,Will Magarity made Dunk. Assisted by Jon Axel Gudmundsson.,73,76
1:29,153,Kennedy Meeks missed Layup.,73,76
1:29,2166,Will Magarity Block.,73,76
1:29,153,Kennedy Meeks Offensive Rebound.,73,76
1:27,2166,Foul on Will Magarity.,73,76
1:27,153,Kennedy Meeks made Free Throw.,73,77
1:27,153,Kennedy Meeks made Free Throw.,73,78
1:15,2166,Peyton Aldridge Turnover.,73,78
1:15,153,Kennedy Meeks Steal.,73,78
1:15,153,Jump Ball won by North Carolina,73,78
0:55,153,Nate Britt missed Three Point Jumper.,73,78
0:55,153,Isaiah Hicks Offensive Rebound.,73,78
0:54,2166,Foul on Rusty Reigel.,73,78
0:54,153,Isaiah Hicks made Free Throw.,73,79
0:54,153,Isaiah Hicks made Free Throw.,73,80
0:49,2166,Peyton Aldridge missed Three Point Jumper.,73,80
0:49,153,North Carolina Defensive Rebound.,73,80
0:29,2166,Foul on Jack Gibbs.,73,80
0:29,153,Nate Britt missed Free Throw.,73,80
0:29,153,North Carolina Deadball Team Rebound.,73,80
0:29,153,Nate Britt made Free Throw.,73,81
0:26,2166,Jon Axel Gudmundsson Turnover.,73,81
0:26,153,Kenny Williams Steal.,73,81
0:20,2166,Foul on Jack Gibbs.,73,81
0:20,153,Kenny Williams missed Free Throw.,73,81
0:20,153,North Carolina Deadball Team Rebound.,73,81
0:20,153,Kenny Williams made Free Throw.,73,82
0:18,153,Foul on Kenny Williams.,73,82
0:18,2166,Jack Gibbs missed Free Throw.,73,82
0:18,2166,Davidson Deadball Team Rebound.,73,82
0:18,2166,Jack Gibbs made Free Throw.,74,82
0:16,2166,Foul on Jordan Watkins.,74,82
0:16,153,Nate Britt made Free Throw.,74,83
0:16,153,Nate Britt missed Free Throw.,74,83
0:16,153,Isaiah Hicks Offensive Rebound.,74,83
0:00,153,End of Game,74,83
