Weber State,252,BYU,2692
0:46,252,Yoeli Childs Defensive Rebound.,26,35
0:32,252,L.J. Rose made Jumper. Assisted by Jamal Aytes.,26,37
0:23,2692,Weber State  Timeout,26,37
0:00,252,Foul on Kyle Davis.,26,37
0:00,2692,Jerrick Harding made Free Throw.,27,37
0:00,2692,Jerrick Harding made Free Throw.,28,37
0:00,252,End of 1st half,26,37
19:47,252,Yoeli Childs made Jumper. Assisted by Eric Mika.,28,39
19:29,252,Foul on Eric Mika.,28,39
19:29,2692,Zach Braxton missed Free Throw.,28,39
19:29,2692,Weber State Deadball Team Rebound.,28,39
19:29,2692,Zach Braxton missed Free Throw.,28,39
19:29,252,L.J. Rose Defensive Rebound.,28,39
19:22,252,L.J. Rose made Layup. Assisted by Nick Emery.,28,41
19:04,2692,Zach Braxton missed Jumper.,28,41
19:04,252,Yoeli Childs Defensive Rebound.,28,41
18:44,252,Eric Mika missed Jumper.,28,41
18:44,2692,Cody John Defensive Rebound.,28,41
18:30,2692,Zach Braxton made Dunk. Assisted by Jeremy Senglin.,30,41
18:16,2692,Foul on Kyndahl Hill.,30,41
18:16,252,Eric Mika missed Jumper.,30,41
18:16,2692,Zach Braxton Defensive Rebound.,30,41
18:00,252,Foul on Yoeli Childs.,30,41
17:39,2692,Ryan Richardson made Jumper.,32,41
17:25,252,TJ Haws Turnover.,32,41
17:24,2692,Kyndahl Hill Steal.,32,41
17:20,2692,Cody John missed Jumper.,32,41
17:20,252,Eric Mika Block.,32,41
17:19,252,Nick Emery Defensive Rebound.,32,41
17:14,252,Yoeli Childs missed Jumper.,32,41
17:14,2692,Jeremy Senglin Defensive Rebound.,32,41
17:08,2692,Zach Braxton made Dunk. Assisted by Jeremy Senglin.,34,41
17:02,252,BYU  Timeout,34,41
16:54,252,Nick Emery missed Jumper.,34,41
16:54,2692,Ryan Richardson Block.,34,41
16:52,2692,Cody John Defensive Rebound.,34,41
16:49,2692,Cody John made Layup.,36,41
16:49,252,Foul on Davin Guinn.,36,41
16:49,2692,Cody John missed Free Throw.,36,41
16:49,252,Yoeli Childs Defensive Rebound.,36,41
16:21,252,Yoeli Childs missed Jumper.,36,41
16:21,2692,Zach Braxton Defensive Rebound.,36,41
16:09,2692,Zach Braxton made Jumper. Assisted by Ryan Richardson.,38,41
15:57,252,Yoeli Childs made Jumper. Assisted by Nick Emery.,38,43
15:32,252,Foul on Kyle Davis.,38,43
15:32,252,Official TV Timeout,38,43
15:32,2692,Jeremy Senglin missed Free Throw.,38,43
15:32,2692,Weber State Deadball Team Rebound.,38,43
15:32,2692,Jeremy Senglin missed Free Throw.,38,43
15:32,252,Kyle Davis Defensive Rebound.,38,43
15:09,252,Kyle Davis missed Jumper.,38,43
15:09,2692,Ryan Richardson Defensive Rebound.,38,43
14:47,2692,Cody John missed Three Point Jumper.,38,43
14:47,252,Yoeli Childs Defensive Rebound.,38,43
14:30,252,Kyle Davis missed Jumper.,38,43
14:30,2692,Zach Braxton Defensive Rebound.,38,43
14:09,252,Foul on Nick Emery.,38,43
14:09,2692,Cody John made Free Throw.,39,43
14:09,2692,Cody John missed Free Throw.,39,43
14:09,252,Eric Mika Defensive Rebound.,39,43
13:55,252,Kyle Davis Turnover.,39,43
13:53,2692,Ryan Richardson Steal.,39,43
13:41,2692,Zach Braxton made Jumper. Assisted by Jeremy Senglin.,41,43
13:34,252,Eric Mika Turnover.,41,43
13:34,252,Foul on Eric Mika.,41,43
13:14,2692,Jeremy Senglin missed Three Point Jumper.,41,43
13:14,252,Eric Mika Defensive Rebound.,41,43
13:04,2692,Foul on Jordan Dallas.,41,43
13:04,252,Kyle Davis made Free Throw.,41,44
13:04,252,Kyle Davis made Free Throw.,41,45
12:54,2692,Ryan Richardson made Three Point Jumper.,44,45
12:39,2692,Foul on Jordan Dallas.,44,45
12:39,252,Eric Mika made Free Throw.,44,46
12:39,252,Eric Mika made Free Throw.,44,47
12:28,2692,Ryan Richardson made Three Point Jumper. Assisted by Jerrick Harding.,47,47
12:20,2692,Foul on Jerrick Harding.,47,47
12:12,252,Eric Mika made Jumper. Assisted by TJ Haws.,47,49
12:12,2692,Foul on Zach Braxton.,47,49
12:12,252,Eric Mika made Free Throw.,47,50
12:00,2692,Ryan Richardson Turnover.,47,50
12:00,252,Nick Emery Steal.,47,50
12:00,252,BYU  Timeout,47,50
11:44,252,L.J. Rose missed Three Point Jumper.,47,50
11:44,252,TJ Haws Offensive Rebound.,47,50
11:41,252,TJ Haws made Jumper.,47,52
11:31,252,Foul on TJ Haws.,47,52
11:31,2692,Jeremy Senglin missed Free Throw.,47,52
11:31,252,L.J. Rose Defensive Rebound.,47,52
11:22,252,Nick Emery missed Jumper.,47,52
11:22,2692,Weber State Defensive Rebound.,47,52
11:05,2692,Zach Braxton missed Jumper.,47,52
11:05,2692,Kyndahl Hill Offensive Rebound.,47,52
11:01,2692,Kyndahl Hill made Jumper.,49,52
10:56,2692,Foul on Zach Braxton.,49,52
10:56,252,Eric Mika missed Free Throw.,49,52
10:56,252,BYU Deadball Team Rebound.,49,52
10:56,252,Eric Mika made Free Throw.,49,53
10:37,2692,Jerrick Harding missed Three Point Jumper.,49,53
10:37,2692,Kyndahl Hill Offensive Rebound.,49,53
10:32,252,Foul on Yoeli Childs.,49,53
10:32,2692,Kyndahl Hill missed Free Throw.,49,53
10:32,252,Eric Mika Defensive Rebound.,49,53
10:16,2692,Foul on Zach Braxton.,49,53
10:07,252,Eric Mika missed Free Throw.,49,53
10:07,2692,Zach Braxton Defensive Rebound.,49,53
9:54,2692,Kyndahl Hill missed Jumper.,49,53
9:54,2692,Zach Braxton Offensive Rebound.,49,53
9:50,2692,Zach Braxton made Free Throw.,50,53
9:50,252,Foul on L.J. Rose.,50,53
9:46,2692,Zach Braxton made Free Throw.,51,53
9:42,252,Kyle Davis made Jumper. Assisted by Nick Emery.,51,55
9:16,2692,Jerrick Harding Turnover.,51,55
9:15,252,Kyle Davis Steal.,51,55
9:12,252,Eric Mika made Dunk. Assisted by TJ Haws.,51,57
9:08,2692,Weber State  Timeout,51,57
8:55,252,Foul on TJ Haws.,51,57
8:55,2692,Jeremy Senglin missed Free Throw.,51,57
8:55,2692,Weber State Deadball Team Rebound.,51,57
8:55,2692,Jeremy Senglin missed Free Throw.,51,57
8:55,252,L.J. Rose Defensive Rebound.,51,57
8:47,2692,Foul on Ryan Richardson.,51,57
8:47,252,TJ Haws made Free Throw.,51,58
8:47,252,Eric Mika Turnover.,51,58
8:34,2692,Zach Braxton missed Jumper.,51,58
8:34,2692,Kyndahl Hill Offensive Rebound.,51,58
8:30,2692,Kyndahl Hill made Jumper.,53,58
8:11,2692,Foul on Kyndahl Hill.,53,58
8:11,252,Nick Emery made Free Throw.,53,59
8:11,252,Nick Emery made Free Throw.,53,60
7:48,2692,Jeremy Senglin missed Jumper.,53,60
7:48,252,L.J. Rose Defensive Rebound.,53,60
7:41,252,Nick Emery missed Three Point Jumper.,53,60
7:41,252,Eric Mika Offensive Rebound.,53,60
7:37,252,Eric Mika made Jumper.,53,62
7:37,2692,Foul on Zach Braxton.,53,62
7:37,252,Official TV Timeout,53,62
7:37,252,Eric Mika made Free Throw.,53,63
7:21,2692,Ryan Richardson missed Three Point Jumper.,53,63
7:21,2692,Zach Braxton Offensive Rebound.,53,63
7:17,252,Foul on TJ Haws.,53,63
7:17,2692,Zach Braxton missed Free Throw.,53,63
7:17,2692,Weber State Deadball Team Rebound.,53,63
7:17,2692,Zach Braxton missed Free Throw.,53,63
7:17,252,Nick Emery Defensive Rebound.,53,63
6:57,252,Eric Mika missed Jumper.,53,63
6:57,252,Eric Mika Offensive Rebound.,53,63
6:53,252,Eric Mika Turnover.,53,63
6:52,2692,Ryan Richardson Steal.,53,63
6:48,2692,Jeremy Senglin missed Three Point Jumper.,53,63
6:48,2692,Zach Braxton Offensive Rebound.,53,63
6:47,252,Foul on Nick Emery.,53,63
6:47,2692,Zach Braxton made Free Throw.,54,63
6:47,2692,Zach Braxton made Free Throw.,55,63
6:29,252,TJ Haws missed Three Point Jumper.,55,63
6:29,252,Eric Mika Offensive Rebound.,55,63
6:28,2692,Foul on Zach Braxton.,55,63
6:28,252,Eric Mika made Free Throw.,55,64
6:28,252,Eric Mika made Free Throw.,55,65
6:13,2692,Kyndahl Hill Turnover.,55,65
6:02,252,Kyle Davis made Jumper. Assisted by L.J. Rose.,55,67
5:53,252,Foul on L.J. Rose.,55,67
5:53,2692,Cody John missed Free Throw.,55,67
5:53,2692,Weber State Deadball Team Rebound.,55,67
5:53,2692,Cody John made Free Throw.,56,67
5:32,252,Eric Mika missed Jumper.,56,67
5:32,2692,Kyndahl Hill Defensive Rebound.,56,67
5:26,2692,Ryan Richardson missed Three Point Jumper.,56,67
5:26,252,TJ Haws Defensive Rebound.,56,67
5:13,2692,Foul on Kyndahl Hill.,56,67
5:13,252,Eric Mika made Free Throw.,56,68
5:13,252,Eric Mika missed Free Throw.,56,68
5:13,2692,Dusty Baker Defensive Rebound.,56,68
4:49,2692,Jeremy Senglin made Three Point Jumper.,59,68
4:28,252,TJ Haws Turnover.,59,68
4:10,2692,Jeremy Senglin missed Three Point Jumper.,59,68
4:10,252,Yoeli Childs Block.,59,68
4:08,252,L.J. Rose Defensive Rebound.,59,68
3:50,252,Eric Mika made Layup.,59,70
3:30,2692,Ryan Richardson missed Three Point Jumper.,59,70
3:30,252,Yoeli Childs Defensive Rebound.,59,70
3:06,252,L.J. Rose missed Three Point Jumper.,59,70
3:06,2692,Jeremy Senglin Defensive Rebound.,59,70
2:59,2692,Jeremy Senglin made Layup.,61,70
2:37,252,Eric Mika missed Layup.,61,70
2:37,252,Eric Mika Offensive Rebound.,61,70
2:34,2692,Foul on Cody John.,61,70
2:34,252,Official TV Timeout,61,70
2:34,252,Eric Mika made Free Throw.,61,71
2:34,252,Eric Mika missed Free Throw.,61,71
2:34,2692,Cody John Defensive Rebound.,61,71
2:11,2692,Jordan Dallas made Jumper. Assisted by Jeremy Senglin.,63,71
2:11,252,Foul on Yoeli Childs.,63,71
2:11,2692,Jordan Dallas made Free Throw.,64,71
1:59,252,Eric Mika made Jumper.,64,73
1:45,2692,Cody John Turnover.,64,73
1:33,252,TJ Haws Turnover.,64,73
1:32,2692,Cody John Steal.,64,73
1:29,2692,Cody John missed Layup.,64,73
1:29,252,Eric Mika Defensive Rebound.,64,73
1:05,252,Eric Mika made Jumper.,64,75
0:50,2692,Jeremy Senglin Turnover.,64,75
0:49,252,Nick Emery Steal.,64,75
0:47,252,Nick Emery made Dunk.,64,77
0:37,2692,Weber State  Timeout,64,77
0:28,252,Foul on Payton Dastrup.,64,77
0:28,2692,Jerrick Harding made Free Throw.,65,77
0:28,2692,Jerrick Harding made Free Throw.,66,77
0:00,252,End of Game,66,77
