Howard Payne,Error,Incarnate Word,2916
0:07,2916,Sam Burmeister Defensive Rebound.,28,41
0:00,2916,End of 1st half,28,41
19:31,-1,Rickey Guillory missed Jumper.,28,41
19:31,-1,Khyce Randall Offensive Rebound.,28,41
19:24,-1,Shadd Cole made Layup. Assisted by Khyce Randall.,30,41
19:06,2916,Tyler Singleton made Three Point Jumper. Assisted by Shawn Johnson.,30,44
18:45,2916,Foul on Devin Wyatt.,30,44
18:29,-1,David Dingle missed Layup.,30,44
18:29,2916,Devin Wyatt Block.,30,44
18:27,-1,Howard Payne Offensive Rebound.,30,44
18:18,-1,Khyce Randall Turnover.,30,44
17:55,-1,Foul on Khyce Randall.,30,44
17:55,2916,Jalin Hart made Free Throw.,30,45
17:55,2916,Jalin Hart made Free Throw.,30,46
17:35,-1,Rickey Guillory made Layup. Assisted by Shadd Cole.,32,46
17:35,2916,Foul on Devin Wyatt.,32,46
17:35,-1,Rickey Guillory missed Free Throw.,32,46
17:35,2916,Devin Wyatt Defensive Rebound.,32,46
17:30,2916,Sam Burmeister missed Three Point Jumper.,32,46
17:30,2916,Jalin Hart Offensive Rebound.,32,46
17:25,2916,Jalin Hart Turnover.,32,46
17:23,-1,Rickey Guillory Steal.,32,46
17:21,-1,Rickey Guillory Turnover.,32,46
17:19,2916,Jalin Hart Steal.,32,46
17:15,2916,Jalin Hart made Jumper.,32,48
17:01,-1,Rickey Guillory Turnover.,32,48
17:00,2916,Jalin Hart Steal.,32,48
16:57,2916,Jalin Hart made Layup.,32,50
16:34,-1,David Dingle missed Jumper.,32,50
16:34,2916,Shawn Johnson Defensive Rebound.,32,50
16:18,2916,Shawn Johnson made Three Point Jumper. Assisted by Tyler Singleton.,32,53
16:07,-1,Rickey Guillory made Three Point Jumper.,35,53
16:03,-1,Howard Payne  Timeout,35,53
15:46,2916,Jorden Kite missed Three Point Jumper.,35,53
15:46,-1,J Bailey Defensive Rebound.,35,53
15:38,-1,Khyce Randall Turnover.,35,53
15:36,2916,Shawn Johnson Steal.,35,53
15:30,2916,Shawn Johnson made Layup.,35,55
15:12,-1,Shadd Cole made Three Point Jumper. Assisted by Khyce Randall.,38,55
14:45,-1,Foul on Talen Davis-Rentfro.,38,55
14:45,2916,Official TV Timeout,38,55
14:45,2916,Sam Burmeister missed Free Throw.,38,55
14:45,2916,Incarnate Word Deadball Team Rebound.,38,55
14:45,2916,Sam Burmeister made Free Throw.,38,56
14:26,-1,Khyce Randall missed Three Point Jumper.,38,56
14:26,2916,Simi Socks Defensive Rebound.,38,56
13:57,2916,Tyler Singleton missed Layup.,38,56
13:57,-1,Donovan Jenkins Defensive Rebound.,38,56
13:55,2916,Foul on Jorden Kite.,38,56
13:33,-1,Talen Davis-Rentfro made Layup.,40,56
13:22,2916,Simi Socks made Jumper. Assisted by Jalin Hart.,40,58
13:05,-1,Isiah Herrera missed Three Point Jumper.,40,58
13:05,2916,Jalin Hart Defensive Rebound.,40,58
12:50,2916,Sam Burmeister Turnover.,40,58
12:48,-1,Donovan Jenkins Steal.,40,58
12:46,2916,Foul on Simi Socks.,40,58
12:40,-1,Khyce Randall missed Layup.,40,58
12:40,2916,Sam Burmeister Defensive Rebound.,40,58
12:34,2916,Jorden Kite made Three Point Jumper. Assisted by Jalin Hart.,40,61
12:10,-1,Talen Davis-Rentfro Turnover.,40,61
12:08,2916,Jorden Kite Steal.,40,61
12:05,2916,Simi Socks missed Layup.,40,61
12:05,-1,Donovan Jenkins Defensive Rebound.,40,61
11:58,-1,Khyce Randall made Layup.,42,61
11:58,2916,Foul on Sam Burmeister.,42,61
11:58,-1,Khyce Randall missed Free Throw.,42,61
11:58,-1,J Bailey Offensive Rebound.,42,61
11:58,-1,J Bailey made Layup.,44,61
11:46,2916,Devin Wyatt Turnover.,44,61
11:46,2916,Official TV Timeout,44,61
11:36,-1,Isiah Herrera missed Layup.,44,61
11:36,2916,Shawn Johnson Defensive Rebound.,44,61
11:23,-1,Foul on Donovan Jenkins.,44,61
11:23,2916,Devin Wyatt made Free Throw.,44,62
11:23,2916,Devin Wyatt made Free Throw.,44,63
11:04,-1,Isiah Herrera Turnover.,44,63
10:52,2916,Jalin Hart made Three Point Jumper. Assisted by Shawn Johnson.,44,66
10:44,-1,Howard Payne  Timeout,44,66
10:36,-1,Foul on Thomas Bingham.,44,66
10:36,-1,Thomas Bingham Turnover.,44,66
10:21,2916,Jerred Kite missed Layup.,44,66
10:21,-1,De'Marcus Hurd Defensive Rebound.,44,66
10:15,2916,Foul on Shawn Johnson.,44,66
10:04,-1,Isiah Herrera missed Jumper.,44,66
10:04,2916,Simi Socks Defensive Rebound.,44,66
9:49,2916,Simi Socks made Jumper.,44,68
9:15,-1,Donovan Jenkins Turnover.,44,68
9:13,2916,Simi Socks Steal.,44,68
9:12,-1,Foul on Donovan Jenkins.,44,68
9:12,2916,Simi Socks made Free Throw.,44,69
9:12,2916,Simi Socks made Free Throw.,44,70
8:54,-1,Rickey Guillory made Three Point Jumper.,47,70
8:39,-1,Foul on De'Marcus Hurd.,47,70
8:31,2916,Jalin Hart made Three Point Jumper. Assisted by Simi Socks.,47,73
8:01,-1,Rickey Guillory missed Three Point Jumper.,47,73
8:01,2916,Incarnate Word Defensive Rebound.,47,73
7:42,2916,Simi Socks missed Three Point Jumper.,47,73
7:42,-1,Jeremy Ayers Defensive Rebound.,47,73
7:32,-1,Jeremy Ayers Turnover.,47,73
7:30,2916,Shawn Johnson Steal.,47,73
7:27,2916,Shawn Johnson made Dunk.,47,75
7:16,2916,Foul on Shawn Johnson.,47,75
7:16,2916,Official TV Timeout,47,75
7:16,-1,De'Marcus Hurd made Free Throw.,48,75
7:16,-1,De'Marcus Hurd missed Free Throw.,48,75
7:16,2916,Simi Socks Defensive Rebound.,48,75
7:00,-1,Foul on J Bailey.,48,75
7:00,2916,Jerred Kite made Free Throw.,48,76
7:00,2916,Jerred Kite made Free Throw.,48,77
6:36,-1,Shadd Cole made Layup.,50,77
6:16,2916,Tyler Singleton Turnover.,50,77
6:14,-1,Rickey Guillory Steal.,50,77
6:10,-1,Rickey Guillory Turnover.,50,77
6:03,-1,Foul on Rickey Guillory.,50,77
6:03,2916,Tyler Singleton missed Free Throw.,50,77
6:03,2916,Incarnate Word Deadball Team Rebound.,50,77
6:03,2916,Tyler Singleton made Free Throw.,50,78
5:48,-1,Rickey Guillory missed Jumper.,50,78
5:48,2916,Sam Burmeister Defensive Rebound.,50,78
5:39,2916,Myles Thornton missed Three Point Jumper.,50,78
5:39,-1,Howard Payne Defensive Rebound.,50,78
5:27,2916,Foul on Simi Socks.,50,78
5:27,-1,Rickey Guillory made Free Throw.,51,78
5:27,-1,Rickey Guillory made Free Throw.,52,78
5:10,-1,Foul on Rickey Guillory.,52,78
5:10,2916,Jerred Kite made Free Throw.,52,79
5:10,2916,Jerred Kite made Free Throw.,52,80
4:53,-1,J Bailey missed Layup.,52,80
4:53,2916,Jerred Kite Defensive Rebound.,52,80
4:48,-1,Foul on Cole Bene'.,52,80
4:48,2916,Tyler Singleton missed Free Throw.,52,80
4:48,2916,Incarnate Word Deadball Team Rebound.,52,80
4:48,2916,Tyler Singleton missed Free Throw.,52,80
4:48,-1,J Bailey Defensive Rebound.,52,80
4:32,-1,J Bailey Turnover.,52,80
4:30,2916,Tyler Singleton Steal.,52,80
4:18,2916,Tyler Singleton made Three Point Jumper.,52,83
3:45,2916,Official TV Timeout,52,83
3:41,-1,Shadd Cole Turnover.,52,83
3:39,2916,Simi Socks Steal.,52,83
3:37,2916,Foul on Simi Socks.,52,83
3:37,2916,Simi Socks Turnover.,52,83
3:37,-1,Cody Hastings made Free Throw.,53,83
3:37,-1,Cody Hastings missed Free Throw.,53,83
3:37,-1,Cody Hastings Offensive Rebound.,53,83
3:32,-1,Shadd Cole made Three Point Jumper. Assisted by Elijah Pruitt.,56,83
3:06,2916,Sam Burmeister made Three Point Jumper. Assisted by Simi Socks.,56,86
2:49,-1,Shadd Cole made Jumper. Assisted by Thomas Bingham.,58,86
2:49,2916,Foul on Phillip Johnson.,58,86
2:49,-1,Shadd Cole made Free Throw.,59,86
2:35,2916,Simi Socks missed Three Point Jumper.,59,86
2:35,2916,Jerred Kite Offensive Rebound.,59,86
2:28,2916,Jorden Kite missed Jumper.,59,86
2:28,-1,Shadd Cole Defensive Rebound.,59,86
2:16,-1,Shadd Cole Turnover.,59,86
2:13,2916,Tyler Singleton Steal.,59,86
2:11,2916,Tyler Singleton made Layup.,59,88
1:57,-1,Cody Hastings missed Three Point Jumper.,59,88
1:57,2916,Phillip Johnson Defensive Rebound.,59,88
1:38,2916,Jorden Kite missed Three Point Jumper.,59,88
1:38,-1,Cole Bene' Defensive Rebound.,59,88
1:28,-1,Elijah Pruitt made Jumper.,61,88
1:02,2916,Jorden Kite missed Jumper.,61,88
1:02,2916,Jerred Kite Offensive Rebound.,61,88
0:57,2916,Myles Thornton made Three Point Jumper. Assisted by Jerred Kite.,61,91
0:43,-1,Javaris Jones Turnover.,61,91
0:41,2916,Jorden Kite Steal.,61,91
0:15,2916,Jorden Kite missed Jumper.,61,91
0:15,-1,Howard Payne Defensive Rebound.,61,91
0:06,-1,Jaze Ramdolph missed Three Point Jumper.,61,91
0:06,2916,Incarnate Word Defensive Rebound.,61,91
