Delaware State,309,Louisiana,2169
1:10,309,Frank Bartley IV made Dunk.,34,40
0:51,309,Foul on Johnathan Stove.,34,40
0:51,2169,DeAndre Haywood made Free Throw.,35,40
0:51,2169,DeAndre Haywood made Free Throw.,36,40
0:43,309,Bryce Washington missed Layup.,36,40
0:43,309,Bryce Washington Offensive Rebound.,36,40
0:38,2169,Foul on Kavon Waller.,36,40
0:38,309,Bryce Washington made Free Throw.,36,41
0:38,309,Bryce Washington made Free Throw.,36,42
0:13,2169,DeAndre Haywood missed Three Point Jumper.,36,42
0:13,2169,Dana Raysor Offensive Rebound.,36,42
0:05,2169,Devin Morgan missed Three Point Jumper.,36,42
0:05,309,Roydell Brown Defensive Rebound.,36,42
0:00,309,End of 1st half,36,42
19:46,309,Scott Plaisance Turnover.,36,42
19:44,2169,DeVaughn Mallory Steal.,36,42
19:36,2169,DeVaughn Mallory missed Jumper.,36,42
19:36,309,Scott Plaisance Defensive Rebound.,36,42
19:18,2169,Foul on Dana Raysor.,36,42
19:18,309,Bryce Washington made Free Throw.,36,43
19:18,309,Bryce Washington missed Free Throw.,36,43
19:18,2169,DeAndre Haywood Defensive Rebound.,36,43
18:52,2169,DeAndre Haywood Turnover.,36,43
18:50,309,Frank Bartley IV Steal.,36,43
18:44,309,Scott Plaisance missed Layup.,36,43
18:44,2169,Demola Onifade Block.,36,43
18:37,2169,DeVaughn Mallory Defensive Rebound.,36,43
18:31,2169,Devin Morgan made Jumper.,38,43
18:25,309,Frank Bartley IV made Three Point Jumper. Assisted by Jay Wright.,38,46
18:02,2169,Devin Morgan missed Layup.,38,46
18:02,309,UL Lafayette Defensive Rebound.,38,46
17:50,309,Jay Wright Turnover.,38,46
17:39,2169,DeAndre Haywood made Layup. Assisted by DeVaughn Mallory.,40,46
17:24,309,Frank Bartley IV missed Three Point Jumper.,40,46
17:24,2169,DeAndre Haywood Defensive Rebound.,40,46
17:12,2169,Demola Onifade missed Jumper.,40,46
17:12,309,Johnathan Stove Defensive Rebound.,40,46
17:03,309,Jay Wright missed Three Point Jumper.,40,46
17:03,309,Larenz Stalcup Offensive Rebound.,40,46
16:57,309,Larenz Stalcup made Jumper.,40,48
16:36,309,Foul on Larenz Stalcup.,40,48
16:36,2169,DeAndre Haywood made Free Throw.,41,48
16:36,2169,DeAndre Haywood made Free Throw.,42,48
16:28,309,Jay Wright Turnover.,42,48
16:12,2169,DeAndre Haywood made Layup.,44,48
15:56,309,Bryce Washington missed Jumper.,44,48
15:56,309,Bryce Washington Offensive Rebound.,44,48
15:51,2169,Foul on Devin Morgan.,44,48
15:51,309,Official TV Timeout,44,48
15:38,309,P.J. Hardy missed Jumper.,44,48
15:38,309,Bryce Washington Offensive Rebound.,44,48
15:34,309,Bryce Washington Turnover.,44,48
15:33,2169,Demola Onifade Steal.,44,48
15:26,2169,Dana Raysor made Three Point Jumper. Assisted by Devin Morgan.,47,48
15:05,309,Roydell Brown made Three Point Jumper. Assisted by Frank Bartley IV.,47,51
14:43,2169,Devin Morgan missed Layup.,47,51
14:43,2169,DeVaughn Mallory Offensive Rebound.,47,51
14:39,2169,DeVaughn Mallory made Layup.,49,51
14:34,2169,Foul on DeVaughn Mallory.,49,51
14:34,309,Frank Bartley IV made Free Throw.,49,52
14:34,309,Frank Bartley IV missed Free Throw.,49,52
14:34,2169,Demola Onifade Defensive Rebound.,49,52
14:08,2169,Devin Morgan missed Jumper.,49,52
14:08,309,Bryce Washington Block.,49,52
14:06,309,Bryce Washington Defensive Rebound.,49,52
13:59,309,P.J. Hardy made Three Point Jumper. Assisted by Frank Bartley IV.,49,55
13:46,309,Foul on Roydell Brown.,49,55
13:25,2169,DeAndre Haywood missed Jumper.,49,55
13:25,309,Bryce Washington Block.,49,55
13:23,2169,DeVaughn Mallory Offensive Rebound.,49,55
13:20,2169,DeAndre Haywood made Layup.,51,55
13:03,309,Roydell Brown missed Three Point Jumper.,51,55
13:03,2169,DeVaughn Mallory Defensive Rebound.,51,55
12:43,2169,DeVaughn Mallory missed Jumper.,51,55
12:43,309,Larenz Stalcup Defensive Rebound.,51,55
12:36,2169,Foul on DeAndre Haywood.,51,55
12:36,309,Bryce Washington missed Free Throw.,51,55
12:36,309,UL Lafayette Deadball Team Rebound.,51,55
12:36,309,Bryce Washington made Free Throw.,51,56
12:13,2169,Devin Morgan missed Layup.,51,56
12:13,309,Bryce Washington Block.,51,56
12:13,2169,Devin Morgan Offensive Rebound.,51,56
12:12,2169,Devin Morgan Turnover.,51,56
12:00,309,Roydell Brown missed Three Point Jumper.,51,56
12:00,309,Bryce Washington Offensive Rebound.,51,56
11:54,309,Roydell Brown made Layup. Assisted by Larenz Stalcup.,51,58
11:33,2169,Dana Raysor made Three Point Jumper.,54,58
11:33,309,Foul on Larenz Stalcup.,54,58
11:33,309,Official TV Timeout,54,58
11:33,2169,Dana Raysor made Free Throw.,55,58
11:16,309,Bryce Washington made Layup.,55,60
10:51,2169,Kobe Gantz Turnover.,55,60
10:40,2169,Foul on Dana Raysor.,55,60
10:40,309,Bryce Washington made Free Throw.,55,61
10:40,309,Bryce Washington made Free Throw.,55,62
10:22,2169,Dana Raysor made Three Point Jumper. Assisted by Kobe Gantz.,58,62
10:01,309,Roydell Brown missed Three Point Jumper.,58,62
10:01,309,UL Lafayette Offensive Rebound.,58,62
9:58,2169,Foul on Dana Raysor.,58,62
9:58,309,Johnathan Stove made Free Throw.,58,63
9:58,309,Johnathan Stove missed Free Throw.,58,63
9:58,2169,Kobe Gantz Defensive Rebound.,58,63
9:50,2169,Devin Morgan made Three Point Jumper. Assisted by Kobe Gantz.,61,63
9:34,309,Frank Bartley IV missed Three Point Jumper.,61,63
9:34,309,Bryce Washington Offensive Rebound.,61,63
9:23,309,Bryce Washington made Layup. Assisted by Frank Bartley IV.,61,65
9:09,2169,Kavon Waller Turnover.,61,65
9:09,2169,Foul on Kavon Waller.,61,65
8:54,309,P.J. Hardy made Three Point Jumper. Assisted by Jay Wright.,61,68
8:40,2169,Kobe Gantz missed Layup.,61,68
8:40,309,Bryce Washington Defensive Rebound.,61,68
8:33,2169,Foul on DeVaughn Mallory.,61,68
8:33,309,Frank Bartley IV made Free Throw.,61,69
8:33,309,Frank Bartley IV made Free Throw.,61,70
8:07,2169,Joseph Lewis missed Layup.,61,70
8:07,309,Jay Wright Defensive Rebound.,61,70
7:59,309,P.J. Hardy missed Three Point Jumper.,61,70
7:59,2169,DeVaughn Mallory Defensive Rebound.,61,70
7:45,2169,Joseph Lewis Turnover.,61,70
7:45,309,Official TV Timeout,61,70
7:29,309,Frank Bartley IV missed Layup.,61,70
7:29,2169,DeVaughn Mallory Block.,61,70
7:29,309,UL Lafayette Offensive Rebound.,61,70
7:28,309,Johnathan Stove missed Layup.,61,70
7:28,2169,Joseph Lewis Block.,61,70
7:20,2169,Joseph Lewis Defensive Rebound.,61,70
7:02,2169,Dana Raysor made Three Point Jumper. Assisted by Devin Morgan.,64,70
6:44,309,Jay Wright made Jumper.,64,72
6:11,2169,Joseph Lewis made Layup. Assisted by DeVaughn Mallory.,66,72
5:49,309,Frank Bartley IV made Three Point Jumper. Assisted by Bryce Washington.,66,75
5:29,2169,DeAndre Haywood Turnover.,66,75
5:29,2169,Foul on DeAndre Haywood.,66,75
5:13,309,Jay Wright Turnover.,66,75
5:12,2169,DeAndre Haywood Steal.,66,75
5:08,2169,DeAndre Haywood made Layup.,68,75
4:53,2169,Foul on Dana Raysor.,68,75
4:53,309,Frank Bartley IV made Free Throw.,68,76
4:53,309,Frank Bartley IV made Free Throw.,68,77
4:46,2169,Delaware St  Timeout,68,77
4:25,2169,Devin Morgan made Three Point Jumper.,71,77
4:08,2169,Foul on Joseph Lewis.,71,77
4:08,309,Justin Miller made Free Throw.,71,78
4:08,309,Justin Miller missed Free Throw.,71,78
4:08,2169,Joseph Lewis Defensive Rebound.,71,78
3:43,2169,Devin Morgan missed Three Point Jumper.,71,78
3:43,2169,DeVaughn Mallory Offensive Rebound.,71,78
3:22,2169,DeVaughn Mallory missed Jumper.,71,78
3:22,2169,DeVaughn Mallory Offensive Rebound.,71,78
2:59,2169,Devin Morgan missed Three Point Jumper.,71,78
2:59,2169,Joseph Lewis Offensive Rebound.,71,78
2:55,2169,DeAndre Haywood made Layup. Assisted by Joseph Lewis.,73,78
2:46,309,UL Lafayette  Timeout,73,78
2:33,309,Justin Miller missed Layup.,73,78
2:33,2169,Kavon Waller Block.,73,78
2:33,309,Justin Miller Offensive Rebound.,73,78
2:30,2169,Foul on DeVaughn Mallory.,73,78
2:30,309,Justin Miller made Free Throw.,73,79
2:30,309,Justin Miller made Free Throw.,73,80
2:03,2169,Dana Raysor missed Three Point Jumper.,73,80
2:03,2169,DeAndre Haywood Offensive Rebound.,73,80
1:54,2169,Delaware St  Timeout,73,80
1:53,309,Foul on P.J. Hardy.,73,80
1:23,2169,Devin Morgan missed Three Point Jumper.,73,80
1:23,2169,Dana Raysor Offensive Rebound.,73,80
1:12,2169,Devin Morgan missed Jumper.,73,80
1:12,309,UL Lafayette Defensive Rebound.,73,80
0:47,309,Jay Wright Turnover.,73,80
0:47,309,Foul on Jay Wright.,73,80
0:37,2169,Kavon Waller made Layup. Assisted by Dana Raysor.,75,80
0:37,309,Foul on Johnathan Stove.,75,80
0:37,2169,Kavon Waller missed Free Throw.,75,80
0:37,2169,Joseph Lewis Offensive Rebound.,75,80
0:31,309,Foul on Jay Wright.,75,80
0:31,2169,Devin Morgan made Free Throw.,76,80
0:31,2169,Devin Morgan made Free Throw.,77,80
0:20,2169,Foul on Joseph Lewis.,77,80
0:20,309,Frank Bartley IV made Free Throw.,77,81
0:20,309,Frank Bartley IV made Free Throw.,77,82
0:20,309,UL Lafayette  Timeout,77,82
0:10,2169,Devin Morgan made Layup.,79,82
0:10,2169,Delaware St  Timeout,79,82
0:08,2169,Foul on Dana Raysor.,79,82
0:08,309,P.J. Hardy missed Free Throw.,79,82
0:08,309,UL Lafayette Deadball Team Rebound.,79,82
0:08,309,P.J. Hardy made Free Throw.,79,83
0:01,2169,Devin Morgan made Three Point Jumper.,82,83
0:00,309,End of Game,82,83
