Texas Southern,256,James Madison,2640
4:29,256,Shakir Brown made Three Point Jumper. Assisted by Joey McLean.,56,51
3:59,2640,Kevin Scott missed Three Point Jumper.,56,51
3:59,256,Ramone Snowden Defensive Rebound.,56,51
3:45,256,Joey McLean Turnover.,56,51
3:45,256,Official TV Timeout,56,51
3:19,2640,Kevin Scott missed Jumper.,56,51
3:19,256,Yohanny Dalembert Block.,56,51
3:16,256,Joey McLean Defensive Rebound.,56,51
2:52,2640,Foul on Kevin Scott.,56,51
2:52,256,Ramone Snowden made Free Throw.,56,52
2:52,256,Ramone Snowden missed Free Throw.,56,52
2:52,2640,Derrick Griffin Defensive Rebound.,56,52
2:27,2640,Zach Lofton made Layup.,58,52
2:08,256,Yohanny Dalembert missed Layup.,58,52
2:08,2640,Zach Lofton Defensive Rebound.,58,52
1:50,2640,Lamont Walker made Three Point Jumper. Assisted by Dulani Robinson.,61,52
1:43,256,James Madison  Timeout,61,52
1:30,2640,Foul on Kevin Scott.,61,52
1:30,256,Ramone Snowden missed Free Throw.,61,52
1:30,2640,Texas Southern Deadball Team Rebound.,61,52
1:30,2640,Foul on Zach Lofton.,61,52
1:30,2640,Zach Lofton Turnover.,61,52
1:24,256,Joey McLean missed Three Point Jumper.,61,52
1:24,2640,Kevin Scott Defensive Rebound.,61,52
0:55,2640,Foul on Zach Lofton.,61,52
0:55,2640,Zach Lofton Turnover.,61,52
0:49,256,Joey McLean made Jumper.,61,54
0:48,256,James Madison  Timeout,61,54
0:45,2640,Derrick Griffin made Dunk. Assisted by Kevin Scott.,63,54
0:34,256,Jackson Kent missed Jumper.,63,54
0:34,2640,Jalan McCloud Block.,63,54
0:34,2640,Dulani Robinson Defensive Rebound.,63,54
0:34,256,Foul on Terrence Johnson.,63,54
0:34,2640,Dulani Robinson made Free Throw.,64,54
0:34,2640,Dulani Robinson made Free Throw.,65,54
0:22,256,Joey McLean made Jumper.,65,56
0:20,256,James Madison  Timeout,65,56
0:19,256,Foul on Terrence Johnson.,65,56
0:19,2640,Dulani Robinson made Free Throw.,66,56
0:19,2640,Dulani Robinson made Free Throw.,67,56
0:11,256,Joey McLean missed Three Point Jumper.,67,56
0:11,2640,Dulani Robinson Defensive Rebound.,67,56
0:00,256,End of Game,67,56
