Bryant,331,Eastern Washington,2803
12:49,331,Sir Washington missed Layup.,11,10
12:49,2803,Bryant Defensive Rebound.,11,10
12:49,331,Foul on Jesse Hunt.,11,10
12:40,2803,Ikenna Ndugba made Layup.,13,10
12:23,331,Jesse Hunt missed Jumper.,13,10
12:23,2803,Hunter Ware Defensive Rebound.,13,10
12:15,2803,Hunter Ware Turnover.,13,10
12:03,331,Mario Soto missed Three Point Jumper.,13,10
12:03,2803,Adam Grant Defensive Rebound.,13,10
11:58,2803,Hunter Ware made Layup. Assisted by Adam Grant.,15,10
11:40,331,Bogdan Bliznyuk missed Jumper.,15,10
11:40,2803,Dan Garvin Defensive Rebound.,15,10
11:24,2803,Hunter Ware made Jumper.,17,10
11:21,331,Eastern Washington  Timeout,17,10
11:04,331,Felix Von Hofe missed Three Point Jumper.,17,10
11:04,2803,Ikenna Ndugba Defensive Rebound.,17,10
11:01,2803,Adam Grant Turnover.,17,10
10:55,331,Cody Benzel made Three Point Jumper. Assisted by Bogdan Bliznyuk.,17,13
10:44,2803,Adam Grant missed Jumper.,17,13
10:44,331,Ty Gibson Defensive Rebound.,17,13
10:28,331,Bogdan Bliznyuk missed Jumper.,17,13
10:28,331,Bogdan Bliznyuk Offensive Rebound.,17,13
10:26,331,Sir Washington missed Three Point Jumper.,17,13
10:26,2803,Hunter Ware Defensive Rebound.,17,13
10:08,2803,Ikenna Ndugba missed Three Point Jumper.,17,13
10:08,331,Ty Gibson Defensive Rebound.,17,13
9:54,331,Jacob Wiley made Dunk. Assisted by Ty Gibson.,17,15
9:32,2803,Foul on Marcel Pettway.,17,15
9:17,331,Bogdan Bliznyuk Turnover.,17,15
8:59,2803,Nisre Zouzoua missed Three Point Jumper.,17,15
8:59,331,Sir Washington Defensive Rebound.,17,15
8:52,331,Sir Washington made Layup.,17,17
8:52,2803,Foul on Nisre Zouzoua.,17,17
8:52,331,Sir Washington made Free Throw.,17,18
8:39,331,Foul on Jesse Hunt.,17,18
8:33,2803,Nisre Zouzoua missed Three Point Jumper.,17,18
8:33,331,Mason Peatling Defensive Rebound.,17,18
8:19,2803,Foul on Marcel Pettway.,17,18
8:19,331,Jacob Wiley made Free Throw.,17,19
8:19,331,Jacob Wiley made Free Throw.,17,20
8:01,2803,Foul on Dan Garvin.,17,20
7:47,331,Ty Gibson missed Three Point Jumper.,17,20
7:47,2803,Adam Grant Defensive Rebound.,17,20
7:43,331,Foul on Ty Gibson.,17,20
7:43,2803,Bryant  Timeout,17,20
7:43,2803,Adam Grant made Free Throw.,18,20
7:43,2803,Adam Grant missed Free Throw.,18,20
7:43,331,Jacob Wiley Defensive Rebound.,18,20
7:22,331,Bogdan Bliznyuk made Jumper.,18,22
7:02,2803,Nisre Zouzoua made Layup.,20,22
7:02,331,Foul on Felix Von Hofe.,20,22
7:02,2803,Nisre Zouzoua made Free Throw.,21,22
6:47,331,Bogdan Bliznyuk made Layup.,21,24
6:47,2803,Foul on Ikenna Ndugba.,21,24
6:47,331,Bogdan Bliznyuk made Free Throw.,21,25
6:37,2803,Nisre Zouzoua made Three Point Jumper.,24,25
6:10,331,Jacob Wiley missed Layup.,24,25
6:10,331,Sir Washington Offensive Rebound.,24,25
6:07,331,Sir Washington missed Layup.,24,25
6:07,331,Jacob Wiley Offensive Rebound.,24,25
6:07,331,Foul on Jacob Wiley.,24,25
6:07,2803,Ikenna Ndugba made Free Throw.,25,25
6:07,2803,Ikenna Ndugba made Free Throw.,26,25
5:38,2803,Sabastian Townes Turnover.,26,25
5:25,331,Cody Benzel made Three Point Jumper. Assisted by Sir Washington.,26,28
5:06,2803,Sabastian Townes made Jumper. Assisted by Nisre Zouzoua.,28,28
4:51,331,Felix Von Hofe made Three Point Jumper. Assisted by Sir Washington.,28,31
4:32,331,Foul on Mason Peatling.,28,31
4:32,2803,Nisre Zouzoua made Free Throw.,29,31
4:32,2803,Nisre Zouzoua made Free Throw.,30,31
4:21,2803,Foul on Dan Garvin.,30,31
4:21,331,Bogdan Bliznyuk made Free Throw.,30,32
4:21,331,Bogdan Bliznyuk made Free Throw.,30,33
4:00,2803,Nisre Zouzoua missed Layup.,30,33
4:00,331,Mason Peatling Defensive Rebound.,30,33
3:47,331,Bogdan Bliznyuk made Three Point Jumper.,30,36
3:23,2803,Bosko Kostur missed Three Point Jumper.,30,36
3:23,331,Mason Peatling Defensive Rebound.,30,36
3:02,331,Bogdan Bliznyuk made Layup.,30,38
2:59,2803,Bryant  Timeout,30,38
2:39,2803,Ikenna Ndugba Turnover.,30,38
2:27,331,Felix Von Hofe missed Three Point Jumper.,30,38
2:27,2803,Nisre Zouzoua Defensive Rebound.,30,38
2:19,2803,Ikenna Ndugba missed Layup.,30,38
2:19,331,Luka Vulikic Block.,30,38
2:13,331,Bogdan Bliznyuk Defensive Rebound.,30,38
2:07,2803,Foul on Sabastian Townes.,30,38
2:07,331,Mason Peatling made Free Throw.,30,39
2:07,331,Mason Peatling made Free Throw.,30,40
1:59,2803,Ikenna Ndugba made Jumper.,32,40
1:41,331,Cody Benzel missed Three Point Jumper.,32,40
1:41,331,Luka Vulikic Offensive Rebound.,32,40
1:28,331,Luka Vulikic missed Layup.,32,40
1:28,2803,Nisre Zouzoua Defensive Rebound.,32,40
1:18,2803,Adam Grant missed Three Point Jumper.,32,40
1:18,331,Eastern Washington Defensive Rebound.,32,40
0:57,331,Bogdan Bliznyuk made Jumper.,32,42
0:37,2803,Ikenna Ndugba made Three Point Jumper. Assisted by Adam Grant.,35,42
0:13,331,Bogdan Bliznyuk made Layup.,35,44
0:02,2803,Hunter Ware missed Three Point Jumper.,35,44
0:02,331,Mason Peatling Defensive Rebound.,35,44
0:00,331,End of 1st half,35,44
19:36,2803,Nisre Zouzoua made Jumper.,37,44
19:20,2803,Foul on Nisre Zouzoua.,37,44
19:20,331,Felix Von Hofe made Free Throw.,37,45
19:20,331,Felix Von Hofe made Free Throw.,37,46
19:05,2803,Dan Garvin made Dunk. Assisted by Ikenna Ndugba.,39,46
18:52,331,Jacob Wiley Turnover.,39,46
18:32,2803,Nisre Zouzoua made Three Point Jumper. Assisted by Ikenna Ndugba.,42,46
17:59,331,Jesse Hunt missed Three Point Jumper.,42,46
17:59,331,Luka Vulikic Offensive Rebound.,42,46
17:56,331,Luka Vulikic made Layup.,42,48
17:49,2803,Ikenna Ndugba made Layup.,44,48
17:32,2803,Foul on Marcel Pettway.,44,48
17:32,331,Jacob Wiley missed Free Throw.,44,48
17:32,331,Eastern Washington Deadball Team Rebound.,44,48
17:32,331,Jacob Wiley missed Free Throw.,44,48
17:32,2803,Gus Riley Defensive Rebound.,44,48
17:12,2803,Ikenna Ndugba missed Jumper.,44,48
17:12,331,Bogdan Bliznyuk Defensive Rebound.,44,48
16:58,331,Bogdan Bliznyuk Turnover.,44,48
16:57,2803,Adam Grant Steal.,44,48
16:53,331,Foul on Jesse Hunt.,44,48
16:53,2803,Adam Grant missed Free Throw.,44,48
16:53,2803,Bryant Deadball Team Rebound.,44,48
16:53,2803,Adam Grant made Free Throw.,45,48
16:38,331,Bogdan Bliznyuk made Jumper.,45,50
16:38,2803,Foul on Adam Grant.,45,50
16:38,331,Bogdan Bliznyuk made Free Throw.,45,51
16:23,2803,Nisre Zouzoua made Three Point Jumper. Assisted by Ikenna Ndugba.,48,51
16:01,331,Felix Von Hofe missed Jumper.,48,51
16:01,2803,Dan Garvin Defensive Rebound.,48,51
15:45,2803,Dan Garvin missed Layup.,48,51
15:45,331,Felix Von Hofe Block.,48,51
15:43,2803,Dan Garvin Offensive Rebound.,48,51
15:42,331,Foul on Felix Von Hofe.,48,51
15:42,2803,Bryant  Timeout,48,51
15:25,2803,Adam Grant missed Jumper.,48,51
15:25,331,Jesse Hunt Defensive Rebound.,48,51
15:09,331,Jesse Hunt missed Three Point Jumper.,48,51
15:09,2803,Nisre Zouzoua Defensive Rebound.,48,51
15:09,331,Foul on Bogdan Bliznyuk.,48,51
14:43,2803,Nisre Zouzoua missed Three Point Jumper.,48,51
14:43,331,Jacob Wiley Defensive Rebound.,48,51
14:21,331,Cody Benzel made Three Point Jumper. Assisted by Bogdan Bliznyuk.,48,54
13:59,2803,Foul on Dan Garvin.,48,54
13:59,2803,Dan Garvin Turnover.,48,54
13:43,331,Cody Benzel made Three Point Jumper. Assisted by Bogdan Bliznyuk.,48,57
13:17,2803,Foul on Gus Riley.,48,57
13:02,331,Felix Von Hofe Turnover.,48,57
12:41,2803,Ikenna Ndugba missed Jumper.,48,57
12:41,331,Jacob Wiley Block.,48,57
12:37,331,Bogdan Bliznyuk Defensive Rebound.,48,57
12:27,2803,Foul on Marcel Pettway.,48,57
12:18,331,Bogdan Bliznyuk made Layup.,48,59
11:58,2803,Adam Grant made Jumper.,50,59
11:39,331,Bogdan Bliznyuk made Jumper.,50,61
11:19,2803,Nisre Zouzoua Turnover.,50,61
11:17,331,Cody Benzel Steal.,50,61
11:07,331,Ty Gibson missed Three Point Jumper.,50,61
11:07,2803,Nisre Zouzoua Defensive Rebound.,50,61
10:53,2803,Bryant  Timeout,50,61
10:43,2803,Adam Grant made Jumper.,52,61
10:31,331,Mason Peatling missed Layup.,52,61
10:31,2803,Nisre Zouzoua Defensive Rebound.,52,61
10:31,331,Foul on Mason Peatling.,52,61
10:17,331,Foul on Cody Benzel.,52,61
10:06,331,Foul on Jacob Wiley.,52,61
10:06,2803,Dan Garvin missed Free Throw.,52,61
10:06,2803,Bryant Deadball Team Rebound.,52,61
10:06,2803,Dan Garvin made Free Throw.,53,61
9:54,331,Cody Benzel missed Three Point Jumper.,53,61
9:54,331,Sir Washington Offensive Rebound.,53,61
9:53,2803,Foul on Sabastian Townes.,53,61
9:53,331,Sir Washington missed Free Throw.,53,61
9:53,2803,Dan Garvin Defensive Rebound.,53,61
9:43,2803,Adam Grant made Layup.,55,61
9:43,331,Foul on Cody Benzel.,55,61
9:43,2803,Adam Grant made Free Throw.,56,61
9:35,2803,Foul on Ikenna Ndugba.,56,61
9:35,331,Sir Washington made Free Throw.,56,62
9:35,331,Sir Washington made Free Throw.,56,63
9:15,2803,Dan Garvin missed Jumper.,56,63
9:15,331,Sir Washington Defensive Rebound.,56,63
8:56,331,Bogdan Bliznyuk missed Jumper.,56,63
8:56,2803,Dan Garvin Block.,56,63
8:55,2803,Ikenna Ndugba Defensive Rebound.,56,63
8:47,2803,Nisre Zouzoua missed Three Point Jumper.,56,63
8:47,2803,Adam Grant Offensive Rebound.,56,63
8:42,2803,Adam Grant made Three Point Jumper.,59,63
8:18,2803,Foul on Dan Garvin.,59,63
8:18,331,Jacob Wiley made Free Throw.,59,64
8:18,331,Jacob Wiley made Free Throw.,59,65
7:52,2803,Adam Grant missed Three Point Jumper.,59,65
7:52,331,Jacob Wiley Defensive Rebound.,59,65
7:51,2803,Foul on Nisre Zouzoua.,59,65
7:51,331,Eastern Washington  Timeout,59,65
7:51,331,Jacob Wiley made Free Throw.,59,66
7:51,331,Jacob Wiley made Free Throw.,59,67
7:32,2803,Ikenna Ndugba missed Three Point Jumper.,59,67
7:32,331,Ty Gibson Defensive Rebound.,59,67
7:21,2803,Foul on Ikenna Ndugba.,59,67
7:21,331,Luka Vulikic made Free Throw.,59,68
7:21,331,Luka Vulikic made Free Throw.,59,69
6:57,2803,Nisre Zouzoua missed Three Point Jumper.,59,69
6:57,331,Jacob Wiley Defensive Rebound.,59,69
6:39,331,Ty Gibson Turnover.,59,69
6:21,2803,Dan Garvin made Layup. Assisted by Nisre Zouzoua.,61,69
6:04,331,Cody Benzel Turnover.,61,69
5:47,331,Foul on Luka Vulikic.,61,69
5:47,2803,Nisre Zouzoua made Free Throw.,62,69
5:47,2803,Nisre Zouzoua missed Free Throw.,62,69
5:47,2803,Bryant Deadball Team Rebound.,62,69
5:47,2803,Nisre Zouzoua made Free Throw.,63,69
5:20,331,Felix Von Hofe missed Three Point Jumper.,63,69
5:20,2803,Marcel Pettway Defensive Rebound.,63,69
5:11,2803,Bryant  Timeout,63,69
5:07,2803,Dan Garvin missed Layup.,63,69
5:07,331,Felix Von Hofe Defensive Rebound.,63,69
4:41,331,Sir Washington missed Jumper.,63,69
4:41,2803,Hunter Ware Defensive Rebound.,63,69
4:32,2803,Nisre Zouzoua Turnover.,63,69
4:19,331,Jacob Wiley made Jumper. Assisted by Bogdan Bliznyuk.,63,71
4:03,331,Foul on Sir Washington.,63,71
4:03,2803,Nisre Zouzoua made Free Throw.,64,71
4:03,2803,Nisre Zouzoua made Free Throw.,65,71
3:39,331,Jacob Wiley missed Layup.,65,71
3:39,331,Eastern Washington Offensive Rebound.,65,71
3:39,331,Eastern Washington  Timeout,65,71
3:26,331,Foul on Jacob Wiley.,65,71
3:26,331,Jacob Wiley Turnover.,65,71
3:06,2803,Marcel Pettway missed Layup.,65,71
3:06,331,Jacob Wiley Defensive Rebound.,65,71
2:50,331,Cody Benzel missed Three Point Jumper.,65,71
2:50,331,Jacob Wiley Offensive Rebound.,65,71
2:47,2803,Foul on Dan Garvin.,65,71
2:47,331,Jacob Wiley made Free Throw.,65,72
2:47,331,Jacob Wiley made Free Throw.,65,73
2:37,2803,Adam Grant missed Three Point Jumper.,65,73
2:37,331,Bogdan Bliznyuk Defensive Rebound.,65,73
2:09,331,Sir Washington missed Layup.,65,73
2:09,2803,Gus Riley Defensive Rebound.,65,73
2:01,2803,Gus Riley made Three Point Jumper. Assisted by Adam Grant.,68,73
1:58,2803,Bryant  Timeout,68,73
1:30,331,Cody Benzel Turnover.,68,73
1:28,2803,Nisre Zouzoua Steal.,68,73
1:10,2803,Nisre Zouzoua missed Layup.,68,73
1:10,2803,Marcel Pettway Offensive Rebound.,68,73
1:07,2803,Marcel Pettway made Layup.,70,73
0:48,2803,Foul on Gus Riley.,70,73
0:48,331,Jacob Wiley made Free Throw.,70,74
0:48,331,Jacob Wiley made Free Throw.,70,75
0:31,2803,Marcel Pettway made Layup. Assisted by Adam Grant.,72,75
0:21,331,Ty Gibson Turnover.,72,75
0:20,331,Ty Gibson Steal.,72,75
0:20,2803,Nisre Zouzoua missed Layup.,72,75
0:20,331,Bogdan Bliznyuk Defensive Rebound.,72,75
0:18,2803,Foul on Adam Grant.,72,75
0:18,331,Bogdan Bliznyuk made Free Throw.,72,76
0:18,331,Bogdan Bliznyuk made Free Throw.,72,77
0:15,2803,Nisre Zouzoua missed Three Point Jumper.,72,77
0:14,331,Sir Washington Defensive Rebound.,72,77
0:11,331,Sir Washington made Free Throw.,72,79
0:11,331,Sir Washington made Free Throw.,72,78
0:11,2803,Foul on Gus Riley.,72,78
0:09,2803,Adam Grant made Free Throw.,75,79
0:05,331,Foul on Felix Von Hofe.,72,79
0:05,2803,Adam Grant made Free Throw.,73,79
0:05,2803,Adam Grant made Free Throw.,74,79
0:05,331,Eastern Washington  Timeout,75,79
0:04,2803,Foul on Adam Grant.,75,79
0:04,331,Bogdan Bliznyuk made Free Throw.,75,80
0:04,331,Bogdan Bliznyuk made Free Throw.,75,81
0:00,2803,Adam Grant made Layup.,77,81
0:00,331,End of Game,77,81
