Samford,2097,Campbell,2535
15:28,2535,Foul on Wyatt Walker.,7,7
15:28,2097,Official TV Timeout,7,7
15:08,2097,Chris Clemons missed Three Point Jumper.,7,7
15:08,2535,Wyatt Walker Defensive Rebound.,7,7
15:00,2535,Justin Hopkins Turnover.,7,7
14:38,2097,Mogga Lado missed Layup.,7,7
14:38,2535,Justin Hopkins Defensive Rebound.,7,7
14:28,2097,Foul on Damontez Oliver.,7,7
14:19,2535,Wyatt Walker Turnover.,7,7
14:18,2097,Chris Clemons Steal.,7,7
14:09,2097,Mogga Lado missed Jumper.,7,7
14:09,2097,Campbell Offensive Rebound.,7,7
13:51,2097,Shane Whitfield missed Jumper.,7,7
13:51,2535,Christen Cunningham Defensive Rebound.,7,7
13:36,2097,Foul on Mogga Lado.,7,7
13:36,2535,Justin Hopkins made Free Throw.,8,7
13:36,2535,Justin Hopkins missed Free Throw.,8,7
13:36,2097,Mogga Lado Defensive Rebound.,8,7
13:12,2535,Foul on Eric Adams.,8,7
13:12,2097,Mogga Lado missed Free Throw.,8,7
13:12,2097,Campbell Deadball Team Rebound.,8,7
13:12,2097,Mogga Lado made Free Throw.,8,8
12:48,2535,Josh Sharkey missed Jumper.,8,8
12:48,2097,Mogga Lado Defensive Rebound.,8,8
12:26,2097,Quinton Ray missed Jumper.,8,8
12:26,2097,Campbell Offensive Rebound.,8,8
12:12,2535,Foul on Alex Thompson.,8,8
12:01,2097,Shane Whitfield Turnover.,8,8
12:01,2535,Triston Chambers Steal.,8,8
12:01,2097,Official TV Timeout,8,8
11:31,2535,Christen Cunningham missed Three Point Jumper.,8,8
11:31,2097,Chris Clemons Defensive Rebound.,8,8
11:11,2097,Marcus Burk missed Three Point Jumper.,8,8
11:11,2097,Quinton Ray Offensive Rebound.,8,8
10:59,2097,Chris Clemons missed Three Point Jumper.,8,8
10:59,2535,Josh Sharkey Block.,8,8
10:54,2535,Wyatt Walker Defensive Rebound.,8,8
10:46,2535,Wyatt Walker Turnover.,8,8
10:45,2097,Andrew Eudy Steal.,8,8
10:33,2097,Marcus Burk missed Three Point Jumper.,8,8
10:33,2535,Wyatt Walker Defensive Rebound.,8,8
10:05,2535,Justin Hopkins missed Three Point Jumper.,8,8
10:05,2097,Marcus Burk Defensive Rebound.,8,8
9:55,2097,Chris Clemons missed Three Point Jumper.,8,8
9:55,2535,Justin Hopkins Defensive Rebound.,8,8
9:45,2097,Foul on Andrew Eudy.,8,8
9:45,2535,Wyatt Walker missed Free Throw.,8,8
9:45,2535,Samford Deadball Team Rebound.,8,8
9:45,2535,Wyatt Walker missed Free Throw.,8,8
9:45,2097,Damontez Oliver Defensive Rebound.,8,8
9:34,2535,Foul on Josh Sharkey.,8,8
9:14,2097,Andrew Eudy made Jumper.,8,10
8:57,2535,Alex Thompson missed Jumper.,8,10
8:57,2097,Quinton Ray Defensive Rebound.,8,10
8:47,2097,Marcus Burk missed Three Point Jumper.,8,10
8:47,2097,Campbell Offensive Rebound.,8,10
8:24,2097,Damontez Oliver missed Three Point Jumper.,8,10
8:24,2535,Wyatt Walker Defensive Rebound.,8,10
8:00,2535,Wyatt Walker missed Layup.,8,10
8:00,2097,Campbell Defensive Rebound.,8,10
7:59,2097,Official TV Timeout,8,10
7:37,2097,Chris Clemons missed Three Point Jumper.,8,10
7:37,2535,Justin Hopkins Defensive Rebound.,8,10
7:20,2535,Triston Chambers missed Three Point Jumper.,8,10
7:20,2097,Damontez Oliver Defensive Rebound.,8,10
7:13,2535,Foul on Triston Chambers.,8,10
7:13,2097,Shane Whitfield made Free Throw.,8,11
7:13,2097,Shane Whitfield made Free Throw.,8,12
6:56,2535,Demetrius Denzel-Dyson made Three Point Jumper. Assisted by Christen Cunningham.,11,12
6:27,2097,Cory Gensler missed Three Point Jumper.,11,12
6:27,2535,Christen Cunningham Defensive Rebound.,11,12
6:20,2535,Demetrius Denzel-Dyson missed Layup.,11,12
6:20,2097,Chris Clemons Defensive Rebound.,11,12
6:14,2097,Damontez Oliver missed Jumper.,11,12
6:14,2097,Andrew Eudy Offensive Rebound.,11,12
6:09,2097,Andrew Eudy missed Two Point Tip Shot.,11,12
6:09,2535,Samford Defensive Rebound.,11,12
5:56,2535,Demetrius Denzel-Dyson made Three Point Jumper. Assisted by Christen Cunningham.,14,12
5:40,2097,Damontez Oliver missed Layup.,14,12
5:40,2535,Justin Hopkins Defensive Rebound.,14,12
5:32,2097,Foul on Andrew Eudy.,14,12
5:32,2535,Josh Sharkey missed Free Throw.,14,12
5:32,2535,Samford Deadball Team Rebound.,14,12
5:32,2535,Josh Sharkey made Free Throw.,15,12
5:20,2097,Mogga Lado missed Layup.,15,12
5:20,2535,Samford Defensive Rebound.,15,12
5:17,2097,Foul on Mogga Lado.,15,12
4:59,2535,Demetrius Denzel-Dyson made Three Point Jumper. Assisted by Christen Cunningham.,18,12
4:45,2097,Foul on Shane Whitfield.,18,12
4:45,2097,Shane Whitfield Turnover.,18,12
4:45,2097,Campbell  Timeout,18,12
4:31,2535,Demetrius Denzel-Dyson Turnover.,18,12
4:29,2097,Chris Clemons Steal.,18,12
4:27,2097,Chris Clemons made Dunk.,18,14
4:10,2535,Alex Thompson missed Three Point Jumper.,18,14
4:10,2535,Alex Peters Offensive Rebound.,18,14
4:06,2535,Christen Cunningham missed Three Point Jumper.,18,14
4:06,2097,Damontez Oliver Defensive Rebound.,18,14
4:04,2535,Foul on Alex Thompson.,18,14
3:39,2097,Damontez Oliver missed Jumper.,18,14
3:39,2097,Mogga Lado Offensive Rebound.,18,14
3:37,2535,Foul on Demetrius Denzel-Dyson.,18,14
3:37,2097,Official TV Timeout,18,14
3:35,2097,Mogga Lado missed Free Throw.,18,14
3:35,2097,Khadre Lane Offensive Rebound.,18,14
3:32,2097,Khadre Lane missed Layup.,18,14
3:32,2535,Justin Hopkins Block.,18,14
3:31,2097,Khadre Lane Offensive Rebound.,18,14
3:28,2097,Khadre Lane made Layup.,18,16
3:13,2535,Josh Sharkey missed Layup.,18,16
3:13,2097,Chris Clemons Block.,18,16
3:13,2535,Samford Offensive Rebound.,18,16
3:03,2535,Christen Cunningham made Layup.,20,16
2:57,2535,Foul on Josh Sharkey.,20,16
2:57,2097,Chris Clemons made Free Throw.,20,17
2:57,2097,Chris Clemons made Free Throw.,20,18
2:57,2097,Foul on Quinton Ray.,20,18
2:57,2535,Christen Cunningham made Free Throw.,21,18
2:57,2535,Christen Cunningham made Free Throw.,22,18
2:38,2097,Cory Gensler missed Jumper.,22,18
2:38,2535,Wyatt Walker Defensive Rebound.,22,18
2:28,2097,Foul on Mogga Lado.,22,18
2:28,2535,Christen Cunningham made Free Throw.,23,18
2:28,2535,Christen Cunningham made Free Throw.,24,18
2:21,2097,Quinton Ray Turnover.,24,18
2:19,2535,Wyatt Walker Steal.,24,18
2:17,2535,Demetrius Denzel-Dyson missed Three Point Jumper.,24,18
2:17,2535,Justin Hopkins Offensive Rebound.,24,18
2:06,2535,Triston Chambers made Three Point Jumper.,27,18
1:35,2097,Khadre Lane missed Jumper.,27,18
1:35,2535,Wyatt Walker Defensive Rebound.,27,18
1:26,2535,Demetrius Denzel-Dyson made Jumper.,29,18
1:25,2097,Foul on Cory Gensler.,29,18
1:25,2535,Demetrius Denzel-Dyson missed Free Throw.,29,18
1:25,2097,Austin Burnette Defensive Rebound.,29,18
1:12,2097,Austin Burnette missed Jumper.,29,18
1:12,2535,Eric Adams Defensive Rebound.,29,18
0:55,2535,Demetrius Denzel-Dyson Turnover.,29,18
0:53,2097,Damontez Oliver Steal.,29,18
0:51,2097,Foul on Damontez Oliver.,29,18
0:51,2097,Damontez Oliver Turnover.,29,18
0:36,2535,Demetrius Denzel-Dyson missed Layup.,29,18
0:36,2535,Eric Adams Offensive Rebound.,29,18
0:33,2535,Eric Adams missed Layup.,29,18
0:33,2097,Austin Burnette Defensive Rebound.,29,18
0:10,2097,Khadre Lane Turnover.,29,18
0:06,2535,Christen Cunningham Steal.,29,18
0:00,2097,End of 1st half,29,18
19:47,2535,Demetrius Denzel-Dyson missed Three Point Jumper.,29,18
19:47,2097,Cory Gensler Defensive Rebound.,29,18
19:26,2097,Cory Gensler missed Three Point Jumper.,29,18
19:26,2535,Demetrius Denzel-Dyson Defensive Rebound.,29,18
19:11,2097,Foul on Andrew Eudy.,29,18
19:11,2535,Wyatt Walker missed Free Throw.,29,18
19:11,2535,Samford Deadball Team Rebound.,29,18
19:11,2535,Wyatt Walker made Free Throw.,30,18
19:03,2535,Foul on Triston Chambers.,30,18
18:50,2097,Damontez Oliver made Three Point Jumper. Assisted by Shane Whitfield.,30,21
18:27,2535,Christen Cunningham made Layup.,32,21
18:14,2097,Chris Clemons made Three Point Jumper. Assisted by Mogga Lado.,32,24
17:53,2535,Triston Chambers missed Three Point Jumper.,32,24
17:53,2097,Damontez Oliver Defensive Rebound.,32,24
17:29,2535,Foul on Alex Thompson.,32,24
17:23,2535,Foul on Triston Chambers.,32,24
17:08,2097,Shane Whitfield missed Layup.,32,24
17:08,2097,Mogga Lado Offensive Rebound.,32,24
16:58,2097,Chris Clemons missed Three Point Jumper.,32,24
16:58,2535,Justin Hopkins Defensive Rebound.,32,24
16:43,2535,Gerald Smith missed Three Point Jumper.,32,24
16:43,2097,Shane Whitfield Defensive Rebound.,32,24
16:35,2097,Chris Clemons made Three Point Jumper. Assisted by Cory Gensler.,32,27
16:28,2535,Samford  Timeout,32,27
16:05,2535,Josh Sharkey missed Jumper.,32,27
16:05,2535,Wyatt Walker Offensive Rebound.,32,27
16:03,2535,Wyatt Walker made Layup.,34,27
15:46,2097,Cory Gensler missed Three Point Jumper.,34,27
15:46,2535,Justin Hopkins Defensive Rebound.,34,27
15:34,2097,Official TV Timeout,34,27
15:33,2535,Demetrius Denzel-Dyson Turnover.,34,27
15:33,2097,Chris Clemons Steal.,34,27
15:00,2535,Wyatt Walker missed Layup.,34,27
14:59,2097,Damontez Oliver Block.,34,27
14:58,2097,Shane Whitfield Defensive Rebound.,34,27
14:50,2097,Mogga Lado made Layup. Assisted by Shane Whitfield.,34,29
14:23,2097,Foul on Damontez Oliver.,34,29
14:10,2535,Wyatt Walker Turnover.,34,29
13:40,2097,Cory Gensler missed Jumper.,34,29
13:40,2535,Wyatt Walker Defensive Rebound.,34,29
13:27,2535,Josh Sharkey made Layup.,36,29
13:13,2097,Chris Clemons made Layup. Assisted by Shane Whitfield.,36,31
12:48,2535,Justin Hopkins Turnover.,36,31
12:37,2097,Marcus Burk made Three Point Jumper. Assisted by Chris Clemons.,36,34
12:12,2535,Josh Sharkey made Three Point Jumper.,39,34
12:01,2097,Cory Gensler missed Three Point Jumper.,39,34
12:01,2535,Demetrius Denzel-Dyson Defensive Rebound.,39,34
11:53,2535,Christen Cunningham missed Jumper.,39,34
11:53,2535,Eric Adams Offensive Rebound.,39,34
11:50,2535,Eric Adams made Two Point Tip Shot.,41,34
11:32,2097,Mogga Lado missed Dunk.,41,34
11:32,2535,Eric Adams Block.,41,34
11:30,2535,Josh Sharkey Defensive Rebound.,41,34
11:25,2535,Demetrius Denzel-Dyson missed Three Point Jumper.,41,34
11:25,2535,Justin Hopkins Offensive Rebound.,41,34
11:15,2535,Christen Cunningham missed Jumper.,41,34
11:15,2097,Mogga Lado Defensive Rebound.,41,34
11:06,2097,Campbell  Timeout,41,34
11:06,2097,Official TV Timeout,41,34
10:43,2097,Shane Whitfield made Layup. Assisted by Chris Clemons.,41,36
10:28,2097,Foul on Marcus Burk.,41,36
10:18,2535,Demetrius Denzel-Dyson missed Three Point Jumper.,41,36
10:18,2097,Shane Whitfield Defensive Rebound.,41,36
10:03,2097,Mogga Lado Turnover.,41,36
10:00,2535,Josh Sharkey Steal.,41,36
9:58,2535,Christen Cunningham missed Three Point Jumper.,41,36
9:58,2535,Justin Hopkins Offensive Rebound.,41,36
9:54,2535,Justin Hopkins made Layup.,43,36
9:43,2097,Damontez Oliver missed Three Point Jumper.,43,36
9:43,2097,Mogga Lado Offensive Rebound.,43,36
9:38,2535,Foul on Demetrius Denzel-Dyson.,43,36
9:38,2097,Mogga Lado missed Free Throw.,43,36
9:38,2097,Campbell Deadball Team Rebound.,43,36
9:38,2097,Mogga Lado missed Free Throw.,43,36
9:38,2535,Wyatt Walker Defensive Rebound.,43,36
9:24,2097,Foul on Marcus Burk.,43,36
9:08,2535,Wyatt Walker missed Layup.,43,36
9:08,2097,Chris Clemons Block.,43,36
9:06,2535,Alex Thompson Offensive Rebound.,43,36
9:06,2535,Alex Thompson missed Layup.,43,36
9:06,2097,Andrew Eudy Block.,43,36
9:06,2535,Samford Offensive Rebound.,43,36
9:06,2097,Foul on Shane Whitfield.,43,36
9:02,2097,Foul on Chris Clemons.,43,36
9:02,2535,Justin Hopkins made Free Throw.,44,36
9:02,2535,Justin Hopkins made Free Throw.,45,36
8:52,2097,Shane Whitfield made Dunk. Assisted by Chris Clemons.,45,38
8:31,2097,Foul on Andrew Eudy.,45,38
8:31,2535,Wyatt Walker made Free Throw.,46,38
8:31,2535,Wyatt Walker made Free Throw.,47,38
8:11,2097,Shane Whitfield missed Jumper.,47,38
8:11,2535,Alex Thompson Defensive Rebound.,47,38
7:56,2535,Wyatt Walker made Layup.,49,38
7:41,2097,Marcus Burk missed Three Point Jumper.,49,38
7:41,2535,Wyatt Walker Defensive Rebound.,49,38
7:31,2535,Justin Hopkins missed Layup.,49,38
7:31,2535,Christen Cunningham Offensive Rebound.,49,38
7:26,2535,Alex Thompson made Jumper. Assisted by Triston Chambers.,51,38
7:04,2097,Marcus Burk made Three Point Jumper. Assisted by Shane Whitfield.,51,41
6:39,2535,Christen Cunningham missed Layup.,51,41
6:39,2535,Wyatt Walker Offensive Rebound.,51,41
6:36,2097,Foul on Mogga Lado.,51,41
6:36,2097,Official TV Timeout,51,41
6:36,2535,Wyatt Walker made Free Throw.,52,41
6:36,2535,Wyatt Walker made Free Throw.,53,41
6:20,2097,Chris Clemons missed Three Point Jumper.,53,41
6:20,2535,Wyatt Walker Defensive Rebound.,53,41
5:57,2535,Alex Thompson made Layup. Assisted by Christen Cunningham.,55,41
5:37,2097,Chris Clemons missed Three Point Jumper.,55,41
5:37,2535,Triston Chambers Defensive Rebound.,55,41
5:14,2535,Christen Cunningham made Jumper.,57,41
4:52,2535,Foul on Demetrius Denzel-Dyson.,57,41
4:43,2097,Marcus Burk made Layup.,57,43
4:21,2535,Alex Thompson Turnover.,57,43
4:19,2097,Chris Clemons Steal.,57,43
4:15,2535,Foul on Christen Cunningham.,57,43
4:15,2535,Technical Foul on Christen Cunningham.,57,43
4:15,2535,Foul on Christen Cunningham.,57,43
4:15,2097,Chris Clemons made Free Throw.,57,44
4:15,2097,Chris Clemons made Free Throw.,57,45
4:15,2097,Chris Clemons made Free Throw.,57,46
4:15,2097,Chris Clemons made Free Throw.,57,47
4:06,2097,Shane Whitfield Turnover.,57,47
4:05,2535,Josh Sharkey Steal.,57,47
3:53,2535,Wyatt Walker made Layup.,59,47
3:31,2097,Chris Clemons missed Three Point Jumper.,59,47
3:31,2097,Mogga Lado Offensive Rebound.,59,47
3:26,2097,Official TV Timeout,59,47
3:06,2097,Chris Clemons made Layup.,59,49
2:48,2535,Demetrius Denzel-Dyson made Layup.,61,49
2:33,2097,Marcus Burk made Jumper. Assisted by Damontez Oliver.,61,51
2:26,2097,Foul on Chris Clemons.,61,51
2:26,2535,Josh Sharkey missed Free Throw.,61,51
2:26,2097,Shane Whitfield Defensive Rebound.,61,51
1:58,2097,Damontez Oliver made Jumper.,61,53
1:55,2097,Campbell  Timeout,61,53
1:38,2097,Foul on Marcus Burk.,61,53
1:38,2535,Josh Sharkey made Free Throw.,62,53
1:38,2535,Josh Sharkey made Free Throw.,63,53
1:28,2097,Cory Gensler missed Three Point Jumper.,63,53
1:28,2535,Wyatt Walker Defensive Rebound.,63,53
1:24,2097,Foul on Damontez Oliver.,63,53
1:24,2535,Wyatt Walker missed Free Throw.,63,53
1:24,2535,Samford Deadball Team Rebound.,63,53
1:24,2535,Wyatt Walker made Free Throw.,64,53
1:11,2097,Chris Clemons missed Three Point Jumper.,64,53
1:11,2535,Demetrius Denzel-Dyson Defensive Rebound.,64,53
0:49,2097,Foul on Shane Whitfield.,64,53
0:49,2535,Alex Thompson made Free Throw.,65,53
0:49,2535,Alex Thompson made Free Throw.,66,53
0:43,2535,Josh Sharkey missed Layup.,66,53
0:43,2097,Marcus Burk Block.,66,53
0:38,2097,Marcus Burk Defensive Rebound.,66,53
0:38,2097,Marcus Burk missed Three Point Jumper.,66,53
0:38,2535,Samford Defensive Rebound.,66,53
0:33,2535,Josh Sharkey Turnover.,66,53
0:32,2097,Marcus Burk Steal.,66,53
0:30,2097,Chris Clemons missed Three Point Jumper.,66,53
0:30,2535,Demetrius Denzel-Dyson Defensive Rebound.,66,53
0:00,2097,End of Game,66,53
