Texas,77,Northwestern,251
2:08,77,Dererk Pardon missed Free Throw.,26,31
2:08,251,Shaquille Cleare Defensive Rebound.,26,31
1:40,251,Andrew Jones missed Jumper.,26,31
1:40,77,Dererk Pardon Block.,26,31
1:40,251,Texas Offensive Rebound.,26,31
1:40,251,Eric Davis Jr. missed Three Point Jumper.,26,31
1:40,77,Northwestern Deadball Team Rebound.,26,31
1:16,77,Bryant McIntosh missed Three Point Jumper.,26,31
1:16,251,Shaquille Cleare Defensive Rebound.,26,31
1:09,251,Andrew Jones Turnover.,26,31
0:48,77,Bryant McIntosh missed Three Point Jumper.,26,31
0:48,251,James Banks Defensive Rebound.,26,31
0:39,251,Andrew Jones missed Three Point Jumper.,26,31
0:39,77,Gavin Skelly Defensive Rebound.,26,31
0:34,77,Northwestern  Timeout,26,31
0:12,77,Scottie Lindsey made Three Point Jumper. Assisted by Bryant McIntosh.,26,34
0:03,251,Eric Davis Jr. missed Layup.,26,34
0:03,77,Nathan Taphorn Defensive Rebound.,26,34
0:00,77,End of 1st half,26,34
20:00,251,Jump Ball won by Texas,26,34
19:38,77,Foul on Dererk Pardon.,26,34
19:21,251,Kerwin Roach Jr. missed Three Point Jumper.,26,34
19:21,77,Vic Law Defensive Rebound.,26,34
18:51,77,Bryant McIntosh made Layup.,26,36
18:14,251,Texas  Turnover.,26,36
18:13,77,Scottie Lindsey Turnover.,26,36
18:13,251,Eric Davis Jr. Steal.,26,36
18:11,251,Jarrett Allen missed Dunk.,26,36
18:10,251,Jarrett Allen Offensive Rebound.,26,36
18:09,77,Foul on Vic Law.,26,36
18:09,251,Jarrett Allen made Free Throw.,27,36
18:09,251,Jarrett Allen missed Free Throw.,27,36
18:09,251,Kendal Yancy Offensive Rebound.,27,36
18:03,251,Eric Davis Jr. missed Three Point Jumper.,27,36
18:03,77,Scottie Lindsey Defensive Rebound.,27,36
17:55,77,Sanjay Lumpkin made Three Point Jumper. Assisted by Bryant McIntosh.,27,39
17:32,251,Jarrett Allen missed Jumper.,27,39
17:32,251,Shaquille Cleare Offensive Rebound.,27,39
17:32,251,Shaquille Cleare missed Two Point Tip Shot.,27,39
17:32,77,Nathan Taphorn Defensive Rebound.,27,39
17:25,77,Sanjay Lumpkin made Layup. Assisted by Bryant McIntosh.,27,41
17:01,251,Shaquille Cleare missed Jumper.,27,41
17:01,77,Bryant McIntosh Defensive Rebound.,27,41
16:49,77,Scottie Lindsey made Three Point Jumper. Assisted by Sanjay Lumpkin.,27,44
16:46,251,Texas  Timeout,27,44
16:34,251,Kendal Yancy made Layup.,29,44
16:34,77,Foul on Dererk Pardon.,29,44
16:34,251,Kendal Yancy missed Free Throw.,29,44
16:34,77,Sanjay Lumpkin Defensive Rebound.,29,44
16:15,251,Foul on Eric Davis Jr..,29,44
16:04,251,Foul on Kendal Yancy.,29,44
16:03,251,Foul on Tevin Mack.,29,44
16:03,77,Nathan Taphorn missed Three Point Jumper.,29,44
16:03,251,Kerwin Roach Jr. Defensive Rebound.,29,44
16:03,251,Kerwin Roach Jr. missed Three Point Jumper.,29,44
16:03,77,Scottie Lindsey Defensive Rebound.,29,44
15:55,77,Bryant McIntosh missed Three Point Jumper.,29,44
15:55,251,Eric Davis Jr. Defensive Rebound.,29,44
15:42,77,Foul on Barret Benson.,29,44
15:20,77,Official TV Timeout,29,44
15:20,251,Kerwin Roach Jr. made Free Throw.,30,44
15:20,251,Kerwin Roach Jr. missed Free Throw.,30,44
15:20,77,Northwestern Defensive Rebound.,30,44
15:11,251,Foul on Kerwin Roach Jr..,30,44
14:56,77,Isiah Brown made Layup.,30,46
14:45,251,Andrew Jones missed Jumper.,30,46
14:45,77,Nathan Taphorn Defensive Rebound.,30,46
14:27,77,Isiah Brown missed Three Point Jumper.,30,46
14:27,251,Texas Defensive Rebound.,30,46
14:09,251,Jarrett Allen made Layup.,32,46
14:00,251,Foul on James Banks.,32,46
14:00,77,Gavin Skelly made Free Throw.,32,47
14:00,77,Gavin Skelly made Free Throw.,32,48
13:56,77,Foul on Gavin Skelly.,32,48
13:48,77,Foul on Gavin Skelly.,32,48
13:41,251,Jarrett Allen Turnover.,32,48
13:23,77,Foul on Vic Law.,32,48
13:23,77,Vic Law Turnover.,32,48
13:09,77,Foul on Gavin Skelly.,32,48
13:03,251,Jarrett Allen missed Free Throw.,32,48
13:03,251,Texas Offensive Rebound.,32,48
12:59,251,Andrew Jones made Layup.,34,48
12:44,77,Isiah Brown missed Jumper.,34,48
12:44,77,Dererk Pardon Offensive Rebound.,34,48
12:24,77,Bryant McIntosh made Layup.,34,50
12:13,251,Andrew Jones made Jumper.,36,50
11:58,77,Dererk Pardon missed Layup.,36,50
11:58,77,Isiah Brown Offensive Rebound.,36,50
11:58,77,Jump Ball won by Northwestern,36,50
11:54,77,Official TV Timeout,36,50
11:54,251,Foul on James Banks.,36,50
11:54,251,Technical Foul on James Banks (Banks ejected).,36,50
11:54,77,Bryant McIntosh made Free Throw.,36,51
11:54,77,Bryant McIntosh made Free Throw.,36,52
11:43,251,Foul on Andrew Jones.,36,52
11:43,77,Bryant McIntosh made Free Throw.,36,53
11:43,77,Bryant McIntosh made Free Throw.,36,54
11:16,77,Foul on Bryant McIntosh.,36,54
11:16,251,Tevin Mack made Free Throw.,37,54
11:16,251,Tevin Mack missed Free Throw.,37,54
11:16,251,Texas Deadball Team Rebound.,37,54
11:16,251,Tevin Mack made Free Throw.,38,54
11:15,77,Sanjay Lumpkin Turnover.,38,54
11:15,251,Tevin Mack Steal.,38,54
11:10,77,Foul on Sanjay Lumpkin.,38,54
11:10,251,Tevin Mack made Free Throw.,39,54
11:10,251,Tevin Mack made Free Throw.,40,54
10:45,77,Bryant McIntosh missed Layup.,40,54
10:45,251,Shaquille Cleare Block.,40,54
10:45,77,Dererk Pardon Offensive Rebound.,40,54
10:45,77,Dererk Pardon made Two Point Tip Shot.,40,56
10:18,251,Jarrett Allen Turnover.,40,56
10:18,77,Bryant McIntosh Steal.,40,56
10:11,77,Isiah Brown Turnover.,40,56
9:46,251,Jarrett Allen missed Jumper.,40,56
9:46,77,Sanjay Lumpkin Defensive Rebound.,40,56
9:27,77,Isiah Brown made Three Point Jumper. Assisted by Scottie Lindsey.,40,59
9:00,251,Kerwin Roach Jr. missed Jumper.,40,59
9:00,77,Dererk Pardon Block.,40,59
9:00,251,Jarrett Allen Offensive Rebound.,40,59
8:52,251,Tevin Mack missed Jumper.,40,59
8:52,77,Dererk Pardon Defensive Rebound.,40,59
8:28,77,Bryant McIntosh missed Jumper.,40,59
8:28,251,Kerwin Roach Jr. Block.,40,59
8:28,251,Kerwin Roach Jr. Defensive Rebound.,40,59
8:23,77,Foul on Isiah Brown.,40,59
8:23,251,Andrew Jones made Free Throw.,41,59
8:23,251,Andrew Jones made Free Throw.,42,59
8:04,77,Isiah Brown made Layup.,42,61
7:43,251,Jacob Young missed Three Point Jumper.,42,61
7:43,77,Vic Law Defensive Rebound.,42,61
7:25,77,Isiah Brown missed Jumper.,42,61
7:25,251,Tevin Mack Defensive Rebound.,42,61
7:16,251,Tevin Mack made Jumper.,44,61
6:46,251,Foul on Shaquille Cleare.,44,61
6:46,77,Official TV Timeout,44,61
6:46,77,Dererk Pardon missed Free Throw.,44,61
6:46,77,Northwestern Deadball Team Rebound.,44,61
6:46,77,Dererk Pardon missed Free Throw.,44,61
6:46,251,Kendal Yancy Defensive Rebound.,44,61
6:23,251,Kendal Yancy Turnover.,44,61
6:23,251,Foul on Kendal Yancy.,44,61
6:23,77,Dererk Pardon made Free Throw.,44,62
6:23,77,Dererk Pardon made Free Throw.,44,63
6:08,251,Jacob Young made Three Point Jumper. Assisted by Jarrett Allen.,47,63
5:35,77,Vic Law missed Three Point Jumper.,47,63
5:35,77,Dererk Pardon Offensive Rebound.,47,63
5:31,77,Dererk Pardon made Dunk.,47,65
5:21,251,Eric Davis Jr. made Jumper.,49,65
4:50,77,Bryant McIntosh made Jumper.,49,67
4:39,251,Texas  Timeout,49,67
4:25,251,Shaquille Cleare made Jumper.,51,67
3:50,77,Bryant McIntosh missed Three Point Jumper.,51,67
3:50,251,Shaquille Cleare Defensive Rebound.,51,67
3:27,251,Shaquille Cleare missed Jumper.,51,67
3:27,251,Tevin Mack Offensive Rebound.,51,67
3:27,251,Tevin Mack missed Layup.,51,67
3:27,251,Tevin Mack Offensive Rebound.,51,67
3:27,251,Tevin Mack made Layup.,53,67
3:27,77,Foul on Sanjay Lumpkin.,53,67
3:27,77,Official TV Timeout,53,67
3:27,251,Tevin Mack missed Free Throw.,53,67
3:27,77,Sanjay Lumpkin Defensive Rebound.,53,67
3:20,77,Northwestern  Timeout,53,67
2:59,251,Foul on Kendal Yancy.,53,67
2:59,77,Vic Law made Free Throw.,53,68
2:59,77,Vic Law made Free Throw.,53,69
2:39,251,Kendal Yancy made Three Point Jumper. Assisted by Eric Davis Jr..,56,69
2:03,77,Isiah Brown made Three Point Jumper. Assisted by Dererk Pardon.,56,72
1:49,77,Foul on Isiah Brown.,56,72
1:49,251,Kerwin Roach Jr. missed Free Throw.,56,72
1:49,251,Texas Deadball Team Rebound.,56,72
1:49,251,Kerwin Roach Jr. made Free Throw.,57,72
1:21,77,Vic Law made Three Point Jumper. Assisted by Isiah Brown.,57,75
1:01,251,Kendal Yancy missed Three Point Jumper.,57,75
1:01,77,Dererk Pardon Defensive Rebound.,57,75
0:37,77,Bryant McIntosh made Layup.,57,77
0:21,77,Foul on Dererk Pardon.,57,77
0:21,251,Eric Davis Jr. made Free Throw.,58,77
0:21,251,Eric Davis Jr. missed Free Throw.,58,77
0:21,77,Gavin Skelly Defensive Rebound.,58,77
0:01,251,Technical Foul on Tevin Mack.,58,77
0:01,251,Foul on Tevin Mack.,58,77
0:01,77,Technical Foul on Vic Law.,58,77
0:01,77,Foul on Vic Law.,58,77
0:00,77,End of Game,58,77
