UT Martin,2099,Canisius,2630
11:27,2630,Fatodd Lewis missed Three Point Jumper.,13,20
11:27,2099,Isaiah Reese Defensive Rebound.,13,20
11:15,2099,Isaiah Reese missed Jumper.,13,20
11:15,2630,Fatodd Lewis Defensive Rebound.,13,20
11:11,2630,Jacolby Mobley missed Three Point Jumper.,13,20
11:11,2099,Isaiah Reese Defensive Rebound.,13,20
10:48,2099,Jibreel Faulkner made Layup. Assisted by Isaiah Reese.,13,22
10:24,2630,Fatodd Lewis missed Jumper.,13,22
10:24,2630,Javier Martinez Offensive Rebound.,13,22
10:18,2630,Fatodd Lewis Turnover.,13,22
10:18,2630,Foul on Fatodd Lewis.,13,22
10:07,2099,Martin Dixon-Green missed Three Point Jumper.,13,22
10:07,2630,Kedar Edwards Defensive Rebound.,13,22
10:02,2630,Kedar Edwards Turnover.,13,22
10:01,2099,Chris Atkinson Steal.,13,22
9:56,2630,Foul on Kahari Beaufort.,13,22
9:39,2099,Spencer Foley missed Three Point Jumper.,13,22
9:39,2630,Javier Martinez Defensive Rebound.,13,22
9:25,2630,Kedar Edwards Turnover.,13,22
9:24,2099,Jermaine Crumpton Steal.,13,22
9:21,2099,Phil Valenti made Layup. Assisted by Chris Atkinson.,13,24
9:14,2630,UT Martin  Timeout,13,24
8:56,2630,Jacolby Mobley missed Three Point Jumper.,13,24
8:56,2099,Phil Valenti Defensive Rebound.,13,24
8:31,2099,Chris Atkinson missed Three Point Jumper.,13,24
8:31,2630,Kedar Edwards Defensive Rebound.,13,24
8:21,2630,Javier Martinez made Layup. Assisted by Kedar Edwards.,15,24
8:21,2099,Foul on Spencer Foley.,15,24
8:21,2630,Javier Martinez missed Free Throw.,15,24
8:21,2099,Jermaine Crumpton Defensive Rebound.,15,24
8:13,2099,Jermaine Crumpton made Jumper. Assisted by Spencer Foley.,15,26
7:45,2630,Matthew Butler made Jumper. Assisted by Chandler Rowe.,17,26
7:27,2099,Jermaine Crumpton missed Jumper.,17,26
7:27,2099,Canisius Offensive Rebound.,17,26
7:22,2099,Official TV Timeout,17,26
7:00,2099,Phil Valenti missed Three Point Jumper.,17,26
7:00,2099,Jermaine Crumpton Offensive Rebound.,17,26
6:58,2099,Jermaine Crumpton made Layup.,17,28
6:38,2630,Jacolby Mobley Turnover.,17,28
6:19,2099,Kiefer Douse Turnover.,17,28
6:07,2099,Foul on Spencer Foley.,17,28
6:07,2630,Kedar Edwards made Free Throw.,18,28
6:07,2630,Kedar Edwards made Free Throw.,19,28
5:49,2099,Phil Valenti missed Three Point Jumper.,19,28
5:49,2630,Dante Bailey Defensive Rebound.,19,28
5:29,2630,Matthew Butler Turnover.,19,28
5:11,2099,Malik Johnson Turnover.,19,28
5:03,2630,Dante Bailey Turnover.,19,28
5:02,2099,Jermaine Crumpton Steal.,19,28
4:59,2099,Jermaine Crumpton made Dunk.,19,30
4:38,2630,Dante Bailey missed Three Point Jumper.,19,30
4:38,2099,Kiefer Douse Defensive Rebound.,19,30
4:29,2099,Spencer Foley missed Three Point Jumper.,19,30
4:29,2630,Jacolby Mobley Defensive Rebound.,19,30
4:23,2630,Kedar Edwards made Dunk. Assisted by Jacolby Mobley.,21,30
4:07,2099,Jermaine Crumpton missed Three Point Jumper.,21,30
4:07,2630,UT Martin Defensive Rebound.,21,30
4:07,2630,Matthew Butler made Jumper.,23,30
4:02,2099,Malik Johnson missed Three Point Jumper.,23,30
4:02,2630,Matthew Butler Defensive Rebound.,23,30
3:30,2099,Official TV Timeout,23,30
3:30,2099,Foul on Spencer Foley.,23,30
3:24,2630,Kedar Edwards made Layup. Assisted by Fatodd Lewis.,25,30
2:59,2099,Jibreel Faulkner missed Three Point Jumper.,25,30
2:59,2630,Jacolby Mobley Defensive Rebound.,25,30
2:52,2630,Kedar Edwards Turnover.,25,30
2:41,2099,Jibreel Faulkner missed Layup.,25,30
2:41,2630,Javier Martinez Defensive Rebound.,25,30
2:32,2099,Foul on Jibreel Faulkner.,25,30
2:32,2630,Jacolby Mobley made Free Throw.,26,30
2:32,2630,Jacolby Mobley made Free Throw.,27,30
2:11,2099,Malik Johnson Turnover.,27,30
1:48,2630,Kedar Edwards missed Jumper.,27,30
1:48,2099,Canisius Defensive Rebound.,27,30
1:48,2630,Foul on Fatodd Lewis.,27,30
1:47,2099,Malik Johnson made Free Throw.,27,31
1:47,2099,Malik Johnson made Free Throw.,27,32
1:38,2630,Jalen Jackson Turnover.,27,32
1:38,2099,Jermaine Crumpton Steal.,27,32
1:38,2630,Foul on Jalen Jackson.,27,32
1:38,2099,Jermaine Crumpton made Free Throw.,27,33
1:38,2099,Jermaine Crumpton missed Free Throw.,27,33
1:38,2099,Malik Johnson Offensive Rebound.,27,33
1:24,2099,Malik Johnson missed Three Point Jumper.,27,33
1:24,2630,Javier Martinez Defensive Rebound.,27,33
1:17,2630,Javier Martinez made Layup. Assisted by Matthew Butler.,29,33
1:15,2099,Foul on Kiefer Douse.,29,33
1:15,2630,Javier Martinez made Free Throw.,30,33
1:00,2099,Kiefer Douse made Three Point Jumper. Assisted by Jermaine Crumpton.,30,36
0:47,2630,Dante Bailey made Layup.,32,36
0:43,2099,Canisius  Timeout,32,36
0:19,2099,Phil Valenti missed Three Point Jumper.,32,36
0:19,2630,UT Martin Defensive Rebound.,32,36
0:05,2630,Dante Bailey missed Three Point Jumper.,32,36
0:05,2099,Canisius Defensive Rebound.,32,36
0:00,2099,End of 1st half,32,36
19:41,2630,Jacolby Mobley made Layup.,34,36
19:20,2099,Kassius Robertson missed Three Point Jumper.,34,36
19:20,2630,Kedar Edwards Defensive Rebound.,34,36
19:03,2630,Kedar Edwards made Jumper.,36,36
18:44,2630,Foul on Fatodd Lewis.,36,36
18:44,2099,Phil Valenti made Free Throw.,36,37
18:44,2099,Phil Valenti made Free Throw.,36,38
18:28,2630,Jacolby Mobley missed Three Point Jumper.,36,38
18:28,2099,Malik Johnson Defensive Rebound.,36,38
18:23,2099,Kiefer Douse made Layup. Assisted by Malik Johnson.,36,40
18:14,2630,Kedar Edwards missed Jumper.,36,40
18:14,2630,Javier Martinez Offensive Rebound.,36,40
18:11,2630,Javier Martinez missed Layup.,36,40
18:11,2630,Javier Martinez Offensive Rebound.,36,40
18:09,2630,Javier Martinez made Layup.,38,40
17:55,2099,Kassius Robertson missed Three Point Jumper.,38,40
17:55,2630,Javier Martinez Defensive Rebound.,38,40
17:39,2630,Matthew Butler missed Three Point Jumper.,38,40
17:39,2099,Malik Johnson Defensive Rebound.,38,40
17:30,2099,Phil Valenti Turnover.,38,40
17:11,2099,Foul on Kiefer Douse.,38,40
17:11,2630,Javier Martinez made Free Throw.,39,40
17:11,2630,Javier Martinez made Free Throw.,40,40
16:49,2099,Kassius Robertson made Jumper.,40,42
16:27,2630,Chandler Rowe Turnover.,40,42
16:13,2099,Jermaine Crumpton made Jumper.,40,44
15:58,2630,Jacolby Mobley made Three Point Jumper. Assisted by Matthew Butler.,43,44
15:47,2099,Kiefer Douse Turnover.,43,44
15:45,2630,Kedar Edwards Steal.,43,44
15:40,2630,Jacolby Mobley missed Three Point Jumper.,43,44
15:40,2630,Chandler Rowe Offensive Rebound.,43,44
15:39,2630,Chandler Rowe made Layup.,45,44
15:24,2099,Jermaine Crumpton made Layup. Assisted by Phil Valenti.,45,46
14:59,2630,Matthew Butler made Jumper.,47,46
14:33,2099,Malik Johnson missed Layup.,47,46
14:33,2630,Chandler Rowe Defensive Rebound.,47,46
14:25,2630,Javier Martinez made Layup. Assisted by Kedar Edwards.,49,46
14:06,2099,Phil Valenti made Layup. Assisted by Jermaine Crumpton.,49,48
13:49,2630,Javier Martinez missed Layup.,49,48
13:49,2099,Phil Valenti Defensive Rebound.,49,48
13:44,2099,Kiefer Douse made Free Throw.,49,49
13:44,2630,Foul on Jacolby Mobley.,49,49
13:44,2099,Official TV Timeout,49,49
13:44,2099,Kiefer Douse missed Free Throw.,49,49
13:44,2630,Malik London Defensive Rebound.,49,49
13:34,2630,Kedar Edwards missed Three Point Jumper.,49,49
13:34,2099,Kiefer Douse Defensive Rebound.,49,49
13:25,2099,Phil Valenti Turnover.,49,49
13:24,2630,Matthew Butler Steal.,49,49
13:18,2630,Matthew Butler Turnover.,49,49
13:18,2099,Isaiah Reese Steal.,49,49
12:56,2630,Foul on Chandler Rowe.,49,49
12:51,2099,Kassius Robertson missed Three Point Jumper.,49,49
12:51,2630,Malik London Defensive Rebound.,49,49
12:28,2630,Jacolby Mobley missed Three Point Jumper.,49,49
12:28,2630,Chandler Rowe Offensive Rebound.,49,49
12:01,2630,Matthew Butler made Three Point Jumper. Assisted by Chandler Rowe.,52,49
11:47,2099,Isaiah Reese Turnover.,52,49
11:46,2630,Chandler Rowe Steal.,52,49
11:44,2630,Kedar Edwards made Layup. Assisted by Chandler Rowe.,54,49
11:24,2630,Foul on Chandler Rowe.,54,49
11:24,2099,Official TV Timeout,54,49
11:01,2099,Kassius Robertson missed Three Point Jumper.,54,49
11:01,2630,Malik London Defensive Rebound.,54,49
10:34,2630,Jacolby Mobley made Three Point Jumper. Assisted by Matthew Butler.,57,49
10:19,2630,Foul on Malik London.,57,49
10:19,2099,Jermaine Crumpton made Free Throw.,57,50
10:19,2099,Jermaine Crumpton missed Free Throw.,57,50
10:19,2630,Matthew Butler Defensive Rebound.,57,50
10:02,2630,Malik London made Dunk. Assisted by Kedar Edwards.,59,50
9:51,2099,Canisius  Timeout,59,50
9:26,2099,Chris Atkinson made Three Point Jumper. Assisted by Kassius Robertson.,59,53
8:57,2630,Malik London made Dunk. Assisted by Kedar Edwards.,61,53
8:30,2099,Phil Valenti missed Layup.,61,53
8:30,2099,Martin Dixon-Green Offensive Rebound.,61,53
8:28,2099,Phil Valenti made Layup. Assisted by Martin Dixon-Green.,61,55
8:28,2630,Foul on Malik London.,61,55
8:28,2099,Phil Valenti made Free Throw.,61,56
8:12,2630,Malik London made Layup. Assisted by Chandler Rowe.,63,56
8:12,2099,Foul on Kassius Robertson.,63,56
8:12,2630,Malik London made Free Throw.,64,56
7:50,2099,Phil Valenti missed Three Point Jumper.,64,56
7:50,2099,Canisius Offensive Rebound.,64,56
7:48,2099,Official TV Timeout,64,56
7:24,2099,Chris Atkinson Turnover.,64,56
7:23,2630,Jacolby Mobley Steal.,64,56
7:20,2630,Matthew Butler made Layup. Assisted by Jacolby Mobley.,66,56
6:55,2099,Martin Dixon-Green missed Layup.,66,56
6:55,2630,Malik London Defensive Rebound.,66,56
6:31,2630,Jacolby Mobley missed Jumper.,66,56
6:31,2630,Chandler Rowe Offensive Rebound.,66,56
6:28,2630,Chandler Rowe missed Two Point Tip Shot.,66,56
6:28,2099,Chris Atkinson Defensive Rebound.,66,56
6:21,2099,Kassius Robertson made Three Point Jumper. Assisted by Martin Dixon-Green.,66,59
5:58,2099,Foul on Martin Dixon-Green.,66,59
5:47,2630,Matthew Butler missed Three Point Jumper.,66,59
5:47,2630,UT Martin Offensive Rebound.,66,59
5:46,2099,Foul on Phil Valenti.,66,59
5:45,2099,Foul on Kiefer Douse.,66,59
5:29,2630,Jacolby Mobley missed Three Point Jumper.,66,59
5:29,2099,Kassius Robertson Defensive Rebound.,66,59
5:21,2099,Kassius Robertson missed Three Point Jumper.,66,59
5:21,2099,Kassius Robertson Offensive Rebound.,66,59
5:05,2099,Malik Johnson Turnover.,66,59
5:04,2630,Matthew Butler Steal.,66,59
5:01,2630,Kedar Edwards made Dunk. Assisted by Matthew Butler.,68,59
4:41,2630,Foul on Matthew Butler.,68,59
4:41,2099,Phil Valenti made Free Throw.,68,60
4:41,2099,Phil Valenti made Free Throw.,68,61
4:17,2630,Kedar Edwards missed Three Point Jumper.,68,61
4:17,2630,Jacolby Mobley Offensive Rebound.,68,61
3:55,2630,Jacolby Mobley made Jumper.,70,61
3:41,2099,Kiefer Douse made Layup.,70,63
3:41,2630,Foul on Malik London.,70,63
3:41,2099,Official TV Timeout,70,63
3:41,2099,Kiefer Douse made Free Throw.,70,64
3:12,2630,Jacolby Mobley missed Three Point Jumper.,70,64
3:12,2630,Kedar Edwards Offensive Rebound.,70,64
3:10,2630,Kedar Edwards made Two Point Tip Shot.,72,64
2:56,2099,Jermaine Crumpton missed Three Point Jumper.,72,64
2:56,2630,Chandler Rowe Defensive Rebound.,72,64
2:46,2630,UT Martin  Turnover.,72,64
2:21,2099,Phil Valenti missed Jumper.,72,64
2:21,2099,Canisius Offensive Rebound.,72,64
2:10,2099,Kassius Robertson missed Three Point Jumper.,72,64
2:10,2630,Kedar Edwards Defensive Rebound.,72,64
1:56,2630,UT Martin  Timeout,72,64
1:38,2099,Malik Johnson Defensive Rebound.,72,64
1:38,2630,Matthew Butler missed Jumper.,72,64
1:24,2099,Kassius Robertson made Three Point Jumper. Assisted by Kiefer Douse.,72,67
1:22,2099,Canisius  Timeout,72,67
0:48,2630,Kedar Edwards missed Jumper.,72,67
0:48,2099,Phil Valenti Defensive Rebound.,72,67
0:42,2099,Kiefer Douse made Layup. Assisted by Phil Valenti.,72,69
0:30,2630,Kedar Edwards Turnover.,72,69
0:09,2099,Canisius  Timeout,72,69
0:03,2099,Spencer Foley missed Three Point Jumper.,72,69
0:03,2630,Kedar Edwards Defensive Rebound.,72,69
0:00,2099,End of Game,72,69
