North Carolina,Error,Chaminade,153
12:03,153,Kennedy Meeks Defensive Rebound.,73,47
11:49,153,Tony Bradley made Jumper.,75,47
11:21,-1,Kuany Kuany missed Three Point Jumper.,75,47
11:21,153,Tony Bradley Defensive Rebound.,75,47
11:15,-1,Foul on Dantley Walker.,75,47
11:15,-1,Official TV Timeout,75,47
11:15,153,Seventh Woods made Free Throw.,76,47
11:15,153,Seventh Woods made Free Throw.,77,47
11:06,-1,Matt Southard missed Layup.,77,47
11:06,153,Kennedy Meeks Block.,77,47
11:06,153,Kennedy Meeks Defensive Rebound.,77,47
10:52,153,Kenny Williams Turnover.,77,47
10:52,-1,Sam Daly Steal.,77,47
10:47,-1,Sam Daly Turnover.,77,47
10:47,153,Kennedy Meeks Steal.,77,47
10:41,153,Tony Bradley made Dunk. Assisted by Nate Britt.,79,47
10:21,-1,Rohndell Goodwin made Three Point Jumper.,79,50
10:08,153,Nate Britt missed Three Point Jumper.,79,50
10:08,-1,Rohndell Goodwin Defensive Rebound.,79,50
10:02,153,Foul on Kenny Williams.,79,50
9:51,-1,Rohndell Goodwin missed Jumper.,79,50
9:51,153,Kennedy Meeks Defensive Rebound.,79,50
9:30,153,Nate Britt made Layup.,81,50
9:17,-1,Dantley Walker made Three Point Jumper.,81,53
9:07,-1,Foul on Tyler Cartaino.,81,53
9:07,153,Isaiah Hicks made Free Throw.,82,53
9:07,153,Isaiah Hicks missed Free Throw.,82,53
9:07,-1,Tyler Cartaino Defensive Rebound.,82,53
8:58,153,Foul on Kennedy Meeks.,82,53
8:51,-1,Tyler Cartaino Turnover.,82,53
8:51,153,Nate Britt Steal.,82,53
8:51,153,Nate Britt missed Layup.,82,53
8:51,-1,Dantley Walker Defensive Rebound.,82,53
8:46,-1,Dantley Walker Turnover.,82,53
8:28,153,Nate Britt Turnover.,82,53
8:16,-1,Rohndell Goodwin missed Jumper.,82,53
8:16,153,Seventh Woods Defensive Rebound.,82,53
8:07,153,Justin Jackson made Three Point Jumper. Assisted by Seventh Woods.,85,53
7:48,-1,Sam Daly missed Jumper.,85,53
7:48,153,Brandon Robinson Block.,85,53
7:48,153,Nate Britt Defensive Rebound.,85,53
7:43,153,Justin Jackson made Layup. Assisted by Brandon Robinson.,87,53
7:28,153,Foul on Nate Britt.,87,53
7:28,-1,Official TV Timeout,87,53
7:28,-1,Austin Pope Turnover.,87,53
7:28,153,Joel Berry II Steal.,87,53
7:08,153,Isaiah Hicks made Dunk. Assisted by Joel Berry II.,89,53
6:45,-1,Kiran Shastri missed Three Point Jumper.,89,53
6:45,153,Brandon Robinson Defensive Rebound.,89,53
6:28,153,Isaiah Hicks missed Layup.,89,53
6:28,-1,Kiran Shastri Block.,89,53
6:28,-1,Kiran Shastri Defensive Rebound.,89,53
6:28,-1,Jump Ball won by Chaminade,89,53
6:18,-1,Dantley Walker missed Three Point Jumper.,89,53
6:18,153,Justin Jackson Defensive Rebound.,89,53
6:09,153,Tony Bradley made Layup. Assisted by Justin Jackson.,91,53
5:53,153,Foul on Joel Berry II.,91,53
5:53,-1,Sam Daly missed Free Throw.,91,53
5:53,153,Tony Bradley Defensive Rebound.,91,53
5:41,153,Kenny Williams missed Three Point Jumper.,91,53
5:41,153,Tony Bradley Offensive Rebound.,91,53
5:41,153,Tony Bradley missed Two Point Tip Shot.,91,53
5:41,153,Tony Bradley Offensive Rebound.,91,53
5:36,-1,Foul on Austin Pope.,91,53
5:36,153,Tony Bradley made Free Throw.,92,53
5:36,153,Tony Bradley missed Free Throw.,92,53
5:36,-1,Kuany Kuany Defensive Rebound.,92,53
5:08,-1,Kuany Kuany made Layup.,92,55
4:40,153,Nate Britt missed Three Point Jumper.,92,55
4:40,153,Seventh Woods Offensive Rebound.,92,55
4:21,153,Brandon Robinson made Three Point Jumper.,95,55
4:04,-1,Kiran Shastri made Three Point Jumper. Assisted by Austin Pope.,95,58
3:50,153,Seventh Woods missed Three Point Jumper.,95,58
3:50,153,Tony Bradley Offensive Rebound.,95,58
3:43,-1,Foul on Kiran Shastri.,95,58
3:43,-1,Official TV Timeout,95,58
3:43,153,Tony Bradley missed Free Throw.,95,58
3:43,153,North Carolina Deadball Team Rebound.,95,58
3:43,153,Tony Bradley made Free Throw.,96,58
3:33,-1,Kuany Kuany made Three Point Jumper. Assisted by Kahanu Pu'ulei-Auld.,96,61
3:20,153,Kenny Williams Turnover.,96,61
3:10,153,Foul on Stilman White.,96,61
3:10,-1,Nate Pollard missed Free Throw.,96,61
3:10,153,Brandon Robinson Defensive Rebound.,96,61
2:53,153,Nate Britt made Jumper. Assisted by Brandon Robinson.,98,61
2:39,-1,Dantley Walker missed Three Point Jumper.,98,61
2:39,153,Kenny Williams Defensive Rebound.,98,61
2:32,153,Nate Britt missed Three Point Jumper.,98,61
2:32,153,Kenny Williams Offensive Rebound.,98,61
2:28,153,Kenny Williams made Layup.,100,61
2:02,-1,Nate Pollard missed Dunk.,100,61
2:02,153,Brandon Robinson Block.,100,61
2:02,153,Seventh Woods Defensive Rebound.,100,61
1:55,-1,Foul on Dantley Walker.,100,61
1:55,153,Seventh Woods missed Free Throw.,100,61
1:55,153,North Carolina Deadball Team Rebound.,100,61
1:55,153,Seventh Woods missed Free Throw.,100,61
1:55,-1,Kuany Kuany Defensive Rebound.,100,61
1:38,-1,Tyler Cartaino missed Layup.,100,61
1:38,153,Aaron Rohlman Defensive Rebound.,100,61
1:28,153,North Carolina  Timeout,100,61
1:23,-1,Foul on Kaleb Gilmore.,100,61
1:23,153,Stilman White missed Free Throw.,100,61
1:23,153,North Carolina Deadball Team Rebound.,100,61
1:23,153,Stilman White made Free Throw.,101,61
1:05,-1,Kaleb Gilmore missed Three Point Jumper.,101,61
1:05,153,Aaron Rohlman Defensive Rebound.,101,61
0:48,153,Brandon Robinson made Jumper.,103,61
0:37,-1,Michael Sakazaki missed Three Point Jumper.,103,61
0:37,153,North Carolina Defensive Rebound.,103,61
0:21,-1,Foul on Masa Swain.,103,61
0:21,153,Shea Rush missed Free Throw.,103,61
0:21,153,North Carolina Deadball Team Rebound.,103,61
0:21,153,Shea Rush made Free Throw.,104,61
0:16,-1,Kahanu Pu'ulei-Auld missed Jumper.,104,61
0:16,-1,Chaminade Offensive Rebound.,104,61
0:05,-1,Masa Swain missed Layup.,104,61
0:05,153,Aaron Rohlman Defensive Rebound.,104,61
0:00,-1,End of Game,104,61
