Ole Miss,156,Creighton,145
14:30,156,Cole Huff made Free Throw.,13,14
14:18,145,Deandre Burnett Turnover.,13,14
14:17,156,Zach Hanson Steal.,13,14
14:08,156,Maurice Watson Jr. missed Layup.,13,14
14:08,145,Sebastian Saiz Defensive Rebound.,13,14
14:03,145,Deandre Burnett missed Three Point Jumper.,13,14
14:03,156,Marcus Foster Defensive Rebound.,13,14
13:53,156,Zach Hanson missed Layup.,13,14
13:53,145,Sebastian Saiz Defensive Rebound.,13,14
13:45,145,Deandre Burnett Turnover.,13,14
13:32,156,Zach Hanson missed Layup.,13,14
13:32,145,Terence Davis Block.,13,14
13:29,145,Terence Davis Defensive Rebound.,13,14
13:18,145,Terence Davis missed Layup.,13,14
13:18,145,Sebastian Saiz Offensive Rebound.,13,14
13:00,145,Foul on Deandre Burnett.,13,14
13:00,145,Deandre Burnett Turnover.,13,14
12:35,156,Zach Hanson missed Jumper.,13,14
12:35,145,Karlis Silins Defensive Rebound.,13,14
12:25,156,Foul on Toby Hegner.,13,14
12:25,145,Terence Davis made Free Throw.,14,14
12:25,145,Terence Davis made Free Throw.,15,14
12:07,156,Toby Hegner made Three Point Jumper. Assisted by Tyler Clement.,15,17
11:51,145,Cullen Neal missed Layup.,15,17
11:51,156,Toby Hegner Block.,15,17
11:51,145,Ole Miss Offensive Rebound.,15,17
11:51,156,Official TV Timeout,15,17
11:43,145,Rasheed Brooks made Three Point Jumper.,18,17
11:20,156,Tyler Clement Turnover.,18,17
11:19,145,Karlis Silins Steal.,18,17
11:06,145,Terence Davis missed Jumper.,18,17
11:06,145,Karlis Silins Offensive Rebound.,18,17
11:02,145,Karlis Silins missed Two Point Tip Shot.,18,17
11:02,156,Tyler Clement Defensive Rebound.,18,17
10:51,156,Khyri Thomas Turnover.,18,17
10:50,145,Rasheed Brooks Steal.,18,17
10:45,145,Cullen Neal missed Three Point Jumper.,18,17
10:45,145,Terence Davis Offensive Rebound.,18,17
10:41,145,Rasheed Brooks made Three Point Jumper. Assisted by Terence Davis.,21,17
10:41,156,Creighton  Timeout,21,17
10:26,156,Cole Huff missed Layup.,21,17
10:26,145,Sebastian Saiz Defensive Rebound.,21,17
9:57,145,Justas Furmanavicius made Layup.,23,17
9:48,156,Maurice Watson Jr. Turnover.,23,17
9:25,145,Rasheed Brooks made Jumper.,25,17
9:00,156,Marcus Foster made Three Point Jumper. Assisted by Maurice Watson Jr..,25,20
8:45,145,Rasheed Brooks made Three Point Jumper. Assisted by Sebastian Saiz.,28,20
8:32,156,Marcus Foster made Three Point Jumper. Assisted by Justin Patton.,28,23
8:12,145,Rasheed Brooks missed Three Point Jumper.,28,23
8:12,145,Ole Miss Offensive Rebound.,28,23
8:00,145,Sebastian Saiz Turnover.,28,23
7:57,156,Official TV Timeout,28,23
7:45,156,Cole Huff made Three Point Jumper. Assisted by Khyri Thomas.,28,26
7:18,145,Breein Tyree missed Layup.,28,26
7:18,156,Justin Patton Block.,28,26
7:18,145,Ole Miss Offensive Rebound.,28,26
7:15,156,Foul on Khyri Thomas.,28,26
7:03,145,Breein Tyree missed Three Point Jumper.,28,26
7:03,156,Justin Patton Defensive Rebound.,28,26
6:55,145,Foul on Breein Tyree.,28,26
6:41,156,Cole Huff missed Three Point Jumper.,28,26
6:41,145,Terence Davis Defensive Rebound.,28,26
6:23,145,Deandre Burnett made Three Point Jumper. Assisted by Breein Tyree.,31,26
6:10,156,Justin Patton missed Layup.,31,26
6:10,145,Justas Furmanavicius Block.,31,26
6:04,145,Justas Furmanavicius Defensive Rebound.,31,26
5:54,145,Deandre Burnett missed Jumper.,31,26
5:54,145,Justas Furmanavicius Offensive Rebound.,31,26
5:52,145,Deandre Burnett made Three Point Jumper. Assisted by Justas Furmanavicius.,34,26
5:34,145,Foul on Sebastian Saiz.,34,26
5:34,156,Marcus Foster made Free Throw.,34,27
5:34,156,Marcus Foster made Free Throw.,34,28
5:22,145,Deandre Burnett missed Three Point Jumper.,34,28
5:22,145,Sebastian Saiz Offensive Rebound.,34,28
5:22,156,Foul on Toby Hegner.,34,28
5:22,145,Sebastian Saiz made Free Throw.,35,28
5:22,145,Sebastian Saiz made Free Throw.,36,28
5:09,156,Isaiah Zierden missed Three Point Jumper.,36,28
5:09,156,Zach Hanson Offensive Rebound.,36,28
5:02,156,Zach Hanson missed Two Point Tip Shot.,36,28
5:02,145,Sebastian Saiz Block.,36,28
5:01,156,Zach Hanson Offensive Rebound.,36,28
4:59,156,Zach Hanson missed Two Point Tip Shot.,36,28
4:59,145,Sebastian Saiz Defensive Rebound.,36,28
4:39,145,Deandre Burnett missed Layup.,36,28
4:39,145,Justas Furmanavicius Offensive Rebound.,36,28
4:36,145,Rasheed Brooks missed Three Point Jumper.,36,28
4:36,145,Deandre Burnett Offensive Rebound.,36,28
4:31,145,Deandre Burnett made Two Point Tip Shot.,38,28
4:15,156,Marcus Foster missed Jumper.,38,28
4:15,156,Marcus Foster Offensive Rebound.,38,28
4:12,156,Marcus Foster made Two Point Tip Shot.,38,30
3:52,145,Deandre Burnett made Three Point Jumper. Assisted by Sebastian Saiz.,41,30
3:43,156,Zach Hanson missed Layup.,41,30
3:43,145,Sebastian Saiz Block.,41,30
3:41,145,Justas Furmanavicius Defensive Rebound.,41,30
3:20,145,Justas Furmanavicius missed Three Point Jumper.,41,30
3:20,156,Zach Hanson Defensive Rebound.,41,30
3:13,156,Marcus Foster made Three Point Jumper.,41,33
2:55,145,Foul on Cullen Neal.,41,33
2:55,145,Cullen Neal Turnover.,41,33
2:45,156,Marcus Foster missed Jumper.,41,33
2:45,145,Justas Furmanavicius Defensive Rebound.,41,33
2:27,145,Terence Davis made Layup.,43,33
2:27,156,Foul on Cole Huff.,43,33
2:27,145,Terence Davis made Free Throw.,44,33
2:14,156,Isaiah Zierden made Three Point Jumper. Assisted by Justin Patton.,44,36
1:55,145,Terence Davis missed Three Point Jumper.,44,36
1:55,156,Maurice Watson Jr. Defensive Rebound.,44,36
1:42,156,Cole Huff missed Layup.,44,36
1:42,156,Maurice Watson Jr. Offensive Rebound.,44,36
1:36,156,Marcus Foster made Layup.,44,38
1:27,145,Ole Miss  Timeout,44,38
1:19,145,Deandre Burnett missed Jumper.,44,38
1:19,145,Ole Miss Offensive Rebound.,44,38
1:08,145,Rasheed Brooks made Layup.,46,38
0:52,156,Marcus Foster made Jumper.,46,40
0:31,156,Cole Huff Turnover.,46,40
0:06,156,Maurice Watson Jr. missed Layup.,46,40
0:06,145,Sebastian Saiz Defensive Rebound.,46,40
0:04,145,Deandre Burnett Turnover.,46,40
0:04,156,Maurice Watson Jr. Steal.,46,40
0:02,156,Maurice Watson Jr. missed Layup.,46,40
0:02,156,Creighton Deadball Team Rebound.,46,40
0:00,156,End of 1st half,48,38
20:00,145,Justas Furmanavicius made Layup.,48,40
19:56,156,Justin Patton Turnover.,48,40
19:35,145,Deandre Burnett missed Jumper.,48,40
19:35,145,Sebastian Saiz Offensive Rebound.,48,40
19:22,145,Deandre Burnett missed Three Point Jumper.,48,40
19:22,156,Khyri Thomas Defensive Rebound.,48,40
18:51,156,Creighton  Timeout,48,40
18:49,156,Khyri Thomas Turnover.,48,40
18:48,145,Deandre Burnett Steal.,48,40
18:45,145,Cullen Neal made Layup. Assisted by Deandre Burnett.,50,40
18:36,156,Maurice Watson Jr. missed Jumper.,50,40
18:36,156,Creighton Offensive Rebound.,50,40
18:30,156,Maurice Watson Jr. Turnover.,50,40
18:29,145,Justas Furmanavicius Steal.,50,40
18:07,145,Cullen Neal missed Three Point Jumper.,50,40
18:07,156,Justin Patton Defensive Rebound.,50,40
17:50,156,Cole Huff made Three Point Jumper.,50,43
17:32,156,Foul on Cole Huff.,50,43
17:32,145,Justas Furmanavicius made Free Throw.,51,43
17:32,145,Justas Furmanavicius missed Free Throw.,51,43
17:32,156,Cole Huff Defensive Rebound.,51,43
17:15,156,Justin Patton made Layup.,51,45
16:56,156,Foul on Justin Patton.,51,45
16:51,145,Deandre Burnett missed Layup.,51,45
16:51,145,Ole Miss Offensive Rebound.,51,45
16:48,145,Cullen Neal made Three Point Jumper. Assisted by Sebastian Saiz.,54,45
16:39,156,Marcus Foster missed Three Point Jumper.,54,45
16:39,145,Sebastian Saiz Defensive Rebound.,54,45
16:30,145,Cullen Neal Turnover.,54,45
16:29,156,Maurice Watson Jr. Steal.,54,45
16:26,156,Maurice Watson Jr. made Three Point Jumper. Assisted by Khyri Thomas.,54,48
15:51,145,Rasheed Brooks made Jumper.,56,48
15:39,156,Marcus Foster made Three Point Jumper. Assisted by Khyri Thomas.,56,51
15:21,145,Cullen Neal made Three Point Jumper. Assisted by Rasheed Brooks.,59,51
15:04,156,Justin Patton Turnover.,59,51
15:04,156,Official TV Timeout,59,51
15:03,156,Justin Patton Turnover.,59,51
14:42,145,Sebastian Saiz missed Layup.,59,51
14:42,145,Breein Tyree Offensive Rebound.,59,51
14:39,145,Terence Davis missed Two Point Tip Shot.,59,51
14:39,156,Khyri Thomas Defensive Rebound.,59,51
14:26,156,Marcus Foster made Three Point Jumper.,59,54
14:11,145,Rasheed Brooks made Layup.,61,54
13:59,156,Maurice Watson Jr. Turnover.,61,54
13:59,145,Rasheed Brooks Steal.,61,54
13:44,145,Rasheed Brooks missed Three Point Jumper.,61,54
13:44,156,Maurice Watson Jr. Defensive Rebound.,61,54
13:35,156,Khyri Thomas made Three Point Jumper. Assisted by Maurice Watson Jr..,61,57
13:16,156,Foul on Justin Patton.,61,57
13:03,145,Sebastian Saiz missed Jumper.,61,57
13:03,156,Marcus Foster Defensive Rebound.,61,57
12:55,156,Maurice Watson Jr. missed Layup.,61,57
12:55,145,Terence Davis Block.,61,57
12:54,145,Rasheed Brooks Defensive Rebound.,61,57
12:46,145,Deandre Burnett made Layup.,63,57
12:27,156,Toby Hegner made Three Point Jumper. Assisted by Marcus Foster.,63,60
12:13,156,Foul on Zach Hanson.,63,60
12:13,145,Marcanvis Hymon missed Free Throw.,63,60
12:13,145,Ole Miss Deadball Team Rebound.,63,60
12:13,145,Marcanvis Hymon made Free Throw.,64,60
12:00,145,Foul on Karlis Silins.,64,60
11:48,156,Toby Hegner made Three Point Jumper. Assisted by Marcus Foster.,64,63
11:29,145,Ole Miss  Timeout,64,63
11:24,145,Deandre Burnett made Jumper.,66,63
11:07,156,Toby Hegner missed Three Point Jumper.,66,63
11:07,145,Donte Fitzpatrick-Dorsey Defensive Rebound.,66,63
10:50,145,Deandre Burnett made Jumper.,68,63
10:36,156,Marcus Foster made Layup. Assisted by Maurice Watson Jr..,68,65
10:07,145,Donte Fitzpatrick-Dorsey missed Three Point Jumper.,68,65
10:07,156,Marcus Foster Defensive Rebound.,68,65
9:53,156,Zach Hanson made Layup.,68,67
9:33,145,Donte Fitzpatrick-Dorsey Turnover.,68,67
9:26,156,Zach Hanson Turnover.,68,67
9:25,145,Sebastian Saiz Steal.,68,67
8:51,145,Foul on Sebastian Saiz.,68,67
8:41,156,Toby Hegner made Three Point Jumper. Assisted by Marcus Foster.,68,70
8:23,156,Foul on Maurice Watson Jr..,68,70
8:23,145,Deandre Burnett made Free Throw.,69,70
8:23,145,Deandre Burnett made Free Throw.,70,70
8:04,156,Justin Patton made Layup.,70,72
7:52,145,Deandre Burnett missed Three Point Jumper.,70,72
7:52,156,Khyri Thomas Block.,70,72
7:51,145,Justas Furmanavicius Offensive Rebound.,70,72
7:39,145,Terence Davis missed Jumper.,70,72
7:39,156,Marcus Foster Defensive Rebound.,70,72
7:37,145,Foul on Terence Davis.,70,72
7:37,156,Official TV Timeout,70,72
7:12,156,Justin Patton Turnover.,70,72
7:11,145,Terence Davis Steal.,70,72
7:06,145,Deandre Burnett missed Three Point Jumper.,70,72
7:06,156,Toby Hegner Defensive Rebound.,70,72
6:44,156,Maurice Watson Jr. Turnover.,70,72
6:44,145,Terence Davis Steal.,70,72
6:38,145,Terence Davis Turnover.,70,72
6:29,156,Justin Patton made Dunk. Assisted by Maurice Watson Jr..,70,74
6:22,156,Foul on Justin Patton.,70,74
6:15,145,Rasheed Brooks made Jumper. Assisted by Deandre Burnett.,72,74
6:09,156,Marcus Foster missed Three Point Jumper.,72,74
6:09,145,Sebastian Saiz Defensive Rebound.,72,74
5:46,145,Cullen Neal made Jumper.,74,74
5:34,156,Toby Hegner missed Three Point Jumper.,74,74
5:34,156,Justin Patton Offensive Rebound.,74,74
5:24,156,Khyri Thomas missed Three Point Jumper.,74,74
5:24,156,Justin Patton Offensive Rebound.,74,74
5:21,145,Foul on Rasheed Brooks.,74,74
5:13,156,Martin Krampelj Turnover.,74,74
4:57,145,Cullen Neal missed Jumper.,74,74
4:57,145,Ole Miss Offensive Rebound.,74,74
4:38,145,Cullen Neal missed Three Point Jumper.,74,74
4:38,145,Ole Miss Deadball Team Rebound.,74,74
4:38,156,Foul on Justin Patton.,74,74
4:38,145,Marcanvis Hymon missed Free Throw.,74,74
4:38,156,Marcus Foster Defensive Rebound.,74,74
4:12,156,Maurice Watson Jr. missed Three Point Jumper.,74,74
4:12,145,Rasheed Brooks Defensive Rebound.,74,74
3:45,145,Deandre Burnett Turnover.,74,74
3:41,156,Khyri Thomas made Layup. Assisted by Maurice Watson Jr..,74,76
3:40,145,Foul on Cullen Neal.,74,76
3:40,156,Official TV Timeout,74,76
3:40,156,Khyri Thomas made Free Throw.,74,77
3:21,145,Marcanvis Hymon Turnover.,74,77
3:11,156,Marcus Foster Turnover.,74,77
3:10,145,Marcanvis Hymon Steal.,74,77
3:07,145,Rasheed Brooks missed Three Point Jumper.,74,77
3:07,156,Creighton Deadball Team Rebound.,74,77
2:46,156,Justin Patton made Dunk. Assisted by Maurice Watson Jr..,74,79
2:34,156,Foul on Khyri Thomas.,74,79
2:34,145,Deandre Burnett made Free Throw.,75,79
2:34,145,Deandre Burnett made Free Throw.,76,79
2:12,145,Foul on Rasheed Brooks.,76,79
1:55,156,Khyri Thomas made Three Point Jumper. Assisted by Maurice Watson Jr..,76,82
1:27,156,Foul on Toby Hegner.,76,82
1:27,145,Justas Furmanavicius missed Free Throw.,76,82
1:27,156,Justin Patton Defensive Rebound.,76,82
0:59,156,Maurice Watson Jr. made Layup.,76,84
0:45,156,Foul on Maurice Watson Jr..,76,84
0:45,145,Deandre Burnett made Free Throw.,77,84
0:45,145,Deandre Burnett missed Free Throw.,77,84
0:45,156,Maurice Watson Jr. Defensive Rebound.,77,84
0:39,145,Foul on Sebastian Saiz.,77,84
0:39,156,Khyri Thomas made Free Throw.,77,85
0:39,156,Khyri Thomas made Free Throw.,77,86
0:32,145,Deandre Burnett Turnover.,77,86
0:32,156,Toby Hegner Steal.,77,86
0:31,145,Foul on Cullen Neal.,77,86
0:31,156,Maurice Watson Jr. missed Free Throw.,77,86
0:31,145,Sebastian Saiz Defensive Rebound.,77,86
0:22,145,Sebastian Saiz missed Jumper.,77,86
0:22,156,Khyri Thomas Defensive Rebound.,77,86
0:00,156,End of Game,77,86
