Columbia,2514,Quinnipiac,171
9:48,171,Lukas Meisner missed Three Point Jumper.,17,18
9:48,2514,Ja'Kwan Jones Defensive Rebound.,17,18
9:41,2514,Daniel Harris made Three Point Jumper. Assisted by Mikey Dixon.,17,21
9:32,171,Luke Petrasek made Dunk. Assisted by Nate Hickman.,19,21
9:18,2514,Mikey Dixon made Jumper.,19,23
9:07,171,Luke Petrasek made Layup. Assisted by Lukas Meisner.,21,23
8:52,2514,Daniel Harris missed Three Point Jumper.,21,23
8:52,171,Quinton Adlesh Defensive Rebound.,21,23
8:44,171,Nate Hickman made Layup. Assisted by Quinton Adlesh.,23,23
8:39,2514,Quinnipiac  Timeout,23,23
8:24,2514,Mikey Dixon missed Jumper.,23,23
8:24,2514,Peter Kiss Offensive Rebound.,23,23
8:21,2514,Peter Kiss missed Layup.,23,23
8:21,171,Jeff Coby Block.,23,23
8:21,171,Jeff Coby Defensive Rebound.,23,23
8:21,2514,Foul on Alain Chigha.,23,23
8:21,171,Jeff Coby missed Free Throw.,23,23
8:21,2514,Andrew Robinson Defensive Rebound.,23,23
8:17,2514,Peter Kiss made Layup. Assisted by Reggie Oliver.,23,25
7:57,171,Nate Hickman made Three Point Jumper. Assisted by Chris McComber.,26,25
7:30,2514,Reggie Oliver missed Jumper.,26,25
7:30,171,CJ Davis Defensive Rebound.,26,25
7:23,171,Mike Smith made Layup.,28,25
7:10,2514,Reggie Oliver missed Three Point Jumper.,28,25
7:10,171,Mike Smith Defensive Rebound.,28,25
6:47,171,Nate Hickman Turnover.,28,25
6:47,2514,Official TV Timeout,28,25
6:45,2514,Andrew Robinson Turnover.,28,25
6:43,171,Mike Smith Steal.,28,25
6:24,171,Chris McComber made Three Point Jumper. Assisted by Quinton Adlesh.,31,25
6:15,2514,Peter Kiss missed Three Point Jumper.,31,25
6:15,2514,Abdulai Bundu Offensive Rebound.,31,25
6:11,171,Foul on Mike Smith.,31,25
6:11,2514,Abdulai Bundu missed Free Throw.,31,25
6:11,2514,Quinnipiac Deadball Team Rebound.,31,25
6:11,2514,Abdulai Bundu made Free Throw.,31,26
5:40,171,Luke Petrasek made Layup. Assisted by CJ Davis.,33,26
5:38,2514,Foul on Peter Kiss.,33,26
5:38,171,Luke Petrasek made Free Throw.,34,26
5:26,2514,Reggie Oliver missed Three Point Jumper.,34,26
5:26,171,Quinton Adlesh Defensive Rebound.,34,26
5:02,171,Luke Petrasek made Layup. Assisted by Jake Killingsworth.,36,26
4:57,171,Foul on CJ Davis.,36,26
4:57,2514,Phil Winston missed Free Throw.,36,26
4:57,171,Luke Petrasek Defensive Rebound.,36,26
4:43,171,Lukas Meisner missed Layup.,36,26
4:43,171,Luke Petrasek Offensive Rebound.,36,26
4:39,171,Quinton Adlesh missed Three Point Jumper.,36,26
4:39,2514,Phil Winston Defensive Rebound.,36,26
4:21,2514,Daniel Harris missed Three Point Jumper.,36,26
4:21,171,Luke Petrasek Defensive Rebound.,36,26
4:09,171,Kendall Jackson missed Three Point Jumper.,36,26
4:09,171,Columbia Offensive Rebound.,36,26
3:52,171,Luke Petrasek made Dunk.,38,26
3:36,2514,Reggie Oliver made Three Point Jumper. Assisted by Phil Winston.,38,29
3:06,171,Lukas Meisner made Three Point Jumper. Assisted by Kendall Jackson.,41,29
2:57,2514,Official TV Timeout,41,29
2:37,2514,Chaise Daniels missed Jumper.,41,29
2:37,171,Luke Petrasek Defensive Rebound.,41,29
2:30,2514,Foul on Reggie Oliver.,41,29
2:30,171,Kendall Jackson made Free Throw.,42,29
2:30,171,Kendall Jackson made Free Throw.,43,29
2:17,2514,Alain Chigha missed Jumper.,43,29
2:17,171,Quinton Adlesh Defensive Rebound.,43,29
2:09,171,Quinton Adlesh made Three Point Jumper. Assisted by Jake Killingsworth.,46,29
1:47,2514,Phil Winston missed Three Point Jumper.,46,29
1:47,2514,Mikey Dixon Offensive Rebound.,46,29
1:28,171,Foul on Luke Petrasek.,46,29
1:28,2514,Abdulai Bundu made Free Throw.,46,30
1:28,2514,Abdulai Bundu missed Free Throw.,46,30
1:28,2514,Daniel Harris Offensive Rebound.,46,30
1:13,2514,Phil Winston Turnover.,46,30
1:12,171,Columbia  Timeout,46,30
0:55,171,Nate Hickman missed Three Point Jumper.,46,30
0:55,2514,Quinnipiac Defensive Rebound.,46,30
0:34,2514,Daniel Harris missed Three Point Jumper.,46,30
0:34,2514,Abdulai Bundu Offensive Rebound.,46,30
0:27,2514,Abdulai Bundu missed Layup.,46,30
0:27,171,Jeff Coby Block.,46,30
0:26,171,Nate Hickman Defensive Rebound.,46,30
0:00,171,Nate Hickman missed Layup.,46,30
0:00,171,Jeff Coby Offensive Rebound.,46,30
0:00,171,Jeff Coby made Two Point Tip Shot.,48,30
0:00,2514,End of 1st half,48,30
19:49,171,Foul on Lukas Meisner.,48,30
19:49,2514,Chaise Daniels made Free Throw.,48,31
19:49,2514,Chaise Daniels made Free Throw.,48,32
19:41,171,Columbia  Timeout,48,32
19:31,2514,Foul on Alain Chigha.,48,32
19:31,171,Lukas Meisner missed Free Throw.,48,32
19:31,171,Columbia Deadball Team Rebound.,48,32
19:31,171,Lukas Meisner made Free Throw.,49,32
19:16,2514,Reggie Oliver made Jumper. Assisted by Mikey Dixon.,49,34
18:39,171,Nate Hickman missed Three Point Jumper.,49,34
18:39,2514,Reggie Oliver Defensive Rebound.,49,34
18:30,2514,Chaise Daniels made Layup. Assisted by Reggie Oliver.,49,36
18:15,171,Chris McComber made Layup. Assisted by Luke Petrasek.,51,36
17:57,2514,Mikey Dixon missed Jumper.,51,36
17:57,2514,Daniel Harris Offensive Rebound.,51,36
17:55,2514,Mikey Dixon missed Three Point Jumper.,51,36
17:55,2514,Chaise Daniels Offensive Rebound.,51,36
17:51,2514,Chaise Daniels missed Jumper.,51,36
17:51,171,Luke Petrasek Defensive Rebound.,51,36
17:31,2514,Foul on Reggie Oliver.,51,36
17:13,171,Jeff Coby missed Jumper.,51,36
17:13,171,Jake Killingsworth Offensive Rebound.,51,36
17:09,171,Jeff Coby made Dunk. Assisted by Jake Killingsworth.,53,36
16:48,2514,Chaise Daniels made Jumper. Assisted by Daniel Harris.,53,38
16:30,171,Nate Hickman made Layup.,55,38
16:12,171,Foul on Jake Killingsworth.,55,38
15:55,2514,Mikey Dixon made Three Point Jumper. Assisted by Peter Kiss.,55,41
15:44,171,Jeff Coby made Jumper.,57,41
15:36,171,Foul on Quinton Adlesh.,57,41
15:36,2514,Official TV Timeout,57,41
15:36,2514,Reggie Oliver made Free Throw.,57,42
15:36,2514,Reggie Oliver made Free Throw.,57,43
15:23,171,Nate Hickman Turnover.,57,43
15:04,171,Foul on CJ Davis.,57,43
14:58,2514,Foul on Daniel Harris.,57,43
14:58,2514,Daniel Harris Turnover.,57,43
14:36,171,Luke Petrasek missed Jumper.,57,43
14:36,2514,Daniel Harris Block.,57,43
14:35,2514,Abdulai Bundu Defensive Rebound.,57,43
14:30,2514,Daniel Harris made Three Point Jumper. Assisted by Mikey Dixon.,57,46
14:03,171,Chris McComber missed Three Point Jumper.,57,46
14:03,2514,Peter Kiss Defensive Rebound.,57,46
13:56,171,Foul on Chris McComber.,57,46
13:51,2514,Chaise Daniels missed Jumper.,57,46
13:51,171,Columbia Defensive Rebound.,57,46
13:41,171,Quinton Adlesh missed Three Point Jumper.,57,46
13:41,2514,Quinnipiac Defensive Rebound.,57,46
13:38,171,Foul on Lukas Meisner.,57,46
13:24,2514,Peter Kiss missed Jumper.,57,46
13:24,2514,Abdulai Bundu Offensive Rebound.,57,46
13:19,2514,Abdulai Bundu missed Layup.,57,46
13:19,171,Lukas Meisner Block.,57,46
13:18,171,Luke Petrasek Defensive Rebound.,57,46
13:17,2514,Foul on Phil Winston.,57,46
13:17,171,Mike Smith missed Free Throw.,57,46
13:17,171,Columbia Deadball Team Rebound.,57,46
13:17,171,Mike Smith made Free Throw.,58,46
13:04,2514,Chaise Daniels made Jumper.,58,48
12:49,171,Jeff Coby missed Layup.,58,48
12:49,171,Jeff Coby Offensive Rebound.,58,48
12:39,171,Jeff Coby missed Layup.,58,48
12:39,2514,Quinnipiac Defensive Rebound.,58,48
12:36,171,Foul on Jeff Coby.,58,48
12:36,2514,Abdulai Bundu made Free Throw.,58,49
12:36,2514,Abdulai Bundu missed Free Throw.,58,49
12:36,171,Luke Petrasek Defensive Rebound.,58,49
12:27,171,Lukas Meisner made Dunk. Assisted by Mike Smith.,60,49
12:19,2514,Mikey Dixon missed Jumper.,60,49
12:19,2514,Quinnipiac Offensive Rebound.,60,49
12:07,171,Foul on Lukas Meisner.,60,49
12:07,2514,Chaise Daniels missed Free Throw.,60,49
12:07,2514,Phil Winston Offensive Rebound.,60,49
11:58,2514,Reggie Oliver Turnover.,60,49
11:58,2514,Official TV Timeout,60,49
11:33,171,Mike Smith Turnover.,60,49
11:22,2514,Phil Winston missed Jumper.,60,49
11:22,171,Luke Petrasek Defensive Rebound.,60,49
11:05,2514,Foul on Chaise Daniels.,60,49
11:05,171,Nate Hickman missed Free Throw.,60,49
11:05,171,Columbia Deadball Team Rebound.,60,49
11:05,171,Nate Hickman made Free Throw.,61,49
10:58,171,Foul on Chris McComber.,61,49
10:58,2514,Chaise Daniels made Free Throw.,61,50
10:58,2514,Chaise Daniels made Free Throw.,61,51
10:48,171,Nate Hickman Turnover.,61,51
10:47,2514,Alain Chigha Steal.,61,51
10:44,2514,Reggie Oliver Turnover.,61,51
10:43,171,Nate Hickman Steal.,61,51
10:31,171,Nate Hickman missed Jumper.,61,51
10:31,2514,Mikey Dixon Defensive Rebound.,61,51
10:24,2514,Reggie Oliver Turnover.,61,51
10:09,171,Luke Petrasek made Layup. Assisted by Quinton Adlesh.,63,51
9:55,2514,Reggie Oliver made Layup.,63,53
9:37,2514,Foul on Alain Chigha.,63,53
9:37,171,Nate Hickman missed Free Throw.,63,53
9:37,171,Columbia Deadball Team Rebound.,63,53
9:37,171,Nate Hickman made Free Throw.,64,53
9:23,2514,Abdulai Bundu missed Layup.,64,53
9:23,171,Jeff Coby Block.,64,53
9:21,171,Nate Hickman Defensive Rebound.,64,53
9:06,171,Luke Petrasek Turnover.,64,53
8:53,2514,Daniel Harris missed Three Point Jumper.,64,53
8:53,171,Mike Smith Defensive Rebound.,64,53
8:47,2514,Foul on Daniel Harris.,64,53
8:47,171,Mike Smith made Free Throw.,65,53
8:47,171,Mike Smith made Free Throw.,66,53
8:40,171,Foul on Jeff Coby.,66,53
8:40,2514,Chaise Daniels missed Free Throw.,66,53
8:40,2514,Quinnipiac Deadball Team Rebound.,66,53
8:40,2514,Chaise Daniels missed Free Throw.,66,53
8:40,171,Columbia Defensive Rebound.,66,53
8:23,171,Luke Petrasek missed Jumper.,66,53
8:23,2514,Chaise Daniels Defensive Rebound.,66,53
8:15,2514,Abdulai Bundu made Jumper. Assisted by Alain Chigha.,66,55
7:59,171,Mike Smith made Layup.,68,55
7:39,2514,Peter Kiss missed Three Point Jumper.,68,55
7:39,2514,Chaise Daniels Offensive Rebound.,68,55
7:36,171,Foul on Lukas Meisner.,68,55
7:36,2514,Official TV Timeout,68,55
7:36,2514,Chaise Daniels missed Free Throw.,68,55
7:36,2514,Quinnipiac Deadball Team Rebound.,68,55
7:36,2514,Chaise Daniels made Free Throw.,68,56
7:27,171,Nate Hickman made Layup. Assisted by Luke Petrasek.,70,56
7:16,171,Foul on Quinton Adlesh.,70,56
7:16,2514,Peter Kiss missed Free Throw.,70,56
7:16,2514,Quinnipiac Deadball Team Rebound.,70,56
7:16,2514,Peter Kiss made Free Throw.,70,57
6:50,171,Luke Petrasek missed Jumper.,70,57
6:50,2514,Quinnipiac Defensive Rebound.,70,57
6:23,2514,Chaise Daniels missed Jumper.,70,57
6:23,171,Luke Petrasek Defensive Rebound.,70,57
6:06,171,Chris McComber missed Three Point Jumper.,70,57
6:06,171,Columbia Offensive Rebound.,70,57
6:06,2514,Quinnipiac  Timeout,70,57
6:00,171,Chris McComber made Layup. Assisted by Luke Petrasek.,72,57
5:44,171,Foul on Quinton Adlesh.,72,57
5:44,2514,Peter Kiss made Free Throw.,72,58
5:44,2514,Peter Kiss missed Free Throw.,72,58
5:44,171,Luke Petrasek Defensive Rebound.,72,58
5:18,171,Quinton Adlesh missed Three Point Jumper.,72,58
5:18,2514,Chaise Daniels Defensive Rebound.,72,58
5:15,171,Foul on Chris McComber.,72,58
5:15,2514,Chaise Daniels made Free Throw.,72,59
5:15,2514,Chaise Daniels made Free Throw.,72,60
5:03,171,Nate Hickman missed Three Point Jumper.,72,60
5:03,2514,Reggie Oliver Defensive Rebound.,72,60
4:51,2514,Daniel Harris missed Three Point Jumper.,72,60
4:51,171,Luke Petrasek Defensive Rebound.,72,60
4:40,171,Luke Petrasek Turnover.,72,60
4:39,2514,Daniel Harris Steal.,72,60
4:25,2514,Chaise Daniels missed Jumper.,72,60
4:25,2514,Reggie Oliver Offensive Rebound.,72,60
4:22,2514,Reggie Oliver missed Jumper.,72,60
4:22,2514,Quinnipiac Offensive Rebound.,72,60
4:19,171,Foul on Jeff Coby.,72,60
4:19,2514,Abdulai Bundu made Free Throw.,72,61
4:19,2514,Abdulai Bundu missed Free Throw.,72,61
4:19,171,Luke Petrasek Defensive Rebound.,72,61
4:13,171,Quinton Adlesh missed Three Point Jumper.,72,61
4:13,2514,Mikey Dixon Defensive Rebound.,72,61
3:55,2514,Mikey Dixon missed Jumper.,72,61
3:55,171,Luke Petrasek Block.,72,61
3:55,2514,Abdulai Bundu Offensive Rebound.,72,61
3:35,171,Foul on Luke Petrasek.,72,61
3:35,2514,Official TV Timeout,72,61
3:35,2514,Abdulai Bundu made Free Throw.,72,62
3:35,2514,Abdulai Bundu made Free Throw.,72,63
3:13,2514,Foul on Chaise Daniels.,72,63
3:13,171,Luke Petrasek made Free Throw.,73,63
3:13,171,Luke Petrasek made Free Throw.,74,63
3:07,2514,Mikey Dixon made Three Point Jumper. Assisted by Daniel Harris.,74,66
2:31,171,Nate Hickman missed Three Point Jumper.,74,66
2:31,2514,Mikey Dixon Defensive Rebound.,74,66
2:23,2514,Reggie Oliver missed Three Point Jumper.,74,66
2:23,171,Jeff Coby Defensive Rebound.,74,66
2:03,171,Luke Petrasek made Three Point Jumper. Assisted by Mike Smith.,77,66
1:44,2514,Reggie Oliver missed Jumper.,77,66
1:44,2514,Chaise Daniels Offensive Rebound.,77,66
1:44,171,Foul on Mike Smith.,77,66
1:44,2514,Chaise Daniels made Free Throw.,77,67
1:44,2514,Chaise Daniels missed Free Throw.,77,67
1:44,171,Nate Hickman Defensive Rebound.,77,67
1:37,171,Mike Smith Turnover.,77,67
1:37,2514,Daniel Harris Steal.,77,67
1:32,2514,Mikey Dixon made Layup. Assisted by Daniel Harris.,77,69
1:32,171,Foul on Nate Hickman.,77,69
1:32,2514,Mikey Dixon made Free Throw.,77,70
1:23,2514,Foul on Alain Chigha.,77,70
1:23,171,Jeff Coby made Free Throw.,78,70
1:23,171,Jeff Coby made Free Throw.,79,70
1:17,2514,Mikey Dixon Turnover.,79,70
1:17,2514,Foul on Peter Kiss.,79,70
1:17,171,Quinton Adlesh missed Free Throw.,79,70
1:17,171,Columbia Deadball Team Rebound.,79,70
1:17,171,Quinton Adlesh made Free Throw.,80,70
1:10,171,Foul on Quinton Adlesh.,80,70
1:10,2514,Chaise Daniels missed Free Throw.,80,70
1:10,2514,Quinnipiac Deadball Team Rebound.,80,70
1:10,2514,Chaise Daniels missed Free Throw.,80,70
1:10,171,Jeff Coby Defensive Rebound.,80,70
1:00,2514,Quinnipiac  Timeout,80,70
0:58,2514,Foul on Daniel Harris.,80,70
0:58,171,Nate Hickman missed Free Throw.,80,70
0:58,171,Columbia Deadball Team Rebound.,80,70
0:58,171,Nate Hickman made Free Throw.,81,70
0:55,2514,Reggie Oliver missed Three Point Jumper.,81,70
0:55,171,Columbia Defensive Rebound.,81,70
0:46,2514,Foul on Reggie Oliver.,81,70
0:46,171,Nate Hickman made Free Throw.,82,70
0:46,171,Nate Hickman made Free Throw.,83,70
0:35,171,Foul on Quinton Adlesh.,83,70
0:35,2514,Peter Kiss made Free Throw.,83,71
0:35,2514,Peter Kiss made Free Throw.,83,72
0:31,171,Nate Hickman Turnover.,83,72
0:28,2514,Reggie Oliver missed Three Point Jumper.,83,72
0:28,171,Columbia Defensive Rebound.,83,72
0:23,2514,Foul on Alain Chigha.,83,72
0:23,171,Mike Smith made Free Throw.,84,72
0:23,171,Mike Smith made Free Throw.,85,72
0:20,2514,Mikey Dixon made Three Point Jumper.,85,75
0:16,2514,Foul on Daniel Harris.,85,75
0:16,171,CJ Davis missed Free Throw.,85,75
0:16,171,Columbia Deadball Team Rebound.,85,75
0:16,171,CJ Davis made Free Throw.,86,75
0:14,2514,Reggie Oliver missed Three Point Jumper.,86,75
0:14,2514,Chaise Daniels Offensive Rebound.,86,75
0:05,2514,Daniel Harris made Three Point Jumper. Assisted by Chaise Daniels.,86,78
0:00,2514,End of Game,86,78
