Little Rock,179,St. Bonaventure,2031
1:12,2031,Lis Shoshi Offensive Rebound.,64,63
1:09,179,Foul on Josh Ayeni.,64,63
1:09,2031,Lis Shoshi made Free Throw.,65,63
1:09,2031,Lis Shoshi made Free Throw.,66,63
1:04,179,St. Bonaventure  Timeout,66,63
0:52,2031,Foul on Deondre Burns.,66,63
0:52,179,Matt Mobley made Free Throw.,66,64
0:52,179,Matt Mobley made Free Throw.,66,65
0:48,2031,Little Rock  Timeout,66,65
0:36,2031,Lis Shoshi missed Jumper.,66,65
0:36,2031,Kemy Osse Offensive Rebound.,66,65
0:21,179,Foul on Jaylen Adams.,66,65
0:21,2031,Jalen Jackson made Free Throw.,67,65
0:21,2031,Jalen Jackson made Free Throw.,68,65
0:17,179,St. Bonaventure  Timeout,68,65
0:04,179,Jaylen Adams missed Three Point Jumper.,68,65
0:04,2031,Marcus Johnson Jr. Defensive Rebound.,68,65
0:00,179,End of Game,68,65
