Norfolk State,2086,Butler,2450
0:24,2450,Foul on Bryan Gellineau.,24,48
0:24,2086,Henry Baddley made Free Throw.,24,49
0:24,2086,Henry Baddley made Free Throw.,24,50
0:06,2450,Jordan Butler missed Jumper.,24,50
0:06,2086,Henry Baddley Defensive Rebound.,24,50
0:00,2086,End of 1st half,24,50
19:31,2086,Avery Woodson made Three Point Jumper. Assisted by Kelan Martin.,24,53
19:09,2450,Jordan Butler missed Jumper.,24,53
19:09,2086,Tyler Wideman Block.,24,53
19:06,2086,Andrew Chrabascz Defensive Rebound.,24,53
19:02,2086,Avery Woodson made Three Point Jumper. Assisted by Tyler Lewis.,24,56
18:41,2450,Jordan Butler missed Layup.,24,56
18:41,2086,Andrew Chrabascz Block.,24,56
18:39,2086,Avery Woodson Defensive Rebound.,24,56
18:36,2086,Avery Woodson missed Three Point Jumper.,24,56
18:36,2450,Jonathan Wade Defensive Rebound.,24,56
18:16,2450,Dan Robinson Turnover.,24,56
18:14,2086,Tyler Lewis Steal.,24,56
17:59,2086,Avery Woodson made Three Point Jumper. Assisted by Andrew Chrabascz.,24,59
17:55,2450,Norfolk St  Timeout,24,59
17:34,2450,Zaynah Robinson missed Jumper.,24,59
17:34,2086,Tyler Wideman Defensive Rebound.,24,59
17:21,2086,Butler  Timeout,24,59
17:02,2086,Butler  Turnover.,24,59
16:46,2086,Foul on Tyler Wideman.,24,59
16:32,2450,Jonathan Wade missed Layup.,24,59
16:32,2086,Tyler Wideman Block.,24,59
16:29,2086,Tyler Wideman Defensive Rebound.,24,59
16:12,2450,Foul on Micah Goss.,24,59
16:12,2086,Kelan Martin missed Free Throw.,24,59
16:12,2086,Butler Deadball Team Rebound.,24,59
16:12,2086,Kelan Martin made Free Throw.,24,60
15:51,2450,Alex Long missed Dunk.,24,60
15:51,2450,Alex Long Offensive Rebound.,24,60
15:48,2450,Alex Long made Layup.,26,60
15:48,2086,Foul on Andrew Chrabascz.,26,60
15:48,2086,Official TV Timeout,26,60
15:48,2450,Alex Long missed Free Throw.,26,60
15:48,2086,Kelan Martin Defensive Rebound.,26,60
15:30,2086,Kelan Martin Turnover.,26,60
15:02,2450,Micah Goss missed Jumper.,26,60
15:02,2086,Avery Woodson Defensive Rebound.,26,60
14:51,2086,Avery Woodson made Three Point Jumper. Assisted by Kelan Martin.,26,63
14:26,2086,Foul on Tyler Lewis.,26,63
14:10,2450,Alex Brown missed Jumper.,26,63
14:10,2086,Nate Fowler Defensive Rebound.,26,63
13:58,2086,Nate Fowler made Three Point Jumper. Assisted by Kamar Baldwin.,26,66
13:30,2450,Jordan Butler made Layup.,28,66
13:22,2086,Foul on Kamar Baldwin.,28,66
13:22,2086,Kamar Baldwin Turnover.,28,66
13:17,2450,Jordan Butler Turnover.,28,66
13:14,2086,Kamar Baldwin Steal.,28,66
13:12,2086,Nate Fowler made Layup. Assisted by Kamar Baldwin.,28,68
12:58,2086,Foul on Kamar Baldwin.,28,68
12:58,2450,Zaynah Robinson missed Free Throw.,28,68
12:58,2450,Norfolk St Deadball Team Rebound.,28,68
12:58,2450,Zaynah Robinson made Free Throw.,29,68
12:58,2450,Foul on Zaynah Robinson.,29,68
12:33,2086,Joey Brunk Turnover.,29,68
12:21,2450,Micah Goss missed Jumper.,29,68
12:21,2450,Micah Goss Offensive Rebound.,29,68
12:15,2086,Foul on Nate Fowler.,29,68
12:15,2450,Alex Long missed Free Throw.,29,68
12:15,2450,Norfolk St Deadball Team Rebound.,29,68
12:15,2450,Alex Long made Free Throw.,30,68
12:03,2086,Kamar Baldwin Turnover.,30,68
12:01,2450,Zaynah Robinson Steal.,30,68
11:57,2086,Official TV Timeout,30,68
11:54,2086,Foul on Joey Brunk.,30,68
11:54,2450,Bryan Gellineau made Free Throw.,31,68
11:54,2450,Bryan Gellineau missed Free Throw.,31,68
11:54,2086,Henry Baddley Defensive Rebound.,31,68
11:42,2086,Joey Brunk made Layup. Assisted by Kamar Baldwin.,31,70
11:23,2450,Foul on Bryan Gellineau.,31,70
11:23,2450,Bryan Gellineau Turnover.,31,70
11:12,2086,Sean McDermott made Three Point Jumper. Assisted by Nate Fowler.,31,73
10:57,2450,Stavian Allen Turnover.,31,73
10:39,2086,Kamar Baldwin missed Three Point Jumper.,31,73
10:39,2450,Stavian Allen Defensive Rebound.,31,73
10:31,2450,Alex Brown missed Layup.,31,73
10:31,2086,Joey Brunk Defensive Rebound.,31,73
10:21,2086,Sean McDermott missed Three Point Jumper.,31,73
10:21,2086,Nate Fowler Offensive Rebound.,31,73
10:18,2450,Foul on Micah Goss.,31,73
10:04,2086,Nate Fowler made Layup. Assisted by Joey Brunk.,31,75
9:36,2450,Zaynah Robinson missed Three Point Jumper.,31,75
9:36,2450,Alex Brown Offensive Rebound.,31,75
9:18,2450,Micah Goss made Three Point Jumper. Assisted by Alex Brown.,34,75
8:57,2086,Nate Fowler missed Three Point Jumper.,34,75
8:57,2450,Jordan Butler Defensive Rebound.,34,75
8:48,2450,Zaynah Robinson missed Layup.,34,75
8:48,2086,Steven Bennett Defensive Rebound.,34,75
8:41,2086,Henry Baddley made Dunk. Assisted by Trey Pettus.,34,77
8:29,2450,Dan Robinson missed Jumper.,34,77
8:29,2086,Trey Pettus Defensive Rebound.,34,77
8:15,2450,Foul on Dan Robinson.,34,77
8:15,2086,Henry Baddley missed Free Throw.,34,77
8:15,2086,Butler Deadball Team Rebound.,34,77
8:15,2086,Henry Baddley missed Free Throw.,34,77
8:15,2450,Alex Long Defensive Rebound.,34,77
7:48,2086,Foul on Henry Baddley.,34,77
7:48,2086,Official TV Timeout,34,77
7:48,2450,Jonathan Wade made Free Throw.,35,77
7:48,2450,Jonathan Wade made Free Throw.,36,77
7:27,2086,Joey Brunk made Layup. Assisted by Henry Baddley.,36,79
7:06,2450,Jordan Butler missed Jumper.,36,79
7:06,2086,Henry Baddley Defensive Rebound.,36,79
6:38,2086,Nate Fowler made Layup. Assisted by Steven Bennett.,36,81
6:21,2086,Foul on Steven Bennett.,36,81
6:21,2450,Alex Long made Free Throw.,37,81
6:21,2450,Alex Long made Free Throw.,38,81
6:07,2086,Trey Pettus missed Three Point Jumper.,38,81
6:07,2450,Alex Long Defensive Rebound.,38,81
6:00,2450,Micah Goss made Three Point Jumper. Assisted by Alex Long.,41,81
5:48,2450,Foul on Micah Goss.,41,81
5:27,2086,Steven Bennett missed Jumper.,41,81
5:27,2450,Alex Long Defensive Rebound.,41,81
5:14,2450,Alex Long missed Jumper.,41,81
5:14,2086,Butler Deadball Team Rebound.,41,81
5:11,2450,Foul on Micah Goss.,41,81
5:11,2086,Henry Baddley missed Free Throw.,41,81
5:11,2450,Jonathan Wade Defensive Rebound.,41,81
5:02,2086,Foul on Henry Baddley.,41,81
5:02,2450,Jonathan Wade made Free Throw.,42,81
5:02,2450,Jonathan Wade made Free Throw.,43,81
4:49,2086,Nate Fowler made Jumper. Assisted by Steven Bennett.,43,83
4:23,2450,Jonathan Wade made Three Point Jumper. Assisted by Stavian Allen.,46,83
3:59,2086,Official TV Timeout,46,83
3:54,2086,Steven Bennett missed Three Point Jumper.,46,83
3:54,2450,Jonathan Wade Defensive Rebound.,46,83
3:48,2450,Jonathan Wade missed Layup.,46,83
3:48,2450,Micah Goss Offensive Rebound.,46,83
3:45,2450,Micah Goss made Layup.,48,83
3:24,2086,Steven Bennett missed Three Point Jumper.,48,83
3:24,2086,Nate Fowler Offensive Rebound.,48,83
3:15,2086,Nate Fowler made Dunk. Assisted by Trey Pettus.,48,85
2:53,2450,Jordan Butler Turnover.,48,85
2:46,2086,Steven Bennett Turnover.,48,85
2:44,2450,Jonathan Wade Steal.,48,85
2:42,2450,Jonathan Wade made Layup.,50,85
2:26,2086,Joey Brunk made Dunk. Assisted by Henry Baddley.,50,87
2:05,2450,Micah Goss made Layup.,52,87
1:56,2086,Foul on Trey Pettus.,52,87
1:56,2086,Trey Pettus Turnover.,52,87
1:44,2086,Foul on Nate Fowler.,52,87
1:44,2450,Stavian Allen made Free Throw.,53,87
1:44,2450,Stavian Allen missed Free Throw.,53,87
1:44,2086,Butler Deadball Team Rebound.,53,87
1:43,2450,Foul on Jordan Butler.,53,87
1:43,2450,Norfolk St  Timeout,53,87
1:43,2086,Joey Brunk missed Free Throw.,53,87
1:43,2450,Stavian Allen Defensive Rebound.,53,87
1:30,2450,Stavian Allen made Jumper.,55,87
1:12,2086,Trey Pettus made Layup.,55,89
1:00,2450,Alex Brown missed Jumper.,55,89
1:00,2086,Joey Brunk Defensive Rebound.,55,89
0:46,2086,Trey Pettus made Layup.,55,91
0:34,2450,Jonathan Wade missed Jumper.,55,91
0:34,2086,Joey Brunk Defensive Rebound.,55,91
0:20,2450,Foul on Jordan Butler.,55,91
0:20,2086,Steven Bennett missed Free Throw.,55,91
0:20,2086,Nate Fowler Offensive Rebound.,55,91
0:00,2086,End of Game,55,91
