Drexel,2181,Drake,2182
12:43,2182,Troy Harper missed Three Point Jumper.,8,10
12:43,2181,Noah Thomas Defensive Rebound.,8,10
12:36,2181,Ore Arogundade made Three Point Jumper. Assisted by Noah Thomas.,8,13
12:34,2182,Drexel  Timeout,8,13
12:18,2182,Sammy Mojica Turnover.,8,13
12:17,2181,Noah Thomas Steal.,8,13
12:17,2182,Foul on Tramaine Isabell.,8,13
12:06,2181,Ore Arogundade made Layup. Assisted by Noah Thomas.,8,15
11:54,2181,Foul on Ore Arogundade.,8,15
11:54,2181,Official TV Timeout,8,15
11:44,2182,Austin Williams missed Jumper.,8,15
11:44,2181,Nick McGlynn Defensive Rebound.,8,15
11:37,2181,Ore Arogundade made Three Point Jumper. Assisted by Reed Timmer.,8,18
11:11,2182,Kurk Lee missed Three Point Jumper.,8,18
11:11,2181,Reed Timmer Defensive Rebound.,8,18
10:58,2181,Ore Arogundade missed Jumper.,8,18
10:58,2182,Austin Williams Defensive Rebound.,8,18
10:42,2182,Tramaine Isabell made Jumper.,10,18
10:42,2181,Foul on Graham Woodward.,10,18
10:42,2182,Tramaine Isabell made Free Throw.,11,18
10:20,2181,C.J. Rivers made Layup. Assisted by De'Antae McMurray.,11,20
10:05,2182,Sam Green missed Three Point Jumper.,11,20
10:05,2181,Reed Timmer Defensive Rebound.,11,20
9:57,2181,Reed Timmer made Three Point Jumper. Assisted by De'Antae McMurray.,11,23
9:32,2182,Tramaine Isabell missed Layup.,11,23
9:32,2182,Austin Williams Offensive Rebound.,11,23
9:26,2181,Foul on Noah Thomas.,11,23
9:26,2182,Troy Harper made Free Throw.,12,23
9:26,2182,Troy Harper made Free Throw.,13,23
9:11,2181,Ore Arogundade Turnover.,13,23
8:56,2182,Troy Harper made Layup.,15,23
8:38,2181,Nick McGlynn made Layup. Assisted by Graham Woodward.,15,25
8:11,2182,Kurk Lee made Layup.,17,25
7:52,2181,Nick McGlynn missed Layup.,17,25
7:52,2182,Tramaine Isabell Defensive Rebound.,17,25
7:44,2182,Tramaine Isabell made Layup.,19,25
7:24,2181,C.J. Rivers made Layup. Assisted by Graham Woodward.,19,27
7:10,2182,Tadas Kararinas missed Jumper.,19,27
7:10,2181,C.J. Rivers Defensive Rebound.,19,27
7:03,2181,Ore Arogundade made Layup.,19,29
7:02,2182,Drexel  Timeout,19,29
6:54,2182,Kurk Lee missed Three Point Jumper.,19,29
6:54,2181,Ore Arogundade Defensive Rebound.,19,29
6:45,2181,De'Antae McMurray made Layup.,19,31
6:30,2182,Troy Harper made Jumper. Assisted by Kurk Lee.,21,31
6:07,2181,Casey Schlatter Turnover.,21,31
5:51,2182,Austin Williams Turnover.,21,31
5:49,2181,C.J. Rivers Steal.,21,31
5:46,2181,Graham Woodward missed Three Point Jumper.,21,31
5:46,2181,C.J. Rivers Offensive Rebound.,21,31
5:42,2182,Foul on Kurk Lee.,21,31
5:42,2181,Graham Woodward made Free Throw.,21,32
5:42,2181,Graham Woodward made Free Throw.,21,33
5:28,2182,Sammy Mojica missed Three Point Jumper.,21,33
5:28,2181,Casey Schlatter Defensive Rebound.,21,33
5:16,2181,De'Antae McMurray missed Layup.,21,33
5:16,2182,Jarvis Doles Defensive Rebound.,21,33
5:09,2182,Troy Harper missed Layup.,21,33
5:09,2182,Troy Harper Offensive Rebound.,21,33
5:08,2181,Foul on Casey Schlatter.,21,33
5:08,2182,Troy Harper made Free Throw.,22,33
5:08,2182,Troy Harper made Free Throw.,23,33
4:54,2181,Reed Timmer missed Three Point Jumper.,23,33
4:54,2181,Nick McGlynn Offensive Rebound.,23,33
4:49,2181,Nick McGlynn made Two Point Tip Shot.,23,35
4:35,2181,Foul on Nick McGlynn.,23,35
4:35,2182,Austin Williams missed Free Throw.,23,35
4:35,2181,Ore Arogundade Defensive Rebound.,23,35
4:08,2181,Kory Kuenstling missed Layup.,23,35
4:08,2182,Austin Williams Block.,23,35
4:05,2182,Kurk Lee Defensive Rebound.,23,35
3:57,2182,Troy Harper missed Three Point Jumper.,23,35
3:57,2181,C.J. Rivers Defensive Rebound.,23,35
3:46,2182,Austin Williams Block.,23,35
3:45,2181,Drake Offensive Rebound.,23,35
3:45,2181,Official TV Timeout,23,35
3:44,2181,Kory Kuenstling missed Jumper.,23,35
3:44,2181,Official TV Timeout,23,35
3:30,2181,C.J. Rivers Turnover.,23,35
3:29,2182,Tyshawn Myles Steal.,23,35
3:12,2182,Jarvis Doles made Layup. Assisted by Tramaine Isabell.,25,35
2:49,2182,Foul on Jarvis Doles.,25,35
2:43,2181,Reed Timmer missed Layup.,25,35
2:43,2182,Jarvis Doles Defensive Rebound.,25,35
2:27,2182,Kurk Lee missed Jumper.,25,35
2:27,2181,C.J. Rivers Defensive Rebound.,25,35
2:21,2182,Foul on Tyshawn Myles.,25,35
2:21,2181,C.J. Rivers made Free Throw.,25,36
2:21,2181,C.J. Rivers made Free Throw.,25,37
2:11,2182,Tramaine Isabell Turnover.,25,37
1:55,2181,Nick McGlynn made Layup. Assisted by De'Antae McMurray.,25,39
1:44,2182,Tramaine Isabell missed Three Point Jumper.,25,39
1:44,2182,Tyshawn Myles Offensive Rebound.,25,39
1:33,2181,Foul on Nick McGlynn.,25,39
1:33,2182,Tramaine Isabell missed Free Throw.,25,39
1:33,2182,Drexel Deadball Team Rebound.,25,39
1:33,2182,Tramaine Isabell made Free Throw.,26,39
1:09,2181,Kory Kuenstling missed Layup.,26,39
1:09,2182,Tramaine Isabell Defensive Rebound.,26,39
1:03,2182,Tramaine Isabell made Three Point Jumper.,29,39
0:44,2181,Noah Thomas missed Three Point Jumper.,29,39
0:44,2182,Sammy Mojica Defensive Rebound.,29,39
0:33,2182,Tramaine Isabell made Layup.,31,39
0:01,2182,Foul on Tyshawn Myles.,31,39
0:01,2181,De'Antae McMurray missed Free Throw.,31,39
0:01,2181,Drake Deadball Team Rebound.,31,39
0:01,2181,De'Antae McMurray made Free Throw.,31,40
0:00,2181,End of 1st half,31,39
19:48,2181,De'Antae McMurray missed Three Point Jumper.,31,40
19:48,2182,Sammy Mojica Defensive Rebound.,31,40
19:31,2182,Kurk Lee made Layup. Assisted by Austin Williams.,33,40
19:09,2181,Ore Arogundade made Jumper.,33,42
18:52,2182,Austin Williams missed Layup.,33,42
18:52,2181,Nick McGlynn Defensive Rebound.,33,42
18:46,2181,C.J. Rivers missed Layup.,33,42
18:46,2182,Austin Williams Block.,33,42
18:44,2182,Drexel Defensive Rebound.,33,42
18:31,2182,Troy Harper missed Jumper.,33,42
18:31,2181,C.J. Rivers Defensive Rebound.,33,42
18:23,2181,De'Antae McMurray missed Layup.,33,42
18:23,2182,Austin Williams Block.,33,42
18:21,2182,Drexel Defensive Rebound.,33,42
18:00,2182,Austin Williams made Dunk. Assisted by Kurk Lee.,35,42
17:38,2181,Nick McGlynn made Jumper. Assisted by Reed Timmer.,35,44
17:22,2182,Jarvis Doles made Three Point Jumper. Assisted by Sammy Mojica.,38,44
16:57,2181,C.J. Rivers made Jumper.,38,46
16:40,2182,Austin Williams Turnover.,38,46
16:39,2181,Ore Arogundade Steal.,38,46
16:38,2181,Ore Arogundade Turnover.,38,46
16:34,2182,Tyshawn Myles missed Layup.,38,46
16:34,2181,Reed Timmer Defensive Rebound.,38,46
16:07,2181,Ore Arogundade missed Three Point Jumper.,38,46
16:07,2182,Sammy Mojica Defensive Rebound.,38,46
15:59,2182,Jarvis Doles missed Three Point Jumper.,38,46
15:59,2181,Casey Schlatter Defensive Rebound.,38,46
15:51,2181,C.J. Rivers missed Three Point Jumper.,38,46
15:51,2181,Reed Timmer Offensive Rebound.,38,46
15:46,2181,Reed Timmer missed Layup.,38,46
15:46,2181,Casey Schlatter Offensive Rebound.,38,46
15:45,2182,Foul on Jarvis Doles.,38,46
15:45,2181,Official TV Timeout,38,46
15:45,2181,Casey Schlatter made Free Throw.,38,47
15:45,2181,Casey Schlatter made Free Throw.,38,48
15:21,2182,Kurk Lee made Three Point Jumper. Assisted by Tramaine Isabell.,41,48
15:00,2182,Foul on Tyshawn Myles.,41,48
15:00,2181,De'Antae McMurray made Free Throw.,41,49
15:00,2181,De'Antae McMurray missed Free Throw.,41,49
15:00,2182,Tramaine Isabell Defensive Rebound.,41,49
14:30,2182,Tramaine Isabell missed Three Point Jumper.,41,49
14:30,2181,Casey Schlatter Defensive Rebound.,41,49
14:20,2181,C.J. Rivers missed Three Point Jumper.,41,49
14:20,2182,Jarvis Doles Defensive Rebound.,41,49
14:19,2182,Technical Foul on Drexel.,41,49
14:19,2181,De'Antae McMurray missed Free Throw.,41,49
14:19,2181,Drake Deadball Team Rebound.,41,49
14:19,2181,De'Antae McMurray made Free Throw.,41,50
14:19,2182,Foul on Drexel.,41,50
14:10,2182,Jarvis Doles made Three Point Jumper. Assisted by Kurk Lee.,44,50
13:39,2181,Graham Woodward Turnover.,44,50
13:37,2182,Troy Harper Steal.,44,50
13:35,2181,Foul on De'Antae McMurray.,44,50
13:35,2182,Troy Harper made Free Throw.,45,50
13:35,2182,Troy Harper made Free Throw.,46,50
13:22,2182,Foul on Troy Harper.,46,50
13:06,2181,Reed Timmer made Jumper. Assisted by Noah Thomas.,46,52
12:45,2182,Kurk Lee missed Jumper.,46,52
12:45,2181,Ore Arogundade Defensive Rebound.,46,52
12:40,2181,Noah Thomas missed Three Point Jumper.,46,52
12:40,2181,Nick McGlynn Offensive Rebound.,46,52
12:33,2181,Reed Timmer made Layup.,46,54
12:31,2182,Drexel  Timeout,46,54
12:24,2181,Foul on Nick McGlynn.,46,54
12:05,2181,Foul on Ore Arogundade.,46,54
12:05,2182,Tramaine Isabell made Free Throw.,47,54
12:05,2182,Tramaine Isabell made Free Throw.,48,54
11:38,2181,Graham Woodward made Jumper.,48,56
11:23,2182,Kurk Lee missed Jumper.,48,56
11:23,2182,Drexel Offensive Rebound.,48,56
11:20,2181,Official TV Timeout,48,56
11:01,2182,Austin Williams made Jumper.,50,56
10:42,2181,Nick McGlynn missed Layup.,50,56
10:42,2182,Austin Williams Block.,50,56
10:42,2181,Drake Offensive Rebound.,50,56
10:41,2181,De'Antae McMurray made Jumper.,50,58
10:14,2182,Tramaine Isabell made Layup.,52,58
9:54,2181,C.J. Rivers Turnover.,52,58
9:53,2182,Tramaine Isabell Steal.,52,58
9:51,2182,Tramaine Isabell made Layup.,54,58
9:34,2181,Graham Woodward made Three Point Jumper. Assisted by Nick McGlynn.,54,61
9:19,2182,Tramaine Isabell made Layup.,56,61
8:56,2182,Foul on Austin Williams.,56,61
8:56,2181,C.J. Rivers made Free Throw.,56,62
8:56,2181,C.J. Rivers made Free Throw.,56,63
8:43,2182,Kurk Lee missed Three Point Jumper.,56,63
8:43,2181,Casey Schlatter Defensive Rebound.,56,63
8:33,2181,De'Antae McMurray missed Three Point Jumper.,56,63
8:33,2182,Austin Williams Defensive Rebound.,56,63
8:15,2182,Sammy Mojica missed Three Point Jumper.,56,63
8:15,2181,C.J. Rivers Defensive Rebound.,56,63
8:09,2181,Reed Timmer missed Layup.,56,63
8:09,2182,Jarvis Doles Defensive Rebound.,56,63
7:59,2182,Jarvis Doles missed Three Point Jumper.,56,63
7:59,2181,Graham Woodward Defensive Rebound.,56,63
7:32,2181,Reed Timmer missed Layup.,56,63
7:32,2182,Austin Williams Defensive Rebound.,56,63
7:24,2182,Tramaine Isabell made Layup.,58,63
7:16,2181,Drake  Timeout,58,63
7:02,2181,Graham Woodward made Three Point Jumper. Assisted by Casey Schlatter.,58,66
6:41,2182,Tramaine Isabell made Three Point Jumper.,61,66
6:16,2181,Graham Woodward missed Jumper.,61,66
6:16,2182,Tyshawn Myles Defensive Rebound.,61,66
6:08,2182,Kurk Lee Turnover.,61,66
6:06,2181,Graham Woodward Steal.,61,66
5:55,2181,De'Antae McMurray made Layup. Assisted by Casey Schlatter.,61,68
5:46,2182,Tramaine Isabell made Three Point Jumper.,64,68
5:25,2181,Reed Timmer missed Three Point Jumper.,64,68
5:25,2182,Jarvis Doles Defensive Rebound.,64,68
5:11,2182,Tyshawn Myles missed Layup.,64,68
5:11,2181,Casey Schlatter Defensive Rebound.,64,68
4:46,2181,Graham Woodward missed Three Point Jumper.,64,68
4:46,2182,Tramaine Isabell Defensive Rebound.,64,68
4:33,2182,Tramaine Isabell missed Three Point Jumper.,64,68
4:33,2181,Casey Schlatter Defensive Rebound.,64,68
4:24,2181,De'Antae McMurray made Layup.,64,70
4:24,2182,Foul on Tyshawn Myles.,64,70
4:24,2181,De'Antae McMurray made Free Throw.,64,71
4:01,2181,Foul on De'Antae McMurray.,64,71
4:01,2182,Kurk Lee made Free Throw.,65,71
4:01,2182,Kurk Lee made Free Throw.,66,71
3:36,2181,De'Antae McMurray missed Jumper.,66,71
3:36,2182,Tramaine Isabell Defensive Rebound.,66,71
3:22,2182,Kurk Lee missed Jumper.,66,71
3:22,2181,Nick McGlynn Block.,66,71
3:20,2182,Kurk Lee Offensive Rebound.,66,71
3:18,2182,Kurk Lee made Layup.,68,71
3:03,2181,Official TV Timeout,68,71
2:49,2181,Graham Woodward missed Three Point Jumper.,68,71
2:49,2182,Austin Williams Defensive Rebound.,68,71
2:27,2182,Tramaine Isabell Turnover.,68,71
2:03,2181,Reed Timmer missed Jumper.,68,71
2:03,2182,Jarvis Doles Defensive Rebound.,68,71
1:55,2181,Foul on C.J. Rivers.,68,71
1:52,2182,Austin Williams made Jumper. Assisted by Kurk Lee.,70,71
1:19,2181,Reed Timmer missed Jumper.,70,71
1:18,2182,Austin Williams Defensive Rebound.,70,71
1:02,2182,Austin Williams missed Layup.,70,71
1:02,2181,Nick McGlynn Block.,70,71
0:59,2181,Nick McGlynn Defensive Rebound.,70,71
0:32,2181,De'Antae McMurray missed Jumper.,70,71
0:32,2182,Tramaine Isabell Defensive Rebound.,70,71
0:21,2181,Foul on Graham Woodward.,70,71
0:21,2181,Drake  Timeout,70,71
0:21,2182,Austin Williams missed Free Throw.,70,71
0:21,2182,Drexel Deadball Team Rebound.,70,71
0:21,2182,Austin Williams made Free Throw.,71,71
0:02,2181,De'Antae McMurray missed Layup.,71,71
0:01,2181,Drake Offensive Rebound.,71,71
0:00,2181,Nick McGlynn missed Jumper.,71,71
0:00,2182,Drexel Defensive Rebound.,71,71
0:00,2181,End of 2nd half,71,71
4:52,2182,Kurk Lee made Jumper.,73,71
4:33,2182,Foul on Austin Williams.,73,71
4:33,2181,De'Antae McMurray missed Free Throw.,73,71
4:33,2181,Drake Deadball Team Rebound.,73,71
4:33,2181,De'Antae McMurray made Free Throw.,73,72
4:25,2182,Foul on Kurk Lee.,73,72
4:25,2182,Kurk Lee Turnover.,73,72
4:03,2181,Nick McGlynn missed Layup.,73,72
4:03,2182,Austin Williams Defensive Rebound.,73,72
3:34,2182,Tramaine Isabell missed Layup.,73,72
3:34,2181,De'Antae McMurray Defensive Rebound.,73,72
3:17,2181,Graham Woodward made Jumper. Assisted by Nick McGlynn.,73,74
2:53,2182,Kurk Lee missed Jumper.,73,74
2:53,2182,Drexel Offensive Rebound.,73,74
2:51,2181,Foul on De'Antae McMurray.,73,74
2:51,2182,Austin Williams missed Free Throw.,73,74
2:51,2181,Ore Arogundade Defensive Rebound.,73,74
2:31,2181,Nick McGlynn made Layup. Assisted by Reed Timmer.,73,76
2:15,2181,Foul on Graham Woodward.,73,76
2:15,2182,Tramaine Isabell missed Free Throw.,73,76
2:15,2181,Nick McGlynn Defensive Rebound.,73,76
1:57,2181,De'Antae McMurray missed Layup.,73,76
1:57,2181,Nick McGlynn Offensive Rebound.,73,76
1:55,2181,Nick McGlynn missed Layup.,73,76
1:53,2181,Nick McGlynn Offensive Rebound.,73,76
1:49,2181,Reed Timmer missed Jumper.,73,76
1:49,2182,Austin Williams Defensive Rebound.,73,76
1:37,2181,Foul on Graham Woodward.,73,76
1:37,2182,Kurk Lee missed Free Throw.,73,76
1:37,2182,Drexel Deadball Team Rebound.,73,76
1:37,2182,Kurk Lee made Free Throw.,74,76
1:14,2182,Foul on Tramaine Isabell.,74,76
1:14,2181,Nick McGlynn made Free Throw.,74,77
1:14,2181,Nick McGlynn made Free Throw.,74,78
0:59,2182,Tramaine Isabell missed Three Point Jumper.,74,78
0:59,2182,Austin Williams Offensive Rebound.,74,78
0:56,2182,Kurk Lee missed Three Point Jumper.,74,78
0:54,2182,Jarvis Doles Offensive Rebound.,74,78
0:53,2181,Foul on Reed Timmer.,74,78
0:53,2182,Jarvis Doles made Free Throw.,75,78
0:53,2182,Jarvis Doles made Free Throw.,76,78
0:28,2181,Nick McGlynn missed Layup.,76,78
0:28,2182,Kurk Lee Defensive Rebound.,76,78
0:05,2181,Foul on Nick McGlynn.,76,78
0:05,2182,Tramaine Isabell made Free Throw.,77,78
0:05,2181,Drake  Timeout,77,78
0:05,2182,Tramaine Isabell made Free Throw.,78,78
0:01,2181,Reed Timmer missed Three Point Jumper.,78,78
0:00,2182,Austin Williams Defensive Rebound.,78,78
0:00,2181,End of 1st overtime,78,78
4:43,2181,Graham Woodward missed Jumper.,78,78
4:43,2182,Austin Williams Defensive Rebound.,78,78
4:28,2182,Sammy Mojica made Three Point Jumper. Assisted by Kurk Lee.,81,78
3:53,2181,Reed Timmer made Layup.,81,80
3:53,2182,Foul on Austin Williams.,81,80
3:53,2181,Reed Timmer made Free Throw.,81,81
3:35,2182,Kurk Lee made Jumper.,83,81
3:18,2181,De'Antae McMurray missed Layup.,83,81
3:18,2182,Austin Williams Block.,83,81
3:16,2182,Austin Williams Defensive Rebound.,83,81
2:59,2182,Tramaine Isabell missed Layup.,83,81
2:59,2181,Nick McGlynn Block.,83,81
2:58,2181,Drake Defensive Rebound.,83,81
2:31,2181,De'Antae McMurray missed Three Point Jumper.,83,81
2:31,2182,Tramaine Isabell Defensive Rebound.,83,81
2:03,2182,Kurk Lee made Jumper.,85,81
1:43,2181,Graham Woodward made Jumper.,85,83
1:12,2182,Tramaine Isabell missed Three Point Jumper.,85,83
1:12,2181,De'Antae McMurray Defensive Rebound.,85,83
1:06,2181,De'Antae McMurray made Layup.,85,85
1:06,2182,Foul on Austin Williams.,85,85
1:06,2181,De'Antae McMurray made Free Throw.,85,86
0:49,2182,Kurk Lee missed Jumper.,85,86
0:49,2181,Nick McGlynn Defensive Rebound.,85,86
0:47,2182,Foul on Tyshawn Myles.,85,86
0:47,2181,Nick McGlynn made Free Throw.,85,87
0:47,2181,Nick McGlynn made Free Throw.,85,88
0:41,2182,Sammy Mojica made Three Point Jumper. Assisted by Tramaine Isabell.,88,88
0:15,2181,De'Antae McMurray made Jumper.,88,90
0:07,2182,Tramaine Isabell Turnover.,88,90
0:07,2182,Drexel  Timeout,88,90
0:07,2181,Drake  Timeout,88,90
0:05,2182,Foul on Tramaine Isabell.,88,90
0:05,2181,De'Antae McMurray missed Free Throw.,88,90
0:05,2181,Drake Deadball Team Rebound.,88,90
0:05,2182,Drexel  Timeout,88,90
0:05,2181,De'Antae McMurray missed Free Throw.,88,90
0:05,2182,Jarvis Doles Defensive Rebound.,88,90
0:02,2182,Jarvis Doles Turnover.,88,90
0:01,2181,De'Antae McMurray Steal.,88,90
0:00,2181,End of Game,88,90
