Cornell,2349,UMass Lowell,172
11:14,172,Joel Davis Defensive Rebound.,52,67
11:06,2349,Foul on Matt Harris.,52,67
11:06,172,Joel Davis missed Free Throw.,52,67
11:06,172,Cornell Deadball Team Rebound.,52,67
11:06,172,Joel Davis made Free Throw.,53,67
10:46,2349,Shawn Jones missed Layup.,53,67
10:46,172,Terrance McBride Defensive Rebound.,53,67
10:41,172,Matt Morgan made Layup. Assisted by Terrance McBride.,55,67
10:41,2349,Foul on Josh Gantz.,55,67
10:41,172,Matt Morgan made Free Throw.,56,67
10:24,2349,Connor Bennett missed Layup.,56,67
10:24,172,Steven Julian Block.,56,67
10:22,2349,UMass Lowell Offensive Rebound.,56,67
10:12,172,Foul on Jordan Abdur-Ra'oof.,56,67
10:12,2349,Jahad Thomas made Free Throw.,56,68
10:12,2349,Jahad Thomas made Free Throw.,56,69
9:58,172,Terrance McBride Turnover.,56,69
9:57,2349,Shawn Jones Steal.,56,69
9:54,2349,Jahad Thomas Turnover.,56,69
9:54,2349,UMass Lowell  Timeout,56,69
9:43,172,Matt Morgan made Layup.,58,69
9:23,2349,Jahad Thomas missed Jumper.,58,69
9:23,2349,Rinardo Perry Offensive Rebound.,58,69
9:20,2349,Rinardo Perry made Two Point Tip Shot.,58,71
9:11,172,Jordan Abdur-Ra'oof made Three Point Jumper. Assisted by Wil Bathurst.,61,71
8:54,2349,Matt Harris made Three Point Jumper. Assisted by Connor Bennett.,61,74
8:33,172,Wil Bathurst Turnover.,61,74
8:32,2349,Shawn Jones Steal.,61,74
8:30,2349,Shawn Jones made Layup.,61,76
8:30,172,Foul on Matt Morgan.,61,76
8:30,2349,Shawn Jones made Free Throw.,61,77
8:19,2349,Foul on Josh Gantz.,61,77
8:19,172,Matt Morgan missed Free Throw.,61,77
8:19,172,Cornell Deadball Team Rebound.,61,77
8:19,172,Matt Morgan made Free Throw.,62,77
8:05,2349,Shawn Jones made Layup. Assisted by Stefan Borovac.,62,79
7:55,172,Matt Morgan missed Layup.,62,79
7:55,2349,Rinardo Perry Defensive Rebound.,62,79
7:24,2349,Rinardo Perry missed Three Point Jumper.,62,79
7:24,172,Jordan Abdur-Ra'oof Defensive Rebound.,62,79
7:21,2349,Foul on Shawn Jones.,62,79
7:21,2349,Official TV Timeout,62,79
7:10,172,Matt Morgan missed Jumper.,62,79
7:10,2349,Jahad Thomas Defensive Rebound.,62,79
6:44,2349,Rinardo Perry made Three Point Jumper.,62,82
6:32,172,Jordan Abdur-Ra'oof made Layup. Assisted by Wil Bathurst.,64,82
6:32,2349,Foul on Stefan Borovac.,64,82
6:32,172,Jordan Abdur-Ra'oof missed Free Throw.,64,82
6:32,2349,Jahad Thomas Defensive Rebound.,64,82
6:15,2349,Shawn Jones made Layup.,64,84
5:58,172,Jordan Abdur-Ra'oof made Three Point Jumper. Assisted by Wil Bathurst.,67,84
5:39,2349,Jahad Thomas missed Jumper.,67,84
5:39,172,Steven Julian Defensive Rebound.,67,84
5:30,172,Steven Julian made Three Point Jumper. Assisted by Matt Morgan.,70,84
5:11,2349,Ryan Jones missed Layup.,70,84
5:11,172,Steven Julian Defensive Rebound.,70,84
5:03,172,Wil Bathurst missed Layup.,70,84
5:03,172,Wil Bathurst Offensive Rebound.,70,84
4:59,2349,Foul on Connor Bennett.,70,84
4:59,172,Wil Bathurst missed Free Throw.,70,84
4:59,172,Cornell Deadball Team Rebound.,70,84
4:59,172,Wil Bathurst made Free Throw.,71,84
4:36,2349,Rinardo Perry missed Layup.,71,84
4:36,2349,Connor Bennett Offensive Rebound.,71,84
4:31,172,Foul on Steven Julian.,71,84
4:31,2349,Jahad Thomas made Free Throw.,71,85
4:31,2349,Jahad Thomas made Free Throw.,71,86
4:20,172,Jack Gordon Turnover.,71,86
4:00,2349,Rinardo Perry made Three Point Jumper. Assisted by Jahad Thomas.,71,89
3:40,2349,Foul on Rinardo Perry.,71,89
3:40,2349,Official TV Timeout,71,89
3:40,172,Jack Gordon missed Free Throw.,71,89
3:40,172,Cornell Deadball Team Rebound.,71,89
3:40,172,Jack Gordon missed Free Throw.,71,89
3:40,2349,Jahad Thomas Defensive Rebound.,71,89
3:25,2349,Jahad Thomas missed Jumper.,71,89
3:25,172,Joel Davis Defensive Rebound.,71,89
3:17,172,Joel Davis missed Layup.,71,89
3:17,172,Riley Voss Offensive Rebound.,71,89
3:13,172,Riley Voss made Layup.,73,89
3:13,2349,Foul on Connor Bennett.,73,89
3:13,172,Riley Voss made Free Throw.,74,89
2:52,172,Foul on Joel Davis.,74,89
2:52,2349,Shawn Jones made Free Throw.,74,90
2:52,2349,Shawn Jones made Free Throw.,74,91
2:32,172,Steven Julian made Layup. Assisted by Bryan Knapp.,76,91
2:24,172,Foul on Terrance McBride.,76,91
2:24,2349,Ryan Jones made Free Throw.,76,92
2:24,2349,Ryan Jones made Free Throw.,76,93
2:10,172,Joel Davis missed Jumper.,76,93
2:10,172,Jake Kuhn Offensive Rebound.,76,93
2:06,172,Jake Kuhn made Two Point Tip Shot.,78,93
1:49,2349,Ryan Jones made Three Point Jumper. Assisted by Connor Bennett.,78,96
1:40,2349,Foul on Joey Naccarato.,78,96
1:40,172,Bryan Knapp missed Free Throw.,78,96
1:40,172,Cornell Deadball Team Rebound.,78,96
1:40,172,Bryan Knapp missed Free Throw.,78,96
1:40,172,Riley Voss Offensive Rebound.,78,96
1:18,172,Foul on Bryan Knapp.,78,96
1:18,172,Bryan Knapp Turnover.,78,96
1:04,2349,Stefan Borovac made Layup. Assisted by Shawn Jones.,78,98
0:44,172,Riley Voss missed Three Point Jumper.,78,98
0:44,2349,UMass Lowell Defensive Rebound.,78,98
0:32,2349,Obadiah Noel Turnover.,78,98
0:14,2349,Foul on Obadiah Noel.,78,98
0:14,172,Jake Kuhn missed Free Throw.,78,98
0:14,172,Cornell Deadball Team Rebound.,78,98
0:14,172,Jake Kuhn missed Free Throw.,78,98
0:14,2349,Joey Naccarato Defensive Rebound.,78,98
0:00,2349,End of Game,78,98
