Houston,154,Wake Forest,248
7:08,154,Doral Moore Defensive Rebound.,26,30
6:55,154,Foul on Bryant Crawford.,26,30
6:55,154,Bryant Crawford Turnover.,26,30
6:32,248,Wes VanBeck made Three Point Jumper. Assisted by Galen Robinson Jr..,29,30
6:04,154,Keyshawn Woods made Jumper.,29,32
6:04,248,Foul on Breaon Brady.,29,32
6:04,154,Keyshawn Woods made Free Throw.,29,33
5:57,248,Wes VanBeck made Three Point Jumper. Assisted by Galen Robinson Jr..,32,33
5:42,154,Foul on Doral Moore.,32,33
5:42,154,Doral Moore Turnover.,32,33
5:25,248,Breaon Brady missed Layup.,32,33
5:25,248,Breaon Brady Offensive Rebound.,32,33
5:23,248,Breaon Brady missed Layup.,32,33
5:23,154,Sunday Okeke Block.,32,33
5:21,248,Breaon Brady Offensive Rebound.,32,33
5:18,248,Breaon Brady missed Layup.,32,33
5:18,154,Wake Forest Defensive Rebound.,32,33
5:03,154,Bryant Crawford missed Jumper.,32,33
5:03,248,Breaon Brady Defensive Rebound.,32,33
4:55,248,Houston  Timeout,32,33
4:35,248,Wes VanBeck missed Three Point Jumper.,32,33
4:35,248,Devin Davis Offensive Rebound.,32,33
4:30,248,Devin Davis missed Layup.,32,33
4:30,154,Sunday Okeke Block.,32,33
4:28,248,Wes VanBeck Offensive Rebound.,32,33
4:28,248,Wes VanBeck Turnover.,32,33
4:11,154,Chaundee Brown missed Layup.,32,33
4:11,248,Devin Davis Block.,32,33
4:11,154,Wake Forest Offensive Rebound.,32,33
4:04,154,Bryant Crawford missed Jumper.,32,33
4:04,248,Houston Defensive Rebound.,32,33
3:49,248,Galen Robinson Jr. Turnover.,32,33
3:48,154,Keyshawn Woods Steal.,32,33
3:42,154,Keyshawn Woods missed Layup.,32,33
3:42,154,Keyshawn Woods Offensive Rebound.,32,33
3:38,154,Keyshawn Woods Turnover.,32,33
3:37,248,Wes VanBeck Steal.,32,33
3:30,248,Wes VanBeck made Three Point Jumper. Assisted by Rob Gray.,35,33
3:26,154,Wake Forest  Timeout,35,33
3:12,154,Brandon Childress made Three Point Jumper. Assisted by Keyshawn Woods.,35,36
2:57,248,Rob Gray made Layup. Assisted by Devin Davis.,37,36
2:37,154,Brandon Childress made Layup.,37,38
2:12,248,Wes VanBeck missed Three Point Jumper.,37,38
2:12,154,Brandon Childress Defensive Rebound.,37,38
2:08,248,Foul on Rob Gray.,37,38
2:08,154,Mitchell Wilbekin made Free Throw.,37,39
2:08,154,Mitchell Wilbekin made Free Throw.,37,40
1:56,248,Devin Davis made Jumper. Assisted by Wes VanBeck.,39,40
1:39,248,Foul on Wes VanBeck.,39,40
1:39,154,Keyshawn Woods made Free Throw.,39,41
1:39,154,Keyshawn Woods made Free Throw.,39,42
1:24,248,Devin Davis made Jumper. Assisted by Galen Robinson Jr..,41,42
1:03,154,Keyshawn Woods Turnover.,41,42
0:47,248,Nura Zanna missed Layup.,41,42
0:47,154,Wake Forest Defensive Rebound.,41,42
0:32,154,Bryant Crawford missed Layup.,41,42
0:32,248,Corey Davis Jr. Defensive Rebound.,41,42
0:02,248,Foul on Devin Davis.,41,42
0:02,248,Devin Davis Turnover.,41,42
0:00,154,End of 1st half,41,42
19:47,248,Devin Davis missed Jumper.,41,42
19:47,248,Breaon Brady Offensive Rebound.,41,42
19:37,248,Foul on Breaon Brady.,41,42
19:37,248,Breaon Brady Turnover.,41,42
19:28,154,Mitchell Wilbekin made Three Point Jumper.,41,45
19:05,248,Devin Davis made Layup. Assisted by Wes VanBeck.,43,45
18:41,154,Doral Moore Turnover.,43,45
18:29,248,Breaon Brady made Layup. Assisted by Rob Gray.,45,45
18:21,154,Foul on Doral Moore.,45,45
18:21,154,Doral Moore Turnover.,45,45
18:10,248,Wes VanBeck made Three Point Jumper. Assisted by Breaon Brady.,48,45
17:49,248,Foul on Breaon Brady.,48,45
17:37,154,Bryant Crawford missed Three Point Jumper.,48,45
17:37,248,Devin Davis Defensive Rebound.,48,45
17:26,248,Devin Davis made Jumper.,50,45
17:14,248,Foul on Galen Robinson Jr..,50,45
17:04,154,Keyshawn Woods made Jumper.,50,47
16:41,248,Rob Gray Turnover.,50,47
16:40,154,Keyshawn Woods Steal.,50,47
16:30,154,Keyshawn Woods made Three Point Jumper. Assisted by Brandon Childress.,50,50
16:19,154,Foul on Keyshawn Woods.,50,50
16:19,248,Nura Zanna missed Free Throw.,50,50
16:19,248,Houston Deadball Team Rebound.,50,50
16:19,248,Nura Zanna made Free Throw.,51,50
16:04,154,Keyshawn Woods missed Three Point Jumper.,51,50
16:04,154,Donovan Mitchell Offensive Rebound.,51,50
15:46,154,Donovan Mitchell missed Three Point Jumper.,51,50
15:46,154,Brandon Childress Offensive Rebound.,51,50
15:31,154,Foul on Sam Japhet-Mathias.,51,50
15:31,154,Sam Japhet-Mathias Turnover.,51,50
15:31,154,Official TV Timeout,51,50
15:18,248,Wes VanBeck missed Three Point Jumper.,51,50
15:18,154,Bryant Crawford Defensive Rebound.,51,50
15:02,154,Brandon Childress missed Three Point Jumper.,51,50
15:02,248,Nura Zanna Defensive Rebound.,51,50
14:53,248,Wes VanBeck Turnover.,51,50
14:39,154,Brandon Childress made Three Point Jumper. Assisted by Keyshawn Woods.,51,53
14:26,248,Galen Robinson Jr. missed Layup.,51,53
14:26,248,Nura Zanna Offensive Rebound.,51,53
14:22,248,Rob Gray made Three Point Jumper. Assisted by Wes VanBeck.,54,53
14:02,154,Keyshawn Woods missed Jumper.,54,53
14:02,248,Wes VanBeck Defensive Rebound.,54,53
13:34,154,Foul on Sam Japhet-Mathias.,54,53
13:34,248,Nura Zanna made Free Throw.,55,53
13:34,248,Nura Zanna missed Free Throw.,55,53
13:34,154,Donovan Mitchell Defensive Rebound.,55,53
13:12,154,Donovan Mitchell missed Three Point Jumper.,55,53
13:12,248,Wes VanBeck Defensive Rebound.,55,53
13:09,154,Foul on Olivier Sarr.,55,53
13:01,248,Rob Gray missed Jumper.,55,53
13:01,154,Wake Forest Defensive Rebound.,55,53
12:59,248,Foul on Nura Zanna.,55,53
12:38,154,Bryant Crawford missed Jumper.,55,53
12:38,248,Wes VanBeck Defensive Rebound.,55,53
12:23,154,Foul on Donovan Mitchell.,55,53
12:23,248,Fabian White Jr. missed Free Throw.,55,53
12:23,248,Houston Deadball Team Rebound.,55,53
12:23,248,Fabian White Jr. made Free Throw.,56,53
12:03,154,Keyshawn Woods missed Three Point Jumper.,56,53
12:03,154,Olivier Sarr Offensive Rebound.,56,53
12:00,248,Foul on Fabian White Jr..,56,53
12:00,154,Official TV Timeout,56,53
11:59,154,Olivier Sarr made Free Throw.,56,54
11:59,154,Olivier Sarr made Free Throw.,56,55
11:36,154,Foul on Donovan Mitchell.,56,55
11:36,248,Devin Davis missed Free Throw.,56,55
11:36,248,Houston Deadball Team Rebound.,56,55
11:36,248,Devin Davis made Free Throw.,57,55
11:17,154,Brandon Childress missed Jumper.,57,55
11:17,248,Corey Davis Jr. Defensive Rebound.,57,55
11:06,248,Devin Davis made Layup. Assisted by Corey Davis Jr..,59,55
10:48,154,Brandon Childress missed Three Point Jumper.,59,55
10:48,248,Devin Davis Defensive Rebound.,59,55
10:38,248,Corey Davis Jr. made Layup.,61,55
10:36,154,Wake Forest  Timeout,61,55
10:25,154,Bryant Crawford missed Three Point Jumper.,61,55
10:25,248,Houston Defensive Rebound.,61,55
10:12,248,Wes VanBeck made Jumper. Assisted by Rob Gray.,63,55
9:56,154,Bryant Crawford made Layup.,63,57
9:49,248,Rob Gray missed Layup.,63,57
9:49,154,Wake Forest Defensive Rebound.,63,57
9:34,248,Foul on Fabian White Jr..,63,57
9:34,154,Keyshawn Woods made Free Throw.,63,58
9:34,154,Keyshawn Woods made Free Throw.,63,59
9:19,248,Nura Zanna Turnover.,63,59
8:54,154,Chaundee Brown missed Jumper.,63,59
8:54,248,Nura Zanna Defensive Rebound.,63,59
8:31,248,Nura Zanna missed Layup.,63,59
8:31,248,Houston Offensive Rebound.,63,59
8:11,248,Rob Gray missed Jumper.,63,59
8:11,248,Nura Zanna Offensive Rebound.,63,59
8:10,154,Foul on Mitchell Wilbekin.,63,59
8:10,248,Nura Zanna missed Free Throw.,63,59
8:10,248,Nura Zanna Offensive Rebound.,63,59
8:06,248,Wes VanBeck missed Three Point Jumper.,63,59
8:06,154,Doral Moore Defensive Rebound.,63,59
7:48,248,Foul on Corey Davis Jr..,63,59
7:48,154,Official TV Timeout,63,59
7:48,154,Bryant Crawford made Free Throw.,63,60
7:48,154,Bryant Crawford made Free Throw.,63,61
7:22,248,Houston  Timeout,63,61
7:19,248,Rob Gray missed Jumper.,63,61
7:19,154,Wake Forest Defensive Rebound.,63,61
7:03,154,Keyshawn Woods missed Jumper.,63,61
7:03,154,Doral Moore Offensive Rebound.,63,61
6:41,248,Foul on Breaon Brady.,63,61
6:41,154,Keyshawn Woods missed Free Throw.,63,61
6:41,154,Doral Moore Offensive Rebound.,63,61
6:38,248,Foul on Fabian White Jr..,63,61
6:38,154,Doral Moore missed Free Throw.,63,61
6:38,154,Wake Forest Deadball Team Rebound.,63,61
6:38,154,Doral Moore missed Free Throw.,63,61
6:38,248,Nura Zanna Defensive Rebound.,63,61
6:29,248,Devin Davis made Jumper. Assisted by Rob Gray.,65,61
6:10,248,Foul on Devin Davis.,65,61
6:10,154,Terrence Thompson made Free Throw.,65,62
6:10,154,Terrence Thompson missed Free Throw.,65,62
6:10,248,Nura Zanna Defensive Rebound.,65,62
5:41,248,Devin Davis missed Layup.,65,62
5:41,154,Doral Moore Block.,65,62
5:40,154,Terrence Thompson Defensive Rebound.,65,62
5:20,154,Foul on Bryant Crawford.,65,62
5:20,154,Bryant Crawford Turnover.,65,62
5:02,248,Corey Davis Jr. missed Three Point Jumper.,65,62
5:02,154,Terrence Thompson Defensive Rebound.,65,62
4:46,154,Brandon Childress made Layup.,65,64
4:35,248,Rob Gray made Three Point Jumper. Assisted by Corey Davis Jr..,68,64
4:13,154,Bryant Crawford missed Layup.,68,64
4:13,154,Terrence Thompson Offensive Rebound.,68,64
4:10,154,Terrence Thompson missed Layup.,68,64
4:10,154,Doral Moore Offensive Rebound.,68,64
4:09,248,Foul on Corey Davis Jr..,68,64
4:09,154,Doral Moore made Free Throw.,68,65
4:09,154,Doral Moore made Free Throw.,68,66
3:57,248,Rob Gray missed Layup.,68,66
3:57,154,Doral Moore Defensive Rebound.,68,66
3:35,248,Foul on Rob Gray.,68,66
3:35,154,Official TV Timeout,68,66
3:35,154,Brandon Childress made Free Throw.,68,67
3:35,154,Brandon Childress made Free Throw.,68,68
3:18,248,Rob Gray made Layup.,70,68
3:07,154,Keyshawn Woods missed Jumper.,70,68
3:07,248,Devin Davis Defensive Rebound.,70,68
3:05,154,Foul on Keyshawn Woods.,70,68
3:05,248,Devin Davis made Free Throw.,71,68
3:05,248,Devin Davis made Free Throw.,72,68
2:59,154,Foul on Bryant Crawford.,72,68
2:59,154,Bryant Crawford Turnover.,72,68
2:44,248,Rob Gray made Three Point Jumper. Assisted by Devin Davis.,75,68
2:28,154,Brandon Childress Turnover.,75,68
2:24,248,Galen Robinson Jr. Steal.,75,68
2:20,248,Wes VanBeck missed Three Point Jumper.,75,68
2:20,154,Bryant Crawford Defensive Rebound.,75,68
2:14,154,Brandon Childress missed Three Point Jumper.,75,68
2:14,248,Devin Davis Defensive Rebound.,75,68
1:51,154,Foul on Keyshawn Woods.,75,68
1:51,248,Rob Gray made Free Throw.,76,68
1:51,248,Rob Gray missed Free Throw.,76,68
1:51,154,Doral Moore Defensive Rebound.,76,68
1:42,154,Mitchell Wilbekin made Three Point Jumper. Assisted by Bryant Crawford.,76,71
1:29,248,Rob Gray missed Layup.,76,71
1:29,248,Devin Davis Offensive Rebound.,76,71
1:27,154,Foul on Doral Moore.,76,71
1:27,248,Devin Davis missed Free Throw.,76,71
1:27,248,Houston Deadball Team Rebound.,76,71
1:27,248,Devin Davis missed Free Throw.,76,71
1:27,154,Bryant Crawford Defensive Rebound.,76,71
1:15,154,Doral Moore made Dunk. Assisted by Bryant Crawford.,76,73
1:14,154,Wake Forest  Timeout,76,73
0:46,248,Rob Gray missed Three Point Jumper.,76,73
0:46,248,Nura Zanna Offensive Rebound.,76,73
0:15,248,Rob Gray made Jumper.,78,73
0:10,154,Keyshawn Woods missed Three Point Jumper.,78,73
0:10,154,Doral Moore Offensive Rebound.,78,73
0:06,154,Bryant Crawford missed Three Point Jumper.,78,73
0:06,248,Devin Davis Defensive Rebound.,78,73
0:00,154,End of Game,78,73
