McNeese,2351,Loyola Marymount,2377
3:01,2351,Mattias Markusson made Jumper. Assisted by Steven Haney.,36,33
2:41,2377,Quatarrius Wilson made Layup. Assisted by James Harvey.,38,33
2:24,2351,Steven Haney missed Three Point Jumper.,38,33
2:24,2351,Donald Gipson Offensive Rebound.,38,33
2:18,2351,Donald Gipson Turnover.,38,33
2:17,2377,James Harvey Steal.,38,33
2:07,2377,LaBarrius Hill Turnover.,38,33
1:57,2351,James Batemon missed Layup.,38,33
1:57,2377,LaBarrius Hill Block.,38,33
1:55,2351,Loyola Marymount Offensive Rebound.,38,33
1:50,2351,Zafir Williams missed Jumper.,38,33
1:50,2377,LaBarrius Hill Defensive Rebound.,38,33
1:39,2377,Richard Laku made Three Point Jumper. Assisted by Quatarrius Wilson.,41,33
1:13,2351,Donald Gipson missed Layup.,41,33
1:13,2377,LaBarrius Hill Block.,41,33
1:11,2377,Richard Laku Defensive Rebound.,41,33
1:08,2377,Jarren Greenwood made Three Point Jumper. Assisted by James Harvey.,44,33
0:55,2377,Foul on LaBarrius Hill.,44,33
0:55,2377,McNeese  Timeout,44,33
0:51,2351,Donald Gipson missed Three Point Jumper.,44,33
0:51,2377,McNeese Defensive Rebound.,44,33
0:39,2351,Foul on Donald Gipson.,44,33
0:39,2377,James Harvey made Free Throw.,45,33
0:39,2377,James Harvey made Free Throw.,46,33
0:28,2351,James Batemon made Layup.,46,35
0:02,2377,James Harvey missed Three Point Jumper.,46,35
0:02,2377,LaBarrius Hill Offensive Rebound.,46,35
0:00,2351,End of 1st half,46,35
19:47,2377,James Harvey missed Three Point Jumper.,46,35
19:47,2377,Quatarrius Wilson Offensive Rebound.,46,35
19:41,2377,Quatarrius Wilson Turnover.,46,35
19:41,2351,Jeffery McClendon Steal.,46,35
19:41,2377,Foul on Quatarrius Wilson.,46,35
19:35,2377,Foul on Stephen Ugochukwu.,46,35
19:30,2351,Zafir Williams missed Layup.,46,35
19:30,2377,Kalob Ledoux Defensive Rebound.,46,35
19:23,2377,Kalob Ledoux Turnover.,46,35
19:22,2351,James Batemon Steal.,46,35
19:20,2351,Eli Scott missed Jumper.,46,35
19:20,2351,Zafir Williams Offensive Rebound.,46,35
19:17,2351,Zafir Williams missed Layup.,46,35
19:17,2351,Eli Scott Offensive Rebound.,46,35
19:15,2351,Eli Scott made Layup.,46,37
19:15,2377,Foul on Stephen Ugochukwu.,46,37
19:15,2351,Eli Scott made Free Throw.,46,38
18:56,2351,Foul on Steven Haney.,46,38
18:43,2377,Kalob Ledoux missed Three Point Jumper.,46,38
18:43,2351,Zafir Williams Defensive Rebound.,46,38
18:29,2351,Steven Haney Turnover.,46,38
18:04,2377,Quatarrius Wilson Turnover.,46,38
17:41,2351,James Batemon missed Layup.,46,38
17:41,2377,LaBarrius Hill Block.,46,38
17:40,2351,Loyola Marymount Offensive Rebound.,46,38
17:36,2351,Steven Haney missed Three Point Jumper.,46,38
17:36,2351,Jeffery McClendon Offensive Rebound.,46,38
17:34,2351,Jeffery McClendon made Layup.,46,40
17:22,2377,Kalob Ledoux made Jumper. Assisted by Jarren Greenwood.,48,40
17:05,2351,Zafir Williams missed Three Point Jumper.,48,40
17:05,2351,Zafir Williams Offensive Rebound.,48,40
17:00,2377,Foul on Quatarrius Wilson.,48,40
17:00,2351,Zafir Williams missed Free Throw.,48,40
17:00,2351,Loyola Marymount Deadball Team Rebound.,48,40
17:00,2351,Zafir Williams made Free Throw.,48,41
16:32,2377,Quatarrius Wilson missed Three Point Jumper.,48,41
16:32,2351,Steven Haney Defensive Rebound.,48,41
16:18,2351,Steven Haney missed Three Point Jumper.,48,41
16:18,2351,Jeffery McClendon Offensive Rebound.,48,41
16:13,2351,Jeffery McClendon missed Layup.,48,41
16:13,2377,Quatarrius Wilson Defensive Rebound.,48,41
16:12,2351,Foul on Jeffery McClendon.,48,41
16:00,2351,Foul on Donald Gipson.,48,41
15:57,2377,James Harvey missed Three Point Jumper.,48,41
15:57,2377,LaBarrius Hill Offensive Rebound.,48,41
15:30,2377,Jacob Ledoux missed Three Point Jumper.,48,41
15:30,2377,James Harvey Offensive Rebound.,48,41
15:26,2377,James Harvey made Jumper.,50,41
14:57,2351,James Batemon made Layup.,50,43
14:33,2377,LaBarrius Hill missed Layup.,50,43
14:33,2351,Mattias Markusson Defensive Rebound.,50,43
14:26,2351,Jeffery McClendon missed Three Point Jumper.,50,43
14:26,2377,Jacob Ledoux Defensive Rebound.,50,43
14:19,2377,James Harvey missed Layup.,50,43
14:19,2377,Jacob Ledoux Offensive Rebound.,50,43
14:14,2377,Jacob Ledoux Turnover.,50,43
14:13,2351,James Batemon Steal.,50,43
14:10,2377,Foul on Jarren Greenwood.,50,43
14:10,2351,Official TV Timeout,50,43
14:00,2377,Foul on Jacob Ledoux.,50,43
14:00,2351,Zafir Williams made Free Throw.,50,44
14:00,2351,Zafir Williams made Free Throw.,50,45
13:44,2377,Kalob Ledoux made Three Point Jumper. Assisted by Quatarrius Wilson.,53,45
13:20,2351,Cameron Allen made Layup. Assisted by Joe Quintana.,53,47
13:02,2377,Jarren Greenwood made Jumper.,55,47
12:35,2377,Foul on LaBarrius Hill.,55,47
12:35,2351,Zafir Williams missed Free Throw.,55,47
12:35,2351,Loyola Marymount Deadball Team Rebound.,55,47
12:35,2351,Zafir Williams made Free Throw.,55,48
12:28,2351,Foul on Cameron Allen.,55,48
12:17,2377,Quatarrius Wilson made Jumper. Assisted by James Harvey.,57,48
11:57,2351,Cameron Allen missed Jumper.,57,48
11:57,2351,Cameron Allen Offensive Rebound.,57,48
11:47,2351,Cameron Allen made Layup. Assisted by Jeffery McClendon.,57,50
11:45,2351,Foul on Mattias Markusson.,57,50
11:45,2351,Technical Foul on Mattias Markusson.,57,50
11:45,2351,Official TV Timeout,57,50
11:45,2377,Jarren Greenwood made Free Throw.,58,50
11:45,2377,Jarren Greenwood made Free Throw.,59,50
11:30,2351,Foul on Mikail Simmons.,59,50
11:28,2377,Quatarrius Wilson made Layup.,61,50
11:25,2351,Foul on Mikail Simmons.,61,50
11:25,2377,Quatarrius Wilson missed Free Throw.,61,50
11:25,2351,Eli Scott Defensive Rebound.,61,50
11:01,2351,Steven Haney missed Three Point Jumper.,61,50
11:01,2377,Quatarrius Wilson Defensive Rebound.,61,50
10:44,2377,Quatarrius Wilson made Jumper.,63,50
10:26,2351,Eli Scott Turnover.,63,50
10:26,2351,Loyola Marymount  Timeout,63,50
10:07,2377,LaBarrius Hill Turnover.,63,50
10:05,2351,Steven Haney Steal.,63,50
10:01,2377,Foul on Jarren Greenwood.,63,50
10:01,2351,Cameron Allen made Free Throw.,63,51
10:01,2351,Cameron Allen made Free Throw.,63,52
9:35,2377,Jarren Greenwood missed Jumper.,63,52
9:35,2351,James Batemon Defensive Rebound.,63,52
9:28,2351,Zafir Williams made Layup. Assisted by Cameron Allen.,63,54
9:00,2377,Quatarrius Wilson missed Jumper.,63,54
9:00,2351,Steven Haney Defensive Rebound.,63,54
8:51,2351,Cameron Allen Turnover.,63,54
8:25,2351,Foul on James Batemon.,63,54
8:25,2377,James Harvey made Free Throw.,64,54
8:25,2377,James Harvey missed Free Throw.,64,54
8:25,2351,Zafir Williams Defensive Rebound.,64,54
8:14,2351,Steven Haney missed Layup.,64,54
8:14,2377,Stephen Ugochukwu Block.,64,54
8:12,2351,Zafir Williams Offensive Rebound.,64,54
8:11,2377,Foul on Stephen Ugochukwu.,64,54
8:11,2351,Zafir Williams made Free Throw.,64,55
8:11,2351,Zafir Williams missed Free Throw.,64,55
8:11,2377,Quatarrius Wilson Defensive Rebound.,64,55
7:55,2377,James Harvey Turnover.,64,55
7:55,2351,Official TV Timeout,64,55
7:43,2351,James Batemon missed Layup.,64,55
7:43,2377,LaBarrius Hill Defensive Rebound.,64,55
7:19,2377,Quatarrius Wilson Turnover.,64,55
7:19,2351,Jeffery McClendon Steal.,64,55
7:12,2351,Steven Haney missed Three Point Jumper.,64,55
7:12,2377,Jarren Greenwood Defensive Rebound.,64,55
7:03,2377,James Harvey Turnover.,64,55
7:01,2351,Zafir Williams Steal.,64,55
6:59,2351,James Batemon made Layup. Assisted by Zafir Williams.,64,57
6:55,2377,McNeese  Timeout,64,57
6:39,2351,Zafir Williams missed Jumper.,64,57
6:39,2377,Richard Laku Defensive Rebound.,64,57
6:33,2377,Foul on James Harvey.,64,57
6:33,2351,James Batemon missed Free Throw.,64,57
6:33,2351,Loyola Marymount Deadball Team Rebound.,64,57
6:33,2351,James Batemon made Free Throw.,64,58
6:23,2377,James Harvey missed Three Point Jumper.,64,58
6:23,2377,Kalob Ledoux Offensive Rebound.,64,58
6:18,2377,Kalob Ledoux made Layup.,66,58
5:52,2377,Foul on Quatarrius Wilson.,66,58
5:46,2351,Cameron Allen made Free Throw.,66,59
5:46,2351,Cameron Allen made Free Throw.,66,60
5:40,2377,James Harvey Turnover.,66,60
5:38,2351,Jeffery McClendon Steal.,66,60
5:36,2351,Jeffery McClendon Turnover.,66,60
5:35,2377,James Harvey Steal.,66,60
5:32,2377,James Harvey made Layup.,68,60
5:08,2351,James Batemon missed Three Point Jumper.,68,60
5:08,2377,Jarren Greenwood Defensive Rebound.,68,60
4:52,2377,James Harvey missed Three Point Jumper.,68,60
4:52,2351,James Batemon Defensive Rebound.,68,60
4:45,2351,James Batemon made Layup.,68,62
4:13,2377,Kalob Ledoux made Jumper. Assisted by Quatarrius Wilson.,70,62
3:59,2351,Eli Scott made Layup. Assisted by Zafir Williams.,70,64
3:56,2377,McNeese  Timeout,70,64
3:28,2377,Jarren Greenwood missed Three Point Jumper.,70,64
3:28,2377,James Harvey Offensive Rebound.,70,64
3:24,2377,McNeese  Turnover.,70,64
3:07,2351,Cameron Allen made Jumper.,70,66
2:42,2377,Kalob Ledoux Turnover.,70,66
2:41,2351,James Batemon Steal.,70,66
2:38,2351,Steven Haney made Layup. Assisted by James Batemon.,70,68
2:07,2377,Jarren Greenwood missed Jumper.,70,68
2:07,2377,McNeese Offensive Rebound.,70,68
1:59,2351,Foul on Cameron Allen.,70,68
1:59,2377,Jarren Greenwood made Free Throw.,71,68
1:59,2377,Jarren Greenwood made Free Throw.,72,68
1:44,2351,James Batemon missed Layup.,72,68
1:44,2377,LaBarrius Hill Block.,72,68
1:42,2377,Jarren Greenwood Defensive Rebound.,72,68
1:42,2351,Foul on Eli Scott.,72,68
1:42,2351,Loyola Marymount  Timeout,72,68
1:42,2377,Jarren Greenwood made Free Throw.,73,68
1:42,2377,Jarren Greenwood made Free Throw.,74,68
1:32,2351,Steven Haney missed Layup.,74,68
1:32,2377,Quatarrius Wilson Defensive Rebound.,74,68
1:23,2377,LaBarrius Hill Turnover.,74,68
1:22,2351,James Batemon Steal.,74,68
1:19,2351,Steven Haney made Three Point Jumper. Assisted by James Batemon.,74,71
0:45,2351,Foul on Eli Scott.,74,71
0:45,2377,Kalob Ledoux made Free Throw.,75,71
0:45,2377,Kalob Ledoux made Free Throw.,76,71
0:40,2351,Steven Haney missed Three Point Jumper.,76,71
0:40,2351,Erik Johansson Offensive Rebound.,76,71
0:34,2377,Foul on Quatarrius Wilson.,76,71
0:34,2351,Cameron Allen made Free Throw.,76,72
0:34,2351,Cameron Allen made Free Throw.,76,73
0:34,2351,Cameron Allen missed Free Throw.,76,73
0:34,2351,Jeffery McClendon Offensive Rebound.,76,73
0:34,2351,Jeffery McClendon made Layup.,76,75
0:26,2351,Foul on Steven Haney.,76,75
0:26,2377,Jarren Greenwood made Free Throw.,77,75
0:26,2377,Jarren Greenwood made Free Throw.,78,75
0:19,2351,Steven Haney made Three Point Jumper. Assisted by James Batemon.,78,78
0:02,2377,Kalob Ledoux missed Three Point Jumper.,78,78
0:02,2377,McNeese Offensive Rebound.,78,78
0:00,2377,Jacob Ledoux missed Jumper.,78,78
0:00,2351,Loyola Marymount Deadball Team Rebound.,78,78
0:00,2351,End of 2nd half,78,78
4:44,2377,Jacob Ledoux Turnover.,78,78
4:37,2351,Steven Haney made Three Point Jumper. Assisted by James Batemon.,78,81
4:13,2377,James Harvey missed Layup.,78,81
4:13,2351,Eli Scott Defensive Rebound.,78,81
4:01,2377,Foul on James Harvey.,78,81
4:01,2351,James Batemon made Free Throw.,78,82
4:01,2351,James Batemon missed Free Throw.,78,82
4:01,2377,Jarren Greenwood Defensive Rebound.,78,82
3:38,2377,Jarren Greenwood missed Three Point Jumper.,78,82
3:38,2351,Eli Scott Defensive Rebound.,78,82
3:30,2351,Cameron Allen made Layup. Assisted by Steven Haney.,78,84
3:08,2377,Kalob Ledoux made Three Point Jumper. Assisted by Jarren Greenwood.,81,84
2:51,2351,Steven Haney missed Three Point Jumper.,81,84
2:51,2377,LaBarrius Hill Block.,81,84
2:50,2377,James Harvey Defensive Rebound.,81,84
2:34,2377,Jarren Greenwood made Layup.,83,84
2:19,2351,Loyola Marymount  Timeout,83,84
2:08,2351,Cameron Allen missed Jumper.,83,84
2:08,2377,Jarren Greenwood Defensive Rebound.,83,84
1:45,2377,Richard Laku missed Three Point Jumper.,83,84
1:45,2351,Eli Scott Defensive Rebound.,83,84
1:31,2351,Cameron Allen made Three Point Jumper. Assisted by James Batemon.,83,87
1:13,2377,Kalob Ledoux made Jumper.,85,87
1:01,2351,Cameron Allen made Layup.,85,89
0:53,2377,Kalob Ledoux missed Jumper.,85,89
0:53,2351,Eli Scott Defensive Rebound.,85,89
0:29,2351,Loyola Marymount  Timeout,85,89
0:27,2377,Foul on James Harvey.,85,89
0:27,2351,Steven Haney made Free Throw.,85,90
0:27,2351,Steven Haney made Free Throw.,85,91
0:18,2351,Foul on Cameron Allen.,85,91
0:18,2377,Myles Hutchinson made Free Throw.,86,91
0:18,2377,Myles Hutchinson missed Free Throw.,86,91
0:18,2351,Eli Scott Defensive Rebound.,86,91
0:15,2377,Foul on James Harvey.,86,91
0:15,2351,Erik Johansson made Free Throw.,86,92
0:15,2351,Erik Johansson missed Free Throw.,86,92
0:15,2377,Kalob Ledoux Defensive Rebound.,86,92
0:11,2377,Kalob Ledoux missed Three Point Jumper.,86,92
0:11,2351,Eli Scott Defensive Rebound.,86,92
0:01,2351,Eli Scott Turnover.,86,92
0:00,2351,End of Game,86,92
