UC Irvine,9,Arizona State,300
9:02,300,Evan Leonard Defensive Rebound.,17,29
8:57,300,Foul on John Edgar Jr..,17,29
8:57,300,John Edgar Jr. Turnover.,17,29
8:43,9,De'Quon Lake made Dunk. Assisted by Tra Holder.,17,31
8:32,300,Tommy Rutherford made Three Point Jumper. Assisted by Evan Leonard.,20,31
8:20,9,Tra Holder made Three Point Jumper. Assisted by Shannon Evans II.,20,34
7:53,300,Tommy Rutherford Turnover.,20,34
7:53,9,Official TV Timeout,20,34
7:28,9,Remy Martin made Three Point Jumper. Assisted by Tra Holder.,20,37
7:09,9,Foul on Remy Martin.,20,37
7:06,300,Tommy Rutherford made Layup. Assisted by Max Hazzard.,22,37
7:06,9,Foul on De'Quon Lake.,22,37
7:06,300,Tommy Rutherford made Free Throw.,23,37
6:55,300,Foul on Brad Greene.,23,37
6:55,9,Vitaliy Shibel made Free Throw.,23,38
6:55,9,Vitaliy Shibel made Free Throw.,23,39
6:52,9,Foul on Remy Martin.,23,39
6:52,300,Eyassu Worku made Free Throw.,24,39
6:52,300,Eyassu Worku missed Free Throw.,24,39
6:52,300,Brandon Smith Offensive Rebound.,24,39
6:44,300,Brandon Smith missed Three Point Jumper.,24,39
6:44,300,Brad Greene Offensive Rebound.,24,39
6:39,300,Brad Greene missed Layup.,24,39
6:39,300,Brad Greene Offensive Rebound.,24,39
6:38,9,Foul on Vitaliy Shibel.,24,39
6:38,300,Brad Greene made Free Throw.,25,39
6:38,300,Brad Greene missed Free Throw.,25,39
6:38,9,Kodi Justice Defensive Rebound.,25,39
6:17,9,Shannon Evans II missed Jumper.,25,39
6:17,300,Evan Leonard Defensive Rebound.,25,39
6:05,300,Evan Leonard missed Three Point Jumper.,25,39
6:05,300,Brad Greene Offensive Rebound.,25,39
6:01,300,Brad Greene missed Layup.,25,39
6:01,300,Brandon Smith Offensive Rebound.,25,39
5:59,300,Brandon Smith made Two Point Tip Shot.,27,39
5:59,9,Arizona State  Timeout,27,39
5:36,300,Foul on Brad Greene.,27,39
5:36,9,Romello White missed Free Throw.,27,39
5:36,9,Arizona State Deadball Team Rebound.,27,39
5:36,9,Romello White made Free Throw.,27,40
5:19,300,Evan Leonard Turnover.,27,40
5:19,9,Kodi Justice Steal.,27,40
5:08,9,Kodi Justice missed Three Point Jumper.,27,40
5:08,9,Romello White Offensive Rebound.,27,40
5:03,9,Romello White Turnover.,27,40
5:01,300,Elston Jones Steal.,27,40
4:53,300,Evan Leonard made Jumper. Assisted by Justin Wertner.,29,40
4:30,9,Shannon Evans II made Three Point Jumper. Assisted by Tra Holder.,29,43
4:01,300,Evan Leonard made Three Point Jumper. Assisted by Eyassu Worku.,32,43
3:48,9,Kodi Justice made Jumper. Assisted by Shannon Evans II.,32,45
3:22,300,Eyassu Worku missed Jumper.,32,45
3:22,9,Romello White Defensive Rebound.,32,45
3:13,9,Tra Holder made Jumper.,32,47
3:04,300,UC Irvine  Timeout,32,47
3:04,9,Official TV Timeout,32,47
2:46,300,Elston Jones made Layup. Assisted by Evan Leonard.,34,47
2:27,9,Shannon Evans II made Three Point Jumper. Assisted by Kodi Justice.,34,50
2:09,300,Eyassu Worku made Jumper.,36,50
1:38,9,Kodi Justice Turnover.,36,50
1:18,300,Eyassu Worku missed Layup.,36,50
1:18,9,Arizona State Defensive Rebound.,36,50
1:03,9,Kodi Justice made Jumper.,36,52
0:38,300,Tommy Rutherford missed Layup.,36,52
0:38,9,Austin Witherill Defensive Rebound.,36,52
0:37,300,Foul on Justin Wertner.,36,52
0:37,9,Austin Witherill made Free Throw.,36,53
0:37,9,Austin Witherill missed Free Throw.,36,53
0:37,300,Tommy Rutherford Defensive Rebound.,36,53
0:09,300,Tommy Rutherford made Layup. Assisted by Eyassu Worku.,38,53
0:02,9,Tra Holder made Three Point Jumper.,38,56
0:00,9,End of 1st half,38,56
19:51,9,Kodi Justice made Three Point Jumper. Assisted by Shannon Evans II.,38,59
19:34,300,John Edgar Jr. missed Three Point Jumper.,38,59
19:34,300,Evan Leonard Offensive Rebound.,38,59
19:24,300,Max Hazzard made Three Point Jumper. Assisted by John Edgar Jr..,41,59
19:04,9,Romello White made Layup. Assisted by Tra Holder.,41,61
19:04,300,Foul on Tommy Rutherford.,41,61
19:04,9,Romello White missed Free Throw.,41,61
19:04,300,UC Irvine Defensive Rebound.,41,61
18:48,300,Max Hazzard made Three Point Jumper. Assisted by John Edgar Jr..,44,61
18:25,300,Foul on Evan Leonard.,44,61
18:25,9,Shannon Evans II made Free Throw.,44,62
18:25,9,Shannon Evans II made Free Throw.,44,63
18:07,300,John Edgar Jr. missed Jumper.,44,63
18:07,9,De'Quon Lake Defensive Rebound.,44,63
18:03,9,De'Quon Lake Turnover.,44,63
18:01,300,Evan Leonard Steal.,44,63
17:56,9,Foul on De'Quon Lake.,44,63
17:56,300,Tommy Rutherford missed Free Throw.,44,63
17:56,300,UC Irvine Deadball Team Rebound.,44,63
17:56,300,Tommy Rutherford missed Free Throw.,44,63
17:56,9,De'Quon Lake Defensive Rebound.,44,63
17:51,9,Romello White made Dunk. Assisted by Shannon Evans II.,44,65
17:36,300,Max Hazzard Turnover.,44,65
17:21,9,Romello White Turnover.,44,65
17:19,300,Eyassu Worku Steal.,44,65
17:18,300,Eyassu Worku missed Layup.,44,65
17:18,300,Evan Leonard Offensive Rebound.,44,65
17:03,300,Evan Leonard made Three Point Jumper. Assisted by Tommy Rutherford.,47,65
16:48,300,Foul on Evan Leonard.,47,65
16:32,300,Foul on Evan Leonard.,47,65
16:32,9,Romello White missed Free Throw.,47,65
16:32,9,Arizona State Deadball Team Rebound.,47,65
16:32,9,Romello White made Free Throw.,47,66
16:14,300,Eyassu Worku made Three Point Jumper. Assisted by Jonathan Galloway.,50,66
16:00,9,Romello White missed Layup.,50,66
16:00,300,Jonathan Galloway Block.,50,66
15:59,9,Arizona State Offensive Rebound.,50,66
15:59,9,Official TV Timeout,50,66
15:55,9,Kodi Justice missed Three Point Jumper.,50,66
15:55,300,Eyassu Worku Defensive Rebound.,50,66
15:50,9,Foul on Romello White.,50,66
15:30,9,Foul on Remy Martin.,50,66
15:18,300,Brad Greene missed Layup.,50,66
15:18,9,De'Quon Lake Defensive Rebound.,50,66
15:12,300,Foul on Max Hazzard.,50,66
15:05,9,Tra Holder made Jumper.,50,68
14:46,300,Brandon Smith Turnover.,50,68
14:45,9,Tra Holder Steal.,50,68
14:42,9,Tra Holder made Three Point Jumper.,50,71
14:26,300,Foul on Brad Greene.,50,71
14:26,300,Brad Greene Turnover.,50,71
14:15,300,Foul on Max Hazzard.,50,71
14:15,9,Shannon Evans II missed Free Throw.,50,71
14:15,300,Jonathan Galloway Defensive Rebound.,50,71
14:08,300,Justin Wertner Turnover.,50,71
13:59,9,Remy Martin missed Jumper.,50,71
13:59,9,Romello White Offensive Rebound.,50,71
13:57,300,Foul on Jonathan Galloway.,50,71
13:57,9,Romello White missed Free Throw.,50,71
13:57,300,Elston Jones Defensive Rebound.,50,71
13:37,300,Eyassu Worku missed Jumper.,50,71
13:37,300,Jonathan Galloway Offensive Rebound.,50,71
13:32,300,Jonathan Galloway made Layup.,52,71
13:19,9,Vitaliy Shibel missed Three Point Jumper.,52,71
13:19,300,Max Hazzard Defensive Rebound.,52,71
13:13,300,Max Hazzard made Three Point Jumper. Assisted by Eyassu Worku.,55,71
12:51,9,Shannon Evans II Turnover.,55,71
12:50,300,Elston Jones Steal.,55,71
12:40,300,Justin Wertner missed Three Point Jumper.,55,71
12:40,9,Romello White Defensive Rebound.,55,71
12:30,300,Foul on Elston Jones.,55,71
12:30,9,Shannon Evans II made Free Throw.,55,72
12:30,9,Shannon Evans II made Free Throw.,55,73
12:11,300,Tommy Rutherford Turnover.,55,73
11:58,9,Official TV Timeout,55,73
11:41,9,Tra Holder Turnover.,55,73
11:39,300,Evan Leonard Steal.,55,73
11:19,9,Foul on Shannon Evans II.,55,73
11:19,300,Tommy Rutherford missed Free Throw.,55,73
11:19,300,UC Irvine Deadball Team Rebound.,55,73
11:19,300,Tommy Rutherford made Free Throw.,56,73
11:07,9,Tra Holder made Jumper.,56,75
10:46,300,Elston Jones made Jumper.,58,75
10:28,9,Foul on Shannon Evans II.,58,75
10:28,9,Shannon Evans II Turnover.,58,75
10:13,300,Eyassu Worku missed Jumper.,58,75
10:13,9,Tra Holder Defensive Rebound.,58,75
10:01,9,Vitaliy Shibel missed Three Point Jumper.,58,75
10:01,300,Max Hazzard Defensive Rebound.,58,75
9:54,300,Evan Leonard made Three Point Jumper. Assisted by Max Hazzard.,61,75
9:33,9,Foul on Vitaliy Shibel.,61,75
9:33,9,Vitaliy Shibel Turnover.,61,75
9:12,300,Max Hazzard missed Three Point Jumper.,61,75
9:12,300,Tommy Rutherford Offensive Rebound.,61,75
9:06,9,Foul on Romello White.,61,75
9:06,300,Tommy Rutherford made Free Throw.,62,75
9:06,300,Tommy Rutherford made Free Throw.,63,75
8:50,9,De'Quon Lake missed Jumper.,63,75
8:50,300,Elston Jones Defensive Rebound.,63,75
8:42,300,Eyassu Worku missed Three Point Jumper.,63,75
8:42,9,Kodi Justice Defensive Rebound.,63,75
8:24,300,Foul on Elston Jones.,63,75
8:24,9,Romello White missed Free Throw.,63,75
8:24,9,Arizona State Deadball Team Rebound.,63,75
8:24,9,Romello White made Free Throw.,63,76
8:01,9,Foul on Tra Holder.,63,76
8:01,300,Eyassu Worku made Free Throw.,64,76
8:01,300,Eyassu Worku made Free Throw.,65,76
7:48,300,Foul on Brandon Smith.,65,76
7:48,9,Official TV Timeout,65,76
7:48,9,Shannon Evans II missed Free Throw.,65,76
7:48,9,Arizona State Deadball Team Rebound.,65,76
7:48,9,Shannon Evans II made Free Throw.,65,77
7:19,300,John Edgar Jr. Turnover.,65,77
7:16,9,Shannon Evans II Steal.,65,77
7:14,9,Tra Holder made Layup. Assisted by Shannon Evans II.,65,79
6:56,300,Eyassu Worku missed Jumper.,65,79
6:56,300,Evan Leonard Offensive Rebound.,65,79
6:51,300,Evan Leonard made Layup.,67,79
6:31,9,Kodi Justice made Jumper.,67,81
6:14,300,Foul on Eyassu Worku.,67,81
6:14,300,Eyassu Worku Turnover.,67,81
6:04,300,Foul on Evan Leonard.,67,81
6:04,9,Shannon Evans II made Free Throw.,67,82
6:04,9,Shannon Evans II made Free Throw.,67,83
5:45,300,Max Hazzard made Three Point Jumper.,70,83
5:25,300,Foul on Eyassu Worku.,70,83
5:25,9,Tra Holder made Free Throw.,70,84
5:25,9,Tra Holder made Free Throw.,70,85
5:11,300,Max Hazzard missed Three Point Jumper.,70,85
5:11,9,De'Quon Lake Defensive Rebound.,70,85
4:55,9,Tra Holder made Jumper.,70,87
4:37,300,Eyassu Worku made Layup.,72,87
4:23,9,Shannon Evans II Turnover.,72,87
4:21,300,Max Hazzard Steal.,72,87
4:18,9,Foul on Shannon Evans II.,72,87
4:18,300,Eyassu Worku made Free Throw.,73,87
4:18,300,Eyassu Worku missed Free Throw.,73,87
4:18,9,Romello White Defensive Rebound.,73,87
3:59,9,Kodi Justice made Three Point Jumper. Assisted by Tra Holder.,73,90
3:46,300,Eyassu Worku missed Three Point Jumper.,73,90
3:46,9,Romello White Defensive Rebound.,73,90
3:33,9,Shannon Evans II missed Three Point Jumper.,73,90
3:33,9,Romello White Offensive Rebound.,73,90
3:30,9,Romello White made Layup.,73,92
3:25,300,UC Irvine  Timeout,73,92
3:25,9,Official TV Timeout,73,92
3:08,300,Evan Leonard Turnover.,73,92
3:08,9,Official TV Timeout,73,92
2:51,9,Tra Holder made Three Point Jumper. Assisted by Remy Martin.,73,95
2:32,300,Max Hazzard made Three Point Jumper. Assisted by Elston Jones.,76,95
2:05,9,Kodi Justice missed Three Point Jumper.,76,95
2:05,9,Shannon Evans II Offensive Rebound.,76,95
2:02,300,Foul on Darrian Traylor.,76,95
2:02,9,Shannon Evans II made Free Throw.,76,96
2:02,9,Shannon Evans II made Free Throw.,76,97
1:46,300,Brad Greene Turnover.,76,97
1:23,9,Shannon Evans II missed Three Point Jumper.,76,97
1:23,300,Tommy Rutherford Defensive Rebound.,76,97
1:10,300,Brad Greene made Layup. Assisted by Tommy Rutherford.,78,97
0:52,9,Tra Holder missed Layup.,78,97
0:52,300,Brad Greene Block.,78,97
0:51,9,Shannon Evans II Offensive Rebound.,78,97
0:48,9,Shannon Evans II missed Layup.,78,97
0:48,300,Brad Greene Defensive Rebound.,78,97
0:42,300,Darrian Traylor missed Three Point Jumper.,78,97
0:42,300,Justin Wertner Offensive Rebound.,78,97
0:38,300,Justin Wertner missed Layup.,78,97
0:38,9,Arizona State Defensive Rebound.,78,97
0:38,300,Foul on Tommy Rutherford.,78,97
0:38,9,Kodi Justice made Free Throw.,78,98
0:38,9,Kodi Justice made Free Throw.,78,99
0:32,300,Riley Welch missed Three Point Jumper.,78,99
0:32,300,UC Irvine Offensive Rebound.,78,99
0:27,300,John Edgar Jr. missed Jumper.,78,99
0:27,9,Remy Martin Defensive Rebound.,78,99
0:00,9,End of Game,78,99
