UNC Asheville,2046,Austin Peay,2427
17:29,2046,Richard Henderson Defensive Rebound.,44,40
17:16,2046,Terry Taylor missed Layup.,44,40
17:16,2427,Jonathan Baehre Defensive Rebound.,44,40
17:10,2046,Foul on Richard Henderson.,44,40
17:04,2427,Kevin Vannatta made Layup.,46,40
16:50,2046,Tre' Ivory missed Jumper.,46,40
16:50,2427,UNC Asheville Defensive Rebound.,46,40
16:32,2427,Kevin Vannatta Turnover.,46,40
16:32,2046,Tre' Ivory Steal.,46,40
16:10,2046,Richard Henderson made Layup.,46,42
15:54,2427,UNC Asheville  Timeout,46,42
15:45,2427,Ahmad Thomas made Jumper.,48,42
15:21,2046,Terry Taylor missed Layup.,48,42
15:21,2427,Donovan Gilmore Block.,48,42
15:18,2427,Raekwon Miller Defensive Rebound.,48,42
15:12,2046,Foul on Tre' Ivory.,48,42
15:03,2046,Foul on Dayton Gumm.,48,42
15:03,2427,Donovan Gilmore missed Free Throw.,48,42
15:03,2427,UNC Asheville Deadball Team Rebound.,48,42
15:03,2427,Donovan Gilmore missed Free Throw.,48,42
15:03,2046,Steve Harris Defensive Rebound.,48,42
14:50,2046,Dayton Gumm made Jumper.,48,44
14:39,2427,Ahmad Thomas missed Jumper.,48,44
14:39,2046,Zach Glotta Defensive Rebound.,48,44
14:15,2427,Foul on Ahmad Thomas.,48,44
14:04,2427,Foul on Raekwon Miller.,48,44
14:04,2046,Terry Taylor missed Free Throw.,48,44
14:04,2046,Austin Peay Deadball Team Rebound.,48,44
14:04,2046,Terry Taylor made Free Throw.,48,45
13:43,2427,Kevin Vannatta Turnover.,48,45
13:41,2046,Zach Glotta Steal.,48,45
13:36,2046,Dayton Gumm missed Three Point Jumper.,48,45
13:36,2427,Donovan Gilmore Defensive Rebound.,48,45
13:23,2427,Macio Teague missed Layup.,48,45
13:23,2046,Terry Taylor Block.,48,45
13:20,2427,UNC Asheville Offensive Rebound.,48,45
13:12,2427,Donovan Gilmore Turnover.,48,45
12:52,2046,Richard Henderson missed Jumper.,48,45
12:52,2427,Raekwon Miller Defensive Rebound.,48,45
12:43,2427,Raekwon Miller made Three Point Jumper.,51,45
12:40,2427,UNC Asheville  Timeout,51,45
12:17,2046,Zach Glotta missed Three Point Jumper.,51,45
12:17,2427,Donovan Gilmore Defensive Rebound.,51,45
11:57,2427,Donovan Gilmore missed Jumper.,51,45
11:57,2427,Raekwon Miller Offensive Rebound.,51,45
11:50,2427,Macio Teague made Jumper.,53,45
11:31,2046,Steve Harris Turnover.,53,45
11:29,2427,Donovan Gilmore Steal.,53,45
11:24,2427,Raekwon Miller missed Layup.,53,45
11:24,2046,Averyl Ugba Defensive Rebound.,53,45
11:18,2427,Foul on Kevin Vannatta.,53,45
11:18,2046,Austin Peay  Timeout,53,45
11:18,2046,Steve Harris made Free Throw.,53,46
11:18,2046,Steve Harris made Free Throw.,53,47
11:06,2427,Kevin Vannatta made Layup.,55,47
10:43,2046,Averyl Ugba made Jumper.,55,49
10:29,2046,Foul on Chris Porter-Bunton.,55,49
10:11,2427,Macio Teague Turnover.,55,49
10:10,2046,Dayton Gumm Steal.,55,49
10:10,2427,Foul on Macio Teague.,55,49
10:10,2046,Dayton Gumm missed Free Throw.,55,49
10:10,2046,Averyl Ugba Offensive Rebound.,55,49
10:04,2046,Tre' Ivory missed Layup.,55,49
10:04,2427,Donovan Gilmore Block.,55,49
10:02,2427,Donovan Gilmore Defensive Rebound.,55,49
9:47,2046,Foul on Tre' Ivory.,55,49
9:41,2427,Jalen Seegars made Free Throw.,56,49
9:41,2427,Jalen Seegars made Free Throw.,57,49
9:21,2046,Averyl Ugba Turnover.,57,49
9:19,2427,Kevin Vannatta Steal.,57,49
9:14,2427,Kevin Vannatta missed Layup.,57,49
9:14,2046,Steve Harris Defensive Rebound.,57,49
9:08,2046,Dayton Gumm missed Three Point Jumper.,57,49
9:08,2427,Raekwon Miller Defensive Rebound.,57,49
8:48,2427,Kevin Vannatta missed Three Point Jumper.,57,49
8:48,2427,Alec Wnuk Offensive Rebound.,57,49
8:31,2046,Foul on Zach Glotta.,57,49
8:31,2427,Jalen Seegars made Free Throw.,58,49
8:31,2427,Alec Wnuk Turnover.,58,49
8:31,2427,Foul on Alec Wnuk.,58,49
8:31,2046,Terry Taylor made Free Throw.,58,50
8:31,2046,Terry Taylor made Free Throw.,58,51
8:18,2427,Raekwon Miller Turnover.,58,51
7:56,2427,Foul on Drew Rackley.,58,51
7:55,2046,Austin Peay  Timeout,58,51
7:55,2046,Dayton Gumm made Free Throw.,58,52
7:55,2046,Dayton Gumm made Free Throw.,58,53
7:30,2427,Donovan Gilmore made Jumper. Assisted by Kevin Vannatta.,60,53
7:30,2046,Foul on Richard Henderson.,60,53
7:30,2427,Donovan Gilmore missed Free Throw.,60,53
7:30,2046,Steve Harris Defensive Rebound.,60,53
7:11,2046,Dayton Gumm missed Layup.,60,53
7:11,2427,Macio Teague Block.,60,53
7:08,2427,Ahmad Thomas Defensive Rebound.,60,53
6:46,2427,Kevin Vannatta made Three Point Jumper. Assisted by Ahmad Thomas.,63,53
6:30,2046,Austin Peay  Timeout,63,53
6:13,2046,Steve Harris made Jumper.,63,55
5:49,2427,Ahmad Thomas missed Layup.,63,55
5:49,2046,Terry Taylor Defensive Rebound.,63,55
5:38,2046,Steve Harris missed Layup.,63,55
5:38,2046,Austin Peay Offensive Rebound.,63,55
5:32,2046,Acoydan McCarthy Turnover.,63,55
5:30,2427,Ahmad Thomas Steal.,63,55
5:29,2427,Kevin Vannatta Turnover.,63,55
5:27,2046,Acoydan McCarthy Steal.,63,55
5:27,2427,Foul on Jalen Seegars.,63,55
5:27,2046,Terry Taylor missed Free Throw.,63,55
5:27,2046,Austin Peay Deadball Team Rebound.,63,55
5:27,2046,Terry Taylor made Free Throw.,63,56
5:18,2427,Foul on Ahmad Thomas.,63,56
5:18,2427,Ahmad Thomas Turnover.,63,56
5:04,2046,Zach Glotta made Jumper.,63,58
4:49,2046,Foul on Dayton Gumm.,63,58
4:49,2427,Macio Teague made Free Throw.,64,58
4:49,2427,Macio Teague made Free Throw.,65,58
4:34,2046,Dayton Gumm Turnover.,65,58
4:31,2427,Kevin Vannatta Steal.,65,58
4:28,2427,Ahmad Thomas missed Layup.,65,58
4:28,2046,Richard Henderson Block.,65,58
4:23,2427,Macio Teague Turnover.,65,58
4:22,2427,UNC Asheville Offensive Rebound.,65,58
4:21,2046,Zach Glotta Steal.,65,58
4:13,2046,Terry Taylor made Layup. Assisted by Dayton Gumm.,65,60
3:53,2046,Foul on Terry Taylor.,65,60
3:51,2427,UNC Asheville  Timeout,65,60
3:51,2427,Kevin Vannatta made Free Throw.,66,60
3:51,2427,Kevin Vannatta made Free Throw.,67,60
3:35,2046,Zach Glotta missed Three Point Jumper.,67,60
3:35,2046,Steve Harris Offensive Rebound.,67,60
3:32,2427,Foul on Jalen Seegars.,67,60
3:32,2046,Steve Harris missed Free Throw.,67,60
3:32,2046,Austin Peay Deadball Team Rebound.,67,60
3:32,2046,Steve Harris missed Free Throw.,67,60
3:32,2427,Ahmad Thomas Defensive Rebound.,67,60
3:22,2427,Macio Teague missed Layup.,67,60
3:22,2046,Dayton Gumm Defensive Rebound.,67,60
3:15,2046,Dayton Gumm missed Jumper.,67,60
3:15,2427,Kevin Vannatta Defensive Rebound.,67,60
2:48,2427,Jalen Seegars missed Three Point Jumper.,67,60
2:48,2046,Dayton Gumm Defensive Rebound.,67,60
2:19,2046,Richard Henderson made Jumper.,67,62
2:11,2046,Austin Peay  Timeout,67,62
1:56,2427,Kevin Vannatta Turnover.,67,62
1:55,2046,Zach Glotta Steal.,67,62
1:52,2046,Dayton Gumm made Layup.,67,64
1:37,2427,Kevin Vannatta Turnover.,67,64
1:35,2046,Chris Porter-Bunton Steal.,67,64
1:31,2046,Chris Porter-Bunton made Jumper.,67,66
1:31,2046,Austin Peay  Timeout,67,66
1:28,2427,UNC Asheville  Timeout,67,66
1:28,2427,Macio Teague Turnover.,67,66
1:28,2046,Chris Porter-Bunton Steal.,67,66
1:04,2046,Chris Porter-Bunton missed Layup.,67,66
1:04,2427,Donovan Gilmore Defensive Rebound.,67,66
0:38,2427,Kevin Vannatta missed Free Throw.,67,66
0:38,2427,UNC Asheville Deadball Team Rebound.,67,66
0:38,2427,Kevin Vannatta made Free Throw.,68,66
0:38,2046,Foul on Chris Porter-Bunton.,68,66
0:24,2046,Zach Glotta missed Jumper.,68,66
0:24,2046,Austin Peay Offensive Rebound.,68,66
0:06,2046,Terry Taylor made Jumper. Assisted by Tre' Ivory.,68,68
0:00,2427,Kevin Vannatta missed Jumper.,68,68
0:00,2046,Terry Taylor Defensive Rebound.,68,68
0:00,2046,End of 2nd half,68,68
4:43,2046,Tre' Ivory missed Layup.,68,68
4:43,2427,Ahmad Thomas Defensive Rebound.,68,68
4:39,2427,Raekwon Miller made Layup.,70,68
4:39,2046,Foul on Dayton Gumm.,70,68
4:39,2427,Raekwon Miller made Free Throw.,71,68
4:24,2046,Terry Taylor made Layup. Assisted by Zach Glotta.,71,70
4:00,2427,Kevin Vannatta missed Layup.,71,70
4:00,2046,Averyl Ugba Defensive Rebound.,71,70
3:39,2046,Zach Glotta missed Jumper.,71,70
3:39,2046,Terry Taylor Offensive Rebound.,71,70
3:33,2046,Terry Taylor made Layup.,71,72
3:13,2427,Ahmad Thomas made Jumper.,73,72
3:12,2427,UNC Asheville  Timeout,73,72
2:58,2427,Foul on Raekwon Miller.,73,72
2:58,2046,Terry Taylor missed Free Throw.,73,72
2:58,2046,Austin Peay Deadball Team Rebound.,73,72
2:58,2046,Terry Taylor made Free Throw.,73,73
2:32,2427,Donovan Gilmore made Layup. Assisted by Ahmad Thomas.,75,73
2:03,2046,Richard Henderson missed Layup.,75,73
2:03,2046,Terry Taylor Offensive Rebound.,75,73
2:03,2046,Terry Taylor made Layup.,75,75
2:03,2427,Foul on Donovan Gilmore.,75,75
2:03,2046,Terry Taylor made Free Throw.,75,76
1:37,2427,Kevin Vannatta made Jumper.,77,76
1:10,2046,Dayton Gumm Turnover.,77,76
1:08,2427,Macio Teague Steal.,77,76
0:42,2427,Raekwon Miller missed Layup.,77,76
0:42,2427,Ahmad Thomas Offensive Rebound.,77,76
0:39,2427,Ahmad Thomas made Layup.,79,76
0:29,2046,Richard Henderson missed Layup.,79,76
0:29,2427,Donovan Gilmore Defensive Rebound.,79,76
0:26,2427,Foul on Donovan Gilmore.,79,76
0:26,2427,Donovan Gilmore Turnover.,79,76
0:21,2046,Zach Glotta missed Three Point Jumper.,79,76
0:21,2046,Austin Peay Offensive Rebound.,79,76
0:12,2046,Dayton Gumm missed Three Point Jumper.,79,76
0:12,2427,Ahmad Thomas Block.,79,76
0:11,2427,UNC Asheville Defensive Rebound.,79,76
0:11,2046,Foul on Richard Henderson.,79,76
0:11,2427,Donovan Gilmore missed Free Throw.,79,76
0:11,2427,UNC Asheville Deadball Team Rebound.,79,76
0:11,2427,Donovan Gilmore made Free Throw.,80,76
0:11,2427,UNC Asheville  Timeout,80,76
0:05,2046,Dayton Gumm made Three Point Jumper. Assisted by Ferran Bernacer.,80,79
0:05,2046,Foul on Zach Glotta.,80,79
0:05,2427,Macio Teague made Free Throw.,81,79
0:05,2427,Macio Teague made Free Throw.,82,79
0:00,2046,End of Game,82,79
