Western Carolina,135,Minnesota,2717
4:15,135,Nate Mason Steal.,30,32
4:11,135,Nate Mason missed Jumper.,30,32
4:08,135,Jordan Murphy Offensive Rebound.,30,32
4:08,135,Jordan Murphy made Two Point Tip Shot.,30,34
3:55,2717,Onno Steger missed Jumper.,30,34
3:52,135,Dupree McBrayer Defensive Rebound.,30,34
3:43,135,Bakary Konate made Dunk. Assisted by Nate Mason.,30,36
3:19,2717,Desmond Johnson Turnover.,30,36
3:19,135,Amir Coffey Steal.,30,36
3:16,135,Amir Coffey made Dunk. Assisted by Dupree McBrayer.,30,38
3:03,135,Official TV Timeout,30,38
3:03,135,Foul on Nate Mason.,30,38
3:03,2717,Matt Halvorsen made Free Throw.,31,38
3:03,2717,Matt Halvorsen missed Free Throw.,31,38
3:03,135,Amir Coffey Defensive Rebound.,31,38
2:47,135,Dupree McBrayer missed Three Point Jumper.,31,38
2:43,2717,Maurice Smith Defensive Rebound.,31,38
2:15,2717,Mike Amius Turnover.,31,38
2:15,135,Bakary Konate Steal.,31,38
1:55,135,Dupree McBrayer made Jumper. Assisted by Amir Coffey.,31,40
1:49,2717,Western Carolina  Timeout,31,40
1:46,2717,Onno Steger Turnover.,31,40
1:46,135,Nate Mason Steal.,31,40
1:43,135,Nate Mason Turnover.,31,40
1:43,2717,Matt Halvorsen Steal.,31,40
1:24,2717,Mike Amius missed Jumper.,31,40
1:22,135,Nate Mason Defensive Rebound.,31,40
1:13,135,Jordan Murphy Turnover.,31,40
1:13,2717,Mike Amius Steal.,31,40
1:12,2717,Mike Amius made Free Throw.,32,40
1:12,2717,Mike Amius made Free Throw.,33,40
1:12,135,Foul on Bakary Konate.,31,40
1:12,2717,Mike Amius made Free Throw.,32,40
1:12,2717,Mike Amius made Free Throw.,33,40
0:57,135,Jordan Murphy made Free Throw.,33,41
0:57,135,Jordan Murphy made Free Throw.,33,42
0:57,2717,Foul on Mike Amius.,33,40
0:57,135,Jordan Murphy made Free Throw.,33,41
0:57,135,Jordan Murphy made Free Throw.,33,42
0:38,2717,Matt Halvorsen missed Three Point Jumper.,33,42
0:36,135,Nate Mason Defensive Rebound.,33,42
0:31,135,Foul on Amir Coffey.,33,42
0:31,135,Amir Coffey Turnover.,33,42
0:03,2717,Deriece Parks missed Jumper.,33,42
0:02,2717,Onno Steger Offensive Rebound.,33,42
0:01,2717,Onno Steger missed Jumper.,33,42
0:01,135,Nate Mason Defensive Rebound.,33,42
0:00,135,End of 1st half,33,42
19:51,135,Foul on Reggie Lynch.,33,42
19:42,2717,Mike Amius missed Jumper.,33,42
19:42,135,Reggie Lynch Block.,33,42
19:39,135,Nate Mason Defensive Rebound.,33,42
19:35,135,Foul on Jordan Murphy.,33,42
19:35,135,Jordan Murphy Turnover.,33,42
19:21,2717,Deriece Parks made Three Point Jumper. Assisted by Matt Halvorsen.,36,42
19:04,2717,Foul on Marc Gosselin.,36,42
18:55,135,Nate Mason made Three Point Jumper. Assisted by Dupree McBrayer.,36,45
18:31,2717,Matt Halvorsen made Three Point Jumper. Assisted by Mike Amius.,39,45
18:31,135,Foul on Nate Mason.,39,45
18:31,2717,Matt Halvorsen made Free Throw.,40,45
18:25,135,Foul on Nate Mason.,40,45
18:25,135,Nate Mason Turnover.,40,45
18:05,2717,Mike Amius missed Jumper.,40,45
18:05,135,Reggie Lynch Block.,40,45
18:02,135,Reggie Lynch Defensive Rebound.,40,45
17:59,135,Jordan Murphy missed Jumper.,40,45
17:57,2717,Marc Gosselin Defensive Rebound.,40,45
17:52,2717,Devin Peterson missed Jumper.,40,45
17:49,135,Reggie Lynch Defensive Rebound.,40,45
17:41,135,Dupree McBrayer made Jumper. Assisted by Amir Coffey.,40,47
17:23,2717,Foul on Marc Gosselin.,40,47
17:23,2717,Marc Gosselin Turnover.,40,47
17:03,2717,Foul on Maurice Smith.,40,47
17:03,135,Jordan Murphy made Free Throw.,40,48
17:03,135,Jordan Murphy made Free Throw.,40,49
16:39,2717,Deriece Parks missed Layup.,40,49
16:36,135,Reggie Lynch Defensive Rebound.,40,49
16:27,135,Dupree McBrayer made Layup.,40,51
16:09,135,Foul on Reggie Lynch.,40,51
16:09,2717,Devin Peterson missed Free Throw.,40,51
16:09,2717,Western Carolina Deadball Team Rebound.,40,51
16:09,2717,Devin Peterson made Free Throw.,41,51
15:39,135,Minnesota  Turnover.,41,51
15:39,135,Official TV Timeout,41,51
15:20,2717,Devin Peterson missed Jumper.,41,51
15:19,135,Jordan Murphy Defensive Rebound.,41,51
15:18,2717,Foul on Deriece Parks.,41,51
15:18,135,Isaiah Washington made Free Throw.,41,52
15:18,135,Isaiah Washington missed Free Throw.,41,52
15:18,2717,Maurice Smith Defensive Rebound.,41,52
14:58,2717,Matt Halvorsen Turnover.,41,52
14:58,135,Jordan Murphy Steal.,41,52
14:53,135,Isaiah Washington made Layup. Assisted by Dupree McBrayer.,41,54
14:46,2717,Western Carolina  Timeout,41,54
14:46,135,Official TV Timeout,41,54
14:21,2717,Deriece Parks Turnover.,41,54
14:21,135,Jordan Murphy Steal.,41,54
14:20,2717,Foul on Maurice Smith.,41,54
14:05,2717,Foul on Matt Halvorsen.,41,54
14:05,135,Isaiah Washington made Free Throw.,41,55
14:05,135,Isaiah Washington missed Free Throw.,41,55
14:05,135,Jordan Murphy Offensive Rebound.,41,55
14:02,135,Isaiah Washington missed Jumper.,41,55
14:02,2717,Mike Amius Block.,41,55
13:58,2717,Onno Steger Defensive Rebound.,41,55
13:46,135,Foul on Amir Coffey.,41,55
13:25,2717,Western Carolina  Turnover.,41,55
13:11,135,Amir Coffey missed Jumper.,41,55
13:09,135,Amir Coffey Offensive Rebound.,41,55
13:08,135,Amir Coffey missed Jumper.,41,55
13:08,135,Jordan Murphy Offensive Rebound.,41,55
13:08,2717,Foul on Marc Gosselin.,41,55
13:08,135,Jordan Murphy made Free Throw.,41,56
13:08,135,Jordan Murphy made Free Throw.,41,57
12:57,2717,Mike Amius made Layup. Assisted by Deriece Parks.,43,57
12:41,135,Isaiah Washington made Layup.,43,59
12:29,2717,Deriece Parks missed Three Point Jumper.,43,59
12:27,135,Bakary Konate Defensive Rebound.,43,59
12:20,135,Isaiah Washington missed Three Point Jumper.,43,59
12:19,135,Jordan Murphy Offensive Rebound.,43,59
12:19,2717,Foul on Haboubacar Mutombo.,43,59
12:19,135,Jordan Murphy made Free Throw.,43,60
12:19,135,Jordan Murphy missed Free Throw.,43,60
12:19,2717,Haboubacar Mutombo Defensive Rebound.,43,60
11:56,135,Official TV Timeout,43,60
11:56,135,Foul on Bakary Konate.,43,60
11:56,2717,Mike Amius missed Free Throw.,43,60
11:56,2717,Western Carolina Deadball Team Rebound.,43,60
11:56,2717,Mike Amius made Free Throw.,44,60
11:43,135,Amir Coffey made Layup. Assisted by Jordan Murphy.,44,62
11:43,2717,Foul on Devin Peterson.,44,62
11:43,135,Amir Coffey missed Free Throw.,44,62
11:43,2717,Mike Amius Defensive Rebound.,44,62
11:24,2717,Onno Steger made Layup. Assisted by Matt Halvorsen.,46,62
11:13,135,Michael Hurt missed Layup.,46,62
11:13,2717,Onno Steger Block.,46,62
11:12,135,Minnesota Offensive Rebound.,46,62
11:06,135,Davonte Fitzgerald missed Jumper.,46,62
11:02,2717,Mike Amius Defensive Rebound.,46,62
10:57,2717,Haboubacar Mutombo missed Three Point Jumper.,46,62
10:56,135,Amir Coffey Defensive Rebound.,46,62
10:56,135,Foul on Jordan Murphy.,46,62
10:56,2717,Foul on Mike Amius.,46,62
10:43,135,Michael Hurt made Layup.,46,64
10:25,2717,Matt Halvorsen Turnover.,46,64
10:25,135,Isaiah Washington Steal.,46,64
10:19,2717,Foul on Devin Peterson.,46,64
10:19,135,Jordan Murphy made Free Throw.,46,65
10:19,135,Jordan Murphy made Free Throw.,46,66
9:58,2717,Foul on Yalim Olcay.,46,66
9:58,2717,Yalim Olcay Turnover.,46,66
9:42,135,Michael Hurt missed Jumper.,46,66
9:42,2717,Ashley Williams Block.,46,66
9:39,2717,Onno Steger Defensive Rebound.,46,66
9:32,2717,Onno Steger missed Three Point Jumper.,46,66
9:28,135,Jordan Murphy Defensive Rebound.,46,66
9:20,135,Foul on Michael Hurt.,46,66
9:20,135,Michael Hurt Turnover.,46,66
9:20,135,Minnesota  Timeout,46,66
8:58,2717,Onno Steger made Three Point Jumper. Assisted by Desmond Johnson.,49,66
8:38,135,Isaiah Washington missed Jumper.,49,66
8:36,135,Jordan Murphy Offensive Rebound.,49,66
8:35,135,Jordan Murphy made Dunk.,49,68
8:35,2717,Foul on Ashley Williams.,49,68
8:35,135,Jordan Murphy made Free Throw.,49,69
8:10,2717,Desmond Johnson Turnover.,49,69
8:10,135,Michael Hurt Steal.,49,69
8:08,135,Isaiah Washington missed Jumper.,49,69
8:08,2717,Ashley Williams Block.,49,69
8:08,135,Minnesota Offensive Rebound.,49,69
8:00,135,Amir Coffey made Jumper.,49,71
8:00,135,Official TV Timeout,49,71
8:00,2717,Foul on Marcus Thomas.,49,71
8:00,135,Amir Coffey missed Free Throw.,49,71
8:00,2717,Desmond Johnson Defensive Rebound.,49,71
7:45,2717,Ashley Williams missed Jumper.,49,71
7:45,135,Jordan Murphy Block.,49,71
7:44,2717,Western Carolina Offensive Rebound.,49,71
7:36,2717,Marcus Thomas Turnover.,49,71
7:36,135,Davonte Fitzgerald Steal.,49,71
7:19,135,Dupree McBrayer made Free Throw.,49,72
7:19,135,Dupree McBrayer made Free Throw.,49,73
7:19,2717,Foul on Desmond Johnson.,49,71
7:19,135,Dupree McBrayer made Free Throw.,49,72
7:19,135,Dupree McBrayer made Free Throw.,49,73
6:55,2717,Desmond Johnson made Layup.,51,73
6:40,135,Amir Coffey made Three Point Jumper. Assisted by Jordan Murphy.,51,76
6:27,2717,Desmond Johnson made Three Point Jumper.,54,76
5:58,135,Davonte Fitzgerald missed Jumper.,54,76
5:57,135,Jordan Murphy Offensive Rebound.,54,76
5:57,2717,Foul on Adam Sledd.,54,76
5:57,135,Jordan Murphy made Free Throw.,54,77
5:57,135,Jordan Murphy missed Free Throw.,54,77
5:57,2717,Marcus Thomas Defensive Rebound.,54,77
5:33,2717,Onno Steger missed Three Point Jumper.,54,77
5:29,2717,Onno Steger Offensive Rebound.,54,77
5:22,2717,Maurice Smith missed Jumper.,54,77
5:20,135,Nate Mason Defensive Rebound.,54,77
5:12,135,Jamir Harris missed Three Point Jumper.,54,77
5:09,135,Jordan Murphy Offensive Rebound.,54,77
5:08,135,Jordan Murphy missed Free Throw.,54,77
5:08,135,Jordan Murphy missed Free Throw.,54,77
5:08,2717,Foul on Onno Steger.,54,77
5:08,135,Minnesota Deadball Team Rebound.,54,77
5:08,135,Jordan Murphy missed Free Throw.,54,77
5:08,135,Jordan Murphy missed Free Throw.,54,77
5:08,2717,Western Carolina Defensive Rebound.,54,77
5:08,135,Foul on Jamir Harris.,54,77
5:08,2717,Western Carolina Deadball Team Rebound.,54,77
5:08,2717,Maurice Smith missed Free Throw.,54,77
5:08,2717,Maurice Smith missed Free Throw.,54,77
5:07,2717,Western Carolina Offensive Rebound.,54,77
5:04,2717,Jason McMillan missed Three Point Jumper.,54,77
5:01,135,Jamir Harris Defensive Rebound.,54,77
4:53,135,Jordan Murphy made Jumper. Assisted by Amir Coffey.,54,79
4:32,2717,Adam Sledd missed Jumper.,54,79
4:31,135,Jordan Murphy Defensive Rebound.,54,79
4:31,135,Jordan Murphy made Free Throw.,54,80
4:31,135,Jordan Murphy made Free Throw.,54,81
4:31,2717,Foul on Onno Steger.,54,79
4:31,135,Jordan Murphy made Free Throw.,54,80
4:31,135,Jordan Murphy made Free Throw.,54,81
4:08,2717,Maurice Smith missed Three Point Jumper.,54,81
4:06,135,Reggie Lynch Defensive Rebound.,54,81
3:58,135,Official TV Timeout,54,81
3:58,135,Jordan Murphy made Free Throw.,54,82
3:58,135,Jordan Murphy made Free Throw.,54,83
3:58,2717,Foul on Adam Sledd.,54,81
3:58,135,Jordan Murphy made Free Throw.,54,82
3:58,135,Jordan Murphy made Free Throw.,54,83
3:37,2717,Devonte Fuller made Layup.,56,83
3:21,135,Reggie Lynch made Layup. Assisted by Jordan Murphy.,56,85
3:03,2717,Devonte Fuller made Free Throw.,57,85
3:03,2717,Devonte Fuller made Free Throw.,58,85
3:03,135,Foul on Jamir Harris.,56,85
3:03,2717,Devonte Fuller made Free Throw.,57,85
3:03,2717,Devonte Fuller made Free Throw.,58,85
2:37,135,Jamir Harris made Three Point Jumper. Assisted by Davonte Fitzgerald.,58,88
2:27,2717,Adam Sledd made Jumper.,60,88
2:13,135,Michael Hurt made Layup. Assisted by Jamir Harris.,60,90
2:13,135,Minnesota  Timeout,60,90
2:07,2717,Marcus Thomas missed Three Point Jumper.,60,90
2:06,135,Minnesota Defensive Rebound.,60,90
1:52,135,Jamir Harris Turnover.,60,90
1:52,2717,Desmond Johnson Steal.,60,90
1:49,2717,Desmond Johnson made Dunk.,62,90
1:23,135,Nate Mason made Free Throw.,62,91
1:23,135,Nate Mason made Free Throw.,62,92
1:23,2717,Foul on Marcus Thomas.,62,90
1:23,135,Nate Mason made Free Throw.,62,91
1:23,135,Nate Mason made Free Throw.,62,92
1:06,2717,Devonte Fuller made Jumper.,64,92
0:39,135,Davonte Fitzgerald Turnover.,64,92
0:17,2717,Ashley Williams missed Three Point Jumper.,64,92
0:14,135,Bakary Konate Defensive Rebound.,64,92
0:00,135,End of Game,64,92
