Seattle,2057,Belmont,2547
9:44,2057,Kevin McClain made Layup.,14,20
9:28,2547,Morgan Means made Layup.,16,20
9:05,2057,Amanze Egekeze made Jumper.,16,22
8:51,2547,Josh Hearlihy made Three Point Jumper. Assisted by Morgan Means.,19,22
8:34,2057,Burton Sampson made Three Point Jumper. Assisted by Dylan Windler.,19,25
8:20,2547,Seattle  Timeout,19,25
8:10,2547,Morgan Means missed Three Point Jumper.,19,25
8:10,2057,Austin Luke Defensive Rebound.,19,25
7:55,2057,Amanze Egekeze missed Three Point Jumper.,19,25
7:55,2547,Aaron Nettles Defensive Rebound.,19,25
7:41,2547,Morgan Means made Jumper. Assisted by Aaron Menzies.,21,25
7:41,2057,Foul on Kevin McClain.,21,25
7:41,2547,Morgan Means made Free Throw.,22,25
7:30,2057,Amanze Egekeze made Three Point Jumper. Assisted by Kevin McClain.,22,28
7:00,2547,Aaron Nettles made Three Point Jumper. Assisted by Morgan Means.,25,28
6:37,2057,Foul on Amanze Egekeze.,25,28
6:37,2057,Amanze Egekeze Turnover.,25,28
6:25,2547,Morgan Means made Layup.,27,28
6:13,2057,Kevin McClain missed Three Point Jumper.,27,28
6:13,2547,Richaud Gittens Defensive Rebound.,27,28
6:00,2547,Morgan Means missed Three Point Jumper.,27,28
6:00,2057,Dylan Windler Defensive Rebound.,27,28
5:49,2547,Foul on Morgan Means.,27,28
5:49,2057,Mack Mercer missed Free Throw.,27,28
5:49,2547,Matej Kavas Defensive Rebound.,27,28
5:19,2547,Seattle  Turnover.,27,28
4:59,2057,Mack Mercer missed Layup.,27,28
4:59,2547,Scott Ulaneo Defensive Rebound.,27,28
4:58,2057,Foul on Mack Mercer.,27,28
4:47,2547,Jordan Hill made Three Point Jumper.,30,28
4:32,2057,Austin Luke Turnover.,30,28
4:30,2547,Jordan Hill Steal.,30,28
4:28,2547,Jordan Hill made Layup.,32,28
4:20,2057,Belmont  Timeout,32,28
4:09,2057,Mack Mercer made Layup.,32,30
3:54,2547,Jordan Hill missed Layup.,32,30
3:54,2057,Mack Mercer Defensive Rebound.,32,30
3:45,2547,Foul on Aaron Nettles.,32,30
3:45,2057,Michael Benkert made Free Throw.,32,31
3:45,2057,Michael Benkert made Free Throw.,32,32
3:36,2547,Jordan Hill missed Layup.,32,32
3:36,2057,Dylan Windler Defensive Rebound.,32,32
3:26,2057,Austin Luke made Layup.,32,34
3:09,2057,Foul on Mack Mercer.,32,34
3:09,2547,Matej Kavas made Free Throw.,33,34
3:09,2547,Matej Kavas made Free Throw.,34,34
2:50,2057,Michael Benkert made Three Point Jumper. Assisted by Austin Luke.,34,37
2:30,2547,Morgan Means Turnover.,34,37
2:28,2057,Mack Mercer Steal.,34,37
2:19,2057,Tyler Hadden Turnover.,34,37
2:19,2547,Aaron Nettles Steal.,34,37
2:13,2547,Matej Kavas missed Layup.,34,37
2:13,2057,Tyler Hadden Block.,34,37
2:04,2547,Seattle Offensive Rebound.,34,37
2:01,2057,Foul on Tyler Hadden.,34,37
1:57,2547,Matej Kavas missed Free Throw.,34,37
1:57,2057,Dylan Windler Defensive Rebound.,34,37
1:38,2057,Tyler Hadden made Layup. Assisted by Austin Luke.,34,39
1:21,2547,Aaron Nettles missed Three Point Jumper.,34,39
1:21,2057,Dylan Windler Defensive Rebound.,34,39
0:57,2057,Foul on Tyler Hadden.,34,39
0:57,2057,Tyler Hadden Turnover.,34,39
0:40,2547,Richaud Gittens missed Layup.,34,39
0:40,2057,Dylan Windler Block.,34,39
0:38,2057,Dylan Windler Defensive Rebound.,34,39
0:19,2057,Kevin McClain missed Layup.,34,39
0:19,2057,Caleb Hollander Offensive Rebound.,34,39
0:17,2057,Caleb Hollander made Two Point Tip Shot.,34,41
0:00,2547,Morgan Means made Jumper.,36,41
0:00,2057,End of 1st half,36,41
19:51,2547,Jordan Hill missed Jumper.,36,41
19:51,2057,Dylan Windler Defensive Rebound.,36,41
19:25,2057,Mack Mercer made Layup.,36,43
19:06,2547,Jordan Hill Turnover.,36,43
19:05,2057,Amanze Egekeze Steal.,36,43
19:00,2057,Kevin McClain made Layup.,36,45
18:58,2547,Seattle  Timeout,36,45
18:34,2547,Morgan Means missed Jumper.,36,45
18:34,2547,Morgan Means Offensive Rebound.,36,45
18:29,2547,Morgan Means made Layup.,38,45
18:20,2057,Mack Mercer made Layup. Assisted by Austin Luke.,38,47
18:03,2057,Foul on Mack Mercer.,38,47
18:03,2547,Josh Hearlihy made Free Throw.,39,47
18:03,2547,Josh Hearlihy made Free Throw.,40,47
17:50,2057,Mack Mercer missed Three Point Jumper.,40,47
17:50,2547,Jordan Hill Defensive Rebound.,40,47
17:25,2547,Aaron Menzies made Layup. Assisted by Jordan Hill.,42,47
17:10,2057,Kevin McClain missed Jumper.,42,47
17:10,2547,Aaron Menzies Defensive Rebound.,42,47
16:38,2547,Morgan Means made Jumper.,44,47
16:15,2057,Amanze Egekeze made Layup.,44,49
15:54,2547,Scott Ulaneo missed Three Point Jumper.,44,49
15:54,2547,Aaron Menzies Offensive Rebound.,44,49
15:48,2057,Foul on Amanze Egekeze.,44,49
15:48,2057,Official TV Timeout,44,49
15:48,2547,Aaron Menzies made Free Throw.,45,49
15:48,2547,Aaron Menzies made Free Throw.,46,49
15:37,2057,Amanze Egekeze made Three Point Jumper. Assisted by Burton Sampson.,46,52
15:18,2547,Matej Kavas made Three Point Jumper. Assisted by Jordan Hill.,49,52
15:14,2057,Belmont  Timeout,49,52
14:59,2547,Foul on Josh Hearlihy.,49,52
14:59,2057,Mack Mercer missed Free Throw.,49,52
14:59,2057,Belmont Deadball Team Rebound.,49,52
14:59,2057,Mack Mercer missed Free Throw.,49,52
14:59,2547,Richaud Gittens Defensive Rebound.,49,52
14:37,2547,Jordan Hill missed Three Point Jumper.,49,52
14:37,2547,Seattle Offensive Rebound.,49,52
14:25,2547,Morgan Means missed Three Point Jumper.,49,52
14:25,2057,Dylan Windler Defensive Rebound.,49,52
14:04,2547,Foul on Matej Kavas.,49,52
14:04,2057,Mack Mercer made Free Throw.,49,53
14:04,2057,Mack Mercer made Free Throw.,49,54
13:42,2547,Josh Hearlihy made Layup. Assisted by Jordan Hill.,51,54
13:30,2057,Dylan Windler missed Three Point Jumper.,51,54
13:30,2547,Morgan Means Defensive Rebound.,51,54
13:30,2547,Matej Kavas missed Layup.,51,54
13:30,2057,Dylan Windler Block.,51,54
13:30,2057,Kevin McClain Defensive Rebound.,51,54
13:28,2057,Kevin McClain made Layup.,51,56
13:25,2547,Foul on Richaud Gittens.,51,56
13:17,2057,Kevin McClain made Free Throw.,51,57
12:32,2547,Aaron Menzies Turnover.,51,57
12:31,2057,Dylan Windler Steal.,51,57
12:29,2547,Foul on Richaud Gittens.,51,57
12:13,2547,Foul on Morgan Means.,51,57
12:02,2057,Seth Adelsperger missed Jumper.,51,57
12:02,2547,Josh Hearlihy Block.,51,57
12:02,2057,Belmont Offensive Rebound.,51,57
11:56,2057,Austin Luke made Three Point Jumper.,51,60
11:39,2547,Matej Kavas missed Three Point Jumper.,51,60
11:39,2057,Tyler Hadden Defensive Rebound.,51,60
11:11,2057,Tyler Hadden made Dunk.,51,62
11:11,2547,Foul on Morgan Means.,51,62
11:11,2057,Official TV Timeout,51,62
11:11,2057,Tyler Hadden made Free Throw.,51,63
10:48,2547,Josh Hearlihy missed Jumper.,51,63
10:48,2057,Austin Luke Defensive Rebound.,51,63
10:42,2057,Austin Luke Turnover.,51,63
10:42,2547,Aaron Menzies made Jumper.,53,63
10:25,2057,Austin Luke missed Three Point Jumper.,53,63
10:25,2547,Aaron Menzies Defensive Rebound.,53,63
10:10,2547,Josh Hearlihy missed Three Point Jumper.,53,63
10:10,2057,Dylan Windler Defensive Rebound.,53,63
10:02,2547,Foul on Matej Kavas.,53,63
9:45,2057,Dylan Windler made Free Throw.,53,64
9:45,2057,Dylan Windler made Free Throw.,53,65
9:31,2547,Jordan Hill missed Three Point Jumper.,53,65
9:31,2547,Richaud Gittens Offensive Rebound.,53,65
9:26,2547,Richaud Gittens missed Jumper.,53,65
9:26,2547,Richaud Gittens Offensive Rebound.,53,65
9:23,2547,Richaud Gittens Turnover.,53,65
9:20,2547,Seattle  Timeout,53,65
9:09,2057,Amanze Egekeze missed Three Point Jumper.,53,65
9:09,2547,Jordan Hill Defensive Rebound.,53,65
8:49,2547,Aaron Menzies Turnover.,53,65
8:35,2057,Kevin McClain made Layup.,53,67
8:20,2547,Jordan Hill missed Three Point Jumper.,53,67
8:20,2057,Dylan Windler Defensive Rebound.,53,67
7:57,2057,Amanze Egekeze made Layup.,53,69
7:40,2547,Jordan Hill made Three Point Jumper. Assisted by Richaud Gittens.,56,69
7:11,2057,Kevin McClain made Layup.,56,71
6:57,2547,Josh Hearlihy missed Jumper.,56,71
6:57,2057,Dylan Windler Defensive Rebound.,56,71
6:25,2057,Austin Luke made Three Point Jumper.,56,74
6:08,2547,Jordan Hill missed Jumper.,56,74
6:08,2057,Kevin McClain Defensive Rebound.,56,74
6:01,2057,Burton Sampson Turnover.,56,74
6:01,2057,Official TV Timeout,56,74
5:50,2547,Aaron Nettles made Three Point Jumper. Assisted by Jordan Hill.,59,74
5:28,2547,Foul on Jake Spurgeon.,59,74
5:28,2057,Dylan Windler made Free Throw.,59,75
5:28,2057,Dylan Windler made Free Throw.,59,76
5:18,2547,Jordan Hill made Jumper.,61,76
4:58,2057,Austin Luke made Three Point Jumper. Assisted by Burton Sampson.,61,79
4:40,2057,Foul on Dylan Windler.,61,79
4:40,2547,Matej Kavas made Free Throw.,62,79
4:40,2547,Matej Kavas missed Free Throw.,62,79
4:40,2057,Amanze Egekeze Defensive Rebound.,62,79
4:27,2057,Austin Luke missed Layup.,62,79
4:27,2057,Amanze Egekeze Offensive Rebound.,62,79
4:25,2057,Amanze Egekeze made Dunk.,62,81
4:25,2057,Technical Foul on Amanze Egekeze.,62,81
4:25,2547,Aaron Nettles made Free Throw.,63,81
4:16,2547,Jordan Hill missed Three Point Jumper.,63,81
4:16,2057,Dylan Windler Defensive Rebound.,63,81
3:57,2057,Amanze Egekeze missed Three Point Jumper.,63,81
3:57,2547,Aaron Nettles Defensive Rebound.,63,81
3:53,2057,Foul on Kevin McClain.,63,81
3:53,2057,Official TV Timeout,63,81
3:41,2547,Matej Kavas made Three Point Jumper. Assisted by Aaron Nettles.,66,81
3:20,2057,Kevin McClain missed Jumper.,66,81
3:20,2547,Matej Kavas Defensive Rebound.,66,81
3:11,2547,Scott Ulaneo missed Three Point Jumper.,66,81
3:11,2547,Mattia Da Campo Offensive Rebound.,66,81
2:52,2547,Aaron Nettles made Three Point Jumper. Assisted by Morgan Means.,69,81
2:20,2057,Austin Luke made Three Point Jumper.,69,84
2:04,2547,Matej Kavas made Three Point Jumper. Assisted by Mattia Da Campo.,72,84
1:29,2057,Austin Luke made Three Point Jumper.,72,87
1:09,2547,Aaron Nettles made Jumper.,74,87
0:50,2057,Kevin McClain missed Three Point Jumper.,74,87
0:50,2547,Aaron Nettles Defensive Rebound.,74,87
0:42,2547,Morgan Means missed Three Point Jumper.,74,87
0:42,2057,Dylan Windler Defensive Rebound.,74,87
0:14,2057,Austin Luke made Three Point Jumper. Assisted by Dylan Windler.,74,90
0:00,2547,Matej Kavas made Three Point Jumper. Assisted by Morgan Means.,77,90
0:00,2057,End of Game,77,90
