New Hampshire,57,Florida,160
9:39,160,Jacoby Armstrong missed Jumper.,16,16
9:39,57,Florida Defensive Rebound.,16,16
9:29,57,KeVaughn Allen made Layup.,16,18
9:05,160,David Watkins missed Jumper.,16,18
9:05,57,Egor Koulechov Defensive Rebound.,16,18
8:54,57,Kevarrius Hayes missed Jumper.,16,18
8:54,160,David Watkins Defensive Rebound.,16,18
8:31,57,Foul on Keith Stone.,16,18
8:29,57,Foul on Jalen Hudson.,16,18
8:11,160,Tanner Leissner missed Jumper.,16,18
8:11,57,Keith Stone Defensive Rebound.,16,18
7:50,160,Foul on John Ogwuche.,16,18
7:50,57,Official TV Timeout,16,18
7:50,57,Jalen Hudson made Free Throw.,16,19
7:50,57,Jalen Hudson made Free Throw.,16,20
7:34,57,Foul on Keith Stone.,16,20
7:23,57,Foul on Chase Johnson.,16,20
7:07,160,Tanner Leissner made Layup. Assisted by John Ogwuche.,18,20
6:59,160,Foul on Elijah Jordan.,18,20
6:59,57,Chris Chiozza made Free Throw.,18,21
6:59,57,Chris Chiozza missed Free Throw.,18,21
6:59,160,Jordan Reed Defensive Rebound.,18,21
6:35,160,Tanner Leissner missed Layup.,18,21
6:35,160,New Hampshire Offensive Rebound.,18,21
6:30,160,Tanner Leissner missed Jumper.,18,21
6:30,57,Gorjok Gak Defensive Rebound.,18,21
6:24,160,Foul on Darryl Stewart.,18,21
6:24,57,Mike Okauru made Free Throw.,18,22
6:24,57,Mike Okauru missed Free Throw.,18,22
6:24,160,Tanner Leissner Defensive Rebound.,18,22
6:07,160,Tanner Leissner made Layup.,20,22
5:51,57,Deaundrae Ballard missed Jumper.,20,22
5:51,160,Jordan Reed Defensive Rebound.,20,22
5:40,160,Tanner Leissner missed Three Point Jumper.,20,22
5:40,57,Jalen Hudson Defensive Rebound.,20,22
5:20,57,Egor Koulechov made Layup.,20,24
4:55,160,Jordan Reed missed Three Point Jumper.,20,24
4:55,160,New Hampshire Offensive Rebound.,20,24
4:37,160,Josh Hopkins missed Three Point Jumper.,20,24
4:37,57,Kevarrius Hayes Defensive Rebound.,20,24
4:27,160,Foul on John Ogwuche.,20,24
4:27,57,Kevarrius Hayes made Free Throw.,20,25
4:27,57,Kevarrius Hayes missed Free Throw.,20,25
4:27,160,Jacoby Armstrong Defensive Rebound.,20,25
4:04,160,Tanner Leissner missed Jumper.,20,25
4:04,57,Jalen Hudson Defensive Rebound.,20,25
3:55,160,Foul on Josh Hopkins.,20,25
3:55,57,Official TV Timeout,20,25
3:55,57,Egor Koulechov missed Free Throw.,20,25
3:55,57,Florida Deadball Team Rebound.,20,25
3:55,57,Egor Koulechov made Free Throw.,20,26
3:36,57,Kevarrius Hayes Steal.,20,26
3:34,160,Elijah Jordan Turnover.,20,26
3:32,57,Kevarrius Hayes missed Layup.,20,26
3:32,57,Egor Koulechov Offensive Rebound.,20,26
3:30,57,Egor Koulechov made Two Point Tip Shot.,20,28
3:03,160,Josh Hopkins missed Three Point Jumper.,20,28
3:03,160,Tanner Leissner Offensive Rebound.,20,28
3:00,57,Foul on Chris Chiozza.,20,28
3:00,160,Tanner Leissner made Free Throw.,21,28
3:00,160,Tanner Leissner made Free Throw.,22,28
2:47,57,KeVaughn Allen missed Layup.,22,28
2:47,57,Deaundrae Ballard Offensive Rebound.,22,28
2:44,57,Deaundrae Ballard missed Two Point Tip Shot.,22,28
2:44,57,Egor Koulechov Offensive Rebound.,22,28
2:41,57,Egor Koulechov missed Jumper.,22,28
2:41,57,Florida Offensive Rebound.,22,28
2:37,57,Jalen Hudson missed Jumper.,22,28
2:37,160,John Ogwuche Defensive Rebound.,22,28
2:11,57,Egor Koulechov Steal.,22,28
2:09,160,John Ogwuche Turnover.,22,28
2:07,57,Egor Koulechov missed Layup.,22,28
2:07,160,Jordan Reed Defensive Rebound.,22,28
2:03,57,Foul on Egor Koulechov.,22,28
2:03,160,Jordan Reed made Free Throw.,23,28
2:03,160,Jordan Reed made Free Throw.,24,28
1:54,57,KeVaughn Allen missed Jumper.,24,28
1:54,160,John Ogwuche Defensive Rebound.,24,28
1:28,57,Kevarrius Hayes Steal.,24,28
1:28,160,Jacoby Armstrong Turnover.,24,28
1:16,57,Jalen Hudson missed Jumper.,24,28
1:16,57,KeVaughn Allen Offensive Rebound.,24,28
1:07,160,Foul on Jacoby Armstrong.,24,28
1:07,57,Egor Koulechov made Free Throw.,24,29
1:07,57,Egor Koulechov made Free Throw.,24,30
0:51,160,John Ogwuche made Three Point Jumper. Assisted by Jordan Reed.,27,30
0:42,57,Egor Koulechov missed Three Point Jumper.,27,30
0:42,160,New Hampshire Defensive Rebound.,27,30
0:33,160,New Hampshire  Timeout,27,30
0:17,160,Tanner Leissner made Layup.,29,30
0:11,160,Foul on Tanner Leissner.,29,30
0:11,57,Kevarrius Hayes made Free Throw.,29,31
0:11,57,Kevarrius Hayes made Free Throw.,29,32
0:05,160,Jordan Reed made Three Point Jumper.,32,32
0:00,57,End of 1st half,32,32
19:44,160,Tanner Leissner missed Jumper.,32,32
19:44,57,Kevarrius Hayes Block.,32,32
19:41,160,New Hampshire Offensive Rebound.,32,32
19:33,160,Jordan Reed missed Three Point Jumper.,32,32
19:33,57,Chris Chiozza Defensive Rebound.,32,32
19:21,57,Chris Chiozza made Jumper.,32,34
19:02,160,Elijah Jordan missed Layup.,32,34
19:02,57,Egor Koulechov Defensive Rebound.,32,34
18:50,57,Chris Chiozza made Three Point Jumper.,32,37
18:42,160,New Hampshire  Timeout,32,37
18:35,160,Jordan Reed Turnover.,32,37
18:15,57,Keith Stone missed Layup.,32,37
18:15,160,Tanner Leissner Defensive Rebound.,32,37
17:51,160,Jordan Reed missed Layup.,32,37
17:51,57,Chris Chiozza Defensive Rebound.,32,37
17:43,57,Chris Chiozza missed Layup.,32,37
17:43,57,Chris Chiozza Offensive Rebound.,32,37
17:36,57,Chris Chiozza missed Layup.,32,37
17:36,57,Kevarrius Hayes Offensive Rebound.,32,37
17:33,57,Egor Koulechov missed Three Point Jumper.,32,37
17:33,160,Tanner Leissner Defensive Rebound.,32,37
17:32,57,Foul on Chris Chiozza.,32,37
17:11,57,Foul on Keith Stone.,32,37
17:11,160,Iba Camara missed Free Throw.,32,37
17:11,160,New Hampshire Deadball Team Rebound.,32,37
17:11,160,Iba Camara made Free Throw.,33,37
16:58,57,KeVaughn Allen missed Layup.,33,37
16:58,160,Jacoby Armstrong Defensive Rebound.,33,37
16:55,160,Jacoby Armstrong Turnover.,33,37
16:49,57,Jalen Hudson made Jumper.,33,39
16:23,160,Jacoby Armstrong missed Jumper.,33,39
16:23,57,Egor Koulechov Defensive Rebound.,33,39
16:00,57,KeVaughn Allen made Jumper.,33,41
15:39,160,Tanner Leissner made Jumper.,35,41
15:25,57,KeVaughn Allen missed Three Point Jumper.,35,41
15:25,160,Iba Camara Defensive Rebound.,35,41
15:07,57,Foul on Gorjok Gak.,35,41
15:07,57,Official TV Timeout,35,41
15:01,160,Darryl Stewart missed Three Point Jumper.,35,41
15:01,57,Kevarrius Hayes Defensive Rebound.,35,41
14:54,160,Foul on Darryl Stewart.,35,41
14:54,57,Jalen Hudson made Free Throw.,35,42
14:54,57,Jalen Hudson missed Free Throw.,35,42
14:54,160,Iba Camara Defensive Rebound.,35,42
14:38,160,Jordan Reed missed Layup.,35,42
14:38,57,Kevarrius Hayes Block.,35,42
14:36,57,Deaundrae Ballard Defensive Rebound.,35,42
14:16,57,Foul on Gorjok Gak.,35,42
14:16,57,Gorjok Gak Turnover.,35,42
14:06,160,Jordan Reed Turnover.,35,42
13:54,57,Jalen Hudson missed Three Point Jumper.,35,42
13:54,57,Gorjok Gak Offensive Rebound.,35,42
13:44,57,Gorjok Gak missed Jumper.,35,42
13:44,160,Iba Camara Defensive Rebound.,35,42
13:36,160,Tanner Leissner made Three Point Jumper. Assisted by Jordan Reed.,38,42
13:27,57,KeVaughn Allen Turnover.,38,42
13:03,160,Jordan Reed missed Jumper.,38,42
13:03,57,Chris Chiozza Defensive Rebound.,38,42
12:58,160,Foul on Darryl Stewart.,38,42
12:58,57,Deaundrae Ballard made Free Throw.,38,43
12:58,57,Deaundrae Ballard made Free Throw.,38,44
12:44,160,Jacoby Armstrong missed Jumper.,38,44
12:44,57,Deaundrae Ballard Defensive Rebound.,38,44
12:35,57,Deaundrae Ballard missed Three Point Jumper.,38,44
12:35,160,Iba Camara Defensive Rebound.,38,44
12:21,160,Iba Camara made Jumper.,40,44
12:03,57,Chase Johnson missed Jumper.,40,44
12:03,160,Iba Camara Defensive Rebound.,40,44
12:01,57,Foul on Keith Stone.,40,44
11:47,160,Jacoby Armstrong missed Jumper.,40,44
11:47,57,Kevarrius Hayes Defensive Rebound.,40,44
11:35,160,Foul on Jordan Reed.,40,44
11:35,57,Official TV Timeout,40,44
11:35,57,Jalen Hudson made Free Throw.,40,45
11:35,57,Jalen Hudson made Free Throw.,40,46
11:19,160,Elijah Jordan made Three Point Jumper. Assisted by Tanner Leissner.,43,46
10:57,160,Foul on Iba Camara.,43,46
10:57,57,Chris Chiozza made Free Throw.,43,47
10:57,57,Chris Chiozza made Free Throw.,43,48
10:40,160,Foul on Jacoby Armstrong.,43,48
10:40,160,Jacoby Armstrong Turnover.,43,48
10:24,57,Jalen Hudson Turnover.,43,48
10:02,160,Elijah Jordan made Three Point Jumper. Assisted by Tanner Leissner.,46,48
9:46,57,Kevarrius Hayes missed Jumper.,46,48
9:46,160,Jacoby Armstrong Defensive Rebound.,46,48
9:27,160,John Ogwuche made Three Point Jumper. Assisted by Elijah Jordan.,49,48
9:20,57,Jalen Hudson made Dunk.,49,50
8:53,160,Tanner Leissner Turnover.,49,50
8:51,57,Kevarrius Hayes Steal.,49,50
8:47,57,Egor Koulechov missed Three Point Jumper.,49,50
8:47,160,John Ogwuche Defensive Rebound.,49,50
8:15,160,Tanner Leissner Turnover.,49,50
8:15,57,KeVaughn Allen Steal.,49,50
8:13,160,Foul on Jordan Reed.,49,50
8:13,57,Jalen Hudson made Free Throw.,49,51
8:13,57,Jalen Hudson made Free Throw.,49,52
8:03,57,Foul on Jalen Hudson.,49,52
7:47,160,Iba Camara made Jumper.,51,52
7:36,57,Jalen Hudson made Three Point Jumper. Assisted by Egor Koulechov.,51,55
7:33,57,Official TV Timeout,51,55
7:24,160,Tanner Leissner missed Jumper.,51,55
7:24,57,Kevarrius Hayes Block.,51,55
7:23,57,Kevarrius Hayes Defensive Rebound.,51,55
7:15,160,Foul on Tanner Leissner.,51,55
7:15,57,Jalen Hudson made Free Throw.,51,56
7:15,57,Jalen Hudson made Free Throw.,51,57
6:59,57,Foul on Chris Chiozza.,51,57
6:59,160,Tanner Leissner made Free Throw.,52,57
6:59,160,Tanner Leissner made Free Throw.,53,57
6:45,57,Egor Koulechov missed Jumper.,53,57
6:45,160,Tanner Leissner Defensive Rebound.,53,57
6:19,160,Jacoby Armstrong made Jumper. Assisted by Jordan Reed.,55,57
6:06,160,Foul on Jacoby Armstrong.,55,57
6:06,57,Kevarrius Hayes made Free Throw.,55,58
6:06,57,Kevarrius Hayes missed Free Throw.,55,58
6:06,160,Elijah Jordan Defensive Rebound.,55,58
5:44,160,Tanner Leissner missed Three Point Jumper.,55,58
5:44,57,Egor Koulechov Defensive Rebound.,55,58
5:25,57,Jalen Hudson missed Three Point Jumper.,55,58
5:25,57,Egor Koulechov Offensive Rebound.,55,58
5:21,57,Egor Koulechov made Jumper.,55,60
5:18,57,Florida  Timeout,55,60
5:04,160,Elijah Jordan made Three Point Jumper. Assisted by Tanner Leissner.,58,60
4:50,57,Egor Koulechov missed Three Point Jumper.,58,60
4:50,160,Iba Camara Defensive Rebound.,58,60
4:32,160,Tanner Leissner missed Jumper.,58,60
4:32,57,Egor Koulechov Defensive Rebound.,58,60
4:23,57,Jalen Hudson missed Three Point Jumper.,58,60
4:23,57,Kevarrius Hayes Offensive Rebound.,58,60
4:19,57,Jalen Hudson made Jumper. Assisted by KeVaughn Allen.,58,62
3:56,160,Jacoby Armstrong missed Three Point Jumper.,58,62
3:56,57,Jalen Hudson Defensive Rebound.,58,62
3:45,57,Jalen Hudson made Jumper.,58,64
3:13,160,Jordan Reed made Three Point Jumper. Assisted by Iba Camara.,61,64
2:48,160,Foul on Elijah Jordan.,61,64
2:48,57,Official TV Timeout,61,64
2:48,57,Jalen Hudson made Free Throw.,61,65
2:48,57,Jalen Hudson made Free Throw.,61,66
2:37,160,Jacoby Armstrong missed Jumper.,61,66
2:37,57,Egor Koulechov Block.,61,66
2:34,57,Egor Koulechov Defensive Rebound.,61,66
2:29,57,Egor Koulechov missed Jumper.,61,66
2:29,160,Iba Camara Defensive Rebound.,61,66
2:02,160,Tanner Leissner made Jumper.,63,66
1:41,57,Jalen Hudson made Layup.,63,68
1:15,160,Iba Camara missed Jumper.,63,68
1:15,57,Florida Defensive Rebound.,63,68
0:46,160,Foul on Tanner Leissner.,63,68
0:46,57,Keith Stone made Free Throw.,63,69
0:46,57,Keith Stone made Free Throw.,63,70
0:36,160,Jacoby Armstrong missed Three Point Jumper.,63,70
0:36,160,Elijah Jordan Offensive Rebound.,63,70
0:29,160,Jordan Reed missed Three Point Jumper.,63,70
0:29,57,Jalen Hudson Defensive Rebound.,63,70
0:00,57,End of Game,63,70
