Marshall,356,Illinois,276
19:25,356,Leron Black missed Jumper.,36,46
19:25,356,Illinois Offensive Rebound.,36,46
19:14,356,Michael Finke missed Three Point Jumper.,36,46
19:14,356,Mark Alstork Offensive Rebound.,36,46
19:09,356,Mark Alstork missed Two Point Tip Shot.,36,46
19:09,356,Mark Alstork Offensive Rebound.,36,46
18:55,356,Michael Finke made Jumper.,36,48
18:46,356,Foul on Mark Smith.,36,48
18:45,276,C.J. Burks Turnover.,36,48
18:31,356,Mark Smith made Jumper. Assisted by Leron Black.,36,50
18:21,276,Ajdin Penava missed Three Point Jumper.,36,50
18:21,276,Jannson Williams Offensive Rebound.,36,50
18:19,356,Foul on Michael Finke.,36,50
18:07,276,Jannson Williams Turnover.,36,50
18:06,356,Leron Black Steal.,36,50
18:00,356,Mark Smith made Layup.,36,52
17:48,276,Jannson Williams made Layup. Assisted by C.J. Burks.,38,52
17:42,356,Leron Black made Jumper. Assisted by Mark Alstork.,38,54
17:31,276,Ajdin Penava made Layup.,40,54
17:02,356,Leron Black missed Jumper.,40,54
17:02,356,Kipper Nichols Offensive Rebound.,40,54
16:57,356,Kipper Nichols missed Jumper.,40,54
16:57,276,Ajdin Penava Defensive Rebound.,40,54
16:48,276,Jon Elmore missed Jumper.,40,54
16:48,356,Leron Black Defensive Rebound.,40,54
16:42,356,Mark Smith missed Layup.,40,54
16:42,356,Kipper Nichols Offensive Rebound.,40,54
16:38,356,Kipper Nichols missed Jumper.,40,54
16:38,356,Leron Black Offensive Rebound.,40,54
16:35,356,Leron Black made Two Point Tip Shot.,40,56
16:23,276,C.J. Burks Turnover.,40,56
16:23,356,Official TV Timeout,40,56
16:01,356,Leron Black made Jumper.,40,58
15:51,276,Foul on Darius George.,40,58
15:51,276,Darius George Turnover.,40,58
15:40,276,Foul on Jarrod West.,40,58
15:24,356,Leron Black missed Jumper.,40,58
15:24,276,Darius George Defensive Rebound.,40,58
15:07,276,C.J. Burks made Jumper.,42,58
14:42,356,Te'Jon Lucas missed Jumper.,42,58
14:42,276,Ajdin Penava Defensive Rebound.,42,58
14:35,276,Jon Elmore Turnover.,42,58
14:33,356,Te'Jon Lucas Steal.,42,58
14:26,276,Foul on Jarrod West.,42,58
14:26,356,Leron Black made Free Throw.,42,59
14:26,356,Leron Black missed Free Throw.,42,59
14:26,276,Darius George Defensive Rebound.,42,59
14:15,356,Foul on Aaron Jordan.,42,59
14:15,276,Ajdin Penava made Free Throw.,43,59
14:15,276,Ajdin Penava missed Free Throw.,43,59
14:15,356,Leron Black Defensive Rebound.,43,59
14:00,356,Aaron Jordan made Three Point Jumper. Assisted by Leron Black.,43,62
13:52,276,C.J. Burks missed Jumper.,43,62
13:52,356,Kipper Nichols Defensive Rebound.,43,62
13:31,356,Aaron Jordan missed Layup.,43,62
13:31,276,Ajdin Penava Defensive Rebound.,43,62
13:23,276,Foul on Jon Elmore.,43,62
13:23,276,Jon Elmore Turnover.,43,62
13:12,276,Foul on Ajdin Penava.,43,62
12:59,356,Kipper Nichols made Layup. Assisted by Greg Eboigbodin.,43,64
12:47,276,Darius George Turnover.,43,64
12:44,356,Mark Alstork Steal.,43,64
12:42,276,Foul on Jon Elmore.,43,64
12:27,356,Kipper Nichols made Jumper.,43,66
12:11,276,C.J. Burks missed Three Point Jumper.,43,66
12:11,356,Kipper Nichols Defensive Rebound.,43,66
12:02,356,Kipper Nichols missed Jumper.,43,66
12:02,276,Marshall Defensive Rebound.,43,66
11:53,276,C.J. Burks missed Jumper.,43,66
11:53,276,Ajdin Penava Offensive Rebound.,43,66
11:52,276,Ajdin Penava missed Two Point Tip Shot.,43,66
11:52,276,Ajdin Penava Offensive Rebound.,43,66
11:51,276,Ajdin Penava made Two Point Tip Shot.,45,66
11:27,356,Mark Smith missed Jumper.,45,66
11:27,276,Ajdin Penava Defensive Rebound.,45,66
11:18,276,Ot Elmore missed Three Point Jumper.,45,66
11:18,356,Kipper Nichols Defensive Rebound.,45,66
11:07,276,Foul on Ajdin Penava.,45,66
11:07,356,Official TV Timeout,45,66
11:07,356,Greg Eboigbodin made Free Throw.,45,67
11:07,356,Greg Eboigbodin missed Free Throw.,45,67
11:07,276,Jon Elmore Defensive Rebound.,45,67
10:49,276,Ajdin Penava made Three Point Jumper. Assisted by C.J. Burks.,48,67
10:35,356,Trent Frazier made Jumper.,48,69
10:05,276,Jon Elmore missed Jumper.,48,69
10:05,276,Ajdin Penava Offensive Rebound.,48,69
10:01,276,Ajdin Penava made Layup.,50,69
9:29,356,Mark Alstork missed Jumper.,50,69
9:29,276,Jon Elmore Block.,50,69
9:27,276,Ajdin Penava Defensive Rebound.,50,69
9:21,276,C.J. Burks missed Three Point Jumper.,50,69
9:21,356,Aaron Jordan Defensive Rebound.,50,69
9:05,356,Mark Smith made Jumper.,50,71
8:54,276,C.J. Burks made Jumper.,52,71
8:54,356,Foul on Mark Smith.,52,71
8:54,276,C.J. Burks made Free Throw.,53,71
8:39,356,Michael Finke made Three Point Jumper. Assisted by Da'Monte Williams.,53,74
8:23,276,Jarrod West made Layup.,55,74
8:02,356,Michael Finke missed Jumper.,55,74
8:02,276,Marshall Defensive Rebound.,55,74
7:59,356,Official TV Timeout,55,74
7:47,356,Foul on Da'Monte Williams.,55,74
7:46,276,C.J. Burks Turnover.,55,74
