South Florida,84,Indiana,58
9:34,84,Robert Johnson made Three Point Jumper. Assisted by Josh Newkirk.,12,14
9:20,58,Malik Martin made Jumper. Assisted by Payton Banks.,14,14
9:08,58,Foul on Payton Banks.,14,14
9:01,84,Robert Johnson made Three Point Jumper. Assisted by Curtis Jones.,14,17
8:43,58,Stephan Jiggetts made Layup.,16,17
8:36,84,Curtis Jones made Three Point Jumper. Assisted by Josh Newkirk.,16,20
8:07,58,Malik Martin made Three Point Jumper. Assisted by Stephan Jiggetts.,19,20
7:54,84,Official TV Timeout,19,20
7:33,84,Juwan Morgan Turnover.,19,20
7:32,58,David Collins Steal.,19,20
7:29,58,David Collins made Jumper.,21,20
7:29,84,Foul on Juwan Morgan.,21,20
7:29,58,David Collins missed Free Throw.,21,20
7:29,84,Justin Smith Defensive Rebound.,21,20
7:08,84,Devonte Green missed Three Point Jumper.,21,20
7:06,84,De'Ron Davis Offensive Rebound.,21,20
6:50,84,Aljami Durham missed Three Point Jumper.,21,20
6:47,58,Terrence Samuel Defensive Rebound.,21,20
6:47,84,Foul on Justin Smith.,21,20
6:34,84,Foul on Justin Smith.,21,20
6:18,58,Tulio Da Silva missed Jumper.,21,20
6:17,84,Clifton Moore Defensive Rebound.,21,20
6:08,84,Devonte Green made Three Point Jumper. Assisted by Aljami Durham.,21,23
5:49,84,Foul on Aljami Durham.,21,23
5:49,58,Stephan Jiggetts made Free Throw.,22,23
5:49,58,Stephan Jiggetts made Free Throw.,23,23
5:21,58,Foul on Stephan Jiggetts.,23,23
5:02,84,Aljami Durham made Jumper. Assisted by Robert Johnson.,23,25
4:54,58,David Collins Turnover.,23,25
4:35,58,Foul on Stephan Jiggetts.,23,25
4:35,84,De'Ron Davis missed Free Throw.,23,25
4:35,84,Indiana Deadball Team Rebound.,23,25
4:35,84,De'Ron Davis made Free Throw.,23,26
4:13,58,Payton Banks made Three Point Jumper.,26,26
3:46,84,Robert Johnson made Layup.,26,28
3:36,58,David Collins missed Layup.,26,28
3:35,84,De'Ron Davis Defensive Rebound.,26,28
3:31,84,Devonte Green Turnover.,26,28
3:30,58,Terrence Samuel Steal.,26,28
3:12,58,Payton Banks missed Three Point Jumper.,26,28
3:10,58,Payton Banks Offensive Rebound.,26,28
3:09,58,Payton Banks made Layup.,28,28
2:54,84,De'Ron Davis missed Jumper.,28,28
2:53,58,Tulio Da Silva Defensive Rebound.,28,28
2:41,58,Malik Martin Turnover.,28,28
2:40,84,De'Ron Davis Steal.,28,28
2:22,84,De'Ron Davis made Dunk. Assisted by Aljami Durham.,28,30
2:20,58,South Florida  Timeout,28,30
2:20,84,Official TV Timeout,28,30
2:08,58,Tulio Da Silva missed Layup.,28,30
2:08,84,Clifton Moore Block.,28,30
2:06,58,David Collins Offensive Rebound.,28,30
2:04,84,Technical Foul on Indiana.,28,30
2:04,84,Foul on Indiana.,28,30
2:04,58,Payton Banks made Free Throw.,29,30
2:04,58,Payton Banks made Free Throw.,30,30
1:56,58,Tulio Da Silva made Dunk. Assisted by Payton Banks.,32,30
1:25,84,Robert Johnson made Layup.,32,32
0:54,58,David Collins missed Layup.,32,32
0:54,84,Freddie McSwain Jr. Block.,32,32
0:53,58,Tulio Da Silva Offensive Rebound.,32,32
0:49,58,Terrence Samuel missed Three Point Jumper.,32,32
0:49,58,Tulio Da Silva Offensive Rebound.,32,32
0:45,58,Payton Banks Turnover.,32,32
0:37,84,Foul on Freddie McSwain Jr..,32,32
0:37,84,Freddie McSwain Jr. Turnover.,32,32
0:31,58,Foul on Payton Banks.,32,32
0:31,58,Payton Banks Turnover.,32,32
0:05,58,Foul on Tulio Da Silva.,32,32
0:05,84,Aljami Durham missed Free Throw.,32,32
0:05,84,Indiana Deadball Team Rebound.,32,32
0:05,84,Aljami Durham made Free Throw.,32,33
0:01,58,David Collins made Layup.,34,33
0:01,84,Indiana  Timeout,34,33
0:00,84,End of 1st half,34,33
19:46,58,Stephan Jiggetts Turnover.,34,33
19:31,84,Devonte Green missed Jumper.,34,33
19:29,84,Juwan Morgan Offensive Rebound.,34,33
19:22,84,Devonte Green missed Three Point Jumper.,34,33
19:19,58,South Florida Defensive Rebound.,34,33
18:54,58,Terrence Samuel missed Jumper.,34,33
18:52,58,Nikola Scekic Offensive Rebound.,34,33
18:52,84,Foul on De'Ron Davis.,34,33
18:29,58,Tulio Da Silva made Three Point Jumper. Assisted by Stephan Jiggetts.,37,33
18:07,84,Aljami Durham missed Three Point Jumper.,37,33
18:03,84,Juwan Morgan Offensive Rebound.,37,33
18:01,58,Foul on Tulio Da Silva.,37,33
18:01,84,Juwan Morgan made Free Throw.,37,34
18:01,84,Juwan Morgan made Free Throw.,37,35
17:50,58,Malik Martin made Jumper. Assisted by Terrence Samuel.,39,35
17:36,84,Juwan Morgan missed Layup.,39,35
17:35,58,Malik Martin Defensive Rebound.,39,35
17:22,58,Tulio Da Silva missed Three Point Jumper.,39,35
17:19,84,Aljami Durham Defensive Rebound.,39,35
17:12,84,Aljami Durham made Layup.,39,37
17:12,58,Foul on Stephan Jiggetts.,39,37
17:12,84,Aljami Durham missed Free Throw.,39,37
17:12,58,Tulio Da Silva Defensive Rebound.,39,37
16:47,58,David Collins Turnover.,39,37
16:22,84,De'Ron Davis made Layup. Assisted by Robert Johnson.,39,39
15:57,58,David Collins missed Layup.,39,39
15:57,84,Juwan Morgan Block.,39,39
15:55,84,De'Ron Davis Defensive Rebound.,39,39
15:49,84,Robert Johnson missed Layup.,39,39
15:48,84,Juwan Morgan Offensive Rebound.,39,39
15:47,84,Official TV Timeout,39,39
15:47,84,Juwan Morgan missed Layup.,39,39
15:47,84,Juwan Morgan Offensive Rebound.,39,39
15:47,58,Foul on Malik Martin.,39,39
15:47,84,Official TV Timeout,39,39
15:47,84,Juwan Morgan made Free Throw.,39,40
15:47,84,Juwan Morgan made Free Throw.,39,41
15:46,84,Official TV Timeout,39,39
15:30,58,Malik Martin Turnover.,39,41
15:00,84,Devonte Green Turnover.,39,41
14:59,58,David Collins Steal.,39,41
14:56,58,David Collins made Layup.,41,41
14:44,84,Juwan Morgan missed Three Point Jumper.,41,41
14:42,58,South Florida Defensive Rebound.,41,41
14:42,84,Foul on De'Ron Davis.,41,41
14:28,58,Foul on Payton Banks.,41,41
14:28,58,Payton Banks Turnover.,41,41
14:03,84,Josh Newkirk missed Three Point Jumper.,41,41
14:01,58,Stephan Jiggetts Defensive Rebound.,41,41
13:39,58,Stephan Jiggetts missed Jumper.,41,41
13:39,84,Robert Johnson Block.,41,41
13:38,58,South Florida Offensive Rebound.,41,41
13:35,58,Stephan Jiggetts missed Jumper.,41,41
13:33,58,Malik Martin Offensive Rebound.,41,41
13:32,58,Malik Martin made Two Point Tip Shot.,43,41
13:18,58,Foul on David Collins.,43,41
13:10,58,Foul on Nikola Scekic.,43,41
13:10,84,Juwan Morgan made Free Throw.,43,42
13:10,84,Juwan Morgan made Free Throw.,43,43
12:49,84,Foul on Aljami Durham.,43,43
12:38,58,Malik Martin missed Three Point Jumper.,43,43
12:36,58,Malik Martin Offensive Rebound.,43,43
12:33,58,Malik Martin Turnover.,43,43
12:32,84,Juwan Morgan Steal.,43,43
12:18,84,Juwan Morgan made Layup.,43,45
11:52,58,Stephan Jiggetts missed Jumper.,43,45
11:50,84,Curtis Jones Defensive Rebound.,43,45
11:37,84,Robert Johnson missed Layup.,43,45
11:35,84,Juwan Morgan Offensive Rebound.,43,45
11:32,58,Foul on Tulio Da Silva.,43,45
11:32,84,Official TV Timeout,43,45
11:32,84,Juwan Morgan made Free Throw.,43,46
11:32,84,Juwan Morgan made Free Throw.,43,47
11:15,58,Payton Banks missed Three Point Jumper.,43,47
11:13,84,Aljami Durham Defensive Rebound.,43,47
11:07,84,Curtis Jones missed Three Point Jumper.,43,47
11:04,58,Stephan Jiggetts Defensive Rebound.,43,47
11:00,84,Foul on Juwan Morgan.,43,47
11:00,58,Tulio Da Silva missed Free Throw.,43,47
11:00,58,South Florida Deadball Team Rebound.,43,47
11:00,58,Tulio Da Silva made Free Throw.,44,47
10:34,84,Curtis Jones missed Three Point Jumper.,44,47
10:32,58,Tulio Da Silva Defensive Rebound.,44,47
10:22,58,Payton Banks missed Layup.,44,47
10:21,84,Aljami Durham Defensive Rebound.,44,47
10:05,58,Foul on Nikola Scekic.,44,47
10:05,84,De'Ron Davis made Free Throw.,44,48
10:05,84,De'Ron Davis missed Free Throw.,44,48
10:05,84,Justin Smith Offensive Rebound.,44,48
9:45,84,De'Ron Davis missed Layup.,44,48
9:44,84,De'Ron Davis Offensive Rebound.,44,48
9:43,84,De'Ron Davis made Two Point Tip Shot.,44,50
9:37,58,South Florida  Timeout,44,50
9:37,84,Official TV Timeout,44,50
9:23,58,Tulio Da Silva missed Three Point Jumper.,44,50
9:21,84,De'Ron Davis Defensive Rebound.,44,50
8:55,84,De'Ron Davis made Layup. Assisted by Devonte Green.,44,52
8:37,58,Stephan Jiggetts missed Three Point Jumper.,44,52
8:35,84,Justin Smith Defensive Rebound.,44,52
8:29,84,Robert Johnson made Layup.,44,54
8:19,58,South Florida  Timeout,44,54
8:19,84,Official TV Timeout,44,54
8:04,58,Payton Banks made Jumper.,46,54
8:04,84,Foul on Robert Johnson.,46,54
8:04,58,Payton Banks made Free Throw.,47,54
7:39,84,Justin Smith made Dunk. Assisted by Aljami Durham.,47,56
7:19,58,David Collins missed Three Point Jumper.,47,56
7:17,84,Robert Johnson Defensive Rebound.,47,56
7:09,84,Devonte Green Turnover.,47,56
7:09,58,Malik Martin Steal.,47,56
7:09,84,Foul on De'Ron Davis.,47,56
6:52,58,Payton Banks missed Three Point Jumper.,47,56
6:50,84,Justin Smith Defensive Rebound.,47,56
6:19,84,Robert Johnson Turnover.,47,56
5:55,58,Stephan Jiggetts missed Jumper.,47,56
5:55,84,Robert Johnson Block.,47,56
5:53,84,Robert Johnson Defensive Rebound.,47,56
5:48,84,Robert Johnson missed Jumper.,47,56
5:47,58,Terrence Samuel Defensive Rebound.,47,56
5:41,58,Terrence Samuel Turnover.,47,56
5:40,84,Aljami Durham made Free Throw.,47,58
5:40,84,Aljami Durham Steal.,47,56
5:40,58,Foul on Malik Martin.,47,56
5:40,84,Aljami Durham made Free Throw.,47,57
5:15,58,Stephan Jiggetts missed Layup.,47,58
5:15,84,Juwan Morgan Block.,47,58
5:14,84,Aljami Durham Defensive Rebound.,47,58
4:51,84,Robert Johnson made Layup.,47,60
4:33,84,Foul on Devonte Green.,47,60
4:33,58,Terrence Samuel made Free Throw.,48,60
4:33,58,Terrence Samuel made Free Throw.,49,60
4:14,84,Justin Smith missed Layup.,49,60
4:13,84,Justin Smith Offensive Rebound.,49,60
4:13,58,Foul on David Collins.,49,60
4:13,84,Justin Smith made Free Throw.,49,61
4:13,84,Justin Smith made Free Throw.,49,62
4:00,58,Foul on Malik Martin.,49,62
4:00,58,Malik Martin Turnover.,49,62
4:00,84,Official TV Timeout,49,62
3:33,84,Robert Johnson missed Jumper.,49,62
3:30,58,South Florida Defensive Rebound.,49,62
3:11,58,Malik Martin made Dunk. Assisted by Terrence Samuel.,51,62
2:46,84,Robert Johnson made Three Point Jumper. Assisted by Aljami Durham.,51,65
2:21,58,Payton Banks missed Three Point Jumper.,51,65
2:19,84,Juwan Morgan Defensive Rebound.,51,65
1:59,84,Curtis Jones missed Three Point Jumper.,51,65
1:57,58,Malik Martin Defensive Rebound.,51,65
1:39,84,Foul on Aljami Durham.,51,65
1:39,58,David Collins missed Free Throw.,51,65
1:39,84,Robert Johnson Defensive Rebound.,51,65
1:14,58,Foul on Nikola Scekic.,51,65
1:14,84,Juwan Morgan missed Free Throw.,51,65
1:14,84,Indiana Deadball Team Rebound.,51,65
1:14,84,Juwan Morgan made Free Throw.,51,66
1:06,84,Foul on Aljami Durham.,51,66
1:06,58,David Collins made Free Throw.,52,66
1:06,58,David Collins made Free Throw.,53,66
0:59,84,Juwan Morgan made Dunk. Assisted by Robert Johnson.,53,68
0:47,58,Justin Brown missed Three Point Jumper.,53,68
0:45,84,Juwan Morgan Defensive Rebound.,53,68
0:21,84,Robert Johnson made Layup.,53,70
0:17,58,David Collins missed Jumper.,53,70
0:17,84,Justin Smith Block.,53,70
0:16,58,South Florida Offensive Rebound.,53,70
0:16,58,Payton Banks missed Jumper.,53,70
0:16,84,Juwan Morgan Defensive Rebound.,53,70
0:00,84,End of Game,53,70
