Temple,228,Clemson,218
12:20,218,Quinton Rose Defensive Rebound.,12,12
12:12,218,Quinton Rose missed Jumper.,12,12
12:12,218,Quinton Rose Offensive Rebound.,12,12
12:12,218,Quinton Rose made Two Point Tip Shot.,14,12
11:52,228,Shelton Mitchell made Three Point Jumper. Assisted by Scott Spencer.,14,15
11:38,218,Shizz Alston Jr. Turnover.,14,15
11:38,228,Official TV Timeout,14,15
11:28,218,Foul on Alani Moore II.,14,15
11:15,228,Donte Grantham made Layup.,14,17
11:01,228,Foul on Gabe DeVoe.,14,17
10:58,218,Foul on Obi Enechionyia.,14,17
10:58,218,Obi Enechionyia Turnover.,14,17
10:35,228,Scott Spencer missed Jumper.,14,17
10:35,218,Shizz Alston Jr. Defensive Rebound.,14,17
10:26,218,Alani Moore II made Three Point Jumper. Assisted by Quinton Rose.,17,17
10:08,228,Marcquise Reed Turnover.,17,17
10:08,218,Alani Moore II Steal.,17,17
10:04,218,Alani Moore II made Layup.,19,17
9:48,228,Shelton Mitchell missed Three Point Jumper.,19,17
9:48,218,Quinton Rose Defensive Rebound.,19,17
9:40,218,Quinton Rose missed Jumper.,19,17
9:40,228,Clemson Defensive Rebound.,19,17
9:37,218,Foul on Damion Moore.,19,17
9:18,228,Donte Grantham missed Three Point Jumper.,19,17
9:18,218,Damion Moore Defensive Rebound.,19,17
9:08,218,Quinton Rose missed Layup.,19,17
9:08,228,Elijah Thomas Block.,19,17
9:08,218,Temple Offensive Rebound.,19,17
8:58,218,Damion Moore missed Jumper.,19,17
8:58,228,Donte Grantham Block.,19,17
8:58,228,Elijah Thomas Defensive Rebound.,19,17
8:49,228,Scott Spencer made Jumper.,19,19
8:32,218,Foul on Josh Brown.,19,19
8:32,218,Josh Brown Turnover.,19,19
8:16,228,Elijah Thomas Turnover.,19,19
8:16,218,De'Vondre Perry Steal.,19,19
7:58,218,De'Vondre Perry missed Three Point Jumper.,19,19
7:58,218,Damion Moore Offensive Rebound.,19,19
7:49,218,Alani Moore II made Three Point Jumper. Assisted by De'Vondre Perry.,22,19
7:23,218,Foul on Shizz Alston Jr..,22,19
7:23,228,Official TV Timeout,22,19
7:23,228,Donte Grantham missed Free Throw.,22,19
7:23,218,Shizz Alston Jr. Defensive Rebound.,22,19
7:06,218,Obi Enechionyia missed Jumper.,22,19
7:06,228,Donte Grantham Defensive Rebound.,22,19
6:56,228,Gabe DeVoe missed Three Point Jumper.,22,19
6:56,218,Obi Enechionyia Defensive Rebound.,22,19
6:46,218,De'Vondre Perry made Jumper.,24,19
6:26,228,Shelton Mitchell made Layup.,24,21
6:07,218,Shizz Alston Jr. made Three Point Jumper.,27,21
5:47,228,Shelton Mitchell made Layup.,27,23
5:26,218,Obi Enechionyia missed Three Point Jumper.,27,23
5:26,228,Gabe DeVoe Defensive Rebound.,27,23
5:16,228,Shelton Mitchell missed Layup.,27,23
5:16,228,Clemson Offensive Rebound.,27,23
5:11,228,Elijah Thomas missed Jumper.,27,23
5:11,218,Alani Moore II Defensive Rebound.,27,23
5:01,218,Obi Enechionyia missed Jumper.,27,23
5:01,228,Marcquise Reed Defensive Rebound.,27,23
4:36,228,Foul on Elijah Thomas.,27,23
4:36,228,Elijah Thomas Turnover.,27,23
4:27,218,Obi Enechionyia made Three Point Jumper. Assisted by Shizz Alston Jr..,30,23
4:06,228,Marcquise Reed missed Three Point Jumper.,30,23
4:06,228,Mark Donnal Offensive Rebound.,30,23
3:58,228,Mark Donnal made Three Point Jumper. Assisted by Gabe DeVoe.,30,26
3:44,218,Alani Moore II missed Three Point Jumper.,30,26
3:44,218,Temple Offensive Rebound.,30,26
3:42,228,Foul on Mark Donnal.,30,26
3:37,228,Official TV Timeout,30,26
3:24,218,Shizz Alston Jr. missed Three Point Jumper.,30,26
3:24,218,J.P. Moorman II Offensive Rebound.,30,26
3:03,218,Ernest Aflakpui Turnover.,30,26
2:50,228,Gabe DeVoe missed Three Point Jumper.,30,26
2:50,218,Alani Moore II Defensive Rebound.,30,26
2:39,218,Ernest Aflakpui made Layup. Assisted by Alani Moore II.,32,26
2:19,228,Marcquise Reed made Three Point Jumper. Assisted by Donte Grantham.,32,29
1:52,218,Alani Moore II missed Three Point Jumper.,32,29
1:52,218,Temple Offensive Rebound.,32,29
1:51,228,Foul on Mark Donnal.,32,29
1:47,218,Quinton Rose missed Jumper.,32,29
1:47,218,Obi Enechionyia Offensive Rebound.,32,29
1:46,228,Foul on Donte Grantham.,32,29
1:46,218,Obi Enechionyia made Free Throw.,33,29
1:46,218,Obi Enechionyia made Free Throw.,34,29
1:28,228,Marcquise Reed Turnover.,34,29
1:14,218,Alani Moore II made Three Point Jumper. Assisted by Quinton Rose.,37,29
1:03,228,Clemson  Timeout,37,29
0:54,228,Clemson  Timeout,37,29
0:41,228,Shelton Mitchell missed Three Point Jumper.,37,29
0:41,218,Temple Defensive Rebound.,37,29
0:37,218,Temple  Timeout,37,29
0:14,218,Quinton Rose Turnover.,37,29
0:14,228,Donte Grantham Steal.,37,29
0:08,218,Foul on Shizz Alston Jr..,37,29
0:08,228,Shelton Mitchell made Free Throw.,37,30
0:08,228,Shelton Mitchell made Free Throw.,37,31
0:02,218,Quinton Rose missed Layup.,37,31
0:02,228,Scott Spencer Defensive Rebound.,37,31
0:00,228,End of 1st half,37,31
20:00,218,Jump Ball won by Temple,37,31
19:32,218,Josh Brown made Three Point Jumper.,40,31
19:07,228,Elijah Thomas Turnover.,40,31
19:07,218,Quinton Rose Steal.,40,31
19:02,218,Josh Brown missed Jumper.,40,31
19:02,228,Donte Grantham Defensive Rebound.,40,31
18:50,228,Gabe DeVoe Turnover.,40,31
18:30,218,Josh Brown made Three Point Jumper. Assisted by Quinton Rose.,43,31
18:05,228,Elijah Thomas Turnover.,43,31
18:05,218,Josh Brown Steal.,43,31
17:57,218,Josh Brown missed Layup.,43,31
17:57,228,Donte Grantham Defensive Rebound.,43,31
17:52,228,Marcquise Reed made Three Point Jumper. Assisted by Donte Grantham.,43,34
17:33,218,Quinton Rose missed Jumper.,43,34
17:33,228,Gabe DeVoe Defensive Rebound.,43,34
17:24,228,Marcquise Reed missed Three Point Jumper.,43,34
17:24,228,Clemson Offensive Rebound.,43,34
17:23,218,Foul on Ernest Aflakpui.,43,34
17:01,228,Marcquise Reed Turnover.,43,34
17:01,218,Quinton Rose Steal.,43,34
16:54,218,Quinton Rose made Layup. Assisted by Josh Brown.,45,34
16:47,228,Gabe DeVoe missed Three Point Jumper.,45,34
16:47,228,Clemson Offensive Rebound.,45,34
16:45,218,Foul on Shizz Alston Jr..,45,34
16:32,228,Shelton Mitchell made Layup.,45,36
16:02,218,Quinton Rose missed Jumper.,45,36
16:02,218,Ernest Aflakpui Offensive Rebound.,45,36
15:57,228,Official TV Timeout,45,36
15:46,218,Obi Enechionyia missed Three Point Jumper.,45,36
15:46,228,Elijah Thomas Defensive Rebound.,45,36
15:30,228,Elijah Thomas missed Jumper.,45,36
15:30,218,Ernest Aflakpui Defensive Rebound.,45,36
15:30,218,Alani Moore II Turnover.,45,36
15:30,228,Elijah Thomas Steal.,45,36
15:30,228,Elijah Thomas Turnover.,45,36
15:30,218,Alani Moore II Steal.,45,36
15:03,218,Alani Moore II missed Jumper.,45,36
15:03,228,Shelton Mitchell Defensive Rebound.,45,36
14:48,228,Foul on Marcquise Reed.,45,36
14:48,228,Marcquise Reed Turnover.,45,36
14:24,218,Obi Enechionyia made Layup. Assisted by Josh Brown.,47,36
14:01,228,Gabe DeVoe Turnover.,47,36
14:01,218,Alani Moore II Steal.,47,36
13:55,218,Alani Moore II Turnover.,47,36
13:55,228,Jump Ball won by Clemson,47,36
13:39,228,Foul on Donte Grantham.,47,36
13:39,228,Donte Grantham Turnover.,47,36
13:20,218,Josh Brown missed Jumper.,47,36
13:20,228,Shelton Mitchell Defensive Rebound.,47,36
13:12,228,Donte Grantham missed Jumper.,47,36
13:12,218,Alani Moore II Defensive Rebound.,47,36
13:06,218,Josh Brown made Three Point Jumper. Assisted by Quinton Rose.,50,36
12:53,228,Clemson  Timeout,50,36
12:53,228,Official TV Timeout,50,36
12:45,228,Donte Grantham made Dunk. Assisted by Shelton Mitchell.,50,38
12:36,218,Obi Enechionyia missed Three Point Jumper.,50,38
12:36,228,Donte Grantham Defensive Rebound.,50,38
12:27,228,Marcquise Reed made Layup. Assisted by Donte Grantham.,50,40
12:02,218,Damion Moore missed Jumper.,50,40
12:02,228,Marcquise Reed Defensive Rebound.,50,40
11:49,228,Official TV Timeout,50,40
11:41,228,Shelton Mitchell missed Layup.,50,40
11:41,218,Obi Enechionyia Block.,50,40
11:41,218,Josh Brown Defensive Rebound.,50,40
11:35,218,Josh Brown Turnover.,50,40
11:35,228,Donte Grantham Steal.,50,40
11:25,218,Foul on Quinton Rose.,50,40
11:03,218,Foul on Alani Moore II.,50,40
11:03,228,Mark Donnal made Free Throw.,50,41
11:03,228,Mark Donnal made Free Throw.,50,42
11:03,228,Mark Donnal made Free Throw.,50,43
10:36,218,Quinton Rose missed Three Point Jumper.,50,43
10:36,228,Marcquise Reed Defensive Rebound.,50,43
10:24,228,Shelton Mitchell missed Jumper.,50,43
10:24,218,Quinton Rose Defensive Rebound.,50,43
10:18,218,Obi Enechionyia made Three Point Jumper. Assisted by Shizz Alston Jr..,53,43
9:48,228,Mark Donnal made Three Point Jumper. Assisted by Shelton Mitchell.,53,46
9:21,218,Quinton Rose Turnover.,53,46
9:21,228,Gabe DeVoe Steal.,53,46
9:15,228,Marcquise Reed missed Three Point Jumper.,53,46
9:15,218,Quinton Rose Defensive Rebound.,53,46
8:45,228,Foul on Mark Donnal.,53,46
8:45,218,Shizz Alston Jr. made Free Throw.,54,46
8:45,218,Shizz Alston Jr. made Free Throw.,55,46
8:19,228,Gabe DeVoe missed Three Point Jumper.,55,46
8:19,218,Temple Defensive Rebound.,55,46
8:06,218,Alani Moore II missed Jumper.,55,46
8:06,228,Aamir Simms Block.,55,46
8:06,228,Donte Grantham Defensive Rebound.,55,46
7:49,218,Foul on De'Vondre Perry.,55,46
7:49,228,Official TV Timeout,55,46
7:42,228,Foul on Elijah Thomas.,55,46
7:42,228,Elijah Thomas Turnover.,55,46
7:25,218,Quinton Rose made Jumper.,57,46
7:13,228,Shelton Mitchell missed Layup.,57,46
7:13,218,Ernest Aflakpui Block.,57,46
7:13,218,Quinton Rose Defensive Rebound.,57,46
7:05,218,De'Vondre Perry missed Three Point Jumper.,57,46
7:05,228,Elijah Thomas Defensive Rebound.,57,46
6:49,228,Aamir Simms missed Three Point Jumper.,57,46
6:49,218,Quinton Rose Defensive Rebound.,57,46
6:19,218,Quinton Rose missed Three Point Jumper.,57,46
6:19,228,Shelton Mitchell Defensive Rebound.,57,46
6:04,228,Foul on Marcquise Reed.,57,46
6:04,228,Marcquise Reed Turnover.,57,46
5:51,218,Obi Enechionyia missed Three Point Jumper.,57,46
5:51,228,Marcquise Reed Defensive Rebound.,57,46
5:40,228,Shelton Mitchell missed Jumper.,57,46
5:40,218,Alani Moore II Defensive Rebound.,57,46
5:33,218,Josh Brown missed Jumper.,57,46
5:33,228,Marcquise Reed Defensive Rebound.,57,46
5:24,228,Marcquise Reed made Layup.,57,48
4:54,218,Quinton Rose missed Three Point Jumper.,57,48
4:54,228,Elijah Thomas Defensive Rebound.,57,48
4:26,228,Donte Grantham missed Three Point Jumper.,57,48
4:26,218,Alani Moore II Defensive Rebound.,57,48
3:58,218,Alani Moore II missed Three Point Jumper.,57,48
3:58,228,Elijah Thomas Defensive Rebound.,57,48
3:42,228,Elijah Thomas missed Layup.,57,48
3:42,218,Josh Brown Defensive Rebound.,57,48
3:10,218,Josh Brown missed Layup.,57,48
3:10,228,Shelton Mitchell Defensive Rebound.,57,48
3:06,228,Donte Grantham made Layup. Assisted by Shelton Mitchell.,57,50
2:52,218,Temple  Timeout,57,50
2:52,228,Official TV Timeout,57,50
2:37,218,Shizz Alston Jr. made Three Point Jumper.,60,50
2:18,228,Gabe DeVoe missed Three Point Jumper.,60,50
2:18,228,Marcquise Reed Offensive Rebound.,60,50
2:08,228,Donte Grantham missed Jumper.,60,50
2:08,228,Donte Grantham Offensive Rebound.,60,50
2:01,228,Donte Grantham made Layup.,60,52
1:41,218,Alani Moore II missed Jumper.,60,52
1:41,228,Clemson Defensive Rebound.,60,52
1:35,228,Marcquise Reed made Layup.,60,54
1:03,218,Alani Moore II missed Three Point Jumper.,60,54
1:03,228,Shelton Mitchell Defensive Rebound.,60,54
0:53,228,Shelton Mitchell made Layup.,60,56
0:51,228,Clemson  Timeout,60,56
0:50,218,Josh Brown Turnover.,60,56
0:50,228,Marcquise Reed Steal.,60,56
0:49,228,Donte Grantham missed Three Point Jumper.,60,56
0:49,218,Quinton Rose Defensive Rebound.,60,56
0:44,228,Foul on Donte Grantham.,60,56
0:36,228,Foul on Donte Grantham.,60,56
0:36,218,Quinton Rose made Free Throw.,61,56
0:36,218,Quinton Rose made Free Throw.,62,56
0:31,218,Foul on Josh Brown.,62,56
0:25,218,Foul on Alani Moore II.,62,56
0:25,228,Marcquise Reed made Free Throw.,62,57
0:25,228,Marcquise Reed made Free Throw.,62,58
0:25,228,Marcquise Reed missed Free Throw.,62,58
0:25,218,Obi Enechionyia Defensive Rebound.,62,58
0:23,228,Foul on Gabe DeVoe.,62,58
0:23,218,Shizz Alston Jr. made Free Throw.,63,58
0:23,218,Shizz Alston Jr. made Free Throw.,64,58
0:21,228,Shelton Mitchell missed Three Point Jumper.,64,58
0:21,218,Quinton Rose Defensive Rebound.,64,58
0:17,228,Foul on Mark Donnal.,64,58
0:17,218,Quinton Rose missed Free Throw.,64,58
0:17,228,Donte Grantham Defensive Rebound.,64,58
0:12,228,Donte Grantham made Layup.,64,60
0:09,228,Foul on Gabe DeVoe.,64,60
0:09,218,Shizz Alston Jr. made Free Throw.,65,60
0:09,218,Shizz Alston Jr. made Free Throw.,66,60
0:09,218,Temple  Timeout,66,60
0:08,228,Donte Grantham Turnover.,66,60
0:04,228,Foul on Donte Grantham.,66,60
0:04,218,Alani Moore II missed Free Throw.,66,60
0:04,218,Temple Deadball Team Rebound.,66,60
0:04,218,Alani Moore II made Free Throw.,67,60
0:02,228,Marcquise Reed missed Three Point Jumper.,67,60
0:02,218,Shizz Alston Jr. Defensive Rebound.,67,60
0:00,228,End of Game,67,60
