South Alabama,2612,Saint Peter's,6
10:59,2612,Foul on Quinn Taylor.,8,11
10:59,2612,Official TV Timeout,8,11
10:59,6,Rodrick Sikes made Free Throw.,9,11
10:59,6,Rodrick Sikes made Free Throw.,10,11
10:59,6,Rodrick Sikes missed Free Throw.,10,11
10:59,2612,Nick Griffin Defensive Rebound.,10,11
10:32,2612,Nick Griffin missed Three Point Jumper.,10,11
10:32,6,Dederick Lee Defensive Rebound.,10,11
10:13,6,Nick Davis Turnover.,10,11
10:12,2612,Quinn Taylor Steal.,10,11
10:07,2612,Cameron Jones missed Three Point Jumper.,10,11
10:07,2612,Nick Griffin Offensive Rebound.,10,11
9:42,2612,Nick Griffin missed Three Point Jumper.,10,11
9:42,6,Kevin Morris Defensive Rebound.,10,11
9:33,2612,Foul on Cameron Jones.,10,11
9:33,6,Jordan Andrews made Free Throw.,11,11
9:33,6,Jordan Andrews made Free Throw.,12,11
9:33,6,Jordan Andrews made Free Throw.,13,11
9:14,2612,Jeremiah Livingston made Three Point Jumper. Assisted by Cameron Jones.,13,14
8:44,6,Josh Ajayi Turnover.,13,14
8:31,2612,Davauhnte Turner missed Three Point Jumper.,13,14
8:31,6,Josh Ajayi Defensive Rebound.,13,14
8:20,6,Rodrick Sikes missed Layup.,13,14
8:20,6,South Alabama Offensive Rebound.,13,14
8:16,6,Kevin Morris Turnover.,13,14
7:54,2612,Julian Powell Turnover.,13,14
7:40,6,Josh Ajayi Turnover.,13,14
7:39,2612,Jeremiah Livingston Steal.,13,14
7:35,2612,Jeremiah Livingston made Layup.,13,16
7:07,6,Herb McGee made Three Point Jumper. Assisted by Rozelle Nix.,16,16
6:49,2612,Jeremiah Livingston missed Three Point Jumper.,16,16
6:49,6,Herb McGee Defensive Rebound.,16,16
6:38,6,Rodrick Sikes missed Jumper.,16,16
6:38,2612,Julian Powell Defensive Rebound.,16,16
6:17,2612,Nnamdi Enechionyia missed Jumper.,16,16
6:17,6,Rodrick Sikes Defensive Rebound.,16,16
6:07,6,Josh Ajayi missed Layup.,16,16
6:07,2612,Julian Powell Defensive Rebound.,16,16
5:43,6,Foul on Jordan Andrews.,16,16
5:29,2612,Quinn Taylor missed Three Point Jumper.,16,16
5:29,2612,Nnamdi Enechionyia Offensive Rebound.,16,16
5:22,2612,Nnamdi Enechionyia Turnover.,16,16
4:54,6,Trhae Mitchell missed Jumper.,16,16
4:54,2612,Quinn Taylor Defensive Rebound.,16,16
4:42,2612,Sam Idowu missed Three Point Jumper.,16,16
4:42,6,Trhae Mitchell Defensive Rebound.,16,16
4:28,6,Jordan Andrews missed Three Point Jumper.,16,16
4:28,2612,Quinn Taylor Defensive Rebound.,16,16
4:15,2612,Foul on Quinn Taylor.,16,16
4:15,2612,Quinn Taylor Turnover.,16,16
4:02,2612,Foul on Nick Griffin.,16,16
4:02,6,Herb McGee missed Free Throw.,16,16
4:02,2612,Sam Idowu Defensive Rebound.,16,16
3:52,6,Foul on Rodrick Sikes.,16,16
3:52,2612,Official TV Timeout,16,16
3:29,2612,Sam Idowu missed Three Point Jumper.,16,16
3:29,6,South Alabama Defensive Rebound.,16,16
3:03,6,Josh Ajayi Turnover.,16,16
2:46,6,Foul on Josh Ajayi.,16,16
2:46,2612,Sam Idowu made Free Throw.,16,17
2:46,2612,Sam Idowu made Free Throw.,16,18
2:33,6,Trhae Mitchell made Jumper.,18,18
2:09,2612,Sam Idowu missed Layup.,18,18
2:09,6,Trhae Mitchell Defensive Rebound.,18,18
1:53,6,Josh Ajayi made Three Point Jumper. Assisted by Trhae Mitchell.,21,18
1:34,2612,Jeremiah Livingston Turnover.,21,18
1:33,6,Trhae Mitchell Steal.,21,18
1:30,6,Trhae Mitchell missed Layup.,21,18
1:30,6,Rodrick Sikes Offensive Rebound.,21,18
1:29,6,Rodrick Sikes made Layup.,23,18
1:28,2612,Saint Peter's  Timeout,23,18
1:17,2612,Nnamdi Enechionyia missed Three Point Jumper.,23,18
1:17,6,Dederick Lee Defensive Rebound.,23,18
0:57,6,Trhae Mitchell Turnover.,23,18
0:40,2612,Nnamdi Enechionyia made Three Point Jumper. Assisted by Elijah Gonzales.,23,21
0:23,2612,Foul on Sam Idowu.,23,21
0:23,6,Trhae Mitchell missed Free Throw.,23,21
0:23,6,South Alabama Deadball Team Rebound.,23,21
0:23,6,Trhae Mitchell made Free Throw.,24,21
0:07,2612,Foul on Davauhnte Turner.,24,21
0:07,2612,Davauhnte Turner Turnover.,24,21
0:07,6,South Alabama  Timeout,24,21
0:02,6,Rodrick Sikes missed Three Point Jumper.,24,21
0:02,2612,Saint Peter's Defensive Rebound.,24,21
0:00,2612,End of 1st half,24,21
19:49,6,Rozelle Nix made Layup.,26,21
19:27,2612,Nnamdi Enechionyia missed Three Point Jumper.,26,21
19:27,6,Herb McGee Defensive Rebound.,26,21
19:12,6,Josh Ajayi missed Three Point Jumper.,26,21
19:12,6,Rozelle Nix Offensive Rebound.,26,21
19:08,6,Rozelle Nix made Layup.,28,21
18:53,6,Foul on Rozelle Nix.,28,21
18:38,2612,Nnamdi Enechionyia made Three Point Jumper. Assisted by Davauhnte Turner.,28,24
18:13,6,Josh Ajayi Turnover.,28,24
17:52,2612,Nick Griffin missed Three Point Jumper.,28,24
17:52,6,Rozelle Nix Defensive Rebound.,28,24
17:39,6,Rozelle Nix missed Layup.,28,24
17:39,2612,Nick Griffin Defensive Rebound.,28,24
17:16,2612,Sam Idowu missed Layup.,28,24
17:16,6,Rozelle Nix Defensive Rebound.,28,24
16:56,6,Jordan Andrews made Jumper. Assisted by Herb McGee.,30,24
16:44,6,Foul on Herb McGee.,30,24
16:27,2612,Davauhnte Turner missed Layup.,30,24
16:27,6,Trhae Mitchell Block.,30,24
16:25,6,Trhae Mitchell Defensive Rebound.,30,24
16:08,6,Jordan Andrews Turnover.,30,24
15:46,6,Foul on Jordan Andrews.,30,24
15:46,2612,Official TV Timeout,30,24
15:46,2612,Quinn Taylor made Free Throw.,30,25
15:46,2612,Quinn Taylor missed Free Throw.,30,25
15:46,6,Trhae Mitchell Defensive Rebound.,30,25
15:15,6,South Alabama  Turnover.,30,25
14:50,2612,Cameron Jones missed Three Point Jumper.,30,25
14:50,6,Nick Davis Defensive Rebound.,30,25
14:38,6,Rodrick Sikes made Three Point Jumper. Assisted by Herb McGee.,33,25
14:37,2612,Foul on Nick Griffin.,33,25
14:37,6,Rodrick Sikes made Free Throw.,34,25
14:13,6,Foul on Nick Davis.,34,25
13:56,2612,Sam Idowu made Three Point Jumper. Assisted by Quinn Taylor.,34,28
13:38,6,Rodrick Sikes made Three Point Jumper. Assisted by Herb McGee.,37,28
13:21,6,Foul on Rodrick Sikes.,37,28
13:21,2612,Sam Idowu made Free Throw.,37,29
13:21,2612,Sam Idowu missed Free Throw.,37,29
13:21,2612,Quinn Taylor Offensive Rebound.,37,29
12:56,6,Foul on Nick Davis.,37,29
12:52,2612,Cameron Jones missed Three Point Jumper.,37,29
12:52,2612,Sam Idowu Offensive Rebound.,37,29
12:47,2612,Cameron Jones missed Jumper.,37,29
12:47,6,Kevin Morris Defensive Rebound.,37,29
12:21,6,Trhae Mitchell missed Layup.,37,29
12:21,2612,Davauhnte Turner Defensive Rebound.,37,29
12:15,2612,Foul on Jeremiah Livingston.,37,29
12:15,2612,Jeremiah Livingston Turnover.,37,29
12:05,6,Nick Davis made Layup. Assisted by Jordan Andrews.,39,29
12:04,2612,Foul on Nnamdi Enechionyia.,39,29
12:04,6,Nick Davis made Free Throw.,40,29
11:52,2612,Sam Idowu missed Three Point Jumper.,40,29
11:52,6,Nick Davis Defensive Rebound.,40,29
11:27,6,Rodrick Sikes missed Jumper.,40,29
11:27,2612,Davauhnte Turner Defensive Rebound.,40,29
11:01,2612,Nnamdi Enechionyia missed Three Point Jumper.,40,29
11:01,6,Rodrick Sikes Defensive Rebound.,40,29
10:51,6,Jordan Andrews missed Three Point Jumper.,40,29
10:51,2612,Davauhnte Turner Defensive Rebound.,40,29
10:47,6,Foul on Kevin Morris.,40,29
10:47,2612,Official TV Timeout,40,29
10:47,2612,Davauhnte Turner made Free Throw.,40,30
10:46,2612,Davauhnte Turner made Free Throw.,40,31
10:36,6,Dederick Lee Turnover.,40,31
10:32,2612,Sam Idowu Steal.,40,31
10:29,2612,Nick Griffin made Three Point Jumper. Assisted by Davauhnte Turner.,40,34
10:24,6,South Alabama  Timeout,40,34
10:13,6,Jordan Andrews missed Layup.,40,34
10:13,6,Kevin Morris Offensive Rebound.,40,34
10:11,6,Kevin Morris made Layup.,42,34
10:11,2612,Foul on Davauhnte Turner.,42,34
10:11,6,Kevin Morris made Free Throw.,43,34
9:59,6,Foul on Kevin Morris.,43,34
9:59,2612,Davauhnte Turner missed Free Throw.,43,34
9:59,6,Rodrick Sikes Defensive Rebound.,43,34
9:40,6,Foul on Kevin Morris.,43,34
9:40,6,Kevin Morris Turnover.,43,34
9:31,2612,Sam Idowu missed Three Point Jumper.,43,34
9:31,6,Dederick Lee Defensive Rebound.,43,34
9:09,6,Jordan Andrews missed Three Point Jumper.,43,34
9:09,2612,Davauhnte Turner Defensive Rebound.,43,34
8:57,2612,Nick Griffin missed Three Point Jumper.,43,34
8:57,2612,Davauhnte Turner Offensive Rebound.,43,34
8:48,2612,Sam Idowu missed Layup.,43,34
8:48,6,Josh Ajayi Defensive Rebound.,43,34
8:21,2612,Foul on Nick Griffin.,43,34
8:18,6,Rozelle Nix made Layup. Assisted by Jordan Andrews.,45,34
7:58,2612,Nick Griffin made Jumper.,45,36
7:41,6,Jordan Andrews made Jumper. Assisted by Dederick Lee.,47,36
7:28,2612,Cameron Jones missed Three Point Jumper.,47,36
7:28,6,Rodrick Sikes Defensive Rebound.,47,36
7:19,2612,Foul on Quinn Taylor.,47,36
7:19,2612,Official TV Timeout,47,36
7:19,6,Jordan Andrews made Free Throw.,48,36
7:19,6,Jordan Andrews missed Free Throw.,48,36
7:19,6,Josh Ajayi Offensive Rebound.,48,36
7:15,6,Jordan Andrews missed Layup.,48,36
7:15,6,Rozelle Nix Offensive Rebound.,48,36
6:53,6,Dederick Lee missed Layup.,48,36
6:53,2612,Julian Powell Block.,48,36
6:51,2612,Julian Powell Defensive Rebound.,48,36
6:51,2612,Julian Powell Turnover.,48,36
6:30,6,Jordan Andrews missed Three Point Jumper.,48,36
6:30,2612,Nick Griffin Defensive Rebound.,48,36
6:13,2612,Cameron Jones made Layup.,48,38
5:47,6,Jordan Andrews Turnover.,48,38
5:45,2612,Quinn Taylor Steal.,48,38
5:42,2612,Cameron Jones missed Three Point Jumper.,48,38
5:42,6,Jordan Andrews Defensive Rebound.,48,38
5:24,2612,Foul on Julian Powell.,48,38
5:24,6,Trhae Mitchell made Free Throw.,49,38
5:24,6,Trhae Mitchell made Free Throw.,50,38
5:09,2612,Davauhnte Turner missed Three Point Jumper.,50,38
5:09,6,Rozelle Nix Defensive Rebound.,50,38
4:42,6,Rodrick Sikes missed Three Point Jumper.,50,38
4:42,2612,Quinn Taylor Defensive Rebound.,50,38
4:39,6,Foul on Rodrick Sikes.,50,38
4:38,2612,Quinn Taylor made Free Throw.,50,39
4:38,2612,Quinn Taylor missed Free Throw.,50,39
4:38,6,Josh Ajayi Defensive Rebound.,50,39
4:20,6,Foul on Herb McGee.,50,39
4:20,6,Herb McGee Turnover.,50,39
4:03,6,Foul on Dederick Lee.,50,39
4:03,2612,Jeremiah Livingston missed Free Throw.,50,39
4:03,2612,Saint Peter's Deadball Team Rebound.,50,39
4:03,2612,Jeremiah Livingston made Free Throw.,50,40
3:50,6,Rozelle Nix missed Layup.,50,40
3:50,2612,Quinn Taylor Defensive Rebound.,50,40
3:44,2612,Nick Griffin made Three Point Jumper. Assisted by Quinn Taylor.,50,43
3:14,6,Rodrick Sikes missed Jumper.,50,43
3:14,2612,Nick Griffin Defensive Rebound.,50,43
2:50,2612,Nick Griffin missed Three Point Jumper.,50,43
2:50,6,Josh Ajayi Defensive Rebound.,50,43
2:22,6,Trhae Mitchell missed Layup.,50,43
2:22,2612,Sam Idowu Block.,50,43
2:20,2612,Sam Idowu Defensive Rebound.,50,43
2:15,2612,Sam Idowu missed Three Point Jumper.,50,43
2:15,6,Rodrick Sikes Defensive Rebound.,50,43
2:03,6,South Alabama  Timeout,50,43
2:03,2612,Official TV Timeout,50,43
1:43,6,Josh Ajayi made Jumper.,52,43
1:28,2612,Nick Griffin missed Layup.,52,43
1:28,6,Trhae Mitchell Defensive Rebound.,52,43
1:15,6,South Alabama  Timeout,52,43
1:05,6,South Alabama  Turnover.,52,43
0:55,2612,Cameron Jones Turnover.,52,43
0:54,6,Trhae Mitchell Steal.,52,43
0:43,6,Foul on Herb McGee.,52,43
0:43,6,Herb McGee Turnover.,52,43
0:40,2612,Cameron Jones missed Three Point Jumper.,52,43
0:40,2612,Nnamdi Enechionyia Offensive Rebound.,52,43
0:29,2612,Cameron Jones made Three Point Jumper. Assisted by Nick Griffin.,52,46
0:28,2612,Saint Peter's  Timeout,52,46
0:23,2612,Foul on Quinn Taylor.,52,46
0:23,6,Rodrick Sikes made Free Throw.,53,46
0:23,6,Rodrick Sikes made Free Throw.,54,46
0:15,2612,Nnamdi Enechionyia made Three Point Jumper. Assisted by Jeremiah Livingston.,54,49
0:15,2612,Saint Peter's  Timeout,54,49
0:09,2612,Foul on Nnamdi Enechionyia.,54,49
0:09,6,Dederick Lee missed Free Throw.,54,49
0:09,2612,Quinn Taylor Defensive Rebound.,54,49
0:02,2612,Nnamdi Enechionyia missed Three Point Jumper.,54,49
0:02,6,South Alabama Defensive Rebound.,54,49
0:00,2612,End of Game,54,49
