Elon,270,Milwaukee,2210
14:17,270,Bryce Barnes Defensive Rebound.,12,6
14:14,2210,Foul on Karolis Kundrotas.,12,6
14:02,270,Jeremiah Bell made Three Point Jumper. Assisted by Brock Stull.,12,9
13:51,2210,Dainan Swoope made Layup.,14,9
13:32,270,Jeremiah Bell made Three Point Jumper. Assisted by Brett Prahl.,14,12
13:22,2210,Karolis Kundrotas missed Layup.,14,12
13:22,270,Brett Prahl Block.,14,12
13:21,270,Bryce Barnes Defensive Rebound.,14,12
13:15,270,Brock Stull missed Layup.,14,12
13:15,270,Brock Stull Offensive Rebound.,14,12
13:11,270,Brock Stull made Layup.,14,14
13:11,2210,Foul on Dainan Swoope.,14,14
13:11,270,Brock Stull missed Free Throw.,14,14
13:11,2210,Tyler Seibring Defensive Rebound.,14,14
13:04,2210,Dainan Swoope missed Jumper.,14,14
13:04,270,Jeremiah Bell Defensive Rebound.,14,14
12:38,270,Brett Prahl Turnover.,14,14
12:38,2210,Brian Dawkins Steal.,14,14
12:27,270,Foul on Bryce Barnes.,14,14
12:25,2210,Tyler Seibring made Three Point Jumper. Assisted by Dmitri Thompson.,17,14
12:09,2210,Foul on Tyler Seibring.,17,14
12:09,2210,Foul on Sheldon Eberhardt.,17,14
11:53,270,Jeremy Johnson made Jumper.,17,16
11:32,2210,Sheldon Eberhardt Turnover.,17,16
11:32,270,Jeremiah Bell Steal.,17,16
11:32,270,Official TV Timeout,17,16
11:09,270,Jeremiah Bell missed Jumper.,17,16
11:09,2210,Seth Fuller Defensive Rebound.,17,16
10:40,2210,Brian Dawkins made Three Point Jumper. Assisted by Seth Fuller.,20,16
10:10,270,Jeremy Johnson missed Three Point Jumper.,20,16
10:10,2210,Elon Deadball Team Rebound.,20,16
10:08,270,Foul on Bryce Nze.,20,16
9:56,270,Foul on Jeremy Johnson.,20,16
9:52,2210,Dainan Swoope made Three Point Jumper. Assisted by Sheldon Eberhardt.,23,16
9:45,270,Jeremiah Bell missed Three Point Jumper.,23,16
9:45,270,Bryce Nze Offensive Rebound.,23,16
9:39,270,Jeremiah Bell missed Three Point Jumper.,23,16
9:39,270,Brett Prahl Offensive Rebound.,23,16
9:36,2210,Foul on Brian Dawkins.,23,16
9:26,270,August Haas missed Three Point Jumper.,23,16
9:26,2210,Karolis Kundrotas Defensive Rebound.,23,16
9:06,2210,Dmitri Thompson made Three Point Jumper.,26,16
8:47,270,Milwaukee  Timeout,26,16
8:39,270,Jeremiah Bell made Jumper. Assisted by Bryce Nze.,26,18
8:28,270,Foul on August Haas.,26,18
8:28,2210,Dainan Swoope made Free Throw.,27,18
8:28,2210,Dainan Swoope made Free Throw.,28,18
8:10,270,Jeremy Johnson missed Three Point Jumper.,28,18
8:10,270,Bryce Nze Offensive Rebound.,28,18
8:07,270,Bryce Nze made Layup.,28,20
7:58,2210,Simon Wright made Three Point Jumper. Assisted by Dainan Swoope.,31,20
7:33,270,Bryce Nze missed Layup.,31,20
7:33,2210,Sheldon Eberhardt Defensive Rebound.,31,20
7:22,2210,Dmitri Thompson made Jumper.,33,20
7:03,270,Brock Stull missed Three Point Jumper.,33,20
7:03,270,Brett Prahl Offensive Rebound.,33,20
6:54,270,Brett Prahl missed Layup.,33,20
6:54,270,Brett Prahl Offensive Rebound.,33,20
6:50,270,Brett Prahl Turnover.,33,20
6:49,2210,Simon Wright Steal.,33,20
6:37,2210,Simon Wright missed Layup.,33,20
6:37,270,Bryce Nze Block.,33,20
6:35,270,Brock Stull Defensive Rebound.,33,20
6:28,270,Bryce Nze made Layup. Assisted by Brett Prahl.,33,22
6:27,2210,Foul on Simon Wright.,33,22
6:27,270,Official TV Timeout,33,22
6:27,270,Bryce Nze missed Free Throw.,33,22
6:27,2210,Brian Dawkins Defensive Rebound.,33,22
6:01,2210,Dainan Swoope made Three Point Jumper. Assisted by Brian Dawkins.,36,22
5:38,270,Vance Johnson missed Jumper.,36,22
5:38,2210,Elon Defensive Rebound.,36,22
5:19,270,Foul on Jeremy Johnson.,36,22
5:19,2210,Brian Dawkins made Free Throw.,37,22
5:19,2210,Brian Dawkins made Free Throw.,38,22
5:03,270,August Haas missed Three Point Jumper.,38,22
5:03,270,Bryce Nze Offensive Rebound.,38,22
4:52,270,August Haas made Jumper.,38,24
4:20,2210,Brian Dawkins made Jumper. Assisted by Sheldon Eberhardt.,40,24
4:01,270,Vance Johnson missed Three Point Jumper.,40,24
4:01,2210,Steven Santa Ana Defensive Rebound.,40,24
3:49,2210,Dainan Swoope made Layup.,42,24
3:19,270,Brock Stull made Jumper.,42,26
2:57,2210,Steven Santa Ana made Layup.,44,26
2:43,2210,Foul on Dainan Swoope.,44,26
2:43,270,Official TV Timeout,44,26
2:43,270,Bryce Nze missed Free Throw.,44,26
2:43,2210,Brian Dawkins Defensive Rebound.,44,26
2:33,2210,Dmitri Thompson missed Jumper.,44,26
2:33,270,Bryce Nze Defensive Rebound.,44,26
2:17,270,Brett Prahl Turnover.,44,26
2:13,2210,Dmitri Thompson Steal.,44,26
1:53,2210,Brian Dawkins missed Layup.,44,26
1:53,270,Bryce Nze Defensive Rebound.,44,26
1:31,2210,Foul on Brian Dawkins.,44,26
1:31,270,Brock Stull made Free Throw.,44,27
1:31,270,Brock Stull missed Free Throw.,44,27
1:31,2210,Dmitri Thompson Defensive Rebound.,44,27
1:17,2210,Steven Santa Ana missed Three Point Jumper.,44,27
1:17,2210,Elon Offensive Rebound.,44,27
1:10,2210,Sheldon Eberhardt missed Layup.,44,27
1:10,270,Jeremiah Bell Defensive Rebound.,44,27
1:01,270,Brock Stull Turnover.,44,27
0:37,2210,Sheldon Eberhardt made Layup. Assisted by Steven Santa Ana.,46,27
0:08,270,Jeremiah Bell missed Jumper.,46,27
0:08,270,Brett Prahl Offensive Rebound.,46,27
0:04,270,Brett Prahl missed Layup.,46,27
0:04,270,Bryce Nze Offensive Rebound.,46,27
0:00,270,Bryce Nze made Layup.,46,29
0:00,270,End of 1st half,46,29
19:50,270,Foul on Brock Stull.,46,29
19:50,2210,Dmitri Thompson missed Free Throw.,46,29
19:50,2210,Elon Deadball Team Rebound.,46,29
19:50,2210,Dmitri Thompson missed Free Throw.,46,29
19:50,270,Brett Prahl Defensive Rebound.,46,29
19:33,270,Brock Stull missed Jumper.,46,29
19:33,2210,Tyler Seibring Defensive Rebound.,46,29
19:10,2210,Tyler Seibring Turnover.,46,29
19:00,270,Brock Stull made Three Point Jumper.,46,32
18:36,2210,Tyler Seibring made Jumper. Assisted by Seth Fuller.,48,32
18:20,270,Jeremy Johnson made Three Point Jumper. Assisted by August Haas.,48,35
18:04,2210,Brian Dawkins missed Three Point Jumper.,48,35
18:04,270,Bryce Nze Defensive Rebound.,48,35
17:30,270,Jeremy Johnson missed Three Point Jumper.,48,35
17:30,2210,Steven Santa Ana Block.,48,35
17:25,2210,Brian Dawkins Defensive Rebound.,48,35
17:17,2210,Dainan Swoope missed Jumper.,48,35
17:17,270,August Haas Defensive Rebound.,48,35
17:04,270,Jeremy Johnson missed Jumper.,48,35
17:04,2210,Tyler Seibring Defensive Rebound.,48,35
16:39,270,Foul on Brock Stull.,48,35
16:36,2210,Tyler Seibring missed Jumper.,48,35
16:36,270,Bryce Nze Defensive Rebound.,48,35
16:28,270,August Haas missed Three Point Jumper.,48,35
16:28,2210,Steven Santa Ana Defensive Rebound.,48,35
16:13,270,Foul on Brett Prahl.,48,35
16:07,2210,Tyler Seibring made Layup. Assisted by Dainan Swoope.,50,35
15:46,270,Brock Stull made Jumper.,50,37
15:33,2210,Dainan Swoope missed Layup.,50,37
15:33,270,Brett Prahl Block.,50,37
15:31,2210,Dainan Swoope Offensive Rebound.,50,37
15:27,2210,Dmitri Thompson missed Three Point Jumper.,50,37
15:27,270,Brock Stull Defensive Rebound.,50,37
15:27,2210,Foul on Dainan Swoope.,50,37
15:27,2210,Dainan Swoope Turnover.,50,37
15:12,2210,Foul on Dmitri Thompson.,50,37
15:05,270,Jeremy Johnson missed Three Point Jumper.,50,37
15:05,270,Bryce Nze Offensive Rebound.,50,37
15:00,270,Bryce Nze missed Layup.,50,37
15:00,2210,Dmitri Thompson Defensive Rebound.,50,37
14:45,270,Foul on Jeremy Johnson.,50,37
14:45,2210,Steven Santa Ana missed Free Throw.,50,37
14:45,2210,Elon Deadball Team Rebound.,50,37
14:45,2210,Steven Santa Ana made Free Throw.,51,37
14:34,270,Brock Stull made Three Point Jumper.,51,40
14:08,2210,Seth Fuller missed Layup.,51,40
14:08,270,Jeremiah Bell Defensive Rebound.,51,40
13:57,270,Brock Stull missed Three Point Jumper.,51,40
13:57,270,Milwaukee Offensive Rebound.,51,40
13:47,2210,Foul on Karolis Kundrotas.,51,40
13:31,270,Jeremiah Bell missed Jumper.,51,40
13:31,270,Brett Prahl Offensive Rebound.,51,40
13:10,2210,Foul on Tyler Seibring.,51,40
13:03,270,Bryce Barnes made Three Point Jumper. Assisted by Brock Stull.,51,43
12:44,2210,Simon Wright made Three Point Jumper. Assisted by Sheldon Eberhardt.,54,43
12:26,270,Bryce Barnes missed Three Point Jumper.,54,43
12:26,2210,Simon Wright Defensive Rebound.,54,43
12:21,2210,Simon Wright Turnover.,54,43
12:20,270,Jeremiah Bell Steal.,54,43
12:20,2210,Foul on Seth Fuller.,54,43
12:20,270,Jeremiah Bell made Free Throw.,54,44
12:20,270,Jeremiah Bell made Free Throw.,54,45
12:04,2210,Simon Wright missed Jumper.,54,45
12:04,270,August Haas Defensive Rebound.,54,45
11:53,270,Brock Stull made Three Point Jumper.,54,48
11:48,2210,Elon  Timeout,54,48
11:48,270,Official TV Timeout,54,48
11:24,2210,Dainan Swoope made Three Point Jumper. Assisted by Sheldon Eberhardt.,57,48
11:06,270,Bryce Barnes missed Layup.,57,48
11:06,2210,Sheldon Eberhardt Defensive Rebound.,57,48
10:57,2210,Sheldon Eberhardt Turnover.,57,48
10:56,270,Bryce Barnes Steal.,57,48
10:54,270,August Haas made Layup. Assisted by Bryce Nze.,57,50
10:41,270,Foul on August Haas.,57,50
10:41,270,Foul on Jeremiah Bell.,57,50
10:41,270,Official TV Timeout,57,50
10:41,2210,Dainan Swoope made Free Throw.,58,50
10:41,2210,Dainan Swoope made Free Throw.,59,50
10:41,270,Technical Foul on Jeremiah Bell.,57,50
10:37,2210,Brian Dawkins made Layup.,61,50
10:14,270,Bryce Barnes missed Three Point Jumper.,61,50
10:14,270,Bryce Barnes Offensive Rebound.,61,50
10:08,270,Bryce Barnes missed Layup.,61,50
10:08,270,Bryce Nze Offensive Rebound.,61,50
10:00,2210,Foul on Brian Dawkins.,61,50
9:46,2210,Foul on Brian Dawkins.,61,50
9:46,270,Bryce Nze missed Free Throw.,61,50
9:46,2210,Karolis Kundrotas Defensive Rebound.,61,50
9:44,270,Foul on Brock Stull.,61,50
9:44,2210,Karolis Kundrotas missed Free Throw.,61,50
9:44,270,Jeremy Johnson Defensive Rebound.,61,50
9:25,270,Brock Stull made Three Point Jumper. Assisted by Bryce Nze.,61,53
9:10,2210,Karolis Kundrotas missed Layup.,61,53
9:10,270,Bryce Nze Defensive Rebound.,61,53
8:50,270,Brock Stull missed Three Point Jumper.,61,53
8:50,2210,Sheldon Eberhardt Defensive Rebound.,61,53
8:36,2210,Dainan Swoope made Three Point Jumper.,64,53
8:13,270,Bryce Nze made Layup. Assisted by Brock Stull.,64,55
7:55,2210,Sheldon Eberhardt missed Three Point Jumper.,64,55
7:55,270,August Haas Defensive Rebound.,64,55
7:47,270,Jeremy Johnson missed Three Point Jumper.,64,55
7:47,2210,Elon Defensive Rebound.,64,55
7:45,270,Official TV Timeout,64,55
7:31,270,Foul on Bryce Barnes.,64,55
7:31,2210,Karolis Kundrotas made Free Throw.,65,55
7:31,2210,Karolis Kundrotas missed Free Throw.,65,55
7:31,270,Brock Stull Defensive Rebound.,65,55
7:14,270,Brock Stull made Jumper.,65,57
6:53,2210,Karolis Kundrotas made Jumper.,67,57
6:39,270,Bryce Barnes made Three Point Jumper. Assisted by Brock Stull.,67,60
6:23,2210,Steven Santa Ana made Layup. Assisted by Sheldon Eberhardt.,69,60
6:01,2210,Foul on Dainan Swoope.,69,60
6:01,270,August Haas made Free Throw.,69,61
6:01,270,August Haas made Free Throw.,69,62
6:01,270,Milwaukee  Timeout,69,62
5:52,270,Foul on Bryce Barnes.,69,62
5:52,2210,Sheldon Eberhardt made Free Throw.,70,62
5:52,2210,Sheldon Eberhardt missed Free Throw.,70,62
5:52,270,Jeremy Johnson Defensive Rebound.,70,62
5:26,270,Brock Stull missed Jumper.,70,62
5:26,2210,Dmitri Thompson Defensive Rebound.,70,62
5:08,2210,Dmitri Thompson Turnover.,70,62
4:52,270,August Haas made Jumper.,70,64
4:28,2210,Sheldon Eberhardt Turnover.,70,64
4:26,270,Jeremiah Bell Steal.,70,64
4:23,270,Brock Stull missed Three Point Jumper.,70,64
4:23,2210,Sheldon Eberhardt Defensive Rebound.,70,64
3:56,2210,Karolis Kundrotas Turnover.,70,64
3:55,270,Bryce Nze Steal.,70,64
3:51,270,Bryce Nze made Dunk.,70,66
3:42,2210,Elon  Timeout,70,66
3:42,270,Official TV Timeout,70,66
3:38,2210,Tyler Seibring missed Layup.,70,66
3:38,270,Brock Stull Defensive Rebound.,70,66
3:21,270,Jeremiah Bell missed Three Point Jumper.,70,66
3:21,2210,Steven Santa Ana Defensive Rebound.,70,66
2:59,270,Foul on Jeremy Johnson.,70,66
2:59,2210,Steven Santa Ana made Free Throw.,71,66
2:59,2210,Steven Santa Ana missed Free Throw.,71,66
2:59,270,Jeremiah Bell Defensive Rebound.,71,66
2:38,270,Brock Stull missed Jumper.,71,66
2:38,2210,Tyler Seibring Block.,71,66
2:36,2210,Dmitri Thompson Defensive Rebound.,71,66
2:18,2210,Dainan Swoope missed Layup.,71,66
2:18,2210,Steven Santa Ana Offensive Rebound.,71,66
1:55,2210,Tyler Seibring missed Three Point Jumper.,71,66
1:55,270,Jeremy Johnson Defensive Rebound.,71,66
1:46,270,Milwaukee  Timeout,71,66
1:25,270,Bryce Nze Turnover.,71,66
1:07,2210,Dainan Swoope missed Layup.,71,66
1:07,270,August Haas Defensive Rebound.,71,66
0:56,270,August Haas made Three Point Jumper. Assisted by Brock Stull.,71,69
0:24,2210,Elon  Turnover.,71,69
0:24,270,Milwaukee  Timeout,71,69
0:12,2210,Foul on Steven Santa Ana.,71,69
0:12,270,Bryce Barnes missed Free Throw.,71,69
0:12,270,Milwaukee Deadball Team Rebound.,71,69
0:12,270,Bryce Barnes made Free Throw.,71,70
0:08,2210,Steven Santa Ana Turnover.,71,70
0:04,270,Jeremiah Bell missed Jumper.,71,70
0:04,270,Jeremy Johnson Offensive Rebound.,71,70
0:01,270,Jeremy Johnson made Jumper.,71,72
0:00,270,End of Game,71,72
