Coppin State,164,Rutgers,2154
14:35,164,Geo Baker made Jumper. Assisted by Corey Sanders.,2,7
14:10,2154,Dejuan Clayton made Three Point Jumper. Assisted by Keandre Fair.,5,7
13:55,164,Candido Sa missed Jumper.,5,7
13:55,2154,Tre' Thomas Defensive Rebound.,5,7
13:46,2154,Tre' Thomas missed Jumper.,5,7
13:46,164,Issa Thiam Defensive Rebound.,5,7
13:46,2154,Foul on Chad Andrews-Fulton.,5,7
13:40,164,Foul on Eugene Omoruyi.,5,7
13:40,164,Eugene Omoruyi Turnover.,5,7
13:27,2154,Karonn Davis missed Jumper.,5,7
13:27,164,Candido Sa Defensive Rebound.,5,7
13:20,164,Corey Sanders Turnover.,5,7
13:20,2154,Keandre Fair Steal.,5,7
13:20,164,Foul on Geo Baker.,5,7
12:52,2154,Tre' Thomas made Three Point Jumper. Assisted by Karonn Davis.,8,7
12:26,164,Mike Williams missed Jumper.,8,7
12:26,2154,Coppin State Defensive Rebound.,8,7
11:59,2154,Karonn Davis made Three Point Jumper. Assisted by Keandre Fair.,11,7
11:54,2154,Foul on Karonn Davis.,11,7
11:53,164,Official TV Timeout,11,7
11:44,164,Eugene Omoruyi made Layup.,11,9
11:44,2154,Foul on Taqwain Drummond.,11,9
11:44,164,Eugene Omoruyi missed Free Throw.,11,9
11:44,2154,Dejuan Clayton Defensive Rebound.,11,9
11:32,2154,Adam Traore missed Three Point Jumper.,11,9
11:32,164,Corey Sanders Defensive Rebound.,11,9
11:18,164,Eugene Omoruyi missed Layup.,11,9
11:18,164,Mike Williams Offensive Rebound.,11,9
11:16,164,Mike Williams missed Layup.,11,9
11:16,2154,Cedric Council Jr. Block.,11,9
11:15,164,Mamadou Doucoure Offensive Rebound.,11,9
11:14,2154,Foul on Cedric Council Jr..,11,9
11:14,164,Mamadou Doucoure missed Free Throw.,11,9
11:14,164,Rutgers Deadball Team Rebound.,11,9
11:14,164,Mamadou Doucoure made Free Throw.,11,10
11:02,2154,Tre' Thomas Turnover.,11,10
10:47,164,Corey Sanders missed Layup.,11,10
10:47,2154,Adam Traore Defensive Rebound.,11,10
10:27,2154,Tre' Thomas Turnover.,11,10
10:17,164,Geo Baker Turnover.,11,10
9:57,164,Deshawn Freeman Defensive Rebound.,11,10
9:57,2154,Adam Traore missed Layup.,11,10
9:49,164,Issa Thiam missed Three Point Jumper.,11,10
9:49,2154,Karonn Davis Defensive Rebound.,11,10
9:32,2154,Karonn Davis missed Jumper.,11,10
9:32,164,Mike Williams Block.,11,10
9:31,2154,Adam Traore Offensive Rebound.,11,10
9:20,2154,Foul on Adam Traore.,11,10
9:20,2154,Adam Traore Turnover.,11,10
9:20,2154,Technical Foul on Coppin State.,11,10
9:20,164,Geo Baker missed Free Throw.,11,10
9:20,164,Rutgers Deadball Team Rebound.,11,10
8:55,164,Eugene Omoruyi made Layup.,11,12
8:36,2154,Dejuan Clayton Turnover.,11,12
8:35,164,Issa Thiam Steal.,11,12
8:32,164,Deshawn Freeman made Dunk. Assisted by Geo Baker.,11,14
8:31,2154,Coppin State  Timeout,11,14
8:07,2154,Lamar Morgan missed Three Point Jumper.,11,14
8:07,164,Corey Sanders Defensive Rebound.,11,14
7:59,164,Mike Williams missed Three Point Jumper.,11,14
7:59,164,Eugene Omoruyi Offensive Rebound.,11,14
7:51,164,Corey Sanders missed Layup.,11,14
7:51,2154,Chad Andrews-Fulton Defensive Rebound.,11,14
7:47,164,Official TV Timeout,11,14
7:34,2154,Karonn Davis missed Jumper.,11,14
7:34,164,Deshawn Freeman Defensive Rebound.,11,14
7:23,164,Geo Baker made Three Point Jumper. Assisted by Deshawn Freeman.,11,17
7:08,2154,Chad Andrews-Fulton made Jumper.,13,17
6:58,164,Corey Sanders made Jumper.,13,19
6:24,2154,Dejuan Clayton missed Jumper.,13,19
6:24,164,Mike Williams Defensive Rebound.,13,19
6:17,164,Eugene Omoruyi made Layup.,13,21
6:17,2154,Foul on Chad Andrews-Fulton.,13,21
6:16,164,Eugene Omoruyi missed Free Throw.,13,21
6:16,164,Deshawn Freeman Offensive Rebound.,13,21
6:13,164,Deshawn Freeman made Dunk.,13,23
5:42,2154,Cedric Council Jr. missed Jumper.,13,23
5:42,164,Mamadou Doucoure Defensive Rebound.,13,23
5:29,2154,Foul on Cedric Council Jr..,13,23
5:29,164,Mamadou Doucoure missed Free Throw.,13,23
5:29,164,Rutgers Deadball Team Rebound.,13,23
5:29,164,Mamadou Doucoure made Free Throw.,13,24
5:10,2154,Dejuan Clayton missed Jumper.,13,24
5:10,164,Issa Thiam Defensive Rebound.,13,24
4:53,164,Deshawn Freeman missed Jumper.,13,24
4:53,164,Mamadou Doucoure Offensive Rebound.,13,24
4:40,164,Corey Sanders missed Three Point Jumper.,13,24
4:40,2154,Coppin State Defensive Rebound.,13,24
4:40,164,Foul on Mamadou Doucoure.,13,24
4:22,2154,Keandre Fair missed Three Point Jumper.,13,24
4:22,2154,Adam Traore Offensive Rebound.,13,24
4:22,2154,Taqwain Drummond missed Three Point Jumper.,13,24
4:22,164,Deshawn Freeman Defensive Rebound.,13,24
4:17,2154,Foul on Taqwain Drummond.,13,24
4:17,164,Corey Sanders made Free Throw.,13,25
4:17,164,Corey Sanders made Free Throw.,13,26
4:03,2154,Coppin State  Turnover.,13,26
3:48,164,Official TV Timeout,13,26
3:47,164,Eugene Omoruyi missed Layup.,13,26
3:47,2154,Coppin State Defensive Rebound.,13,26
3:36,2154,Joel Boyce made Layup.,15,26
3:22,164,Geo Baker Turnover.,15,26
3:21,2154,Joel Boyce Steal.,15,26
3:19,2154,Joel Boyce made Layup.,17,26
2:59,164,Issa Thiam missed Jumper.,17,26
2:59,2154,Lamar Morgan Block.,17,26
2:58,2154,Adam Traore Defensive Rebound.,17,26
2:37,2154,Foul on Adam Traore.,17,26
2:37,2154,Adam Traore Turnover.,17,26
2:36,164,Geo Baker missed Three Point Jumper.,17,26
2:36,2154,Lamar Morgan Defensive Rebound.,17,26
2:14,164,Foul on Mike Williams.,17,26
2:04,2154,Chad Andrews-Fulton missed Jumper.,17,26
2:04,164,Issa Thiam Defensive Rebound.,17,26
1:54,164,Corey Sanders missed Layup.,17,26
1:54,2154,Lamar Morgan Defensive Rebound.,17,26
1:47,2154,Karonn Davis made Layup.,19,26
1:23,164,Eugene Omoruyi missed Layup.,19,26
1:23,2154,Lamar Morgan Defensive Rebound.,19,26
1:08,2154,Karonn Davis made Three Point Jumper.,22,26
1:08,164,Rutgers  Timeout,22,26
0:40,164,Issa Thiam missed Layup.,22,26
0:40,164,Eugene Omoruyi Offensive Rebound.,22,26
0:38,164,Eugene Omoruyi made Two Point Tip Shot.,22,28
0:16,2154,Dejuan Clayton missed Jumper.,22,28
0:16,164,Deshawn Freeman Defensive Rebound.,22,28
0:01,164,Corey Sanders missed Three Point Jumper.,22,28
0:00,164,Eugene Omoruyi Offensive Rebound.,22,28
0:00,164,End of 1st half,22,28
19:47,164,Corey Sanders made Layup. Assisted by Mamadou Doucoure.,22,30
19:26,2154,Joel Boyce Turnover.,22,30
19:25,164,Deshawn Freeman Steal.,22,30
19:15,164,Issa Thiam made Three Point Jumper. Assisted by Corey Sanders.,22,33
18:59,2154,Dejuan Clayton missed Three Point Jumper.,22,33
18:59,164,Mamadou Doucoure Defensive Rebound.,22,33
18:46,164,Corey Sanders missed Jumper.,22,33
18:46,2154,Lamar Morgan Defensive Rebound.,22,33
18:46,164,Foul on Mamadou Doucoure.,22,33
18:31,2154,Cedric Council Jr. missed Three Point Jumper.,22,33
18:31,164,Geo Baker Defensive Rebound.,22,33
18:17,164,Mamadou Doucoure Turnover.,22,33
18:15,2154,Lamar Morgan Steal.,22,33
18:07,2154,Lamar Morgan made Three Point Jumper. Assisted by Karonn Davis.,25,33
17:49,164,Deshawn Freeman missed Three Point Jumper.,25,33
17:49,2154,Cedric Council Jr. Defensive Rebound.,25,33
17:29,2154,Cedric Council Jr. missed Jumper.,25,33
17:29,164,Mamadou Doucoure Defensive Rebound.,25,33
17:10,2154,Foul on Lamar Morgan.,25,33
16:49,164,Mike Williams missed Three Point Jumper.,25,33
16:49,2154,Dejuan Clayton Defensive Rebound.,25,33
16:40,2154,Lamar Morgan missed Three Point Jumper.,25,33
16:40,164,Mike Williams Block.,25,33
16:39,164,Issa Thiam Defensive Rebound.,25,33
16:33,2154,Foul on Cedric Council Jr..,25,33
16:27,164,Issa Thiam missed Three Point Jumper.,25,33
16:27,2154,Lamar Morgan Defensive Rebound.,25,33
16:21,2154,Foul on Chad Andrews-Fulton.,25,33
15:51,164,Eugene Omoruyi missed Jumper.,25,33
15:51,164,Eugene Omoruyi Offensive Rebound.,25,33
15:50,164,Eugene Omoruyi made Layup.,25,35
15:26,2154,Tre' Thomas missed Three Point Jumper.,25,35
15:26,164,Souf Mensah Defensive Rebound.,25,35
15:18,164,Souf Mensah missed Jumper.,25,35
15:18,164,Souf Mensah Offensive Rebound.,25,35
15:07,164,Mike Williams made Jumper. Assisted by Eugene Omoruyi.,25,37
14:39,2154,Dejuan Clayton missed Jumper.,25,37
14:39,164,Candido Sa Defensive Rebound.,25,37
14:26,2154,Foul on Joel Boyce.,25,37
14:26,164,Official TV Timeout,25,37
14:26,164,Eugene Omoruyi missed Free Throw.,25,37
14:26,164,Rutgers Deadball Team Rebound.,25,37
14:26,164,Eugene Omoruyi missed Free Throw.,25,37
14:26,164,Mike Williams Offensive Rebound.,25,37
14:12,164,Eugene Omoruyi made Layup. Assisted by Souf Mensah.,25,39
13:50,164,Foul on Souf Mensah.,25,39
13:29,2154,Coppin State  Turnover.,25,39
13:17,164,Eugene Omoruyi Turnover.,25,39
13:06,2154,Foul on Karonn Davis.,25,39
13:06,2154,Karonn Davis Turnover.,25,39
12:51,2154,Foul on Adam Traore.,25,39
12:48,164,Geo Baker made Jumper. Assisted by Eugene Omoruyi.,25,41
12:26,2154,Lamar Morgan missed Three Point Jumper.,25,41
12:26,2154,Chad Andrews-Fulton Offensive Rebound.,25,41
12:26,164,Foul on Candido Sa.,25,41
12:24,2154,Tre' Thomas made Jumper. Assisted by Dejuan Clayton.,27,41
12:00,164,Deshawn Freeman missed Jumper.,27,41
12:00,164,Corey Sanders Offensive Rebound.,27,41
12:00,164,Geo Baker missed Three Point Jumper.,27,41
12:00,2154,Lamar Morgan Defensive Rebound.,27,41
11:43,2154,Tre' Thomas made Jumper.,29,41
11:24,164,Mike Williams missed Three Point Jumper.,29,41
11:24,2154,Lamar Morgan Defensive Rebound.,29,41
11:11,2154,Lamar Morgan made Layup.,31,41
11:08,164,Rutgers  Timeout,31,41
11:08,164,Official TV Timeout,31,41
10:42,164,Corey Sanders made Dunk.,31,43
10:22,2154,Tre' Thomas made Jumper.,33,43
10:22,164,Foul on Mamadou Doucoure.,33,43
10:22,164,Official TV Timeout,33,43
10:22,2154,Tre' Thomas made Free Throw.,34,43
10:07,164,Deshawn Freeman made Jumper.,34,45
9:46,2154,Foul on Cedric Council Jr..,34,45
9:46,2154,Cedric Council Jr. Turnover.,34,45
9:32,164,Geo Baker made Jumper.,34,47
9:10,2154,Keandre Fair missed Three Point Jumper.,34,47
9:10,164,Corey Sanders Defensive Rebound.,34,47
9:05,164,Corey Sanders made Layup.,34,49
9:05,164,Corey Sanders made Free Throw.,34,50
9:05,2154,Foul on Karonn Davis.,34,49
8:35,2154,Chad Andrews-Fulton missed Jumper.,34,50
8:35,164,Issa Thiam Defensive Rebound.,34,50
8:34,2154,Foul on Chad Andrews-Fulton.,34,50
8:34,164,Issa Thiam made Free Throw.,34,51
8:34,164,Issa Thiam missed Free Throw.,34,51
8:34,2154,Joel Boyce Defensive Rebound.,34,51
8:09,2154,Adam Traore missed Layup.,34,51
8:09,164,Deshawn Freeman Block.,34,51
8:08,164,Geo Baker Defensive Rebound.,34,51
7:52,164,Issa Thiam made Layup. Assisted by Eugene Omoruyi.,34,53
7:40,2154,Dejuan Clayton missed Jumper.,34,53
7:40,164,Geo Baker Defensive Rebound.,34,53
7:34,164,Corey Sanders made Layup. Assisted by Geo Baker.,34,55
7:15,2154,Adam Traore missed Layup.,34,55
7:15,164,Eugene Omoruyi Block.,34,55
7:14,164,Geo Baker Defensive Rebound.,34,55
7:13,164,Official TV Timeout,34,55
7:12,164,Corey Sanders missed Layup.,34,55
7:12,2154,Karonn Davis Block.,34,55
7:11,2154,Adam Traore Defensive Rebound.,34,55
6:29,2154,Dejuan Clayton missed Three Point Jumper.,34,55
6:29,164,Deshawn Freeman Defensive Rebound.,34,55
6:21,2154,Foul on Joel Boyce.,34,55
6:21,164,Eugene Omoruyi missed Free Throw.,34,55
6:21,164,Rutgers Deadball Team Rebound.,34,55
6:21,164,Eugene Omoruyi made Free Throw.,34,56
5:58,2154,Dejuan Clayton made Three Point Jumper. Assisted by Karonn Davis.,37,56
5:52,164,Foul on Corey Sanders.,37,56
5:52,164,Corey Sanders Turnover.,37,56
5:29,2154,Adam Traore Turnover.,37,56
5:17,164,Geo Baker missed Jumper.,37,56
5:17,164,Eugene Omoruyi Offensive Rebound.,37,56
5:14,164,Eugene Omoruyi made Jumper.,37,58
4:54,2154,Tre' Thomas Turnover.,37,58
4:32,2154,Foul on Lamar Morgan.,37,58
4:32,164,Deshawn Freeman made Free Throw.,37,59
4:32,164,Deshawn Freeman made Free Throw.,37,60
4:22,2154,Lamar Morgan missed Three Point Jumper.,37,60
4:22,164,Eugene Omoruyi Defensive Rebound.,37,60
4:01,164,Mike Williams missed Three Point Jumper.,37,60
4:01,164,Rutgers Offensive Rebound.,37,60
4:01,2154,Foul on Adam Traore.,37,60
4:01,164,Eugene Omoruyi missed Free Throw.,37,60
4:01,164,Rutgers Deadball Team Rebound.,37,60
4:01,164,Eugene Omoruyi made Free Throw.,37,61
3:50,2154,Joel Boyce made Layup.,39,61
3:29,164,Mike Williams missed Three Point Jumper.,39,61
3:29,2154,Karonn Davis Defensive Rebound.,39,61
3:12,164,Foul on Eugene Omoruyi.,39,61
3:12,164,Official TV Timeout,39,61
2:54,2154,Tre' Thomas missed Jumper.,39,61
2:54,164,Corey Sanders Defensive Rebound.,39,61
2:28,164,Corey Sanders missed Jumper.,39,61
2:28,164,Eugene Omoruyi Offensive Rebound.,39,61
2:28,2154,Foul on Tre' Thomas.,39,61
2:28,164,Eugene Omoruyi made Free Throw.,39,62
2:28,164,Eugene Omoruyi missed Free Throw.,39,62
2:28,2154,Lamar Morgan Defensive Rebound.,39,62
2:03,2154,Keandre Fair missed Three Point Jumper.,39,62
2:03,164,Eugene Omoruyi Defensive Rebound.,39,62
1:51,2154,Foul on Taqwain Drummond.,39,62
1:51,164,Eugene Omoruyi made Free Throw.,39,63
1:51,164,Eugene Omoruyi made Free Throw.,39,64
1:37,2154,Lucian Brownlee Turnover.,39,64
1:19,164,Jake Dadika missed Jumper.,39,64
1:19,164,Candido Sa Offensive Rebound.,39,64
1:07,164,Souf Mensah Turnover.,39,64
0:53,2154,Taqwain Drummond missed Layup.,39,64
0:53,164,Jake Dadika Defensive Rebound.,39,64
0:36,164,Souf Mensah missed Jumper.,39,64
0:36,2154,Lamar Morgan Defensive Rebound.,39,64
0:32,2154,Joel Boyce Turnover.,39,64
0:07,164,Joey Downes missed Three Point Jumper.,39,64
0:07,164,Aaren Smith Offensive Rebound.,39,64
0:04,164,Aaren Smith missed Jumper.,39,64
0:04,2154,Joel Boyce Defensive Rebound.,39,64
0:00,164,End of Game,39,64
