Eastern University,Error,Lehigh,2329
4:57,2196,Darius Washington missed Three Point Jumper.,22,38
4:57,2196,Victor Pena Offensive Rebound.,22,38
4:33,2196,Victor Pena missed Three Point Jumper.,22,38
4:33,2196,Austin Duncan Offensive Rebound.,22,38
4:30,2196,Austin Duncan made Layup.,24,38
4:29,2329,Foul on Lance Tejada.,24,38
4:29,2196,Austin Duncan missed Free Throw.,24,38
4:29,2329,Kahron Ross Defensive Rebound.,24,38
4:22,2329,Kahron Ross missed Jumper.,24,38
4:22,2196,William Blet Defensive Rebound.,24,38
4:10,2329,Foul on Kahron Ross.,24,38
4:10,2196,Austin Duncan missed Free Throw.,24,38
4:10,2329,Lehigh Defensive Rebound.,24,38
4:09,2196,Foul on Jordan Johnson.,24,38
3:45,2329,Caleb Bennett made Jumper.,24,40
3:32,2329,Foul on Caleb Bennett.,24,40
3:32,2329,Official TV Timeout,24,40
3:32,2196,Austin Duncan missed Free Throw.,24,40
3:32,2329,Pat Andree Defensive Rebound.,24,40
3:15,2329,Kahron Ross missed Jumper.,24,40
3:15,2329,James Karnik Offensive Rebound.,24,40
3:13,2329,James Karnik missed Layup.,24,40
3:13,2196,Austin Duncan Defensive Rebound.,24,40
3:05,2196,Anthony Concepcion Turnover.,24,40
2:41,2329,Caleb Bennett Turnover.,24,40
2:15,2196,Gabe Perez missed Three Point Jumper.,24,40
2:15,2329,Ed Porter Defensive Rebound.,24,40
2:06,2196,Foul on Anthony Concepcion.,24,40
1:58,2329,James Karnik missed Layup.,24,40
1:58,2196,Gabe Perez Defensive Rebound.,24,40
1:44,2196,Victor Pena made Jumper.,26,40
1:33,2196,Foul on Clifton Adams.,26,40
1:33,2329,Caleb Bennett made Free Throw.,26,41
1:33,2329,Caleb Bennett made Free Throw.,26,42
1:19,2196,Austin Duncan made Three Point Jumper. Assisted by Clifton Adams.,29,42
1:03,2329,Marques Wilson missed Three Point Jumper.,29,42
1:03,2329,James Karnik Offensive Rebound.,29,42
1:01,2196,Foul on Austin James.,29,42
1:01,2329,James Karnik made Free Throw.,29,43
1:01,2329,James Karnik missed Free Throw.,29,43
1:01,2196,Victor Pena Defensive Rebound.,29,43
0:46,2196,Austin Duncan missed Layup.,29,43
0:46,2329,James Karnik Defensive Rebound.,29,43
0:34,2329,Jordan Cohen Turnover.,29,43
0:33,2196,Victor Pena Steal.,29,43
0:10,2196,Austin Duncan missed Three Point Jumper.,29,43
0:10,2329,Jordan Cohen Defensive Rebound.,29,43
0:02,2329,Marques Wilson made Jumper. Assisted by Jordan Cohen.,29,45
0:00,2329,End of 1st half,29,45
19:47,2329,Kyle Leufroy Turnover.,29,45
19:46,2196,Austin Duncan Steal.,29,45
19:42,2196,Austin Duncan Turnover.,29,45
19:26,2329,Kyle Leufroy Turnover.,29,45
19:26,2196,Austin Duncan Steal.,29,45
19:18,2196,Victor Pena missed Layup.,29,45
19:18,2196,Victor Pena Offensive Rebound.,29,45
19:15,2196,Victor Pena made Layup.,31,45
18:59,2196,Foul on Victor Pena.,31,45
18:59,2329,James Karnik made Free Throw.,31,46
18:59,2329,James Karnik missed Free Throw.,31,46
18:59,2196,Victor Pena Defensive Rebound.,31,46
18:53,2196,Gabe Perez missed Layup.,31,46
18:53,2329,Pat Andree Block.,31,46
18:53,2196,Eastern University Offensive Rebound.,31,46
18:44,2196,Austin Duncan missed Layup.,31,46
18:44,2196,Eastern University Offensive Rebound.,31,46
18:35,2329,Foul on Kahron Ross.,31,46
18:32,2196,Clifton Adams Turnover.,31,46
18:32,2329,Lance Tejada Steal.,31,46
18:20,2329,Pat Andree made Three Point Jumper. Assisted by Kahron Ross.,31,49
18:01,2196,Victor Pena Turnover.,31,49
17:59,2329,James Karnik Steal.,31,49
17:54,2329,Kahron Ross made Layup.,31,51
17:51,2196,Eastern University  Timeout,31,51
17:51,2329,Official TV Timeout,31,51
17:51,2329,Official TV Timeout,31,51
17:32,2196,Victor Pena made Three Point Jumper. Assisted by Gabe Perez.,34,51
17:11,2196,Foul on Victor Pena.,34,51
17:00,2329,Jordan Cohen made Layup.,34,53
16:48,2329,Foul on Lance Tejada.,34,53
16:44,2196,Gabe Perez made Three Point Jumper. Assisted by Victor Pena.,37,53
16:32,2329,Lance Tejada missed Three Point Jumper.,37,53
16:32,2196,Gabe Perez Defensive Rebound.,37,53
16:21,2196,Austin Duncan missed Three Point Jumper.,37,53
16:21,2329,James Karnik Defensive Rebound.,37,53
16:09,2329,James Karnik made Layup. Assisted by Kahron Ross.,37,55
15:51,2196,Anthony Concepcion Turnover.,37,55
15:51,2329,Official TV Timeout,37,55
15:34,2329,Caleb Bennett made Jumper. Assisted by Lance Tejada.,37,57
15:21,2196,Darius Washington made Three Point Jumper.,40,57
15:12,2329,Kahron Ross missed Three Point Jumper.,40,57
15:12,2196,Jordan Johnson Defensive Rebound.,40,57
14:57,2329,Foul on Ed Porter.,40,57
14:57,2196,Gabe Perez made Free Throw.,41,57
14:57,2196,Gabe Perez missed Free Throw.,41,57
14:57,2196,Eastern University Offensive Rebound.,41,57
14:44,2196,Jordan Johnson made Layup.,43,57
14:23,2329,Lance Tejada made Jumper.,43,59
14:01,2196,Austin James missed Three Point Jumper.,43,59
14:01,2329,Ed Porter Defensive Rebound.,43,59
13:48,2329,Ed Porter made Layup. Assisted by Jordan Cohen.,43,61
13:33,2196,Darius Washington made Jumper.,45,61
13:33,2329,Foul on Ed Porter.,45,61
13:31,2196,Darius Washington made Free Throw.,46,61
13:14,2329,Lehigh  Timeout,46,61
13:06,2329,Marques Wilson made Three Point Jumper. Assisted by Jordan Cohen.,46,64
12:55,2196,Anthony Concepcion missed Three Point Jumper.,46,64
12:55,2329,Caleb Bennett Defensive Rebound.,46,64
12:45,2329,Caleb Bennett Turnover.,46,64
12:45,2196,Austin James Steal.,46,64
12:32,2196,Darius Washington missed Three Point Jumper.,46,64
12:32,2329,Jordan Cohen Defensive Rebound.,46,64
12:24,2329,Marques Wilson missed Three Point Jumper.,46,64
12:24,2196,Anthony Concepcion Defensive Rebound.,46,64
12:13,2196,Darius Washington made Three Point Jumper. Assisted by Anthony Concepcion.,49,64
11:45,2329,Official TV Timeout,49,64
11:38,2329,Jordan Cohen missed Jumper.,49,64
11:38,2196,Victor Pena Defensive Rebound.,49,64
11:20,2196,Anthony Concepcion made Layup.,51,64
10:59,2329,Jordan Cohen made Jumper.,51,66
10:46,2196,Darius Washington missed Three Point Jumper.,51,66
10:46,2329,Kyle Leufroy Defensive Rebound.,51,66
10:37,2329,Pat Andree missed Three Point Jumper.,51,66
10:37,2196,Victor Pena Defensive Rebound.,51,66
10:28,2196,Victor Pena missed Three Point Jumper.,51,66
10:28,2329,Kyle Leufroy Defensive Rebound.,51,66
10:08,2196,Foul on Darius Washington.,51,66
10:08,2329,Kyle Leufroy missed Free Throw.,51,66
10:08,2329,Lehigh Deadball Team Rebound.,51,66
10:08,2329,Kyle Leufroy made Free Throw.,51,67
10:00,2196,Anthony Concepcion Turnover.,51,67
9:59,2329,Caleb Bennett Steal.,51,67
9:56,2196,Foul on Anthony Concepcion.,51,67
9:56,2329,Kyle Leufroy made Free Throw.,51,68
9:56,2329,Kyle Leufroy made Free Throw.,51,69
9:37,2196,Clifton Adams Turnover.,51,69
9:36,2329,Pat Andree Steal.,51,69
9:33,2329,Kyle Leufroy made Layup. Assisted by Kahron Ross.,51,71
9:29,2196,Eastern University  Timeout,51,71
9:15,2196,Darius Washington missed Three Point Jumper.,51,71
9:15,2329,Kyle Leufroy Defensive Rebound.,51,71
9:03,2329,Pat Andree missed Jumper.,51,71
9:03,2196,William Blet Defensive Rebound.,51,71
8:58,2196,Austin James made Three Point Jumper. Assisted by Darius Washington.,54,71
8:30,2329,James Karnik made Layup.,54,73
8:14,2196,Darius Washington made Jumper.,56,73
7:57,2329,Kyle Leufroy missed Jumper.,56,73
7:57,2196,Victor Pena Defensive Rebound.,56,73
7:43,2196,Darius Washington made Layup.,58,73
7:40,2329,Lehigh  Timeout,58,73
7:40,2329,Official TV Timeout,58,73
7:28,2329,Kahron Ross made Layup.,58,75
7:08,2196,Jordan Johnson missed Jumper.,58,75
7:08,2329,Ed Porter Defensive Rebound.,58,75
6:58,2329,Pat Andree missed Three Point Jumper.,58,75
6:58,2196,Darius Washington Defensive Rebound.,58,75
6:51,2196,Clifton Adams missed Three Point Jumper.,58,75
6:51,2329,Pat Andree Defensive Rebound.,58,75
6:39,2329,Pat Andree made Three Point Jumper. Assisted by Kahron Ross.,58,78
6:22,2196,Jordan Johnson Turnover.,58,78
6:21,2329,Kyle Leufroy Steal.,58,78
6:11,2196,Foul on Clifton Adams.,58,78
5:53,2329,Pat Andree missed Three Point Jumper.,58,78
5:53,2196,Jordan Johnson Defensive Rebound.,58,78
5:29,2196,Jordan Johnson made Layup.,60,78
5:17,2329,Kyle Leufroy made Three Point Jumper. Assisted by Kahron Ross.,60,81
5:07,2329,Foul on Kahron Ross.,60,81
4:54,2196,Marquise Peel missed Jumper.,60,81
4:54,2329,Kahron Ross Defensive Rebound.,60,81
4:42,2329,Pat Andree made Layup. Assisted by Ed Porter.,60,83
4:41,2196,Foul on Marquise Peel.,60,83
4:41,2329,Pat Andree made Free Throw.,60,84
4:26,2196,Darius Washington missed Jumper.,60,84
4:26,2329,Kyle Leufroy Defensive Rebound.,60,84
4:18,2329,Kyle Leufroy missed Layup.,60,84
4:18,2196,Eastern University Defensive Rebound.,60,84
4:06,2196,Darius Washington made Three Point Jumper. Assisted by Anthony Concepcion.,63,84
3:56,2329,Lance Tejada missed Jumper.,63,84
3:56,2329,James Karnik Offensive Rebound.,63,84
3:51,2329,James Karnik made Layup.,63,86
3:51,2196,Foul on Brett Wolf.,63,86
3:51,2329,Official TV Timeout,63,86
3:51,2329,James Karnik made Free Throw.,63,87
3:42,2196,Brett Wolf missed Three Point Jumper.,63,87
3:42,2329,Lance Tejada Defensive Rebound.,63,87
3:35,2329,Marques Wilson missed Three Point Jumper.,63,87
3:35,2329,Ed Porter Offensive Rebound.,63,87
3:31,2329,Lance Tejada made Three Point Jumper. Assisted by Ed Porter.,63,90
3:21,2196,Darius Washington made Three Point Jumper.,66,90
3:08,2329,Jordan Cohen made Three Point Jumper. Assisted by Lance Tejada.,66,93
2:51,2196,Andrew Salazar missed Three Point Jumper.,66,93
2:51,2329,Marques Wilson Defensive Rebound.,66,93
2:37,2329,Foul on Lance Tejada.,66,93
2:37,2329,Lance Tejada Turnover.,66,93
2:18,2196,Anthony Concepcion made Three Point Jumper.,69,93
1:52,2196,Foul on Brett Wolf.,69,93
1:52,2329,Josh Wolf made Free Throw.,69,94
1:52,2329,Josh Wolf made Free Throw.,69,95
1:41,2196,Brennan Kastens missed Jumper.,69,95
1:41,2329,Marques Wilson Defensive Rebound.,69,95
1:17,2329,Josh Wolf Turnover.,69,95
1:08,2196,London Duran missed Three Point Jumper.,69,95
1:08,2196,Brennan Kastens Offensive Rebound.,69,95
1:00,2196,Brennan Kastens Turnover.,69,95
0:59,2329,Marques Wilson Steal.,69,95
0:48,2329,Marques Wilson missed Three Point Jumper.,69,95
0:48,2329,Shane Acoveno Offensive Rebound.,69,95
0:40,2329,Jay Jay Davis Turnover.,69,95
0:40,2329,Foul on Jay Jay Davis.,69,95
0:28,2329,Foul on Jay Jay Davis.,69,95
0:28,2196,Andrew Salazar made Free Throw.,70,95
0:28,2196,Andrew Salazar missed Free Throw.,70,95
0:28,2329,Caleb Bennett Defensive Rebound.,70,95
0:00,2329,End of Game,70,95
