Auburn,2275,Hofstra,2
5:20,2,Jared Harper made Three Point Jumper.,39,34
5:07,2275,Eli Pemberton made Three Point Jumper. Assisted by Justin Wright-Foreman.,39,37
4:54,2,Bryce Brown missed Three Point Jumper.,39,37
4:54,2275,Hofstra Defensive Rebound.,39,37
4:52,2,Foul on Malik Dunbar.,39,37
4:52,2275,Eli Pemberton missed Free Throw.,39,37
4:52,2,Jared Harper Defensive Rebound.,39,37
4:40,2,Malik Dunbar missed Jumper.,39,37
4:40,2275,Eli Pemberton Defensive Rebound.,39,37
4:37,2,Foul on Anfernee McLemore.,39,37
4:37,2275,Eli Pemberton made Free Throw.,39,38
4:37,2275,Eli Pemberton made Free Throw.,39,39
4:34,2275,Foul on Desure Buie.,39,39
4:34,2,Jared Harper missed Free Throw.,39,39
4:34,2275,Eli Pemberton Defensive Rebound.,39,39
4:27,2275,Eli Pemberton Turnover.,39,39
4:26,2,Jared Harper Steal.,39,39
4:25,2,Jared Harper missed Layup.,39,39
4:25,2,Jared Harper Offensive Rebound.,39,39
4:24,2,Jared Harper made Layup.,41,39
3:55,2275,Eli Pemberton missed Jumper.,41,39
3:55,2,Anfernee McLemore Defensive Rebound.,41,39
3:39,2275,Hofstra  Timeout,43,39
3:39,2,Malik Dunbar made Layup.,43,39
3:39,2275,Official TV Timeout,43,39
3:18,2275,Jalen Ray Turnover.,43,39
3:06,2,Chuma Okeke missed Layup.,43,39
3:06,2,Chuma Okeke Offensive Rebound.,43,39
3:04,2,Chuma Okeke missed Layup.,43,39
3:04,2275,Rokas Gustys Defensive Rebound.,43,39
2:56,2,Foul on Horace Spencer.,43,39
2:56,2275,Eli Pemberton missed Free Throw.,43,39
2:56,2275,Hofstra Deadball Team Rebound.,43,39
2:56,2275,Eli Pemberton missed Free Throw.,43,39
2:56,2,Chuma Okeke Defensive Rebound.,43,39
2:50,2,Davion Mitchell Turnover.,43,39
2:33,2275,Stafford Trueheart made Three Point Jumper. Assisted by Eli Pemberton.,43,42
2:16,2,Mustapha Heron Turnover.,43,42
2:02,2275,Justin Wright-Foreman made Three Point Jumper. Assisted by Eli Pemberton.,43,45
1:42,2,Bryce Brown made Jumper.,45,45
1:24,2275,Jalen Ray missed Three Point Jumper.,45,45
1:24,2,Chuma Okeke Defensive Rebound.,45,45
1:12,2,Mustapha Heron missed Three Point Jumper.,45,45
1:12,2,Chuma Okeke Offensive Rebound.,45,45
1:10,2275,Foul on Justin Wright-Foreman.,45,45
1:10,2,Chuma Okeke made Free Throw.,46,45
1:10,2,Chuma Okeke made Free Throw.,47,45
1:07,2,Foul on Anfernee McLemore.,47,45
1:07,2275,Rokas Gustys made Free Throw.,47,46
1:07,2275,Rokas Gustys missed Free Throw.,47,46
1:07,2275,Stafford Trueheart Offensive Rebound.,47,46
1:05,2275,Stafford Trueheart made Layup.,47,48
0:48,2,Bryce Brown missed Three Point Jumper.,47,48
0:48,2,Desean Murray Offensive Rebound.,47,48
0:46,2275,Foul on Rokas Gustys.,47,48
0:46,2,Desean Murray made Free Throw.,48,48
0:46,2,Desean Murray made Free Throw.,49,48
0:27,2275,Eli Pemberton made Jumper.,49,50
0:04,2,Mustapha Heron missed Three Point Jumper.,49,50
0:04,2275,Hofstra Defensive Rebound.,49,50
0:00,2275,End of 1st half,49,50
19:48,2275,Justin Wright-Foreman missed Three Point Jumper.,49,50
19:48,2,Anfernee McLemore Defensive Rebound.,49,50
19:35,2,Jared Harper Turnover.,49,50
19:29,2,Foul on Jared Harper.,49,50
19:07,2275,Joel Angus III missed Jumper.,49,50
19:07,2,Bryce Brown Defensive Rebound.,49,50
18:57,2,Mustapha Heron made Layup.,51,50
18:41,2,Foul on Jared Harper.,51,50
18:34,2275,Justin Wright-Foreman Turnover.,51,50
18:09,2,Desean Murray made Layup. Assisted by Davion Mitchell.,53,50
17:54,2,Foul on Mustapha Heron.,53,50
17:52,2275,Kenny Wormley Turnover.,53,50
17:52,2,Mustapha Heron Steal.,53,50
17:44,2,Bryce Brown missed Jumper.,53,50
17:44,2275,Rokas Gustys Defensive Rebound.,53,50
17:38,2275,Justin Wright-Foreman missed Three Point Jumper.,53,50
17:38,2,Auburn Defensive Rebound.,53,50
17:12,2275,Foul on Rokas Gustys.,53,50
17:12,2,Mustapha Heron made Free Throw.,54,50
17:12,2,Mustapha Heron made Free Throw.,55,50
17:06,2275,Eli Pemberton missed Jumper.,55,50
17:06,2,Desean Murray Block.,55,50
17:05,2,Auburn Defensive Rebound.,55,50
17:04,2275,Technical Foul on Eli Pemberton.,55,50
17:04,2275,Foul on Eli Pemberton.,55,50
17:04,2,Mustapha Heron made Free Throw.,56,50
17:04,2,Mustapha Heron made Free Throw.,57,50
16:38,2,Mustapha Heron missed Layup.,57,50
16:38,2275,Rokas Gustys Defensive Rebound.,57,50
16:30,2275,Rokas Gustys Turnover.,57,50
16:14,2275,Foul on Joel Angus III.,57,50
16:12,2275,Foul on Justin Wright-Foreman.,57,50
16:07,2,Desean Murray made Jumper. Assisted by Anfernee McLemore.,59,50
16:07,2275,Foul on Justin Wright-Foreman.,59,50
16:07,2,Desean Murray missed Free Throw.,59,50
16:07,2275,Rokas Gustys Defensive Rebound.,59,50
15:56,2275,Rokas Gustys missed Layup.,59,50
15:56,2,Auburn Defensive Rebound.,59,50
15:53,2275,Official TV Timeout,59,50
15:34,2,Davion Mitchell made Three Point Jumper. Assisted by Horace Spencer.,62,50
15:06,2275,Desure Buie missed Three Point Jumper.,62,50
15:06,2,Horace Spencer Defensive Rebound.,62,50
14:34,2,Mustapha Heron Turnover.,62,50
14:33,2275,Rokas Gustys Steal.,62,50
14:18,2275,Desure Buie Turnover.,62,50
14:17,2,Mustapha Heron Steal.,62,50
13:52,2,Bryce Brown missed Jumper.,62,50
13:52,2,Horace Spencer Offensive Rebound.,62,50
13:31,2,Bryce Brown made Three Point Jumper. Assisted by Chuma Okeke.,65,50
13:12,2275,Matija Radovic Turnover.,65,50
13:11,2,Horace Spencer Steal.,65,50
13:07,2,Mustapha Heron made Layup. Assisted by Horace Spencer.,67,50
12:44,2275,Matija Radovic missed Three Point Jumper.,67,50
12:44,2275,Eli Pemberton Offensive Rebound.,67,50
12:35,2275,Justin Wright-Foreman made Jumper.,67,52
12:12,2,Horace Spencer Turnover.,67,52
11:52,2,Foul on Malik Dunbar.,67,52
11:52,2275,Official TV Timeout,67,52
11:34,2275,Kenny Wormley made Three Point Jumper. Assisted by Rokas Gustys.,67,55
11:19,2,Desean Murray Turnover.,67,55
11:19,2275,Rokas Gustys Steal.,67,55
11:13,2275,Kenny Wormley made Jumper.,67,57
10:52,2,Desean Murray made Jumper.,69,57
10:31,2275,Stafford Trueheart made Three Point Jumper. Assisted by Kenny Wormley.,69,60
10:14,2,Desean Murray missed Layup.,69,60
10:14,2275,Stafford Trueheart Defensive Rebound.,69,60
9:52,2275,Stafford Trueheart missed Three Point Jumper.,69,60
9:52,2,Auburn Defensive Rebound.,69,60
9:45,2,Anfernee McLemore Block.,69,60
9:23,2,Bryce Brown missed Three Point Jumper.,69,60
9:23,2275,Kenny Wormley Defensive Rebound.,69,60
9:17,2,Foul on Jared Harper.,69,60
9:17,2275,Stafford Trueheart made Free Throw.,69,61
9:17,2275,Stafford Trueheart made Free Throw.,69,62
9:02,2,Davion Mitchell Turnover.,69,62
9:01,2275,Kenny Wormley Steal.,69,62
8:58,2275,Justin Wright-Foreman missed Layup.,69,62
8:58,2,Malik Dunbar Block.,69,62
8:57,2275,Eli Pemberton Offensive Rebound.,69,62
8:52,2275,Justin Wright-Foreman missed Three Point Jumper.,69,62
8:52,2,Desean Murray Defensive Rebound.,69,62
8:40,2275,Foul on Rokas Gustys.,69,62
8:34,2,Desean Murray missed Jumper.,69,62
8:34,2,Desean Murray Offensive Rebound.,69,62
8:29,2,Desean Murray made Layup.,71,62
7:59,2275,Justin Wright-Foreman missed Jumper.,71,62
7:59,2275,Rokas Gustys Offensive Rebound.,71,62
7:57,2275,Rokas Gustys made Layup.,71,64
7:54,2275,Hofstra  Timeout,71,64
7:54,2275,Official TV Timeout,71,64
7:36,2275,Official TV Timeout,71,64
7:27,2,Desean Murray Turnover.,71,64
7:16,2275,Justin Wright-Foreman missed Three Point Jumper.,71,64
7:16,2,Anfernee McLemore Defensive Rebound.,71,64
6:58,2,Mustapha Heron made Jumper.,73,64
6:39,2,Foul on Chuma Okeke.,73,64
6:35,2275,Justin Wright-Foreman missed Three Point Jumper.,73,64
6:35,2,Mustapha Heron Defensive Rebound.,73,64
6:28,2,Mustapha Heron Turnover.,73,64
6:28,2275,Kenny Wormley Steal.,73,64
6:24,2275,Kenny Wormley missed Layup.,73,64
6:24,2,Horace Spencer Block.,73,64
6:23,2275,Justin Wright-Foreman Offensive Rebound.,73,64
6:14,2275,Justin Wright-Foreman made Layup.,73,66
5:54,2,Chuma Okeke missed Jumper.,73,66
5:54,2,Horace Spencer Offensive Rebound.,73,66
5:52,2,Horace Spencer made Dunk.,75,66
5:38,2275,Rokas Gustys made Layup. Assisted by Eli Pemberton.,75,68
5:18,2,Chuma Okeke Turnover.,75,68
5:14,2,Foul on Davion Mitchell.,75,68
5:14,2275,Kenny Wormley missed Free Throw.,75,68
5:14,2,Horace Spencer Defensive Rebound.,75,68
4:46,2,Davion Mitchell Turnover.,75,68
4:45,2275,Rokas Gustys Steal.,75,68
4:42,2275,Hofstra  Timeout,75,68
4:29,2275,Rokas Gustys missed Layup.,75,68
4:29,2,Desean Murray Defensive Rebound.,75,68
3:58,2,Bryce Brown missed Three Point Jumper.,75,68
3:58,2275,Eli Pemberton Defensive Rebound.,75,68
3:45,2275,Eli Pemberton missed Three Point Jumper.,75,68
3:45,2,Davion Mitchell Defensive Rebound.,75,68
3:28,2,Davion Mitchell made Layup.,77,68
3:08,2275,Eli Pemberton made Layup.,77,70
2:41,2,Desean Murray made Layup.,79,70
2:26,2,Foul on Mustapha Heron.,79,70
2:26,2275,Official TV Timeout,79,70
2:26,2275,Rokas Gustys missed Free Throw.,79,70
2:26,2275,Hofstra Deadball Team Rebound.,79,70
2:26,2275,Rokas Gustys missed Free Throw.,79,70
2:26,2,Mustapha Heron Defensive Rebound.,79,70
1:58,2,Mustapha Heron missed Dunk.,79,70
1:58,2275,Eli Pemberton Defensive Rebound.,79,70
1:49,2275,Justin Wright-Foreman missed Three Point Jumper.,79,70
1:49,2,Desean Murray Defensive Rebound.,79,70
1:26,2,Jared Harper made Layup.,81,70
1:13,2275,Eli Pemberton made Layup.,81,72
1:11,2275,Hofstra  Timeout,81,72
1:02,2275,Foul on Eli Pemberton.,81,72
1:02,2,Jared Harper missed Free Throw.,81,72
1:02,2275,Rokas Gustys Defensive Rebound.,81,72
0:56,2,Foul on Jared Harper.,81,72
0:56,2275,Kenny Wormley made Free Throw.,81,73
0:56,2275,Kenny Wormley made Free Throw.,81,74
0:50,2275,Foul on Eli Pemberton.,81,74
0:50,2,Bryce Brown made Free Throw.,82,74
0:50,2,Bryce Brown made Free Throw.,83,74
0:44,2275,Kenny Wormley Turnover.,83,74
0:42,2,Davion Mitchell Steal.,83,74
0:40,2,Bryce Brown made Layup. Assisted by Davion Mitchell.,85,74
0:31,2275,Justin Wright-Foreman made Layup.,85,76
0:25,2275,Foul on Eli Pemberton.,85,76
0:25,2,Bryce Brown made Free Throw.,86,76
0:25,2,Bryce Brown made Free Throw.,87,76
0:18,2275,Stafford Trueheart Turnover.,87,76
0:17,2,Mustapha Heron Steal.,87,76
0:15,2,Mustapha Heron made Dunk.,89,76
0:04,2275,Rokas Gustys made Layup. Assisted by Desure Buie.,89,78
0:00,2275,End of Game,89,78
