North Dakota,158,Nebraska,155
3:05,158,Foul on James Palmer Jr..,29,45
3:05,158,James Palmer Jr. Turnover.,29,45
2:51,155,Cortez Seales missed Jumper.,29,45
2:51,158,Jordy Tshimanga Block.,29,45
2:49,155,Billy Brown Offensive Rebound.,29,45
2:45,155,Geno Crandall missed Jumper.,29,45
2:45,158,Isaac Copeland Defensive Rebound.,29,45
2:40,155,Foul on Billy Brown.,29,45
2:30,158,Jordy Tshimanga missed Jumper.,29,45
2:30,155,Marlon Stewart Defensive Rebound.,29,45
2:24,158,Foul on James Palmer Jr..,29,45
2:24,155,Marlon Stewart missed Free Throw.,29,45
2:24,158,James Palmer Jr. Defensive Rebound.,29,45
1:58,158,Glynn Watson Jr. Turnover.,29,45
1:57,155,Billy Brown Steal.,29,45
1:49,155,Cortez Seales Turnover.,29,45
1:35,158,Jack McVeigh missed Three Point Jumper.,29,45
1:35,158,Isaac Copeland Offensive Rebound.,29,45
1:32,158,Isaac Copeland made Jumper.,29,47
1:19,155,Marlon Stewart made Jumper.,31,47
1:19,158,Foul on Tanner Borchardt.,31,47
1:19,155,Marlon Stewart made Free Throw.,32,47
1:07,158,Foul on Jack McVeigh.,32,47
1:07,158,Jack McVeigh Turnover.,32,47
0:59,155,Dale Jones missed Three Point Jumper.,32,47
0:59,158,Anton Gill Defensive Rebound.,32,47
0:56,155,Foul on Marlon Stewart.,32,47
0:56,158,Anton Gill missed Free Throw.,32,47
0:56,155,Dale Jones Defensive Rebound.,32,47
0:44,155,Cortez Seales missed Jumper.,32,47
0:44,158,Anton Gill Defensive Rebound.,32,47
0:18,158,Evan Taylor made Jumper.,32,49
0:05,155,Geno Crandall missed Three Point Jumper.,32,49
0:05,158,Anton Gill Defensive Rebound.,32,49
0:00,158,End of 1st half,32,49
19:48,155,Conner Avants missed Jumper.,32,49
19:48,158,Isaac Copeland Defensive Rebound.,32,49
19:30,158,Jordy Tshimanga missed Dunk.,32,49
19:30,155,Geno Crandall Defensive Rebound.,32,49
19:25,155,Marlon Stewart made Layup.,34,49
19:02,158,Jordy Tshimanga made Jumper. Assisted by Evan Taylor.,34,51
18:38,155,Marlon Stewart Turnover.,34,51
18:38,158,Evan Taylor Steal.,34,51
18:37,158,James Palmer Jr. missed Jumper.,34,51
18:37,155,Conner Avants Defensive Rebound.,34,51
18:12,158,Foul on James Palmer Jr..,34,51
17:57,155,Conner Avants made Jumper. Assisted by Marlon Stewart.,36,51
17:42,158,Glynn Watson Jr. missed Jumper.,36,51
17:42,158,Jordy Tshimanga Offensive Rebound.,36,51
17:36,158,Isaac Copeland made Layup. Assisted by Jordy Tshimanga.,36,53
17:31,155,Marlon Stewart made Jumper.,38,53
17:05,158,Foul on Jordy Tshimanga.,38,53
17:05,158,Jordy Tshimanga Turnover.,38,53
16:44,155,Conner Avants made Jumper.,40,53
16:33,158,Anton Gill missed Three Point Jumper.,40,53
16:33,158,Evan Taylor Offensive Rebound.,40,53
16:28,158,Isaac Copeland made Jumper. Assisted by Evan Taylor.,40,55
16:03,155,Conner Avants made Jumper. Assisted by Marlon Stewart.,42,55
15:46,158,Isaac Copeland missed Three Point Jumper.,42,55
15:46,158,Jordy Tshimanga Offensive Rebound.,42,55
15:42,155,Foul on Dale Jones.,42,55
15:42,158,Nebraska  Timeout,42,55
15:26,158,Foul on Anton Gill.,42,55
15:25,158,Anton Gill Turnover.,42,55
15:15,158,Foul on Glynn Watson Jr..,42,55
15:06,158,Foul on Anton Gill.,42,55
15:06,155,Dale Jones made Free Throw.,43,55
15:06,155,Dale Jones made Free Throw.,44,55
14:56,158,Evan Taylor Turnover.,44,55
14:50,155,Foul on Conner Avants.,44,55
14:50,155,Conner Avants Turnover.,44,55
14:38,155,Foul on Conner Avants.,44,55
14:34,158,Glynn Watson Jr. missed Three Point Jumper.,44,55
14:34,158,Isaiah Roby Offensive Rebound.,44,55
14:23,158,Glynn Watson Jr. missed Jumper.,44,55
14:23,155,Dale Jones Defensive Rebound.,44,55
14:07,155,Cortez Seales made Jumper.,46,55
13:40,155,Foul on Kienan Walter.,46,55
13:39,158,James Palmer Jr. made Jumper. Assisted by Jack McVeigh.,46,57
13:21,155,Cortez Seales Turnover.,46,57
13:20,158,Jack McVeigh Steal.,46,57
13:20,155,Foul on Cortez Seales.,46,57
13:07,155,Foul on Geno Crandall.,46,57
13:07,158,Isaac Copeland missed Free Throw.,46,57
13:07,158,Nebraska Deadball Team Rebound.,46,57
13:07,158,Isaac Copeland made Free Throw.,46,58
12:57,155,Cortez Seales missed Jumper.,46,58
12:57,155,Cortez Seales Offensive Rebound.,46,58
12:50,155,Geno Crandall made Layup.,48,58
12:31,158,James Palmer Jr. made Jumper.,48,60
12:16,155,Foul on Kienan Walter.,48,60
12:16,155,Kienan Walter Turnover.,48,60
11:56,158,Isaac Copeland made Three Point Jumper. Assisted by James Palmer Jr..,48,63
11:43,155,Geno Crandall missed Layup.,48,63
11:43,158,Isaiah Roby Block.,48,63
11:42,158,Jack McVeigh Defensive Rebound.,48,63
11:34,158,Glynn Watson Jr. Turnover.,48,63
11:34,155,Geno Crandall Steal.,48,63
11:29,155,Geno Crandall made Layup.,50,63
11:29,158,Foul on Isaac Copeland.,50,63
11:29,155,North Dakota  Timeout,50,63
11:29,155,Geno Crandall made Free Throw.,51,63
11:10,158,Jack McVeigh missed Three Point Jumper.,51,63
11:10,155,Tray Buchanan Defensive Rebound.,51,63
11:07,158,Foul on Isaac Copeland.,51,63
11:07,155,Tray Buchanan made Free Throw.,52,63
11:07,155,Tray Buchanan made Free Throw.,53,63
10:57,158,Glynn Watson Jr. made Layup.,53,65
10:34,155,Geno Crandall missed Three Point Jumper.,53,65
10:34,158,Glynn Watson Jr. Defensive Rebound.,53,65
10:26,158,Isaiah Roby made Layup.,53,67
10:26,155,Foul on Kienan Walter.,53,67
10:26,158,Isaiah Roby missed Free Throw.,53,67
10:26,158,Isaac Copeland Offensive Rebound.,53,67
10:19,155,Foul on Marlon Stewart.,53,67
10:19,158,Isaiah Roby made Free Throw.,53,68
10:19,158,Isaiah Roby made Free Throw.,53,69
9:52,155,Dale Jones missed Three Point Jumper.,53,69
9:52,158,Isaiah Roby Defensive Rebound.,53,69
9:47,155,Foul on Tray Buchanan.,53,69
9:47,158,Isaiah Roby missed Free Throw.,53,69
9:47,158,Nebraska Deadball Team Rebound.,53,69
9:47,158,Isaiah Roby made Free Throw.,53,70
9:32,155,Geno Crandall missed Layup.,53,70
9:32,158,Duby Okeke Block.,53,70
9:30,155,Conner Avants Offensive Rebound.,53,70
9:26,155,Conner Avants made Jumper.,55,70
9:20,158,Anton Gill made Layup. Assisted by Isaiah Roby.,55,72
9:03,155,Tray Buchanan Turnover.,55,72
8:57,158,Anton Gill made Three Point Jumper. Assisted by Isaiah Roby.,55,75
8:42,155,Tray Buchanan missed Three Point Jumper.,55,75
8:42,158,Isaiah Roby Defensive Rebound.,55,75
8:26,158,Glynn Watson Jr. missed Jumper.,55,75
8:26,155,Billy Brown Defensive Rebound.,55,75
8:18,155,Cortez Seales missed Jumper.,55,75
8:18,158,Duby Okeke Defensive Rebound.,55,75
7:59,158,Evan Taylor missed Jumper.,55,75
7:59,155,Tray Buchanan Defensive Rebound.,55,75
7:54,155,Geno Crandall made Layup. Assisted by Cortez Seales.,57,75
7:29,158,Isaiah Roby missed Jumper.,57,75
7:29,155,Conner Avants Defensive Rebound.,57,75
7:20,155,Cortez Seales missed Three Point Jumper.,57,75
7:20,158,Isaiah Roby Defensive Rebound.,57,75
6:56,158,Evan Taylor missed Jumper.,57,75
6:56,155,Conner Avants Defensive Rebound.,57,75
6:42,158,Foul on Duby Okeke.,57,75
6:42,155,North Dakota  Timeout,57,75
6:42,155,Geno Crandall made Free Throw.,58,75
6:42,155,Geno Crandall made Free Throw.,59,75
6:30,158,James Palmer Jr. missed Jumper.,59,75
6:30,158,Duby Okeke Offensive Rebound.,59,75
6:28,155,Foul on Marlon Stewart.,59,75
6:28,158,Duby Okeke made Free Throw.,59,76
6:28,158,Duby Okeke missed Free Throw.,59,76
6:28,155,Cortez Seales Defensive Rebound.,59,76
6:27,158,Foul on James Palmer Jr..,59,76
6:27,155,Cortez Seales missed Free Throw.,59,76
6:27,158,Duby Okeke Defensive Rebound.,59,76
6:11,158,James Palmer Jr. missed Layup.,59,76
6:11,155,Conner Avants Defensive Rebound.,59,76
6:05,155,Foul on Marlon Stewart.,59,76
6:05,155,Marlon Stewart Turnover.,59,76
5:52,158,Anton Gill made Three Point Jumper. Assisted by Isaiah Roby.,59,79
5:35,158,Foul on Duby Okeke.,59,79
5:35,155,Marlon Stewart missed Free Throw.,59,79
5:35,155,North Dakota Deadball Team Rebound.,59,79
5:35,155,Marlon Stewart made Free Throw.,60,79
5:11,158,Evan Taylor missed Jumper.,60,79
5:11,155,Geno Crandall Defensive Rebound.,60,79
4:44,158,Foul on Anton Gill.,60,79
4:44,155,Geno Crandall missed Free Throw.,60,79
4:44,155,North Dakota Deadball Team Rebound.,60,79
4:44,155,Geno Crandall made Free Throw.,61,79
4:33,158,Glynn Watson Jr. made Layup.,61,81
4:26,155,Marlon Stewart made Three Point Jumper. Assisted by Geno Crandall.,64,81
4:03,158,Isaac Copeland made Three Point Jumper. Assisted by Anton Gill.,64,84
3:51,155,Conner Avants missed Jumper.,64,84
3:51,158,Duby Okeke Block.,64,84
3:50,155,Conner Avants Offensive Rebound.,64,84
3:49,155,Conner Avants made Jumper.,66,84
3:29,158,Anton Gill made Three Point Jumper. Assisted by Glynn Watson Jr..,66,87
3:20,155,Marlon Stewart made Layup.,68,87
2:58,158,Evan Taylor made Layup.,68,89
2:49,155,Marlon Stewart missed Jumper.,68,89
2:47,158,Glynn Watson Jr. Defensive Rebound.,68,89
2:44,158,Nebraska  Timeout,68,89
2:28,158,Glynn Watson Jr. made Jumper.,68,91
2:05,155,Jafar Kinsey missed Three Point Jumper.,68,91
2:05,155,Conner Avants Offensive Rebound.,68,91
1:57,155,Marlon Stewart missed Jumper.,68,91
1:57,155,Conner Avants Offensive Rebound.,68,91
1:55,155,Conner Avants made Jumper.,70,91
1:54,158,Nebraska  Timeout,70,91
1:48,158,Nana Akenten missed Three Point Jumper.,70,91
1:48,155,Tray Buchanan Defensive Rebound.,70,91
1:35,155,Tray Buchanan missed Three Point Jumper.,70,91
1:35,158,Johnny Trueblood Defensive Rebound.,70,91
1:16,158,Nana Akenten missed Three Point Jumper.,70,91
1:16,158,Tanner Borchardt Offensive Rebound.,70,91
1:13,155,Foul on Kienan Walter.,70,91
1:13,158,Tanner Borchardt missed Free Throw.,70,91
1:13,158,Nebraska Deadball Team Rebound.,70,91
1:13,158,Tanner Borchardt made Free Throw.,70,92
1:02,155,Tray Buchanan missed Jumper.,70,92
1:02,158,Johnny Trueblood Defensive Rebound.,70,92
0:52,158,Johnny Trueblood missed Jumper.,70,92
0:52,158,Tanner Borchardt Offensive Rebound.,70,92
0:46,158,Thorir Thorbjarnarson missed Three Point Jumper.,70,92
0:46,155,Cortez Seales Defensive Rebound.,70,92
0:30,155,Jafar Kinsey missed Three Point Jumper.,70,92
0:30,158,Johnny Trueblood Defensive Rebound.,70,92
0:00,158,End of Game,70,92
