South Carolina,2711,Western Michigan,2579
2:55,2579,Chris Silva made Free Throw.,31,28
2:43,2711,Seth Dugan made Layup. Assisted by Reggie Jones.,31,30
2:31,2579,Wesley Myers missed Layup.,31,30
2:31,2579,Chris Silva Offensive Rebound.,31,30
2:25,2579,Chris Silva made Layup.,33,30
2:00,2579,Foul on Felipe Haase.,33,30
2:00,2711,Thomas Wilder made Free Throw.,33,31
2:00,2711,Thomas Wilder made Free Throw.,33,32
1:42,2579,Chris Silva missed Jumper.,33,32
1:42,2711,Thomas Wilder Defensive Rebound.,33,32
1:36,2711,Reggie Jones missed Three Point Jumper.,33,32
1:36,2579,Wesley Myers Defensive Rebound.,33,32
1:27,2579,Wesley Myers made Layup.,35,32
1:20,2711,Western Michigan  Timeout,35,32
0:56,2711,Bryce Moore missed Three Point Jumper.,35,32
0:56,2579,Justin Minaya Defensive Rebound.,35,32
0:42,2579,Frank Booker missed Three Point Jumper.,35,32
0:42,2711,Reggie Jones Defensive Rebound.,35,32
0:23,2711,Thomas Wilder made Jumper.,35,34
0:11,2579,South Carolina  Timeout,35,34
0:04,2579,Frank Booker missed Three Point Jumper.,35,34
0:04,2711,Bryce Moore Defensive Rebound.,35,34
0:00,2711,End of 1st half,35,34
19:44,2711,Josh Davis missed Three Point Jumper.,35,34
19:44,2579,Hassani Gravett Defensive Rebound.,35,34
19:37,2579,Justin Minaya missed Three Point Jumper.,35,34
19:37,2579,Maik Kotsar Offensive Rebound.,35,34
19:31,2579,Hassani Gravett missed Three Point Jumper.,35,34
19:31,2579,South Carolina Offensive Rebound.,35,34
19:29,2711,Foul on Seth Dugan.,35,34
19:23,2711,Foul on Brandon Johnson.,35,34
19:23,2579,Chris Silva made Free Throw.,36,34
19:23,2579,Chris Silva made Free Throw.,37,34
19:03,2711,Thomas Wilder Turnover.,37,34
18:51,2579,Justin Minaya missed Three Point Jumper.,37,34
18:51,2711,Western Michigan Defensive Rebound.,37,34
18:36,2711,Brandon Johnson Turnover.,37,34
18:36,2711,Foul on Brandon Johnson.,37,34
18:25,2579,Hassani Gravett made Layup.,39,34
18:25,2711,Foul on Seth Dugan.,39,34
18:25,2579,Hassani Gravett made Free Throw.,40,34
18:10,2579,Foul on Felipe Haase.,40,34
17:54,2711,Drake LaMont made Layup. Assisted by Josh Davis.,40,36
17:42,2579,Frank Booker missed Three Point Jumper.,40,36
17:42,2711,Josh Davis Defensive Rebound.,40,36
17:36,2711,Thomas Wilder made Layup.,40,38
17:36,2579,Foul on Felipe Haase.,40,38
17:36,2711,Thomas Wilder made Free Throw.,40,39
17:32,2579,Maik Kotsar made Layup.,42,39
17:03,2711,Bryce Moore missed Jumper.,42,39
17:03,2579,Maik Kotsar Defensive Rebound.,42,39
16:54,2579,Justin Minaya missed Layup.,42,39
16:54,2579,Justin Minaya Offensive Rebound.,42,39
16:51,2579,Justin Minaya made Layup.,44,39
16:27,2711,Thomas Wilder Turnover.,44,39
16:26,2579,Frank Booker Steal.,44,39
16:24,2579,Frank Booker made Layup.,46,39
15:47,2711,Thomas Wilder Turnover.,46,39
15:46,2579,Justin Minaya Steal.,46,39
15:32,2579,Maik Kotsar missed Layup.,46,39
15:32,2711,Western Michigan Defensive Rebound.,46,39
15:32,2579,Foul on Chris Silva.,46,39
15:32,2711,Official TV Timeout,46,39
15:31,2711,Official TV Timeout,46,39
15:15,2711,Bryce Moore Turnover.,46,39
15:14,2579,Frank Booker Steal.,46,39
15:11,2579,Maik Kotsar made Layup. Assisted by Hassani Gravett.,48,39
15:02,2711,Michael Flowers missed Three Point Jumper.,48,39
15:02,2579,Wesley Myers Defensive Rebound.,48,39
14:35,2579,Frank Booker Turnover.,48,39
14:34,2711,Josh Davis Steal.,48,39
14:24,2579,Foul on Frank Booker.,48,39
14:06,2711,Drake LaMont Turnover.,48,39
14:06,2711,Foul on Drake LaMont.,48,39
13:41,2579,Maik Kotsar missed Layup.,48,39
13:41,2579,Chris Silva Offensive Rebound.,48,39
13:37,2579,Chris Silva made Dunk.,50,39
13:12,2711,Josh Davis Turnover.,50,39
13:04,2711,Foul on Bryce Moore.,50,39
12:59,2579,Justin Minaya Turnover.,50,39
12:33,2711,Thomas Wilder Turnover.,50,39
12:33,2711,Foul on Thomas Wilder.,50,39
12:14,2579,Chris Silva made Layup. Assisted by Kory Holden.,52,39
11:48,2711,Thomas Wilder Turnover.,52,39
11:47,2579,Maik Kotsar Steal.,52,39
11:38,2711,Foul on Thomas Wilder.,52,39
11:38,2711,Official TV Timeout,52,39
11:38,2579,Kory Holden made Free Throw.,53,39
11:38,2579,Kory Holden made Free Throw.,54,39
11:21,2711,Josh Davis missed Jumper.,54,39
11:21,2579,Justin Minaya Defensive Rebound.,54,39
10:56,2579,Felipe Haase Turnover.,54,39
10:29,2579,Foul on Chris Silva.,54,39
10:29,2711,Drake LaMont made Free Throw.,54,40
10:29,2711,Drake LaMont missed Free Throw.,54,40
10:29,2579,Chris Silva Defensive Rebound.,54,40
10:02,2579,Kory Holden made Three Point Jumper.,57,40
9:45,2711,Bryce Moore missed Three Point Jumper.,57,40
9:45,2579,Wesley Myers Defensive Rebound.,57,40
9:23,2579,Kory Holden missed Layup.,57,40
9:23,2711,Drake LaMont Defensive Rebound.,57,40
9:16,2711,Michael Flowers made Layup.,57,42
9:16,2579,Foul on Justin Minaya.,57,42
9:16,2711,Michael Flowers made Free Throw.,57,43
9:02,2579,Hassani Gravett missed Jumper.,57,43
9:02,2711,Drake LaMont Defensive Rebound.,57,43
8:51,2711,Michael Flowers made Three Point Jumper.,57,46
8:50,2579,Foul on Wesley Myers.,57,46
8:50,2711,Michael Flowers made Free Throw.,57,47
8:37,2579,Wesley Myers missed Three Point Jumper.,57,47
8:37,2579,Chris Silva Offensive Rebound.,57,47
8:30,2579,Justin Minaya made Three Point Jumper. Assisted by Chris Silva.,60,47
8:20,2711,Drake LaMont missed Layup.,60,47
8:20,2579,Felipe Haase Defensive Rebound.,60,47
8:12,2579,Felipe Haase missed Three Point Jumper.,60,47
8:12,2579,South Carolina Offensive Rebound.,60,47
8:06,2711,Foul on Bryce Moore.,60,47
8:06,2579,Hassani Gravett missed Free Throw.,60,47
8:06,2711,Brandon Johnson Defensive Rebound.,60,47
7:53,2711,Reggie Jones missed Three Point Jumper.,60,47
7:53,2579,Hassani Gravett Defensive Rebound.,60,47
7:45,2579,Wesley Myers missed Layup.,60,47
7:45,2579,Felipe Haase Offensive Rebound.,60,47
7:24,2579,Felipe Haase Turnover.,60,47
7:24,2711,Reggie Jones Steal.,60,47
7:24,2711,Official TV Timeout,60,47
7:10,2711,Reggie Jones missed Three Point Jumper.,60,47
7:10,2579,Hassani Gravett Defensive Rebound.,60,47
6:41,2579,Frank Booker made Three Point Jumper. Assisted by Hassani Gravett.,63,47
6:23,2711,Reggie Jones missed Jumper.,63,47
6:21,2711,Seth Dugan Offensive Rebound.,63,47
6:18,2579,Foul on Frank Booker.,63,47
6:18,2711,Seth Dugan made Free Throw.,63,48
6:18,2711,Seth Dugan missed Free Throw.,63,48
6:18,2579,Chris Silva Defensive Rebound.,63,48
6:04,2579,Hassani Gravett missed Three Point Jumper.,63,48
6:04,2579,David Beatty Offensive Rebound.,63,48
5:57,2579,Frank Booker missed Three Point Jumper.,63,48
5:57,2579,South Carolina Offensive Rebound.,63,48
5:55,2711,Foul on Brandon Johnson.,63,48
5:55,2579,Chris Silva made Free Throw.,64,48
5:55,2579,Chris Silva made Free Throw.,65,48
5:28,2711,Bryce Moore made Three Point Jumper. Assisted by Thomas Wilder.,65,51
4:58,2579,Hassani Gravett made Three Point Jumper. Assisted by David Beatty.,68,51
4:39,2711,Bryce Moore missed Three Point Jumper.,68,51
4:39,2579,Felipe Haase Defensive Rebound.,68,51
4:21,2579,Hassani Gravett missed Three Point Jumper.,68,51
4:21,2711,Seth Dugan Defensive Rebound.,68,51
4:07,2579,Foul on Maik Kotsar.,68,51
4:07,2711,Josh Davis missed Free Throw.,68,51
4:07,2711,Western Michigan Deadball Team Rebound.,68,51
4:07,2711,Josh Davis made Free Throw.,68,52
3:38,2579,Wesley Myers made Layup.,70,52
3:27,2579,Foul on Kory Holden.,70,52
3:27,2711,Official TV Timeout,70,52
3:27,2711,Josh Davis made Free Throw.,70,53
3:27,2711,Josh Davis made Free Throw.,70,54
3:19,2579,Justin Minaya Turnover.,70,54
3:15,2579,Foul on Maik Kotsar.,70,54
3:15,2711,Thomas Wilder made Free Throw.,70,55
3:15,2711,Thomas Wilder missed Free Throw.,70,55
3:15,2579,Felipe Haase Defensive Rebound.,70,55
3:14,2711,Foul on Josh Davis.,70,55
3:14,2579,Felipe Haase made Free Throw.,71,55
3:14,2579,Felipe Haase made Free Throw.,72,55
3:04,2711,Drake LaMont made Layup. Assisted by Bryce Moore.,72,57
2:54,2579,Wesley Myers Turnover.,72,57
2:53,2711,Thomas Wilder Steal.,72,57
2:50,2711,Thomas Wilder Turnover.,72,57
2:50,2579,Felipe Haase Steal.,72,57
2:23,2711,Foul on Drake LaMont.,72,57
2:23,2579,Wesley Myers made Free Throw.,73,57
2:23,2579,Wesley Myers missed Free Throw.,73,57
2:23,2711,Josh Davis Defensive Rebound.,73,57
2:02,2711,Bryce Moore made Three Point Jumper.,73,60
1:35,2579,Justin Minaya missed Layup.,73,60
1:35,2711,Thomas Wilder Block.,73,60
1:34,2711,Brandon Johnson Defensive Rebound.,73,60
1:29,2711,Josh Davis made Three Point Jumper.,73,63
1:28,2711,Western Michigan  Timeout,73,63
1:28,2579,South Carolina  Timeout,73,63
1:28,2711,Foul on Michael Flowers.,73,63
1:28,2579,Kory Holden missed Free Throw.,73,63
1:28,2579,South Carolina Deadball Team Rebound.,73,63
1:28,2579,Kory Holden made Free Throw.,74,63
1:12,2579,David Beatty missed Three Point Jumper.,74,63
1:12,2579,South Carolina Offensive Rebound.,74,63
1:01,2711,Foul on Josh Davis.,74,63
1:01,2579,Hassani Gravett missed Free Throw.,74,63
1:01,2579,South Carolina Deadball Team Rebound.,74,63
1:01,2711,Western Michigan  Timeout,74,63
1:01,2579,Hassani Gravett made Free Throw.,75,63
0:53,2711,Bryce Moore missed Three Point Jumper.,75,63
0:53,2579,Maik Kotsar Defensive Rebound.,75,63
0:48,2711,Foul on Thomas Wilder.,75,63
0:48,2579,Hassani Gravett made Free Throw.,76,63
0:48,2579,Hassani Gravett made Free Throw.,77,63
0:35,2711,Michael Flowers made Three Point Jumper.,77,66
0:34,2711,Foul on Michael Flowers.,77,66
0:34,2579,Wesley Myers made Free Throw.,78,66
0:34,2579,Wesley Myers made Free Throw.,79,66
0:26,2711,Thomas Wilder Turnover.,79,66
0:25,2579,Maik Kotsar Steal.,79,66
0:00,2711,End of Game,79,66
