Northeastern,194,Ohio State,111
13:53,111,Donnell Gresham Jr. missed Jumper.,2,15
13:53,111,Donnell Gresham Jr. Offensive Rebound.,2,15
13:51,194,Foul on Kaleb Wesson.,2,15
13:51,111,Donnell Gresham Jr. made Free Throw.,3,15
13:51,111,Donnell Gresham Jr. made Free Throw.,4,15
13:24,194,Kaleb Wesson missed Jumper.,4,15
13:24,111,Derrick Cook Defensive Rebound.,4,15
13:18,111,Derrick Cook missed Jumper.,4,15
13:18,194,Andre Wesson Defensive Rebound.,4,15
13:10,194,C.J. Jackson made Layup.,4,17
12:53,111,Donnell Gresham Jr. made Three Point Jumper. Assisted by Tomas Murphy.,7,17
12:34,111,Foul on Donnell Gresham Jr..,7,17
12:34,194,Kaleb Wesson missed Free Throw.,7,17
12:34,194,Ohio State Deadball Team Rebound.,7,17
12:34,194,Kaleb Wesson made Free Throw.,7,18
12:20,194,Foul on Keita Bates-Diop.,7,18
12:14,111,Tomas Murphy missed Three Point Jumper.,7,18
12:14,194,C.J. Jackson Defensive Rebound.,7,18
12:10,194,C.J. Jackson Turnover.,7,18
11:54,111,Jeremy Miller missed Jumper.,7,18
11:54,194,Keita Bates-Diop Defensive Rebound.,7,18
11:45,194,Andre Wesson missed Dunk.,7,18
11:45,194,Kam Williams Offensive Rebound.,7,18
11:38,111,Foul on Jeremy Miller.,7,18
11:38,194,Official TV Timeout,7,18
11:32,111,Foul on Maxime Boursiquot.,7,18
11:32,194,Keita Bates-Diop missed Free Throw.,7,18
11:32,194,Ohio State Deadball Team Rebound.,7,18
11:32,194,Keita Bates-Diop made Free Throw.,7,19
11:22,111,Derrick Cook Turnover.,7,19
11:20,194,Keita Bates-Diop Steal.,7,19
11:13,194,Keita Bates-Diop made Dunk. Assisted by Andrew Dakich.,7,21
10:51,111,Donnell Gresham Jr. missed Three Point Jumper.,7,21
10:51,194,Kaleb Wesson Defensive Rebound.,7,21
10:38,194,Kam Williams Turnover.,7,21
10:12,111,Donnell Gresham Jr. missed Jumper.,7,21
10:12,111,Tomas Murphy Offensive Rebound.,7,21
10:09,111,Tomas Murphy made Layup.,9,21
9:50,194,Keita Bates-Diop made Jumper.,9,23
9:22,111,Tomas Murphy missed Jumper.,9,23
9:22,194,Andrew Dakich Defensive Rebound.,9,23
9:17,194,Kaleb Wesson made Dunk. Assisted by Andrew Dakich.,9,25
8:44,111,Shawn Occeus missed Three Point Jumper.,9,25
8:44,194,Kam Williams Defensive Rebound.,9,25
8:36,194,Keita Bates-Diop made Three Point Jumper. Assisted by Andrew Dakich.,9,28
8:10,111,Tomas Murphy missed Jumper.,9,28
8:10,194,Keita Bates-Diop Block.,9,28
8:08,194,Keita Bates-Diop Defensive Rebound.,9,28
8:03,194,Keita Bates-Diop made Layup.,9,30
8:00,111,Northeastern  Timeout,9,30
8:00,194,Official TV Timeout,9,30
7:46,111,Maxime Boursiquot missed Three Point Jumper.,9,30
7:46,194,Musa Jallow Defensive Rebound.,9,30
7:26,194,Andrew Dakich made Layup.,9,32
7:11,111,Devon Begley missed Three Point Jumper.,9,32
7:11,194,Musa Jallow Defensive Rebound.,9,32
7:03,111,Foul on Vasa Pusica.,9,32
6:45,194,Jae'Sean Tate made Layup.,9,34
6:19,111,Donnell Gresham Jr. Turnover.,9,34
6:18,194,Jae'Sean Tate Steal.,9,34
6:16,194,Micah Potter Turnover.,9,34
6:04,111,Bolden Brace missed Three Point Jumper.,9,34
6:04,194,Keita Bates-Diop Defensive Rebound.,9,34
5:55,194,Keita Bates-Diop missed Three Point Jumper.,9,34
5:55,111,Bolden Brace Defensive Rebound.,9,34
5:41,111,Anthony Green Turnover.,9,34
5:41,111,Foul on Anthony Green.,9,34
5:26,111,Foul on Bolden Brace.,9,34
5:26,194,Keita Bates-Diop made Free Throw.,9,35
5:26,194,Keita Bates-Diop made Free Throw.,9,36
5:12,111,Donnell Gresham Jr. made Three Point Jumper. Assisted by Vasa Pusica.,12,36
4:57,111,Foul on Vasa Pusica.,12,36
4:57,194,C.J. Jackson made Free Throw.,12,37
4:57,194,C.J. Jackson made Free Throw.,12,38
4:50,111,Vasa Pusica missed Layup.,12,38
4:50,194,Kyle Young Block.,12,38
4:49,194,Kyle Young Defensive Rebound.,12,38
4:45,194,Kam Williams missed Three Point Jumper.,12,38
4:45,111,Vasa Pusica Defensive Rebound.,12,38
4:32,111,Vasa Pusica Turnover.,12,38
4:19,194,Keita Bates-Diop made Layup. Assisted by C.J. Jackson.,12,40
4:19,111,Foul on Jeremy Miller.,12,40
4:19,194,Keita Bates-Diop made Free Throw.,12,41
4:10,111,Donnell Gresham Jr. Turnover.,12,41
3:57,111,Foul on Jeremy Miller.,12,41
3:57,194,Official TV Timeout,12,41
3:57,194,Kaleb Wesson made Free Throw.,12,42
3:57,194,Kaleb Wesson made Free Throw.,12,43
3:42,111,Derrick Cook missed Layup.,12,43
3:42,194,Kaleb Wesson Defensive Rebound.,12,43
3:23,194,Andre Wesson missed Three Point Jumper.,12,43
3:23,194,Kaleb Wesson Offensive Rebound.,12,43
3:20,111,Foul on Devon Begley.,12,43
3:20,194,Kaleb Wesson made Free Throw.,12,44
3:20,194,Kaleb Wesson made Free Throw.,12,45
3:00,111,Donnell Gresham Jr. made Three Point Jumper. Assisted by Devon Begley.,15,45
2:43,194,C.J. Jackson missed Jumper.,15,45
2:43,111,Donnell Gresham Jr. Defensive Rebound.,15,45
2:29,194,Foul on C.J. Jackson.,15,45
2:15,111,Devon Begley made Jumper.,17,45
1:51,194,Kaleb Wesson missed Layup.,17,45
1:51,111,Bolden Brace Block.,17,45
1:48,111,Shawn Occeus Defensive Rebound.,17,45
1:33,111,Shawn Occeus Turnover.,17,45
1:33,111,Foul on Shawn Occeus.,17,45
1:09,194,Andre Wesson Turnover.,17,45
1:09,111,Shawn Occeus Steal.,17,45
1:09,194,Foul on Andre Wesson.,17,45
0:45,111,Donnell Gresham Jr. missed Jumper.,17,45
0:45,194,C.J. Jackson Defensive Rebound.,17,45
0:33,194,Jae'Sean Tate made Layup. Assisted by Kyle Young.,17,47
0:00,111,Devon Begley missed Three Point Jumper.,17,47
0:00,194,Jae'Sean Tate Defensive Rebound.,17,47
0:00,194,End of 1st half,17,47
19:35,194,C.J. Jackson missed Three Point Jumper.,17,47
19:35,111,Anthony Green Defensive Rebound.,17,47
19:30,111,Anthony Green Turnover.,17,47
19:29,194,Musa Jallow Steal.,17,47
19:28,194,Musa Jallow made Layup.,17,49
18:58,111,Vasa Pusica missed Three Point Jumper.,17,49
18:58,194,Micah Potter Defensive Rebound.,17,49
18:30,111,Foul on Anthony Green.,17,49
18:30,194,Jae'Sean Tate missed Free Throw.,17,49
18:30,194,Ohio State Deadball Team Rebound.,17,49
18:30,194,Jae'Sean Tate made Free Throw.,17,50
18:23,194,Foul on Musa Jallow.,17,50
18:11,194,Foul on Jae'Sean Tate.,17,50
18:11,111,Vasa Pusica made Free Throw.,18,50
18:11,111,Vasa Pusica made Free Throw.,19,50
17:55,194,Keita Bates-Diop made Three Point Jumper. Assisted by Micah Potter.,19,53
17:42,111,Vasa Pusica made Three Point Jumper. Assisted by Bolden Brace.,22,53
17:17,194,Micah Potter missed Jumper.,22,53
17:17,111,Devon Begley Defensive Rebound.,22,53
17:07,194,Foul on Jae'Sean Tate.,22,53
17:00,111,Vasa Pusica Turnover.,22,53
16:47,194,Jae'Sean Tate made Layup.,22,55
16:32,111,Devon Begley Turnover.,22,55
16:31,194,Kam Williams Steal.,22,55
16:20,111,Foul on Maxime Boursiquot.,22,55
16:20,194,Jae'Sean Tate missed Free Throw.,22,55
16:20,194,Ohio State Deadball Team Rebound.,22,55
16:20,194,Jae'Sean Tate made Free Throw.,22,56
15:52,194,Foul on Micah Potter.,22,56
15:52,194,Official TV Timeout,22,56
15:52,111,Donnell Gresham Jr. made Free Throw.,23,56
15:52,111,Donnell Gresham Jr. made Free Throw.,24,56
15:28,194,Keita Bates-Diop missed Three Point Jumper.,24,56
15:28,111,Anthony Green Defensive Rebound.,24,56
15:11,111,Donnell Gresham Jr. missed Three Point Jumper.,24,56
15:11,194,Keita Bates-Diop Block.,24,56
15:09,194,Jae'Sean Tate Defensive Rebound.,24,56
14:52,194,C.J. Jackson missed Jumper.,24,56
14:52,111,Bolden Brace Defensive Rebound.,24,56
14:43,111,Donnell Gresham Jr. missed Three Point Jumper.,24,56
14:43,111,Anthony Green Offensive Rebound.,24,56
14:40,111,Anthony Green missed Layup.,24,56
14:40,194,Keita Bates-Diop Defensive Rebound.,24,56
14:27,194,Kaleb Wesson missed Layup.,24,56
14:27,111,Maxime Boursiquot Defensive Rebound.,24,56
14:15,111,Bolden Brace made Three Point Jumper. Assisted by Donnell Gresham Jr..,27,56
13:57,194,Kam Williams Turnover.,27,56
13:56,111,Vasa Pusica Steal.,27,56
13:53,111,Donnell Gresham Jr. Turnover.,27,56
13:52,194,Kam Williams Steal.,27,56
13:50,194,C.J. Jackson made Layup. Assisted by Kam Williams.,27,58
13:27,111,Vasa Pusica made Layup.,29,58
13:27,194,Foul on Kaleb Wesson.,29,58
13:27,111,Vasa Pusica made Free Throw.,30,58
13:19,194,Kam Williams made Three Point Jumper. Assisted by Jae'Sean Tate.,30,61
12:57,111,Anthony Green made Dunk. Assisted by Bolden Brace.,32,61
12:24,111,Foul on Vasa Pusica.,32,61
12:24,194,Kam Williams made Free Throw.,32,62
12:24,194,Kam Williams made Free Throw.,32,63
12:00,111,Shawn Occeus made Jumper.,34,63
11:35,194,Official TV Timeout,34,63
11:26,194,Kaleb Wesson missed Jumper.,34,63
11:26,111,Donnell Gresham Jr. Defensive Rebound.,34,63
11:15,111,Donnell Gresham Jr. made Three Point Jumper. Assisted by Bolden Brace.,37,63
11:05,194,Kam Williams missed Three Point Jumper.,37,63
11:05,194,Kaleb Wesson Offensive Rebound.,37,63
11:03,111,Foul on Maxime Boursiquot.,37,63
10:55,194,Andre Wesson missed Three Point Jumper.,37,63
10:55,194,Andrew Dakich Offensive Rebound.,37,63
10:31,194,Kam Williams missed Jumper.,37,63
10:31,111,Maxime Boursiquot Defensive Rebound.,37,63
10:08,111,Bolden Brace missed Three Point Jumper.,37,63
10:08,194,Andrew Dakich Defensive Rebound.,37,63
10:06,111,Foul on Maxime Boursiquot.,37,63
9:51,194,Kam Williams missed Jumper.,37,63
9:51,111,Anthony Green Defensive Rebound.,37,63
9:44,111,Bolden Brace missed Three Point Jumper.,37,63
9:44,111,Anthony Green Offensive Rebound.,37,63
9:40,194,Foul on Musa Jallow.,37,63
9:25,111,Tomas Murphy Turnover.,37,63
9:21,194,Jae'Sean Tate Steal.,37,63
9:18,194,C.J. Jackson missed Layup.,37,63
9:18,111,Bolden Brace Defensive Rebound.,37,63
9:13,111,Shawn Occeus missed Three Point Jumper.,37,63
9:13,111,Tomas Murphy Offensive Rebound.,37,63
9:11,111,Tomas Murphy missed Layup.,37,63
9:11,111,Anthony Green Offensive Rebound.,37,63
9:07,111,Anthony Green made Two Point Tip Shot.,39,63
8:36,194,Keita Bates-Diop missed Three Point Jumper.,39,63
8:36,194,Micah Potter Offensive Rebound.,39,63
8:27,194,Musa Jallow missed Three Point Jumper.,39,63
8:27,111,Donnell Gresham Jr. Defensive Rebound.,39,63
8:05,111,Anthony Green made Layup.,41,63
7:44,111,Foul on Bolden Brace.,41,63
7:44,194,Official TV Timeout,41,63
7:36,194,Jae'Sean Tate made Layup.,41,65
7:36,111,Foul on Bolden Brace.,41,65
7:36,194,Jae'Sean Tate made Free Throw.,41,66
7:23,194,Foul on Keita Bates-Diop.,41,66
7:23,111,Bolden Brace missed Free Throw.,41,66
7:23,194,Keita Bates-Diop Defensive Rebound.,41,66
7:12,194,Jae'Sean Tate made Layup.,41,68
6:56,194,Foul on Kaleb Wesson.,41,68
6:56,111,Shawn Occeus missed Free Throw.,41,68
6:56,111,Northeastern Deadball Team Rebound.,41,68
6:56,111,Shawn Occeus made Free Throw.,42,68
6:38,194,Keita Bates-Diop missed Jumper.,42,68
6:38,111,Donnell Gresham Jr. Defensive Rebound.,42,68
6:24,111,Shawn Occeus missed Three Point Jumper.,42,68
6:24,111,Jeremy Miller Offensive Rebound.,42,68
6:20,111,Donnell Gresham Jr. missed Three Point Jumper.,42,68
6:20,194,Keita Bates-Diop Defensive Rebound.,42,68
6:09,194,C.J. Jackson missed Three Point Jumper.,42,68
6:09,111,Bolden Brace Defensive Rebound.,42,68
6:02,111,Shawn Occeus made Layup. Assisted by Bolden Brace.,44,68
5:54,111,Foul on Shawn Occeus.,44,68
5:54,194,C.J. Jackson made Free Throw.,44,69
5:54,194,C.J. Jackson made Free Throw.,44,70
5:49,111,Bolden Brace Turnover.,44,70
5:30,194,Kaleb Wesson made Layup. Assisted by C.J. Jackson.,44,72
5:09,111,Jeremy Miller made Layup. Assisted by Shawn Occeus.,46,72
4:52,111,Foul on Tomas Murphy.,46,72
4:52,194,Keita Bates-Diop made Free Throw.,46,73
4:52,194,Keita Bates-Diop missed Free Throw.,46,73
4:52,111,Shawn Occeus Defensive Rebound.,46,73
4:24,111,Anthony Green missed Layup.,46,73
4:24,194,Kaleb Wesson Block.,46,73
4:23,194,Jae'Sean Tate Defensive Rebound.,46,73
4:21,194,Jae'Sean Tate Turnover.,46,73
4:20,111,Shawn Occeus Steal.,46,73
4:18,111,Shawn Occeus made Layup.,48,73
3:56,194,Keita Bates-Diop missed Jumper.,48,73
3:56,194,Kaleb Wesson Offensive Rebound.,48,73
3:52,194,Kaleb Wesson made Layup.,48,75
3:21,111,Vasa Pusica missed Three Point Jumper.,48,75
3:21,194,Musa Jallow Defensive Rebound.,48,75
3:03,194,Musa Jallow Turnover.,48,75
2:58,111,Shawn Occeus made Dunk. Assisted by Vasa Pusica.,50,75
2:57,194,Official TV Timeout,50,75
2:34,194,Andrew Dakich made Jumper.,50,77
2:13,111,Vasa Pusica missed Jumper.,50,77
2:13,194,Kyle Young Defensive Rebound.,50,77
1:57,111,Foul on Anthony Green.,50,77
1:57,194,Kaleb Wesson made Free Throw.,50,78
1:57,194,Kaleb Wesson missed Free Throw.,50,78
1:57,111,Anthony Green Defensive Rebound.,50,78
1:39,111,Myles Franklin made Layup.,52,78
1:31,194,Ohio State  Timeout,52,78
1:19,194,Kyle Young made Layup. Assisted by Andre Wesson.,52,80
1:01,111,Jason Strong Turnover.,52,80
0:47,194,Joey Lane missed Layup.,52,80
0:47,194,Andre Wesson Offensive Rebound.,52,80
0:43,194,Andre Wesson Turnover.,52,80
0:38,111,Myles Franklin made Three Point Jumper. Assisted by Derrick Cook.,55,80
0:24,194,Andre Wesson missed Jumper.,55,80
0:24,111,Shawn Occeus Defensive Rebound.,55,80
0:18,111,Derrick Cook missed Layup.,55,80
0:18,194,Andre Wesson Block.,55,80
0:17,194,Kam Williams Defensive Rebound.,55,80
0:00,194,End of Game,55,80
