Army,179,St. Bonaventure,349
3:05,179,Idris Taqqee Defensive Rebound.,37,32
2:57,179,Jaylen Adams made Jumper.,37,34
2:34,349,Matthew Wilson Turnover.,37,34
2:15,179,Jaylen Adams made Layup.,37,36
2:14,349,Foul on Luke Morrison.,37,36
2:14,179,Jaylen Adams made Free Throw.,37,37
1:55,349,Luke Morrison missed Three Point Jumper.,37,37
1:55,349,Jacob Kessler Offensive Rebound.,37,37
1:46,349,Jordan Fox made Layup.,39,37
1:27,179,Jaylen Adams made Three Point Jumper. Assisted by Matt Mobley.,39,40
1:14,349,Thomas Funk made Layup.,41,40
1:00,349,Foul on Luke Morrison.,41,40
1:00,179,Denzel Gregg missed Free Throw.,41,40
1:00,179,St. Bonaventure Deadball Team Rebound.,41,40
1:00,349,Army  Timeout,41,40
1:00,179,Denzel Gregg made Free Throw.,41,41
0:44,179,Foul on Denzel Gregg.,41,41
0:44,349,Matthew Wilson missed Free Throw.,41,41
0:44,349,Army Deadball Team Rebound.,41,41
0:44,349,Matthew Wilson made Free Throw.,42,41
0:23,349,Foul on John Emezie.,42,41
0:23,179,Jaylen Adams made Free Throw.,42,42
0:23,179,Jaylen Adams made Free Throw.,42,43
0:03,179,Foul on Denzel Gregg.,42,43
0:03,349,John Emezie missed Free Throw.,42,43
0:03,349,Army Deadball Team Rebound.,42,43
0:03,349,John Emezie made Free Throw.,43,43
0:00,179,Jaylen Adams missed Three Point Jumper.,43,43
0:00,179,St. Bonaventure Deadball Team Rebound.,43,43
0:00,179,End of 1st half,43,43
19:31,349,Jordan Fox made Three Point Jumper.,46,43
19:08,349,Foul on Mac Hoffman.,46,43
19:08,179,Josh Ayeni made Free Throw.,46,44
19:08,179,Josh Ayeni made Free Throw.,46,45
18:58,349,Jacob Kessler missed Three Point Jumper.,46,45
18:58,179,Matt Mobley Defensive Rebound.,46,45
18:49,179,Matt Mobley made Layup.,46,47
18:33,349,Jordan Fox made Three Point Jumper. Assisted by Jacob Kessler.,49,47
18:22,179,Matt Mobley missed Jumper.,49,47
18:22,179,Idris Taqqee Offensive Rebound.,49,47
18:17,179,Matt Mobley missed Three Point Jumper.,49,47
18:17,179,Denzel Gregg Offensive Rebound.,49,47
18:12,179,Denzel Gregg made Layup.,49,49
17:53,349,Mac Hoffman missed Layup.,49,49
17:53,179,Matt Mobley Defensive Rebound.,49,49
17:42,179,Denzel Gregg made Jumper. Assisted by Jaylen Adams.,49,51
17:35,179,Foul on Idris Taqqee.,49,51
17:29,349,Mac Hoffman missed Layup.,49,51
17:29,179,St. Bonaventure Defensive Rebound.,49,51
17:28,179,Denzel Gregg missed Three Point Jumper.,49,51
17:28,349,Jordan Fox Defensive Rebound.,49,51
17:04,349,Jordan Fox Turnover.,49,51
17:04,179,Idris Taqqee Steal.,49,51
16:57,349,Foul on Jordan Fox.,49,51
16:57,179,Jaylen Adams missed Free Throw.,49,51
16:57,179,St. Bonaventure Deadball Team Rebound.,49,51
16:57,179,Jaylen Adams made Free Throw.,49,52
16:42,349,Matthew Wilson Turnover.,49,52
16:41,179,Matt Mobley Turnover.,49,52
16:31,179,Foul on Josh Ayeni.,49,52
16:31,349,Jacob Kessler missed Free Throw.,49,52
16:31,349,Army Deadball Team Rebound.,49,52
16:31,349,Jacob Kessler missed Free Throw.,49,52
16:31,179,David Andoh Defensive Rebound.,49,52
16:11,179,David Andoh missed Three Point Jumper.,49,52
16:11,349,Jacob Kessler Defensive Rebound.,49,52
15:49,349,Luke Morrison missed Three Point Jumper.,49,52
15:49,179,David Andoh Defensive Rebound.,49,52
15:43,179,David Andoh Turnover.,49,52
15:43,179,Official TV Timeout,49,52
15:34,349,Jordan Fox made Layup.,51,52
15:08,179,David Andoh made Layup.,51,54
14:42,179,Foul on Jaylen Adams.,51,54
14:38,179,Foul on David Andoh.,51,54
14:18,349,Thomas Funk missed Layup.,51,54
14:18,349,Army Offensive Rebound.,51,54
14:08,349,Jacob Kessler missed Three Point Jumper.,51,54
14:08,179,Jaylen Adams Defensive Rebound.,51,54
14:01,179,Matt Mobley missed Three Point Jumper.,51,54
14:01,349,Army Defensive Rebound.,51,54
13:59,179,Foul on Idris Taqqee.,51,54
13:47,349,Jacob Kessler made Layup. Assisted by Kennedy Edwards.,53,54
13:32,179,Jaylen Adams Turnover.,53,54
13:16,349,Mac Hoffman made Layup. Assisted by Jacob Kessler.,55,54
13:16,179,Foul on LaDarien Griffin.,55,54
13:16,349,Mac Hoffman made Free Throw.,56,54
13:00,179,Denzel Gregg made Layup. Assisted by LaDarien Griffin.,56,56
12:50,349,Mac Hoffman made Layup. Assisted by Thomas Funk.,58,56
12:42,349,Foul on Mac Hoffman.,58,56
12:42,179,Matt Mobley made Free Throw.,58,57
12:42,179,Matt Mobley missed Free Throw.,58,57
12:42,349,Luke Morrison Defensive Rebound.,58,57
12:23,349,Jordan Fox made Three Point Jumper. Assisted by Thomas Funk.,61,57
12:12,349,Foul on John Emezie.,61,57
12:02,179,David Andoh missed Jumper.,61,57
12:02,349,Thomas Funk Defensive Rebound.,61,57
11:54,349,John Emezie Turnover.,61,57
11:54,179,Official TV Timeout,61,57
11:36,349,Foul on Luke Morrison.,61,57
11:30,179,David Andoh made Jumper.,61,59
11:29,349,Foul on John Emezie.,61,59
11:29,179,David Andoh missed Free Throw.,61,59
11:29,349,Matthew Wilson Defensive Rebound.,61,59
11:12,349,Kennedy Edwards missed Jumper.,61,59
11:12,179,David Andoh Defensive Rebound.,61,59
11:08,179,Jaylen Adams Turnover.,61,59
10:50,179,Foul on David Andoh.,61,59
10:50,349,Matthew Wilson made Free Throw.,62,59
10:50,349,Matthew Wilson made Free Throw.,63,59
10:37,179,David Andoh made Three Point Jumper. Assisted by Jaylen Adams.,63,62
10:27,349,Matthew Wilson missed Layup.,63,62
10:27,179,Denzel Gregg Block.,63,62
10:25,179,Jaylen Adams Defensive Rebound.,63,62
10:21,179,Matt Mobley missed Three Point Jumper.,63,62
10:21,349,Jacob Kessler Defensive Rebound.,63,62
10:04,349,Matthew Wilson missed Layup.,63,62
10:04,179,Denzel Gregg Defensive Rebound.,63,62
9:52,179,David Andoh made Three Point Jumper. Assisted by Jaylen Adams.,63,65
9:49,349,Army  Timeout,63,65
9:49,179,Official TV Timeout,63,65
9:40,179,Foul on Matt Mobley.,63,65
9:40,349,Jordan Fox made Free Throw.,64,65
9:40,349,Jordan Fox made Free Throw.,65,65
9:25,179,Jaylen Adams Turnover.,65,65
9:23,349,Matthew Wilson Steal.,65,65
9:11,349,Matthew Wilson made Layup. Assisted by Jacob Kessler.,67,65
8:55,179,David Andoh made Three Point Jumper. Assisted by Jaylen Adams.,67,68
8:30,349,Thomas Funk missed Jumper.,67,68
8:30,349,Kennedy Edwards Offensive Rebound.,67,68
8:28,179,Foul on Denzel Gregg.,67,68
8:28,349,Kennedy Edwards missed Free Throw.,67,68
8:28,349,Army Deadball Team Rebound.,67,68
8:28,349,Kennedy Edwards made Free Throw.,68,68
8:07,179,Jaylen Adams missed Three Point Jumper.,68,68
8:07,349,Thomas Funk Defensive Rebound.,68,68
7:58,349,Thomas Funk missed Jumper.,68,68
7:58,179,Jaylen Adams Defensive Rebound.,68,68
7:51,349,Foul on Jordan Fox.,68,68
7:51,179,Official TV Timeout,68,68
7:51,179,Jaylen Adams made Free Throw.,68,69
7:51,179,Jaylen Adams made Free Throw.,68,70
7:40,349,John Emezie Turnover.,68,70
7:24,349,Foul on Mac Hoffman.,68,70
7:24,179,Matt Mobley made Free Throw.,68,71
7:24,179,Matt Mobley made Free Throw.,68,72
7:09,349,Thomas Funk made Layup.,70,72
6:49,179,Denzel Gregg made Jumper. Assisted by Jaylen Adams.,70,74
6:33,349,Matthew Wilson Turnover.,70,74
6:17,179,Matt Mobley missed Layup.,70,74
6:17,179,Denzel Gregg Offensive Rebound.,70,74
6:14,179,Denzel Gregg missed Two Point Tip Shot.,70,74
6:14,349,Army Defensive Rebound.,70,74
5:49,349,Thomas Funk missed Jumper.,70,74
5:49,349,Jacob Kessler Offensive Rebound.,70,74
5:43,349,Army  Turnover.,70,74
5:26,179,Jaylen Adams missed Three Point Jumper.,70,74
5:26,179,Denzel Gregg Offensive Rebound.,70,74
5:20,179,Denzel Gregg made Jumper.,70,76
5:12,349,Jordan Fox missed Three Point Jumper.,70,76
5:12,349,Army Offensive Rebound.,70,76
5:02,349,Matthew Wilson made Layup. Assisted by Thomas Funk.,72,76
5:02,179,Foul on David Andoh.,72,76
5:02,349,Matthew Wilson made Free Throw.,73,76
4:42,179,Matt Mobley Turnover.,73,76
4:32,349,Jacob Kessler missed Jumper.,73,76
4:32,179,Matt Mobley Defensive Rebound.,73,76
4:17,179,David Andoh missed Jumper.,73,76
4:17,349,Jordan Fox Defensive Rebound.,73,76
4:06,349,Jordan Fox made Jumper.,75,76
3:46,179,Denzel Gregg made Layup. Assisted by Jaylen Adams.,75,78
3:41,349,Foul on Jacob Kessler.,75,78
3:41,349,Jacob Kessler Turnover.,75,78
3:41,179,Official TV Timeout,75,78
3:19,179,Jaylen Adams made Three Point Jumper.,75,81
3:02,349,John Emezie missed Jumper.,75,81
3:02,179,Denzel Gregg Defensive Rebound.,75,81
2:31,179,Idris Taqqee missed Layup.,75,81
2:31,179,St. Bonaventure Offensive Rebound.,75,81
2:30,349,Foul on Luke Morrison.,75,81
2:30,179,Denzel Gregg made Free Throw.,75,82
2:30,179,Denzel Gregg made Free Throw.,75,83
2:02,349,Jordan Fox missed Three Point Jumper.,75,83
2:02,179,Denzel Gregg Defensive Rebound.,75,83
1:39,179,Jaylen Adams made Layup.,75,85
1:32,349,Matthew Wilson made Layup. Assisted by Thomas Funk.,77,85
1:29,349,Army  Timeout,77,85
1:19,179,David Andoh Turnover.,77,85
1:10,349,Foul on Thomas Funk.,77,85
1:10,349,Thomas Funk Turnover.,77,85
1:08,349,Foul on Jacob Kessler.,77,85
1:08,179,Jaylen Adams made Free Throw.,77,86
1:08,179,Jaylen Adams made Free Throw.,77,87
1:03,349,Thomas Funk missed Layup.,77,87
1:03,349,Matthew Wilson Offensive Rebound.,77,87
1:00,349,Matthew Wilson made Two Point Tip Shot.,79,87
0:54,349,Foul on Scott Mammel.,79,87
0:54,179,Denzel Gregg made Free Throw.,79,88
0:54,179,Denzel Gregg made Free Throw.,79,89
0:44,349,Matthew Wilson made Layup. Assisted by Jordan Fox.,81,89
0:36,349,Foul on Scott Mammel.,81,89
0:36,179,Jaylen Adams missed Free Throw.,81,89
0:36,179,St. Bonaventure Deadball Team Rebound.,81,89
0:36,179,Jaylen Adams made Free Throw.,81,90
0:29,349,Jacob Kessler made Layup.,83,90
0:28,349,Army  Timeout,83,90
0:20,349,Foul on Thomas Funk.,83,90
0:20,179,Jaylen Adams made Free Throw.,83,91
0:20,179,Jaylen Adams made Free Throw.,83,92
0:13,349,Jacob Kessler missed Three Point Jumper.,83,92
0:13,349,Matthew Wilson Offensive Rebound.,83,92
0:08,349,Matthew Wilson missed Jumper.,83,92
0:08,179,Denzel Gregg Defensive Rebound.,83,92
0:00,179,End of Game,83,92
