Cornell,30,USC,172
4:27,30,Chimezie Metu made Layup.,31,30
4:00,172,Robert Hatter missed Three Point Jumper.,31,30
4:00,30,Chimezie Metu Defensive Rebound.,31,30
3:53,30,De'Anthony Melton missed Three Point Jumper.,31,30
3:53,172,Matt Morgan Defensive Rebound.,31,30
3:33,172,Robert Hatter made Three Point Jumper. Assisted by Matt Morgan.,34,30
3:11,30,Jordan McLaughlin missed Three Point Jumper.,34,30
3:11,30,USC Offensive Rebound.,34,30
3:09,30,Official TV Timeout,34,30
2:56,30,Elijah Stewart missed Three Point Jumper.,34,30
2:56,172,Robert Hatter Defensive Rebound.,34,30
2:25,172,Troy Whiteside missed Jumper.,34,30
2:25,30,De'Anthony Melton Defensive Rebound.,34,30
2:13,30,Elijah Stewart missed Three Point Jumper.,34,30
2:13,172,Darryl Smith Defensive Rebound.,34,30
1:58,172,Robert Hatter missed Layup.,34,30
1:58,30,Charles Buggs Defensive Rebound.,34,30
1:51,30,De'Anthony Melton made Layup. Assisted by Jordan McLaughlin.,34,32
1:37,172,Stone Gettings missed Jumper.,34,32
1:37,30,Elijah Stewart Defensive Rebound.,34,32
1:28,30,Jordan McLaughlin made Layup.,34,34
0:51,172,Matt Morgan missed Three Point Jumper.,34,34
0:51,30,Elijah Stewart Defensive Rebound.,34,34
0:45,30,Elijah Stewart made Three Point Jumper. Assisted by Jordan McLaughlin.,34,37
0:22,172,Matt Morgan missed Three Point Jumper.,34,37
0:22,30,Elijah Stewart Defensive Rebound.,34,37
0:07,30,Elijah Stewart missed Three Point Jumper.,34,37
0:03,30,De'Anthony Melton Offensive Rebound.,34,37
0:00,30,End of 1st half,34,37
19:39,172,Matt Morgan missed Three Point Jumper.,34,37
19:39,172,Stone Gettings Offensive Rebound.,34,37
19:36,172,Stone Gettings missed Layup.,34,37
19:36,30,Charles Buggs Block.,34,37
19:36,30,Charles Buggs Defensive Rebound.,34,37
19:21,30,Elijah Stewart made Jumper.,34,39
19:05,172,Stone Gettings made Three Point Jumper. Assisted by Robert Hatter.,37,39
18:46,172,Foul on Stone Gettings.,37,39
18:31,172,Foul on Troy Whiteside.,37,39
18:31,30,Chimezie Metu made Free Throw.,37,40
18:31,30,Chimezie Metu made Free Throw.,37,41
18:18,172,Robert Hatter missed Layup.,37,41
18:18,30,Charles Buggs Defensive Rebound.,37,41
18:11,30,Jordan McLaughlin missed Layup.,37,41
18:11,30,Charles Buggs Offensive Rebound.,37,41
18:10,30,Charles Buggs missed Two Point Tip Shot.,37,41
18:10,172,Stone Gettings Defensive Rebound.,37,41
18:00,172,Robert Hatter made Layup.,39,41
17:50,172,Foul on Troy Whiteside.,39,41
17:40,30,Chimezie Metu missed Jumper.,39,41
17:40,172,JoJo Fallas Defensive Rebound.,39,41
17:33,172,Robert Hatter missed Three Point Jumper.,39,41
17:33,30,Charles Buggs Defensive Rebound.,39,41
17:22,30,Shaqquan Aaron made Jumper.,39,43
17:09,172,Matt Morgan missed Jumper.,39,43
17:09,30,Elijah Stewart Block.,39,43
17:06,30,Chimezie Metu Defensive Rebound.,39,43
17:00,30,Jordan McLaughlin missed Three Point Jumper.,39,43
17:00,172,Stone Gettings Defensive Rebound.,39,43
16:50,172,Robert Hatter Turnover.,39,43
16:32,30,Nick Rakocevic made Layup. Assisted by Jordan McLaughlin.,39,45
16:12,172,Josh Warren missed Jumper.,39,45
16:12,30,Nick Rakocevic Block.,39,45
16:11,30,Shaqquan Aaron Defensive Rebound.,39,45
16:09,30,Nick Rakocevic Turnover.,39,45
15:40,172,Darryl Smith missed Jumper.,39,45
15:40,30,Shaqquan Aaron Defensive Rebound.,39,45
15:25,30,Elijah Stewart missed Layup.,39,45
15:25,30,Nick Rakocevic Offensive Rebound.,39,45
15:23,30,Nick Rakocevic missed Two Point Tip Shot.,39,45
15:23,172,JoJo Fallas Defensive Rebound.,39,45
15:18,172,Darryl Smith made Layup. Assisted by JoJo Fallas.,41,45
15:11,30,Official TV Timeout,41,45
15:05,30,Jonah Mathews missed Jumper.,41,45
15:05,30,Jordan McLaughlin Offensive Rebound.,41,45
14:58,30,Jordan McLaughlin made Layup.,41,47
14:23,30,Foul on Jonah Mathews.,41,47
14:21,172,Matt Morgan missed Jumper.,41,47
14:21,30,Elijah Stewart Block.,41,47
14:20,30,Jordan McLaughlin Defensive Rebound.,41,47
14:15,172,Foul on Josh Warren.,41,47
14:15,30,Jonah Mathews missed Free Throw.,41,47
14:15,30,USC Deadball Team Rebound.,41,47
14:15,30,Jonah Mathews missed Free Throw.,41,47
14:15,172,Stone Gettings Defensive Rebound.,41,47
13:49,172,Stone Gettings missed Three Point Jumper.,41,47
13:49,30,Jordan McLaughlin Defensive Rebound.,41,47
13:38,30,Chimezie Metu made Layup. Assisted by Jordan McLaughlin.,41,49
13:17,172,Josh Warren made Jumper. Assisted by Stone Gettings.,43,49
13:00,30,Jonah Mathews missed Three Point Jumper.,43,49
13:00,172,Stone Gettings Defensive Rebound.,43,49
12:36,172,Matt Morgan Turnover.,43,49
12:21,30,Chimezie Metu made Jumper. Assisted by Jordan McLaughlin.,43,51
12:02,172,Josh Warren made Jumper.,45,51
11:41,30,Nick Rakocevic made Layup. Assisted by Jordan McLaughlin.,45,53
11:26,172,JoJo Fallas Turnover.,45,53
11:26,30,Official TV Timeout,45,53
11:00,30,Shaqquan Aaron made Jumper.,45,55
10:42,172,Stone Gettings missed Layup.,45,55
10:42,30,Elijah Stewart Block.,45,55
10:42,172,Cornell Offensive Rebound.,45,55
10:32,172,JoJo Fallas missed Three Point Jumper.,45,55
10:32,30,Nick Rakocevic Defensive Rebound.,45,55
10:22,30,Shaqquan Aaron missed Three Point Jumper.,45,55
10:22,30,De'Anthony Melton Offensive Rebound.,45,55
10:18,30,De'Anthony Melton missed Layup.,45,55
10:18,172,Stone Gettings Block.,45,55
10:16,30,Chimezie Metu Offensive Rebound.,45,55
10:14,172,Foul on Matt Morgan.,45,55
10:03,30,Nick Rakocevic missed Layup.,45,55
10:03,30,Nick Rakocevic Offensive Rebound.,45,55
10:00,30,Nick Rakocevic missed Two Point Tip Shot.,45,55
10:00,172,Wil Bathurst Defensive Rebound.,45,55
9:53,172,Wil Bathurst missed Three Point Jumper.,45,55
9:53,30,USC Defensive Rebound.,45,55
9:29,30,Elijah Stewart missed Jumper.,45,55
9:29,172,Matt Morgan Defensive Rebound.,45,55
9:08,172,Stone Gettings made Layup.,47,55
8:48,30,Nick Rakocevic made Dunk. Assisted by Shaqquan Aaron.,47,57
8:29,172,Stone Gettings made Three Point Jumper. Assisted by JoJo Fallas.,50,57
8:10,30,De'Anthony Melton missed Layup.,50,57
8:10,30,Nick Rakocevic Offensive Rebound.,50,57
8:08,30,Nick Rakocevic made Two Point Tip Shot.,50,59
8:01,172,Robert Hatter made Layup.,52,59
7:48,30,USC  Timeout,52,59
7:38,30,Charles Buggs made Layup. Assisted by Shaqquan Aaron.,52,61
7:20,172,Matt Morgan made Three Point Jumper. Assisted by Stone Gettings.,55,61
6:49,30,Jordan McLaughlin made Jumper.,55,63
6:38,172,Stone Gettings missed Three Point Jumper.,55,63
6:38,30,Shaqquan Aaron Defensive Rebound.,55,63
6:28,30,Charles Buggs made Three Point Jumper. Assisted by Chimezie Metu.,55,66
6:07,172,Robert Hatter missed Three Point Jumper.,55,66
6:07,30,Shaqquan Aaron Defensive Rebound.,55,66
6:05,172,Foul on Donovan Wright.,55,66
6:05,30,Official TV Timeout,55,66
5:42,30,Chimezie Metu Turnover.,55,66
5:41,172,Stone Gettings Steal.,55,66
5:35,172,Robert Hatter missed Three Point Jumper.,55,66
5:35,30,Elijah Stewart Defensive Rebound.,55,66
5:22,30,Jordan McLaughlin made Three Point Jumper. Assisted by Charles Buggs.,55,69
5:09,172,Wil Bathurst missed Three Point Jumper.,55,69
5:09,30,Chimezie Metu Defensive Rebound.,55,69
5:00,30,Chimezie Metu Turnover.,55,69
5:00,30,Foul on Chimezie Metu.,55,69
4:45,172,Matt Morgan made Three Point Jumper. Assisted by JoJo Fallas.,58,69
4:15,30,Elijah Stewart missed Three Point Jumper.,58,69
4:15,172,Josh Warren Defensive Rebound.,58,69
4:00,172,Matt Morgan made Three Point Jumper. Assisted by JoJo Fallas.,61,69
3:36,30,Shaqquan Aaron missed Jumper.,61,69
3:36,172,JoJo Fallas Defensive Rebound.,61,69
3:19,172,Josh Warren Turnover.,61,69
3:18,30,Jordan McLaughlin Steal.,61,69
3:15,172,Foul on JoJo Fallas.,61,69
3:15,30,Official TV Timeout,61,69
3:15,30,Elijah Stewart missed Free Throw.,61,69
3:15,30,USC Deadball Team Rebound.,61,69
3:15,30,Elijah Stewart missed Free Throw.,61,69
3:15,172,Robert Hatter Defensive Rebound.,61,69
2:55,172,Stone Gettings made Layup.,63,69
2:37,30,Jonah Mathews made Three Point Jumper. Assisted by Shaqquan Aaron.,63,72
2:08,172,Robert Hatter missed Layup.,63,72
2:08,30,Elijah Stewart Defensive Rebound.,63,72
2:04,172,Foul on Stone Gettings.,63,72
2:04,30,Jordan McLaughlin made Free Throw.,63,73
2:04,30,Jordan McLaughlin made Free Throw.,63,74
1:48,172,Cornell  Timeout,63,74
1:41,172,Stone Gettings made Layup. Assisted by Troy Whiteside.,65,74
1:41,30,Foul on Jonah Mathews.,65,74
1:41,172,Stone Gettings missed Free Throw.,65,74
1:41,172,Cornell Deadball Team Rebound.,65,74
1:25,172,Josh Warren Turnover.,65,74
1:24,30,Charles Buggs Steal.,65,74
1:19,172,Robert Hatter Turnover.,65,74
1:18,30,Jordan McLaughlin Steal.,65,74
1:13,172,Foul on Robert Hatter.,65,74
1:13,30,Jonah Mathews made Free Throw.,65,75
1:13,30,Jonah Mathews made Free Throw.,65,76
1:00,172,Robert Hatter made Jumper.,67,76
0:57,172,Foul on Matt Morgan.,67,76
0:57,30,De'Anthony Melton made Free Throw.,67,77
0:57,30,De'Anthony Melton made Free Throw.,67,78
0:53,172,Matt Morgan missed Three Point Jumper.,67,78
0:53,172,Cornell Deadball Team Rebound.,67,78
0:46,30,Foul on Shaqquan Aaron.,67,78
0:46,172,Cornell  Timeout,67,78
0:45,172,Matt Morgan missed Three Point Jumper.,67,78
0:45,30,De'Anthony Melton Defensive Rebound.,67,78
0:41,172,Foul on Robert Hatter.,67,78
0:41,30,De'Anthony Melton made Free Throw.,67,79
0:41,30,De'Anthony Melton missed Free Throw.,67,79
0:41,172,Stone Gettings Defensive Rebound.,67,79
0:33,172,Matt Morgan missed Layup.,67,79
0:33,30,De'Anthony Melton Block.,67,79
0:32,172,Matt Morgan Offensive Rebound.,67,79
0:31,172,Matt Morgan missed Layup.,67,79
0:31,30,Chimezie Metu Block.,67,79
0:29,172,Matt Morgan Offensive Rebound.,67,79
0:25,172,Stone Gettings Turnover.,67,79
0:00,30,End of Game,67,79
