The Citadel,2378,UMBC,2643
6:35,2643,Leandro Allende Defensive Rebound.,26,29
6:25,2643,Foul on Zane Najdawi.,26,29
6:25,2643,Zane Najdawi Turnover.,26,29
6:06,2378,Malcolm Brent made Layup.,26,31
5:56,2643,Leandro Allende made Layup.,28,31
5:46,2378,Malcolm Brent missed Layup.,28,31
5:46,2378,Nolan Gerrity Offensive Rebound.,28,31
5:43,2378,Nolan Gerrity missed Dunk.,28,31
5:43,2643,Tom Koopman Defensive Rebound.,28,31
5:35,2643,Preston Parks missed Jumper.,28,31
5:35,2643,Preston Parks Offensive Rebound.,28,31
5:32,2643,Preston Parks made Layup.,30,31
5:22,2378,Jairus Lyles made Layup.,30,33
5:13,2643,Tom Koopman missed Layup.,30,33
5:13,2378,Nolan Gerrity Block.,30,33
5:11,2643,Tom Koopman Offensive Rebound.,30,33
5:09,2643,Tom Koopman missed Layup.,30,33
5:09,2378,Joe Sherburne Defensive Rebound.,30,33
5:02,2378,Malcolm Brent missed Three Point Jumper.,30,33
5:02,2378,Nolan Gerrity Offensive Rebound.,30,33
4:55,2378,Nolan Gerrity Turnover.,30,33
4:53,2643,Brian White Steal.,30,33
4:50,2643,Leandro Allende missed Three Point Jumper.,30,33
4:50,2643,Brian White Offensive Rebound.,30,33
4:47,2643,Brian White missed Layup.,30,33
4:47,2643,Brian White Offensive Rebound.,30,33
4:43,2643,Brian White missed Layup.,30,33
4:43,2378,Nolan Gerrity Defensive Rebound.,30,33
4:25,2378,Jairus Lyles made Jumper.,30,35
4:17,2643,Warren Sledge made Three Point Jumper. Assisted by Preston Parks.,33,35
4:16,2643,The Citadel  Timeout,33,35
4:16,2378,Official TV Timeout,33,35
4:05,2378,Jourdan Grant made Layup.,33,37
3:43,2643,Ezekiel Balogun missed Three Point Jumper.,33,37
3:43,2378,Joe Sherburne Defensive Rebound.,33,37
3:29,2378,Joe Sherburne Turnover.,33,37
3:14,2643,Ezekiel Balogun made Layup.,35,37
3:01,2378,Malcolm Brent made Three Point Jumper. Assisted by Jourdan Grant.,35,40
2:49,2643,Zane Najdawi missed Layup.,35,40
2:49,2378,Max Curran Block.,35,40
2:47,2643,Zane Najdawi Offensive Rebound.,35,40
2:44,2643,Frankie Johnson missed Three Point Jumper.,35,40
2:44,2643,Zane Najdawi Offensive Rebound.,35,40
2:42,2378,Foul on Malcolm Brent.,35,40
2:40,2378,Foul on Max Curran.,35,40
2:40,2643,Zane Najdawi made Free Throw.,36,40
2:40,2643,Zane Najdawi made Free Throw.,37,40
2:12,2378,Joe Sherburne missed Jumper.,37,40
2:12,2643,Zane Najdawi Defensive Rebound.,37,40
2:01,2643,Matt Frierson missed Three Point Jumper.,37,40
2:01,2378,K.J. Maura Defensive Rebound.,37,40
1:54,2378,Jourdan Grant made Layup.,37,42
1:33,2378,Foul on Max Curran.,37,42
1:33,2643,Zane Najdawi missed Free Throw.,37,42
1:33,2643,The Citadel Deadball Team Rebound.,37,42
1:33,2643,Zane Najdawi made Free Throw.,38,42
1:22,2378,Nolan Gerrity made Layup. Assisted by K.J. Maura.,38,44
1:05,2643,Kaelon Harris missed Layup.,38,44
1:05,2378,K.J. Maura Defensive Rebound.,38,44
0:53,2378,Nolan Gerrity Turnover.,38,44
0:51,2643,Frankie Johnson Steal.,38,44
0:38,2643,Frankie Johnson missed Three Point Jumper.,38,44
0:38,2378,Nolan Gerrity Block.,38,44
0:35,2378,Jourdan Grant Defensive Rebound.,38,44
0:10,2378,K.J. Maura Turnover.,38,44
0:03,2643,Quayson Williams Turnover.,38,44
0:03,2378,UMBC  Timeout,38,44
0:01,2378,Will Darley missed Three Point Jumper.,38,44
0:00,2643,The Citadel Defensive Rebound.,38,44
0:00,2378,End of 1st half,38,44
19:36,2378,Jairus Lyles made Jumper. Assisted by Joe Sherburne.,38,46
19:21,2643,Zane Najdawi missed Layup.,38,46
19:21,2378,Will Darley Defensive Rebound.,38,46
19:14,2378,Joe Sherburne missed Three Point Jumper.,38,46
19:14,2378,Nolan Gerrity Offensive Rebound.,38,46
18:59,2643,Foul on Frankie Johnson.,38,46
18:51,2378,Jairus Lyles missed Jumper.,38,46
18:51,2643,Warren Sledge Defensive Rebound.,38,46
18:40,2643,Brian White made Layup.,40,46
18:34,2378,Nolan Gerrity made Layup.,40,48
18:34,2643,Foul on Zane Najdawi.,40,48
18:34,2378,Nolan Gerrity missed Free Throw.,40,48
18:34,2378,Jairus Lyles Offensive Rebound.,40,48
18:23,2378,Joe Sherburne missed Jumper.,40,48
18:23,2378,Joe Sherburne Offensive Rebound.,40,48
18:20,2378,Joe Sherburne made Layup.,40,50
18:08,2643,Frankie Johnson made Layup.,42,50
17:48,2378,Will Darley Turnover.,42,50
17:39,2643,Brian White missed Layup.,42,50
17:39,2378,Nolan Gerrity Block.,42,50
17:35,2378,Jairus Lyles Defensive Rebound.,42,50
17:31,2378,Jairus Lyles made Layup.,42,52
17:15,2643,Preston Parks missed Three Point Jumper.,42,52
17:15,2643,Zane Najdawi Offensive Rebound.,42,52
17:09,2643,Kaelon Harris Turnover.,42,52
17:06,2378,Nolan Gerrity Steal.,42,52
17:05,2378,Nolan Gerrity Turnover.,42,52
17:04,2643,Brian White Steal.,42,52
17:02,2643,Frankie Johnson made Three Point Jumper. Assisted by Brian White.,45,52
16:47,2378,Jairus Lyles made Three Point Jumper.,45,55
16:38,2643,Brian White made Layup. Assisted by Frankie Johnson.,47,55
16:22,2378,Jairus Lyles missed Jumper.,47,55
16:22,2643,Brian White Defensive Rebound.,47,55
16:21,2378,Foul on Nolan Gerrity.,47,55
16:02,2643,Preston Parks missed Jumper.,47,55
16:02,2643,Brian White Offensive Rebound.,47,55
15:59,2643,Brian White made Layup.,49,55
15:46,2378,Jairus Lyles missed Three Point Jumper.,49,55
15:46,2378,K.J. Maura Offensive Rebound.,49,55
15:26,2378,Arkel Lamar missed Three Point Jumper.,49,55
15:26,2643,Frankie Johnson Defensive Rebound.,49,55
15:18,2643,Preston Parks missed Three Point Jumper.,49,55
15:18,2378,UMBC Defensive Rebound.,49,55
15:15,2378,Official TV Timeout,49,55
14:51,2378,Will Darley made Jumper. Assisted by K.J. Maura.,49,57
14:30,2643,Leandro Allende made Layup.,51,57
14:06,2643,Foul on Leandro Allende.,51,57
14:06,2378,Jourdan Grant made Free Throw.,51,58
14:06,2378,Jourdan Grant made Free Throw.,51,59
13:54,2643,Warren Sledge missed Three Point Jumper.,51,59
13:54,2378,Jairus Lyles Defensive Rebound.,51,59
13:48,2378,Jairus Lyles made Layup.,51,61
13:27,2643,Zane Najdawi made Layup. Assisted by Frankie Johnson.,53,61
13:13,2378,Foul on Arkel Lamar.,53,61
13:13,2378,Arkel Lamar Turnover.,53,61
13:05,2643,Brian White missed Three Point Jumper.,53,61
13:05,2378,Jairus Lyles Defensive Rebound.,53,61
12:58,2378,Jourdan Grant missed Layup.,53,61
12:58,2643,Zane Najdawi Defensive Rebound.,53,61
12:49,2643,Brian White made Layup. Assisted by Frankie Johnson.,55,61
12:31,2378,Jourdan Grant missed Layup.,55,61
12:31,2643,Zane Najdawi Block.,55,61
12:28,2643,Zane Najdawi Defensive Rebound.,55,61
12:24,2643,Quayson Williams missed Three Point Jumper.,55,61
12:24,2378,Jairus Lyles Defensive Rebound.,55,61
12:08,2378,Jairus Lyles made Jumper.,55,63
11:57,2378,Foul on K.J. Maura.,55,63
11:57,2378,Official TV Timeout,55,63
11:50,2643,Quayson Williams made Three Point Jumper. Assisted by Warren Sledge.,58,63
11:40,2378,UMBC  Timeout,58,63
11:40,2378,Official TV Timeout,58,63
11:31,2378,Jourdan Grant Turnover.,58,63
11:30,2643,Preston Parks Steal.,58,63
11:28,2643,Preston Parks made Layup.,60,63
11:19,2378,Jourdan Grant Turnover.,60,63
11:18,2643,Leandro Allende Steal.,60,63
11:15,2643,Quayson Williams made Layup. Assisted by Preston Parks.,62,63
11:13,2378,UMBC  Timeout,62,63
11:00,2378,Joe Sherburne Turnover.,62,63
10:59,2643,Preston Parks Steal.,62,63
10:54,2643,Quayson Williams missed Three Point Jumper.,62,63
10:54,2378,Nolan Gerrity Defensive Rebound.,62,63
10:41,2643,Foul on Quayson Williams.,62,63
10:41,2378,Jairus Lyles missed Free Throw.,62,63
10:41,2378,UMBC Deadball Team Rebound.,62,63
10:41,2378,Jairus Lyles made Free Throw.,62,64
10:26,2643,Preston Parks missed Layup.,62,64
10:26,2643,Preston Parks Offensive Rebound.,62,64
10:23,2643,Leandro Allende made Layup. Assisted by Preston Parks.,64,64
10:23,2378,Foul on Nolan Gerrity.,64,64
10:23,2643,Leandro Allende made Free Throw.,65,64
10:17,2378,Malcolm Brent Turnover.,65,64
10:06,2643,Leandro Allende missed Three Point Jumper.,65,64
10:06,2378,Nolan Gerrity Defensive Rebound.,65,64
9:59,2378,Jairus Lyles Turnover.,65,64
9:50,2643,Quayson Williams missed Three Point Jumper.,65,64
9:50,2378,Jairus Lyles Defensive Rebound.,65,64
9:42,2378,Joe Sherburne made Three Point Jumper. Assisted by K.J. Maura.,65,67
9:30,2378,Foul on K.J. Maura.,65,67
9:29,2643,Warren Sledge Turnover.,65,67
9:27,2378,Joe Sherburne Steal.,65,67
9:17,2643,Foul on Preston Parks.,65,67
9:17,2378,K.J. Maura made Free Throw.,65,68
9:17,2378,K.J. Maura made Free Throw.,65,69
9:02,2643,Preston Parks missed Three Point Jumper.,65,69
9:02,2378,Jairus Lyles Defensive Rebound.,65,69
8:46,2378,Nolan Gerrity made Layup.,65,71
8:33,2643,Preston Parks made Three Point Jumper. Assisted by Warren Sledge.,68,71
8:20,2378,K.J. Maura Turnover.,68,71
8:20,2643,Quayson Williams Steal.,68,71
8:20,2378,Foul on Joe Sherburne.,68,71
8:00,2643,Leandro Allende missed Layup.,68,71
8:00,2378,Nolan Gerrity Block.,68,71
7:56,2378,Jairus Lyles Defensive Rebound.,68,71
7:40,2378,K.J. Maura made Jumper.,68,73
7:27,2643,Matt Frierson missed Three Point Jumper.,68,73
7:27,2643,Leandro Allende Offensive Rebound.,68,73
7:21,2643,Quayson Williams made Three Point Jumper. Assisted by Warren Sledge.,71,73
6:53,2643,Foul on Frankie Johnson.,71,73
6:53,2378,Official TV Timeout,71,73
6:53,2378,Nolan Gerrity missed Free Throw.,71,73
6:53,2378,UMBC Deadball Team Rebound.,71,73
6:53,2378,Nolan Gerrity made Free Throw.,71,74
6:46,2643,Frankie Johnson made Layup.,73,74
6:46,2378,Foul on Will Darley.,73,74
6:46,2643,Frankie Johnson missed Free Throw.,73,74
6:46,2378,Malcolm Brent Defensive Rebound.,73,74
6:42,2378,Malcolm Brent Turnover.,73,74
6:39,2643,Quayson Williams Steal.,73,74
6:38,2643,Warren Sledge Turnover.,73,74
6:35,2378,Jourdan Grant Steal.,73,74
6:17,2643,Foul on Frankie Johnson.,73,74
6:17,2378,Will Darley made Free Throw.,73,75
6:17,2378,Will Darley made Free Throw.,73,76
6:00,2643,Leandro Allende missed Three Point Jumper.,73,76
6:00,2378,Jourdan Grant Defensive Rebound.,73,76
5:51,2378,Malcolm Brent made Three Point Jumper. Assisted by Jourdan Grant.,73,79
5:42,2378,Foul on K.J. Maura.,73,79
5:42,2643,Quayson Williams missed Free Throw.,73,79
5:42,2378,Jourdan Grant Defensive Rebound.,73,79
5:25,2378,Will Darley made Layup. Assisted by Joe Sherburne.,73,81
5:06,2378,Foul on Malcolm Brent.,73,81
5:06,2643,Warren Sledge made Free Throw.,74,81
5:06,2643,Warren Sledge made Free Throw.,75,81
4:45,2643,Foul on Quayson Williams.,75,81
4:45,2378,Jairus Lyles made Free Throw.,75,82
4:45,2378,Jairus Lyles made Free Throw.,75,83
4:26,2643,Preston Parks made Three Point Jumper. Assisted by Frankie Johnson.,78,83
4:11,2378,Malcolm Brent missed Layup.,78,83
4:11,2643,Frankie Johnson Defensive Rebound.,78,83
3:56,2643,Preston Parks missed Three Point Jumper.,78,83
3:56,2378,Joe Sherburne Defensive Rebound.,78,83
3:47,2643,Foul on Zane Najdawi.,78,83
3:47,2378,Official TV Timeout,78,83
3:47,2378,Will Darley made Free Throw.,78,84
3:47,2378,Will Darley made Free Throw.,78,85
3:34,2643,Zane Najdawi made Layup.,80,85
3:34,2378,Foul on Will Darley.,80,85
3:34,2643,Zane Najdawi made Free Throw.,81,85
3:10,2378,Jairus Lyles missed Layup.,81,85
3:10,2378,UMBC Offensive Rebound.,81,85
3:04,2378,Jourdan Grant made Layup. Assisted by Will Darley.,81,87
2:56,2643,Warren Sledge made Three Point Jumper. Assisted by Frankie Johnson.,84,87
2:55,2643,The Citadel  Timeout,84,87
2:36,2378,Will Darley made Layup. Assisted by Joe Sherburne.,84,89
2:21,2643,Brian White made Layup.,86,89
2:12,2378,Joe Sherburne Turnover.,86,89
2:11,2643,Warren Sledge Steal.,86,89
2:09,2643,Preston Parks missed Three Point Jumper.,86,89
2:09,2643,Brian White Offensive Rebound.,86,89
2:04,2643,Brian White made Layup.,88,89
1:43,2643,Foul on Brian White.,88,89
1:43,2378,Joe Sherburne made Free Throw.,88,90
1:43,2378,Joe Sherburne made Free Throw.,88,91
1:27,2643,Warren Sledge made Three Point Jumper. Assisted by Preston Parks.,91,91
1:04,2378,Jourdan Grant missed Layup.,91,91
1:04,2643,Preston Parks Defensive Rebound.,91,91
0:51,2643,The Citadel  Timeout,91,91
0:42,2643,Zane Najdawi Turnover.,91,91
0:42,2643,Foul on Zane Najdawi.,91,91
0:21,2378,Joe Sherburne missed Three Point Jumper.,91,91
0:21,2643,Zane Najdawi Defensive Rebound.,91,91
0:01,2643,Frankie Johnson missed Three Point Jumper.,91,91
0:00,2378,Jairus Lyles Defensive Rebound.,91,91
0:00,2378,End of 2nd half,91,91
4:49,2378,K.J. Maura Turnover.,91,91
4:48,2643,Frankie Johnson Steal.,91,91
4:40,2643,Preston Parks missed Layup.,91,91
4:40,2378,Nolan Gerrity Block.,91,91
4:38,2378,Joe Sherburne Defensive Rebound.,91,91
4:28,2378,Joe Sherburne missed Jumper.,91,91
4:28,2643,Frankie Johnson Defensive Rebound.,91,91
4:21,2643,Frankie Johnson missed Layup.,91,91
4:21,2378,Jairus Lyles Defensive Rebound.,91,91
4:12,2378,Joe Sherburne made Three Point Jumper. Assisted by K.J. Maura.,91,94
3:57,2378,Foul on Will Darley.,91,94
3:57,2643,Brian White made Free Throw.,92,94
3:57,2643,Brian White made Free Throw.,93,94
3:40,2643,Foul on Brian White.,93,94
3:40,2378,Will Darley missed Free Throw.,93,94
3:40,2378,UMBC Deadball Team Rebound.,93,94
3:40,2378,Will Darley missed Free Throw.,93,94
3:40,2643,Frankie Johnson Defensive Rebound.,93,94
3:32,2643,Zane Najdawi missed Layup.,93,94
3:32,2378,Will Darley Defensive Rebound.,93,94
3:17,2643,Foul on Warren Sledge.,93,94
3:17,2378,Jairus Lyles missed Free Throw.,93,94
3:17,2378,UMBC Deadball Team Rebound.,93,94
3:17,2378,Jairus Lyles made Free Throw.,93,95
3:05,2643,Zane Najdawi missed Layup.,93,95
3:05,2378,Nolan Gerrity Defensive Rebound.,93,95
2:49,2378,Jairus Lyles missed Layup.,93,95
2:49,2378,Jairus Lyles Offensive Rebound.,93,95
2:46,2378,Jairus Lyles made Two Point Tip Shot.,93,97
2:35,2643,Zane Najdawi missed Layup.,93,97
2:35,2378,Joe Sherburne Defensive Rebound.,93,97
2:06,2378,Jairus Lyles missed Three Point Jumper.,93,97
2:06,2643,Zane Najdawi Defensive Rebound.,93,97
1:54,2643,Zane Najdawi made Layup. Assisted by Preston Parks.,95,97
1:54,2643,The Citadel  Timeout,95,97
1:31,2378,Jairus Lyles missed Three Point Jumper.,95,97
1:31,2378,Nolan Gerrity Offensive Rebound.,95,97
1:24,2378,Will Darley missed Three Point Jumper.,95,97
1:24,2643,Preston Parks Defensive Rebound.,95,97
1:21,2378,Foul on Joe Sherburne.,95,97
1:21,2643,Preston Parks made Free Throw.,96,97
1:21,2643,Preston Parks made Free Throw.,97,97
0:59,2378,Jourdan Grant missed Layup.,97,97
0:59,2378,Nolan Gerrity Offensive Rebound.,97,97
0:53,2378,Joe Sherburne missed Layup.,97,97
0:53,2378,Joe Sherburne Offensive Rebound.,97,97
0:43,2378,Will Darley made Jumper.,97,99
0:26,2643,Warren Sledge missed Layup.,97,99
0:26,2378,Nolan Gerrity Defensive Rebound.,97,99
0:24,2643,Foul on Warren Sledge.,97,99
0:24,2378,Jairus Lyles missed Free Throw.,97,99
0:24,2378,UMBC Deadball Team Rebound.,97,99
0:24,2378,Jairus Lyles made Free Throw.,97,100
0:15,2643,Quayson Williams made Three Point Jumper. Assisted by Frankie Johnson.,100,100
0:02,2378,Jairus Lyles missed Layup.,100,100
0:02,2378,Nolan Gerrity Offensive Rebound.,100,100
0:00,2378,Jourdan Grant missed Layup.,100,100
0:00,2378,Jairus Lyles Offensive Rebound.,100,100
0:00,2378,End of 1st overtime,100,100
4:47,2643,Zane Najdawi missed Layup.,100,100
4:47,2378,Jairus Lyles Defensive Rebound.,100,100
4:38,2378,Jourdan Grant made Layup.,100,102
4:18,2643,Quayson Williams missed Layup.,100,102
4:18,2378,Will Darley Block.,100,102
4:16,2378,UMBC Defensive Rebound.,100,102
3:59,2378,Will Darley made Layup.,100,104
3:46,2643,Brian White missed Layup.,100,104
3:46,2643,Brian White Offensive Rebound.,100,104
3:46,2378,Foul on Jourdan Grant.,100,104
3:46,2643,Brian White made Free Throw.,101,104
3:46,2643,Brian White made Free Throw.,102,104
3:26,2378,Joe Sherburne missed Layup.,102,104
3:26,2378,Nolan Gerrity Offensive Rebound.,102,104
3:26,2643,Foul on Brian White.,102,104
3:26,2378,Nolan Gerrity made Free Throw.,102,105
3:26,2378,Nolan Gerrity made Free Throw.,102,106
3:17,2643,Preston Parks missed Three Point Jumper.,102,106
3:17,2378,Nolan Gerrity Defensive Rebound.,102,106
2:54,2643,Foul on Matt Frierson.,102,106
2:54,2378,Will Darley made Free Throw.,102,107
2:54,2378,Will Darley made Free Throw.,102,108
2:39,2643,Preston Parks missed Layup.,102,108
2:39,2378,Jairus Lyles Defensive Rebound.,102,108
2:14,2378,Jairus Lyles missed Jumper.,102,108
2:14,2643,Quayson Williams Defensive Rebound.,102,108
2:12,2378,Foul on Jairus Lyles.,102,108
2:12,2643,Quayson Williams missed Free Throw.,102,108
2:12,2643,The Citadel Deadball Team Rebound.,102,108
2:12,2643,Quayson Williams made Free Throw.,103,108
2:07,2643,Foul on Leandro Allende.,103,108
2:07,2378,Jairus Lyles made Free Throw.,103,109
2:07,2378,Jairus Lyles missed Free Throw.,103,109
2:07,2643,Leandro Allende Defensive Rebound.,103,109
1:52,2643,Frankie Johnson missed Jumper.,103,109
1:52,2378,Will Darley Defensive Rebound.,103,109
1:49,2643,Foul on Leandro Allende.,103,109
1:49,2378,Will Darley made Free Throw.,103,110
1:49,2378,Will Darley made Free Throw.,103,111
1:41,2643,Brian White missed Layup.,103,111
1:41,2378,Jairus Lyles Defensive Rebound.,103,111
1:19,2643,Foul on Preston Parks.,103,111
1:19,2378,Jairus Lyles made Free Throw.,103,112
1:19,2378,Jairus Lyles made Free Throw.,103,113
1:15,2643,Preston Parks made Three Point Jumper. Assisted by Frankie Johnson.,106,113
1:12,2643,The Citadel  Timeout,106,113
0:56,2643,Foul on Warren Sledge.,106,113
0:56,2378,Will Darley made Free Throw.,106,114
0:56,2378,Will Darley made Free Throw.,106,115
0:48,2643,Quayson Williams missed Three Point Jumper.,106,115
0:48,2643,Quayson Williams Offensive Rebound.,106,115
0:46,2643,Quayson Williams made Layup.,108,115
0:46,2643,The Citadel  Timeout,108,115
0:39,2643,Foul on Leandro Allende.,108,115
0:39,2378,Jairus Lyles missed Free Throw.,108,115
0:39,2378,UMBC Deadball Team Rebound.,108,115
0:39,2378,Jairus Lyles missed Free Throw.,108,115
0:39,2643,Leandro Allende Defensive Rebound.,108,115
0:33,2643,Quayson Williams missed Three Point Jumper.,108,115
0:33,2378,Nolan Gerrity Defensive Rebound.,108,115
0:30,2643,Foul on Leandro Allende.,108,115
0:30,2378,Nolan Gerrity made Free Throw.,108,116
0:30,2378,Nolan Gerrity missed Free Throw.,108,116
0:30,2643,Quayson Williams Defensive Rebound.,108,116
0:21,2643,Matt Frierson missed Three Point Jumper.,108,116
0:21,2378,Nolan Gerrity Defensive Rebound.,108,116
0:16,2643,Foul on Quayson Williams.,108,116
0:16,2378,Joe Sherburne made Free Throw.,108,117
0:16,2378,Joe Sherburne made Free Throw.,108,118
