Troy,2751,Wyoming,2653
3:22,2653,Wesley Person missed Free Throw.,26,21
3:22,2653,Troy Deadball Team Rebound.,26,21
3:22,2653,Wesley Person made Free Throw.,27,21
3:22,2653,Wesley Person made Free Throw.,28,21
3:10,2751,Hayden Dalton missed Jumper.,28,21
3:10,2751,Hayden Dalton Offensive Rebound.,28,21
3:07,2751,Hayden Dalton made Layup.,28,23
2:47,2653,Jeremy Hollimon missed Layup.,28,23
2:47,2751,Alan Herndon Block.,28,23
2:47,2653,Troy Offensive Rebound.,28,23
2:38,2653,Kevin Baker Turnover.,28,23
2:26,2751,Justin James missed Layup.,28,23
2:26,2751,Justin James Offensive Rebound.,28,23
2:22,2751,Justin James made Layup.,28,25
2:13,2653,Kevin Baker Turnover.,28,25
2:12,2751,Hayden Dalton Steal.,28,25
2:09,2751,Hayden Dalton made Layup.,28,27
1:49,2751,Foul on Alan Herndon.,28,27
1:49,2653,Wesley Person made Free Throw.,29,27
1:49,2653,Wesley Person missed Free Throw.,29,27
1:49,2653,Troy Deadball Team Rebound.,29,27
1:49,2653,Wesley Person made Free Throw.,30,27
1:43,2751,Cody Kelley missed Three Point Jumper.,30,27
1:43,2653,Wesley Person Defensive Rebound.,30,27
1:32,2653,Daniel Peace made Layup.,32,27
1:16,2751,Justin James missed Jumper.,32,27
1:16,2653,Jordon Varnado Defensive Rebound.,32,27
0:47,2653,Wesley Person missed Three Point Jumper.,32,27
0:47,2653,Alex Hicks Offensive Rebound.,32,27
0:29,2653,Jeremy Hollimon Turnover.,32,27
0:28,2751,Hayden Dalton Steal.,32,27
0:26,2653,Foul on Daniel Peace.,32,27
0:26,2751,Justin James made Free Throw.,32,28
0:26,2751,Justin James made Free Throw.,32,29
0:26,2653,Troy  Timeout,32,29
0:08,2653,Wesley Person missed Three Point Jumper.,32,29
0:08,2751,Justin James Defensive Rebound.,32,29
0:00,2751,End of 1st half,32,29
19:52,2751,Foul on Hayden Dalton.,32,29
19:48,2653,Wesley Person missed Layup.,32,29
19:48,2751,Jordan Naughton Block.,32,29
19:45,2751,Louis Adams Defensive Rebound.,32,29
19:42,2751,Louis Adams Turnover.,32,29
19:25,2653,Kevin Baker missed Three Point Jumper.,32,29
19:25,2751,Hayden Dalton Defensive Rebound.,32,29
19:15,2751,Jordan Naughton made Layup. Assisted by Hayden Dalton.,32,31
19:03,2653,Alex Hicks missed Jumper.,32,31
19:03,2751,Hayden Dalton Defensive Rebound.,32,31
18:56,2653,Foul on Kevin Baker.,32,31
18:44,2653,Foul on Jordon Varnado.,32,31
18:38,2751,Hayden Dalton missed Three Point Jumper.,32,31
18:38,2751,Jordan Naughton Offensive Rebound.,32,31
18:32,2751,Jordan Naughton Turnover.,32,31
18:31,2653,Kevin Baker Steal.,32,31
18:26,2653,Alex Hicks made Jumper.,34,31
18:11,2751,Louis Adams missed Jumper.,34,31
18:11,2653,Alex Hicks Defensive Rebound.,34,31
17:49,2653,Wesley Person made Three Point Jumper.,37,31
17:40,2751,Wyoming  Timeout,37,31
17:30,2751,Hayden Dalton Turnover.,37,31
17:29,2653,Daniel Peace Steal.,37,31
17:26,2751,Foul on Louis Adams.,37,31
17:26,2653,Daniel Peace missed Free Throw.,37,31
17:26,2653,Troy Deadball Team Rebound.,37,31
17:26,2653,Daniel Peace made Free Throw.,38,31
17:21,2653,Wesley Person made Three Point Jumper.,41,31
17:10,2751,Hayden Dalton missed Three Point Jumper.,41,31
17:10,2653,Jordon Varnado Defensive Rebound.,41,31
16:44,2653,Daniel Peace missed Three Point Jumper.,41,31
16:44,2751,Jason McManamen Defensive Rebound.,41,31
16:35,2653,Foul on DeVon Walker.,41,31
16:35,2751,Jason McManamen missed Free Throw.,41,31
16:35,2751,Wyoming Deadball Team Rebound.,41,31
16:35,2751,Jason McManamen made Free Throw.,41,32
16:20,2653,Wesley Person missed Jumper.,41,32
16:20,2751,Jeremy Lieberman Defensive Rebound.,41,32
16:16,2653,Foul on Jordon Varnado.,41,32
16:16,2653,Technical Foul on Jordon Varnado.,41,32
16:16,2653,Foul on Jordon Varnado.,41,32
16:16,2751,Hayden Dalton missed Free Throw.,41,32
16:16,2751,Wyoming Deadball Team Rebound.,41,32
16:16,2751,Hayden Dalton made Free Throw.,41,33
15:55,2751,Hayden Dalton missed Dunk.,41,33
15:55,2653,DeVon Walker Defensive Rebound.,41,33
15:47,2653,Juan Davis Jr. missed Three Point Jumper.,41,33
15:47,2751,Hayden Dalton Defensive Rebound.,41,33
15:39,2653,Foul on Daniel Peace.,41,33
15:39,2751,Wyoming  Timeout,41,33
15:39,2751,Alan Herndon missed Three Point Jumper.,41,33
15:39,2653,Daniel Peace Defensive Rebound.,41,33
15:34,2653,DeVon Walker missed Layup.,41,33
15:34,2751,Louis Adams Defensive Rebound.,41,33
15:29,2751,Jason McManamen missed Three Point Jumper.,41,33
15:29,2653,DeVon Walker Defensive Rebound.,41,33
14:55,2751,Foul on Jeremy Lieberman.,41,33
14:44,2653,Wesley Person Turnover.,41,33
14:43,2751,Hayden Dalton Steal.,41,33
14:40,2751,Alan Herndon made Layup. Assisted by Hayden Dalton.,41,35
14:23,2751,Foul on Louis Adams.,41,35
14:23,2653,DeVon Walker made Free Throw.,42,35
14:23,2653,DeVon Walker missed Free Throw.,42,35
14:23,2751,Louis Adams Defensive Rebound.,42,35
14:18,2653,Foul on Jeremy Hollimon.,42,35
14:18,2751,Louis Adams missed Free Throw.,42,35
14:18,2751,Wyoming Deadball Team Rebound.,42,35
14:18,2751,Louis Adams missed Free Throw.,42,35
14:18,2751,Hayden Dalton Offensive Rebound.,42,35
14:18,2751,Hayden Dalton missed Layup.,42,35
14:18,2653,Juan Davis Jr. Defensive Rebound.,42,35
14:09,2653,Jordon Varnado missed Three Point Jumper.,42,35
14:09,2653,Troy Offensive Rebound.,42,35
14:07,2751,Foul on Jason McManamen.,42,35
13:53,2653,DeVon Walker Turnover.,42,35
13:53,2653,Foul on DeVon Walker.,42,35
13:43,2751,Louis Adams Turnover.,42,35
13:41,2653,Kevin Baker Steal.,42,35
13:20,2653,Juan Davis Jr. missed Jumper.,42,35
13:20,2751,Hayden Dalton Defensive Rebound.,42,35
13:16,2751,Justin James made Layup.,42,37
12:52,2653,Jeremy Hollimon made Three Point Jumper.,45,37
12:34,2653,Foul on DeVon Walker.,45,37
12:34,2751,Justin James made Free Throw.,45,38
12:34,2751,Justin James made Free Throw.,45,39
12:17,2653,Jeremy Hollimon missed Jumper.,45,39
12:17,2751,Hayden Dalton Defensive Rebound.,45,39
12:14,2653,Foul on Alex Hicks.,45,39
12:14,2751,Hayden Dalton made Free Throw.,45,40
12:14,2751,Hayden Dalton missed Free Throw.,45,40
12:14,2653,Jordon Varnado Defensive Rebound.,45,40
12:03,2653,Jordon Varnado Turnover.,45,40
12:02,2751,Hayden Dalton Steal.,45,40
11:56,2751,Jason McManamen made Layup.,45,42
11:46,2653,Troy  Timeout,45,42
11:23,2653,Jeremy Hollimon missed Three Point Jumper.,45,42
11:23,2751,Louis Adams Defensive Rebound.,45,42
11:20,2653,Foul on Alex Hicks.,45,42
11:20,2751,Louis Adams made Free Throw.,45,43
11:20,2751,Louis Adams made Free Throw.,45,44
11:00,2653,Kevin Baker missed Jumper.,45,44
11:00,2751,Louis Adams Defensive Rebound.,45,44
10:50,2751,Louis Adams Turnover.,45,44
10:49,2653,Jordon Varnado Steal.,45,44
10:30,2653,Wesley Person missed Three Point Jumper.,45,44
10:30,2751,Jason McManamen Defensive Rebound.,45,44
10:21,2751,Louis Adams missed Layup.,45,44
10:21,2653,Alex Hicks Defensive Rebound.,45,44
10:09,2653,Kevin Baker Turnover.,45,44
10:08,2751,Justin James Steal.,45,44
10:04,2751,Jason McManamen missed Three Point Jumper.,45,44
10:04,2751,Justin James Offensive Rebound.,45,44
9:59,2751,Justin James missed Three Point Jumper.,45,44
9:59,2653,Jordon Varnado Defensive Rebound.,45,44
9:37,2751,Foul on Alan Herndon.,45,44
9:37,2653,Jordon Varnado made Free Throw.,46,44
9:37,2653,Jordon Varnado made Free Throw.,47,44
9:28,2751,Louis Adams Turnover.,47,44
9:04,2653,Jordon Varnado made Three Point Jumper. Assisted by Daniel Peace.,50,44
8:41,2653,Foul on Jordon Varnado.,50,44
8:41,2751,Louis Adams made Free Throw.,50,45
8:41,2751,Louis Adams made Free Throw.,50,46
8:29,2653,Wesley Person missed Three Point Jumper.,50,46
8:29,2653,Troy Offensive Rebound.,50,46
8:24,2653,Wesley Person Turnover.,50,46
8:24,2653,Foul on Wesley Person.,50,46
8:12,2751,Jordan Naughton missed Layup.,50,46
8:12,2751,Jordan Naughton Offensive Rebound.,50,46
8:08,2751,Hayden Dalton made Three Point Jumper. Assisted by Jordan Naughton.,50,49
7:38,2653,Juan Davis Jr. missed Three Point Jumper.,50,49
7:38,2751,Justin James Defensive Rebound.,50,49
7:29,2751,Louis Adams Turnover.,50,49
7:29,2751,Foul on Louis Adams.,50,49
7:29,2653,Troy  Timeout,50,49
7:22,2653,Wesley Person missed Jumper.,50,49
7:22,2653,DeVon Walker Offensive Rebound.,50,49
7:12,2653,DeVon Walker made Jumper. Assisted by Daniel Peace.,52,49
6:54,2751,Louis Adams Turnover.,52,49
6:53,2653,Juan Davis Jr. Steal.,52,49
6:37,2653,Wesley Person missed Jumper.,52,49
6:37,2751,Louis Adams Block.,52,49
6:35,2751,Hayden Dalton Defensive Rebound.,52,49
6:19,2751,Justin James missed Jumper.,52,49
6:19,2751,Jordan Naughton Offensive Rebound.,52,49
6:15,2751,Jordan Naughton missed Layup.,52,49
6:15,2653,Wesley Person Defensive Rebound.,52,49
5:53,2751,Foul on Jordan Naughton.,52,49
5:53,2653,Jeremy Hollimon made Free Throw.,53,49
5:53,2653,Jeremy Hollimon made Free Throw.,54,49
5:45,2751,Hayden Dalton made Three Point Jumper. Assisted by Alexander Aka Gorski.,54,52
5:24,2653,Jeremy Hollimon made Jumper.,56,52
5:11,2751,Justin James made Layup.,56,54
4:47,2653,Juan Davis Jr. made Layup.,58,54
4:42,2751,Alexander Aka Gorski missed Three Point Jumper.,58,54
4:41,2751,Hayden Dalton Offensive Rebound.,58,54
4:33,2751,Justin James made Three Point Jumper. Assisted by Hayden Dalton.,58,57
4:13,2653,Jeremy Hollimon missed Jumper.,58,57
4:13,2751,Justin James Defensive Rebound.,58,57
4:09,2653,Technical Foul on Jeremy Hollimon.,58,57
4:09,2653,Foul on Jeremy Hollimon.,58,57
4:09,2751,Jason McManamen missed Free Throw.,58,57
4:09,2751,Wyoming Deadball Team Rebound.,58,57
4:09,2751,Jason McManamen missed Free Throw.,58,57
4:09,2751,Wyoming Deadball Team Rebound.,58,57
3:54,2751,Hayden Dalton missed Three Point Jumper.,58,57
3:54,2751,Jason McManamen Offensive Rebound.,58,57
3:48,2751,Jason McManamen made Layup.,58,59
3:40,2653,DeVon Walker made Layup.,60,59
3:23,2653,Foul on Daniel Peace.,60,59
3:23,2751,Justin James made Free Throw.,60,60
3:23,2751,Justin James made Free Throw.,60,61
3:05,2653,DeVon Walker missed Jumper.,60,61
3:05,2653,Jordon Varnado Offensive Rebound.,60,61
3:00,2653,Jordon Varnado made Layup.,62,61
2:45,2751,Justin James made Dunk. Assisted by Alexander Aka Gorski.,62,63
2:25,2653,Jordon Varnado Turnover.,62,63
2:25,2653,Foul on Jordon Varnado.,62,63
2:11,2751,Justin James made Jumper.,62,65
1:42,2653,DeVon Walker missed Layup.,62,65
1:42,2653,Juan Davis Jr. Offensive Rebound.,62,65
1:38,2751,Foul on Alexander Aka Gorski.,62,65
1:38,2653,Juan Davis Jr. made Free Throw.,63,65
1:38,2653,Juan Davis Jr. made Free Throw.,64,65
1:13,2751,Hayden Dalton Turnover.,64,65
1:12,2653,DeVon Walker Steal.,64,65
1:07,2653,Wesley Person Turnover.,64,65
0:56,2751,Justin James made Layup. Assisted by Jason McManamen.,64,67
0:48,2653,Troy  Timeout,64,67
0:32,2653,Wesley Person missed Three Point Jumper.,64,67
0:32,2751,Jeremy Lieberman Defensive Rebound.,64,67
0:24,2653,Foul on Kevin Baker.,64,67
0:24,2751,Jeremy Lieberman made Free Throw.,64,68
0:24,2751,Jeremy Lieberman made Free Throw.,64,69
0:18,2653,Daniel Peace made Layup.,66,69
0:14,2653,Foul on Jeremy Hollimon.,66,69
0:14,2751,Justin James made Free Throw.,66,70
0:14,2751,Justin James made Free Throw.,66,71
0:09,2653,DeVon Walker missed Three Point Jumper.,66,71
0:09,2653,Wesley Person Offensive Rebound.,66,71
0:04,2653,Wesley Person missed Layup.,66,71
0:04,2751,Hayden Dalton Defensive Rebound.,66,71
0:02,2653,Foul on Jeremy Hollimon.,66,71
0:02,2751,Hayden Dalton made Free Throw.,66,72
0:02,2751,Hayden Dalton missed Free Throw.,66,72
0:02,2653,Juan Davis Jr. Defensive Rebound.,66,72
0:00,2751,End of Game,66,72
