Loyola Marymount,36,Colorado State,2351
5:26,2351,Shamar Johnson Offensive Rebound.,18,18
5:23,2351,Shamar Johnson made Layup.,20,18
5:08,36,J.D. Paige missed Three Point Jumper.,20,18
5:08,2351,Brandon Brown Defensive Rebound.,20,18
4:59,2351,Kelvin Amayo missed Layup.,20,18
4:59,36,Colorado St Defensive Rebound.,20,18
4:42,36,Gian Clavell made Jumper.,20,20
4:22,2351,Trevor Manuel Turnover.,20,20
4:21,36,Gian Clavell Steal.,20,20
4:20,36,Braden Koelliker Turnover.,20,20
4:19,2351,Brandon Brown Steal.,20,20
4:13,2351,Stefan Jovanovic made Dunk. Assisted by Buay Tuach.,22,20
3:56,36,Prentiss Nixon made Jumper.,22,22
3:25,2351,Brandon Brown missed Layup.,22,22
3:25,2351,Buay Tuach Offensive Rebound.,22,22
3:19,2351,Buay Tuach made Two Point Tip Shot.,24,22
2:56,36,Braden Koelliker missed Layup.,24,22
2:56,2351,Trevor Manuel Block.,24,22
2:56,36,Colorado St Offensive Rebound.,24,22
2:56,36,Official TV Timeout,24,22
2:51,36,J.D. Paige missed Three Point Jumper.,24,22
2:51,2351,Trevor Manuel Defensive Rebound.,24,22
2:24,2351,Stefan Jovanovic missed Jumper.,24,22
2:24,36,Kimani Jackson Defensive Rebound.,24,22
2:17,36,J.D. Paige missed Layup.,24,22
2:17,2351,Trevor Manuel Block.,24,22
2:16,2351,Brandon Brown Defensive Rebound.,24,22
2:12,2351,Brandon Brown made Layup.,26,22
1:56,2351,Foul on Brandon Brown.,26,22
1:56,36,Gian Clavell missed Free Throw.,26,22
1:56,2351,Stefan Jovanovic Defensive Rebound.,26,22
1:35,2351,Jeffery McClendon missed Three Point Jumper.,26,22
1:35,2351,Stefan Jovanovic Offensive Rebound.,26,22
1:29,2351,Stefan Jovanovic made Two Point Tip Shot.,28,22
1:08,36,Kimani Jackson made Dunk. Assisted by Emmanuel Omogbo.,28,24
0:51,2351,Loyola Marymount  Timeout,28,24
0:36,36,Foul on Kimani Jackson.,28,24
0:36,2351,Brandon Brown made Free Throw.,29,24
0:36,2351,Brandon Brown made Free Throw.,30,24
0:07,36,Che Bob made Three Point Jumper. Assisted by Gian Clavell.,30,27
0:00,36,End of 1st half,30,27
19:49,36,Emmanuel Omogbo made Jumper.,30,29
19:28,2351,Foul on Brandon Brown.,30,29
19:28,2351,Brandon Brown Turnover.,30,29
19:19,36,Emmanuel Omogbo made Jumper.,30,31
18:48,2351,Stefan Jovanovic made Jumper. Assisted by Buay Tuach.,32,31
18:32,36,Prentiss Nixon made Three Point Jumper. Assisted by Nico Carvacho.,32,34
17:57,2351,Jeffery McClendon missed Jumper.,32,34
17:57,36,Gian Clavell Defensive Rebound.,32,34
17:43,36,Gian Clavell missed Layup.,32,34
17:43,2351,Buay Tuach Block.,32,34
17:42,2351,Jeffery McClendon Defensive Rebound.,32,34
17:29,2351,Jeffery McClendon missed Three Point Jumper.,32,34
17:29,36,Gian Clavell Defensive Rebound.,32,34
17:21,36,Gian Clavell made Layup. Assisted by Prentiss Nixon.,32,36
17:12,2351,Loyola Marymount  Timeout,32,36
17:12,36,Official TV Timeout,32,36
16:50,36,Foul on J.D. Paige.,32,36
16:50,2351,Trevor Manuel missed Free Throw.,32,36
16:50,2351,Loyola Marymount Deadball Team Rebound.,32,36
16:50,2351,Trevor Manuel made Free Throw.,33,36
16:30,36,J.D. Paige made Jumper.,33,38
16:14,2351,Brandon Brown made Jumper.,35,38
15:59,36,Emmanuel Omogbo made Three Point Jumper. Assisted by Gian Clavell.,35,41
15:39,36,Foul on Emmanuel Omogbo.,35,41
15:39,36,Official TV Timeout,35,41
15:34,2351,Brandon Brown missed Three Point Jumper.,35,41
15:34,36,Colorado St Defensive Rebound.,35,41
15:27,36,Emmanuel Omogbo made Dunk. Assisted by Prentiss Nixon.,35,43
15:17,2351,Buay Tuach made Three Point Jumper.,38,43
14:57,36,Nico Carvacho Turnover.,38,43
14:56,2351,Brandon Brown Steal.,38,43
14:53,2351,Steven Haney missed Three Point Jumper.,38,43
14:53,2351,Stefan Jovanovic Offensive Rebound.,38,43
14:39,2351,Steven Haney missed Three Point Jumper.,38,43
14:39,2351,Stefan Jovanovic Offensive Rebound.,38,43
14:35,2351,Stefan Jovanovic made Layup.,40,43
14:35,36,Foul on Nico Carvacho.,40,43
14:35,2351,Stefan Jovanovic made Free Throw.,41,43
14:21,2351,Foul on Stefan Jovanovic.,41,43
14:21,36,Che Bob made Free Throw.,41,44
14:21,36,Che Bob made Free Throw.,41,45
14:10,2351,Foul on Stefan Jovanovic.,41,45
14:10,2351,Stefan Jovanovic Turnover.,41,45
13:59,36,Kimani Jackson missed Layup.,41,45
13:59,2351,Stefan Jovanovic Block.,41,45
13:57,2351,Trevor Manuel Defensive Rebound.,41,45
13:48,2351,Trevor Manuel made Dunk. Assisted by Brandon Brown.,43,45
13:30,36,Prentiss Nixon made Three Point Jumper.,43,48
13:22,36,Foul on Gian Clavell.,43,48
13:22,2351,Brandon Brown made Free Throw.,44,48
13:22,2351,Brandon Brown made Free Throw.,45,48
12:54,36,Devocio Butler missed Three Point Jumper.,45,48
12:54,2351,Trevor Manuel Defensive Rebound.,45,48
12:32,2351,Kelvin Amayo Turnover.,45,48
12:31,36,Devocio Butler Steal.,45,48
12:28,2351,Foul on Trevor Manuel.,45,48
12:28,36,Prentiss Nixon made Free Throw.,45,49
12:28,36,Prentiss Nixon made Free Throw.,45,50
12:17,2351,Jeffery McClendon missed Three Point Jumper.,45,50
12:17,2351,Stefan Jovanovic Offensive Rebound.,45,50
12:07,2351,Brandon Brown missed Jumper.,45,50
12:07,36,Che Bob Defensive Rebound.,45,50
11:57,36,J.D. Paige Turnover.,45,50
11:57,36,Official TV Timeout,45,50
11:39,2351,Jeffery McClendon Turnover.,45,50
11:38,36,Devocio Butler Steal.,45,50
11:35,2351,Foul on Jeffery McClendon.,45,50
11:35,36,Devocio Butler made Free Throw.,45,51
11:35,36,Devocio Butler missed Free Throw.,45,51
11:35,2351,Kelvin Amayo Defensive Rebound.,45,51
11:28,36,Foul on J.D. Paige.,45,51
11:23,36,Foul on Braden Koelliker.,45,51
11:13,2351,Trevor Manuel missed Three Point Jumper.,45,51
11:13,36,Che Bob Defensive Rebound.,45,51
11:11,2351,Foul on Buay Tuach.,45,51
10:45,36,Emmanuel Omogbo missed Layup.,45,51
10:45,2351,Kelvin Amayo Block.,45,51
10:43,2351,Buay Tuach Defensive Rebound.,45,51
10:40,2351,Buay Tuach missed Layup.,45,51
10:40,2351,Kelvin Amayo Offensive Rebound.,45,51
10:40,36,Foul on Che Bob.,45,51
10:40,2351,Kelvin Amayo made Free Throw.,46,51
10:40,2351,Kelvin Amayo missed Free Throw.,46,51
10:40,36,Braden Koelliker Defensive Rebound.,46,51
10:19,36,Gian Clavell made Jumper.,46,53
10:00,2351,Buay Tuach Turnover.,46,53
10:00,2351,Loyola Marymount  Timeout,46,53
9:43,2351,Foul on Buay Tuach.,46,53
9:43,36,Gian Clavell missed Free Throw.,46,53
9:43,36,Colorado St Deadball Team Rebound.,46,53
9:43,36,Gian Clavell made Free Throw.,46,54
9:38,36,Foul on Prentiss Nixon.,46,54
9:38,2351,Brandon Brown missed Free Throw.,46,54
9:38,36,Che Bob Defensive Rebound.,46,54
9:18,36,Gian Clavell missed Three Point Jumper.,46,54
9:18,2351,Kelvin Amayo Defensive Rebound.,46,54
9:09,2351,Kelvin Amayo Turnover.,46,54
9:08,36,Gian Clavell Steal.,46,54
9:04,36,Che Bob made Layup. Assisted by Emmanuel Omogbo.,46,56
8:37,2351,Shamar Johnson made Layup. Assisted by Brandon Brown.,48,56
8:22,36,Prentiss Nixon Turnover.,48,56
8:07,2351,Munis Tutu missed Three Point Jumper.,48,56
8:07,2351,Munis Tutu Offensive Rebound.,48,56
8:03,2351,Buay Tuach missed Three Point Jumper.,48,56
8:03,2351,Loyola Marymount Offensive Rebound.,48,56
7:59,36,Official TV Timeout,48,56
7:38,2351,Buay Tuach missed Three Point Jumper.,48,56
7:38,2351,Munis Tutu Offensive Rebound.,48,56
7:20,36,Foul on Braden Koelliker.,48,56
7:20,2351,Brandon Brown missed Free Throw.,48,56
7:20,2351,Loyola Marymount Deadball Team Rebound.,48,56
7:20,2351,Brandon Brown made Free Throw.,49,56
7:06,36,Gian Clavell Turnover.,49,56
7:05,2351,Munis Tutu Steal.,49,56
6:58,2351,Brandon Brown made Three Point Jumper. Assisted by Munis Tutu.,52,56
6:27,36,Che Bob made Three Point Jumper. Assisted by Braden Koelliker.,52,59
6:08,2351,Loyola Marymount  Timeout,52,59
6:06,2351,Buay Tuach made Three Point Jumper. Assisted by Brandon Brown.,55,59
5:43,2351,Foul on Shamar Johnson.,55,59
5:43,36,Emmanuel Omogbo missed Free Throw.,55,59
5:43,36,Colorado St Deadball Team Rebound.,55,59
5:43,36,Emmanuel Omogbo made Free Throw.,55,60
5:25,2351,Munis Tutu made Jumper.,57,60
5:11,36,Emmanuel Omogbo missed Three Point Jumper.,57,60
5:11,36,Devocio Butler Offensive Rebound.,57,60
5:08,36,Devocio Butler missed Layup.,57,60
5:08,36,Che Bob Offensive Rebound.,57,60
5:06,2351,Foul on Shamar Johnson.,57,60
5:06,36,Che Bob made Free Throw.,57,61
5:06,36,Che Bob made Free Throw.,57,62
4:53,2351,Stefan Jovanovic made Layup. Assisted by Munis Tutu.,59,62
4:31,36,Gian Clavell missed Layup.,59,62
4:31,36,Che Bob Offensive Rebound.,59,62
4:24,36,Emmanuel Omogbo Turnover.,59,62
4:22,2351,Buay Tuach Steal.,59,62
4:20,36,Foul on J.D. Paige.,59,62
4:20,2351,Munis Tutu made Free Throw.,60,62
4:20,2351,Munis Tutu missed Free Throw.,60,62
4:20,36,Devocio Butler Defensive Rebound.,60,62
4:09,36,J.D. Paige Turnover.,60,62
4:08,2351,Buay Tuach Steal.,60,62
3:55,2351,Brandon Brown made Jumper.,62,62
3:36,36,Gian Clavell missed Jumper.,62,62
3:36,36,Colorado St Offensive Rebound.,62,62
3:30,36,Official TV Timeout,62,62
3:30,2351,Foul on Stefan Jovanovic.,62,62
3:30,36,Emmanuel Omogbo made Free Throw.,62,63
3:30,36,Emmanuel Omogbo made Free Throw.,62,64
3:07,2351,Buay Tuach Turnover.,62,64
2:50,36,Gian Clavell Turnover.,62,64
2:39,2351,Munis Tutu Turnover.,62,64
2:38,36,Gian Clavell Steal.,62,64
2:36,36,Gian Clavell Turnover.,62,64
2:10,2351,Brandon Brown missed Jumper.,62,64
2:10,36,Colorado St Defensive Rebound.,62,64
2:00,36,Colorado St  Timeout,62,64
1:40,36,Prentiss Nixon missed Three Point Jumper.,62,64
1:40,36,Emmanuel Omogbo Offensive Rebound.,62,64
1:18,36,Emmanuel Omogbo Turnover.,62,64
0:55,2351,Stefan Jovanovic made Jumper.,64,64
0:55,36,Foul on Emmanuel Omogbo.,64,64
0:55,2351,Stefan Jovanovic made Free Throw.,65,64
0:46,36,J.D. Paige missed Jumper.,65,64
0:46,2351,Kelvin Amayo Defensive Rebound.,65,64
0:42,36,Foul on Gian Clavell.,65,64
0:42,2351,Kelvin Amayo made Free Throw.,66,64
0:42,2351,Kelvin Amayo missed Free Throw.,66,64
0:42,36,Emmanuel Omogbo Defensive Rebound.,66,64
0:31,2351,Foul on Trevor Manuel.,66,64
0:31,36,Che Bob made Free Throw.,66,65
0:31,36,Che Bob made Free Throw.,66,66
0:01,2351,Brandon Brown made Three Point Jumper.,69,66
0:00,36,End of Game,69,66
