Johnson &amp; Wales (NC),Error,Campbell,2097
13:18,-1,Jayvoine Parker made Three Point Jumper. Assisted by Deion Gilchrist.,11,13
12:53,-1,Foul on Javon Smith.,11,13
12:53,2097,Mogga Lado made Free Throw.,11,14
12:53,2097,Mogga Lado made Free Throw.,11,15
12:37,-1,Javon Smith Turnover.,11,15
12:20,2097,Marcus Burk made Three Point Jumper. Assisted by Kyre' Hamer.,11,18
12:11,-1,Rickey Porter missed Jumper.,11,18
12:11,2097,Marcus Burk Defensive Rebound.,11,18
12:02,2097,Marcus Burk made Three Point Jumper. Assisted by Kyre' Hamer.,11,21
11:52,-1,Johnson & Wales (NC)  Timeout,11,21
11:52,2097,Official TV Timeout,11,21
11:43,-1,Majerle Poole missed Jumper.,11,21
11:43,2097,Quinton Ray Defensive Rebound.,11,21
11:09,2097,Campbell  Turnover.,11,21
10:51,-1,Deiontae Mcmillian missed Jumper.,11,21
10:51,2097,Mogga Lado Defensive Rebound.,11,21
10:44,2097,Marcus Burk missed Three Point Jumper.,11,21
10:44,-1,Jarrett Ballard Defensive Rebound.,11,21
10:28,-1,Rickey Porter made Jumper. Assisted by Majerle Poole.,13,21
10:04,-1,Foul on Jayvoine Parker.,13,21
10:04,2097,Shane Whitfield made Free Throw.,13,22
10:04,2097,Shane Whitfield made Free Throw.,13,23
9:46,-1,Majerle Poole Turnover.,13,23
9:44,2097,Quinton Ray Steal.,13,23
9:41,2097,Marcus Burk missed Three Point Jumper.,13,23
9:41,-1,Majerle Poole Defensive Rebound.,13,23
9:27,-1,Deiontae Mcmillian missed Three Point Jumper.,13,23
9:27,2097,Damontez Oliver Defensive Rebound.,13,23
9:10,2097,Marcus Burk missed Three Point Jumper.,13,23
9:10,-1,Majerle Poole Defensive Rebound.,13,23
8:57,-1,Jayvoine Parker missed Three Point Jumper.,13,23
8:57,2097,Marcus Burk Defensive Rebound.,13,23
8:38,-1,Foul on Jayvoine Parker.,13,23
8:38,2097,Austin Burnette made Free Throw.,13,24
8:38,2097,Austin Burnette made Free Throw.,13,25
8:28,-1,Alcyone Moore missed Jumper.,13,25
8:28,2097,Chris Clemons Defensive Rebound.,13,25
8:08,2097,Cory Gensler made Three Point Jumper. Assisted by Mogga Lado.,13,28
7:50,-1,Deion Gilchrist Turnover.,13,28
7:48,2097,Cory Gensler Steal.,13,28
7:40,2097,Cory Gensler made Three Point Jumper. Assisted by Chris Clemons.,13,31
7:39,2097,Official TV Timeout,13,31
7:27,-1,Majerle Poole missed Jumper.,13,31
7:27,2097,Damontez Oliver Defensive Rebound.,13,31
7:20,2097,Damontez Oliver made Three Point Jumper. Assisted by Cory Gensler.,13,34
6:45,-1,Javon Smith missed Jumper.,13,34
6:45,2097,Cory Gensler Block.,13,34
6:42,2097,Andrew Eudy Defensive Rebound.,13,34
6:34,-1,Foul on Majerle Poole.,13,34
6:34,2097,Chris Clemons made Free Throw.,13,35
6:34,2097,Chris Clemons made Free Throw.,13,36
6:20,-1,Rickey Porter missed Jumper.,13,36
6:20,2097,Damontez Oliver Defensive Rebound.,13,36
6:00,2097,Damontez Oliver missed Three Point Jumper.,13,36
6:00,-1,Jonathan Paramore Defensive Rebound.,13,36
5:46,-1,Rickey Porter made Jumper.,15,36
5:31,2097,Chris Clemons made Three Point Jumper.,15,39
5:11,2097,Foul on Andrew Eudy.,15,39
5:04,-1,Majerle Poole made Three Point Jumper. Assisted by Javon Smith.,18,39
4:41,2097,Shane Whitfield missed Layup.,18,39
4:41,-1,Majerle Poole Defensive Rebound.,18,39
4:35,-1,Alcyone Moore missed Layup.,18,39
4:35,2097,Andrew Eudy Block.,18,39
4:33,-1,Rickey Porter Offensive Rebound.,18,39
4:31,2097,Foul on Chris Clemons.,18,39
4:31,-1,Jonathan Paramore missed Free Throw.,18,39
4:31,-1,Johnson & Wales (NC) Deadball Team Rebound.,18,39
4:31,-1,Jonathan Paramore missed Free Throw.,18,39
4:31,-1,Johnson & Wales (NC) Deadball Team Rebound.,18,39
4:31,-1,Jonathan Paramore missed Free Throw.,18,39
4:31,2097,Shane Whitfield Defensive Rebound.,18,39
4:15,2097,Chris Clemons made Three Point Jumper.,18,42
3:52,-1,Alcyone Moore Turnover.,18,42
3:50,2097,Shane Whitfield Steal.,18,42
3:48,2097,Kyre' Hamer made Layup.,18,44
3:27,-1,Alcyone Moore made Jumper.,20,44
3:00,2097,Andrew Eudy missed Three Point Jumper.,20,44
3:00,2097,Cory Gensler Offensive Rebound.,20,44
2:51,2097,Chris Clemons missed Three Point Jumper.,20,44
2:51,-1,Javon Smith Defensive Rebound.,20,44
2:43,-1,Rickey Porter made Jumper. Assisted by Jonathan Paramore.,22,44
2:24,2097,Chris Clemons missed Three Point Jumper.,22,44
2:24,-1,Javon Smith Defensive Rebound.,22,44
2:10,-1,Majerle Poole missed Three Point Jumper.,22,44
2:10,2097,Shane Whitfield Defensive Rebound.,22,44
2:03,2097,Shane Whitfield made Layup.,22,46
2:03,-1,Foul on Javon Smith.,22,46
2:03,2097,Official TV Timeout,22,46
2:03,2097,Shane Whitfield missed Free Throw.,22,46
2:03,-1,Majerle Poole Defensive Rebound.,22,46
1:41,-1,Rickey Porter made Jumper. Assisted by Majerle Poole.,24,46
1:15,2097,Kyre' Hamer Turnover.,24,46
1:05,-1,Davian Bryan made Layup. Assisted by Jonathan Paramore.,26,46
0:49,-1,Foul on Davian Bryan.,26,46
0:49,2097,Shane Whitfield made Free Throw.,26,47
0:49,2097,Shane Whitfield made Free Throw.,26,48
0:32,-1,Rickey Porter made Layup. Assisted by Jonathan Paramore.,28,48
0:32,2097,Foul on Quinton Ray.,28,48
0:32,-1,Rickey Porter made Free Throw.,29,48
0:27,2097,Campbell  Timeout,29,48
0:12,2097,Damontez Oliver missed Three Point Jumper.,29,48
0:12,-1,Johnson & Wales (NC) Defensive Rebound.,29,48
0:00,-1,Davian Bryan made Jumper. Assisted by Jonathan Paramore.,31,48
0:00,2097,End of 1st half,31,48
19:40,-1,Rickey Porter made Layup. Assisted by Javon Smith.,33,48
19:10,2097,Shane Whitfield Turnover.,33,48
19:09,-1,Jayvoine Parker Steal.,33,48
18:59,2097,Foul on Chris Clemons.,33,48
18:59,-1,Alcyone Moore missed Free Throw.,33,48
18:59,-1,Johnson & Wales (NC) Deadball Team Rebound.,33,48
18:59,-1,Alcyone Moore made Free Throw.,34,48
18:39,2097,Andrew Eudy made Jumper.,34,50
18:20,-1,Majerle Poole made Three Point Jumper. Assisted by Javon Smith.,37,50
18:08,2097,Chris Clemons missed Three Point Jumper.,37,50
18:08,-1,Jayvoine Parker Defensive Rebound.,37,50
17:39,-1,Javon Smith missed Jumper.,37,50
17:39,-1,Rickey Porter Offensive Rebound.,37,50
17:35,2097,Foul on Cory Gensler.,37,50
17:35,-1,Rickey Porter made Free Throw.,38,50
17:35,-1,Rickey Porter made Free Throw.,39,50
17:27,2097,Marcus Burk made Layup. Assisted by Andrew Eudy.,39,52
17:12,-1,Rickey Porter made Layup. Assisted by Javon Smith.,41,52
16:57,2097,Cory Gensler made Three Point Jumper. Assisted by Andrew Eudy.,41,55
16:38,-1,Rickey Porter missed Jumper.,41,55
16:38,2097,Marcus Burk Defensive Rebound.,41,55
16:06,2097,Kyre' Hamer made Three Point Jumper. Assisted by Marcus Burk.,41,58
15:47,-1,Majerle Poole made Three Point Jumper. Assisted by Alcyone Moore.,44,58
15:23,2097,Marcus Burk missed Three Point Jumper.,44,58
15:23,2097,Andrew Eudy Offensive Rebound.,44,58
15:11,2097,Andrew Eudy made Jumper.,44,60
14:56,-1,Alcyone Moore missed Jumper.,44,60
14:56,2097,Shane Whitfield Defensive Rebound.,44,60
14:54,-1,Foul on Rickey Porter.,44,60
14:54,2097,Official TV Timeout,44,60
14:29,2097,Marcus Burk made Three Point Jumper. Assisted by Kyre' Hamer.,44,63
14:08,-1,Jayvoine Parker missed Jumper.,44,63
14:08,2097,Andrew Eudy Defensive Rebound.,44,63
14:07,2097,Andrew Eudy Turnover.,44,63
14:03,-1,Jonathan Paramore Turnover.,44,63
14:02,2097,Kyre' Hamer Steal.,44,63
13:58,2097,Kyre' Hamer made Layup.,44,65
13:32,-1,Deiontae Mcmillian Turnover.,44,65
13:30,2097,Cory Gensler Steal.,44,65
13:27,2097,Cory Gensler made Three Point Jumper. Assisted by Marcus Burk.,44,68
13:12,2097,Foul on Kyre' Hamer.,44,68
13:11,-1,Majerle Poole missed Jumper.,44,68
13:11,2097,Cory Gensler Defensive Rebound.,44,68
12:50,2097,Kyre' Hamer made Three Point Jumper. Assisted by Marcus Burk.,44,71
12:30,-1,Davian Bryan Turnover.,44,71
12:29,2097,Marcus Burk Steal.,44,71
12:14,2097,Marcus Burk Turnover.,44,71
11:55,-1,Rickey Porter missed Jumper.,44,71
11:55,2097,Kyre' Hamer Defensive Rebound.,44,71
11:48,2097,Kyre' Hamer made Layup.,44,73
11:35,-1,Christian Creswell missed Layup.,44,73
11:35,2097,Mogga Lado Defensive Rebound.,44,73
11:17,2097,Damontez Oliver Turnover.,44,73
11:14,2097,Official TV Timeout,44,73
11:01,-1,Alcyone Moore made Jumper. Assisted by Javon Smith.,46,73
10:32,2097,Andrew Eudy missed Three Point Jumper.,46,73
10:32,2097,Campbell Offensive Rebound.,46,73
10:03,2097,Mogga Lado missed Layup.,46,73
10:03,-1,Alcyone Moore Block.,46,73
10:01,2097,Mogga Lado Offensive Rebound.,46,73
10:00,2097,Mogga Lado made Layup.,46,75
9:33,-1,Rickey Porter missed Layup.,46,75
9:33,2097,Austin Burnette Block.,46,75
9:31,2097,Damontez Oliver Defensive Rebound.,46,75
9:26,2097,Marcus Burk made Three Point Jumper. Assisted by Kyre' Hamer.,46,78
9:06,-1,Jayvoine Parker missed Layup.,46,78
9:06,2097,Austin Burnette Defensive Rebound.,46,78
8:55,2097,Foul on Mogga Lado.,46,78
8:55,2097,Mogga Lado Turnover.,46,78
8:43,2097,Foul on Austin Burnette.,46,78
8:43,-1,Alcyone Moore missed Free Throw.,46,78
8:43,-1,Johnson & Wales (NC) Deadball Team Rebound.,46,78
8:43,-1,Alcyone Moore missed Free Throw.,46,78
8:43,2097,Austin Burnette Defensive Rebound.,46,78
8:29,2097,Marcus Burk missed Layup.,46,78
8:29,-1,Rickey Porter Defensive Rebound.,46,78
8:21,-1,Majerle Poole missed Three Point Jumper.,46,78
8:21,2097,Chris Clemons Defensive Rebound.,46,78
8:08,2097,Damontez Oliver missed Three Point Jumper.,46,78
8:08,-1,Javon Smith Defensive Rebound.,46,78
7:55,-1,Javon Smith made Jumper.,48,78
7:35,2097,Austin Burnette missed Three Point Jumper.,48,78
7:35,-1,Majerle Poole Defensive Rebound.,48,78
7:14,-1,Jayvoine Parker made Jumper. Assisted by Majerle Poole.,50,78
6:51,-1,Foul on Rickey Porter.,50,78
6:51,2097,Official TV Timeout,50,78
6:51,2097,Damontez Oliver missed Free Throw.,50,78
6:51,2097,Campbell Deadball Team Rebound.,50,78
6:51,2097,Damontez Oliver made Free Throw.,50,79
6:31,-1,Rickey Porter made Layup. Assisted by Majerle Poole.,52,79
6:14,2097,Cory Gensler Turnover.,52,79
6:13,-1,Javon Smith Steal.,52,79
5:56,-1,Rickey Porter made Jumper. Assisted by Majerle Poole.,54,79
5:30,2097,Cory Gensler made Three Point Jumper. Assisted by Damontez Oliver.,54,82
5:09,-1,Majerle Poole missed Three Point Jumper.,54,82
5:09,2097,Chris Clemons Defensive Rebound.,54,82
5:00,2097,Chris Clemons missed Three Point Jumper.,54,82
5:00,-1,Majerle Poole Defensive Rebound.,54,82
4:52,-1,Jayvoine Parker missed Three Point Jumper.,54,82
4:52,2097,Mogga Lado Defensive Rebound.,54,82
4:31,-1,Foul on Javon Smith.,54,82
4:07,2097,Damontez Oliver Turnover.,54,82
3:54,-1,Alcyone Moore Turnover.,54,82
3:52,2097,Cory Gensler Steal.,54,82
3:41,2097,Damontez Oliver made Layup. Assisted by Austin Burnette.,54,84
3:19,-1,Majerle Poole Turnover.,54,84
3:18,2097,Cory Gensler Steal.,54,84
3:05,-1,Foul on Christian Creswell.,54,84
3:05,2097,Official TV Timeout,54,84
3:03,2097,Jon Ander Cuadra made Layup. Assisted by Marcus Burk.,54,86
2:37,-1,Jonathan Paramore made Layup.,56,86
2:15,2097,Jon Ander Cuadra Turnover.,56,86
2:04,-1,Miles Myrick Turnover.,56,86
2:03,2097,Nick Parker Steal.,56,86
2:00,2097,Jacob Talbert missed Layup.,56,86
2:00,2097,Jon Ander Cuadra Offensive Rebound.,56,86
1:58,2097,Jon Ander Cuadra made Two Point Tip Shot.,56,88
1:43,2097,Foul on Jacob Talbert.,56,88
1:43,-1,James Veal missed Free Throw.,56,88
1:43,-1,Johnson & Wales (NC) Deadball Team Rebound.,56,88
1:43,-1,James Veal made Free Throw.,57,88
1:23,2097,Josh Crumpler missed Three Point Jumper.,57,88
1:23,-1,Davian Bryan Defensive Rebound.,57,88
1:21,2097,Foul on Jacob Talbert.,57,88
1:21,-1,Davian Bryan made Free Throw.,58,88
1:21,-1,Davian Bryan made Free Throw.,59,88
1:04,2097,Jacob Talbert missed Jumper.,59,88
1:04,-1,Miles Myrick Defensive Rebound.,59,88
0:55,-1,Malik Bullock missed Jumper.,59,88
0:55,2097,Jon Ander Cuadra Defensive Rebound.,59,88
0:37,2097,Jon Ander Cuadra made Layup. Assisted by Nick Parker.,59,90
0:28,-1,Chris Greer missed Three Point Jumper.,59,90
0:28,2097,Josh Crumpler Defensive Rebound.,59,90
0:05,-1,Foul on Deiontae Mcmillian.,59,90
0:01,2097,Nick Parker Turnover.,59,90
0:00,-1,Malik Bullock Steal.,59,90
0:00,2097,End of Game,59,90
