Temple,2325,La Salle,218
13:32,218,Damion Moore missed Jumper.,9,6
13:32,2325,B.J. Johnson Defensive Rebound.,9,6
13:16,2325,B.J. Johnson missed Layup.,9,6
13:16,218,Obi Enechionyia Block.,9,6
13:16,2325,Amar Stukes Offensive Rebound.,9,6
13:14,2325,Amar Stukes missed Layup.,9,6
13:14,218,Quinton Rose Defensive Rebound.,9,6
13:10,218,Quinton Rose made Layup.,11,6
13:10,2325,Foul on Isiah Deas.,11,6
13:10,218,Quinton Rose made Free Throw.,12,6
12:49,2325,Pookie Powell missed Layup.,12,6
12:49,218,Obi Enechionyia Defensive Rebound.,12,6
12:34,218,Damion Moore made Jumper. Assisted by Alani Moore II.,14,6
12:18,2325,Isiah Deas missed Layup.,14,6
12:18,218,Damion Moore Defensive Rebound.,14,6
12:08,218,Alani Moore II Turnover.,14,6
11:55,2325,Amar Stukes missed Layup.,14,6
11:55,2325,Tony Washington Offensive Rebound.,14,6
11:52,2325,Tony Washington made Layup.,14,8
11:36,218,Shizz Alston Jr. made Layup.,16,8
11:19,2325,Tony Washington missed Jumper.,16,8
11:19,218,Alani Moore II Defensive Rebound.,16,8
11:06,2325,Official TV Timeout,16,8
10:51,218,Quinton Rose missed Three Point Jumper.,16,8
10:51,2325,Isiah Deas Defensive Rebound.,16,8
10:32,2325,B.J. Johnson missed Three Point Jumper.,16,8
10:32,218,Alani Moore II Defensive Rebound.,16,8
10:24,2325,Foul on B.J. Johnson.,16,8
10:24,218,Obi Enechionyia made Free Throw.,17,8
10:24,218,Obi Enechionyia made Free Throw.,18,8
10:12,2325,Amar Stukes made Jumper.,18,10
10:00,218,Quinton Rose made Jumper.,20,10
9:32,2325,Amar Stukes made Layup.,20,12
9:18,218,Quinton Rose missed Three Point Jumper.,20,12
9:18,218,De'Vondre Perry Offensive Rebound.,20,12
9:15,218,De'Vondre Perry made Dunk.,22,12
9:06,218,Foul on Alani Moore II.,22,12
8:53,2325,Saul Phiri made Three Point Jumper. Assisted by Isiah Deas.,22,15
8:33,218,Josh Brown made Jumper.,24,15
8:15,2325,Amar Stukes missed Jumper.,24,15
8:15,2325,Tony Washington Offensive Rebound.,24,15
8:07,2325,Isiah Deas made Three Point Jumper. Assisted by Saul Phiri.,24,18
7:46,218,Josh Brown missed Jumper.,24,18
7:46,2325,La Salle Defensive Rebound.,24,18
7:45,2325,Official TV Timeout,24,18
7:17,2325,B.J. Johnson missed Jumper.,24,18
7:17,218,Shizz Alston Jr. Defensive Rebound.,24,18
7:08,218,De'Vondre Perry missed Three Point Jumper.,24,18
7:08,2325,Saul Phiri Defensive Rebound.,24,18
6:56,2325,Pookie Powell missed Layup.,24,18
6:56,2325,Tony Washington Offensive Rebound.,24,18
6:54,2325,Tony Washington made Two Point Tip Shot.,24,20
6:23,218,De'Vondre Perry made Three Point Jumper. Assisted by Shizz Alston Jr..,27,20
6:05,2325,B.J. Johnson missed Jumper.,27,20
6:05,2325,Tony Washington Offensive Rebound.,27,20
5:55,2325,Tony Washington missed Layup.,27,20
5:55,218,Obi Enechionyia Defensive Rebound.,27,20
5:37,218,Shizz Alston Jr. made Three Point Jumper.,30,20
5:15,2325,Pookie Powell made Layup.,30,22
5:15,218,Foul on Josh Brown.,30,22
5:15,2325,Pookie Powell made Free Throw.,30,23
4:56,218,Shizz Alston Jr. missed Three Point Jumper.,30,23
4:56,218,Obi Enechionyia Offensive Rebound.,30,23
4:54,2325,Foul on Isiah Deas.,30,23
4:49,218,Obi Enechionyia made Three Point Jumper. Assisted by Josh Brown.,33,23
4:13,2325,Saul Phiri missed Three Point Jumper.,33,23
4:13,218,De'Vondre Perry Defensive Rebound.,33,23
3:56,2325,Foul on Amar Stukes.,33,23
3:56,2325,Official TV Timeout,33,23
3:55,2325,Official TV Timeout,33,23
3:39,218,Josh Brown missed Jumper.,33,23
3:39,2325,Isiah Deas Defensive Rebound.,33,23
3:17,2325,Isiah Deas made Three Point Jumper. Assisted by Saul Phiri.,33,26
3:03,218,Quinton Rose made Jumper.,35,26
2:47,2325,B.J. Johnson made Jumper.,35,28
2:37,218,Quinton Rose made Jumper.,37,28
2:24,2325,Pookie Powell made Three Point Jumper. Assisted by Isiah Deas.,37,31
2:13,218,Quinton Rose made Jumper.,39,31
1:56,2325,B.J. Johnson made Jumper.,39,33
1:43,218,Quinton Rose missed Jumper.,39,33
1:43,2325,B.J. Johnson Defensive Rebound.,39,33
1:38,2325,Pookie Powell made Layup. Assisted by B.J. Johnson.,39,35
1:13,218,Quinton Rose Turnover.,39,35
1:12,2325,Pookie Powell Steal.,39,35
1:08,2325,Pookie Powell made Layup.,39,37
1:05,218,Temple  Timeout,39,37
0:42,2325,Foul on Isiah Deas.,39,37
0:42,218,Shizz Alston Jr. made Free Throw.,40,37
0:42,218,Shizz Alston Jr. made Free Throw.,41,37
0:12,2325,Saul Phiri missed Layup.,41,37
0:12,2325,Saul Phiri Offensive Rebound.,41,37
0:11,2325,La Salle  Turnover.,41,37
0:01,218,Quinton Rose made Layup.,43,37
0:00,2325,End of 1st half,43,37
19:42,2325,B.J. Johnson missed Jumper.,43,37
19:42,218,Shizz Alston Jr. Defensive Rebound.,43,37
19:14,218,Ernest Aflakpui missed Layup.,43,37
19:14,2325,Saul Phiri Defensive Rebound.,43,37
18:47,2325,B.J. Johnson made Jumper. Assisted by Pookie Powell.,43,39
18:14,218,Josh Brown missed Jumper.,43,39
18:14,218,Temple Offensive Rebound.,43,39
18:05,218,Shizz Alston Jr. missed Jumper.,43,39
18:05,2325,Tony Washington Defensive Rebound.,43,39
17:58,218,Foul on Josh Brown.,43,39
17:58,2325,Pookie Powell missed Free Throw.,43,39
17:58,2325,La Salle Deadball Team Rebound.,43,39
17:58,2325,Pookie Powell made Free Throw.,43,40
17:40,218,Quinton Rose made Dunk.,45,40
17:27,2325,Tony Washington missed Layup.,45,40
17:27,218,Ernest Aflakpui Defensive Rebound.,45,40
17:17,2325,Foul on Tony Washington.,45,40
17:17,218,Ernest Aflakpui made Free Throw.,46,40
17:17,218,Ernest Aflakpui missed Free Throw.,46,40
17:17,2325,Saul Phiri Defensive Rebound.,46,40
17:10,2325,Pookie Powell missed Layup.,46,40
17:10,218,Josh Brown Defensive Rebound.,46,40
17:02,218,Quinton Rose made Jumper. Assisted by Shizz Alston Jr..,48,40
16:32,2325,B.J. Johnson made Jumper.,48,42
16:16,218,Ernest Aflakpui made Layup. Assisted by Obi Enechionyia.,50,42
16:00,2325,Saul Phiri made Jumper.,50,44
15:45,218,Shizz Alston Jr. made Jumper.,52,44
15:17,2325,Tony Washington made Layup. Assisted by Saul Phiri.,52,46
15:03,218,Obi Enechionyia made Three Point Jumper. Assisted by Josh Brown.,55,46
14:46,2325,Pookie Powell missed Three Point Jumper.,55,46
14:46,218,Quinton Rose Defensive Rebound.,55,46
14:20,218,Foul on Shizz Alston Jr..,55,46
14:20,218,Shizz Alston Jr. Turnover.,55,46
14:20,2325,Official TV Timeout,55,46
13:58,2325,Isiah Deas missed Jumper.,55,46
13:58,218,Ernest Aflakpui Defensive Rebound.,55,46
13:40,218,Obi Enechionyia missed Jumper.,55,46
13:40,2325,Tony Washington Defensive Rebound.,55,46
13:40,218,Foul on Ernest Aflakpui.,55,46
13:25,2325,B.J. Johnson made Jumper.,55,48
13:03,218,Josh Brown made Jumper.,57,48
12:44,2325,B.J. Johnson made Three Point Jumper.,57,51
12:20,218,Obi Enechionyia made Dunk. Assisted by Josh Brown.,59,51
12:09,2325,B.J. Johnson made Jumper.,59,53
11:54,218,Shizz Alston Jr. made Three Point Jumper.,62,53
11:46,2325,Pookie Powell missed Three Point Jumper.,62,53
11:46,2325,Tony Washington Offensive Rebound.,62,53
11:40,2325,Tony Washington made Dunk.,62,55
11:24,218,Quinton Rose missed Jumper.,62,55
11:24,218,Josh Brown Offensive Rebound.,62,55
11:21,218,Josh Brown made Layup.,64,55
11:10,2325,B.J. Johnson missed Jumper.,64,55
11:10,218,Quinton Rose Defensive Rebound.,64,55
10:57,218,Damion Moore made Layup. Assisted by Quinton Rose.,66,55
10:46,2325,La Salle  Timeout,66,55
10:22,2325,Pookie Powell made Three Point Jumper.,66,58
9:49,218,De'Vondre Perry missed Three Point Jumper.,66,58
9:49,2325,Amar Stukes Defensive Rebound.,66,58
9:37,2325,Pookie Powell missed Jumper.,66,58
9:37,218,Damion Moore Block.,66,58
9:35,218,Quinton Rose Defensive Rebound.,66,58
9:33,2325,Official TV Timeout,66,58
9:31,218,Damion Moore Turnover.,66,58
9:13,2325,Isiah Deas missed Three Point Jumper.,66,58
9:13,218,Temple Defensive Rebound.,66,58
8:49,218,Shizz Alston Jr. missed Jumper.,66,58
8:49,2325,La Salle Defensive Rebound.,66,58
8:49,218,Foul on Damion Moore.,66,58
8:40,2325,Pookie Powell made Jumper.,66,60
8:26,218,Quinton Rose Turnover.,66,60
8:25,2325,B.J. Johnson Steal.,66,60
8:17,2325,Isiah Deas made Layup. Assisted by B.J. Johnson.,66,62
8:08,218,Alani Moore II missed Three Point Jumper.,66,62
8:08,2325,Amar Stukes Defensive Rebound.,66,62
8:04,218,Foul on De'Vondre Perry.,66,62
7:49,2325,B.J. Johnson made Jumper.,66,64
7:33,218,Alani Moore II Turnover.,66,64
7:32,2325,Saul Phiri Steal.,66,64
7:29,2325,Pookie Powell made Layup. Assisted by Saul Phiri.,66,66
7:05,2325,Foul on Isiah Deas.,66,66
7:05,2325,Official TV Timeout,66,66
7:04,218,Quinton Rose made Jumper. Assisted by Josh Brown.,68,66
6:50,2325,Tony Washington made Dunk. Assisted by Pookie Powell.,68,68
6:26,218,Obi Enechionyia made Three Point Jumper. Assisted by Josh Brown.,71,68
6:08,2325,Tony Washington missed Layup.,71,68
6:08,2325,Pookie Powell Offensive Rebound.,71,68
6:06,218,Foul on Josh Brown.,71,68
6:06,2325,Pookie Powell made Free Throw.,71,69
6:06,2325,Pookie Powell made Free Throw.,71,70
5:56,218,Shizz Alston Jr. made Jumper. Assisted by Josh Brown.,73,70
5:44,2325,Pookie Powell made Jumper.,73,72
5:30,218,Shizz Alston Jr. made Jumper.,75,72
5:18,2325,Pookie Powell missed Three Point Jumper.,75,72
5:18,218,Ernest Aflakpui Defensive Rebound.,75,72
5:05,2325,Foul on Tony Washington.,75,72
5:05,218,Ernest Aflakpui made Free Throw.,76,72
5:05,218,Ernest Aflakpui missed Free Throw.,76,72
5:05,2325,B.J. Johnson Defensive Rebound.,76,72
4:39,2325,B.J. Johnson missed Three Point Jumper.,76,72
4:39,2325,Johnnie Shuler Offensive Rebound.,76,72
4:27,218,Shizz Alston Jr. missed Three Point Jumper.,76,72
4:27,2325,Pookie Powell Defensive Rebound.,76,72
4:23,2325,B.J. Johnson made Dunk. Assisted by Pookie Powell.,76,74
4:18,2325,La Salle  Timeout,76,74
4:05,218,Obi Enechionyia Turnover.,76,74
4:04,2325,Pookie Powell Steal.,76,74
3:51,218,Foul on Ernest Aflakpui.,76,74
3:51,2325,B.J. Johnson made Free Throw.,76,75
3:51,2325,B.J. Johnson made Free Throw.,76,76
3:31,218,Quinton Rose missed Three Point Jumper.,76,76
3:31,2325,Saul Phiri Defensive Rebound.,76,76
3:19,2325,B.J. Johnson missed Three Point Jumper.,76,76
3:19,218,Shizz Alston Jr. Defensive Rebound.,76,76
3:01,218,De'Vondre Perry missed Jumper.,76,76
2:58,218,Quinton Rose Offensive Rebound.,76,76
2:55,218,Quinton Rose missed Jumper.,76,76
2:55,218,Josh Brown Offensive Rebound.,76,76
2:51,218,Obi Enechionyia made Three Point Jumper. Assisted by Josh Brown.,79,76
2:33,218,Foul on De'Vondre Perry.,79,76
2:33,2325,Pookie Powell made Free Throw.,79,77
2:33,2325,Pookie Powell made Free Throw.,79,78
2:26,218,Temple  Timeout,79,78
2:22,218,Obi Enechionyia missed Three Point Jumper.,79,78
2:21,2325,Isiah Deas Defensive Rebound.,79,78
2:14,218,Foul on Shizz Alston Jr..,79,78
2:14,2325,Amar Stukes made Free Throw.,79,79
2:14,2325,Amar Stukes made Free Throw.,79,80
1:48,218,Quinton Rose made Jumper.,81,80
1:29,2325,B.J. Johnson missed Jumper.,81,80
1:29,218,Shizz Alston Jr. Defensive Rebound.,81,80
1:27,218,Shizz Alston Jr. Turnover.,81,80
1:20,2325,B.J. Johnson Turnover.,81,80
1:19,218,Quinton Rose Steal.,81,80
1:00,218,Quinton Rose Turnover.,81,80
1:00,2325,La Salle  Timeout,81,80
0:39,2325,Pookie Powell made Three Point Jumper.,81,83
0:20,218,Quinton Rose Turnover.,81,83
0:19,2325,Saul Phiri Steal.,81,83
0:18,218,Foul on Josh Brown.,81,83
0:18,218,Temple  Timeout,81,83
0:18,2325,Saul Phiri made Free Throw.,81,84
0:18,2325,Saul Phiri made Free Throw.,81,85
0:10,218,Josh Brown missed Jumper.,81,85
0:10,218,De'Vondre Perry Offensive Rebound.,81,85
0:08,218,De'Vondre Perry made Layup.,83,85
0:08,218,Temple  Timeout,83,85
0:07,218,Foul on Shizz Alston Jr..,83,85
0:07,2325,B.J. Johnson made Free Throw.,83,86
0:07,2325,B.J. Johnson made Free Throw.,83,87
0:01,218,Josh Brown missed Layup.,83,87
0:01,2325,B.J. Johnson Block.,83,87
0:00,2325,Isiah Deas Defensive Rebound.,83,87
0:00,2325,End of Game,83,87
