Harvard,2239,CS Fullerton,108
14:48,2239,Jackson Rowe made Three Point Jumper. Assisted by Jamal Smith.,8,9
14:23,108,Corey Johnson made Three Point Jumper. Assisted by Bryce Aiken.,11,9
14:00,2239,Kyle Allman missed Three Point Jumper.,11,9
14:00,2239,Jackson Rowe Offensive Rebound.,11,9
13:55,2239,Jackson Rowe made Layup.,11,11
13:36,108,Seth Towns missed Three Point Jumper.,11,11
13:36,2239,Jamal Smith Defensive Rebound.,11,11
13:23,108,Foul on Chris Lewis.,11,11
13:23,2239,Kyle Allman missed Free Throw.,11,11
13:23,2239,CSU Fullerton Deadball Team Rebound.,11,11
13:23,2239,Kyle Allman made Free Throw.,11,12
13:10,108,Rio Haskett Turnover.,11,12
12:58,2239,Jackson Rowe made Three Point Jumper. Assisted by Austen Awosika.,11,15
12:44,108,Robert Baker made Jumper. Assisted by Corey Johnson.,13,15
12:24,108,Foul on Weisner Perez.,13,15
12:24,2239,Kyle Allman made Free Throw.,13,16
12:24,2239,Kyle Allman missed Free Throw.,13,16
12:24,108,Weisner Perez Defensive Rebound.,13,16
11:55,108,Corey Johnson made Three Point Jumper. Assisted by Rio Haskett.,16,16
11:32,2239,Arkim Robertson missed Dunk.,16,16
11:32,108,Harvard Deadball Team Rebound.,16,16
11:32,2239,Official TV Timeout,16,16
11:15,108,Justin Bassey made Three Point Jumper. Assisted by Bryce Aiken.,19,16
10:49,2239,Ian Fox Turnover.,19,16
10:48,108,Reed Farley Steal.,19,16
10:46,108,Reed Farley missed Layup.,19,16
10:46,2239,Davon Clare Defensive Rebound.,19,16
10:38,2239,Foul on Austen Awosika.,19,16
10:38,2239,Austen Awosika Turnover.,19,16
10:23,108,Chris Lewis made Layup. Assisted by Robert Baker.,21,16
10:01,2239,Khalil Ahmad missed Jumper.,21,16
10:01,108,Bryce Aiken Defensive Rebound.,21,16
9:54,108,Bryce Aiken missed Three Point Jumper.,21,16
9:54,2239,Arkim Robertson Defensive Rebound.,21,16
9:44,2239,Austen Awosika made Layup.,21,18
9:44,108,Foul on Chris Lewis.,21,18
9:44,2239,Austen Awosika made Free Throw.,21,19
9:32,2239,Foul on Jackson Rowe.,21,19
9:12,108,Seth Towns missed Jumper.,21,19
9:12,2239,Austen Awosika Defensive Rebound.,21,19
9:06,2239,Austen Awosika made Jumper.,21,21
8:57,108,Bryce Aiken made Layup.,23,21
8:30,2239,Jackson Rowe made Layup. Assisted by Austen Awosika.,23,23
8:09,108,Seth Towns Turnover.,23,23
7:59,2239,Austen Awosika missed Jumper.,23,23
7:59,108,Robert Baker Defensive Rebound.,23,23
7:46,108,Justin Bassey missed Jumper.,23,23
7:46,2239,Jackson Rowe Defensive Rebound.,23,23
7:20,2239,Davon Clare missed Three Point Jumper.,23,23
7:20,2239,CSU Fullerton Offensive Rebound.,23,23
7:17,2239,Official TV Timeout,23,23
7:01,2239,Khalil Ahmad missed Three Point Jumper.,23,23
7:01,108,Corey Johnson Defensive Rebound.,23,23
6:50,108,Rio Haskett made Three Point Jumper. Assisted by Christian Juzang.,26,23
6:26,2239,Khalil Ahmad missed Jumper.,26,23
6:26,108,Rio Haskett Defensive Rebound.,26,23
6:10,108,Christian Juzang missed Three Point Jumper.,26,23
6:10,2239,Austen Awosika Defensive Rebound.,26,23
5:54,108,Foul on Robert Baker.,26,23
5:41,2239,Kyle Allman made Jumper. Assisted by Austen Awosika.,26,25
5:29,108,Rio Haskett missed Jumper.,26,25
5:29,2239,Arkim Robertson Defensive Rebound.,26,25
5:14,2239,Arkim Robertson made Layup. Assisted by Jackson Rowe.,26,27
4:51,108,Bryce Aiken missed Three Point Jumper.,26,27
4:51,2239,Kyle Allman Defensive Rebound.,26,27
4:42,2239,Austen Awosika missed Layup.,26,27
4:42,108,Chris Lewis Block.,26,27
4:39,2239,Arkim Robertson Offensive Rebound.,26,27
4:20,2239,Austen Awosika Turnover.,26,27
3:56,108,Rio Haskett made Jumper.,28,27
3:29,2239,Kyle Allman made Jumper. Assisted by Jamal Smith.,28,29
3:17,108,Bryce Aiken missed Three Point Jumper.,28,29
3:17,2239,Austen Awosika Defensive Rebound.,28,29
2:54,2239,Foul on Arkim Robertson.,28,29
2:54,2239,Arkim Robertson Turnover.,28,29
2:54,2239,Official TV Timeout,28,29
2:36,108,Robert Baker Turnover.,28,29
2:35,2239,Ian Fox Steal.,28,29
2:34,108,Foul on Corey Johnson.,28,29
2:34,2239,Jamal Smith missed Free Throw.,28,29
2:34,2239,CSU Fullerton Deadball Team Rebound.,28,29
2:34,2239,Jamal Smith made Free Throw.,28,30
2:14,108,Rio Haskett missed Jumper.,28,30
2:14,108,Rio Haskett Offensive Rebound.,28,30
2:12,108,Rio Haskett Turnover.,28,30
1:53,108,Foul on Seth Towns.,28,30
1:53,2239,Jamal Smith made Free Throw.,28,31
1:53,2239,Jamal Smith made Free Throw.,28,32
1:29,108,Seth Towns missed Jumper.,28,32
1:29,2239,Jackson Rowe Defensive Rebound.,28,32
1:09,108,Foul on Bryce Aiken.,28,32
1:09,2239,Jamal Smith missed Free Throw.,28,32
1:09,108,Robert Baker Defensive Rebound.,28,32
0:51,108,Bryce Aiken Turnover.,28,32
0:50,2239,Kyle Allman Steal.,28,32
0:29,2239,Ian Fox missed Three Point Jumper.,28,32
0:29,108,Robert Baker Defensive Rebound.,28,32
0:02,108,Bryce Aiken made Layup.,30,32
0:00,2239,End of 1st half,30,32
19:25,108,Justin Bassey made Three Point Jumper. Assisted by Bryce Aiken.,33,32
19:02,2239,Kyle Allman made Layup. Assisted by Jackson Rowe.,33,34
19:02,108,Foul on Chris Lewis.,33,34
19:02,2239,Kyle Allman missed Free Throw.,33,34
19:02,108,Rio Haskett Defensive Rebound.,33,34
18:38,108,Robert Baker missed Three Point Jumper.,33,34
18:38,2239,Khalil Ahmad Defensive Rebound.,33,34
18:28,2239,Jamal Smith Turnover.,33,34
18:11,108,Chris Lewis made Layup. Assisted by Robert Baker.,35,34
18:11,2239,Foul on Jamal Smith.,35,34
18:11,108,Chris Lewis missed Free Throw.,35,34
18:11,2239,Arkim Robertson Defensive Rebound.,35,34
17:52,2239,Arkim Robertson made Dunk. Assisted by Khalil Ahmad.,35,36
17:34,108,Robert Baker Turnover.,35,36
17:17,108,Foul on Justin Bassey.,35,36
17:17,2239,Khalil Ahmad made Free Throw.,35,37
17:17,2239,Khalil Ahmad made Free Throw.,35,38
17:02,2239,Foul on Jackson Rowe.,35,38
17:02,108,Bryce Aiken missed Free Throw.,35,38
17:02,108,Harvard Deadball Team Rebound.,35,38
17:02,108,Bryce Aiken made Free Throw.,36,38
16:46,108,Foul on Robert Baker.,36,38
16:28,2239,Foul on Kyle Allman.,36,38
16:28,2239,Kyle Allman Turnover.,36,38
16:09,108,Bryce Aiken made Jumper.,38,38
15:47,108,Foul on Weisner Perez.,38,38
15:47,2239,Official TV Timeout,38,38
15:47,2239,Arkim Robertson made Free Throw.,38,39
15:47,2239,Arkim Robertson made Free Throw.,38,40
15:31,108,Chris Lewis missed Jumper.,38,40
15:31,108,Weisner Perez Offensive Rebound.,38,40
15:18,108,Weisner Perez missed Jumper.,38,40
15:18,2239,Austen Awosika Defensive Rebound.,38,40
15:10,2239,Kyle Allman Turnover.,38,40
14:52,2239,Foul on Arkim Robertson.,38,40
14:47,108,Bryce Aiken missed Jumper.,38,40
14:47,108,Harvard Offensive Rebound.,38,40
14:33,108,Chris Lewis missed Layup.,38,40
14:33,2239,Jackson Rowe Block.,38,40
14:32,2239,Khalil Ahmad Defensive Rebound.,38,40
14:20,2239,Jackson Rowe made Three Point Jumper. Assisted by Austen Awosika.,38,43
14:07,108,Corey Johnson missed Three Point Jumper.,38,43
14:07,2239,CSU Fullerton Defensive Rebound.,38,43
14:05,108,Foul on Weisner Perez.,38,43
13:51,2239,Dominik Heinzl Turnover.,38,43
13:28,108,Corey Johnson made Three Point Jumper. Assisted by Rio Haskett.,41,43
13:07,2239,Kyle Allman missed Three Point Jumper.,41,43
13:07,108,Corey Johnson Defensive Rebound.,41,43
12:56,108,Chris Lewis made Dunk. Assisted by Reed Farley.,43,43
12:33,2239,Jackson Rowe made Three Point Jumper. Assisted by Austen Awosika.,43,46
12:30,2239,CSU Fullerton  Timeout,43,46
12:14,108,Robert Baker made Three Point Jumper. Assisted by Rio Haskett.,46,46
11:54,2239,Kyle Allman Turnover.,46,46
11:53,2239,Official TV Timeout,46,46
11:30,108,Chris Lewis missed Jumper.,46,46
11:30,2239,CSU Fullerton Defensive Rebound.,46,46
11:13,2239,Jackson Rowe made Three Point Jumper. Assisted by Austen Awosika.,46,49
10:51,108,Chris Lewis missed Jumper.,46,49
10:51,2239,Jamal Smith Block.,46,49
10:48,108,Corey Johnson Offensive Rebound.,46,49
10:47,108,Corey Johnson missed Three Point Jumper.,46,49
10:47,2239,Austen Awosika Defensive Rebound.,46,49
10:38,2239,Austen Awosika Turnover.,46,49
10:29,108,Bryce Aiken Turnover.,46,49
10:28,2239,Jackson Rowe Steal.,46,49
10:24,2239,Jamal Smith Turnover.,46,49
10:23,108,Chris Lewis Steal.,46,49
10:05,108,Rio Haskett missed Jumper.,46,49
10:05,2239,Jamal Smith Block.,46,49
10:04,108,Harvard Offensive Rebound.,46,49
9:53,108,Bryce Aiken Turnover.,46,49
9:52,2239,Kyle Allman Steal.,46,49
9:50,108,Foul on Rio Haskett.,46,49
9:50,2239,Kyle Allman made Free Throw.,46,50
9:50,2239,Kyle Allman made Free Throw.,46,51
9:36,108,Bryce Aiken made Layup. Assisted by Robert Baker.,48,51
9:16,108,Foul on Weisner Perez.,48,51
9:16,2239,Austen Awosika made Free Throw.,48,52
9:16,2239,Austen Awosika made Free Throw.,48,53
9:01,108,Bryce Aiken Turnover.,48,53
9:00,2239,Jamal Smith Steal.,48,53
8:50,2239,Jackson Rowe made Dunk. Assisted by Kyle Allman.,48,55
8:20,108,Weisner Perez made Layup. Assisted by Chris Lewis.,50,55
8:19,108,Harvard  Timeout,50,55
8:00,2239,Khalil Ahmad missed Layup.,50,55
8:00,108,Robert Baker Defensive Rebound.,50,55
7:35,108,Rio Haskett made Layup.,52,55
7:12,2239,Austen Awosika missed Layup.,52,55
7:12,108,Rio Haskett Defensive Rebound.,52,55
6:41,108,Corey Johnson missed Jumper.,52,55
6:41,2239,Arkim Robertson Defensive Rebound.,52,55
6:19,2239,Khalil Ahmad missed Three Point Jumper.,52,55
6:19,2239,Davon Clare Offensive Rebound.,52,55
6:08,2239,Austen Awosika missed Three Point Jumper.,52,55
6:08,108,Robert Baker Defensive Rebound.,52,55
5:56,108,Robert Baker Turnover.,52,55
5:55,2239,Arkim Robertson Steal.,52,55
5:34,2239,Khalil Ahmad missed Three Point Jumper.,52,55
5:34,108,Chris Lewis Defensive Rebound.,52,55
5:32,2239,Foul on Arkim Robertson.,52,55
5:24,108,Rio Haskett Turnover.,52,55
5:24,2239,Kyle Allman Steal.,52,55
5:05,2239,Jackson Rowe made Layup.,52,57
4:45,108,Bryce Aiken Turnover.,52,57
4:40,2239,Khalil Ahmad Turnover.,52,57
4:26,2239,Foul on Jamal Smith.,52,57
4:26,108,Bryce Aiken made Free Throw.,53,57
4:26,108,Bryce Aiken made Free Throw.,54,57
4:06,2239,Khalil Ahmad made Layup.,54,59
3:45,108,Bryce Aiken missed Jumper.,54,59
3:45,2239,Jamal Smith Defensive Rebound.,54,59
3:23,108,Foul on Reed Farley.,54,59
3:23,2239,Official TV Timeout,54,59
3:23,2239,Kyle Allman made Free Throw.,54,60
3:23,2239,Kyle Allman missed Free Throw.,54,60
3:23,108,Robert Baker Defensive Rebound.,54,60
3:06,108,Rio Haskett Turnover.,54,60
2:38,2239,Khalil Ahmad made Layup.,54,62
2:38,108,Foul on Weisner Perez.,54,62
2:38,2239,Khalil Ahmad made Free Throw.,54,63
2:25,108,Corey Johnson missed Three Point Jumper.,54,63
2:25,108,Chris Lewis Offensive Rebound.,54,63
2:20,108,Reed Farley missed Three Point Jumper.,54,63
2:20,108,Robert Baker Offensive Rebound.,54,63
2:09,2239,Foul on Jamal Smith.,54,63
2:09,108,Rio Haskett missed Free Throw.,54,63
2:09,2239,Khalil Ahmad Defensive Rebound.,54,63
1:50,108,Foul on Chris Lewis.,54,63
1:50,2239,Kyle Allman made Free Throw.,54,64
1:50,2239,Kyle Allman made Free Throw.,54,65
1:41,108,Rio Haskett made Layup.,56,65
1:39,108,Harvard  Timeout,56,65
1:29,2239,Jamal Smith Turnover.,56,65
1:17,108,Reed Farley missed Three Point Jumper.,56,65
1:17,2239,CSU Fullerton Defensive Rebound.,56,65
1:17,108,Foul on Justin Bassey.,56,65
1:17,2239,Jamal Smith made Free Throw.,56,66
1:17,2239,Jamal Smith made Free Throw.,56,67
1:08,108,Rio Haskett missed Jumper.,56,67
1:08,108,Justin Bassey Offensive Rebound.,56,67
1:04,108,Reed Farley made Three Point Jumper. Assisted by Justin Bassey.,59,67
1:02,108,Harvard  Timeout,59,67
0:45,108,Foul on Robert Baker.,59,67
0:45,2239,Jamal Smith made Free Throw.,59,68
0:45,2239,Jamal Smith made Free Throw.,59,69
0:38,108,Justin Bassey missed Three Point Jumper.,59,69
0:38,2239,Khalil Ahmad Defensive Rebound.,59,69
0:25,2239,Austen Awosika Turnover.,59,69
0:24,108,Robert Baker Steal.,59,69
0:21,108,Corey Johnson made Layup.,61,69
0:19,108,Foul on Rio Haskett.,61,69
0:19,2239,Kyle Allman missed Free Throw.,61,69
0:19,2239,CSU Fullerton Deadball Team Rebound.,61,69
0:19,2239,Kyle Allman made Free Throw.,61,70
0:19,2239,CSU Fullerton  Timeout,61,70
0:15,108,Rio Haskett Turnover.,61,70
0:00,2239,End of Game,61,70
