Air Force,38,Colorado,2005
9:08,2005,Sid Tomes missed Three Point Jumper.,19,16
9:08,38,Tory Miller-Stewart Defensive Rebound.,19,16
9:01,2005,Foul on Trevor Lyons.,19,16
8:48,38,McKinley Wright IV made Layup.,19,18
8:28,2005,Frank Toohey made Three Point Jumper. Assisted by Ryan Manning.,22,18
8:13,38,Deleon Brown missed Three Point Jumper.,22,18
8:13,2005,Trevor Lyons Defensive Rebound.,22,18
7:58,2005,Frank Toohey missed Layup.,22,18
7:58,38,Tory Miller-Stewart Defensive Rebound.,22,18
7:43,38,Namon Wright missed Three Point Jumper.,22,18
7:43,38,Tory Miller-Stewart Offensive Rebound.,22,18
7:17,38,Namon Wright made Jumper.,22,20
6:57,2005,Trevor Lyons missed Layup.,22,20
6:57,38,George King Defensive Rebound.,22,20
6:52,2005,Foul on Frank Toohey.,22,20
6:52,38,Official TV Timeout,22,20
6:52,38,Namon Wright made Free Throw.,22,21
6:52,38,Namon Wright made Free Throw.,22,22
6:49,2005,CJ Siples Turnover.,22,22
6:36,2005,Foul on CJ Siples.,22,22
6:36,38,McKinley Wright IV made Free Throw.,22,23
6:36,38,McKinley Wright IV made Free Throw.,22,24
6:06,2005,Ryan Manning made Three Point Jumper. Assisted by CJ Siples.,25,24
5:53,38,Foul on Namon Wright.,25,24
5:53,38,Namon Wright Turnover.,25,24
5:41,2005,Ryan Manning made Three Point Jumper. Assisted by Trevor Lyons.,28,24
5:22,38,George King made Three Point Jumper. Assisted by McKinley Wright IV.,28,27
5:01,2005,Dane Norman missed Three Point Jumper.,28,27
5:01,38,D'Shawn Schwartz Defensive Rebound.,28,27
4:51,38,McKinley Wright IV Turnover.,28,27
4:51,2005,CJ Siples Steal.,28,27
4:48,2005,Trevor Lyons missed Layup.,28,27
4:48,38,D'Shawn Schwartz Defensive Rebound.,28,27
4:34,38,George King missed Three Point Jumper.,28,27
4:34,2005,Ryan Swan Defensive Rebound.,28,27
4:33,38,Foul on Dallas Walton.,28,27
4:33,2005,Ryan Swan made Free Throw.,29,27
4:33,2005,Ryan Swan made Free Throw.,30,27
4:15,38,McKinley Wright IV missed Jumper.,30,27
4:15,38,George King Offensive Rebound.,30,27
4:11,2005,Frank Toohey Defensive Rebound.,30,27
4:11,38,George King missed Layup.,30,27
3:58,38,Foul on Dallas Walton.,30,27
3:58,2005,Pervis Louder missed Free Throw.,30,27
3:58,38,George King Defensive Rebound.,30,27
3:33,38,Lazar Nikolic made Free Throw.,30,28
3:33,38,Lazar Nikolic made Free Throw.,30,29
3:32,2005,Foul on Pervis Louder.,30,27
3:21,2005,Trevor Lyons Turnover.,30,29
3:10,38,Lazar Nikolic missed Three Point Jumper.,30,29
3:10,2005,Ryan Swan Defensive Rebound.,30,29
2:43,2005,Ryan Manning missed Three Point Jumper.,30,29
2:43,38,Tory Miller-Stewart Defensive Rebound.,30,29
2:14,38,McKinley Wright IV made Layup. Assisted by Lazar Nikolic.,30,31
1:54,2005,Trevor Lyons made Layup.,32,31
1:26,38,Tyler Bey missed Jumper.,32,31
1:26,2005,Pervis Louder Defensive Rebound.,32,31
1:20,38,Foul on Lazar Nikolic.,32,31
1:20,2005,Pervis Louder made Free Throw.,33,31
1:20,2005,Pervis Louder made Free Throw.,34,31
0:55,38,McKinley Wright IV made Layup.,34,33
0:38,2005,Sid Tomes missed Three Point Jumper.,34,33
0:38,2005,Ryan Manning Offensive Rebound.,34,33
0:31,2005,Ryan Manning Turnover.,34,33
0:03,38,Deleon Brown missed Three Point Jumper.,34,33
0:03,38,McKinley Wright IV Offensive Rebound.,34,33
0:00,38,End of 1st half,34,33
19:45,2005,Ryan Manning missed Three Point Jumper.,34,33
19:45,38,George King Defensive Rebound.,34,33
19:14,38,McKinley Wright IV missed Layup.,34,33
19:14,2005,Frank Toohey Block.,34,33
19:13,38,Colorado Offensive Rebound.,34,33
19:08,38,Dominique Collier made Three Point Jumper. Assisted by George King.,34,36
18:51,2005,Frank Toohey made Three Point Jumper. Assisted by Pervis Louder.,37,36
18:33,2005,Foul on Lavelle Scottie.,37,36
18:30,2005,Foul on Frank Toohey.,37,36
18:23,38,George King made Jumper. Assisted by Namon Wright.,37,38
18:06,2005,Pervis Louder made Three Point Jumper. Assisted by Frank Toohey.,40,38
17:51,38,Dominique Collier missed Three Point Jumper.,40,38
17:51,2005,Lavelle Scottie Defensive Rebound.,40,38
17:50,38,Foul on George King.,40,38
17:36,2005,Frank Toohey Turnover.,40,38
17:15,38,Namon Wright missed Three Point Jumper.,40,38
17:15,2005,Trevor Lyons Defensive Rebound.,40,38
17:06,2005,Ryan Manning missed Layup.,40,38
17:06,38,Tory Miller-Stewart Block.,40,38
17:04,38,Namon Wright Defensive Rebound.,40,38
16:59,2005,Foul on Pervis Louder.,40,38
16:59,38,McKinley Wright IV made Free Throw.,40,39
16:59,38,McKinley Wright IV made Free Throw.,40,40
16:45,2005,Ryan Manning missed Three Point Jumper.,40,40
16:45,38,Namon Wright Defensive Rebound.,40,40
16:38,38,Dominique Collier made Layup. Assisted by Namon Wright.,40,42
16:38,2005,Foul on Pervis Louder.,40,42
16:38,38,Dominique Collier made Free Throw.,40,43
16:25,2005,Lavelle Scottie made Layup.,42,43
16:06,38,Tory Miller-Stewart made Dunk. Assisted by Namon Wright.,42,45
15:43,2005,Ryan Manning missed Layup.,42,45
15:43,2005,Frank Toohey Offensive Rebound.,42,45
15:40,2005,Frank Toohey made Layup.,44,45
15:28,2005,Foul on Frank Toohey.,44,45
15:28,38,Official TV Timeout,44,45
15:24,38,Dominique Collier made Layup.,44,47
15:07,38,Foul on Dominique Collier.,44,47
14:57,2005,Ryan Swan made Jumper.,46,47
14:41,38,D'Shawn Schwartz made Jumper. Assisted by Deleon Brown.,46,49
14:20,2005,Sid Tomes made Layup.,48,49
14:01,38,George King made Three Point Jumper. Assisted by Deleon Brown.,48,52
13:42,2005,Lavelle Scottie missed Jumper.,48,52
13:42,38,George King Defensive Rebound.,48,52
13:23,38,Deleon Brown made Three Point Jumper. Assisted by George King.,48,55
13:17,2005,Air Force  Timeout,48,55
12:52,38,Foul on Dominique Collier.,48,55
12:52,2005,Jacob Van made Free Throw.,49,55
12:52,2005,Jacob Van made Free Throw.,50,55
12:31,38,McKinley Wright IV Turnover.,50,55
12:30,2005,Trevor Lyons Steal.,50,55
12:28,2005,Trevor Lyons missed Layup.,50,55
12:28,38,McKinley Wright IV Block.,50,55
12:25,38,Deleon Brown Defensive Rebound.,50,55
12:22,38,George King made Dunk. Assisted by Deleon Brown.,50,57
11:50,2005,Jacob Van made Layup.,52,57
11:27,38,George King made Three Point Jumper. Assisted by McKinley Wright IV.,52,60
11:14,2005,Ryan Swan missed Jumper.,52,60
11:14,38,McKinley Wright IV Defensive Rebound.,52,60
11:05,38,McKinley Wright IV Turnover.,52,60
11:03,2005,Sid Tomes Steal.,52,60
11:00,2005,Trevor Lyons made Layup. Assisted by Sid Tomes.,54,60
10:53,38,McKinley Wright IV Turnover.,54,60
10:52,2005,Trevor Lyons Steal.,54,60
10:50,2005,Dane Norman made Dunk. Assisted by Trevor Lyons.,56,60
10:26,38,McKinley Wright IV made Three Point Jumper. Assisted by George King.,56,63
9:54,2005,Jacob Van missed Layup.,56,63
9:54,38,George King Defensive Rebound.,56,63
9:47,38,Deleon Brown missed Three Point Jumper.,56,63
9:47,2005,Ryan Swan Defensive Rebound.,56,63
9:14,2005,Sid Tomes missed Three Point Jumper.,56,63
9:14,38,McKinley Wright IV Defensive Rebound.,56,63
9:06,38,D'Shawn Schwartz missed Three Point Jumper.,56,63
9:06,38,George King Offensive Rebound.,56,63
9:03,38,George King missed Layup.,56,63
9:03,38,George King Offensive Rebound.,56,63
9:01,38,George King missed Layup.,56,63
9:01,2005,Ryan Swan Defensive Rebound.,56,63
8:39,2005,Ryan Swan missed Three Point Jumper.,56,63
8:39,38,George King Defensive Rebound.,56,63
8:31,2005,Foul on Trevor Lyons.,56,63
8:31,38,Official TV Timeout,56,63
8:25,38,Lazar Nikolic made Jumper. Assisted by Namon Wright.,56,65
8:07,2005,CJ Siples missed Three Point Jumper.,56,65
8:07,2005,Frank Toohey Offensive Rebound.,56,65
8:04,38,Foul on Tyler Bey.,56,65
7:50,2005,Frank Toohey Turnover.,56,65
7:49,38,Official TV Timeout,56,65
7:33,38,Dominique Collier Turnover.,56,65
7:20,2005,Sid Tomes missed Layup.,56,65
7:20,38,Tyler Bey Defensive Rebound.,56,65
7:14,38,Namon Wright missed Layup.,56,65
7:14,2005,Ryan Manning Defensive Rebound.,56,65
6:57,2005,Sid Tomes missed Three Point Jumper.,56,65
6:57,38,Dominique Collier Defensive Rebound.,56,65
6:47,38,Lazar Nikolic missed Three Point Jumper.,56,65
6:47,2005,Keaton Van Soelen Defensive Rebound.,56,65
6:29,2005,Ryan Manning made Three Point Jumper. Assisted by Sid Tomes.,59,65
5:58,38,Dominique Collier missed Three Point Jumper.,59,65
5:58,2005,Ryan Manning Defensive Rebound.,59,65
5:46,38,Foul on Tory Miller-Stewart.,59,65
5:38,2005,Foul on Frank Toohey.,59,65
5:38,2005,Frank Toohey Turnover.,59,65
5:28,38,Namon Wright made Three Point Jumper. Assisted by Dominique Collier.,59,68
5:14,38,Foul on Tyler Bey.,59,68
5:13,2005,Ryan Manning made Jumper. Assisted by Pervis Louder.,61,68
4:57,2005,Foul on Pervis Louder.,61,68
4:57,38,Tyler Bey made Free Throw.,61,69
4:57,38,Tyler Bey made Free Throw.,61,70
4:40,2005,Pervis Louder made Layup.,63,70
4:12,38,Namon Wright missed Three Point Jumper.,63,70
4:12,2005,Ryan Manning Defensive Rebound.,63,70
3:59,2005,Ryan Manning missed Three Point Jumper.,63,70
3:59,38,McKinley Wright IV Defensive Rebound.,63,70
3:48,38,McKinley Wright IV made Layup.,63,72
3:34,38,Foul on Tyler Bey.,63,72
3:34,38,Official TV Timeout,63,72
3:34,2005,Keaton Van Soelen made Free Throw.,64,72
3:34,2005,Keaton Van Soelen made Free Throw.,65,72
3:18,38,George King made Three Point Jumper. Assisted by Deleon Brown.,65,75
2:56,2005,Pervis Louder missed Layup.,65,75
2:56,38,George King Defensive Rebound.,65,75
2:49,2005,Foul on Keaton Van Soelen.,65,75
2:49,38,Tory Miller-Stewart missed Free Throw.,65,75
2:49,2005,Ryan Manning Defensive Rebound.,65,75
2:36,2005,Trevor Lyons made Layup.,67,75
2:15,38,Deleon Brown missed Three Point Jumper.,67,75
2:15,2005,Keaton Van Soelen Defensive Rebound.,67,75
2:07,2005,Ryan Manning missed Three Point Jumper.,67,75
2:07,38,McKinley Wright IV Defensive Rebound.,67,75
1:59,38,Deleon Brown missed Layup.,67,75
1:59,38,Namon Wright Offensive Rebound.,67,75
1:50,2005,Foul on Ryan Manning.,67,75
1:50,38,McKinley Wright IV made Free Throw.,67,76
1:50,38,McKinley Wright IV made Free Throw.,67,77
1:39,2005,Frank Toohey made Layup. Assisted by Keaton Van Soelen.,69,77
1:37,2005,Air Force  Timeout,69,77
1:13,38,Deleon Brown Turnover.,69,77
1:12,2005,Trevor Lyons Steal.,69,77
1:09,2005,Trevor Lyons Turnover.,69,77
0:45,38,McKinley Wright IV Turnover.,69,77
0:45,2005,CJ Siples Steal.,69,77
0:40,2005,Pervis Louder missed Layup.,69,77
0:40,38,Lazar Nikolic Defensive Rebound.,69,77
0:32,2005,Foul on Trevor Lyons.,69,78
0:32,38,McKinley Wright IV made Free Throw.,69,78
0:32,38,McKinley Wright IV made Free Throw.,69,79
0:28,2005,Trevor Lyons Turnover.,69,79
0:28,38,Deleon Brown Steal.,69,79
0:28,2005,Foul on Pervis Louder.,69,79
0:26,38,Deleon Brown made Free Throw.,69,80
0:26,38,Deleon Brown made Free Throw.,69,81
0:20,2005,Jacob Van missed Layup.,69,81
0:20,38,George King Defensive Rebound.,69,81
0:00,38,End of Game,69,81
