Tulane,2247,Georgia State,2655
8:36,2247,Jordan Session made Dunk. Assisted by Kane Williams.,14,14
8:20,2655,Melvin Frazier made Layup.,16,14
8:05,2247,Devin Mitchell made Three Point Jumper. Assisted by Kane Williams.,16,17
7:49,2655,Melvin Frazier Turnover.,16,17
7:48,2247,Kane Williams Steal.,16,17
7:45,2247,Official TV Timeout,16,17
7:45,2247,Kane Williams missed Layup.,16,17
7:45,2655,Melvin Frazier Block.,16,17
7:45,2247,Georgia State Offensive Rebound.,16,17
7:29,2247,Kane Williams missed Jumper.,16,17
7:29,2655,Cameron Reynolds Defensive Rebound.,16,17
7:21,2655,Melvin Frazier missed Three Point Jumper.,16,17
7:21,2247,Jordan Tyson Defensive Rebound.,16,17
6:55,2247,Devin Mitchell missed Three Point Jumper.,16,17
6:55,2655,Cameron Reynolds Defensive Rebound.,16,17
6:41,2655,Colin Slater made Layup. Assisted by Cameron Reynolds.,18,17
6:17,2247,Devin Mitchell missed Jumper.,18,17
6:17,2655,Tulane Deadball Team Rebound.,18,17
6:16,2247,Foul on Jordan Tyson.,18,17
5:51,2655,Jordan Cornish made Layup.,20,17
5:33,2247,D'Marcus Simonds Turnover.,20,17
5:14,2655,Foul on Jordan Cornish.,20,17
5:14,2655,Jordan Cornish Turnover.,20,17
5:05,2247,Kane Williams made Layup.,20,19
5:05,2655,Foul on Samir Sehic.,20,19
5:05,2247,Kane Williams missed Free Throw.,20,19
5:05,2655,Cameron Reynolds Defensive Rebound.,20,19
4:42,2655,Cameron Reynolds missed Jumper.,20,19
4:42,2247,D'Marcus Simonds Defensive Rebound.,20,19
4:35,2247,D'Marcus Simonds missed Layup.,20,19
4:35,2247,Jordan Session Offensive Rebound.,20,19
4:32,2247,Jordan Session made Two Point Tip Shot.,20,21
4:06,2655,Ray Ona Embo missed Jumper.,20,21
4:06,2655,Caleb Daniels Offensive Rebound.,20,21
4:02,2655,Caleb Daniels made Layup.,22,21
3:47,2655,Foul on Ray Ona Embo.,22,21
3:47,2247,Official TV Timeout,22,21
3:41,2247,Jeff Thomas Turnover.,22,21
3:40,2655,Melvin Frazier Steal.,22,21
3:36,2655,Melvin Frazier Turnover.,22,21
3:36,2247,Kane Williams Steal.,22,21
3:30,2247,Malik Benlevi missed Three Point Jumper.,22,21
3:30,2655,Melvin Frazier Defensive Rebound.,22,21
3:00,2655,Samir Sehic Turnover.,22,21
3:00,2247,Malik Benlevi Steal.,22,21
3:00,2655,Foul on Samir Sehic.,22,21
3:00,2247,Kane Williams made Free Throw.,22,22
3:00,2247,Kane Williams made Free Throw.,22,23
2:40,2655,Buay Koka Turnover.,22,23
2:15,2247,Kane Williams Turnover.,22,23
2:14,2655,Melvin Frazier Steal.,22,23
2:09,2655,Melvin Frazier Turnover.,22,23
1:56,2247,Devin Mitchell missed Three Point Jumper.,22,23
1:56,2247,Malik Benlevi Offensive Rebound.,22,23
1:47,2247,Isaiah Williams made Layup.,22,25
1:34,2655,Cameron Reynolds missed Three Point Jumper.,22,25
1:34,2247,Malik Benlevi Defensive Rebound.,22,25
1:10,2247,Devin Mitchell missed Layup.,22,25
1:10,2247,Jordan Session Offensive Rebound.,22,25
1:08,2247,Jordan Session missed Two Point Tip Shot.,22,25
1:08,2655,Buay Koka Defensive Rebound.,22,25
1:06,2247,Foul on Devin Mitchell.,22,25
1:06,2655,Buay Koka made Free Throw.,23,25
1:06,2655,Colin Slater Turnover.,23,25
0:50,2247,D'Marcus Simonds made Three Point Jumper. Assisted by Kane Williams.,23,28
0:27,2247,Foul on Kane Williams.,23,28
0:27,2655,Jordan Cornish made Free Throw.,24,28
0:27,2655,Jordan Cornish made Free Throw.,25,28
0:27,2247,Georgia State  Timeout,25,28
0:05,2247,Kane Williams missed Layup.,25,28
0:05,2655,Buay Koka Block.,25,28
0:05,2655,Melvin Frazier Defensive Rebound.,25,28
0:00,2247,End of 1st half,25,28
19:39,2655,Melvin Frazier missed Jumper.,25,28
19:39,2655,Cameron Reynolds Offensive Rebound.,25,28
19:39,2655,Cameron Reynolds missed Layup.,25,28
19:39,2655,Foul on Blake Paul.,25,28
19:39,2247,Jordan Session missed Jumper.,25,28
19:39,2655,Tulane Defensive Rebound.,25,28
19:39,2247,Georgia State Deadball Team Rebound.,25,28
19:08,2655,Ray Ona Embo missed Three Point Jumper.,25,28
19:08,2247,Jeff Thomas Defensive Rebound.,25,28
18:55,2247,Malik Benlevi missed Layup.,25,28
18:55,2655,Blake Paul Block.,25,28
18:54,2655,Jordan Cornish Defensive Rebound.,25,28
18:48,2655,Melvin Frazier missed Layup.,25,28
18:48,2247,Jordan Session Block.,25,28
18:45,2655,Melvin Frazier Offensive Rebound.,25,28
18:45,2247,Foul on Malik Benlevi.,25,28
18:45,2655,Melvin Frazier made Free Throw.,26,28
18:45,2655,Melvin Frazier missed Free Throw.,26,28
18:45,2247,D'Marcus Simonds Defensive Rebound.,26,28
18:27,2247,D'Marcus Simonds missed Jumper.,26,28
18:27,2247,Jordan Session Offensive Rebound.,26,28
18:24,2247,Jordan Session missed Two Point Tip Shot.,26,28
18:24,2655,Blake Paul Defensive Rebound.,26,28
18:10,2655,Cameron Reynolds Turnover.,26,28
18:10,2247,Jordan Session Steal.,26,28
18:08,2655,Foul on Blake Paul.,26,28
18:08,2655,Foul on Blake Paul.,26,28
18:08,2247,Technical Foul on Jeff Thomas.,26,28
18:08,2655,Technical Foul on Blake Paul.,26,28
18:08,2247,Foul on Jeff Thomas.,26,28
17:51,2247,D'Marcus Simonds made Layup.,26,30
17:33,2655,Jordan Cornish missed Layup.,26,30
17:33,2247,Malik Benlevi Defensive Rebound.,26,30
17:11,2247,Malik Benlevi made Three Point Jumper. Assisted by D'Marcus Simonds.,26,33
17:01,2655,Tulane  Timeout,26,33
16:52,2247,Foul on D'Marcus Simonds.,26,33
16:52,2655,Samir Sehic missed Free Throw.,26,33
16:52,2655,Tulane Deadball Team Rebound.,26,33
16:52,2655,Samir Sehic made Free Throw.,27,33
16:41,2247,Kane Williams missed Jumper.,27,33
16:41,2655,Tulane Deadball Team Rebound.,27,33
16:39,2247,Foul on Jordan Session.,27,33
16:23,2655,Melvin Frazier missed Layup.,27,33
16:23,2247,Kane Williams Defensive Rebound.,27,33
16:15,2247,D'Marcus Simonds missed Three Point Jumper.,27,33
16:15,2247,Jordan Session Offensive Rebound.,27,33
16:11,2247,Jordan Session missed Jumper.,27,33
16:11,2247,Georgia State Offensive Rebound.,27,33
16:09,2247,D'Marcus Simonds Turnover.,27,33
16:09,2655,Jordan Cornish Steal.,27,33
16:04,2655,Melvin Frazier Turnover.,27,33
15:45,2247,D'Marcus Simonds made Layup.,27,35
15:23,2655,Cameron Reynolds missed Jumper.,27,35
15:23,2247,Jeff Thomas Defensive Rebound.,27,35
15:12,2247,Malik Benlevi made Three Point Jumper. Assisted by Kane Williams.,27,38
14:53,2247,Foul on Jordan Session.,27,38
14:53,2247,Official TV Timeout,27,38
14:53,2655,Samir Sehic made Free Throw.,28,38
14:53,2655,Samir Sehic made Free Throw.,29,38
14:42,2247,Kane Williams missed Layup.,29,38
14:42,2247,Malik Benlevi Offensive Rebound.,29,38
14:40,2247,Malik Benlevi made Two Point Tip Shot.,29,40
14:24,2655,Blake Paul Turnover.,29,40
14:10,2247,D'Marcus Simonds made Layup.,29,42
14:10,2655,Foul on Blake Paul.,29,42
14:10,2247,D'Marcus Simonds made Free Throw.,29,43
13:50,2655,Jordan Cornish missed Layup.,29,43
13:50,2655,Samir Sehic Offensive Rebound.,29,43
13:48,2655,Samir Sehic missed Two Point Tip Shot.,29,43
13:48,2247,Jordan Tyson Defensive Rebound.,29,43
13:32,2655,Foul on Melvin Frazier.,29,43
13:19,2247,Jeff Thomas made Three Point Jumper. Assisted by Kane Williams.,29,46
13:04,2655,Jordan Cornish Turnover.,29,46
12:47,2247,Jeff Thomas missed Layup.,29,46
12:47,2655,Cameron Reynolds Block.,29,46
12:45,2655,Jordan Cornish Defensive Rebound.,29,46
12:40,2247,Foul on Kane Williams.,29,46
12:39,2247,Foul on Jordan Tyson.,29,46
12:39,2655,Melvin Frazier made Free Throw.,30,46
12:39,2655,Melvin Frazier made Free Throw.,31,46
12:21,2247,Malik Benlevi made Three Point Jumper. Assisted by Kane Williams.,31,49
11:59,2655,Melvin Frazier made Layup.,33,49
11:37,2247,Malik Benlevi made Three Point Jumper. Assisted by D'Marcus Simonds.,33,52
11:19,2655,Ray Ona Embo missed Three Point Jumper.,33,52
11:19,2655,Samir Sehic Offensive Rebound.,33,52
11:15,2247,Foul on Jeff Thomas.,33,52
11:15,2247,Official TV Timeout,33,52
11:15,2655,Samir Sehic made Free Throw.,34,52
11:15,2655,Samir Sehic made Free Throw.,35,52
10:50,2247,D'Marcus Simonds missed Jumper.,35,52
10:50,2247,Malik Benlevi Offensive Rebound.,35,52
10:39,2247,Jeff Thomas missed Jumper.,35,52
10:39,2655,Melvin Frazier Defensive Rebound.,35,52
10:32,2655,Colin Slater missed Three Point Jumper.,35,52
10:32,2247,Kane Williams Defensive Rebound.,35,52
10:26,2247,Kane Williams missed Layup.,35,52
10:26,2655,Melvin Frazier Block.,35,52
10:23,2655,Colin Slater Defensive Rebound.,35,52
10:15,2655,Colin Slater missed Three Point Jumper.,35,52
10:15,2655,Cameron Reynolds Offensive Rebound.,35,52
10:12,2655,Cameron Reynolds made Layup.,37,52
9:49,2247,Kane Williams missed Three Point Jumper.,37,52
9:49,2655,Cameron Reynolds Defensive Rebound.,37,52
9:39,2247,Foul on Jordan Session.,37,52
9:39,2655,Colin Slater made Free Throw.,38,52
9:39,2655,Colin Slater made Free Throw.,39,52
9:23,2247,Jordan Session missed Jumper.,39,52
9:23,2655,Ray Ona Embo Defensive Rebound.,39,52
9:16,2655,Cameron Reynolds missed Jumper.,39,52
9:16,2247,Jeff Thomas Defensive Rebound.,39,52
9:05,2247,Malik Benlevi made Three Point Jumper. Assisted by Jeff Thomas.,39,55
8:41,2655,Cameron Reynolds missed Layup.,39,55
8:41,2247,Malik Benlevi Defensive Rebound.,39,55
8:34,2655,Foul on Ray Ona Embo.,39,55
8:19,2247,Malik Benlevi missed Three Point Jumper.,39,55
8:19,2655,Tulane Defensive Rebound.,39,55
7:55,2655,Colin Slater missed Three Point Jumper.,39,55
7:55,2247,Malik Benlevi Defensive Rebound.,39,55
7:33,2247,Jeff Thomas missed Jumper.,39,55
7:33,2655,Tulane Deadball Team Rebound.,39,55
7:28,2247,Official TV Timeout,39,55
7:28,2247,Foul on Jordan Session.,39,55
7:28,2247,Official TV Timeout,39,55
7:28,2655,Samir Sehic made Free Throw.,40,55
7:28,2655,Samir Sehic made Free Throw.,41,55
7:14,2247,Jordan Session made Layup. Assisted by D'Marcus Simonds.,41,57
6:48,2655,Melvin Frazier missed Layup.,41,57
6:48,2655,Melvin Frazier Offensive Rebound.,41,57
6:46,2655,Melvin Frazier missed Two Point Tip Shot.,41,57
6:46,2655,Samir Sehic Offensive Rebound.,41,57
6:44,2655,Samir Sehic made Two Point Tip Shot.,43,57
6:44,2247,Devin Mitchell missed Layup.,43,57
6:28,2655,Tulane Defensive Rebound.,43,57
6:07,2655,Melvin Frazier missed Three Point Jumper.,43,57
6:07,2655,Samir Sehic Offensive Rebound.,43,57
6:03,2655,Samir Sehic missed Two Point Tip Shot.,43,57
6:03,2655,Samir Sehic Offensive Rebound.,43,57
6:00,2655,Samir Sehic made Layup.,45,57
5:50,2655,Foul on Colin Slater.,45,57
5:50,2247,Kane Williams missed Free Throw.,45,57
5:50,2655,Melvin Frazier Defensive Rebound.,45,57
5:43,2655,Foul on Samir Sehic.,45,57
5:43,2655,Samir Sehic Turnover.,45,57
5:20,2655,Foul on Caleb Daniels.,45,57
5:20,2247,Kane Williams made Free Throw.,45,58
5:20,2247,Kane Williams made Free Throw.,45,59
4:58,2655,Colin Slater missed Three Point Jumper.,45,59
4:58,2247,Jeff Thomas Defensive Rebound.,45,59
4:45,2655,Foul on Ray Ona Embo.,45,59
4:45,2247,D'Marcus Simonds made Free Throw.,45,60
4:45,2247,D'Marcus Simonds made Free Throw.,45,61
4:19,2655,Samir Sehic made Layup. Assisted by Caleb Daniels.,47,61
4:19,2247,Foul on Jordan Tyson.,47,61
4:19,2655,Samir Sehic made Free Throw.,48,61
4:09,2247,Jordan Session made Layup. Assisted by D'Marcus Simonds.,48,63
3:57,2655,Samir Sehic Turnover.,48,63
3:57,2247,Official TV Timeout,48,63
3:24,2247,Georgia State  Turnover.,48,63
3:12,2655,Caleb Daniels missed Three Point Jumper.,48,63
3:12,2247,Georgia State Deadball Team Rebound.,48,63
3:10,2655,Foul on Caleb Daniels.,48,63
3:10,2247,Kane Williams missed Free Throw.,48,63
3:10,2247,Georgia State Deadball Team Rebound.,48,63
3:10,2247,Kane Williams made Free Throw.,48,64
2:54,2655,Caleb Daniels missed Three Point Jumper.,48,64
2:54,2655,Cameron Reynolds Offensive Rebound.,48,64
2:50,2655,Cameron Reynolds missed Layup.,48,64
2:50,2247,Jordan Session Defensive Rebound.,48,64
2:48,2655,Foul on Cameron Reynolds.,48,64
2:48,2247,Jordan Session missed Free Throw.,48,64
2:48,2247,Georgia State Deadball Team Rebound.,48,64
2:48,2247,Jordan Session made Free Throw.,48,65
2:29,2655,Ray Ona Embo made Three Point Jumper. Assisted by Caleb Daniels.,51,65
1:56,2247,Jeff Thomas missed Three Point Jumper.,51,65
1:56,2655,Cameron Reynolds Block.,51,65
1:54,2655,Samir Sehic Defensive Rebound.,51,65
1:43,2655,Ray Ona Embo missed Three Point Jumper.,51,65
1:43,2655,Cameron Reynolds Offensive Rebound.,51,65
1:39,2655,Cameron Reynolds made Layup.,53,65
1:12,2247,D'Marcus Simonds missed Layup.,53,65
1:12,2655,Cameron Reynolds Defensive Rebound.,53,65
1:05,2247,Foul on Kane Williams.,53,65
1:05,2655,Cameron Reynolds missed Free Throw.,53,65
1:05,2655,Tulane Deadball Team Rebound.,53,65
1:05,2655,Cameron Reynolds made Free Throw.,54,65
0:58,2247,Georgia State  Timeout,54,65
0:45,2247,Devin Mitchell Turnover.,54,65
0:36,2655,Jordan Cornish missed Three Point Jumper.,54,65
0:36,2655,Samir Sehic Offensive Rebound.,54,65
0:33,2655,Foul on Samir Sehic.,54,65
0:33,2655,Samir Sehic Turnover.,54,65
0:18,2655,Foul on Caleb Daniels.,54,65
0:18,2247,D'Marcus Simonds made Free Throw.,54,66
0:18,2247,D'Marcus Simonds made Free Throw.,54,67
0:14,2655,Ray Ona Embo made Three Point Jumper.,57,67
0:13,2247,Georgia State  Timeout,57,67
0:13,2655,Foul on Jordan Cornish.,57,67
0:13,2247,Kane Williams made Free Throw.,57,68
0:13,2247,Kane Williams made Free Throw.,57,69
0:09,2655,Melvin Frazier made Dunk. Assisted by Cameron Reynolds.,59,69
0:08,2655,Foul on Jordan Cornish.,59,69
0:08,2247,Kane Williams missed Free Throw.,59,69
0:08,2247,Georgia State Deadball Team Rebound.,59,69
0:08,2247,Kane Williams made Free Throw.,59,70
0:02,2655,Melvin Frazier missed Jumper.,59,70
0:02,2247,Jordan Session Defensive Rebound.,59,70
0:00,2247,End of Game,59,70
