Saint Mary's,61,Georgia,2608
0:26,2608,Jock Landale made Dunk. Assisted by Emmett Naar.,71,69
0:16,61,Georgia  Timeout,71,69
0:12,61,William Jackson II made Layup.,71,71
0:04,2608,Emmett Naar missed Jumper.,71,71
0:04,61,Tyree Crump Defensive Rebound.,71,71
0:00,61,End of 2nd half,71,71
5:00,61,Jump Ball won by Georgia,71,71
4:48,61,Derek Ogbeide made Jumper. Assisted by Tyree Crump.,71,73
4:25,2608,Jock Landale made Jumper. Assisted by Emmett Naar.,73,73
4:07,61,Tyree Crump missed Jumper.,73,73
4:07,2608,Emmett Naar Defensive Rebound.,73,73
3:54,2608,Jock Landale made Layup. Assisted by Calvin Hermanson.,75,73
3:34,61,Juwan Parker made Jumper.,75,75
3:34,2608,Foul on Jock Landale.,75,75
3:34,61,Juwan Parker made Free Throw.,75,76
3:23,2608,Evan Fitzner missed Three Point Jumper.,75,76
3:23,2608,Calvin Hermanson Offensive Rebound.,75,76
3:18,2608,Calvin Hermanson made Layup.,77,76
2:55,61,Tyree Crump made Jumper.,77,78
2:27,2608,Jock Landale missed Jumper.,77,78
2:27,61,Nicolas Claxton Defensive Rebound.,77,78
1:59,61,William Jackson II missed Jumper.,77,78
1:59,61,Georgia Offensive Rebound.,77,78
1:55,61,Nicolas Claxton missed Jumper.,77,78
1:55,61,Yante Maten Offensive Rebound.,77,78
1:27,61,Tyree Crump made Three Point Jumper.,77,81
1:05,2608,Emmett Naar made Layup.,79,81
0:53,61,Georgia  Timeout,79,81
0:34,61,Foul on Juwan Parker.,79,81
0:34,61,Juwan Parker Turnover.,79,81
0:22,61,Foul on Yante Maten.,79,81
0:22,2608,Jock Landale missed Free Throw.,79,81
0:22,61,Yante Maten Defensive Rebound.,79,81
0:16,2608,Foul on Jordan Ford.,79,81
0:16,61,William Jackson II made Free Throw.,79,82
0:16,61,William Jackson II made Free Throw.,79,83
0:10,2608,Evan Fitzner missed Three Point Jumper.,79,83
0:10,2608,Saint Mary's Offensive Rebound.,79,83
0:04,2608,Saint Mary's  Timeout,79,83
0:04,2608,Evan Fitzner missed Jumper.,79,83
0:04,2608,Jock Landale Offensive Rebound.,79,83
0:03,2608,Jock Landale made Layup.,81,83
0:00,61,End of Game,81,83
