Bucknell,2619,Stony Brook,2083
16:26,2083,Nana Foulland made Free Throw.,5,9
16:01,2619,UC Iroegbu made Three Point Jumper. Assisted by Bryan Sekunda.,5,12
15:50,2083,Nana Foulland made Dunk. Assisted by Kimbal Mackenzie.,7,12
15:33,2083,Foul on Kimbal Mackenzie.,7,12
15:33,2619,Official TV Timeout,7,12
15:25,2619,Bryan Sekunda missed Three Point Jumper.,7,12
15:25,2083,Nate Sestina Defensive Rebound.,7,12
15:09,2083,Nate Sestina missed Three Point Jumper.,7,12
15:09,2619,UC Iroegbu Defensive Rebound.,7,12
14:54,2619,Elijah Olaniyi Turnover.,7,12
14:39,2083,Nate Sestina made Three Point Jumper. Assisted by Jimmy Sotos.,10,12
14:02,2619,Michael Almonacy missed Jumper.,10,12
14:02,2619,Stony Brook Offensive Rebound.,10,12
14:00,2083,Foul on Nana Foulland.,10,12
13:40,2619,Elijah Olaniyi made Layup. Assisted by Jaron Cornish.,10,14
13:23,2083,Nate Sestina missed Layup.,10,14
13:23,2619,Michael Almonacy Defensive Rebound.,10,14
13:17,2619,Michael Almonacy missed Layup.,10,14
13:17,2083,Nate Jones Defensive Rebound.,10,14
12:57,2083,Nate Sestina missed Jumper.,10,14
12:57,2619,Bryan Sekunda Defensive Rebound.,10,14
12:50,2083,Foul on Jimmy Sotos.,10,14
12:43,2619,Bryan Sekunda missed Three Point Jumper.,10,14
12:43,2083,Zach Thomas Defensive Rebound.,10,14
12:33,2083,Zach Thomas made Three Point Jumper.,13,14
12:03,2619,Bryan Sekunda missed Layup.,13,14
12:03,2619,Jakub Petras Offensive Rebound.,13,14
12:00,2619,Jakub Petras missed Layup.,13,14
12:00,2619,Jakub Petras Offensive Rebound.,13,14
11:49,2619,Official TV Timeout,13,14
11:49,2619,Jakub Petras made Free Throw.,13,15
11:49,2619,Jakub Petras made Free Throw.,13,16
11:47,2083,Foul on Nate Sestina.,13,16
11:30,2083,Nana Foulland missed Layup.,13,16
11:30,2083,Nana Foulland Offensive Rebound.,13,16
11:26,2619,Foul on Elijah Olaniyi.,13,16
11:15,2083,Zach Thomas missed Layup.,13,16
11:15,2619,Jaron Cornish Defensive Rebound.,13,16
11:07,2619,Bryan Sekunda missed Three Point Jumper.,13,16
11:07,2083,Kimbal Mackenzie Defensive Rebound.,13,16
10:49,2083,Zach Thomas made Jumper.,15,16
10:27,2619,Junior Saintel missed Jumper.,15,16
10:27,2083,Bruce Moore Defensive Rebound.,15,16
10:15,2083,Kimbal Mackenzie missed Three Point Jumper.,15,16
10:15,2619,Tyrell Sturdivant Defensive Rebound.,15,16
10:04,2619,Michael Almonacy missed Three Point Jumper.,15,16
10:04,2083,Zach Thomas Defensive Rebound.,15,16
9:56,2083,Stephen Brown Turnover.,15,16
9:55,2619,Jaron Cornish Steal.,15,16
9:51,2619,Junior Saintel made Dunk. Assisted by Jaron Cornish.,15,18
9:28,2083,Nana Foulland missed Layup.,15,18
9:28,2083,Nana Foulland Offensive Rebound.,15,18
9:24,2083,Jimmy Sotos made Three Point Jumper. Assisted by Zach Thomas.,18,18
9:06,2083,Foul on Nana Foulland.,18,18
8:53,2619,Jaron Cornish Turnover.,18,18
8:45,2083,Stephen Brown missed Jumper.,18,18
8:45,2619,Jaron Cornish Defensive Rebound.,18,18
8:37,2619,Junior Saintel missed Dunk.,18,18
8:37,2083,Bruce Moore Defensive Rebound.,18,18
8:31,2083,Bruce Moore Turnover.,18,18
8:18,2619,Tyrell Sturdivant made Layup. Assisted by Junior Saintel.,18,20
8:00,2083,Nate Sestina made Layup. Assisted by Zach Thomas.,20,20
7:39,2619,Tyrell Sturdivant missed Three Point Jumper.,20,20
7:39,2619,Bryan Sekunda Offensive Rebound.,20,20
7:34,2619,Bryan Sekunda made Layup.,20,22
7:25,2083,Nate Sestina made Layup.,22,22
7:02,2619,Tyrell Sturdivant made Layup.,22,24
6:54,2083,Bruce Moore made Three Point Jumper. Assisted by Stephen Brown.,25,24
6:30,2619,Jaron Cornish missed Layup.,25,24
6:30,2619,Jaron Cornish Offensive Rebound.,25,24
6:25,2619,Junior Saintel missed Layup.,25,24
6:25,2083,Stephen Brown Defensive Rebound.,25,24
6:06,2083,Zach Thomas made Three Point Jumper. Assisted by Stephen Brown.,28,24
5:53,2619,Official TV Timeout,28,24
5:52,2619,Stony Brook  Timeout,28,24
5:43,2619,Jordan McKenzie Turnover.,28,24
5:27,2619,Foul on Bryan Sekunda.,28,24
5:13,2083,Zach Thomas made Layup. Assisted by Jimmy Sotos.,30,24
5:13,2619,Foul on Bryan Sekunda.,30,24
5:13,2083,Zach Thomas made Free Throw.,31,24
4:57,2619,Bryan Sekunda missed Jumper.,31,24
4:57,2083,Stephen Brown Defensive Rebound.,31,24
4:43,2083,Zach Thomas Turnover.,31,24
4:22,2619,Tyrell Sturdivant missed Three Point Jumper.,31,24
4:22,2619,Bryan Sekunda Offensive Rebound.,31,24
4:00,2619,Jordan McKenzie made Jumper. Assisted by Elijah Olaniyi.,31,26
3:48,2083,Nate Sestina missed Three Point Jumper.,31,26
3:48,2619,UC Iroegbu Defensive Rebound.,31,26
3:31,2619,Tyrell Sturdivant missed Layup.,31,26
3:31,2083,Nate Sestina Defensive Rebound.,31,26
3:24,2083,Kimbal Mackenzie missed Three Point Jumper.,31,26
3:24,2083,Nate Sestina Offensive Rebound.,31,26
3:18,2083,Nate Sestina Turnover.,31,26
3:16,2619,Jordan McKenzie Steal.,31,26
3:14,2083,Foul on Stephen Brown.,31,26
3:14,2619,Official TV Timeout,31,26
3:14,2619,Jordan McKenzie made Free Throw.,31,27
3:14,2619,Jordan McKenzie missed Free Throw.,31,27
3:14,2083,Zach Thomas Defensive Rebound.,31,27
2:52,2083,Zach Thomas made Three Point Jumper. Assisted by Kimbal Mackenzie.,34,27
2:20,2619,Foul on Jordan McKenzie.,34,27
2:20,2619,Jordan McKenzie Turnover.,34,27
1:50,2083,Zach Thomas missed Layup.,34,27
1:50,2619,Tyrell Sturdivant Defensive Rebound.,34,27
1:44,2619,Jaron Cornish missed Layup.,34,27
1:44,2619,Jakub Petras Offensive Rebound.,34,27
1:42,2619,Jakub Petras made Layup.,34,29
1:32,2083,Zach Thomas made Three Point Jumper. Assisted by Stephen Brown.,37,29
0:58,2619,UC Iroegbu missed Layup.,37,29
0:58,2083,Nate Sestina Defensive Rebound.,37,29
0:41,2083,Nate Sestina missed Layup.,37,29
0:41,2619,Jakub Petras Defensive Rebound.,37,29
0:30,2619,Bryan Sekunda made Layup. Assisted by UC Iroegbu.,37,31
0:24,2083,Bucknell  Timeout,37,31
0:04,2083,Zach Thomas made Layup.,39,31
0:04,2619,Foul on Jaron Cornish.,39,31
0:01,2083,Zach Thomas made Free Throw.,40,31
0:00,2619,End of 1st half,40,31
19:46,2619,Tyrell Sturdivant Turnover.,40,31
19:28,2083,Bruce Moore made Three Point Jumper. Assisted by Nana Foulland.,43,31
19:15,2619,Jordan McKenzie Turnover.,43,31
19:13,2083,Kimbal Mackenzie Steal.,43,31
19:11,2083,Stephen Brown made Layup. Assisted by Kimbal Mackenzie.,45,31
18:59,2619,Jordan McKenzie Turnover.,45,31
18:48,2083,Kimbal Mackenzie Turnover.,45,31
18:34,2083,Foul on Zach Thomas.,45,31
18:34,2619,Akwasi Yeboah made Free Throw.,45,32
18:34,2619,Akwasi Yeboah made Free Throw.,45,33
18:29,2083,Stephen Brown missed Layup.,45,33
18:27,2619,Tyrell Sturdivant Defensive Rebound.,45,33
18:13,2619,Akwasi Yeboah Turnover.,45,33
18:13,2083,Zach Thomas Steal.,45,33
18:03,2083,Bruce Moore missed Three Point Jumper.,45,33
18:03,2083,Kimbal Mackenzie Offensive Rebound.,45,33
18:00,2083,Kimbal Mackenzie missed Layup.,45,33
18:00,2619,UC Iroegbu Defensive Rebound.,45,33
17:55,2083,Foul on Stephen Brown.,45,33
17:55,2619,UC Iroegbu missed Free Throw.,45,33
17:55,2619,Stony Brook Deadball Team Rebound.,45,33
17:55,2619,UC Iroegbu made Free Throw.,45,34
17:40,2083,Nana Foulland missed Layup.,45,34
17:40,2619,Tyrell Sturdivant Defensive Rebound.,45,34
17:28,2083,Foul on Bruce Moore.,45,34
17:28,2619,UC Iroegbu made Free Throw.,45,35
17:28,2619,UC Iroegbu made Free Throw.,45,36
17:09,2083,Stephen Brown missed Three Point Jumper.,45,36
17:09,2083,Bucknell Offensive Rebound.,45,36
17:07,2619,Foul on Akwasi Yeboah.,45,36
17:03,2083,Zach Thomas made Three Point Jumper. Assisted by Stephen Brown.,48,36
16:45,2619,Tyrell Sturdivant made Three Point Jumper. Assisted by Jaron Cornish.,48,39
16:31,2083,Stephen Brown missed Jumper.,48,39
16:31,2619,Stony Brook Defensive Rebound.,48,39
16:15,2619,Jaron Cornish missed Layup.,48,39
16:15,2083,Zach Thomas Defensive Rebound.,48,39
16:10,2083,Nana Foulland made Dunk. Assisted by Zach Thomas.,50,39
15:49,2619,Akwasi Yeboah made Layup. Assisted by Tyrell Sturdivant.,50,41
15:33,2083,Nana Foulland Turnover.,50,41
15:33,2619,Official TV Timeout,50,41
15:24,2619,Tyrell Sturdivant made Three Point Jumper. Assisted by Junior Saintel.,50,44
15:08,2083,Zach Thomas made Layup. Assisted by Jimmy Sotos.,52,44
15:08,2619,Foul on Junior Saintel.,52,44
15:08,2083,Zach Thomas made Free Throw.,53,44
14:57,2619,Elijah Olaniyi Turnover.,53,44
14:56,2083,Zach Thomas Steal.,53,44
14:52,2083,Jimmy Sotos made Three Point Jumper. Assisted by Zach Thomas.,56,44
14:29,2619,UC Iroegbu Turnover.,56,44
14:14,2083,Zach Thomas missed Three Point Jumper.,56,44
14:14,2619,Jaron Cornish Defensive Rebound.,56,44
13:52,2619,Tyrell Sturdivant missed Layup.,56,44
13:52,2083,Nate Sestina Defensive Rebound.,56,44
13:41,2083,Stephen Brown made Layup. Assisted by Zach Thomas.,58,44
13:39,2619,Stony Brook  Timeout,58,44
13:21,2619,Akwasi Yeboah made Layup. Assisted by UC Iroegbu.,58,46
13:00,2083,Nate Sestina missed Layup.,58,46
13:00,2619,Jaron Cornish Defensive Rebound.,58,46
12:53,2083,Foul on Jimmy Sotos.,58,46
12:48,2619,Elijah Olaniyi made Layup. Assisted by Jaron Cornish.,58,48
12:28,2083,Nana Foulland made Free Throw.,59,48
12:28,2083,Nana Foulland made Free Throw.,60,48
12:27,2619,Foul on Elijah Olaniyi.,60,48
12:14,2619,Elijah Olaniyi made Three Point Jumper. Assisted by Akwasi Yeboah.,60,51
12:08,2619,Foul on Jaron Cornish.,60,51
11:58,2083,Nana Foulland missed Layup.,60,51
11:58,2619,Tyrell Sturdivant Block.,60,51
11:58,2083,Bucknell Offensive Rebound.,60,51
11:58,2619,Official TV Timeout,60,51
11:50,2083,Nana Foulland Turnover.,60,51
11:37,2619,Jaron Cornish made Three Point Jumper.,60,54
11:09,2619,Foul on Tyrell Sturdivant.,60,54
11:02,2083,Zach Thomas missed Three Point Jumper.,60,54
11:02,2083,Bruce Moore Offensive Rebound.,60,54
10:59,2619,Foul on Junior Saintel.,60,54
10:59,2083,Bruce Moore made Free Throw.,61,54
10:59,2083,Bruce Moore made Free Throw.,62,54
10:44,2083,Foul on Stephen Brown.,62,54
10:44,2619,Jaron Cornish made Free Throw.,62,55
10:44,2619,Jaron Cornish missed Free Throw.,62,55
10:44,2083,Nana Foulland Defensive Rebound.,62,55
10:28,2083,Nana Foulland made Jumper. Assisted by Zach Thomas.,64,55
10:04,2619,Junior Saintel made Free Throw.,64,56
10:04,2619,Junior Saintel missed Free Throw.,64,56
10:04,2083,Zach Thomas Defensive Rebound.,64,56
10:03,2083,Foul on Nana Foulland.,64,56
9:40,2619,Foul on Junior Saintel.,64,56
9:40,2083,Zach Thomas made Free Throw.,65,56
9:40,2083,Zach Thomas made Free Throw.,66,56
9:20,2619,Junior Saintel made Dunk.,66,58
9:10,2083,Stephen Brown missed Three Point Jumper.,66,58
9:10,2083,Bruce Moore Offensive Rebound.,66,58
8:55,2083,Zach Thomas missed Jumper.,66,58
8:55,2619,Elijah Olaniyi Defensive Rebound.,66,58
8:43,2619,Elijah Olaniyi made Layup. Assisted by Jakub Petras.,66,60
8:31,2083,Nate Sestina missed Three Point Jumper.,66,60
8:31,2083,Zach Thomas Offensive Rebound.,66,60
8:27,2619,Foul on Bryan Sekunda.,66,60
8:27,2083,Zach Thomas made Free Throw.,67,60
8:27,2083,Zach Thomas made Free Throw.,68,60
8:13,2619,Elijah Olaniyi missed Three Point Jumper.,68,60
8:13,2083,Bruce Moore Defensive Rebound.,68,60
7:55,2083,Stephen Brown missed Jumper.,68,60
7:55,2619,Elijah Olaniyi Defensive Rebound.,68,60
7:46,2619,Bryan Sekunda made Three Point Jumper. Assisted by Elijah Olaniyi.,68,63
7:15,2083,Zach Thomas made Layup.,70,63
6:40,2619,Bryan Sekunda missed Three Point Jumper.,70,63
6:39,2619,Jakub Petras missed Free Throw.,70,63
6:39,2083,Zach Thomas Defensive Rebound.,70,63
6:34,2619,Jakub Petras Offensive Rebound.,70,63
6:34,2083,Foul on Nate Sestina.,70,63
6:34,2619,Official TV Timeout,70,63
6:11,2083,Jimmy Sotos made Three Point Jumper. Assisted by Zach Thomas.,73,63
5:43,2083,Foul on Jimmy Sotos.,73,63
5:43,2619,UC Iroegbu made Free Throw.,73,64
5:43,2619,UC Iroegbu made Free Throw.,73,65
5:18,2083,Stephen Brown Turnover.,73,65
5:17,2619,UC Iroegbu Steal.,73,65
5:14,2083,Foul on Jimmy Sotos.,73,65
5:14,2619,UC Iroegbu made Free Throw.,73,66
5:14,2619,UC Iroegbu missed Free Throw.,73,66
5:14,2619,Tyrell Sturdivant Offensive Rebound.,73,66
5:00,2083,Foul on Zach Thomas.,73,66
5:00,2619,Akwasi Yeboah missed Free Throw.,73,66
5:00,2619,Stony Brook Deadball Team Rebound.,73,66
5:00,2619,Akwasi Yeboah missed Free Throw.,73,66
5:00,2083,Zach Thomas Defensive Rebound.,73,66
4:59,2619,Foul on Tyrell Sturdivant.,73,66
4:59,2083,Zach Thomas made Free Throw.,74,66
4:59,2083,Zach Thomas made Free Throw.,75,66
4:49,2083,Foul on Bruce Moore.,75,66
4:49,2619,Elijah Olaniyi made Free Throw.,75,67
4:49,2619,Elijah Olaniyi missed Free Throw.,75,67
4:49,2619,Stony Brook Deadball Team Rebound.,75,67
4:49,2619,Elijah Olaniyi missed Free Throw.,75,67
4:49,2083,Nana Foulland Defensive Rebound.,75,67
4:32,2083,Stephen Brown Turnover.,75,67
4:31,2619,UC Iroegbu Steal.,75,67
4:26,2619,Jaron Cornish Turnover.,75,67
4:25,2083,Stephen Brown Steal.,75,67
4:09,2083,Bruce Moore Turnover.,75,67
4:08,2619,Jaron Cornish Steal.,75,67
4:02,2619,Jaron Cornish missed Free Throw.,75,67
4:02,2619,Stony Brook Deadball Team Rebound.,75,67
4:02,2619,Jaron Cornish made Free Throw.,75,68
4:01,2083,Foul on Nana Foulland.,75,68
3:45,2083,Kimbal Mackenzie made Three Point Jumper. Assisted by Nana Foulland.,78,68
3:25,2619,Tyrell Sturdivant Turnover.,78,68
3:25,2083,Zach Thomas Steal.,78,68
3:25,2083,Zach Thomas Turnover.,78,68
3:25,2619,Official TV Timeout,78,68
3:16,2619,Jaron Cornish made Three Point Jumper. Assisted by UC Iroegbu.,78,71
3:00,2083,Bruce Moore missed Layup.,78,71
3:00,2619,Tyrell Sturdivant Defensive Rebound.,78,71
2:48,2083,Zach Thomas made Free Throw.,80,71
2:48,2083,Zach Thomas made Free Throw.,79,71
2:48,2619,Jaron Cornish missed Layup.,79,71
2:48,2083,Zach Thomas Defensive Rebound.,80,71
2:47,2619,Foul on Jaron Cornish.,80,71
2:38,2619,Elijah Olaniyi made Layup.,80,73
2:09,2083,Stephen Brown missed Three Point Jumper.,80,73
2:09,2083,Bruce Moore Offensive Rebound.,80,73
2:05,2619,Foul on Elijah Olaniyi.,80,73
2:05,2083,Bruce Moore made Free Throw.,81,73
2:05,2083,Bruce Moore made Free Throw.,82,73
2:02,2619,Akwasi Yeboah Turnover.,82,73
1:41,2083,Zach Thomas Turnover.,82,73
1:41,2083,Foul on Zach Thomas.,82,73
1:35,2619,UC Iroegbu missed Three Point Jumper.,82,73
1:35,2619,Stony Brook Offensive Rebound.,82,73
1:30,2619,Elijah Olaniyi made Layup. Assisted by Jaron Cornish.,82,75
1:29,2619,Stony Brook  Timeout,82,75
1:01,2083,Bruce Moore missed Three Point Jumper.,82,75
1:01,2619,Elijah Olaniyi Defensive Rebound.,82,75
0:44,2619,Jaron Cornish missed Three Point Jumper.,82,75
0:44,2619,Tyrell Sturdivant Offensive Rebound.,82,75
0:43,2083,Foul on Stephen Brown.,82,75
0:43,2619,Tyrell Sturdivant made Free Throw.,82,76
0:43,2619,Tyrell Sturdivant missed Free Throw.,82,76
0:43,2083,Zach Thomas Defensive Rebound.,82,76
0:40,2083,Bucknell  Timeout,82,76
0:36,2619,Foul on UC Iroegbu.,82,76
0:36,2083,Zach Thomas made Free Throw.,83,76
0:36,2083,Zach Thomas made Free Throw.,84,76
0:33,2619,Jaron Cornish missed Three Point Jumper.,84,76
0:33,2083,Jimmy Sotos Defensive Rebound.,84,76
0:30,2619,Foul on Bryan Sekunda.,84,76
0:30,2083,Jimmy Sotos made Free Throw.,85,76
0:30,2083,Jimmy Sotos missed Free Throw.,85,76
0:30,2619,Tyrell Sturdivant Defensive Rebound.,85,76
0:25,2619,UC Iroegbu missed Three Point Jumper.,85,76
0:25,2619,Bryan Sekunda Offensive Rebound.,85,76
0:21,2619,Bryan Sekunda missed Jumper.,85,76
0:21,2083,Kimbal Mackenzie Defensive Rebound.,85,76
0:00,2619,End of Game,85,76
