Abilene Christian,189,Bowling Green,2000
8:11,189,Bowling Green Offensive Rebound.,25,18
8:07,189,Jeffrey Uju missed Layup.,25,18
8:07,2000,Jaren Lewis Defensive Rebound.,25,18
7:58,2000,Jalone Friday made Three Point Jumper. Assisted by Jaylen Franklin.,28,18
7:49,189,Official TV Timeout,28,18
7:49,189,Bowling Green  Timeout,28,18
7:38,189,Nelly Cummings made Layup.,28,20
7:18,2000,Jalone Friday made Layup.,30,20
6:56,189,Nelly Cummings missed Three Point Jumper.,30,20
6:56,2000,Jalone Friday Defensive Rebound.,30,20
6:44,2000,B.J. Maxwell missed Three Point Jumper.,30,20
6:44,2000,Jaylen Franklin Offensive Rebound.,30,20
6:39,2000,Jalone Friday missed Three Point Jumper.,30,20
6:39,2000,Jaren Lewis Offensive Rebound.,30,20
6:13,2000,Jalone Friday missed Jumper.,30,20
6:13,189,Bowling Green Defensive Rebound.,30,20
6:00,2000,Foul on Isaiah Tripp.,30,20
5:49,189,Justin Turner missed Layup.,30,20
5:49,189,Jeffrey Uju Offensive Rebound.,30,20
5:47,189,Jeffrey Uju missed Layup.,30,20
5:47,2000,Abilene Christian Defensive Rebound.,30,20
5:22,2000,Jalone Friday missed Three Point Jumper.,30,20
5:22,189,Jeffrey Uju Defensive Rebound.,30,20
5:09,189,Rodrick Caldwell made Three Point Jumper.,30,23
4:50,189,Foul on Jeffrey Uju.,30,23
4:50,2000,Jalone Friday made Free Throw.,31,23
4:50,2000,Jalone Friday made Free Throw.,32,23
4:42,189,Dylan Frye made Layup.,32,25
4:27,189,Foul on Joniya Gadson.,32,25
4:27,2000,Jaylen Franklin made Free Throw.,33,25
4:27,2000,Jaylen Franklin missed Free Throw.,33,25
4:27,189,Dylan Frye Defensive Rebound.,33,25
4:10,189,Joniya Gadson made Layup. Assisted by Matt Fox.,33,27
3:55,2000,Hayden Howell made Three Point Jumper. Assisted by Trey Lenox.,36,27
3:45,189,Joniya Gadson Turnover.,36,27
3:45,189,Foul on Joniya Gadson.,36,27
3:45,189,Official TV Timeout,36,27
3:36,2000,Hayden Howell Turnover.,36,27
3:13,189,Justin Turner made Jumper.,36,29
2:51,2000,Jaylen Franklin missed Layup.,36,29
2:51,2000,Hayden Howell Offensive Rebound.,36,29
2:48,2000,Hayden Howell made Layup.,38,29
2:35,2000,Foul on Hayden Howell.,38,29
2:35,189,Dylan Frye made Free Throw.,38,30
2:35,189,Dylan Frye made Free Throw.,38,31
2:29,2000,Jaren Lewis made Layup. Assisted by Drake Green.,40,31
2:21,189,Rodrick Caldwell made Three Point Jumper. Assisted by Justin Turner.,40,34
2:00,2000,Jaren Lewis missed Jumper.,40,34
2:00,189,Rodrick Caldwell Defensive Rebound.,40,34
1:51,189,Justin Turner missed Three Point Jumper.,40,34
1:51,189,Matt Fox Offensive Rebound.,40,34
1:36,189,Rodrick Caldwell made Jumper.,40,36
1:19,2000,Jalone Friday made Jumper. Assisted by Tevin Foster.,42,36
1:03,189,Justin Turner missed Three Point Jumper.,42,36
1:03,2000,Jalone Friday Defensive Rebound.,42,36
0:52,2000,Jaylen Franklin made Layup.,44,36
0:33,189,Dylan Frye missed Three Point Jumper.,44,36
0:33,189,Joniya Gadson Offensive Rebound.,44,36
0:30,2000,Foul on Jalone Friday.,44,36
0:30,189,Joniya Gadson missed Free Throw.,44,36
0:30,2000,Kolton Kohl Defensive Rebound.,44,36
0:21,2000,Abilene Christian  Timeout,44,36
0:01,2000,Hayden Farquhar missed Jumper.,44,36
0:01,189,Jeffrey Uju Defensive Rebound.,44,36
0:00,189,End of 1st half,44,36
19:42,2000,Jaren Lewis made Jumper. Assisted by Jaylen Franklin.,46,36
19:27,2000,Foul on Tevin Foster.,46,36
19:22,189,Justin Turner missed Jumper.,46,36
19:22,189,Derek Koch Offensive Rebound.,46,36
19:18,189,Derek Koch missed Layup.,46,36
19:18,189,Demajeo Wiggins Offensive Rebound.,46,36
19:15,189,Rodrick Caldwell missed Three Point Jumper.,46,36
19:15,189,Demajeo Wiggins Offensive Rebound.,46,36
19:13,2000,Foul on Jaren Lewis.,46,36
19:00,189,Demajeo Wiggins made Jumper. Assisted by Rodrick Caldwell.,46,38
18:43,2000,Jaren Lewis made Jumper. Assisted by Tevin Foster.,48,38
18:21,189,Demajeo Wiggins made Layup.,48,40
18:03,2000,Jaren Lewis made Layup.,50,40
17:40,189,Justin Turner missed Layup.,50,40
17:40,189,Demajeo Wiggins Offensive Rebound.,50,40
17:38,189,Demajeo Wiggins missed Layup.,50,40
17:38,2000,Trey Lenox Defensive Rebound.,50,40
17:32,2000,Trey Lenox missed Three Point Jumper.,50,40
17:32,189,Rodrick Caldwell Defensive Rebound.,50,40
17:21,189,Dylan Frye made Jumper. Assisted by Rodrick Caldwell.,50,42
16:58,2000,Tevin Foster made Jumper.,52,42
16:40,189,Dylan Frye Turnover.,52,42
16:38,2000,Jaylen Franklin Steal.,52,42
16:37,2000,Jaylen Franklin Turnover.,52,42
16:13,189,Rodrick Caldwell made Three Point Jumper.,52,45
15:40,2000,Tevin Foster made Three Point Jumper. Assisted by Jaylen Franklin.,55,45
15:36,189,Official TV Timeout,55,45
15:20,189,Daeqwon Plowden made Jumper. Assisted by Rodrick Caldwell.,55,47
15:03,2000,Tevin Foster missed Three Point Jumper.,55,47
15:03,189,Derek Koch Defensive Rebound.,55,47
14:36,189,Nelly Cummings missed Jumper.,55,47
14:36,189,Derek Koch Offensive Rebound.,55,47
14:35,2000,Foul on Tevin Foster.,55,47
14:35,189,Derek Koch made Free Throw.,55,48
14:35,189,Derek Koch made Free Throw.,55,49
14:23,2000,Jaylen Franklin made Layup.,57,49
14:07,189,Daeqwon Plowden missed Layup.,57,49
14:07,2000,Jalone Friday Block.,57,49
14:06,189,Daeqwon Plowden Offensive Rebound.,57,49
14:04,189,Justin Turner missed Three Point Jumper.,57,49
14:04,189,Derek Koch Offensive Rebound.,57,49
14:01,189,Derek Koch made Layup.,57,51
13:47,189,Foul on Justin Turner.,57,51
13:38,2000,Jaylen Franklin missed Jumper.,57,51
13:38,189,Rodrick Caldwell Defensive Rebound.,57,51
13:27,189,Justin Turner made Jumper.,57,53
13:08,2000,Payten Ricks Turnover.,57,53
13:07,189,Daeqwon Plowden Steal.,57,53
13:05,189,Rodrick Caldwell made Jumper.,57,55
13:05,2000,Foul on Payten Ricks.,57,55
13:05,2000,Abilene Christian  Timeout,57,55
13:05,189,Official TV Timeout,57,55
13:05,189,Rodrick Caldwell missed Free Throw.,57,55
13:05,2000,Jaren Lewis Defensive Rebound.,57,55
12:48,189,Foul on Derek Koch.,57,55
12:42,2000,Hayden Howell made Jumper.,59,55
12:28,189,Justin Turner made Layup. Assisted by Rodrick Caldwell.,59,57
12:14,2000,Jaylen Franklin Turnover.,59,57
11:57,189,Derek Koch Turnover.,59,57
11:57,189,Official TV Timeout,59,57
11:45,189,Foul on Rodrick Caldwell.,59,57
11:31,2000,Jalone Friday missed Jumper.,59,57
11:31,189,Rodrick Caldwell Defensive Rebound.,59,57
11:19,189,Justin Turner missed Jumper.,59,57
11:19,189,Derek Koch Offensive Rebound.,59,57
11:15,189,Derek Koch missed Layup.,59,57
11:15,189,Derek Koch Offensive Rebound.,59,57
11:13,189,Derek Koch made Layup.,59,59
10:50,2000,Tevin Foster missed Three Point Jumper.,59,59
10:50,2000,Isaiah Tripp Offensive Rebound.,59,59
10:46,2000,Hayden Farquhar made Layup. Assisted by Isaiah Tripp.,61,59
10:30,189,Nelly Cummings made Three Point Jumper. Assisted by Justin Turner.,61,62
10:06,189,Foul on Derek Koch.,61,62
10:06,2000,Tevin Foster made Free Throw.,62,62
10:06,2000,Tevin Foster made Free Throw.,63,62
9:53,189,Nelly Cummings missed Three Point Jumper.,63,62
9:53,189,Demajeo Wiggins Offensive Rebound.,63,62
9:46,2000,Foul on Jalone Friday.,63,62
9:46,189,Justin Turner made Free Throw.,63,63
9:46,189,Justin Turner made Free Throw.,63,64
9:23,2000,Kolton Kohl made Layup. Assisted by Jaren Lewis.,65,64
9:09,189,Nelly Cummings missed Three Point Jumper.,65,64
9:09,2000,Jaren Lewis Defensive Rebound.,65,64
9:00,2000,Jaren Lewis missed Three Point Jumper.,65,64
9:00,189,Rodrick Caldwell Defensive Rebound.,65,64
8:51,2000,Foul on Kolton Kohl.,65,64
8:51,189,Rodrick Caldwell missed Free Throw.,65,64
8:51,189,Bowling Green Deadball Team Rebound.,65,64
8:51,189,Rodrick Caldwell made Free Throw.,65,65
8:33,2000,Payten Ricks missed Layup.,65,65
8:33,189,Daeqwon Plowden Defensive Rebound.,65,65
8:23,2000,Foul on Kolton Kohl.,65,65
8:23,189,Demajeo Wiggins made Free Throw.,65,66
8:23,189,Demajeo Wiggins missed Free Throw.,65,66
8:23,2000,Kolton Kohl Defensive Rebound.,65,66
8:08,2000,Jaren Lewis missed Jumper.,65,66
8:08,189,Daeqwon Plowden Defensive Rebound.,65,66
7:53,2000,Foul on Jaren Lewis.,65,66
7:53,189,Official TV Timeout,65,66
7:53,189,Demajeo Wiggins made Free Throw.,65,67
7:53,189,Demajeo Wiggins made Free Throw.,65,68
7:44,2000,Jaylen Franklin made Jumper.,67,68
7:26,2000,Foul on Drake Green.,67,68
7:26,189,Justin Turner made Free Throw.,67,69
7:26,189,Justin Turner made Free Throw.,67,70
7:16,2000,Jaylen Franklin made Jumper.,69,70
6:50,189,Rodrick Caldwell Turnover.,69,70
6:37,2000,Jaren Lewis made Jumper. Assisted by Jaylen Franklin.,71,70
6:37,189,Foul on Daeqwon Plowden.,71,70
6:37,2000,Jaren Lewis made Free Throw.,72,70
6:23,189,Dylan Frye missed Three Point Jumper.,72,70
6:23,2000,Jaylen Franklin Defensive Rebound.,72,70
6:07,2000,Jaylen Franklin missed Jumper.,72,70
6:07,2000,Jaylen Franklin Offensive Rebound.,72,70
6:02,189,Foul on Daeqwon Plowden.,72,70
6:02,2000,Jaylen Franklin made Free Throw.,73,70
6:02,2000,Jaylen Franklin missed Free Throw.,73,70
6:02,189,Dylan Frye Defensive Rebound.,73,70
5:42,189,Rodrick Caldwell made Three Point Jumper.,73,73
5:15,2000,Tevin Foster missed Jumper.,73,73
5:15,2000,Jaren Lewis Offensive Rebound.,73,73
4:50,2000,Jalone Friday made Layup.,75,73
4:33,189,Daeqwon Plowden missed Three Point Jumper.,75,73
4:33,2000,B.J. Maxwell Defensive Rebound.,75,73
4:12,2000,Jalone Friday made Jumper. Assisted by B.J. Maxwell.,77,73
3:47,189,Daeqwon Plowden missed Jumper.,77,73
3:47,2000,Jaylen Franklin Defensive Rebound.,77,73
3:26,2000,Jalone Friday missed Jumper.,77,73
3:26,189,Daeqwon Plowden Block.,77,73
3:24,2000,Jalone Friday Offensive Rebound.,77,73
3:23,2000,Jalone Friday missed Jumper.,77,73
3:23,189,Daeqwon Plowden Defensive Rebound.,77,73
3:23,2000,Foul on Jalone Friday.,77,73
3:23,189,Official TV Timeout,77,73
3:23,189,Daeqwon Plowden missed Free Throw.,77,73
3:23,189,Bowling Green Deadball Team Rebound.,77,73
3:23,189,Daeqwon Plowden missed Free Throw.,77,73
3:23,2000,Jalone Friday Defensive Rebound.,77,73
2:59,2000,Jaren Lewis made Layup. Assisted by Jaylen Franklin.,79,73
2:44,189,Demajeo Wiggins missed Jumper.,79,73
2:44,189,Demajeo Wiggins Offensive Rebound.,79,73
2:41,189,Demajeo Wiggins made Layup.,79,75
2:41,2000,Foul on B.J. Maxwell.,79,75
2:41,189,Demajeo Wiggins missed Free Throw.,79,75
2:41,2000,Jaren Lewis Defensive Rebound.,79,75
2:19,2000,B.J. Maxwell made Dunk.,81,75
2:01,189,Rodrick Caldwell made Three Point Jumper. Assisted by Dylan Frye.,81,78
1:58,189,Bowling Green  Timeout,81,78
1:34,2000,Jaren Lewis missed Jumper.,81,78
1:34,2000,B.J. Maxwell Offensive Rebound.,81,78
1:28,2000,B.J. Maxwell missed Layup.,81,78
1:28,189,Dylan Frye Defensive Rebound.,81,78
1:25,189,Dylan Frye missed Three Point Jumper.,81,78
1:25,2000,Jaylen Franklin Defensive Rebound.,81,78
1:18,189,Foul on Derek Koch.,81,78
1:18,2000,B.J. Maxwell missed Free Throw.,81,78
1:18,2000,Abilene Christian Deadball Team Rebound.,81,78
1:18,2000,B.J. Maxwell made Free Throw.,82,78
1:05,189,Rodrick Caldwell missed Three Point Jumper.,82,78
1:05,2000,B.J. Maxwell Defensive Rebound.,82,78
0:42,2000,Jaylen Franklin missed Jumper.,82,78
0:42,189,Daeqwon Plowden Defensive Rebound.,82,78
0:34,189,Rodrick Caldwell made Layup.,82,80
0:34,189,Bowling Green  Timeout,82,80
0:33,2000,Abilene Christian  Timeout,82,80
0:28,2000,Jalone Friday made Dunk. Assisted by Isaiah Tripp.,84,80
0:23,189,Rodrick Caldwell made Three Point Jumper.,84,83
0:22,189,Bowling Green  Timeout,84,83
0:16,189,Foul on Nelly Cummings.,84,83
0:16,2000,Tevin Foster made Free Throw.,85,83
0:16,2000,Tevin Foster made Free Throw.,86,83
0:08,189,Rodrick Caldwell missed Layup.,86,83
0:08,2000,B.J. Maxwell Defensive Rebound.,86,83
0:06,189,Foul on Rodrick Caldwell.,86,83
0:06,2000,B.J. Maxwell made Free Throw.,87,83
0:06,2000,B.J. Maxwell made Free Throw.,88,83
0:02,189,Rodrick Caldwell missed Three Point Jumper.,88,83
0:02,2000,Tevin Foster Defensive Rebound.,88,83
0:00,189,End of Game,88,83
