Mississippi Valley State,2535,Samford,2400
12:13,2535,Demetrius Denzel-Dyson missed Jumper.,16,16
12:13,2400,Emmanuel Ejeh Defensive Rebound.,16,16
11:44,2400,Arinze Anakwenze missed Jumper.,16,16
11:44,2535,Samford Defensive Rebound.,16,16
11:42,2535,Official TV Timeout,16,16
11:13,2535,Alex Thompson missed Three Point Jumper.,16,16
11:13,2400,Emmanuel Ejeh Defensive Rebound.,16,16
10:54,2400,Arinze Anakwenze missed Jumper.,16,16
10:43,2400,Foul on Arinze Anakwenze.,16,16
10:43,2535,Justin Coleman made Free Throw.,16,17
10:43,2535,Justin Coleman made Free Throw.,16,18
10:28,2535,Foul on Stefan Lakic.,16,18
10:22,2400,Jordan Evans made Jumper.,18,18
9:57,2535,Justin Coleman made Three Point Jumper. Assisted by Kevion Nolan.,18,21
9:39,2400,Arinze Anakwenze Turnover.,18,21
9:38,2535,Kevion Nolan Steal.,18,21
9:32,2535,Kevion Nolan missed Three Point Jumper.,18,21
9:32,2535,Triston Chambers Offensive Rebound.,18,21
9:29,2535,Triston Chambers missed Layup.,18,21
9:29,2400,Emmanuel Ejeh Block.,18,21
9:27,2535,Alex Thompson Offensive Rebound.,18,21
9:26,2400,Foul on Emmanuel Ejeh.,18,21
9:26,2535,Alex Thompson made Free Throw.,18,22
9:26,2535,Alex Thompson made Free Throw.,18,23
9:11,2400,Gemaal Davis Turnover.,18,23
8:59,2535,Stefan Lakic made Three Point Jumper. Assisted by Kevion Nolan.,18,26
8:30,2400,Jordan Evans missed Three Point Jumper.,18,26
8:30,2535,Kevion Nolan Defensive Rebound.,18,26
8:13,2535,Triston Chambers made Three Point Jumper. Assisted by Christen Cunningham.,18,29
8:05,2400,Mississippi Valley State  Timeout,18,29
8:05,2535,Official TV Timeout,18,29
7:56,2400,Dante Scott missed Jumper.,18,29
7:56,2535,Stefan Lakic Defensive Rebound.,18,29
7:46,2535,Kevion Nolan Turnover.,18,29
7:45,2400,Lorenzo Hunt Steal.,18,29
7:28,2400,Dante Scott made Three Point Jumper. Assisted by Tereke Eckwood.,21,29
7:15,2535,Triston Chambers made Three Point Jumper. Assisted by Christen Cunningham.,21,32
6:54,2535,Foul on Triston Chambers.,21,32
6:37,2400,Dante Scott missed Three Point Jumper.,21,32
6:37,2535,Eric Adams Defensive Rebound.,21,32
6:19,2535,Demetrius Denzel-Dyson Turnover.,21,32
6:19,2535,Foul on Demetrius Denzel-Dyson.,21,32
6:00,2400,Jamal Watson made Jumper. Assisted by Dante Scott.,23,32
5:29,2535,Triston Chambers missed Three Point Jumper.,23,32
5:29,2535,Eric Adams Offensive Rebound.,23,32
5:24,2400,Foul on Jamal Watson.,23,32
5:12,2535,Demetrius Denzel-Dyson missed Three Point Jumper.,23,32
5:12,2400,LaCurtis Allen Defensive Rebound.,23,32
4:41,2400,Tereke Eckwood Turnover.,23,32
4:28,2535,Alex Thompson Turnover.,23,32
4:28,2535,Foul on Alex Thompson.,23,32
4:04,2400,Tereke Eckwood missed Three Point Jumper.,23,32
4:04,2535,Alex Thompson Defensive Rebound.,23,32
4:02,2400,Foul on Lorenzo Hunt.,23,32
3:49,2535,Justin Coleman missed Three Point Jumper.,23,32
3:49,2535,Eric Adams Offensive Rebound.,23,32
3:38,2535,Justin Coleman Turnover.,23,32
3:38,2535,Official TV Timeout,23,32
3:19,2400,Nate Nahimy made Three Point Jumper. Assisted by Dante Scott.,26,32
2:54,2535,Christen Cunningham made Layup. Assisted by Justin Coleman.,26,34
2:37,2535,Foul on Eric Adams.,26,34
2:22,2400,Davere Creighton missed Three Point Jumper.,26,34
2:22,2535,Kevion Nolan Defensive Rebound.,26,34
2:15,2535,Demetrius Denzel-Dyson made Three Point Jumper. Assisted by Justin Coleman.,26,37
1:52,2535,Foul on Kevion Nolan.,26,37
1:44,2400,Nate Nahimy missed Three Point Jumper.,26,37
1:44,2535,Kevion Nolan Defensive Rebound.,26,37
1:40,2535,Kevion Nolan Turnover.,26,37
1:39,2400,Nate Nahimy Steal.,26,37
1:22,2535,Foul on Alex Thompson.,26,37
1:22,2400,Davere Creighton made Free Throw.,27,37
1:22,2400,Davere Creighton missed Free Throw.,27,37
1:22,2535,Stefan Lakic Defensive Rebound.,27,37
1:14,2535,Stefan Lakic made Three Point Jumper. Assisted by Justin Coleman.,27,40
0:45,2535,Foul on Stefan Lakic.,27,40
0:45,2400,Dante Scott made Free Throw.,28,40
0:45,2400,Dante Scott made Free Throw.,29,40
0:24,2535,Kevion Nolan made Three Point Jumper. Assisted by Justin Coleman.,29,43
0:01,2400,Tereke Eckwood missed Jumper.,29,43
0:01,2535,Demetrius Denzel-Dyson Defensive Rebound.,29,43
0:00,2535,End of 1st half,29,43
19:32,2400,Jamal Watson missed Jumper.,29,43
19:32,2535,Eric Adams Block.,29,43
19:30,2535,Demetrius Denzel-Dyson Defensive Rebound.,29,43
19:17,2400,Foul on Davere Creighton.,29,43
19:17,2535,Alex Thompson made Free Throw.,29,44
19:17,2535,Alex Thompson missed Free Throw.,29,44
19:17,2400,Davere Creighton Defensive Rebound.,29,44
19:07,2400,Davere Creighton missed Jumper.,29,44
19:07,2535,Alex Thompson Defensive Rebound.,29,44
18:54,2535,Justin Coleman made Three Point Jumper. Assisted by Christen Cunningham.,29,47
18:28,2400,Tereke Eckwood missed Jumper.,29,47
18:28,2400,Jamal Watson Offensive Rebound.,29,47
18:23,2400,Jamal Watson made Layup.,31,47
18:15,2535,Justin Coleman made Three Point Jumper. Assisted by Christen Cunningham.,31,50
17:58,2400,Dante Scott made Layup.,33,50
17:45,2535,Justin Coleman missed Jumper.,33,50
17:45,2400,Jamal Watson Defensive Rebound.,33,50
17:30,2400,Nate Nahimy missed Three Point Jumper.,33,50
17:30,2535,Christen Cunningham Defensive Rebound.,33,50
17:23,2535,Christen Cunningham Turnover.,33,50
17:12,2535,Foul on Justin Coleman.,33,50
16:53,2400,Jordan Evans made Three Point Jumper. Assisted by Nate Nahimy.,36,50
16:27,2535,Alex Thompson made Jumper.,36,52
16:17,2535,Foul on Justin Coleman.,36,52
16:13,2400,Nate Nahimy made Jumper.,38,52
15:59,2535,Christen Cunningham Turnover.,38,52
15:57,2535,Official TV Timeout,38,52
15:38,2400,Dante Scott missed Layup.,38,52
15:38,2535,Eric Adams Block.,38,52
15:38,2400,Mississippi Valley State Offensive Rebound.,38,52
15:28,2400,Dante Scott made Layup.,40,52
15:11,2535,Demetrius Denzel-Dyson made Layup. Assisted by Kevion Nolan.,40,54
15:11,2400,Foul on Jordan Evans.,40,54
15:11,2535,Demetrius Denzel-Dyson made Free Throw.,40,55
14:43,2400,Emmanuel Ejeh made Layup. Assisted by Tereke Eckwood.,42,55
14:31,2535,Demetrius Denzel-Dyson missed Three Point Jumper.,42,55
14:31,2400,Nate Nahimy Defensive Rebound.,42,55
14:25,2400,Nate Nahimy made Three Point Jumper. Assisted by Tereke Eckwood.,45,55
14:19,2535,Alex Thompson made Three Point Jumper. Assisted by Kevion Nolan.,45,58
13:34,2400,Nate Nahimy made Three Point Jumper. Assisted by Tereke Eckwood.,48,58
13:16,2535,Alex Thompson missed Jumper.,48,58
13:16,2535,Eric Adams Offensive Rebound.,48,58
13:11,2535,Kevion Nolan made Three Point Jumper. Assisted by Eric Adams.,48,61
13:06,2535,Foul on Demetrius Denzel-Dyson.,48,61
12:49,2400,Jordan Evans missed Three Point Jumper.,48,61
12:49,2535,Stefan Lakic Defensive Rebound.,48,61
12:44,2535,Justin Coleman Turnover.,48,61
12:31,2400,Nate Nahimy missed Layup.,48,61
12:31,2400,Emmanuel Ejeh Offensive Rebound.,48,61
12:28,2400,Emmanuel Ejeh made Layup.,50,61
11:55,2535,Justin Coleman missed Jumper.,50,61
11:55,2535,Kevion Nolan Offensive Rebound.,50,61
11:54,2400,Foul on Tereke Eckwood.,50,61
11:54,2535,Official TV Timeout,50,61
11:44,2400,Foul on Jordan Evans.,50,61
11:44,2535,Stefan Lakic missed Free Throw.,50,61
11:44,2535,Samford Deadball Team Rebound.,50,61
11:44,2535,Stefan Lakic made Free Throw.,50,62
11:30,2400,Jeffery Lewis missed Three Point Jumper.,50,62
11:30,2400,Emmanuel Ejeh Offensive Rebound.,50,62
11:27,2400,Jeffery Lewis missed Layup.,50,62
11:27,2400,Emmanuel Ejeh Offensive Rebound.,50,62
11:24,2535,Foul on Stefan Lakic.,50,62
11:24,2400,Emmanuel Ejeh made Free Throw.,51,62
11:24,2400,Emmanuel Ejeh missed Free Throw.,51,62
11:24,2400,Jeffery Lewis Offensive Rebound.,51,62
11:23,2400,Jeffery Lewis Turnover.,51,62
11:22,2535,Triston Chambers Steal.,51,62
10:58,2535,Kevion Nolan missed Three Point Jumper.,51,62
10:58,2400,Dante Scott Defensive Rebound.,51,62
10:49,2400,Gemaal Davis missed Jumper.,51,62
10:49,2535,Alex Thompson Defensive Rebound.,51,62
10:41,2535,Alex Thompson made Three Point Jumper. Assisted by Justin Coleman.,51,65
10:16,2400,Dante Scott missed Jumper.,51,65
10:16,2535,Alex Thompson Defensive Rebound.,51,65
10:12,2400,Foul on Jeffery Lewis.,51,65
9:51,2535,Triston Chambers missed Jumper.,51,65
9:51,2400,Emmanuel Ejeh Defensive Rebound.,51,65
9:38,2400,Jordan Evans made Three Point Jumper. Assisted by Gemaal Davis.,54,65
9:27,2400,Foul on Jordan Evans.,54,65
9:16,2400,Foul on Gemaal Davis.,54,65
9:16,2535,Justin Coleman made Free Throw.,54,66
9:16,2535,Justin Coleman made Free Throw.,54,67
9:11,2400,Gemaal Davis made Layup. Assisted by Jordan Evans.,56,67
8:59,2535,Alex Thompson missed Three Point Jumper.,56,67
8:59,2400,Gemaal Davis Defensive Rebound.,56,67
8:51,2400,Gemaal Davis missed Jumper.,56,67
8:51,2400,Emmanuel Ejeh Offensive Rebound.,56,67
8:49,2400,Emmanuel Ejeh made Layup.,58,67
8:36,2535,Alex Thompson made Layup. Assisted by Stefan Lakic.,58,69
8:12,2400,Jamal Watson missed Jumper.,58,69
8:12,2535,Alex Thompson Block.,58,69
8:08,2535,Demetrius Denzel-Dyson Defensive Rebound.,58,69
8:06,2535,Demetrius Denzel-Dyson missed Layup.,58,69
8:06,2400,Jamal Watson Defensive Rebound.,58,69
7:59,2400,Gemaal Davis missed Layup.,58,69
7:59,2535,Alex Thompson Block.,58,69
7:58,2535,Stefan Lakic Defensive Rebound.,58,69
7:52,2535,Demetrius Denzel-Dyson made Three Point Jumper. Assisted by Justin Coleman.,58,72
7:26,2400,Gemaal Davis missed Three Point Jumper.,58,72
7:26,2535,Samford Defensive Rebound.,58,72
7:24,2535,Official TV Timeout,58,72
7:09,2535,Alex Thompson missed Jumper.,58,72
7:09,2400,LaCurtis Allen Defensive Rebound.,58,72
6:46,2400,Jordan Evans missed Jumper.,58,72
6:46,2535,Alex Thompson Defensive Rebound.,58,72
6:25,2535,Alex Thompson missed Jumper.,58,72
6:25,2535,Demetrius Denzel-Dyson Offensive Rebound.,58,72
6:24,2400,Foul on Nate Nahimy.,58,72
6:24,2535,Demetrius Denzel-Dyson made Free Throw.,58,73
6:24,2535,Demetrius Denzel-Dyson missed Free Throw.,58,73
6:24,2400,Tereke Eckwood Defensive Rebound.,58,73
6:16,2535,Foul on Demetrius Denzel-Dyson.,58,73
6:16,2400,Tereke Eckwood made Free Throw.,59,73
6:16,2400,Tereke Eckwood made Free Throw.,60,73
5:57,2535,Demetrius Denzel-Dyson made Jumper. Assisted by Justin Coleman.,60,75
5:31,2400,Dante Scott missed Three Point Jumper.,60,75
5:31,2535,Christen Cunningham Defensive Rebound.,60,75
5:21,2535,Triston Chambers missed Three Point Jumper.,60,75
5:21,2400,Emmanuel Ejeh Defensive Rebound.,60,75
5:12,2400,Tereke Eckwood Turnover.,60,75
4:52,2535,Eric Adams Turnover.,60,75
4:52,2400,Nate Nahimy Steal.,60,75
4:48,2400,Dante Scott made Layup. Assisted by Tereke Eckwood.,62,75
4:27,2535,Alex Thompson made Layup. Assisted by Justin Coleman.,62,77
3:57,2535,Official TV Timeout,62,77
3:51,2400,Jordan Evans missed Three Point Jumper.,62,77
3:51,2535,Justin Coleman Defensive Rebound.,62,77
3:37,2535,Triston Chambers made Three Point Jumper. Assisted by Eric Adams.,62,80
3:28,2400,Dante Scott made Layup.,64,80
3:28,2535,Foul on Alex Thompson.,64,80
3:28,2535,Official TV Timeout,64,80
3:28,2400,Dante Scott made Free Throw.,65,80
3:12,2535,Christen Cunningham made Layup. Assisted by Justin Coleman.,65,82
2:50,2400,Jeffery Lewis made Three Point Jumper. Assisted by Nate Nahimy.,68,82
2:26,2400,Foul on Jordan Evans.,68,82
2:26,2535,Justin Coleman missed Free Throw.,68,82
2:26,2400,Emmanuel Ejeh Defensive Rebound.,68,82
2:10,2400,Jeffery Lewis missed Three Point Jumper.,68,82
2:10,2535,Eric Adams Defensive Rebound.,68,82
1:51,2535,Alex Thompson missed Three Point Jumper.,68,82
1:51,2400,Emmanuel Ejeh Defensive Rebound.,68,82
1:36,2400,Dante Scott missed Layup.,68,82
1:36,2535,Eric Adams Block.,68,82
1:34,2400,Emmanuel Ejeh Offensive Rebound.,68,82
1:32,2400,Emmanuel Ejeh missed Jumper.,68,82
1:32,2400,Dante Scott Offensive Rebound.,68,82
1:30,2400,Dante Scott made Layup.,70,82
1:22,2400,Foul on Tereke Eckwood.,70,82
1:22,2535,Justin Coleman made Free Throw.,70,83
1:22,2535,Justin Coleman missed Free Throw.,70,83
1:22,2400,Emmanuel Ejeh Defensive Rebound.,70,83
1:10,2400,Mississippi Valley State  Timeout,70,83
0:51,2400,Tereke Eckwood missed Three Point Jumper.,70,83
0:51,2535,Alex Thompson Defensive Rebound.,70,83
0:28,2535,Demetrius Denzel-Dyson missed Three Point Jumper.,70,83
0:28,2400,Jeffery Lewis Defensive Rebound.,70,83
0:22,2400,Henry Taylor missed Layup.,70,83
0:22,2535,Eric Adams Block.,70,83
0:22,2535,Eric Adams Defensive Rebound.,70,83
0:00,2535,End of Game,70,83
