New Mexico Highlands,Error,Wyoming,2751
6:39,2751,Official TV Timeout,20,30
6:23,2424,Jacob Holland missed Jumper.,20,30
6:23,2424,Chris Lewis Offensive Rebound.,20,30
6:20,2751,Foul on Jordan Naughton.,20,30
6:20,2424,Chris Lewis made Free Throw.,21,30
6:20,2424,Chris Lewis missed Free Throw.,21,30
6:20,2751,Justin James Defensive Rebound.,21,30
6:13,2751,Jordan Naughton Turnover.,21,30
5:59,2424,Mike Nwabuzor missed Three Point Jumper.,21,30
5:59,2751,Wyoming Defensive Rebound.,21,30
5:38,2751,Sam Averbuck missed Jumper.,21,30
5:38,2424,Nmamdi Okoro Defensive Rebound.,21,30
5:28,2424,Nmamdi Okoro Turnover.,21,30
5:15,2751,Justin James made Jumper.,21,32
4:50,2424,Nmamdi Okoro missed Jumper.,21,32
4:50,2751,Jordan Naughton Defensive Rebound.,21,32
4:40,2751,Justin James made Jumper.,21,34
4:28,2751,Official TV Timeout,21,34
4:16,2424,Desmond Carpenter made Three Point Jumper. Assisted by Deion Bauman.,24,34
3:58,2751,Alexander Aka Gorski Turnover.,24,34
3:57,2424,Nmamdi Okoro Steal.,24,34
3:54,2424,D.J. Bustos missed Three Point Jumper.,24,34
3:54,2424,D.J. Bustos Offensive Rebound.,24,34
3:23,2424,Desmond Carpenter missed Three Point Jumper.,24,34
3:23,2751,Brodricks Jones Defensive Rebound.,24,34
3:12,2751,Alexander Aka Gorski missed Three Point Jumper.,24,34
3:12,2424,Desmond Carpenter Defensive Rebound.,24,34
2:48,2424,Deion Bauman made Three Point Jumper. Assisted by Desmond Carpenter.,27,34
2:41,2751,Sam Averbuck Turnover.,27,34
2:35,2424,Chris Lewis missed Jumper.,27,34
2:35,2751,Wyoming Defensive Rebound.,27,34
2:20,2751,Andrew Moemeka missed Layup.,27,34
2:20,2424,Nmamdi Okoro Defensive Rebound.,27,34
1:52,2424,Nmamdi Okoro Turnover.,27,34
1:42,2751,Andrew Moemeka missed Jumper.,27,34
1:42,2424,Chris Lewis Defensive Rebound.,27,34
1:12,2424,Adrian LaFleur Turnover.,27,34
1:09,2751,Hunter Maldonado Steal.,27,34
1:07,2751,Hayden Dalton Turnover.,27,34
1:07,2424,Chris Lewis made Layup.,29,34
1:07,2751,Foul on Hayden Dalton.,29,34
1:07,2424,Chris Lewis missed Free Throw.,29,34
1:07,2751,Andrew Moemeka Defensive Rebound.,29,34
1:02,2751,Nyaires Redding Turnover.,29,34
0:44,2424,Desmond Carpenter Turnover.,29,34
0:44,2751,Hunter Maldonado Steal.,29,34
0:39,2751,Hunter Maldonado Turnover.,29,34
0:38,2424,Jordan Jones Steal.,29,34
0:10,2424,Adrian LaFleur missed Layup.,29,34
0:10,2751,Alan Herndon Defensive Rebound.,29,34
0:04,2751,Hayden Dalton made Dunk. Assisted by Cody Kelley.,29,36
0:00,2751,End of 1st half,29,36
19:52,2424,Foul on Chris Lewis.,29,38
19:52,2751,Alan Herndon made Free Throw.,29,39
19:52,2751,Alan Herndon made Jumper. Assisted by Justin James.,29,38
19:30,2424,Chris Lewis Turnover.,29,39
19:29,2751,Hayden Dalton Steal.,29,39
19:05,2751,Alexander Aka Gorski missed Three Point Jumper.,29,39
19:05,2424,Jordan Jones Defensive Rebound.,29,39
18:55,2424,Jacob Holland missed Three Point Jumper.,29,39
18:55,2751,Wyoming Defensive Rebound.,29,39
18:37,2751,Alexander Aka Gorski made Jumper.,29,41
18:16,2424,Jacob Holland made Jumper.,31,41
17:57,2751,Hayden Dalton made Jumper.,31,43
17:40,2424,Jacob Holland missed Jumper.,31,43
17:40,2751,Hayden Dalton Defensive Rebound.,31,43
17:31,2751,Alan Herndon made Three Point Jumper. Assisted by Alexander Aka Gorski.,31,46
17:05,2424,Jacob Holland missed Jumper.,31,46
17:05,2751,Justin James Block.,31,46
17:02,2751,Alan Herndon Defensive Rebound.,31,46
16:56,2751,Justin James made Layup.,31,48
16:56,2424,Foul on Jacob Holland.,31,48
16:56,2751,Justin James made Free Throw.,31,49
16:36,2424,Mike Nwabuzor Turnover.,31,49
16:36,2424,Foul on Mike Nwabuzor.,31,49
16:19,2751,Alan Herndon made Layup.,31,51
16:00,2424,Chris Lewis missed Jumper.,31,51
16:00,2751,Alan Herndon Defensive Rebound.,31,51
15:52,2751,Alexander Aka Gorski missed Three Point Jumper.,31,51
15:52,2424,Chris Lewis Defensive Rebound.,31,51
15:41,2424,Adrian LaFleur made Three Point Jumper.,34,51
15:33,2751,Justin James Turnover.,34,51
15:33,2751,Foul on Justin James.,34,51
15:33,2751,Official TV Timeout,34,51
15:16,2424,Nmamdi Okoro missed Jumper.,34,51
15:16,2751,Alan Herndon Defensive Rebound.,34,51
15:09,2751,Justin James made Layup.,34,53
14:39,2424,Desmond Carpenter missed Jumper.,34,53
14:39,2751,Hayden Dalton Defensive Rebound.,34,53
14:32,2751,Hayden Dalton made Three Point Jumper. Assisted by Justin James.,34,56
14:05,2424,Adrian LaFleur missed Three Point Jumper.,34,56
14:05,2751,Nyaires Redding Defensive Rebound.,34,56
14:04,2424,Foul on Nmamdi Okoro.,34,56
13:54,2751,Justin James made Jumper. Assisted by Brodricks Jones.,34,58
13:43,2424,New Mexico Highlands  Timeout,34,58
13:24,2424,Deion Bauman made Three Point Jumper. Assisted by Jacob Holland.,37,58
13:06,2424,Foul on Jacob Holland.,37,58
13:01,2751,Brodricks Jones Turnover.,37,58
13:01,2751,Foul on Brodricks Jones.,37,58
12:46,2424,Jacob Holland made Layup.,39,58
12:35,2751,Alan Herndon made Three Point Jumper. Assisted by Brodricks Jones.,39,61
12:17,2424,Deion Bauman made Jumper.,41,61
11:58,2751,Justin James missed Jumper.,41,61
11:58,2424,Jacob Holland Defensive Rebound.,41,61
11:52,2424,Desmond Carpenter missed Three Point Jumper.,41,61
11:52,2751,Cody Kelley Defensive Rebound.,41,61
11:45,2751,Hayden Dalton missed Three Point Jumper.,41,61
11:45,2424,Nmamdi Okoro Defensive Rebound.,41,61
11:25,2424,Jacob Holland made Jumper.,43,61
11:22,2424,New Mexico Highlands  Timeout,43,61
11:03,2424,Foul on Jacob Holland.,43,61
11:02,2751,Hayden Dalton missed Jumper.,43,61
11:02,2424,Nmamdi Okoro Defensive Rebound.,43,61
10:38,2424,Adrian LaFleur made Three Point Jumper. Assisted by Mike Nwabuzor.,46,61
10:14,2424,Foul on Chris Lewis.,46,61
10:14,2751,Hayden Dalton made Free Throw.,46,62
10:14,2751,Hayden Dalton made Free Throw.,46,63
10:14,2751,Hayden Dalton made Free Throw.,46,64
9:56,2751,Foul on Alan Herndon.,46,64
9:56,2424,Nmamdi Okoro made Free Throw.,47,64
9:56,2424,Nmamdi Okoro made Free Throw.,48,64
9:34,2751,Cody Kelley made Three Point Jumper. Assisted by Andrew Moemeka.,48,67
9:16,2424,Deion Bauman made Three Point Jumper. Assisted by Mike Nwabuzor.,51,67
9:06,2751,Louis Adams made Three Point Jumper. Assisted by Brodricks Jones.,51,70
8:37,2424,Mike Nwabuzor made Jumper.,53,70
8:22,2751,Louis Adams made Three Point Jumper. Assisted by Cody Kelley.,53,73
7:57,2424,Mike Nwabuzor made Layup.,55,73
7:48,2751,Brodricks Jones missed Three Point Jumper.,55,73
7:48,2424,Nmamdi Okoro Defensive Rebound.,55,73
7:40,2424,Nmamdi Okoro Turnover.,55,73
7:40,2751,Official TV Timeout,55,73
7:28,2751,Andrew Moemeka made Jumper.,55,75
7:12,2424,Mike Nwabuzor missed Jumper.,55,75
7:12,2424,Chris Lewis Offensive Rebound.,55,75
7:09,2751,Foul on Andrew Moemeka.,55,75
7:07,2424,Jordan Jones missed Layup.,55,75
7:07,2751,Hunter Maldonado Block.,55,75
7:05,2751,Louis Adams Defensive Rebound.,55,75
7:02,2751,Louis Adams made Jumper.,55,77
6:47,2424,Mike Nwabuzor missed Three Point Jumper.,55,77
6:47,2424,Mike Nwabuzor Offensive Rebound.,55,77
6:43,2751,Foul on Hunter Maldonado.,55,77
6:43,2424,Mike Nwabuzor made Free Throw.,56,77
6:43,2424,Mike Nwabuzor made Free Throw.,57,77
6:23,2751,Hunter Maldonado missed Layup.,57,77
6:23,2424,New Mexico Highlands Defensive Rebound.,57,77
6:00,2424,Jordan Jones missed Jumper.,57,77
6:00,2751,Louis Adams Defensive Rebound.,57,77
5:53,2751,Louis Adams missed Jumper.,57,77
5:53,2751,Andrew Moemeka Offensive Rebound.,57,77
5:34,2751,Hunter Maldonado made Three Point Jumper. Assisted by Cody Kelley.,57,80
5:09,2424,Deion Bauman missed Three Point Jumper.,57,80
5:09,2751,Louis Adams Defensive Rebound.,57,80
5:02,2751,Cody Kelley made Layup.,57,82
4:43,2751,Foul on Louis Adams.,57,82
4:39,2424,Nmamdi Okoro missed Layup.,57,82
4:39,2751,Austin Mueller Block.,57,82
4:39,2751,Wyoming Defensive Rebound.,57,82
4:24,2751,Hunter Maldonado missed Layup.,57,82
4:24,2424,Chris Lewis Defensive Rebound.,57,82
4:20,2424,Chris Lewis Turnover.,57,82
4:19,2751,Louis Adams Steal.,57,82
4:18,2751,Louis Adams missed Layup.,57,82
4:18,2424,Chris Lewis Defensive Rebound.,57,82
4:11,2424,Deion Bauman made Three Point Jumper. Assisted by Jacob Holland.,60,82
3:54,2751,Hunter Maldonado missed Three Point Jumper.,60,82
3:54,2424,Nmamdi Okoro Defensive Rebound.,60,82
3:37,2424,D.J. Bustos made Jumper.,62,82
3:19,2751,Louis Adams missed Three Point Jumper.,62,82
3:19,2424,Chris Lewis Defensive Rebound.,62,82
3:08,2751,Official TV Timeout,62,82
3:02,2424,Jacob Holland missed Layup.,62,82
3:02,2424,Chris Lewis Offensive Rebound.,62,82
2:54,2424,Deion Bauman missed Jumper.,62,82
2:54,2751,Louis Adams Defensive Rebound.,62,82
2:40,2751,Jordan Naughton missed Jumper.,62,82
2:40,2424,Chris Lewis Defensive Rebound.,62,82
2:22,2751,Foul on Jordan Naughton.,62,82
2:22,2424,Chris Lewis missed Free Throw.,62,82
2:22,2424,New Mexico Highlands Deadball Team Rebound.,62,82
2:22,2424,Chris Lewis made Free Throw.,63,82
2:09,2424,Foul on D.J. Bustos.,63,82
2:09,2751,Jordan Naughton made Free Throw.,63,83
2:09,2751,Jordan Naughton missed Free Throw.,63,83
2:09,2424,Nmamdi Okoro Defensive Rebound.,63,83
1:53,2424,D.J. Bustos made Three Point Jumper. Assisted by Deion Bauman.,66,83
1:42,2751,Hunter Maldonado Turnover.,66,83
1:41,2424,Deion Bauman Steal.,66,83
1:38,2424,Deion Bauman made Layup.,68,83
1:20,2751,Sam Averbuck Turnover.,68,83
1:18,2424,Nmamdi Okoro Steal.,68,83
1:16,2424,Nmamdi Okoro missed Layup.,68,83
1:16,2751,Sam Averbuck Defensive Rebound.,68,83
1:10,2751,Sam Averbuck missed Three Point Jumper.,68,83
1:10,2424,D.J. Bustos Defensive Rebound.,68,83
0:53,2424,Nmamdi Okoro made Layup.,70,83
0:53,2751,Foul on Austin Mueller.,70,83
0:53,2424,Nmamdi Okoro missed Free Throw.,70,83
0:53,2751,Austin Mueller Defensive Rebound.,70,83
0:31,2751,Louis Adams Turnover.,70,83
0:20,2424,Nmamdi Okoro missed Layup.,70,83
0:20,2751,Jordan Naughton Defensive Rebound.,70,83
0:00,2751,End of Game,70,83
